3R2rk/5R2/7P/p5r1/6PK/2P2P2/8/8 w - -,d8g8
7r/8/pk1p1p2/4bB1p/1Pp1P2P/8/P7/1q1K1QR1 w - -,d1e2
r1b2r2/pp4kp/4p3/3p4/6P1/P2B4/R1P2P1P/3K3R w - -,c2c4
1r2r1k1/1q4p1/p2QN3/2pP3p/N5pP/3pPn2/PP3P2/1KR5 b - -,b7b5
r2q1rk1/pppn1pbp/3p1np1/3Pp3/2P2P2/2N3P1/PP2BP1P/R1BQ1RK1 w - -,f4e5
r6k/p3bp1n/2pr1P2/q3pNPp/1p2P1bP/1P1B4/P1PQ4/1K1R3R w - -,f6e7
r2r2k1/pb2pp1p/1q4p1/3p4/1PP1n3/1Q2PN2/Pb2BPPP/R2R2K1 w - -,b3b2
1k1r3r/n1p1bppp/Ppq5/3p4/3P2B1/3R4/1P1B1PPP/R2Q2K1 w - -,d2f4
8/5p2/2K1k3/2P1P3/6P1/1r2PR1P/8/8 w - -,c6c7
r2qk2r/1b1nbp2/p1n1p3/1pppP1pp/3P2P1/P1PBQN1P/1P1N1P2/R1B2RK1 b kq -,d8b6
r1bq1r2/1pp3bk/3p2pp/1P1B1p2/2Pp4/3P2P1/3BPP1P/1R1Q1RK1 b - -,f8e8
1r6/4np1k/R1pq2pp/3pp3/1p2P3/1P1PP1N1/2PQ2PP/6K1 b - -,d6c7
r4rk1/p2qppb1/1pp1b1p1/2p5/4P3/P1NPB2P/1PP1QRP1/5RK1 b - -,a8d8
rn1qk2r/pb1pbppp/4pn2/1pp5/3P4/1PP2NP1/P3PPBP/RNBQ1RK1 b kq -,e8g8
1k1q3r/pp1r2pp/1b3pPn/1Q3P2/3p1P2/8/PP3BBP/1KRR4 b - -,h6g4
r3k2r/pb2ppbp/1pn2np1/2p5/P3P3/2P1BP1N/1P1N2PP/R2K1B1R w kq -,d2c4
3q3r/1p3pk1/2p5/p5pP/P1BpPb2/N2R3P/1PP1R3/7K b - -,h8h5
6k1/5p1p/pB3b2/P5p1/8/8/5PPP/rR4K1 w - -,b1a1
8/7k/4P3/3p2p1/1K1Bp3/4P2p/R7/2r5 b - -,h7g6
r2q1rk1/1ppn1ppp/1nb1p3/p7/2pPP3/P1P2NP1/2Q2PBP/R1B1R1K1 w - -,a3a4
1r1r2k1/5ppp/8/5b2/3PN3/1P1R2P1/5P1P/4R1K1 b - -,b8b4
3r1rk1/6pp/1p3p2/2bbp2P/P1R1NQ2/1P2P3/1B3PK1/2R5 b - -,e5f4
1kr5/1p3p1P/p3p3/3pPp2/2qP1P2/7P/PP4Q1/1K1R4 w - -,a2a3
7r/1p1bbk2/1n1p2p1/q1nPp1P1/p3Pp2/P4P2/NPRNBB2/1K4Q1 b - -,d7b5
r7/p7/5p2/3kpb2/6rR/3R4/P4BP1/6K1 b - -,d5e6
r1b1kb1r/1pqp1ppp/p1n1p3/8/4P3/2N1Q3/PPP1BPPP/R1B2RK1 w kq -,e3h3
4r3/8/2pB4/2P3R1/pp1kp1P1/6PP/P4K2/8 w - -,g5g7
r4rk1/pp3ppp/2np4/7q/3B2b1/5N2/PPP2PPP/R2QR1K1 w - -,d4c3
6k1/1p2b3/2r1p3/p7/P2P2K1/4r3/1P2N3/2R1R3 w - -,c1c6
5rk1/1p3qpp/1pp5/5r2/PnP4Q/1R3PP1/1P4KP/6NR w - -,b3e3
6r1/kp4r1/p1p1pb2/P1Pp1p2/1P1P1Bqp/4P2R/5RPP/5Q1K b - -,g4g6
r2qk2r/1b1nppbp/p2p1np1/1pp5/3PP3/P1NBBN1P/1PP2PP1/R2Q1RK1 w kq -,d4c5
r1b2rk1/pp3ppp/3q1n2/3p4/8/2PB1NP1/PP3PP1/R2Q1RK1 w - -,d1d2
3r4/p1kn1p2/1p2pn1p/2p5/1PP2P2/P5P1/3NK1BP/3R4 b - -,f6e8
3r2k1/p2q1pbp/1pn1b1p1/3B4/2P5/B2Q1N2/P4PPP/4R1K1 w - -,g2g3
r1bq1rk1/pppn2pp/2n1p3/4Pp2/2P2B2/2Q2N2/PP3PPP/2KR1B1R b - -,d8e7
1r4k1/p7/5P2/4R1p1/6B1/2n5/P4PP1/6K1 b - -,b8b5
5rk1/3Rn3/3NBbp1/1qp1p3/4P2p/6P1/5P1P/6K1 b - -,g8g7
2b2rk1/1q3pp1/5n1p/1rnp4/pp1N1Q2/3P3P/PPPN2P1/1K1R1R2 w - -,d4b5
2k5/1p1rbr1p/p2pb1p1/4p1P1/2P1p1PR/4B3/PPB2P2/1KR5 w - -,c2e4
1r2r3/5pk1/3p1bp1/1ppB3p/5P2/qP1Q2PP/P1R1P3/5RK1 w - -,e2e3
4r1k1/p4qpp/2p3b1/2R1B1b1/3Pp3/4N3/PP2Q1PP/6K1 b - -,f7a2
5rk1/5ppp/5q2/2p1R3/2P2P2/6P1/7P/1Q4K1 b - -,g7g6
7k/1p1r1p1p/p3p3/4n1Q1/P2qb2P/2N5/1PP1B1P1/3R3K b - -,d4d1
6k1/p6p/3p2p1/2pPn3/4q3/4b1PP/PP2QR1K/8 b - -,e5d3
r4rk1/pb3pp1/1p1bpQ1p/2p5/2PP4/3B1N2/PP3PPP/R4RK1 b - -,g7f6
r2q1rk1/pb1n1ppp/5n2/2pp4/8/5NP1/PPQNPPBP/2RR2K1 b - -,d8b6
1rr3k1/3n1ppp/2pbp3/q2p4/2P5/P5P1/1P1BPPBP/1R3RK1 w - -,d2a5
r3kb1r/pppqpb1p/2n2pp1/3p1n2/3P1N2/2NBP1B1/PPP2PPP/R2QK2R w KQkq -,d3f5
3r1rk1/p1q1n1b1/1p1p2p1/2pP3p/4PP1P/6QB/PP1B3K/1R3R2 w - -,d2c3
8/2rb2k1/p4pp1/2pPp1P1/2N1P3/1P3P2/2nKB2R/8 b - -,c2d4
r2qkb1r/1p3ppp/p1n1pn2/3p1b2/Q2P1B2/2N1PN2/PP3PPP/2R1KB1R w Kkq -,f3e5
rnbqkb1r/pp3ppp/2p1pn2/8/2BP4/4PN2/PP3PPP/RNBQ1RK1 b kq -,f8e7
8/8/6K1/8/5P2/8/6rk/8 w - -,g6h6
8/2R2pkp/3ppb2/1p3p2/2P5/n7/6PP/6NK w - -,c4b5
3R4/rbr3kp/6p1/Pp1pPp2/1N3P2/2p1P1P1/R6P/6K1 w - -,b4c2
2Qb1n1k/6pp/4p1b1/p1p1qp2/2P2N2/BP4P1/P4P1P/5BK1 b - -,d8e7
1r6/Q1p2p2/2pkb3/3q3p/6p1/P2B2P1/2P3PP/6K1 w - -,a7b8
r4rk1/pp3ppp/2p2n2/2q1b3/8/1PNbP2P/PBQ2PP1/R2R2K1 w - -,c2d3
r4rk1/1pq2ppp/p3pn1P/1bb5/8/2BB1N2/PPP1QPP1/2KR3R b - -,b5d3
r3k2r/1p1qppbp/p1np1np1/8/3NP3/N7/PPP1QPPP/R1BR2K1 w kq -,a3c4
1r1q1rk1/4ppbp/bn1p1np1/2pP4/4P3/1QN3P1/PP1N1PBP/1RB2RK1 w - -,f1d1
2R5/5ppk/p6p/N7/8/2b1P1P1/r4PKP/8 w - -,c8c3
6k1/2R3pp/4Br2/p2Pp3/2p1P3/P2b2P1/7P/6K1 b - -,g8f8
2r3k1/1b3p1p/1p1p3r/4p3/p1P1PR2/PnB5/4B1PP/1R4K1 w - -,f4g4
3r4/4kp2/p2Np2p/1p2P2n/1R3p1P/5P2/1P4P1/6K1 b - -,f7f6
r2qk2r/pp1bbppp/2n1pn2/2pp4/3P4/2PBPPBN/PP1N2PP/R2QK2R b KQkq -,e8g8
4r1k1/1p3pbp/p2p2P1/3P4/3p1PP1/3Br3/PPP5/2K2R1R b - -,h7g6
r1r1n1k1/1b2qpbp/n1p3p1/pp1pN3/3P4/P1N1PB2/1P3PPP/RQBR2K1 w - -,e5d3
r2q1rk1/4ppbp/p1np1np1/1p1P2B1/B1P5/3Q1N2/PP3PPP/R4RK1 w - b6,a4b3
2r5/5p1p/4p3/4Pp1k/1p3P2/1P1K2P1/R6P/8 w - -,a2c2
r1bqk2r/ppp2ppp/2n2P2/3p4/1bB5/2N2N2/PP3PPP/R1BQK2R b KQkq -,d5c4
r3r1k1/ppqn1pp1/2p2np1/3p2B1/3P1b2/2PQ1N1P/PP1N1PP1/R3R1K1 w - -,g5f4
4Q2R/6p1/4prkp/3p4/8/2q2P2/P3K2P/8 b - -,g6g5
8/4B3/8/8/5pkp/8/4K3/1b6 b - -,h4h3
8/k3r3/1R6/2K1B3/8/8/8/8 w - -,e5b8
3rrn2/3q1kb1/ppb3p1/3pPpQ1/3P1P2/1BN1BR2/PP4PP/5RK1 b - -,f8e6
rn1q1rk1/pbp2ppp/1p1ppn2/8/2P5/PPQ1PN2/1B1P1PPP/R3KB1R b KQ -,b8d7
r1b2rk1/pppn1qpp/2nbp3/3p4/3P4/2P1NN2/PP2BPPP/R1BQ1RK1 b - -,d7f6
4r1k1/5b1p/n2p2p1/Q1p2p2/2Pp1P2/5B1P/1q2N1PK/R7 w - -,a5a6
1b6/4k1p1/2r1pn2/2p5/ppP1NP2/1P2B2p/P3PK1P/3R4 w - -,f2f3
2k4r/1p1rqpp1/p1p1pn1p/4N2P/R1PP4/6P1/PP2QP2/2K4R b - -,d7c7
4r1k1/p3qp1p/1p4p1/2pBrn2/2Pp4/P2P1QP1/1R2PP1P/4R1K1 b - -,e7g5
8/p2r1k1p/1pR3p1/3p4/1P1K1P2/6P1/P6P/8 b - -,f7e7
rn3rk1/pp2bppp/2p2q2/4p3/1PPpP1R1/1Q1P3P/P3PP2/R1B1KB2 w Q -,c1g5
r2q1rk1/ppp2pbp/6p1/1N3b2/2P5/3Pp1P1/PP3PBP/R1QR2K1 w - -,c1e3
r1b3k1/ppNnn1bp/3p3r/2PPp2q/4PpP1/3N1P1p/PP2BB2/2RQ1RK1 b - g3,f4g3
4rbk1/2q2ppp/4p3/2p1n3/N3P3/3Q1P2/6PP/1R1R2K1 w - -,d3b5
3rqbk1/1b2rppp/2p5/1p6/p2Pn3/P3N1P1/1PQ2PBP/R2RB1K1 b - -,e7e6
Qn1b4/2qn1k1p/2p1p1p1/2Pp1p2/B2P1P2/2BNP3/5P1P/6K1 b - -,h7h6
1r4k1/5ppp/4b3/q7/3Q4/P3P1P1/5PBP/5RK1 w - -,d4d6
r2b2k1/pp1r1ppp/4b1q1/2PpR3/1P1Q4/5BP1/PB3P1P/3R2K1 w - -,f3h5
r1b2rk1/2q1bppp/p1p1pn2/P2p4/3BPP2/2NB2P1/1PP4P/R2Q1RK1 b - -,c6c5
r1b1k2r/pp2bp2/4p3/3pR2P/5q2/3B4/5PP1/BR1Q2K1 w kq -,e5f5
2rQ1rk1/p3ppb1/1p4pp/n1n1P3/B3R2P/5N2/PB3PP1/R5K1 b - -,f8d8
b7/4p1k1/2qb1pp1/1R2n3/6P1/P3Q3/5N2/5BK1 w - -,b5e5
4r1k1/1b4pp/2p5/p2p4/4r3/1PR1B2P/P4PP1/3R2K1 w - -,a2a4
4r1k1/1p2qr1p/pQnRb1p1/8/P1p1pP2/4B1P1/2P1B2P/3R2K1 w - -,e3c5
8/2q3k1/1p3pp1/1Pp1P3/2rn1P1P/7P/1R3QBK/8 w - -,g2d5
1rb2rk1/p1q2ppp/2pbp3/3n4/3P4/3B3P/PPN1QPP1/1RB2RK1 w - -,c1d2
2rq1rk1/pp1bb1pp/2n1pn2/3pBp2/1P1P4/PQNBPN2/5PPP/R4RK1 b - -,f6e4
7k/Qp4p1/8/2pn1q1p/6rP/P2P2P1/1PKBpP2/4R3 w - -,a7c5
r1q1r1k1/p2n1pbp/bp1p1np1/2pP4/P3PBP1/1PN2N1P/5PB1/2RQR1K1 b - -,d7e5
2k2r2/7R/2n1n3/3p4/1p4PP/p7/2PK4/2R5 w - -,g4g5
6kr/6p1/4p2p/3bP3/2p2P2/8/1PP1R1nP/2B3K1 w - -,e2g2
r2bkr2/1b3pRp/3p1P2/2qNp1N1/pp2P3/1P6/1PP1Q2P/2KR4 w q -,g5e6
3r2k1/p1Q3p1/1p2pq1p/4N2P/5p2/1b3P2/6P1/2R3K1 w - -,e5g6
1r2nrk1/1ppb2bp/p2p4/3P1p1q/2P2B2/1PN3P1/P2QB2P/2R1K2R b K -,h5h3
7k/p3R3/3p1rpp/8/8/5P2/7P/5K2 w - -,f1e2
rr1b2k1/2nq1p1p/p1p1p1p1/2Pp1n2/P2P1P2/R1B2PP1/1N1Q1K1P/R4B2 b - -,d8f6
1r4k1/5p1p/p3bnp1/q1b1p3/1pP1P1P1/P2B3P/1B1Q4/K2R3R b - c3,b4c3
3r4/pp2k1b1/4p3/2p1n1Pp/5n1P/2PP4/PPBK1P2/3R3R w - -,d2e3
2r2b2/1p2qp1k/p3bnpp/4p3/N1P1P3/4B2P/2Q1BPP1/1R4K1 w - -,c2b2
8/4k3/8/2R2P2/1P4r1/K7/8/8 b - -,e7d6
8/8/5B2/2b5/5k2/7p/8/5K2 b - -,c5e3
2r4k/5R1p/4Q3/2q1p1b1/p3P3/1p6/PPP4P/NK1R4 w - -,a2b3
4r3/4PR1p/6p1/3k2P1/5P2/8/2K5/8 w - -,c2d3
r1bqkb1r/1p2pppp/pn6/3pP3/3P4/2NQ1N1P/PP3PP1/R1B1K2R b KQkq -,e7e6
4rb2/8/1pk2p2/p1pRn3/2P1Pp1p/1P2B2P/P5K1/5R2 w - -,f1f4
r3kb1r/ppqn1ppp/2p1pn2/8/2BP4/2N2Q1P/PPPB1PP1/2KR3R w kq -,g2g4:h1e1
r1b2rk1/pp3ppp/2n5/2pQ4/8/BPP1q1P1/P4RBP/R5K1 b - -,c8e6
r5k1/6p1/3pq2p/p1p1pp2/QrP1bP2/P3P1P1/1P5P/1NKR1R2 w - -,a3b4
8/2bPkp2/R4N2/6P1/p5K1/8/6rP/8 w - -,g4f5
rnbqk2r/pp1p1ppp/4p3/3nP3/1b6/5N2/2PP1PPP/RNBQKB1R w KQkq -,c2c3
1r1q1rk1/4bppp/p2p4/7n/P2QP3/B4P2/B4P1P/R3R1K1 w - -,a1d1
8/pp2Pk1p/6p1/8/K7/2P5/3R4/8 b - -,f7e7
3r2k1/1p2qpbp/2n1p1p1/pR1r2B1/P1QP4/1P3N1P/5PP1/1R4K1 b - -,g7f6
r2qk2r/pp1bbppp/1np1p1n1/3p4/3PP3/1P1Q1PP1/P1PNN1BP/R1B1K2R w KQkq -,c1b2
r1r5/1p1k2p1/1pnnppp1/3p4/P2P4/1P2PN2/2RB1PPP/2R2K2 b - -,g6g5
8/p7/1p2k3/5r1p/3R4/1PP3K1/7P/8 w - -,d4d8
r2qk2r/pbp1bp2/1p2p2n/4n2p/2BP2p1/P3B3/1P3PPP/RN1QNRK1 w kq -,c4b3
1R6/6rk/p1p5/b1Pp1p2/3P1P1p/P3P2P/5K2/5N2 b - -,a5c3
3R4/pp5p/b3k3/3p1p2/8/2P2P1P/P4P2/6K1 w - -,f3f4
8/7k/2R5/pP5p/P3r3/8/6K1/8 w - -,c6c5
r3r1k1/1bqnbppp/pp2pn2/8/2PN4/PP4N1/1B2QPPP/1B1R1RK1 w - -,f1e1
8/r3r1k1/p2R2p1/1p2Pp2/2p2Pn1/5KP1/PP2B3/7R b - -,e7d7
2rqkb1r/p2b1ppp/Bp2p3/n2p4/3P1B2/2P1P2P/P1Q2PP1/1R2K1NR b Kk -,a5c4
1Q6/2Nr3p/B2p1q1k/3P4/5p2/4p3/K5b1/6R1 b - -,f6g7
2r5/3R1p2/1p2pkp1/p6p/P1P2P2/5BP1/5K1P/8 b - -,c8c4
7r/5Pk1/p3B1P1/4P3/1p5p/8/PP4b1/K4R2 w - -,f1f4
2r2k2/4bp1p/4pp2/rN6/2P2P2/P2R2B1/1P5P/K7 w - -,d3d4
4r3/6k1/4pp1n/p1Pp4/r2N1PP1/2P4R/8/4R2K b - -,h6g4
3r1rk1/1Bq1bnpp/p3p3/2p5/1p3P2/1P2P3/PBQN2PP/2R2RK1 b - -,c7b7
2rb1rk1/1p1n1pp1/p1p1p2p/2Pp4/1P1PbB2/4P2P/1P1NBPP1/R4RK1 w - -,f2f3
3rr1k1/p4ppp/8/8/2Qq4/P5P1/4PbBP/R4R1K w - -,c4c2
2rqk2r/1p3p1n/p2p2p1/3Pp1b1/PP2P1Q1/R3N3/3B1N2/4R1K1 w k -,e1c1
r3r1k1/p3qppp/1p1b1n2/2np4/7N/1P1bP1P1/PB1N1PBP/R2QR1K1 w - -,b3b4
6k1/3n1ppp/bp6/p7/3Bp3/1P4P1/P1r1PPBP/R5K1 w - -,g2e4
r4rk1/2qnbppp/p2pp3/1p4P1/3NbP2/P3B3/1PP1B2P/2RQ1RK1 w - -,c2c4
8/1p1b1k2/5P2/4B2p/2P1p3/1p6/P4K1P/8 w - -,a2b3
8/3r3k/1P3p1p/6p1/2NpP3/1p5P/1K3PP1/8 w - -,b2b3
2r1B1k1/p5bp/3p1n2/2p1p3/1p3p2/1P3R2/P1bB1N1P/4R1K1 b - -,c8e8
1r6/1r1n2k1/4ppp1/5q1p/1N1Pn2P/1R1NP1P1/4QPK1/1R6 b - -,g6g5
r2qk2r/pp2bppp/2np1n2/2p1p3/4P3/2PP1QPP/PP3PB1/RNB2RK1 b kq -,e8g8
4r1k1/1p1R1p2/p3nQpq/2p5/P3P1Pp/1P5P/5PK1/3R4 b - -,e8f8
7r/1p1kbpp1/4p3/3pP3/1PPP1Pb1/2Q3n1/5KBq/BN3R2 w - -,c3c2
2q3k1/4rp2/pBp3p1/P1P1P3/3Q2Pn/7p/7P/4RB1K b - -,h4f3
4b3/8/N7/1p2k1P1/2p5/K7/8/5B2 w - -,a6c7
2rr2k1/pp2qp2/4b1pQ/4P3/1Pp5/PnN3P1/5PBP/1R1R2K1 b - -,e6f5
rr2q1k1/3n1n1p/3pppp1/p1pP4/N1NbPP2/1P6/P3QBPP/1RR4K w - -,d5e6
1R6/6p1/6k1/4p3/1B6/8/K7/3r4 w - -,a2b2
r1b2rk1/p5pp/1p3n1q/2pp1p2/P2Pn3/QP1BPN2/3N1PPP/2RR2K1 w - -,d2f1
4qbk1/r1n2bpp/r3p3/5p2/1p1NQP1P/3P2PB/PBP1R3/1R4K1 w - -,e4g2
k2r1b2/p4P1p/2p3p1/4Q3/2P3P1/3q3P/3p1R2/3K4 w - -,e5b2
3r1nk1/8/6pP/1p1qpp2/5P2/2Q5/5R1K/8 b - -,d5d4
3R2k1/2r1q2p/p5p1/8/1P2P1Q1/P7/1bp2PK1/3R4 b - -,g8f7
4rbk1/p5np/R5p1/4Pp2/Nr1P4/4B2P/P6K/2R5 b - -,b4b7
r1b2r2/pp2qpkp/nnp1p1p1/8/2pP4/2N3P1/PP1NPPBP/R1QR2K1 w - -,a2a4
r1b1k2r/1q3ppp/2nb4/3Qp3/4P3/4B3/PPP2PPP/R3K2R w KQkq -,d5d6
r1bq1r2/pp4kp/5pp1/3Q4/8/P4N2/1P3PPP/2RR2K1 b - -,d8d5
4rq2/1p3npk/2p2p1p/1nP2P2/1PBPNQPP/8/7K/R7 b - -,f8e7
3r4/3N1pkp/r3p1p1/p7/PnP5/6P1/3R1P1P/4R1K1 w - -,e1d1
5nk1/5pp1/4pn1p/B3P3/8/3r1NPP/5PK1/8 w - -,e5f6
6B1/2n1b1p1/3p1k1p/3Pp2P/6R1/3rB1P1/5P2/6K1 b - -,e7f8
8/1p2k3/3pp3/p6p/P1P2b1P/1P1R1KP1/8/1r6 w - -,f3f4
3R4/6pp/5p2/2k5/2p5/3bPP2/1P3KPP/8 w - -,f2e1
2kq2rr/pp2bpp1/n1p1p2n/3pPb1P/3P1BB1/1NP4P/PP2QPN1/3R1RK1 w - -,f2f3
1rbq1nk1/1r2ppbp/pp1p2p1/2pP4/P1P1PP2/1PN3PP/RBQ4K/3R1B2 b - -,c8d7
r4rk1/1bppqp1p/n3p1p1/p7/2PP1Qn1/P1N2N2/1PB2PPP/R3R1K1 b - -,b7f3
5bk1/prq2p1n/2Np1np1/1r1Pp2p/1B2P2P/P4PP1/4QNK1/1R5R w - -,b4d6
4k3/5pp1/p6p/1p2Pr2/2P1R3/4b1BP/P5K1/8 b - -,e3c5
3b4/p4k2/P7/1P3P2/4K1Np/8/8/8 w - -,g4e5
k1r4r/1b3p2/2q3p1/p7/1p1R4/1P3PQ1/1PP4P/1K1R1N2 w - -,f1e3
8/1p1q2pk/p3p2p/Pb2Pp2/3NpP2/4P1P1/1P1Q3P/6K1 w - -,d4b3
r1bqr1kb/2nnpp1p/p2p2pB/1ppP2N1/2P1P3/2NB3P/PP1Q1PP1/4RRK1 w - b6,f2f4
8/p5kp/1p2b1p1/8/2Pr4/1P1BR3/P4P1K/8 b - -,g7f6
3qrrbk/1p1n2bp/p1p1p3/2Pp1p2/NP1P4/3BP1B1/P1Q3PP/R4RK1 w - -,g3d6
r5k1/pr3ppp/2p1p1q1/1b2P3/3P4/Q3NP2/P5PP/R1R3K1 w - -,a1b1
1r6/2r1ppk1/1p1q2n1/pQpPbBp1/1P2P2p/P4PP1/2R2BKP/2R5 b - b3,a5b4
r1bq1n1r/pp2pnkp/2p2pp1/3NPP2/3P4/2QB1N2/P1P3PP/4RR1K w - -,e5f6
3r2k1/p4ppp/1pp3n1/6Q1/1qPP3P/5N2/P4PP1/4R1K1 b - -,f7f6
r1bqk2r/pp2ppbp/2n3p1/8/3PP3/5N2/P4PPP/1RBQKB1R w Kkq -,d4d5
rnb1kb1r/ppp1pppp/5n2/3q4/8/6P1/PP1PPP1P/RNBQKBNR w KQkq -,g1f3
8/8/3p1qp1/2p3k1/8/P7/1PP1Qr2/1K5R w - -,e2d3
8/1pk4p/p1b3p1/2P5/3N2P1/P6P/8/5K2 b - -,c6d5
1rbq1r2/pp2n1bk/3p2pp/2P1pp2/2P5/2NP2P1/P1QNPPBP/1R3RK1 b - -,d6c5
1rr4k/3bq1pp/1p2np2/2pBp3/n3N3/P2PP3/2Q2PPP/1RR1B1K1 b - -,d7e8
rnbqkbnr/pp3ppp/3pp3/2p5/4P3/2N5/PPPPNPPP/R1BQKB1R w KQkq -,g2g3
r5k1/1p1r1ppp/2n5/p2pq3/8/1P2P1P1/P3QPBP/3R1RK1 w - -,d1d2
3r1rk1/pp4bp/2np1np1/q3p3/4PP2/2N1B2R/PPP1B1P1/R2Q1K2 w - -,f4f5
r2q1rk1/p4nbp/bpp1p1p1/2p1PpP1/5P2/2NP1N1P/PPP5/R1B1QRK1 b - -,c5c4
2b2r2/5r2/pp1p1ppk/2pP4/P1P1P1Pp/1PR4P/5RB1/7K w - -,c3e3
r1bq1rk1/pppn1pb1/3p1npp/3Pp1B1/2P1P3/2N2N2/PP2BPPP/R2QK2R w KQ -,g5h4
8/B4pp1/p5kp/R5b1/5r2/5K2/8/8 w - -,f3g3
2nr4/2q3pk/6bp/p1p1R3/2P2Q2/1P3P2/P5PP/4R1K1 w - -,h2h4
8/8/6p1/4kp1p/3pb2P/3B2P1/4K3/8 w - -,d3c4
8/3Q2pp/p4pk1/1pPp4/3q4/6P1/PP4KP/8 w - -,c5c6
1r4k1/p1p2ppp/1n4b1/2pP4/8/2b3P1/PP2BP1P/R1B3K1 w - -,b2c3
7k/1p6/p1p1r2b/3p1b2/3P1B2/5B2/PP3PK1/7R b - -,h8g7
r1bqk2r/1p4pp/p1n2p2/3p4/1b1N4/2N1P1P1/PPQ2PP1/2R1KB1R b Kkq -,c6d4
R7/8/4k1p1/1pB1p3/1Pbn2r1/3B4/5K2/8 w - -,a8a6
1r1q1rk1/1p2npb1/2npb1pp/p1pNp3/2P5/P1NP2PP/1P1BPPB1/1R1Q1RK1 b - -,g8h7
r3k2r/p1pbqp2/2pp4/4n1pp/1b1NP3/3B2BP/PPP2PP1/R2Q1RK1 w kq -,d4b3
4r3/1pr1pk2/pR4pp/3P1p2/1P2p3/2P3PP/1P1NB1P1/6K1 w - -,d2c4
r4rk1/1N2bpp1/2p2n1p/3p3q/1p1Bp3/P1P3Pb/3QPPBP/R4RK1 w - -,a3b4
