8/6p1/6Kp/8/8/4N3/5pk1/8 b - -,g2g1
3R4/5pk1/3N2p1/7p/7P/2K1rPP1/8/8 w - -,c3d4
2r2rk1/1bqpbppp/pp2pn2/8/Pn2PP2/1NN1B1P1/1PP1Q1BP/2R2RK1 b - -,d7d5
r1b1kb1r/1pqn1ppp/p2ppn2/8/2PNP3/3B4/PP2QPPP/RNB2RK1 w kq -,f2f4:b1c3:b2b3
2r4r/4nkpp/1p2bp2/p2p4/P2PP3/3N1PbP/1B4B1/R2R2K1 w - a6,b2a3
1qb2r1k/3p1ppp/2pNp3/p1P1P3/2r2P2/P3Q1R1/1P1R2PP/1K6 b - -,c8a6
r2q1rk1/3n1pp1/2p1bn1p/ppb1p3/4P3/4NPP1/PPP1QNBP/R1B2RK1 b - -,d8b6
r4rk1/pb1n1pbp/1p2p1p1/1N1p4/3P1B2/6P1/PP2PPBP/R4RK1 b - -,a7a6
r4rk1/pb2qppp/1p6/2ppN3/8/2P1P3/PP3PPP/1BRQ1RK1 b - -,e7e5
3rr1k1/2q2pp1/7p/pR2b3/P2p4/1N1Q2P1/1P3P1P/5RK1 w - -,b3a5
8/6kp/pr3pp1/3Q4/5P1P/7P/P5K1/8 w - -,h4h5
4nr2/Q3qk1p/3pppp1/8/4P3/1P2B2P/P4PP1/2R3K1 b - -,e7a7
2R1n3/p3r1k1/Pp1p2nb/1N1Pp3/1PN1Pp2/8/5K1P/2B5 b - -,e8f6
3rr1k1/1ppqbpp1/p6p/3bP3/8/P1QBB3/1P3PPP/3RR1K1 b - -,d7g4
2r5/3qn1k1/3p1rp1/p1p1ppNp/PpP1P2P/1P1PPRP1/4Q1K1/5R2 w - -,e4f5
r4rk1/pp3p1p/q1n3p1/3p1b2/3P4/P3P1P1/1Q1N1PBP/R4RK1 b - -,f8d8
r3rq1k/1p1bR2p/2p2pp1/p1Q5/5P2/1BP5/PP3KPP/4R3 b - -,d7f5
2b1r1k1/1p3pbn/2pR2p1/7p/nPq1PP2/6PP/4RBB1/1N2Q2K b - -,g7f8
1rb2rk1/p3ppbp/1qpp1np1/8/3PP3/2N2N1P/PPQ2PP1/R1B1R1K1 b - -,c8a6
3q1bk1/1r1n2r1/1P1p4/p1pPp2p/P1N1Pp2/1QN2P2/3KB2P/5R2 w - -,f1b1
4r3/pp1r1kbp/2p5/8/P2Pp3/2B5/1P2RPPP/4RK2 b - -,d7e7
8/8/3k4/1KR5/1P1P4/8/8/2r5 b - -,c1d1
5k2/5p1p/1b2pPpP/pn1pP1N1/3P2P1/1P1K4/8/2B5 b - -,f8g8
8/5k2/5q2/p2Pb3/P5Q1/6P1/5BK1/8 b - -,f7e8
2r1r1k1/pbqn1pb1/1p4pp/2p1p2n/2B1P3/2P2NBP/PP1N1PP1/R2QR1K1 w - -,d1b3
8/8/8/R3p3/5p2/4rk1K/8/8 w - -,h3h4
r3r1k1/1b1n2q1/5pp1/3pn3/1p1B4/1N1BQ2R/P1P4P/1K4R1 w - -,h3g3
r1bq1rk1/1pnnppbp/p2p2p1/2pP4/P3PB2/2N2N1P/1PP1BPP1/R2Q1RK1 w - -,d1d2
r1bqkb1r/5ppp/p2ppn2/1p6/P1BNP1P1/2N1BP2/1PPQ3P/R3K2R b KQkq -,b5c4
r1b2rk1/pp3pb1/1np2qp1/3Pp2p/2B1P3/2N5/PP1NQPPP/R4RK1 w - -,c4b3
4rr1k/3b2bp/p1pP1n1q/2Pn1pp1/1PN1pP2/1Q4P1/PB2N1BP/3RR1K1 w - -,f4g5
2rr2k1/pp3p1p/5qp1/8/1P2Q3/P7/5PPP/3R1RK1 b - -,b7b5
1r3n2/2p2kb1/br4p1/3pP2p/P2P4/6N1/2BB1PP1/1R2R1K1 w - -,b1b6
6k1/5ppp/p1pN4/2P1q3/1P3nP1/7P/P2r2B1/5Q1K w - -,d6c4
2r2rk1/bp3pp1/p2pq2p/4p3/1P2P3/2PQ1N2/P4PPP/3R1RK1 w - -,d3d6
8/2r2p2/3k1P2/5KP1/4R3/8/8/8 b - -,c7c5
2Q5/3r1kp1/2p5/1p2n2P/6P1/6K1/6P1/8 w - -,g4g5
8/1r3pk1/5npp/8/Bp1R4/4P1P1/P4P1P/5K2 b - -,b7a7
r4rk1/pp1nbppp/1qp1p3/3n4/2QP1Bb1/2N2NP1/PP2PPBP/R1R3K1 w - -,f4d2
8/1b1nkppp/1p1p4/1PpPp3/2P1P3/4K3/3N1PPP/B7 b - -,b7c8
rqb2rk1/4bppp/3p4/1pBPp3/p1N2P2/P7/1PP1B1PP/R2Q1R1K b - -,b5c4
1r4k1/7p/3R2p1/1p4P1/2p1r3/6R1/1P4B1/6K1 b - -,e4e1
8/4b3/4k3/3pPp2/p1pP1P2/5n2/1PK2B2/3N4 b - -,a4a3
r4r1k/1pq2ppp/p1pb4/4n3/PP1p4/1Q1P1BPP/3BPPK1/R4R2 w - -,b4b5
r1bq1rk1/pp2b2p/4p1p1/3pPp2/3NnPP1/1P2B3/P1Q1B2P/R5RK b - -,c8d7
4rk2/7p/4Ppp1/3p4/R2N1P2/3P2PP/1b4K1/8 w - -,g3g4
r1b1r1k1/1pq2pbp/2pp1np1/p1n5/P1PNPB2/2N3PP/1PQ2PBK/3RR3 b - -,f6h5
R7/4kp2/p3prp1/1p6/2q3P1/P7/1PP5/1K2Q3 w - -,a8a7
8/2p4k/2p1p3/r2n3R/1N4P1/P7/1K2R2P/3r4 b - -,h7g7
5r2/p6p/3k2p1/2pp4/8/1PP4P/P2nN1P1/4R1K1 w - -,e2g3
3k4/r5pp/p1Bp1b2/3P3P/1P2p3/1KP1qr2/6Q1/R3B3 w - -,g2h2
5bk1/2p2p2/1p1p3q/1P1Q1B1p/2PBPP1n/7P/5K2/8 w - -,f2g3
3rk2r/pp3ppp/q3p3/3n4/2Nb4/BP4Q1/P4PPP/3R1RK1 b k -,d5c3
1r1r2k1/p4pp1/8/2n3qp/8/1PNpbPP1/PB3RKP/3Q1R2 w - -,f3f4
6k1/pR6/8/7B/3b2n1/1P4PK/5r1P/2B5 b - -,g4h2
r1bq1rk1/4ppbp/2p3p1/3n2P1/2pPNP1P/6N1/PP1Q1B2/R4RK1 w - -,f1c1
8/1k3p2/2R2K2/2b1NP2/4P3/8/8/5r2 b - -,c5d4
r4rk1/1b1p1ppp/p3p3/1p4Pn/1bq1PP2/1NN1B3/PPPQ3P/1K1R2R1 w - -,d2d7
3R4/1b4p1/7r/1pk1Pp2/1Np4p/2P2P1P/1K4P1/8 w - -,d8d7
2r2rk1/1b1qbp1p/p1p1pBp1/1p6/3P4/2N1P3/PPQ2PPP/1BRR2K1 b - -,e7f6
8/pp1r1nkp/2p1R3/5pp1/2Pp1P2/3P2P1/PP3K1P/5B2 b - -,g5g4
2r2rk1/1p3ppp/p3P1b1/8/1b1N1B2/3n1P1P/4B1P1/2R2RK1 w - -,e2d3
1q2r1k1/r2n2pp/2bb1p2/p1pNp3/1pP1PP2/1P3QP1/P6P/B2RNRK1 b - -,a5a4
r1br2k1/pp3ppp/n7/4p3/3pP2P/P2P1P2/1P1qBP2/1NR2K1R w - -,b1d2
3b4/5k2/8/3N1Kp1/6P1/5P2/8/8 w - -,d5e3
r1bqkb1r/pp2pp1p/3p1np1/8/3QP3/2N5/PPP1BPPP/R1B1K2R w KQkq -,e4e5
1r1qk2r/3bbpp1/p2ppn2/1p4B1/2nNPP2/P1N5/1PPQ3P/2KR1B1R w k -,d2e1
r3r1k1/1pqbbpp1/p1n1pn1p/8/3P4/P1NQBN2/BP3PPP/3R1RK1 w - -,a2b1
2q2rk1/4p2p/p2p2p1/3b4/3R4/Q4PP1/P3K1BP/8 w - -,a3a5
r1b2rk1/ppqn1pbp/2p2np1/4p3/2P5/5NPP/PPQ1PPB1/RNBR2K1 w - -,e2e4
8/4k3/p1n5/P3P3/4K3/1N6/8/8 b - -,e7d7
r7/1K4pp/P7/8/4p3/4k3/R5PP/8 b - -,a8f8
r1q2rk1/2p3pp/p1Q1b3/4B3/1P2P3/P5P1/5PBP/4R1K1 b - -,c8d7
r3kb1r/pp3ppp/4p3/3qN3/3n4/8/PP3PPP/R1BQ1RK1 w kq -,c1e3
1r6/p2k3p/1p2p1p1/2P5/P4P2/4K3/6PP/1R6 w - -,e3e4
2rq1rk1/pp2ppb1/2p1bnpp/3pB3/2PP4/3BPN1P/PP2QPP1/R1R3K1 w - -,c4c5
r2qkb1r/pp3ppp/4p3/3pnb2/2P5/4B3/PP1NBPPP/R2Q1RK1 w kq -,c4d5
3r1b2/5k2/6Rp/1N2pp2/1p6/7P/1P3PP1/6K1 w - -,g6c6
4rr1k/ppq1n1bp/2ppbnp1/5p2/P3PP2/2NP1BQP/1PPB2N1/4RR1K b - -,f5e4
8/5pkp/3p2p1/3Pp1b1/4P1P1/p4rPK/Pq4N1/4R2Q w - -,g2f4
6k1/p4p1p/1bp5/2p3B1/8/2P3PP/PP3P2/5K2 b - -,c5c4
6k1/5p1p/p5p1/3B4/4p3/p2qP1P1/3n1PKP/3Q4 w - -,d5a2
r1bq1rk1/ppp2ppp/1bB5/3pP3/3Pn3/5N2/PPQ2PPP/RNB1K2R b KQ -,b7c6
8/8/R5p1/p4k1p/r4P2/8/3K2P1/8 w - -,d2e3
r4r1k/1p4pp/2p1Q3/7N/p2PP1P1/qP2b3/P6P/3R1R1K b - -,e3d4
3r4/P3k3/3b2p1/4p3/1P6/4p2P/2r2P1P/R2R2K1 w - -,f2e3
rnbqkb1r/pp2ppp1/2p2n2/7p/8/5NNP/PPPP1PP1/R1BQKB1R b KQkq -,h5h4
2q3k1/p4pp1/1p1n3p/3bN3/P2P4/5P2/5BPP/1Q4K1 w - -,h2h3
1r6/2bPk3/8/2P4B/p7/6p1/PP1R2K1/8 b - -,b8h8
r2q1rk1/ppp1b1np/3p2p1/2PPp3/4P1b1/2NNB1P1/PP1Q1R1P/2R3K1 w - -,f2f8
rn1qkb1r/pp3ppp/3pp3/3n4/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQkq c3,d5b6
2r1kb1r/1q3p2/p1n5/1p1pPp1p/b2P4/P1PB4/3BQ1PP/1R3RK1 w k -,d3f5
8/p4kpB/5p2/1n1n2PP/2p2P2/8/5K2/B7 w - -,f2f3
rnbq1rk1/1pp1npb1/p3p1pp/8/P2PN3/3BBN2/1PP2PPP/R2QK2R w KQ -,d1d2
4R3/3r2kp/2Q3pn/5p2/5P1P/6P1/3q2B1/7K w - -,c6c5
8/1n6/3k1p2/3Pp3/4P3/4K3/4B3/8 b - -,d6c5
2r1kb1r/pq3p2/2p1p3/4N2p/3PQ1pP/2R1P1B1/PP3PP1/6K1 b k -,f8e7
5n2/5P2/6P1/8/1p6/3k4/pK6/8 b - -,f8g6
r4rk1/3b1ppp/1NNbpq2/pB1p4/8/P5P1/5P1P/R2Q1RK1 b - -,a8d8
r2qr1k1/p4pbp/b2p2p1/2pn4/1pN1P3/5PP1/PPQ1N1BP/R1nR2K1 w - -,d1d5
rnq2rk1/ppp1ppnp/3p2p1/8/1PPP4/5NP1/P2NPPKP/R2Q1R2 b - -,b8d7
8/8/1p4B1/p5P1/1k1N1K2/8/1P4b1/3r4 w - -,f4e3
2q1r1k1/r4p1p/pp1p3b/2pPn1P1/P3P1n1/2N5/1P1QBPPB/R3R1K1 b - -,h6g7
8/5R2/3kp3/5p2/5P2/2b2K2/8/8 b - -,c3d2
rn1qk2r/pbppbppp/1p2pn2/8/2PP4/1Q3NP1/PP2PPBP/RNB2RK1 b kq -,e8g8
8/1b3kpp/p2Bpp2/1p6/2p1PP2/P1P1bP2/1P2N1KP/8 w - -,g2g3
8/p4k2/1b2p1p1/4P3/r1p2P1N/3r2PK/2R4P/2R5 b - -,d3d4
5k2/4pp1p/2Bp2p1/3n4/5PP1/R1P3KP/1r6/8 b - -,d5f6
2n5/p5bp/1pBk2p1/5pP1/2p2P1P/2P2K2/PP3B2/8 w - -,c6b5
1kbr2q1/4b2p/p4p2/4p3/1p2P3/1P1NBP1Q/2P4P/2R1K3 w - -,h3g3
r1b1r1k1/ppN2pbp/n2B2p1/2P1P3/q5n1/5N2/PP1QBPPP/R3K2R w KQ -,c7a8
8/1p6/2p2kp1/P1P2b1p/5K1P/8/5P2/5B2 b - -,f5d7
8/r5k1/3b2p1/3p1pNp/2pP1P1P/2P1P3/1R4K1/1q6 w - -,b2b1
2r3k1/p5pR/1p2p1n1/5P2/5P2/P5K1/1r4B1/7R b - -,c8c3
1n1q1rk1/3bbppp/r3p3/pp1nN3/2p2B2/P1N3P1/1P3PBP/R2QR1K1 w - -,c3d5
1r2k2r/p2n1pbp/2p3b1/q1Ppp1p1/3P4/4P1B1/P2NBPPP/R1Q2RK1 w k -,e3e4
1r1q1rk1/p3npbp/1pbpp1p1/2p5/1PPnPP2/P1NPB1P1/4N1BP/1R1Q1RK1 w - -,e3f2
1r4k1/p1p2ppp/2p1bn2/8/4P3/3B1P2/P1P2QPP/q1B2RK1 b - -,a1a2
r4r2/pbqnn1kp/1p1p2p1/2pPpp1P/2P1P3/2P2PP1/P2N1B2/R2QKB1R w KQ -,g3g4
2k5/p1pbqp1r/1p1p1nrp/n3p1p1/4P1N1/P1PPBQPP/B1P2PK1/1R2R3 w - -,g4f6
rn3rk1/1p3pb1/2p2npp/4p2q/p3P3/2P2N2/PPBN1PQ1/R1B1R1K1 w - -,d2c4
1r1qnr2/pk2np1R/2p2b2/1pPp1PpN/3Pp1B1/PP2P2Q/1BK2P2/7R w - -,b2c3:h3g3
r3r2k/1p3pp1/1qp1bnnp/3p4/1b1NP3/1BPP2QP/3N2PB/4RR1K w - -,d4e6
2rr2k1/1bq2pp1/pp2p2p/8/2P5/1PN2PP1/P3QP2/2RR2K1 w - -,d1d8
rrb3k1/2q3bp/p2p1pp1/1PnPp3/2p1P1P1/2P1B3/1PBNQPP1/R3R1K1 b - -,a6b5
4r1k1/N1nn1ppp/1p1q4/2pP4/Q7/P1N4P/1P3PP1/R5K1 w - -,a1d1
8/ppk2p1p/2p1np2/8/4PP1P/4K1P1/Pr2N3/7R b - -,b7b5
8/3nkppp/1p2p3/p3P3/5P2/1P4P1/P1N1R1KP/3r4 b - f3,d1b1
2r1k1nr/1p1b1p2/p3p2b/3pP1Bp/3q4/P2B1N1P/5PP1/R2Q1RK1 b k -,d4a4
6R1/2p2b1k/1p1p3p/pP1Pp2q/P1P1P2P/4B2Q/3K4/8 b - -,f7g8
3r2k1/p6p/B1P3p1/4pp1P/P2b4/2p5/2P2PP1/4R1K1 b - -,d4b6
2kr3r/1pp2ppp/p3p3/5n2/P2P4/5N2/2N2PPP/R4RK1 b - -,d8d6
3rrnk1/8/p2p1p2/1bpP2p1/1p2PPPq/1P2BB2/P5Q1/3RR1K1 w - g6,e4e5
8/5pkp/6p1/2p2n2/2N2P2/1r1r2PP/6RK/6R1 b - -,f5d4
1Bb2k1r/1pN1pn1p/2p3p1/8/2P5/8/Pb3PPP/3RKB1R b K -,c8g4
2kr3r/2qn1p1p/ppb1p1p1/2p5/4PP2/1RN1Q1PP/P1P3BK/1R6 w - -,e3e2
8/7p/6p1/P5k1/1RK3P1/7P/4r3/8 b - -,g5h4
r1bR2k1/1p2bpp1/2p3np/p3p3/P3P3/1B3N1P/1PP1NPP1/R5K1 b - -,e7d8
r2qr1k1/1pp2ppp/p1pb1n2/4Nb2/8/1P2PN2/PBPP1PPP/R2Q1RK1 b - -,f6g4
1r4k1/2r1b2p/3N3P/p1pRp3/P1P2p2/1q3P2/2Q3P1/3R2K1 w - -,c2f5
r1b2rk1/4qpb1/1n1Np1p1/p1pnP2p/Pp5P/1N1B4/1PP1QPPB/R4RK1 w - -,e2e4
3bqr1k/1b1n1p1p/r1n1p1pP/3pP3/pppP2Q1/4BNPB/PPP2P1N/R3R1K1 w - -,e3g5
r1bqkbnr/pp2pppp/2n5/2ppP3/3P4/2P4P/PP3PP1/RNBQKBNR b KQkq -,e7e6
rnbqk2r/pp3pb1/2p4p/4P1p1/4P1n1/2PB2B1/PP4PP/RN1QK1NR b KQkq -,g4e3
6k1/pp3ppp/2pn4/3p4/P2P2B1/2P2Q1P/1P6/1q2B2K w - -,f3e2
r1bqkb1r/pp3ppp/2n5/2p1p3/2B2n2/1PN2Q2/PBPP1PPP/R3K1NR w KQkq e6,g1e2
3r2k1/p4pp1/1p5p/2p5/4P2P/P3P1PK/5qB1/2Q5 b - -,d8d2
8/b2r1p2/2R3p1/4p1k1/4P2p/1B5P/P3K1P1/8 w - -,b3d5
8/p4pkp/5bp1/1B1r4/PB6/1n5P/5PP1/4R1K1 w - -,e1e8
r4rk1/p1p1b1pp/3pqn2/2p2NB1/4P3/3Q1R1P/PPP3P1/R5K1 b - -,h7h6
8/2rn2k1/2nR4/pR2pPp1/3P2P1/8/3BK3/8 w - -,d2a5
6k1/1p3pp1/p6p/2qn4/5P2/P2pP3/1P1Q2PP/5RK1 w - -,f1c1
8/8/6p1/1pn5/p1k3p1/P1P5/1P2K3/2N5 b - -,g4g3
r4rk1/1b1nqppp/pp2pn2/2p5/Pb1P4/1P1BPN2/NB2QPPP/R4RK1 b - -,f8c8
4b3/4k2p/p5p1/1p6/4BP2/1Pr3P1/P1R2K1P/8 b - -,c3c2
5rk1/pp4pp/2p1r3/8/P3N2Q/5P1P/1q4P1/4R1K1 b - -,b2d4
r2qk2r/ppp1n1bp/3pp1p1/8/4PP2/P1N5/1PP3PP/R1BQ1RK1 w kq -,f4f5
2kr3r/2qn1pp1/p3p2p/1pbbP3/8/P2B1NB1/1PP1QPPP/4RRK1 b - -,d7b6
8/8/5kpp/3P4/4p1NP/5PK1/4r1P1/8 b - -,f6g7
4r3/5p1k/1b1n1Npp/8/6q1/6P1/PP3PBP/5RK1 b - -,h7g7
8/4k3/4P1p1/8/6BK/7P/8/6r1 w - -,h4g5
3r1rk1/1p2b1pp/2pqbp2/8/pP1B4/P3P3/2Q1BPPP/1R2K2R b K -,d6d5
1rbq1rk1/1pp1bppp/p1n1pn2/6B1/2pP4/2N1PNP1/PP3PBP/R2Q1RK1 w - -,f3d2
1r2r1k1/3bqpp1/2pb1n1p/p2p4/N2P3B/P2B4/1PQ2PPP/1R3R1K b - -,e7e6
1rb1k2r/2q1bpp1/p3pn1p/1p2p3/8/2NN1PQ1/PPP3PP/1K1R1B1R b k -,e8g8
2r1r1k1/6b1/3R2pp/3nPp2/8/1P3P1P/1B5K/4R3 b - -,c8c2
2r3k1/2q2pp1/4p2p/p7/6n1/P1bRP1PP/2Q2PB1/2B3K1 b - -,c3e1
r4rk1/ppqnbpp1/2p1pn1p/2Pp1b2/3P4/1P2PN2/PB1NBPPP/R1Q2RK1 w - -,h2h3
2k5/1p6/1Br1p2p/PR2PnpP/2p5/2Pr2P1/4K3/2R5 b - -,f5g3
rn1q1rk1/pp4pp/2p1R1B1/b2p4/3P1p2/P1N2QBP/1PP2PP1/R5K1 b - -,f4g3
r1b2r2/ppp4p/3pBb1k/2nPp3/2P1P1Q1/2N3P1/PP4K1/R7 b - -,f6g5
8/2r1kp2/5p2/P3pP2/1P2P2p/3Rb1rP/B7/1K1R4 w - -,b4b5
7n/6KP/8/p7/2p2N2/P7/1k4P1/8 w - -,g7h8
8/pp6/5k2/5p2/3Pp3/1P4K1/P7/8 b - -,f6e6
3r2k1/5qp1/pp2nN1p/3n1b2/2pP1p1Q/P1P2P2/2BBR1PP/6K1 b - -,f7f6
3r4/p3ppk1/1p1b3q/2pP2pQ/P7/2PB2PP/1P3P2/4R1K1 w - -,h5g4
8/3k1p2/3pp3/1p3r1p/1R5P/5rP1/1PP1RP2/4K3 w - -,b4d4
2r2rk1/1b2bppp/1qp1pn2/pp1nN3/P2P4/1BN1P2P/1PQ2PPB/2RR2K1 w - -,c2e2
8/6pk/1p5p/p1r5/P1q1pQ1P/6PK/2p5/2R5 b - -,c4e6
5Q2/p2q4/5p2/2P2kp1/2K5/P7/7P/8 b - -,a7a6
rnbqkb1r/pp2pppp/2p2n2/8/P1p5/5NP1/1P1PPPBP/RNBQK2R b KQkq a3,d8d5:b8a6:h7h6:a7a5:b8d7
k7/p3q1B1/2p1p2p/7P/1r4P1/1PQ5/PK6/8 b - -,b4g4
2b1rrk1/6bp/1ppq2p1/p1p1p3/P3P3/1PQPBN1P/2P2RP1/5RK1 w - -,f3d2
8/3R1pkp/p5p1/8/Pp4P1/1P3R2/1r3PPK/1r6 b - -,b2b3
r2r2k1/2q2pbp/6p1/1BBbpn2/1P6/2P2N1P/4QPP1/R3R1K1 b - -,e5e4
r5k1/pp2bppp/8/3qPp2/3r1B2/P5P1/1P2QP1P/2RR2K1 b - -,d4d1
1r6/5q1k/b1p1pB2/4P3/2p3Q1/1P4NK/8/8 w - -,g4h4
8/5p1k/R3b2p/6p1/3B4/7P/3b2P1/7K w - -,h1g1
8/RP5p/5ppk/1R6/P6P/8/1r3rPK/8 b - -,f2g2
8/1p6/p3k3/P2rp1p1/1PN3Rp/5P1P/2K3P1/6b1 b - -,e6f6
2r3k1/p4ppp/4p3/2B5/r1bNP3/5P2/5KPP/1R6 b - -,h7h6
6k1/1b1n1ppp/p1Q1p3/3p4/Pp1P4/1P2PNP1/5PBP/6K1 b - -,b7c6
1k1r1r2/p1p5/1pn3qp/6b1/2NP2Q1/1NP1p1P1/PP3P2/K2R3R b - -,e3f2
r4rk1/pbqn1ppp/1p2pn2/2p5/P1BP4/B1P1PN2/5PPP/R2Q1RK1 w - -,c4e2
rn2kb1r/pppbpppp/1q3n2/8/2B2P2/2NP4/PPPB2PP/R2QK1NR b KQkq -,d7e6
1r3rk1/pb1q1ppp/2nppn2/2p5/Q1P5/P2P1NP1/3NPPBP/1R3RK1 w - -,f1e1
3k4/4R3/p4K1p/1p6/1P4PP/r3P3/8/8 w - -,g4g5
8/5k2/1p4R1/2pP1p1P/6p1/1p3r2/1P4K1/8 w - -,g6b6
2rbr1k1/pp1b1pp1/6qp/2p5/2PpNP2/3P2P1/PP2R1BP/R4QK1 w - -,a2a3
5rk1/1b3pb1/pq1pp2p/1p4p1/1PrNPP2/3QN1P1/P1P3P1/3RR1K1 w - -,e3c4
8/pp3k2/3Bp2p/4Ppp1/PP6/5P1P/4K3/6b1 w - g6,b4b5
2r3k1/5ppp/4p1b1/pN2P3/3B1bP1/7P/P3R3/6K1 w - -,b5d6
rn1q1rk1/pb4pp/3bpn2/1Ppp4/8/1P2PN2/PB1N1PPP/R2QKB1R b KQ -,b8d7
7r/pp6/3kbpB1/3n2pp/2RP4/5NPP/P4KP1/8 w - -,c4c1
r2qk2r/pp1nbppp/3ppn2/8/3PP3/5N2/PP3PPP/RNBQR1K1 b kq -,e8g8
8/8/5k1p/7P/6P1/8/6K1/8 w - -,g2f3
2k4r/1p1bqp2/p1p5/4pPpr/4P3/4Q2P/PPP3P1/R2N1R1K b - -,g5g4
2rq1rk1/1b2bppp/pp3n2/1N1pN3/3P1P2/1Q6/PP3PBP/2RR2K1 w - -,b5a7
R4b2/3n1pk1/3p2pp/3Pp3/4P2P/1b2NP2/6P1/6K1 b - -,d7c5
3r4/p1r2pkp/BnP1pqp1/3p4/1Q3P2/P3P2P/6P1/2RR2K1 w - -,a3a4
r1b2rk1/1p6/p2bp2p/3p2p1/B2P4/2R2PP1/PP2NP2/5RK1 b - -,b7b5
r2q1rk1/pp1nbppp/2p2n2/7b/4P3/2N2NPP/PPQ2PB1/R1B2RK1 b - -,h5f3
3r4/1p2kpp1/2p1p1p1/p2r4/P2P1P1P/2P3P1/1P2K3/3RR3 w - -,e2e3
3rr1k1/3n1pb1/p1bq2p1/1ppN3p/2P5/P2PN1PP/2Q1RPB1/1R4K1 b - -,d7f8
3q2k1/pb2rpb1/6p1/2p5/2Np1Q2/1P1P2P1/P4R1P/2R3K1 w - -,f4d6
1q3r1k/3n4/1p2p2p/p1b1p1pP/P2pPrP1/1N1P1P2/1PR1Q1B1/2R3K1 w - -,b3d2
3r2k1/ppR4p/4p1pB/8/3bP3/5P2/P3K1PP/8 b - -,b7b5
1rq1r1k1/p2nQp1p/1p4p1/2p5/8/P1PP1BP1/4PP1P/1R3RK1 w - -,e7h4
rn2kbnr/pp2pppp/2p5/q4b2/2B5/2NP4/PPP2PPP/R1BQK1NR w KQkq -,g1e2
r2q1rk1/ppp1b1p1/1n2p1p1/4P3/6P1/5N1P/PP2QP2/R1B2RK1 w - -,f1d1
2b2k2/p4ppp/1p1n1n2/3p4/3N4/4P3/PP1NBPPP/6K1 w - -,g1f1
8/5k2/8/6bp/1P2np2/3R1P1P/6PK/8 b - -,e4f6
8/7B/2n1k3/1p4Pp/2p1K2P/2P5/1P6/8 w - -,h7f5
r2q1rk1/p1p4p/2p1p1p1/3n4/3b4/8/PP1N1PPP/R1BQR1K1 w - -,d2f3
r1b1r1k1/p2nq1b1/2p2pPp/2Pp3Q/3P1B2/1P1B4/3N2PP/R4RK1 w - -,d2f3
