6Q1/7B/kb3B2/3b3p/4p3/P3P3/5K2/8 b - -,d5g8
3r1r1k/p3n1bp/2qp2p1/2p1p3/2P1NpP1/2B2P2/PQ1PP1KP/RR6 b - -,d8d7
6k1/8/P6Q/4p3/3b3P/6PK/5r2/8 w - -,h6e6
2r2r2/pp1bp1kp/1n1p4/3Pnp2/3N1P2/2N5/PP2B1PP/R3K2R b KQ f3,e5c4
6k1/pB1b1p1p/8/2p1p1p1/2P5/4P1PP/P2P1P1K/8 w - -,h3h4
8/kpp5/p1n5/5Pq1/P3R2N/2P1R2K/6P1/8 w - -,g2g4
r7/p1p1kB1p/2p1P1p1/1pN2b2/8/5P2/PPn2K1P/3R4 b - -,a8d8
5rk1/1r3ppp/P1qppn2/2p5/2R1P3/3B2P1/2PQ1P1P/R5K1 b - -,b7a7
r1b1k2r/1p3ppp/p1nqpn2/8/1b1P4/2NBBN2/PPQ2PPP/R4RK1 b kq -,c8d7
6k1/p1rn1p2/4b1pb/Nr2p2p/2NpP3/3P2PP/2R2PB1/R4K2 w - -,h3h4
1r6/5pk1/4pp2/Qq2n3/4PbBp/2B4P/1P3PP1/3R2K1 b - -,b5a5
3r2k1/1p3p1p/2n3p1/P5R1/8/2B4P/5PP1/3B1K2 b - -,d8d1
3rrk2/bp3pp1/p4q1p/n2pn3/3N1B1P/2P2PP1/1PBQ2K1/3RR3 w - -,b2b3
3r4/p5pk/3P4/8/P1R1p1p1/1p2P1P1/1B3P2/6K1 w - -,c4d4
rnb2rk1/ppq1b1p1/2pp1n1p/3Ppp2/2P5/BPN2NP1/P3PPBP/R2Q1RK1 b - -,f8d8
5k2/p3r1rp/1p3p2/1PpBb1p1/2P1R2P/3P2P1/4RP2/5K2 b - h3,h7h6
5r2/8/3R1p2/3K1kpp/3B4/7P/5P2/8 w - -,d6c6
3b4/1p6/2k5/3p1p1p/3PnPp1/1P1KP1P1/4N3/4B3 w - -,e2c1
r2q1rk1/1bpnbppp/p2p1n2/1p2p3/3PP3/1PN3P1/PBPQNPBP/R4RK1 b - -,c7c6
r2q1rk1/pppb1ppp/2n5/3pP3/B2Pn3/4B3/PP3PPP/RN1Q1RK1 b - -,f7f6
4r1k1/1p3p1p/p1b5/4Pnp1/1b6/2N4P/PP1R2PB/4R2K w - -,a2a3
r2qkb1r/2p2p1p/p1p1bnp1/3pP3/8/5Q2/PPP2PPP/RNB2RK1 w kq -,e5f6
r5k1/3nqpp1/p2ppnp1/1p6/1P1PP3/P4PP1/1B1Q3P/2R2BK1 w - -,c1c6
4k3/1p3p2/3rbB2/6P1/p3B3/6P1/1P1b1PK1/7R w - -,h1h8
2kr3r/p2n2QP/2p1p1p1/5pq1/2P5/1B6/PP4P1/1K1R3R b - -,g5g2
r2r2k1/bpq2pp1/p1p4p/Pnn1p3/4P3/1NP3PP/1P1BQPB1/R4RK1 w - -,b3c5
Bq5k/p5p1/7p/4n3/8/2Rb2P1/5P1P/2Q3K1 b - -,h8h7
8/8/3k3p/2bP2p1/8/1K4P1/7r/3R4 w - -,b3c4
r1bqk2r/1p1n1pp1/p3pn1p/2bp4/4P2B/2N2P2/PPPQ2PP/2KR1BNR b kq e3,d5d4
6k1/1b3pp1/p3P2p/8/1bP5/6N1/1B3PPP/6K1 b - -,f7e6
r2r2k1/pp2ppbp/4bnp1/8/2q1P2Q/P1N1BB2/1P3PPP/R4RK1 w - -,f1c1
2kr3r/pp3pbp/bnp1p3/5p2/3P1B2/1PP3P1/P1K2PBP/3RRN2 b - -,g7f6
r4rk1/1b1nbpp1/pqp1pn1p/1p6/3P1B2/2NBPN2/PP2QPPP/2RR2K1 b - -,f8d8
r3k2r/pnq1nppp/1pb1p3/3pP3/P1pP1P2/B1P5/2PNB1PP/R2Q1RK1 b kq f3,e7f5
Q2r2k1/2q2p1p/p2bb3/5p2/Pp6/1BP4P/1P3PP1/R3R1K1 w - -,a8f3
r1bq1rk1/pp1nppbp/2pp1np1/3P4/4P3/2N1BN1P/PPP1BPP1/R2Q1RK1 w - -,f3d4
r1r2bk1/ppq1pp1p/4bnp1/nB1p4/3P4/QP2PN2/PB1N1PPP/2R2RK1 b - -,c7d8
5k2/p1r2p1p/3Rp1p1/1Ppb4/8/8/PK5P/3R4 w - -,d1e1
2r3k1/pbr2ppp/8/1pn1p3/4p2P/1PP1N1P1/P4PK1/1N1RR3 w - -,e1e2
4kr2/1r1bb1p1/p2pp3/1p4Np/2n1PPnP/P2R2BB/1PP1R3/2KN4 b - -,g7g6
r1bqk2r/pp2nppp/3p4/2n1p1P1/1bP4P/2N2N2/1BQPPP2/R3KBR1 b Qkq h3,c8f5
r1b1kb1r/ppq2ppp/2n1p3/3pP3/3p4/3P1N2/PPP2PPP/R1BQKB1R w KQkq -,f1e2
5r1k/4q2n/3R1p2/2P4Q/3BP1P1/5P2/6K1/8 w - -,g4g5
1rqr2k1/1p2pnn1/p4pp1/2P4p/PR1PP2P/2N3P1/Q4PB1/1R4K1 w - -,c3d5
2r4k/1br1q2p/1p3p2/p1n1pPp1/P1BpP1P1/1P1P2N1/2Q2R1P/2R3K1 w - -,f2f1
rq2kb1r/1ppb1pp1/p1n1p3/3pPnBp/3P3P/2N2N2/PPPQBPP1/R4RK1 b kq -,b8a7
2rr2k1/pbq2ppp/1n2pn2/PPpp4/2P5/2Q1P3/1B1NBPPP/R2R2K1 b - -,b6d7
r3k2r/1p1b1pqp/p1n1p3/8/2BN4/2P5/P2Q1PPP/1R3RK1 b kq -,c6d4
8/8/8/5p2/5P2/3k1K2/8/8 w - -,f3f2
8/pk6/3P4/1BP3pp/P2K4/4pb2/7P/8 w - -,d4e3
rnbqk2r/pp1pppb1/6p1/2P1P2p/3Q2n1/5N1P/PPP2PP1/RNB1KB1R b KQkq -,b8c6
8/1P1k4/3Q4/3p4/8/5K2/r7/8 b - -,d7d6
2b2r1k/4qpb1/p2p3p/4r1P1/Q7/2N3P1/PP1R1PBK/2R5 b - -,e7g5
5r1k/5qNp/2bn1p1P/6p1/1QpP1n2/1p3N2/1P3PP1/1B2R1K1 b - -,f8d8
4r1k1/5p1p/8/2QPP2p/2p2P2/1q5P/3r2P1/R2NR1K1 w - -,a1a3
4rrk1/p2b2qp/1p1p2p1/2pPnp2/2P1P3/1P1B1N1P/P2QR1P1/5RK1 w - -,f3e5
r2q1rk1/p3ppbp/2p1n1p1/1bNpP3/3P4/5N2/PPQ2PPP/R1BR2K1 b - -,e6c5
2k2N2/p4p1p/np5n/3QP3/3P4/qP6/5PPP/5RK1 b - -,a3f8
r1n2rk1/pp2qpp1/2p1bn1p/3p4/3P1P2/P1NBPN1P/1PQ3P1/R3R1K1 w - -,b2b4
1r4k1/1rqn1pb1/b1p1p1p1/p1ppP2p/N1P2B1P/PP1PQN2/5PP1/1R2R1K1 w - -,f3d2
5rk1/1Br5/pp2nBpb/4P2p/8/2N4P/PPPR4/2K4R b - -,c7b7
5b2/1k6/2p5/5p1p/P2B4/1K3P1P/8/8 w - -,d4e5
rnb1k2r/2q2pbp/1pp1pnp1/p2pN3/3P1P2/2PBP3/PP2Q1PP/RNB2RK1 w kq a6,b1d2
r4rk1/pp1q1p1p/2n2b2/2pp2P1/Q4P2/P2PP3/1P3PB1/R1B1K2R b KQ -,f6g7
r3kbnr/1p1b1p2/p2p3p/q3p1p1/4P3/2NQ1NB1/PPP2PPP/R3K2R b KQkq -,g8f6
2r1kb1r/1p3pp1/1pn1pn2/3p2Pp/5B2/2P1P3/PP1NBP1P/R3K2R b KQk -,f6g8
2rq4/3kb1p1/p1n1p1nr/1p1pp1p1/1P1P2P1/P1RQBNNP/5PK1/2R5 w - -,d3c2
r1nq2r1/1pn1p1k1/p1p3Pb/2PpPp1B/1P1P1P2/2N1B3/P7/R2QK2R w KQ -,a2a3
5r2/3k4/2p3p1/p2pBb1p/1b1P1N2/1P2KPP1/1P5P/3R4 b - -,f8e8
r2r2k1/2q1bppp/pp1p1nn1/3Pp3/1P2P3/1Q2BN1P/P4PP1/2R1RBK1 b - -,c7b7
q4rk1/4ppbp/r2p1np1/2pP4/n3P3/5N2/PPQ2PPP/R1BN1RK1 b - -,f8b8
r3k1nr/1pq1pp1p/p5p1/2pP4/1PP1N3/5n2/P4PPP/2RQ1RK1 w kq -,d1f3
2q3k1/4pp1p/p2p2p1/1p1P4/3QP3/1P3P2/P5PP/6K1 w - -,d4b6
6k1/1b1q1pBp/1p6/p1b2N2/3p1PP1/1PP2Q2/P1KR3P/4r3 w - -,f3g3
r2qkbnr/p4ppp/2p1p3/2P1Pb2/3p4/4B3/PPPN1PPP/R2QK1NR w KQkq -,e3f4
8/8/3p2kp/5R1N/4n1PP/5K2/1r6/8 b - -,e4d2
r7/r1pqn1k1/1p1pnp1p/1P2p1pP/P1P1P1P1/4BP2/2Q2NK1/R2R4 w - -,f2d3
r4r1k/2p1q3/8/1pPPp3/p3Ppb1/P1R5/5QP1/R3N1K1 b - -,f8f7
2rr2k1/p3npp1/1qn1p2p/3pPb2/1p1N4/1NP1R2P/PP3PP1/2RQ1BK1 b - -,f5g6
r3r1k1/p2R1pbp/2Q3p1/1p3n2/5P2/2P3BP/Pn3P2/6K1 b - -,a7a6
r1bnkb1r/pp3ppp/4p3/4P3/1nB5/N4N2/PP3PPP/R1B1K2R w KQkq -,c1e3
5k2/5p1p/4n1p1/R1PN4/4P3/6r1/1P3K2/8 b - -,g3b3
1k6/1p1r4/p1n3r1/2R1p3/8/1P4p1/P6P/5RK1 w - -,f1f8
r4rk1/2p3qp/1p1p2p1/pNn4n/2P1PpN1/1P3RPP/P4Q2/4R1K1 w - -,g3f4
1r1q1r2/p4pkp/b2pp1p1/2p5/2PnP3/3P2PP/P1RQ1PB1/3N1RK1 w - -,c2b2
7k/1b4p1/1P1p3p/4p3/8/1P2b2P/6PK/1R6 b - -,e3b6
r1qr2k1/ppn1ppb1/2p2npp/4B3/1PN5/P4NPb/2QPPP1P/R3R1KB b - -,c7d5
2r2rk1/pb3ppp/1pn1p3/3B2q1/3P1P2/P1NQ4/1P4PP/3R1RK1 b - f3,g5e7
r2q1rk1/2p1npb1/p2p3p/3P2p1/1p1NP1b1/1P3NB1/R4PPP/3Q1RK1 w - -,d1d3
8/4R3/8/p1K5/P4k2/1P2p3/8/3r4 w - -,b3b4
3rn2k/p6p/1pq1p1p1/2prP3/P2bNPP1/R6P/1P2Q2K/2BR4 w - -,d1f1
8/1p4p1/p1p1k3/3pPn2/2PP2p1/1P5r/P4K2/2B3R1 b - -,h3h2
8/1r3p2/3k2pp/1p6/1R1K1P2/6P1/7P/8 w - -,g3g4
6k1/5p2/6p1/1p3P1p/1Pr5/2P1R3/3r3P/5R1K b - -,g6g5
8/1p1n1p2/1Pp2kp1/5p2/p1NKp3/6P1/P1P2P1P/8 b - -,f6e7
r2r2k1/pb4p1/1p3pK1/3np2p/1P5b/2P5/P1NB2PP/RN3R2 b - -,b7a6
2rqr1k1/3nbppp/3p1n2/p2Pp1B1/Pp6/5B2/1PPNQPPP/R3R1K1 w - -,g5f6
8/1b2kp2/8/1P1n4/2Np1n1p/3N1P2/3K2P1/5B2 b - -,f4e6
r4rk1/pqp1b1pp/1p1pp3/8/2PP2n1/P4NN1/1PQ2PPP/R4RK1 b - -,a8e8
r3k2r/pb1p1ppp/1p2pn2/2p1q3/2PbP3/BPN2Q1P/P2P1PP1/1BR2RK1 w kq -,c3b5
4r2k/6p1/1P4p1/8/2Nb4/1P3BP1/P1n4P/3R3K b - -,d4c5
4r2r/pp1k1ppp/2n5/2b2bN1/8/1BP5/P4PPP/R1BR2K1 b - -,d7c8
r2q1rk1/1pp1n1pp/1pnp4/7P/4Pp2/PPN5/1P2QPP1/2KR1B1R b - -,c6e5
2r5/6pk/pp1q2p1/3N3P/PPp1P3/5P1P/2Q3K1/8 b - -,g6h5
8/8/2P4p/bP4p1/8/3k2P1/4BP1P/5K2 b - -,d3e4
2r1r1k1/1q1n1pbp/2Np1np1/2pP4/Np2PP2/5Q2/1P3BPP/2R1R1K1 b - -,c8c6
r3rnk1/1b1q1pp1/1p3b1p/1P1p4/P1pP4/2N1PBP1/1Q1N1P1P/R4RK1 b - -,g7g6
4r1k1/2q2bb1/p7/1ppnpR2/8/2P2Q1P/PP1N2P1/5RK1 b - -,d5f4
2q3k1/5pb1/4p1p1/7p/Qpn1PB2/5PP1/2B2K1P/8 b - -,g7d4
r3k2q/pp2n1Rr/2p1pp1P/8/3pP3/3P1Q2/PPPB1P2/1NK4R b - -,h7g7
r1bq1rk1/pp3ppp/2n5/1N2B3/1b2P3/3Q1N2/PPn2PPP/1RK2B1R b - -,d8e7
4Q1k1/1p3pb1/p3b2p/P1q5/4pPp1/6P1/4PNBP/6K1 b - -,g7f8
8/4p3/5b2/3R1p1k/3p1P1P/8/4K2P/8 w - -,e2f3
r1bq1rk1/pp1nbppp/n3p3/1NppP3/3P1P2/2P1B3/PP4PP/R2QKBNR b KQ -,c5d4
r1bbk2r/1p3ppp/p3pn2/8/P1B5/2P2N2/5PPP/R1B2RK1 b kq -,e8g8
rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/1P4P1/P2PPP1P/RNBQKBNR w KQkq -,f1g2
2kr4/pp2bppp/2n5/2Prpb2/1P6/2P1BN2/P2N1PPP/R1K4R w - -,c1b2
2r1r1k1/pb1nqpp1/1p1bpn1p/2pP4/2P5/2N1PNP1/PB2BP1P/1QRR2K1 b - -,e6d5
8/3Q4/1q4p1/4kp1p/4p2P/6P1/5PK1/8 w - -,d7d2
8/1p3p2/4k1p1/1p2P2p/1br5/p5PP/P1B1R3/3K4 b - -,c4d4
2r1r1k1/pbn1qpbp/1p1p2p1/2pP4/4PNn1/P1N3P1/1P1B1PBP/RQ1R2K1 w - -,c3e2
3r1rk1/ppqnppbp/1np1b1p1/4P3/2PB4/1P3NPP/P2N1PBK/3QRR2 b - -,e6f5
r2qr1k1/ppbb1ppp/P7/3p4/3nn3/1N2P3/1P1BBPPP/R2Q1RK1 w - -,b3d4
3r4/3n1p1p/1p2rkp1/p2Rp3/N1P5/1P4PP/P4PK1/4R3 w - -,e1d1
8/4k3/3R1p2/5P2/4P3/r7/4K3/8 w - -,d6d3
8/3RbknQ/4p1p1/2q2r2/1p6/1P6/P1P5/1K3R2 w - -,f1c1
2b1r1k1/1p3p1p/p2p2p1/2pPb1r1/P1P1Pp1q/3B1P1P/1P1QNRP1/4RK2 w - -,e1b1
r3r1k1/1p3pp1/1np1pn1p/8/pPRPb3/4NNP1/P3PPBP/3R2K1 w - -,c4c5
7k/p3q1bp/brn3p1/1R2Pr2/P2p2P1/3Q1N2/3B1PB1/4R1K1 b - -,f5f8
3r2k1/ppq1bpp1/2p2np1/2n1p3/2P3P1/1PN4P/PBQ1PPB1/3R2K1 w - -,e2e3
2q1bk2/p3b1p1/1p4p1/2pQ1P2/2Pp1N2/1P5P/P7/4B1K1 w - -,f5g6
3rr1k1/ppp1qp1p/6p1/8/2QPn1b1/P3PN2/1B3PPP/R4RK1 w - -,c4b4
5r2/1pp1k3/4b3/pPb1pp1p/P1P1P1p1/6P1/3RKP1P/2R5 w - f6,e4f5
rnb1k2r/ppp1ppbp/5np1/q7/3P4/2N2NP1/PPP2PBP/R1BQK2R b KQkq -,e8g8
8/1p6/6Bn/p3k1pP/Pp1p2P1/1P3K2/8/8 w - -,g6d3
r6r/2p1k3/2p2p2/p1N1p3/K1P1P1bp/PP6/3R2PP/5R2 w - -,c5b7
5k2/1r2r1b1/pp1p2pp/P1n5/2B1pP2/1P2B3/6PP/1RR3K1 w - -,b3b4
5r2/1pqnr1kp/3p2p1/pPnPpp2/6P1/2N1R2P/1PPQ1PB1/2R3K1 w - -,g4f5
5b2/3k4/p3bB2/3BP1pp/P3K1P1/7P/8/8 w - -,d5e6
2kr3r/1pbqn3/p4p2/2P5/3NQPpp/8/PPN2BPP/R6K b - -,f6f5
r3r3/5pk1/ppNp2bp/3P2q1/8/2Nn3R/PP3PPQ/5RK1 b - -,g5d2
r5k1/pp1rbpp1/2p1p2p/q3Pb2/8/1BP1N2P/PP2QPP1/R3R1K1 b - -,a5e5
2krr3/1p1q4/p1n2bp1/2p2p1p/3p1P2/PP1P1QP1/1BPNR2P/4R1K1 w - -,d2c4
rnbqr1k1/pp4b1/7p/1N1P2p1/2R5/5NB1/PP1Q2PP/R5K1 b - -,b8a6
2r2rk1/p1q1npbp/bpnpp1p1/2p5/4PP2/2NP1NP1/PPPQ1BBP/R3R1K1 w - -,a2a4
8/2R2ppk/4p2p/8/1r1P4/3qP3/5PPP/2r1Q1K1 w - -,c7c1
3r4/1p5k/p1pPp2P/4Ppp1/1P1P4/1P6/5K2/7R b - -,d8f8
2rr2k1/pp3bp1/1bn1B2p/3P4/5q2/P4N2/1P2QPPP/3R1RK1 b - -,d8e8
5r2/6p1/1k4p1/pp2R3/2p4P/P2r1PP1/1PK5/5R2 b - -,f8f6
8/8/4k2p/4pp2/8/5PNP/3b2K1/8 b - -,d2f4
r1bq1rk1/1ppn1ppp/p2p4/3P4/2P1Pn2/1QN5/PP2B1PP/R4RK1 w - -,f1f4
r3r2Q/2q1bkP1/p2p1p2/1bnPpP2/2B4N/pP6/2P4P/R5RK w - -,h8h7
3kb3/6pp/1p2pp2/p1n5/P1BKPP2/1PN5/6PP/8 b - -,d8e7
1r5k/1q1b1p1p/5P1b/1p1pp2P/1R6/2Q3R1/2P2PP1/6K1 b - -,b8e8
r6r/pn3k1p/1p3b2/4nN2/3p4/5NP1/PP5P/R1B2RK1 b - -,e5f3
1R3nk1/6r1/pp1r1q2/2p1Q1NP/b1P2P2/8/1P3RPK/8 w - -,g2g3
4r1k1/1b5p/p2b4/1p1P4/2p1p1N1/2P5/PPB3K1/5R2 b - -,g8g7
r1b2rk1/pp2ppbp/2np1np1/7q/2P5/1N1N2P1/PP1BPPBP/R2Q1RK1 b - -,e7e5
3r3r/1pk2ppp/p1ppb1n1/8/4PN2/2N5/PPP2PPP/R2R2K1 w - -,c3e2
r4r1k/5Bb1/1p2P2p/p2P4/P1Pp2p1/1P1Q3q/4R2P/3R3K b - -,h3h4
r1bq1rk1/pp1n1ppp/2pbp3/3p4/2PPn3/2N2NP1/PPQ1PPBP/R1BR2K1 b - -,f7f5
3b2k1/3q2n1/2p3p1/p1Pp3p/Pp1Pp1PP/4P1B1/1P2Q3/3B2K1 w - -,g1h2
8/5K1B/1r6/3n4/8/8/1p5R/3k4 w - -,h2h1
4n3/3n1pk1/2b3p1/1p2p2p/1Pp1P1N1/2P1NP1P/q1BQ2PK/8 w - h6,e3f5
5r2/p2q1r1k/1pp1pnpp/4B3/2PP2PQ/4R2P/P4P2/4R1K1 w - -,e5f6
2b2rk1/p3b1pp/2q1p3/1r1p4/N1pP1P2/1P2B3/P1PQ2PP/K2R3R w - -,d1b1
3r1k2/3b1p1p/3R2p1/p1pP4/2p3P1/4R3/P6P/6K1 b - -,c4c3
r1b2rk1/pp1q2b1/2np2pp/2pNpp2/1PP3n1/P2P1NP1/3BPPBP/1R1Q1RK1 b - -,g8h7
2r1r1k1/p2nq2p/1pp1pb2/8/2BP1p2/1Q3N2/PP3PPP/R4RK1 w - -,f1e1
8/p1p1k3/1p1p4/3P4/4p1pr/P1P1P1K1/6P1/5R2 b - -,h4h5
rnbqr1k1/pp2bppp/3p1n2/2pP4/8/2N2N1P/PPP1BPP1/R1BQK2R w KQ c6,a2a4
5r2/ppq4k/2p1pBp1/P5Pp/2B3bP/1P2Q3/2P5/6K1 b - -,c7a5
rq1r2k1/1b3p1p/p5p1/3p4/3NPn2/1PP1QP2/1P1N2PP/R4RK1 w - -,e4e5
2r1r1k1/1b4b1/pq2N2p/3p1Qp1/PP1P4/6P1/1B3P1P/3RR1K1 w - -,e6g7
r4rk1/N4ppp/P2p4/3npbB1/8/5P2/PP5P/1KR2B1R w - -,b1a1
r5k1/1np2p1p/4p1p1/1rN5/1P1R4/p1P3PP/5P2/R4K2 w - -,c5b7
4R3/ppr2pbk/6pp/3p4/3p2P1/1P3K1P/P2Q1P1q/3R4 b - -,c7c3
4r1k1/3q1nb1/3p1nR1/2pP3p/4pP2/2N1B2P/1PKQ1N2/3r4 w - -,d2d1
r2r2k1/5ppp/1qb1p3/1pb1P3/4p3/PQ2N2P/1P2BPP1/3R1RK1 w - -,g1h1
4B3/8/1b1k1p2/1P2p1p1/4P2p/3K1P2/6PP/8 w - -,d3e2
4k2r/r2bpp1p/p2b2p1/1p6/3N4/2P3PP/PP3PB1/1K1RR3 b k -,e8g8
1r3nk1/5p1p/6q1/1r1pP3/3B1p2/1P3R2/PK1Q1R2/8 b - -,g6h5
r1bqk2r/pp3ppp/2n1pn2/8/2Np4/P4NP1/1P2PPBP/R2Q1RK1 b kq -,e8g8
2r2rk1/pb1qnpp1/1p2pb1p/8/3P4/P1B2NP1/1P2QPBP/2R1R1K1 w - -,c3b4
r2qkb1r/pp1bpp1p/2np1np1/8/4P3/4QN2/PPP1BPPP/RNB2RK1 w kq -,f1d1
8/p2R1p1p/4pkp1/b7/2p5/P5PP/2N2P2/5K2 b - -,a5b6
r3kb1r/1pqbnpp1/p3p2p/3pP3/6QP/P1NRBN2/1PP2PP1/5RK1 w kq -,b2b4
8/8/1kp4p/1p4pP/1P6/1R4N1/5q2/2K5 b - -,b6c7
8/5pk1/qPK2p2/6r1/4Q2p/8/4R3/8 b - -,a6c8
6k1/1p3pb1/1Nb4p/p3B1p1/2P4n/1P3P2/r5PP/R3R2K b - -,a2g2
5k2/3K2P1/5B2/4P3/8/8/3b4/8 b - -,f8g8
8/8/1p2kpp1/p1p4p/P1PrP2P/3PK1P1/8/5R2 b - -,e6e5
8/8/R7/1p4P1/8/pkr4P/6K1/8 w - -,g5g6
6k1/1p5p/2pp2p1/1Pn1q1N1/2P4P/5QP1/5PK1/8 b - -,e5f5
r1bq1rk1/6bp/2p1ppp1/p7/Nn1P4/Q3BN2/PP3PPP/2RR2K1 b - -,a8b8
8/8/2k2K1P/8/8/3R4/8/7r w - -,f6g7
3q1rk1/pp1bppbp/3p2p1/7n/3NP3/1Br1BP2/P1P1Q1PP/1R1R2K1 b - -,b7b5
4rr1k/3R1p1p/p1N5/4q3/6R1/8/P4PPP/6K1 w - -,c6e5
1k6/ppp4p/6p1/3P4/1bP2R2/1n3P1P/P4PK1/4r3 w - -,a2b3
2rq1rk1/5ppp/b3pn2/p2p4/1bPB4/4P1P1/P2NQPBP/1RR3K1 w - -,d4c3
8/4Rpk1/6p1/4P3/5PPK/8/4r3/8 b - -,g7f8
rn1qk2r/pp2bppp/2p2nb1/3p4/3P1B1N/2N1P3/PP3PPP/R2QKB1R w KQkq -,h2h3
8/2B1pk1p/1p4p1/r2P4/2Rbp3/8/P4PPP/5K2 b - -,a5d5
r1b2rk1/pp4pp/2p2n1q/3p1p2/3P4/1PBB1Pb1/P1QN3P/R4R1K w - -,d2b1
q2r4/4bp2/k3p1p1/1pprP2p/pPpP1P1P/P1P3P1/2Q1RB2/R3K3 w - -,b4c5
r4rk1/ppp2qpp/2nbpn2/1P1p2B1/3P4/2PQ1N2/P2N1PPP/R4RK1 b - -,c6e7
3q2k1/pp3pp1/4pn1p/8/2Pr4/1P1N2P1/P3QPKP/3R4 w - -,d3b2
5rk1/5q2/5np1/2pPR3/5P2/6PP/2Q3K1/8 b - -,f6d5
r1b1kb1r/pp1n2p1/2n1pq1p/3p4/3P4/P2B1N2/1P2NPPP/R1BQK2R b KQkq -,f8d6
3r2k1/p4pp1/4b2p/1R6/3bP3/P4NQP/2q1BPPK/8 b - -,c2e2
2rqr1k1/2R2pbp/pn2pnp1/1p1p4/1Q1P1B2/1P2PB1P/P3NPP1/2R3K1 w - -,c7c8
r4rk1/pb1qbppp/4p3/3pP3/2Pp4/4R3/PPQB1PPP/3R2K1 w - -,e3h3
r2r2k1/1p1bqppp/p7/3pN3/P2PQ3/8/1P3PPP/2RR2K1 w - -,e4c2
r2qr1k1/pp1n1ppp/2pbpn2/3p4/2PP4/2NBP2P/PP1B1PP1/R2Q1RK1 b - -,d5c4
r3r1k1/1pq2ppp/p4n2/2bp1N1b/3Nn3/2P1B2P/PP2BPP1/2QRR1K1 w - -,f2f3
