7k/1P3Np1/2b1p2p/4P3/1q6/6QP/6PK/8 b - -,h8g8
r2r2k1/1p2qp1p/n1pn2p1/p7/Q1PP4/P4NP1/5PBP/1R3RK1 w - -,f1e1
rnbq1rk1/1pp1bppp/p3pn2/1P1p4/P7/4PN2/1BPP1PPP/RN1QKB1R w KQ -,f1e2
1R6/6kp/6p1/p1BP1n2/1P2K3/2r5/7P/8 b - -,a5b4
rnbqk2r/p4pb1/2p1p2p/4N3/NppPn1p1/6B1/PP2BPPP/R2Q1RK1 w kq -,g3f4
6k1/p2p4/2prr2p/5p1R/2P1qB2/1P3NP1/P3PPK1/7R w - -,f4d6
8/7R/4pk2/p2b1p1P/1r6/5P2/5K2/4R3 b - -,b4b3
r1b1k2r/pp2qppp/2p2n2/3p3n/3P4/2NBP3/PPQ1NPPP/2KR3R b kq -,e8g8
r1bq1rk1/pp1nbpp1/3ppn1p/2pP4/2P1P3/3B1P2/PP3BPP/RN1QK1NR b KQ -,e6d5
3r2k1/1q3pp1/1p3n1p/8/1bN5/1P3NPP/4RPK1/1Q6 b - -,b6b5
r3k2r/pppqppb1/1n1pb2p/4P1P1/3P4/2N3Q1/PPP2PP1/2KR1BNR b kq -,e8c8
r1b1nrk1/p1q3bp/2pp1np1/1P2pp2/2P1P3/2N1BP2/P2NB1PP/R2Q1RK1 b - -,c8e6
8/5k2/1r2pqp1/b2p4/P2P1P1p/2pQ2PB/4R2P/7K w - -,e2e5
R4rk1/ppp1npbp/6p1/2n1p3/2P5/5NP1/PPb1PPBP/RNB3K1 b - -,f8a8
rnb1qrk1/ppB2ppp/5n2/1NbP4/4P3/1P1Q2P1/P5BP/RN3K1R b - e3,b8a6
8/8/8/1pp5/p1kp4/P2p3R/1P3r2/2KB4 b - -,f2g2
2rqk1r1/5ppp/2p1pn2/1p3P2/2p5/B1Qn2P1/P2P1PBP/1R2R1K1 b - -,f6d5
6k1/pp3p2/2p3p1/3nP1P1/3n1PB1/P7/1P6/1KB5 b - -,g8f8
r2q1rk1/5ppp/3p3b/p2Pp3/1N2P2P/3Q2P1/1P3PB1/R4RK1 b - -,a5b4
r1b2rk1/1p2qpbp/n1pp1np1/p3p3/2P1P3/P1NP1NP1/1P3PBP/1RBQ1RK1 w - -,b2b4
r4rk1/pbpnqpb1/1p1pp1np/6p1/3PP3/1BP2NBP/PP1NQPP1/3RR1K1 b - -,a8d8
rnbqk2r/pp3pbp/4p3/2p5/5P2/5N2/PPPB2PP/R2QKB1R w KQkq -,c2c3
r3rbk1/p1q2pp1/2bp1n1p/1p2B3/2p1P2N/1BP3NP/PP2QPP1/R3R1K1 b - -,d6e5
2r2rk1/pp1b2bp/1qn1pP1p/3p4/1P1P4/P2Q1N2/3NBPPP/R4RK1 b - -,f8f6
2r1r1k1/4pp2/3p1bp1/1p1P3p/p1n2P1P/P1P1B1P1/1PB1K3/3R2R1 w - -,e3c1
1r1qk2r/p4ppp/3pbn2/2p1p3/N1PBP3/3B3P/PP2QPP1/R4RK1 b k -,c5d4
r2qk2r/pp2bppp/2n2n2/3p1b2/3p4/1N3NPP/PPP2PB1/R1BQ1RK1 w kq -,f3d4
2r4r/pp2kpp1/2p1b1n1/2p1P3/4N2p/5N1P/PPPR1PP1/4R1K1 w - -,e4c5
r1b1rbk1/1pq2ppp/1npp1n2/p3p3/P2PP3/1PNB1N1P/1BP2PP1/R2QR1K1 w - -,c3e2
1qb1r1k1/r4pp1/6p1/pppP4/1b2BP2/1P2N1P1/R1Q2B1P/3R2K1 b - -,a7e7
rnbq1rk1/ppp1p1b1/3p3p/5ppn/2PP4/2N1PNB1/PPQ2PPP/R3KB1R w KQ f6,e1c1
r1bqkb1r/pp1n1ppp/2p2n2/4p3/8/5NP1/PPP1PPBP/RNBQ1RK1 w kq -,c1g5
8/7p/r7/8/2kp3P/6P1/p3KP2/2R5 b - -,c4d5
4r3/7p/2p3k1/p2p2r1/P3P3/2P5/B4RR1/2b2K2 b - -,e8e5
5b2/5k2/1R6/6pp/1PN5/6P1/6KP/1r6 b - -,f8b4
4r1k1/1pp3p1/1p1r2Bp/1P6/P1P1P1n1/3p4/3Bb1P1/R5K1 w - -,g6e8
3r2k1/q6p/rp1b2p1/3Pp3/4Pp2/2Q2P2/3N2PP/RR4K1 w - -,g1h1
r1br2k1/pp5p/2nq1np1/4p3/2Pp4/4P3/PP2BPP1/R1BQK1NR w KQ -,e3d4
1k6/8/3p3p/4r1p1/PP1R4/8/5PPP/3R2K1 w - -,d4d6
2Q5/6pk/3p3p/2p1r2r/4P2q/1PN2R2/P1PB1KP1/8 w - -,f2e2
1q3bk1/p2n1p1p/Pp1P2p1/1bp5/5P2/2P2P1P/1P1Q2P1/3R2K1 w - -,f4f5
6k1/pp4pp/2b5/5p2/3R4/1P3PP1/P1rRK1BP/2r5 w - -,d2c2
2R5/5pk1/n3p1p1/2n3Pp/2Pr1P2/4NK1P/5N2/8 w - -,h3h4
rnbqkb1r/pp3ppp/2p2n2/3pp3/2P1P3/2N3P1/PP1P1P1P/R1BQKBNR w KQkq d6,c4d5
2B5/ppn1k3/2p2p2/2Pp4/PP1P2P1/8/5PP1/6K1 b - -,c7a6
r5k1/pb3pp1/2r4p/2pp4/8/3BP3/PP3PPP/2RR2K1 b - -,c5c4
8/8/6k1/4Kr2/4N3/8/8/8 w - -,e5d4
r1bq1rk1/p4pbp/1p4p1/2pnn3/5P2/N1PPB1P1/PP1Q2BP/R4RK1 w - -,f4e5
6k1/5pp1/2p5/N7/8/P4p1b/5K1P/8 w - -,a5c6
1r2r1k1/p1q2p1p/3P1Qp1/2p5/5P2/7P/P5P1/2R1R1K1 b - -,c7c6
2rq1rk1/p2nnppp/2p1p3/1p6/3PPNPP/8/PPPQB3/1K1R3R b - -,c6c5
r4rk1/p3nppp/4bp2/1R1N4/3P4/q5P1/2PQ1PBP/5RK1 b - -,e6d5
r3r1k1/pp3pbp/6p1/n2B4/3P2b1/4B3/PP2NPPP/R3K2R w KQ -,b2b4
r1b1r1k1/pp3pbp/1qpp1np1/2n5/3NP3/1PN3P1/PBPQ1PBP/R3R1K1 w - -,a1d1
8/4Q1pk/p3ppp1/3p4/1P3P2/P5P1/4q2P/6K1 w - -,e7d6
1q4k1/r3bpp1/4pn2/1B1pN2p/P2P4/4PP1P/6P1/2R1Q1K1 b - -,a7b7
r2q1rk1/p1pb2b1/3p1n2/3P1p1p/2pBpP1P/1P1nN1P1/P3N3/R2Q1RKB w - -,b3c4
r3r1k1/3qb1pp/1p3pn1/P1pp4/8/1P1N1Q1P/3B1PP1/2R1R1K1 b - -,b6a5
8/p3kpp1/8/1p6/1P2P1KP/P3P3/8/8 w - -,g4f5
4r1k1/ppp3p1/7p/6b1/2p5/2P1P1PP/PPNq2K1/R4Q2 w - -,f1f2
2q2rk1/pp3ppp/3b1n2/3pn3/3N1N2/1P2P3/PB3PPP/3Q1RK1 b - -,c8d7
2r3k1/pb1pb1p1/1p2pn1p/8/2qPN2P/P7/1P1Q1PPN/1B2R1K1 w - -,e4f6
r4rk1/pbppq1pp/np1bpn2/1N1P1p2/1PP5/P4NP1/4PPBP/R1BQ1RK1 w - -,b5d6
8/6p1/7p/3k1B1P/5bP1/4pK2/4R3/3r4 b - -,f4g5
1rbq1rk1/3n1p1p/3p1npQ/2pp3P/1p2P3/5PN1/PP4P1/R2NKB1R b KQ -,f8e8
2kr1bnr/pppq2p1/2n1pp2/3pP1Bp/3P4/2PB1Q1P/PP3PP1/RN2K2R w KQ -,e5f6
4r1k1/Nb1pnpbp/p4np1/2p3B1/1pP5/4P3/PP1N1PPP/R3KB1R w KQ -,g5f6
1rq1r1k1/R2bb1p1/3p3p/1p1Ppp2/1P6/1Q2BP2/2PN2PP/5RK1 b - -,c8d8
8/1Bn3p1/5k2/P6P/4p1p1/8/3K4/8 w - -,d2e3
8/p4n1p/1p1kbpp1/3pp3/5P1P/1P1PPNP1/P2K2B1/8 w - -,f4e5
r4rk1/1b1q2pp/p3p3/1p1nPp2/1P1N1P1b/P2P2N1/6PP/R3QRBK w - -,d4f3
2r1r3/1R3n2/R1p1pk1p/1pPp1p1B/1P1P1P2/4P3/7P/6K1 b - -,e8e7
r2r2k1/p4p1p/1n4p1/2Q5/6q1/6B1/PP2PP1P/3RR1K1 w - -,c5c2
5rk1/p1rq2pp/1p2p1n1/3pPn2/1P3P2/P2Q2P1/1B2B2P/R4RK1 w - -,a1c1
3r4/5k2/R7/7p/P4pp1/1P4P1/2N2K1P/8 b - -,d8d2
r2bn3/Nq1b1p1k/1P1p2p1/r2Pp2p/p3P2P/R2B1P2/Q4BP1/1R5K b - -,a5c5
r4k2/3n1p1p/1P1p2p1/2pP4/N7/6P1/1P3PKP/3R4 w - -,a4c3
3r2k1/p4p2/1bB3p1/1Pn4p/1R3P2/8/P2pPP1P/3R3K b - -,g8g7
8/8/1p3p1k/p1p2P2/P1P2Ppp/1P6/5K1P/8 w - -,f2g2
2k4r/ppp1r1pp/8/4p3/4N3/2Pb4/PP3PPP/R3R1K1 w - -,a1d1
2r3k1/ppp2ppp/3b2b1/n2Q4/P2P4/2q1B3/3N1PPP/R3R1K1 w - -,d2e4
rnbq1rk1/2p1bppp/p2p1n2/1p6/3NPB2/2N5/PPPQ1PPP/2KR1B1R w - b6,f2f3
8/4k1p1/npq1pp1p/p7/P1P2P2/1PQ3P1/2B4P/6K1 w - -,c3e3
r2qkbnr/pp1npppp/2p5/3p3P/6P1/3P1P2/PPP2PB1/RNBQK2R b KQkq -,e7e6
5k2/1pr5/pN1p3p/P2Pq1p1/4Pn2/5P2/KP1Q1P2/2R5 b - -,c7c1
2krr3/1bp4p/pp2P3/6q1/1P3N2/P4PP1/1BP1QK2/4R3 b - -,e8g8
8/3b4/5k1p/3r1pp1/8/4PNP1/5P1P/2R1K3 b - -,d7a4
2b2rk1/2qnr2p/p2p1p2/2pP4/PpP1PpN1/1P5P/1Q2R1B1/R5K1 w - -,g4h6
4K3/4BP2/6kb/8/8/8/8/8 b - -,h6g7
4k3/8/4r3/5r2/PBR4P/1n6/3p2P1/1R4K1 b - -,f5e5
3B4/8/8/8/8/4bk1p/8/5K2 w - -,d8c7
r1bqnrk1/1pp1n1bp/p2p4/3Pp2N/2P1Pp2/2N1BP2/PP1Q3P/R3KB1R w KQ -,e3f2
6k1/5p2/4p3/3pPp2/3N1Prp/3KB3/7b/5R2 w - -,d4e2
2qr2k1/5ppp/pr2pn2/2p1Q3/8/1P6/P1P1BPPP/R2R2K1 b - -,d8d5
2r3k1/1p2qppp/p3b3/3p4/1P1bn3/PQ2PB2/1B3PPP/3R2K1 w - -,b2d4
r1bqk2r/pp2b1pp/2n1pp2/2npP3/5B1P/P1NB1N2/1PP2PP1/R2QK2R b KQkq -,c5d3
r1bk3r/ppp1q1pp/3ppn2/5B2/3P4/5NQ1/PPP3PP/4RRK1 w - -,f3g5
8/8/6BK/8/3k3P/6P1/8/3b4 w - -,h6g5
b1rr1qk1/4bppp/pp1ppn2/n7/P1PNP3/BPN3P1/Q2R1PBP/3R2K1 w - -,a2b1
r3qrk1/p4p1p/2p1pbp1/1p1BN3/3P4/2P4P/PP2QPP1/R3R1K1 b - -,c6d5
3r4/7p/4k1p1/1r1pB3/5PKP/3R4/7P/8 b - -,b5b1
rn1qkbnr/1bpp1ppp/p3p3/8/Pp1PP3/3B1P2/1PP3PP/RNBQK1NR w KQkq -,c1e3
r1bq1rk1/bpp2ppp/p2p1nn1/4p3/4P3/1BPPBN1P/PP1N1PP1/R2QR1K1 b - -,d8e7
r4rk1/1pp2pp1/3p1q1p/p1bPp3/8/2BPP1Pb/PP3P1P/R2QR1KB b - -,f8e8
r1bq1rk1/ppp1n1bp/3p1n2/3Pp1p1/2P1Pp2/2NN1P2/PP1BB1PP/2RQ1RK1 w - -,c4c5
8/r4p2/6p1/6P1/5R1P/4P3/4kPK1/8 w - -,g2g3
rnbq1rk1/pp3ppp/4pn2/2pp4/3P1P2/2PB1N2/PP1N1PPP/R2QK2R b KQ -,b7b6
5r1k/p3qp1n/1bp3pp/1p2p3/4P1P1/1BP2Q1P/PP3PKN/3R4 w - -,f3d3
r1b1k2r/pp3p2/2n1p2p/q1PpP1p1/8/P1n3B1/1PPQ1PPP/R3KB1R w KQkq -,d2c3
1r3rk1/p2q1pbp/3p1np1/8/2P1P3/1R2NN1P/Q4PP1/4R1K1 w - -,f3d2
rn3rk1/pQ1nppbp/q5p1/2P3N1/4P3/8/PP1BNPPP/R3K2R w KQ -,b7a6
8/4p3/B2p4/8/3bP1p1/3k1rP1/8/1R2K3 b - -,d3e4
r3k2r/1b3pp1/p3p1p1/1p1pP3/3R1B2/2q5/PPP2PPP/4R1K1 w kq -,b2c3
2r1k1nr/pp1qppbp/2npb1p1/3N4/8/1N4P1/PPP1PPBP/R1BQ1RK1 w k -,d5f4
1r4k1/5p2/p3p1pp/4b3/b4P2/3q2P1/5PBP/2Q1R1K1 w - -,f4e5
8/1Q2b1k1/3q3p/3Bp3/1p2P2P/6P1/1PP3K1/8 b - -,d6f6
r1bq2k1/p5pp/4p3/2p1r3/1bPp4/2N4Q/PP2B1PP/R3K2R w KQ -,e1g1
r7/pp1b1k1p/2pbpnq1/P2p4/2PPpP2/1P2P3/1BQ1BK1P/R4N2 b - -,a8g8
5r1r/1p2qnk1/p2p3p/4ppp1/4P1QP/PPB3P1/1P6/2KR1R2 w - -,e4f5
5r2/p4kpp/B3b3/2Pp4/4p3/PR5P/5PP1/6K1 b - -,e6c8
r2qkb1r/1p3ppp/p1n1pn2/8/P2p4/3QBNN1/1PP2PPP/R2R2K1 w kq -,f3d4
r4rk1/1p3p2/p5pp/nBP5/3R3B/8/b4PPP/5RK1 w - -,b5e2
r4rk1/1p1n1ppp/1q1p4/p2P4/PnP2R2/1N6/1P2B1PP/R2Q2K1 w - -,b3d4
2rqr1k1/1p2bpp1/3p1n1p/pNpPp3/P1N1Pn2/BP3Q1P/2P2PP1/3RR1K1 w - -,a3c1
3rnbk1/rq3p1p/1pbp2P1/p1n1p1PP/2P1P1N1/2N1B3/PP2QRB1/2R3K1 b - -,h7g6
r1b2rk1/2p1qnp1/1p3p1p/p1pPp3/2P1PP2/2QN1BP1/PP5P/4RRK1 b - -,g7g6
r1b1r1k1/pp3pp1/1b1p1q1p/3P4/2p1P2n/2N2P2/PP1K2PP/2RQNB1R b - -,h4f5
rn4k1/6b1/pq1p1nB1/3Pr3/R6Q/1p6/1P4PP/2B2R1K b - -,b6b5
r1bqkbnr/pp1p1ppp/2n1p3/2p5/2B1P3/P1N5/1PPP1PPP/R1BQK1NR b KQkq -,g8f6
8/p4p2/1n5p/4k1p1/4p3/4P1PP/P1R2P2/2r1NK2 b - -,c1a1
1r6/4k3/1p2b1p1/2p2p2/p1P2P2/P4BKP/1P1R4/8 w - -,f3d5
8/7R/1B1pk1p1/1q6/8/7P/6P1/7K w - -,b6g1
4r1k1/p1n5/1p6/3P1Npq/2p1P1pp/5r2/PP1R1PQP/4R1K1 b - -,f3f5
8/p4p2/1r1p1k2/2p2Pp1/1p1bP1B1/5K2/P1P4P/4R3 w - -,e1d1
5r2/4Rppp/P3p3/4P3/2Pk4/7P/5PP1/6K1 b - -,d4e5
r4rk1/1p1nqppp/2pbpn2/p2p3b/2P5/PPBP1NPP/3NPPB1/R1Q2RK1 b - -,e6e5
r2r4/1p2q1k1/1Qbp1npp/p3p3/2P1P3/2N2B2/PP1R2PP/3R2K1 w - -,c4c5
1r4k1/p2qpr2/1p1p2pp/1RnQ1p2/2P2P2/P1BPP1PP/8/5RK1 w - -,h3h4
rn3rk1/p1q1ppb1/2pp2p1/1p1nP2p/3P1P1Q/2NB3R/PPP3PP/R1B3K1 w - h6,c3d5
r4rk1/1p3b2/5p1b/pNP3Qp/P4R2/8/1P4BP/R5K1 b - -,h6g5
3r1rk1/pbq1bpp1/2nppn1p/1pp5/4P3/2PP3N/PPB1QPPP/R1B1RNK1 w - -,f1g3
r1bqr1k1/pppn1pbp/3p1np1/4p3/3PP3/2N2NPP/PPP2PB1/R1BQR1K1 b - -,c7c6
8/4k3/8/p5p1/Np2K3/7p/2P5/8 w - -,e4f3
8/3k4/8/1p6/n1p1p2R/2P1P3/2K5/8 b - -,a4c5
b7/2r2pk1/p3p1p1/2rpP3/5PpP/1P4P1/P2R2B1/3R2K1 b - -,a8c6
8/8/4p1p1/R2b1k1p/1r3p1P/8/4R1PK/8 w - -,a5a3
1r4k1/pp4p1/8/4Nr1p/5p2/7P/PPP2PP1/3RR1K1 w - -,e5f3
6k1/5b2/6pR/1p1p4/1pp2PP1/2P5/5QK1/4q3 b - -,e1f2
r2q1rk1/pp1nbpp1/4pn1p/2p5/3P3P/5N2/PPPBQPP1/2KR1N1R w - -,g2g4
7k/p1b3p1/3q2p1/5pBn/3P4/7Q/4BPP1/6K1 b - -,d6d4
r1b2b1r/1p3kp1/p2pp3/4n2p/3NP1nP/2N1B2B/PPP2P2/R3K2R w KQ -,e3g5
8/7k/2r3p1/2B1K3/p5PP/PbR5/8/8 b - -,c6e6
1r3rk1/2p1nppp/p1n5/1P1qp3/3P2b1/2P2NP1/3BPPBP/1R1QR1K1 b - -,a6b5
5r2/p3ppkp/6p1/2p1qb2/8/5BP1/PrPR1P1P/R1Q3K1 w - -,d2e2
r4k2/3b1p2/n6p/7P/P2NP2R/1P2KP2/2P5/8 w - -,h4h1
8/p2r2p1/2p1p1k1/R2b1pp1/3P4/1P3PPP/P4K2/2R5 b - -,g6f6
3r3r/5pp1/b1p5/k2pP1PP/pp1P1K2/8/Pn6/2RBN2R w - -,d1c2
2r1k2r/1p1bp1bp/1p4p1/3P1p2/P4B2/1P3P2/6PP/1KR2B1R b k -,c8c1
6k1/r4pp1/Pq2p2p/2pP4/1nB5/1P4PP/3Q1P1K/R7 b - -,e6d5
r4rk1/1b3ppp/1pnqpn2/p2p4/3P1P2/P2B1NP1/1P1NQP1P/2R2RK1 b - -,g7g6
r4k2/pp2bp2/4p3/4n3/P3NQP1/1q5P/3R4/5R1K w - -,f4e5
2r3k1/4ppbp/p2p2p1/1p1P4/8/1P4P1/PB1RPPKP/8 b - -,g7b2
2r2k2/5p2/5p2/2pPp1q1/P2bB3/5QP1/Pr3P1P/2R2RK1 w - -,c1b1
r2qkb1r/pb1n1ppp/4pn2/1pp5/3P4/4BNP1/PPQ1PPBP/RN3RK1 b kq -,a8c8
8/Bkp5/6p1/1b2K3/7P/P7/6P1/8 w - -,a7e3
1Q6/8/8/6p1/8/4k2P/1K6/3q4 b - -,d1e2
1nbr4/1p2ppkp/6p1/1Pp5/r1B5/4P3/P2N1PPP/R3K2R w KQ -,c4b3
8/pR3pk1/6p1/3p4/3P3p/4P1P1/PPr3K1/8 w - -,g2h3
1rb5/5pk1/6p1/p1pr4/1pB5/8/PP3R1P/R1B3K1 b - -,d5d7
1B6/p5p1/1p2Rp2/2p4k/P1n4P/2P1KP2/6r1/8 w - -,e3f4
r2q2k1/bpp2pp1/p1nprn1p/4p3/3PP3/2P2NN1/PP3PPP/R1BQR1K1 b - -,d6d5
6r1/6pk/b3Q2p/3pP2P/3N4/3PP1R1/1q4P1/6K1 b - -,b2b1
1r6/2rbkp2/4p1p1/R1p1P2p/5P1P/1PRB2P1/3K4/8 b - -,d7e8
3r4/2b5/5kp1/p6p/2R4P/3B4/1PP5/3K4 b - -,c7e5
3r1bk1/5pp1/p1qP3p/1r2B3/2pP2Q1/4R2P/P4PP1/R5K1 w - -,a1c1
3r4/5pk1/2p1b3/2b1p1q1/2N1P1pP/8/P1Q5/3RRB1K b - -,d8h8
6k1/4K3/5P2/1p6/2b2P2/2P5/8/8 w - -,e7e8
4r1k1/pp2ppbp/6p1/8/2r3b1/2N5/PPPBN3/2K1R2R b - -,h7h5
Q4rk1/p2nb1pp/3pb3/2q1p1p1/7P/2P3P1/PP1NNPB1/R3K2R w KQ -,a8c6
r1bqnrk1/3nppbp/pp1p2p1/2pP4/P1B1P3/2N2N1P/1PP2PP1/R1BQ1RK1 w - -,a1b1
rn1qk2r/pp3pbp/2p1pnp1/3p4/4P3/3P1QPP/PPPN1PB1/R1B1K2R w KQkq -,e1g1
2r1r1k1/4bpp1/p3p1q1/1pP1B2p/1P3P2/P3R1PP/4Q2K/2R5 b - -,c8c6
r1bqr1k1/1p1n1p1p/p2p1bp1/2pP3n/P3P3/2NBB2P/1P1N1PP1/R2Q1RK1 b - -,f6d4:f6g7
5r2/8/3N2k1/4Pp2/5P1p/7P/5K2/8 b - -,f8d8
r3r1k1/1p1bppbp/pq1p1np1/2p2P2/4P1P1/3PB2P/1PPQN1B1/R4RK1 w - -,c2c3
4Q2k/1P4p1/3q3p/p7/1r6/7P/P5B1/6K1 b - -,h8h7
4r1k1/1p2rpb1/1q1p2pp/3P4/1PPp1B2/3Q4/5PPP/1RR3K1 b - -,b6a6
r5k1/ppr1ppq1/3p2p1/7p/P1P1Q2P/1P3RP1/4PPK1/3R4 w - -,d1d5
r4rk1/5p2/p1R1b1pp/1pp5/2n5/P3PN2/1PB2PPP/R5K1 b - -,f8c8
r2qbrk1/p2nbppp/2p1p3/3p4/N2P1P2/1Q1BP3/PP1B2PP/2R2RK1 b - -,f7f5
2rq1rk1/pp2ppbp/6p1/n7/1Q1PBB2/2P3P1/P4P1P/R3R1K1 b - -,b7b6
2r2rk1/1b2q1pp/p2bp3/2n2p2/PpnN4/1P2P3/1BQ1BPPP/R4RK1 w - -,e2c4
4r1k1/p6p/3p4/1ppPr3/4n2B/P3R3/1P4PP/4R1K1 w - b6,h2h3
k1r2r2/p5p1/P1p1p3/pq2P2p/Q1RPN2P/5PK1/6P1/8 w - -,e4c5
2r3k1/5ppp/1p2q3/1R6/pp2P3/4P1P1/PP5P/2Q3K1 w - -,c1d2
4r1k1/1b3ppp/p4n2/qp6/8/PB2P3/1P2Q1PP/3NR1K1 b - -,a5b6
3q3k/pp4p1/5pPp/5P2/2p2Q2/P3rN1K/2B4P/8 b - -,e3a3
r2q1rk1/pbn1b1pp/1n1p1p2/2pP4/1p2PP1N/1PN3PB/PB5P/R2Q1RK1 w - -,c3e2
r2r2k1/pp3p2/5qp1/6Q1/2n2p1P/2P2B2/PP3PP1/2KR3R b - -,f6b6
r4rk1/ppp1pp1p/1nn1b1p1/4P3/4PB2/P1N2P2/1P4PP/3RKB1R w K -,f1b5
7k/3bq1pp/2pNN2n/p4p2/Pn1P4/1Q4P1/5P2/R2B2K1 w - -,e6c5
8/8/8/8/5pk1/6p1/R3P1K1/4r3 b - -,e1e2
8/p1k2p2/1p2pbp1/5n1p/4KP2/2P1B1P1/PP2B2P/8 w - -,e3f2
5rk1/pp3p1p/2pnbp2/8/3P4/1B2P2P/PP1N1KP1/2R5 w - -,f2f3
8/p2bq1k1/1p3b1p/2pB1ppQ/2Pp4/1P1P2PP/P2N1P2/5K2 b - -,e7e8
r1bq1rk1/pp2ppbp/2n2np1/3p4/3P4/2PB1N1P/PP3PP1/RNBQR1K1 b - -,d8c7:c8f5
r5k1/p4pq1/1p6/PP1ppP2/1P1B2Q1/6K1/8/2R5 b - -,e5d4
3q1rk1/3r1p1p/1pbp2p1/p1n1p3/2P1P3/2P1BP2/P4QPP/3RRBK1 w - -,d1d2
