8/p4r2/1p1Pn1kp/8/8/3Q4/PP4PP/6K1 b - -,g6g7
r2r2k1/p4p1p/1np3p1/4n3/4Pq1P/2N2P2/PP2B3/1KQR3R b - -,d8d1
4r3/6bk/1p4pp/p7/4p3/6P1/2Q1PPBP/q2NB1K1 b - -,e8d8
8/5kpp/4p3/2Bb1n2/p4P2/N3K2P/8/8 w - -,e3f2
8/8/6p1/p4p1p/Pkp2P1P/6P1/2K5/8 b - -,b4a4
rnbq1rk1/ppp1ppbp/1n4p1/8/3P4/1BN1PN2/PP3PPP/R1BQK2R b KQ -,b8c6:c7c5
Q6k/5p2/pp3b1n/8/3P2q1/3R4/PP2PPB1/6K1 b - -,h8h7
1r3rk1/1pqbbppp/p2p1n2/n3p3/P3PB2/2N2NP1/1PP1QPBP/3R1RK1 w - -,f4g5
1r3rk1/3b2pp/p2qp3/Pp1p1p2/2pP1P2/2P1P2P/1PQ1B1P1/R4RK1 w - -,f1b1
4rnk1/2p5/1p1p1B1p/3P1BbN/1PP3p1/1b6/7P/5R1K b - -,b3c4
2rr2k1/1p3pbp/p1p3p1/2P1p3/3nP3/4B1PP/PP3PB1/2R1R1K1 b - -,h7h5
4qk2/pQp5/3p2pp/8/5P2/2P2KP1/PP5P/8 b - -,e8f7
r1b2rk1/pp2qpp1/3b3p/3p4/2pP1n2/2P4P/PP1NBPPN/R2Q1R1K w - -,e2f3
7k/pp3rBp/2pp1b2/5p2/1qP2P1R/6PP/P3Q1BK/8 b - -,h8g7
1rbk4/1p5p/3bp1p1/PB1pNr2/3P1PKP/1PR1P3/2R5/8 b - -,b8a8
8/p4p2/1p2p2N/1k1pP2n/2nP4/P1P5/4KP2/2B5 w - -,h6f7
r4rk1/pb1qbppp/1pn1p3/2pn4/8/PP1PPN2/1B1NBPPP/R2Q1RK1 w - -,a1c1
8/R7/p1r1rkp1/1p6/6PP/5K2/3p4/3R4 b - -,c6c3
8/5pkp/6p1/p3p3/2Pbb3/1PN3RP/5rP1/2R4K b - -,e4c6
1r1q1rk1/2pb2bp/3ppnp1/n7/1p1N4/1P4P1/PB1QPPBP/R2N1RK1 w - -,d4c2
4r3/1b1n1pkp/1q1p2p1/2p1pP2/1PP1P2N/1p1P2PP/1Q4B1/R5K1 b - -,e8a8
r1b2rnk/1p1nq2p/p2p2p1/P1pPpp2/2P1P3/2N5/1P1NBPPP/R2Q1RK1 w - f6,f2f3
8/1p2k2p/p3n3/Pb3Kp1/1P1pP3/2rP4/5P2/R2BN3 w - -,f5e5
6N1/8/4r1PK/pp6/5k2/8/PP6/8 b - -,b5b4
8/5k2/R5p1/4p3/6PK/3P3P/8/7r b - -,h1d1
6k1/5p2/3p4/1N1Pb1pp/2P1Pp2/5K1P/5P2/8 w - -,b5a7
6k1/1p4p1/p6p/2PbQ3/1P1N4/7P/q4PPK/8 b - -,g7g6
4r1k1/8/p1prb1p1/4P3/2P1QPp1/P1N3p1/6Pq/3R1K2 w - -,d1d6
3r1rk1/2p2ppp/p1p4q/1pb2P2/2P5/1P3N1n/PBQ2PP1/R3R1K1 w - -,g2h3
rn1q1rk1/2p2ppp/bp3b2/pB1Pp3/4P3/P1N1B3/1PQ2PPP/R4RK1 b - -,f6e7
2r1r1k1/7p/1R4p1/3P4/5P2/3R3P/4n3/6K1 w - -,g1f2
r1bqr1k1/pp3ppp/2pb1nn1/8/2PP4/2N2N1P/P1Q2PP1/R1BR1BK1 b - -,c8e6
rnbqkb1r/p4ppp/1p2pn2/2pp4/4P3/2PP1N2/PP1NBPPP/R1BQK2R b KQkq -,d8c7
8/8/1p5p/4kp2/8/PP1nPK2/7P/3B4 b - -,d3c5
3r4/1p5p/2b1k1p1/3p4/1p1R1PP1/1P6/P2R1KBP/r7 w - -,d4b4
2kr1b1r/ppqn1p1p/2p1pp2/7b/2BP4/2P1BN1P/PP2QPP1/2KR3R b - -,d7b6
1br1k2r/1p1b1p2/p1n1p1pp/8/2B2P1B/P1P2N2/1PP3PP/1K1RR3 w - -,h4f6
6rk/6p1/6pp/3QB1bn/8/7P/2q3P1/4RR1K w - -,f1f3
r1b2rk1/bpQ2pp1/p6p/1q1p4/3PP3/5N2/PP1N1PPP/R4RK1 b - -,c8e6
r2qk2r/n2bbppp/p4n2/1ppNp3/P3P3/2P2N2/1P3PPP/R1BQRBK1 w kq -,f3e5
2r1r1k1/p2q1pb1/1ppn4/3p3p/3PPB2/1P3P1P/P1Q3B1/3R1RK1 b - e3,d6b5
r2qkb1r/ppp2ppp/2np1n2/8/2B1PB2/3P4/PPP1Q1PP/RN2K2R b KQkq -,c6d4
3rbr1k/1p1qn2n/5b1p/p1p1ppp1/2Pp1P2/PP1PPNPP/1BQ4K/R3NR1B b - -,e5f4
2k4r/ppp3pp/1bn1bp2/4p3/2P5/1P1N2P1/PB2PPBP/5RK1 w - -,c4c5
r3k2r/bp1q1p1p/p1n1bp2/3p4/1P6/P1N2NP1/4PPBP/R2Q1RK1 w kq -,a1c1
r4rk1/4qppn/1R2p2p/2p1P3/PpQ2B1P/6P1/1P3Pb1/R5K1 w - -,g1g2
r1bqnrk1/ppp1npbp/3p2p1/3Pp3/2P1P3/2N2P2/PP2B1PP/R1BQNRK1 b - -,f7f5
r2q1rk1/pp3pb1/2npb1pp/2p1p2n/P1N1P3/2PP1N1P/1PQ1BPP1/R1B2RK1 w - -,f3h2
8/1p2p3/3p4/4k1n1/1P2P1p1/4K3/2P1N1PP/8 w - -,e2f4
r7/ppq1n1k1/2np1r1p/6p1/3pP3/1Q3NP1/PP3PB1/R4RK1 w - -,a1d1
4n3/pp2P1p1/5k2/5N1p/6P1/8/PP1K3P/8 w - -,h2h3
r1b2nk1/1p3p1p/p1p2qp1/2P2r2/1P2Q3/2NB3P/P4PP1/R4RK1 w - -,e4e1
r3r1k1/5p1p/pp6/2pPbb2/2P4p/3B3P/PP3PP1/4RRK1 w - -,d3f5
r2r1b2/k1p4p/np1n1p2/p2RpNpP/2P1P1P1/PP3B2/1BK3P1/3R4 b - -,a6c5
3r1rk1/p1qnppbp/2p3p1/2P5/2N1bP2/4BB1P/PP4P1/2QR1RK1 b - -,e4f3
r2q1rk1/pp2pp1p/1n1p2p1/3Pbb2/2P5/2N1B2P/PP2BPP1/2RQK2R b K -,a8c8
1N6/2k5/P5p1/4p2p/1N1nPp2/6Pb/5K2/8 w - -,a6a7
3r4/1p3pk1/p7/5brp/2P1B3/1P1N2P1/P6P/2K1R3 w - -,e4f5
r5R1/pb3p1k/1pn1p2p/4np1P/P4N2/2P1P3/1B2BPP1/R3K3 b Q -,a8g8
r4rk1/qb1n1pp1/1p2p1np/p1b1P3/P2p4/1N1P1NPR/1PRB1PBP/3Q2K1 b - -,d7e5
r1b2rk1/pp1q1ppp/2n1pn2/2b5/2P5/2N2N2/PP2BPPP/R1BQ1RK1 w - -,c1g5
2rr2k1/1p3ppp/p4n2/2bpN3/q2NnB2/P1PQ1P2/1P4PP/3R1RK1 b - -,e4d6
8/8/7p/1B4k1/P5p1/8/r3NPKP/8 w - -,e2c1
8/ppp5/5kN1/4p2p/8/2P1q1PQ/PP5P/6K1 w - -,g1g2
5r1k/5rp1/p1b4p/P1p1q2P/1pp1p3/3nB1N1/1P1Q1PP1/1R3RK1 b - -,h8h7
8/r4qpk/P1P2p1p/RQ2p3/3pP1PP/3K1P2/8/8 b - -,f7c7
rn2kb1r/pb1p1ppp/5q2/1Pp5/8/5N2/PP2PPPP/R1BQKB1R b KQkq -,d7d5
3r3k/p6p/4R1p1/5p2/2B1bP1P/PP1NK1P1/2P5/6r1 w - -,e6e7
r1b2r1k/ppp3bp/2n5/2NnPp2/8/4BNP1/PP3P1P/R3KB1R w KQ -,e3d2
8/4p3/4P1b1/5k2/p1KP4/PpP5/1P6/8 b - -,f5e4
3r3R/3k1p2/Bpq1p1p1/2nPQ1P1/5P2/8/PPP5/2K5 b - -,e6d5
2rq1rk1/pb3p1p/1p2pbp1/n7/3P1N2/2PB2B1/P1Q2PPP/3RR1K1 w - -,f4e2
8/6p1/1pk1p2p/1R1n4/P7/1P2BPK1/2r2P2/8 b - -,c2c3
r1b5/4kppp/5q2/p1rP4/1pP1pP2/4P3/4B1PP/RQ3RK1 b - -,e7d6
r1r3k1/2p4p/2Np1b2/PR1P1p2/2N1p3/3n4/5PPP/R5K1 w - -,a1a2
1kbr3r/p3qp2/1p1p1pnp/2pP4/4PP2/P1Q3P1/1P1N3P/2KR1B1R w - -,f1d3
rn1qkb1r/pbpp1ppp/1p2p3/8/2PPP3/P7/1P1N1PPP/R1BQKB1R b KQkq e3,d7d6
1r4k1/Q4p1p/6p1/4q3/8/P1n1P2P/2Br2P1/2R1R1K1 w - -,c2d1
r3r1k1/1b3pp1/pp1q3p/2pn4/7P/1P1QP1P1/PR3PB1/5RK1 w - -,e3e4
4r1k1/5pp1/2pp3p/p3r3/2P1q1PQ/1P6/P6P/3R1R1K w - -,h1g1
1r3rk1/1q2bppp/5n2/p1p1pP2/P2pP3/1P6/N1P1QBPP/1R3RK1 w - -,f2h4
8/RN3pk1/4b2p/p4p2/8/5PKP/r5P1/8 b - -,f5f4
rn1qr1k1/p1pp1ppp/bp3n2/3Pp3/Q1P1P3/2P3P1/P4PBP/R1B1NRK1 b - -,d7d6
1r2k2r/4bpp1/pq1p1n1p/3Pp3/1p4PP/1N3P2/PPP3Q1/1K1R1B1R b k -,a6a5
3qr1k1/5pb1/1p4pp/1Q1p1n2/4p3/3PP1P1/rPNB1P1P/2R2RK1 w - -,d3d4
4r2r/1pp1qpk1/p2p2p1/3Pn2p/3Q4/4P1P1/PPP1B2P/2KRR3 w - -,c1b1
8/p3kp2/6p1/2P4p/B3KP2/6P1/2n4P/8 b - -,c2b4
r4rk1/ppqn1ppp/4pn2/2p4b/3P4/P1P1PN1P/4BPP1/1RBQ1RK1 w - -,d1b3
8/2R2p2/4pkpp/8/5PPP/r7/5PK1/8 w - -,f2f3
r3kb1r/1pqb1p2/p2ppn1p/4n3/3NPpP1/2N1B2P/PPP1Q1B1/R3K1R1 w Qkq -,e3f4
r1bqk2r/pp2bp2/2n1p3/3p1p1p/8/1N3NP1/PPP1PPBP/R2Q1RK1 w kq h6,c2c4
r4rk1/p5bp/1p1p2b1/1P1Pp3/4NnNq/5P2/P5PP/R2QRBK1 b - -,h4e7
8/3bb1k1/4p3/1p2p2p/4Pn2/2N2PK1/1P1N4/5B2 b - -,h5h4
8/8/1k1p4/2nPp1rp/Pp2P3/1Pp1K1PR/8/3B4 b - -,b6a5
7b/8/3K2kP/6P1/5n2/8/8/8 w - -,d6e7
r3rbk1/1q3ppp/pn1p1n2/1ppP4/4P1b1/1P3N2/PBB2PPP/2RQRNK1 b - -,f6d7
1k4r1/1p6/p3R1P1/P7/8/8/6P1/6K1 b - -,b8c7
r5k1/5pb1/2qp2p1/2p5/1p1p3r/1P1R1R1P/4QPK1/5N2 b - -,h4e4
6k1/3n1ppp/3p1n2/3Pp3/4P3/1Q4P1/2rB1P1P/5BK1 b - -,c2d2
rnb2rk1/ppp1q1pp/3p4/3Ppp2/2P5/2R3P1/PP1NPPBP/3Q1RK1 w - f6,c4c5
rnbqkb1r/1p3ppp/p2p1n2/4p3/2PNP3/5P2/PP4PP/RNBQKB1R w KQkq e6,d4c2
8/8/4Nn2/8/6pk/7p/7K/8 w - -,e6d4
4kn2/5pQ1/4p2p/2r4P/6P1/4N3/4KP2/4R2q b - -,h1e4
r1bq1r1k/1pp1bppp/p1np1n2/P3p3/2B1P3/1QPP1N2/1P3PPP/RNB2RK1 b - -,d8e8
2r3k1/1p2qpp1/r2bp2p/nQ2N3/3B4/2P5/P4PPP/1R1R2K1 b - -,f7f6
1r1q1bk1/pbpn4/1p1p1nBp/8/3P4/3Q2N1/PPPB1PPP/4R1K1 b - -,g8h8
4rr2/p2P2kp/1p2B1p1/2p5/2P5/6PP/P5K1/4R3 b - -,e8e7
1r1q2rk/5p1p/4ppn1/p2p4/Nb1P4/1P4P1/PNR1QP1P/5RK1 w - -,b2d3
6k1/7p/p5p1/1p3pP1/2q2P2/6P1/P2Q3K/8 b - -,c4e6
6k1/2qn1pbp/6p1/1B1p4/P7/2r1BPP1/5Q1P/1R4K1 b - -,c3c2
r2qr1k1/p3bppp/1p1ppnn1/2p1P3/P7/3P1N1P/1PPN1PPB/R2QR1K1 b - -,f6d5
8/1k5p/1P2p3/4pp2/3b4/6P1/6KP/1R6 w - -,b1b5
1Q6/1B6/6p1/2k4p/6r1/1n2K3/8/8 w - -,b7f3
3r1rk1/7p/3p2p1/2pQb1q1/1pP1P3/pP5P/P5P1/1B2RRK1 b - -,g8g7
6k1/5ppp/4p3/3p4/p2P4/B1n1PP2/P5PP/2r1K3 w - -,a3c1
1r3rk1/1p1q2pp/p1p1Rpn1/2Pn4/3N4/1Q4P1/PP1B1P1P/4R1K1 b - -,g8h8
6k1/p4pb1/1p4pp/4n3/4P3/B4P2/PP4PP/3N1K2 w - -,b2b3
r1bq1rk1/pp1nbppp/2p5/3p4/3PnB2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,f3e5
rn1qk2r/1b1pbppp/pp2pn2/6B1/2PN4/P1N1P3/1P3PPP/R2QKB1R w KQkq -,d4f3
2r2rk1/3nb1pp/q1p2pb1/P2pp3/3P4/P1Q1PPN1/1N3BPP/2R2RK1 b - -,e7d8
r3k3/1pp3bp/5Q2/p1pPp2P/2P5/8/PP3P2/R3KB2 b Q -,g7f6
4rk2/pb5p/1p1q1pp1/2pP4/8/2Q3P1/PP3PBP/3R2K1 w - -,c3d2
8/p4k2/2p5/2N4p/7K/2b1p1P1/P7/8 b - -,e3e2
5rk1/1P3p1p/2P3p1/p7/4Q3/3p4/1q3PPP/5RK1 b - -,b2b6
rn1qk2r/pbpp1ppp/1p2pb2/8/2PP4/2N2NP1/PPQnPPBP/R3K2R w KQkq -,c2d2
2r3k1/p3pp1p/3p2pB/4P3/2PQP3/2P3Pq/Pr5P/R4RK1 w - -,h6d2
1r5k/7p/p2p1p2/P1pPpP2/1pP1P3/1R6/1P3KPP/8 w - -,g2g4
3bq1k1/np4p1/4p2p/3pPp1b/pP1P1P1P/P5P1/1B3N1K/2Q3N1 b - -,d8b6
8/4pk2/2rp2p1/p2P3p/P3PK1P/6P1/8/8 w - -,d5c6
8/5pk1/6p1/R1pP4/P1P4p/1r5P/5PP1/6K1 w - -,a5c5
8/3R4/6kp/8/1b6/4r1PP/3p2K1/3B4 w - -,d7d4
r4rk1/p1q3b1/1pp1p1p1/2np1n2/5P2/2N2B2/PPPQ1BP1/2KR3R w - -,g2g4
2kr4/2p2pp1/1p2b3/n1p1P2p/5P1P/PPN1K3/1R4P1/2N5 b - -,c8b7
7k/4P2p/3p4/3P4/1PP2Q2/8/7P/4q2K w - -,h1g2
rqbr2k1/1p1p1ppp/p1n1pn2/8/Pb2P3/N1N3P1/1PP2PBP/R1BQ1RK1 w - -,c1f4
8/p7/2pk1p1p/1p4p1/P3B3/2P4P/1b1K1PP1/8 w - -,d2c2
7k/7p/4R1p1/4p3/P6P/2n5/2B3PK/1r6 b - -,b1b2
r7/1p2pkbQ/3p2p1/3Nqb2/p1r1PR2/1N3P2/PPP3P1/1K1R4 w - -,f4f5
8/r4p2/4pkp1/7p/p2PK2P/R4PP1/8/8 w - -,g3g4
r4rk1/1b1n1pp1/p2q3p/3Pp3/1bB5/1P3N2/P1Q2PPP/2BR1RK1 w - -,c2f5
r7/7p/3Bpp2/3n2k1/P1R5/1K5P/8/8 b - -,f6f5
3q4/Qp5k/6p1/1r6/8/2p1P1PP/5P2/2R3K1 w - -,a7a1
2r3k1/p4ppp/q3pn2/8/1b6/4PN2/1P1BKPPP/R7 w - -,a1a6
r5k1/p1Q3p1/4b2p/4P1b1/3P4/2Pq4/PP3RPP/R5K1 b - -,g5e3
2kr1bnr/pp4p1/2p1p3/1n1qPp1p/PP1PN2P/4B1N1/2Q2PP1/R4RK1 b - -,b5c7
8/5kp1/pn5p/1p6/1b3B2/1P3N1P/P3rPP1/3R2K1 w - -,f4e3
3r1k2/pp2pp1p/2q2n2/3p2Q1/P2R4/2N1P2P/1PP3P1/6K1 w - -,g1h1
6Q1/8/3p2p1/2p3k1/3q1r2/P7/1PP5/1K3R2 w - -,f1h1
4r1k1/1p2qrpp/p1p1b3/2QpPp2/P2P1P2/4P3/1P4BP/R1R3K1 b - -,e7c5
8/8/1p5R/8/2P2k2/3K3p/2P5/1r6 b - -,f4g4
r1b1r1k1/pp1nppbp/1qp2np1/3p4/3P1B2/1QP1PN2/PP1NBPPP/R4RK1 b - -,g8h8
2r5/4pk1p/3p1pp1/nR6/4P3/P2r1P2/1P3KPP/4R3 w - -,b5a5
8/5k2/1P3Qp1/8/8/2B3K1/8/3q4 b - -,f7e8
r1bq1rk1/bp3ppp/p2p1nn1/2p1p3/4P3/1BPP1N1P/PP3PP1/R1BQRNK1 w - -,a2a4
3r1bk1/p1B5/3p2np/3Pp1p1/4PpP1/1P3Pn1/P5P1/4R1K1 b - -,d8c8
2r5/5k1p/2N3p1/2P1Bp2/r7/7P/1R3PP1/6K1 w - -,b2b6
2r1k2r/1p1qb1p1/p2N4/P3ppB1/8/5QP1/1PP2P2/R1R3K1 b k -,e7d6
8/5np1/8/5k1p/4p2P/6KN/5P2/8 w - -,h3g1
rnb1k1nr/1pp2ppp/p2p4/2bNp3/2B1P3/3P1N2/PPP2PPP/R1B1K2R b KQkq -,c5b6
2k5/2p5/pp2b3/3n4/2p5/2P2KP1/PP1R4/8 b - -,c8d7
3r1nk1/1p2r1p1/p2Rp2p/q1p1N3/2P1Q3/1P4P1/P4P1P/3R2K1 w - -,d1d2
3r1rk1/pp2qppp/8/2p1b3/N3n3/P1B1P3/1P2QPPP/3R1RK1 b - -,e4c3
5rk1/2p1r1pp/p2p4/3bq3/2R5/1P1PP1N1/P2Q2PP/4R1K1 w - -,c4c1
2r3k1/5ppp/2P5/4p3/4B3/4qP2/2P3PP/5Q1K b - -,e3d4
r4r2/p1pqb1kp/1pN2pp1/3n4/P1QP4/8/3B1PPP/1R3RK1 w - -,c6e7
r4r1k/1p1b2qp/3p4/1pnP1pp1/8/4PNP1/1Q3PBP/1R1R2K1 b - -,h7h6
r1k3r1/2p2p1p/p1p2Bp1/8/Np2PPb1/4b3/PPP3PP/1K1R1R2 w - -,d1e1
r4rk1/ppqn1pp1/2p1bp1p/8/1bPP4/2NBB3/PPQ2PPP/R3K2R w KQ -,e1g1
k7/1R6/P2K2p1/7p/7P/5P2/8/2r5 w - -,b7c7
r1bqkb1r/ppp2ppp/4pn2/8/3P4/3B1N2/PPP2PPP/R1BQK2R b KQkq -,c7c5:f8e7
1n6/5p1p/1B1p1k2/4bbp1/1P6/3B1P2/2N3PP/6K1 w - -,d3f5
r4rk1/p4ppp/2p1bn2/q2p2B1/1bpP4/1PN3P1/P1Q1PPBP/R4RK1 w - -,g5d2
4r1k1/1b3pp1/p1p2n2/2R2N2/Np2P3/5PP1/PP6/6K1 w - -,f5d6
r2qk2r/1p1nbpp1/3p3p/p2Pp3/8/1N2BPP1/PPPQ3P/R3K2R w KQkq -,a2a4
3r4/rp2q2k/1Np1b1pp/p1Pp1p2/1P2nQ2/4PP1P/P3B1P1/2RR2K1 b - -,e4f6
8/8/7R/2N5/2Bb4/2n2b2/1k3P1P/6K1 w - -,c5d3
2q3r1/5k1p/2r1p1pP/p2nQpP1/1pP2P2/1P1R4/P7/B1KR4 b - -,c8c7
r1b2rk1/p2nqppp/1p2p3/1B6/3p4/2Q1PN2/PP3PPP/R2R2K1 w - -,c3c7
8/RP6/2k1K3/P7/5r2/8/8/8 b - -,f4e4
r1b1nk2/1r5p/2p1p1p1/2Pp1p2/1P1q1PPQ/3PRB1P/4R3/4B2K w - -,g4f5
r7/5r2/p2kp3/qpbb2Q1/4B3/8/PPP2PPP/1K1R3R w - -,d1d5
r1q1r2k/p5pp/1p1Rp3/3B4/5PP1/1Q2p3/PPP4P/1K3R2 b - -,e6d5
r5k1/5pp1/3Rb2p/p1P1p3/1r2P3/1P2R2P/2B3PK/8 w - -,c5c6
8/2k5/3p4/2pPp3/p1P5/n2K1PpN/8/8 w - -,f3f4
6k1/1p3rb1/p1pB1pR1/3p1Rp1/1P1P2p1/2P5/5PK1/4r3 w - -,g2g3
8/5p2/4p1p1/4P1Bp/4kP1P/8/1r2K3/8 w - -,e2e1
3rnk2/2b2bp1/2p2p2/2P1p2p/qP1pP2P/N2Q1P2/2NK2P1/B6R w - -,h1b1
1b5k/p3q1rp/1p2pp2/3n4/1P1Q1pN1/P4P1P/6P1/2R2NK1 b - -,h7h5
2rqk2r/1b1n1ppp/p2Ppn2/2p5/P2P4/2PB1N2/2QB1PPP/R3K2R b KQk -,c5d4
r4rk1/pb1n2p1/1q2p2p/1p3R2/3P3B/1QP1P3/P2N2PP/5RK1 b - -,b6c6
2rq1rk1/1b2ppb1/1n1p3p/p2P2pP/Pn2P3/1Q2BNN1/5PP1/1BR1R1K1 b - -,b6d5
rn3rk1/pp3pbp/2pP2p1/3PP3/2P1N3/3B1P2/PP3q1P/R1BQ3K b - -,f2d4
5Q2/p2r4/1pq5/3kpp2/b1np3P/2B5/2P3P1/KR2R3 w - -,f8f5
1r3rk1/p1p1q3/3p3p/3P1bpB/Q1P5/N2nB3/P2K1P1N/b6R w - -,h1a1
r2r3k/1p4b1/3p1n1p/4pP2/1n2P3/1P3P2/P2N2R1/1KR2B2 b - -,d6d5
8/8/8/p1k2p2/2PN2pn/P1K5/5P1P/8 w - -,d4b3
6k1/6pp/pR6/Q2p4/P1r5/6P1/5KPP/3q4 b - -,d1d4
2r2rk1/pp1nqppp/2p2n2/8/1PNPp3/P3P1N1/2Q2PPP/2R2RK1 b - -,g7g6
r3k2r/pp1nppbp/2p1b1p1/8/1P1P4/4P1B1/P4PPP/R3KBNR w KQkq -,g1f3
k7/1n1r2pp/p1QqN3/5P2/P7/6P1/5P2/1R4K1 w - -,c6e4
