8/1B6/2p3p1/p3npk1/3R4/6P1/2r3K1/8 w - -,g2f1
2R5/3n1k2/6n1/2p5/3b1P1p/3b1K1P/6P1/4B3 w - -,g2g3
8/4p3/4Bk2/3P2p1/6K1/5N1P/r7/8 w - -,g4h5
8/1N6/2n3pp/pK1kn3/P7/6PP/5B2/8 b - -,e5c4
r3r1k1/p4ppp/1p2Pn2/2p3N1/3P1B1P/3P2P1/P3nPb1/R2R1K2 w - -,f1g2
r4rk1/1bq1bppp/ppnppn2/8/P3PP2/1NN1BB2/1PP3PP/R2Q1RK1 w - -,d1e2:g2g4:d1d2
2b2r1k/p5p1/2pqp2p/1p3r2/3P1P2/1BP3P1/P3Q1P1/3RR1K1 b - f3,f5f6
rn1qkb1r/pb3ppp/1p2p3/2ppP3/3Pn3/2PB1N2/PP2QPPP/RNB2RK1 b kq -,f8e7
rn1qk1nr/ppp1ppbp/3p2p1/8/2PP4/5PP1/PP3PBP/RNBQK2R b KQkq -,c7c6
r2r2k1/1b3pp1/1p6/6N1/Pp1p4/1P1BnP2/6PP/2R1R1K1 b - -,a8c8
1k2r3/1p3qp1/8/3r4/P3Qb2/2P2N2/1P1p1PKP/3R2R1 w - -,e4c2
1r1r2k1/2q2ppp/p4n2/1pbb4/3NN3/1P1nP1P1/P3QPBP/R1BR2K1 b - -,d5e4
rnb1kb1r/pp3pp1/1qp4p/3p4/2PPp3/4P1n1/PP1N1PPP/RNQ1KB1R w KQkq -,h2g3
r4rk1/1ppqbppp/p1n1bn2/3Pp1B1/1PB5/2PP3P/P2N1PPN/R2Q1RK1 b - -,f6d5
4r1k1/4bpp1/6qn/3bP1p1/1ppPN3/6N1/rP1Q2PP/4RRBK w - -,f1f2
2r5/1p2kpbp/1p2b1p1/1B1p4/3P4/4B1P1/PP1K1P1P/4R3 w - -,e1c1
3r1rk1/p2q2b1/1p3n1p/1P1b1pp1/3Pp3/4P1PP/3B1PB1/1RRQN1K1 b - -,d7f7
1k1r4/ppR5/6r1/3p1P2/2nP2P1/1P3K2/P7/2R5 b - -,g6a6
8/1p5p/6k1/2B5/5N2/1P1n2P1/r4PKP/8 b - -,d3f4
8/5ppk/4p1p1/R7/Pp1P1P2/4P2r/1P6/6K1 w - -,a5e5
5rk1/4b2p/p3q1p1/3n4/2rp4/P3N3/3Q1PPP/1R3RK1 w - -,e3c4
3q4/p3rp2/1bRN1kp1/pP1Bp2p/P3P2P/6P1/5P2/5K2 w - -,d6e8
5rk1/pp5p/2r1pnp1/3p4/5P2/1PN3P1/PP1R3P/1K2R3 w - -,d2e2
r4k1r/pp1qp2p/5ppB/4R3/3P2b1/8/PP1Q1PPP/R5K1 b - -,f8f7
1r1q1rk1/4b1pp/3p2n1/1N1Ppp2/Bn2P1b1/5N2/1P1BQPPP/R4RK1 b - -,g6h4
8/4K1pk/4N2p/7P/8/8/3R4/4r3 w - -,d2g2
r2q1rk1/pb1nbpp1/1p5p/2pp4/3P4/2NBPNP1/PP2QPP1/3R1RK1 b - -,c5c4
r2qr1k1/1ppb1ppp/p2p1n2/2b5/3NP1P1/2NQ1P2/PPPB3P/2KR3R b - -,c5d4
r2qk2r/pp2ppb1/2n2np1/6p1/2pP4/N5P1/PP3PBP/R1BQ1RK1 w kq -,d4d5
8/1p2rkp1/7p/8/8/8/PP3KPP/3R4 w - -,d1d6
r4rk1/pppqbppp/5n2/3B4/3P4/8/PP1N1PPP/R1BQR1K1 b - -,f6d5
2kr2B1/ppq5/4PPp1/2bp2P1/2pN1B2/P7/1P5P/3R1RK1 b - -,c5d4
r2q3r/pp2pp1k/n4npP/2pp3b/3P4/2N4B/PPPQP3/2KR2NR w - -,g1f3
8/3q2pk/4p2p/4Pp1Q/5r2/6R1/1r4PK/6R1 w - -,g1d1
r4rk1/1p4p1/p1p2nnp/2P1bp2/1P2p3/P3P1PP/1B1N1PBK/2RR4 w - -,b2e5
5nk1/1p4r1/6p1/p1PR2P1/3R2r1/5N2/1P3K2/8 b - -,g4d4
6k1/pn3pp1/1p5p/4B3/8/PP4P1/5P1P/6K1 w - -,e5b8
rn1q1rk1/pp3ppp/4pnb1/2p5/PbNPP3/2N2P2/1P3KPP/R1BQ1B1R w - -,c3a2
rn1q1rk1/pp3ppp/2p5/b3P1n1/2B5/4BP1P/PPQ2PK1/RN3R2 b - -,b8d7
r2qr1k1/p4pp1/1p3b1p/3N4/3n2b1/1Q3NP1/PP3PBP/3R1K1R w - -,f3d4
8/7B/2k3K1/2P3P1/5r2/8/8/8 b - -,c6c5
8/5p2/N3p1k1/6pR/2nr2P1/7P/5P2/6K1 w - -,h5h8
r2q1rk1/p3ppbp/2p3p1/1bnpP3/3P4/5N2/PPQ2PPP/R1BR2K1 w - -,c2c5
r3kb1r/pp1npppp/2p3b1/q1Pn4/3P2P1/2N2P1B/PP2N2P/R1BQK2R w KQkq -,e1g1
r2qk2r/p2pppnp/1p3np1/2pP4/2P3P1/5P2/PP3P1P/RN1QKB1R w KQkq -,b1c3
2r2r2/pb1qn1kp/1pn1p1p1/2pp1p2/2P1PP2/1P1P2P1/P2QNNBP/1R3RK1 b - -,h7h6
r1bq1rk1/ppp2ppp/2n4n/4P3/2Bp4/1N3N1P/PP3PP1/R2Q1RK1 w - -,b3d4
8/8/pB6/P2knpp1/8/3K1P2/8/8 w - -,d3e2
r4rk1/1p2ppbp/2p1bnp1/p7/P2PP3/BQ4P1/4NPBP/R4RK1 b - -,e6b3
8/4pk1p/2Pb2p1/8/Bp6/4P1PP/5P2/5K2 b - -,f7e6
4r3/1pk4p/3p1pp1/PRP5/3K4/8/P4PPP/8 b - -,d6c5
1rbq1rk1/1p1nppbp/2pp1np1/p7/P1PP4/2N1P1PP/1P2NPB1/R1BQ1RK1 w - -,b2b3
8/1pr2qk1/5bpp/p7/3p1P1P/PR1Q2P1/1P4BK/8 b - -,f7e7
1r1q1rk1/pP4bp/Q2p2p1/3P1p2/4p3/1PN1Bn2/P4PPP/2R2RK1 w - -,g1h1
8/R4pk1/3b2p1/p2R3p/7P/4K1P1/r4P2/8 b - -,d6b4
3rr1k1/pppqbppp/2n2n2/2Pp4/3P4/PPN3P1/2Q1NPKP/R1BR4 b - -,h7h6
r1bq1rk1/1p2bppp/p1nppn2/8/2PNP3/1PNB4/P4PPP/R1BQ1RK1 w - -,d4c6
1k4r1/1bpn1q2/p2p1r2/1p3N2/1P2P2Q/P1R2P1P/3R2PB/1K6 w - -,d2c2
r1bqk2r/pppp1ppp/2N2n2/2b5/4p3/1P2P3/PBPP1PPP/RN1QKB1R b KQkq -,d7c6
r1q1r1k1/1p3p2/2p3pp/p1Nnb3/Pn5B/1Q2PB1P/1P3PP1/2RR2K1 w - -,e3e4
4kb2/5pr1/3p1p2/p2RpP2/bq2P3/1N3Q2/6PP/1K1R4 w - -,d1d3
5rk1/b2n1ppp/3qb3/P1p1p3/N2nP3/P1Q1B1P1/5P1P/1RN2BK1 w - -,b1b7
5r1k/6q1/p1R1Bb2/P2Pr2p/4p3/5pP1/5P1P/3Q1R1K b - -,h5h4
8/1p4p1/pk6/3rp3/3pR1pP/6P1/PPPK4/8 w - -,e4g4
6k1/pp1q1pp1/5n1p/2Pp4/1P4b1/P4pN1/2B3PP/4Q1K1 b - -,f3g2
8/3N1pk1/1R1n2p1/6Kp/1R2P3/6P1/r1r2P1P/8 b - -,f7f6
rnbqkb1r/pp1p1ppp/1n2p3/4P3/8/1BN2N2/PP3PPP/R1BQK2R b KQkq -,d7d5
r2q1rk1/pb2bpp1/1pn1p2p/7n/2BP3B/P1NQ1N2/1P3PPP/R3R1K1 w - -,h4g3
r1b2rk1/pp3ppp/2nb4/3N4/6q1/4B1P1/PP2BP1P/R2QR1K1 b - -,g4g6
4rr1k/1pp4p/1pnp1P2/6q1/2P2nN1/2N2P1b/PP1QBR1P/R6K b - -,h7h5
3r2k1/pp4b1/2bp1qpp/3n4/3N4/2P2N2/PP1B1RPP/4rQK1 w - -,f1e1
8/p6p/3k2p1/2pnpp2/8/1PPB1P2/1P1K2PP/8 w - -,d3c2
r6k/pp1q2rp/2p1bB1Q/5p2/3P4/P6P/1PP5/2KR4 w - -,d1g1
r2qk2r/1pp1npb1/p2p2n1/3Pp1B1/4P1b1/2N5/PPPQN1PP/2KR1B1R b kq -,f7f6
4r1k1/4qp1p/1p4p1/2rp4/1R2p3/2p3P1/P1NbQ1BP/1R4K1 b - -,e7a7
r1r5/5k1p/p1n2pp1/1pR1p3/4P3/1P6/1PN2PPP/RK6 b - -,c6d4
8/3n1k2/p2p2p1/B1pP3p/2P1pP2/7P/P4KP1/8 w - h6,g2g4
1r3bk1/2r2p1p/b1p1pBp1/p1PpP3/Nq1p1PPQ/1P1P1R2/P1R4P/6K1 b - g3,h7h6
8/R2pk2p/p3b1p1/Pp4P1/1P1R3P/1r6/2K5/8 b - -,b3f3
3n1b2/5p2/p1k1p1p1/2p1P2p/1pP1KPP1/1P1NB2P/P7/8 b - -,h5g4
3rnrbk/ppn1Q1bp/2pp2p1/q4p2/N1P2B2/1P3NP1/P3PPBP/2RR2K1 b - -,c7e6
1r6/r3kppp/b3p3/8/2p5/P1NnPP2/1PR1B1PP/1R4K1 w - -,c2d2
3q1rk1/3nppbp/rp3np1/p1pp2B1/P2P4/2P1PN2/1P1NQPPP/R4RK1 b - -,d8a8
6r1/Bkpr2b1/1pn5/PN2pp1p/8/7P/1P3PP1/R4RK1 w - -,a5a6
5kr1/2p2p2/1p1p1q1p/3Pp3/rP2P1pn/3NQ3/5PPP/2R2R1K w - -,c1c7
8/p4pkp/1p1P4/3q2p1/P4Q2/4P2P/6PK/8 w - -,f4g3
r3n1k1/2pb1pbp/3p2p1/rp1P1n2/8/1P1N1PP1/P2R1BBP/2N2RK1 b - -,g7c3
r4rk1/pb4p1/1p2R2p/n1p2P2/2P3nq/2PB4/P1Q3PP/R1B2NK1 b - -,a8d8
8/5pk1/8/4q3/4r2p/8/3Q2P1/3R3K w - -,d1f1
6k1/1q2bp2/3p2pp/2n1p3/1p2P3/1P2Q1P1/r1P1RP1P/4BKN1 b - -,a2a1
rr4k1/3bbp2/1q1p1npp/2pPp3/p3P3/2P2QBP/RPBN1PP1/4R1K1 w - -,e1a1
r2qk2r/p2nppb1/npp3pp/3pP3/3P4/2N1BN1P/PPPQ1PP1/R3K2R w KQkq -,e5e6
r1bqk2r/ppp1npbp/2np2p1/4p3/4P3/2NP1NP1/PPP2PBP/R1BQK2R w KQkq -,c1e3
r1bqk2r/pppnnpbp/3p2p1/4p3/8/1P1PPN2/PBPN1PPP/R2QKB1R w KQkq -,c2c4
r1bq1rk1/1pp3bp/5pp1/p2np3/N2n4/P2P1NP1/1P1BPPBP/R2Q1RK1 w - -,f3d4
2r1r1k1/1bq2pbp/P2p2p1/3p2B1/2p1P3/P1Nn1P2/3QN1PP/1R3RK1 b - -,b7a8
r2r2k1/pp1nbppp/4pn2/2p5/N1PP4/1P5P/PB2NPP1/R2R2K1 b - -,a8c8
r4rk1/ppp2pp1/1q3n1p/8/Q5b1/2BBP3/PP3PPP/2R2RK1 b - -,g4d7
r1bqk1nr/pp3ppp/2n1p3/3pP3/1b1P4/2N1B3/PP3PPP/R2QKBNR b KQkq -,d8a5
8/1k6/p2b2r1/1p6/7B/P1R1PK2/6p1/8 w - -,h4f2
1R1b4/1p1r3p/1P3pp1/1k2p3/4K1P1/4B3/5PP1/8 b - -,d8b6
r3k2r/pp2bppp/4pn2/1P1bN1N1/3P4/8/1P1B1PPP/R3K2R w KQkq -,g5f7
2kr3r/pppqnp2/3p1n1p/2b1p3/4P2N/2PP2P1/PP3PK1/RNBQ1R2 w - -,b1d2
6k1/ppq2pp1/4P2p/5P2/1PrpQ3/P4PK1/7P/3R4 w - -,g3h3
8/8/8/1kp1p1p1/1p1R4/1P2K3/2P3P1/8 b - -,e5d4
r3rb1k/1p5p/p1pBp2q/2PpPp2/PP2pP2/4P3/4Q1PP/2R2R1K b - a3,h6g7
6k1/Q3pp1p/6p1/2p2b2/P2q4/5PP1/P3B2P/5K2 b - -,d4e3
3r4/8/p2P4/1p3Np1/4k1K1/6P1/PP6/8 w - -,g4g5
8/6Bp/2k5/3p2PP/Pbn5/2NbPP2/1r2NK2/4R3 b - -,c6d7
r1bqr1k1/pp3pbp/n2p1np1/2pP4/P3PP2/2NB1N2/1P4PP/R1BQ1RK1 w - -,d3a6
7Q/2q1kr1p/3R4/5p2/4p2P/4PpP1/PPr2P2/3R2K1 w - -,h8e5
3r1rk1/ppq1bppp/2p2n2/2n5/4P1b1/2P2N2/PPBNQPPP/R1B2RK1 w - -,e4e5
r2qk2r/pppbbppp/2n1p3/3pPn2/3P4/2PB1N2/PP2NPPP/R1BQK2R b KQkq -,a7a6
8/p4rk1/1p4p1/8/1P4RP/r5P1/2R2PK1/8 b - -,a7a5
5rk1/5qb1/1p1p1r2/pP1Pp1p1/P1N1BPnp/2BQ3b/2R4P/4R1K1 b - -,f6f4
5k2/5p2/7p/ppp1PP2/3r4/2b2K2/7P/R5R1 w - -,a1a3
r4rk1/3qbp1p/4n1p1/3pP3/1p1N1B2/4P3/4QPPP/2RR2K1 w - -,d4c6
1r1qk2r/2pb2pp/p3pb2/n7/2p5/2P2NP1/P3QPBP/R1BR2K1 b k -,d8e7
1r4k1/1P1q1pbp/4b1p1/p2pp3/P7/BQ1P2P1/4PPBP/1R4K1 w - -,a3c5
3r2k1/q6p/p3p1p1/4Bp2/2P1nP2/1P2RQ2/3r2PP/4R1K1 w - -,h2h4
2rr1k2/4np2/1p6/2p1B1P1/p3N3/P3P3/1PR2PP1/6K1 b - -,d8d5
2rq2rk/pp3p1p/3npb2/3p1p1N/3P3P/2P2NP1/PP2QP2/R3K2R b KQ -,d6e4
8/p4pk1/2b4p/5Np1/1P4P1/4R2P/r4P2/6K1 b - -,g7f6
2r1r3/1p1bnk1p/p4pp1/3p4/2nN4/1BP2N1P/PP2RPP1/4RK2 w - -,d4e6
rn1qkb1r/1b3p1p/pp1ppnp1/8/2PNP3/1PNB4/P4PPP/R1BQ1RK1 w kq -,d1e2
r1b1kb1r/ppp2ppp/2n2n2/3q4/3P4/3B4/PP2NPPP/RNBQ1RK1 b kq -,f8d6
2k4r/1p3p2/p1bQBp1p/q4n2/5P2/2N5/PPP3PP/2KR4 b - -,f7e6
r4rk1/ppn1qpb1/3p2p1/3Pp1Pp/4P2P/2N1B3/PP2QP2/R3K1R1 w Q -,e1c1
r2qr1k1/1p1n1pp1/p1p2bp1/2Pp2n1/1P1P4/5P2/P2BN1PP/1BRQ1RK1 w - -,f1f2
Q7/5ppk/4p2p/2N2n2/3q4/5PP1/6PK/8 w - -,c5e4
1r2r1k1/B3pp1p/p5p1/7n/P3q3/Q1P5/5PPP/R3R1K1 b - -,e4b7
2rq1rk1/pp2ppbp/1n4p1/3N1b2/3P4/PB3N1P/1P3PP1/R1BQ1RK1 b - -,b6d5
r2q2k1/5pb1/3p2p1/1Q1Pn3/4P1P1/4BP1B/1P3R1P/6K1 w - -,h3g2
8/8/8/2k4P/ppP5/8/1K1n4/8 w - -,h5h6
8/3r4/p3p1k1/Pp2Ppp1/1PpP2p1/2P3Pr/5R1P/3R2K1 w - -,d1c1
4b2k/2q4n/p1p2P1Q/P4r2/1pBRNP2/3K4/1PP5/8 w - -,d3e3
8/5k2/2p2P2/p5K1/6P1/2B5/1Pb5/8 b - -,a5a4
3rr1k1/1pq2ppp/p1nbbn2/3p4/7Q/P1N1PN2/1P2BPPP/R1BR2K1 b - -,c6e7
r4bk1/1p1b1ppp/3P2n1/pNB4n/P7/1B3P2/1PP1r1PP/R2R2K1 b - -,h5f4
8/6pp/p1bk4/n1p2p2/5P2/1PK3P1/P2NB2P/8 b - -,c6b5
2q3k1/pb2Qp2/4p1p1/2p1P1Kp/PpP4P/1P3PP1/8/4N3 b - -,b7a8
3r1k2/6RR/p6p/1b4p1/1ppP4/8/PP4PP/6K1 w - -,h7h8
1r4k1/3qB2n/6r1/p1pP1N2/2P1p1P1/P1Q4P/4N1K1/8 w - -,c3e5
r1b1r1k1/pp3nbp/2N2np1/4p3/4P3/1BN1B2P/PPP3P1/3R1RK1 b - -,b7c6
6r1/1p3q1k/p1p5/P4p1r/1P1PpP2/6RP/2Q5/4B1K1 w - -,g1h2
r1bq1rk1/pp2ppbp/2n2np1/3p4/2PP4/2N1BN2/PP3PPP/2RQKB1R w K -,h2h3
r3k2r/pbpp1ppp/1pn1p3/8/1bPP2q1/2N1BN2/PP3KPP/R2Q1B1R b kq -,e8g8
r2qkbnr/1b1npppp/p2p4/1pp5/4PPP1/2NP1N2/PPP3BP/R1BQK2R b KQkq -,g7g6
r6k/pp2n1p1/2pB1r1p/P5q1/8/2P2P1Q/2PR1P1P/3R2K1 w - -,h3g3
r2qk1nr/pppnppbp/3p2p1/8/3PP1b1/2PB1N2/PP3PPP/RNBQK2R w KQkq -,h2h3
6k1/5pp1/p2rp1p1/3pQ3/1P1R1P2/P1q3P1/7P/6K1 w - -,e5d6
r4rk1/1p3bp1/p2qp2p/3nNp2/2BP4/P7/1P2QPPP/3RR1K1 b - -,a8d8
r1bqkb1r/pp3ppp/2n1pn2/3P4/3N2P1/2N4P/PPP2P2/R1BQKB1R b KQkq -,f6d5
1rb1r1k1/2q2pb1/p2p1np1/2nPp1N1/p1p1P2N/R1P1B2P/1PB2PP1/R2Q2K1 w - -,a1a2
8/8/1pR5/p4p2/1r3kpp/1P6/1PP2KPP/8 w - -,c6c8
r1bqkr2/ppp1npBp/3p4/4n2Q/2B1P2N/P7/1P3P1P/R3K2R w KQq -,g7e5
1b1rr1k1/1b3ppp/pq3nn1/1pp2N2/P3P3/1P4PP/1B2NPB1/1Q1RR1K1 w - -,e2c3
5k2/5p2/7r/p1PN4/n2P4/3K4/8/2B5 b - -,h6h1
3rnbk1/pp3p2/2n1b1pp/2p1p3/4P2N/2P1NPP1/PP5P/R1B2BK1 b - -,e8c7
r2qkb1r/pp1nn3/2p1ppb1/3p2Bp/2PP3P/2N3N1/PP3PP1/R2QKB1R w KQkq -,g5e3
8/8/r5k1/6N1/6P1/5PK1/8/8 w - -,f3f4
4r3/7k/1p5p/2p5/1p1brNP1/8/PP1B3P/3R1R1K w - -,a2a3
rn1qk2r/p2bnppp/1p2p3/2ppP3/3P4/P1PB1N2/2P2PPP/R1BQK2R b KQkq -,d7a4:c5c4
8/6Bp/3n3P/8/2p1k3/1p6/1P1K4/8 b - -,e4d5
2b5/1p6/1B5k/4K3/p3BP1p/P7/8/8 w - -,f4f5
r1bqr1k1/1ppn1pbp/3p1np1/p2Pp3/1PP1P3/P1NB2N1/3B1PPP/R2Q1RK1 b - -,h7h5
rnb1k1nr/p1p2ppp/1p2p3/3q4/1b1P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1e2
6k1/6pp/4p3/6P1/5q1P/5B2/3p2K1/1R6 w - -,h4h5
r1bqkb1r/pp1n1ppp/2pp1n2/4p3/3PP1P1/2N2P2/PPP1N2P/R1BQKB1R b KQkq g3,f8e7
8/1p3ppk/p5bp/6n1/8/2Q1N3/PP5q/2KR4 w - -,e3d5
2r3k1/2pq1rbp/3p2p1/R2Pp3/PPQ1P1b1/2N1B1PP/6K1/4R3 b - -,g4h3
r4rk1/1bp1q1b1/p3pnPp/1p4B1/6R1/2P3N1/PPB1QPP1/5RK1 w - -,g3f5
r3r1k1/p1qn1ppp/2p1pn2/3p4/2NP4/PP4P1/1BQ1PPKP/R3R3 w - -,c4e5
8/6RP/8/8/5p2/1p3k2/7r/5K2 w - -,f1g1
r5k1/1p3p1p/1p4p1/3Pb3/8/4N2P/P1r2PP1/3R1RK1 b - -,c2c5
8/1p1n4/1p6/1K4kP/PPP5/8/8/8 b - -,g5h5
5rk1/pp1qnrb1/2n3pp/2p1pp2/2PpP2P/PP1P1PP1/1B2N1KN/R1Q2R2 b - -,g8h7
2r4k/pp4p1/7p/5p2/3R4/P2n2P1/1PN1r1PR/1K6 b - -,c8c2
r4rk1/ppqbppbp/3p1np1/2P5/2P1P3/P1N3PP/3PQPB1/1RB2RK1 b - -,c7c5
rnbqkb1r/2p2ppp/pp2pn2/3p4/2PP4/3BPN2/PP1N1PPP/R1BQK2R b KQkq -,c8b7
8/p7/8/2P1k3/P3p2p/2RbK1rP/8/7R w - -,e3d2
b4k1q/P7/6p1/6P1/5P2/7B/4Q2K/8 b - -,h8d4
7k/3R4/2N5/3P2p1/7p/8/P1pK2b1/8 w - -,c6e5
rn3rk1/1pq2pbp/p2p2p1/2pP2Bn/P3P3/2N5/1P1NbPPP/R2Q1RK1 w - -,d1e2
r1b1rbk1/pp1n1p1p/2ppn1p1/q7/2P1PPP1/1PN1B1NP/P1Q3B1/1R3RK1 w - -,b3b4
5rk1/pp1b2pp/4p3/3p4/1P1P4/2N3P1/P6P/2R3K1 w - -,c3e2
5r2/pb2Q2k/5pp1/3p4/2pB2qP/2P3P1/P5B1/4R1K1 b - -,h7g8
4r3/pPbR4/P5p1/2k2p2/4p2p/7P/4KPP1/8 b - -,c5b6
rq4k1/1p2bppp/3pb3/1B2p1P1/N3Pn2/1N2QP2/PP5P/1KR5 w - -,h2h4
2rr2k1/4bppp/p1b1p3/1p2B1PP/1P3PB1/P1P5/8/2KR1R2 b - -,c6e4
r4kn1/4qpbr/2p1p1pp/p2bP3/Bp1PN3/4B1N1/PPPQ1RPP/1K1R4 b - -,f7f5
r2q1rk1/1p2bppp/3p4/1n1Pp3/4P3/p3BP2/PP1QN1PP/R4RK1 b - -,a3b2
r1b1kb1r/1pq2ppp/p1p2n2/4pP2/4P3/2NB4/PPP3PP/R1BQ1RK1 b kq -,f8c5
r3kb1r/pp2pppp/1qn2n2/3p4/2Pp4/1Q3BP1/PP2PP1P/RNB2RK1 w kq -,c4d5
5rk1/1pr1pn2/pq1p2p1/3R1p2/2P2P2/PP3BP1/1Q3P2/3R2K1 w - -,d5d2
3n4/1p2b1k1/6pp/p2QP2b/4B2P/P2P2q1/1r3rN1/R3R1K1 b - -,f2g2
7r/p1rk3p/4p1p1/3p1p2/3P4/2N1PP2/P5PP/RR4K1 b - -,c7c3
5nk1/1p5p/2pPqpp1/4P3/1P1Q1P2/4B3/7P/6K1 b - -,f8d7
2k2bnr/1rqb4/Bp6/p1ppPPBp/P7/1P3N1P/4Q3/2R3RK w - -,e5e6
2r1bk2/1p3p1p/p5p1/P2pR3/3N4/1PK5/2P2PPP/8 w - -,c3b4
r2q1k1r/pppb1pb1/2n2N1p/4P1p1/3P4/5N2/PPP1QPPP/2KR3R w - -,f6d7
4rk2/1R4p1/p4rnp/5p2/2PNp3/4R1P1/PPK4P/8 b - -,g6e5
4n3/p6p/1p1k2p1/2pB1p2/P4P2/1P2K1PP/4P3/8 w - -,d5f3
2b4q/2p2k2/1p1p4/1P1PpPPr/2P3RN/6Q1/5P2/6K1 w - -,g5g6
rn1qkbnr/pb1p1ppp/1p2p3/2P5/4P3/3B1N2/PPP2PPP/RNBQK2R b KQkq -,b6c5
4rk2/6pp/1qp5/1p6/8/1Q2b3/1PP2PPP/3R2K1 w - -,f2e3
r1q1r1k1/5ppp/p1pB1bn1/2Pp4/1P6/PN1Q2P1/5P1P/3RR1K1 b - -,h7h5
rnbqk2r/ppp2pb1/3p3p/4n1p1/4P3/2N3B1/PPPQ1PPP/2KR1BNR b kq -,b8c6
4r1k1/3R1p2/2Q3p1/1p5p/8/7P/5PP1/1q4K1 w - -,g1h2
2rr2k1/pp3pp1/2q1p2p/3p4/4nB1b/1NPRP2P/PP3PP1/R2Q2K1 w - -,g2g3
8/p2b1k1p/3p4/1ppPq3/4Pn2/2N3QP/PP4BK/8 w - b6,c3d1
6k1/5p1p/p5p1/1q6/3p4/1P5P/2Q2P2/6K1 w - -,c2c8
6R1/8/5r1k/7P/6K1/5B2/2b5/8 b - -,f6d6
2k1b3/pp2r3/4p1pp/1P2Rp2/3r4/P2B4/2P2PPP/1R3K2 b - -,c8c7
1B6/8/5n2/5k1p/4p2P/6K1/8/8 b - -,f6d5
r1bqk1nr/pp3ppp/2nb4/1Bpp4/3P4/2P2N2/PP3PPP/RNBQ1RK1 b kq -,g8f6:g8e7
r2q1rk1/1b1nppbp/pp1p1np1/2p5/P2P4/N1P1PN1P/1P2BPPB/R2Q1RK1 b - -,a8c8:d8c7
r1q1rnk1/p2b1n1p/3p1bp1/B1pPpp2/2P1P3/P2B1N2/1RQ2PPP/1R1N2K1 b - -,f5f4
7Q/pp3Bn1/5p1k/4r3/4q3/P7/KPP5/8 b - -,e4h7
4r1k1/2q4p/p2p1np1/P1pPr3/Qp6/1P1RN2P/5PP1/5RK1 w - -,e3c4
