2N3n1/5k2/8/p5pp/2R2b2/5P1P/P5K1/8 w - -,c4c5
r1bq1rk1/2pnbppp/p1np4/1p2p3/4P3/1BPP1N2/PP3PPP/RNBQR1K1 w - -,b1d2
6k1/R7/2p5/6N1/8/3P2K1/1rP5/8 b - -,b2c2
1rn1r1k1/p4p1p/1p4p1/2RPp3/q1P5/6PP/P2Q1P2/2R2BK1 w - -,c5b5
1r2k2r/4b1pp/b1q1p3/p2pP1P1/2P2RQP/pP2B3/P5B1/1KR5 b - -,a5a4
rnbqk1nr/pppp1ppp/4p3/8/2PP4/8/PP1QPPPP/RN2KBNR b KQkq -,g8f6:f7f5
6k1/p1r2p1p/3Np1p1/2Pnq3/2R5/1P3QP1/5P1P/6K1 w - -,b3b4
q1rr1n1k/1bb2ppp/pp1ppn2/6P1/1PP1PP2/PNN2B2/4QB1P/2R1R1K1 b - -,f6d7
2k5/4b3/1PB4p/B5p1/n1KN1pb1/3P4/4P2P/8 b - -,a4b6
6k1/2r4p/6p1/1p6/2N2PP1/2P5/PPK5/7R b - -,c7c4
1r3rk1/2qbppbp/p2p1np1/n1pP4/2P5/2N3PP/PBQNPPB1/1R3RK1 w - -,e2e4
1r1r2k1/1p1q1pbp/p1nppnp1/8/2PNP3/2N1B2P/PP3PP1/2RQR1K1 w - -,b2b3
r3r1k1/pp2q1pp/2p2n2/6R1/3Pp3/2N1P2b/PPQN1P2/1K4R1 b - -,g7g6
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/3BP3/PPP2PPP/RNBQK1NR w KQkq -,f2f4
5rk1/pp1q2p1/2p5/3p3p/3P4/2PQBnPP/PPK2P2/R7 w - -,a1h1
r2qkb1r/pb1p1ppp/1pn1pn2/2p5/2P1P3/1PN2N2/PB1P1PPP/2RQKB1R b Kkq -,f8d6
r2k2r1/1bpp4/1p2pq2/3n1pNp/1P1P3P/PB3PP1/3Q1K2/R5R1 w - -,b3d5
1n1qkbnr/rbp2ppp/p3p3/1p2N3/2pP4/6P1/PP2PPBP/RNBQ1RK1 w k -,e2e4
r1b1r1k1/p4pp1/2p2n1B/8/8/6P1/P5BP/R2q1R1K w - -,a1d1
3r1r2/1p5k/p2p3p/2p1P1p1/4Qn2/PP3P1q/5P2/R1B2RK1 b - -,h7h8
r5k1/1q3pbn/2pp2pp/Rn2p3/1P2P3/3P2P1/1BQN1PBP/6K1 b - -,h7g5
5k2/p4p1p/4pq2/1bP3b1/4Q3/1B1N3P/P5P1/7K w - -,b3c4
3r2k1/5pp1/4pn1p/1B6/2RP3Q/7P/q4PP1/6K1 w - -,g1h2
8/6k1/3p2p1/3Bqp1p/8/3Q3P/6K1/8 b - -,g6g5
4r1k1/Rp1r3p/5pp1/4p3/1Pn3P1/7P/3b1P1B/1R2N1K1 b - g3,e8d8
r2qkb1r/pb1p1ppp/2n1pn2/8/P7/2NQ1NP1/1P2PPBP/R1B2RK1 b kq -,c6b4
1k1R1br1/1p3p2/2p5/p1n1nN1p/P7/2N3PB/1P2PP2/6K1 b - -,b8c7
r4rk1/pp2bppp/1qn1pn2/1Bpp4/4P3/2PP3P/PP2QPP1/RNB2RK1 w - -,b1a3
rn1q1rk1/pp2ppbp/2p3p1/5b2/P2Pn3/2NBPN1P/1P3PP1/R1BQ1RK1 b - -,e4c3
r1r5/4bkpp/pp1pp3/2n2p2/2P5/1PN1P3/PBR2PPP/3R2K1 w - -,c2e2
8/p1R4p/1p4k1/5p2/8/1P2PKP1/r7/8 w - -,g3g4
r2q1rk1/1p2ppbp/3pbnp1/pB4B1/Pn2P3/1NN2P2/1PPQ2PP/R3K2R w KQ -,b3d4
3r3k/6p1/p6p/8/2q4P/4RQP1/PP4K1/8 w - -,e3e2
r3r1k1/pb2Bppn/1p2p1p1/3qN3/2PP3Q/P4P2/6PP/R4RK1 b - -,d5a5
r2q1rk1/ppp1bppp/5n2/3P4/2Q5/2N4P/PP3PP1/R1B2RK1 b - -,e7d6
rnbqkb1r/p1pp1pp1/1p2pn1p/8/2PP1B2/5N2/PP2PPPP/RN1QKB1R b KQkq -,c8a6
2k1n3/1p6/5p2/p4K1p/8/1P4P1/P5BP/8 b - -,c8d7
6k1/pp3p1p/2p3p1/8/5n2/1BP2P2/PP3KPP/8 b - -,g8f8
r1b1kb1r/1p1n1pp1/p2ppn1p/q7/3NP2P/2N2Q2/PPPB1PP1/R3KB1R w KQkq -,e1c1
8/1r3k1p/5P2/3RK1P1/8/8/8/8 w - -,e5d6
r3r1k1/pppb1ppp/8/4P1B1/2n2P2/2N5/PP4PP/R4RK1 b - f3,d7c6
8/1p6/6pk/p6p/P1n5/2Nr3P/1P3KP1/4R3 w - -,e1d1
b2r2k1/2nqpp1p/p2p2pb/2pPP3/P1B5/1QP2N1P/4RPPB/6K1 b - -,d7c8
r4rk1/ppp2qpp/2n1bb2/3p4/4n3/1BP2N1P/PP2QPP1/RNBR2K1 w - -,c1e3
r7/8/P3p3/3p1k1p/1NpPbP2/2n5/7K/4R3 w - -,e1a1
8/1p1k2p1/3b4/2pPpP1p/2P3nP/1P3KP1/5N2/B7 b - -,g4f2
R2qr1k1/2p4p/2n2np1/1pbp1b2/8/1BP2N2/1P1N1PPP/2BQ1RK1 b - -,d8a8
8/4k2p/2n3p1/p3p3/P3N3/7P/5PP1/5K2 b - -,e7e6
r1b4r/pp1nkppp/4p3/3pP3/3R1P2/2N5/PPP3PP/2K2B1R w - -,g2g3:f1e2
r4k2/ppq1npp1/3bpn1r/3p3p/3P1P2/2PQ1NNP/PP3BP1/4RRK1 w - -,f3e5
4b1k1/p7/1p1p4/n1pP3p/2Pp4/1P1N2qP/P5B1/3Q2K1 w - -,d1e2
r7/4r3/p1p4k/PpNp4/1P1PP2p/1R1Q4/3n2P1/2q1RK2 w - -,f1e2
8/3k1B2/p4p2/1p6/3p4/5PP1/PP2Kb1P/8 b - -,f2g1
5rk1/1B2ppb1/P5pp/r7/8/4B1PP/5P2/3R1K2 b - -,f8b8
8/7b/2Pk1p2/P6P/3K4/8/8/8 b - -,d6c6
r4rk1/ppqnp1bp/2p1Bnp1/8/3PP3/1QN1B2P/PP3PP1/R4RK1 b - -,g8h8
3r1rn1/p1q1npbk/bp2p1pp/2p1P2P/3p1BN1/P2P1NP1/1PP1QPB1/R3R1K1 w - -,g4f6
8/3kbp2/4p1p1/1p2P1P1/5P2/1K2B3/8/8 b - -,d7c6
7k/7p/5N2/8/P1b5/5BP1/r3PK1P/8 w - -,g3g4
8/p5p1/Nk3p2/4pP2/1ppr1n1P/5K2/P1B5/8 w - -,a6b4
r3k2r/5pp1/2p1pn1p/pp1q3P/3P1BP1/1R6/PPP1Q3/2K2R2 b kq -,a5a4
7r/3b1p2/2k1pP1p/pp1p3P/n1pP4/q1P1QB2/2P3P1/2RNK3 b - -,a4b2
rnbqk2r/pp3p2/1n2p1pp/2bpP3/7P/3B1N2/PPPN1PP1/R1BQK2R w KQkq -,d2b3
8/5b1p/1P1k4/1B4Pp/3p4/P1P3K1/8/8 b - -,d4c3
6k1/pp1q1p2/6p1/4P3/1P1n4/PbQ3PP/2p2PBK/4R3 b - -,b7b5
4r3/p7/2pk4/5Kp1/1P1P1pP1/P7/5R2/8 b - -,e8g8
2r2rk1/p3bppp/1p1np1q1/8/2pP2P1/1P2PQ2/PB3PNP/R1R3K1 w - -,f3e2
r2qk2r/4bpp1/p2p1n1p/P2Pp3/1p3PPn/4B2P/1PP1N1B1/R2Q1RK1 w kq -,g2h1
1b2r1k1/1p3p1p/p6r/3p2p1/1P1NP3/P3P1Pq/2R4P/2BQ1RK1 b - -,b8g3
8/4kp2/R3p2p/6pP/6P1/5P2/p5K1/r7 b - -,e7d7
r3qr1k/2p3pp/p1b1Bp2/1pQ1pP2/n7/2P3P1/PP1R1PNP/3R2K1 w - -,c5e3
4k3/1P2R3/3b2Np/5p2/7P/6PK/4pr2/8 b - -,e8d8
1rbr1k2/2q2n1p/3ppbpP/p7/1pB1PN2/1N3P2/PPP2Q2/1KBR2R1 b - -,c7c4
2rq1rk1/1p1bp2p/p1np1ppb/6N1/2P1P1n1/1PN5/PB1QBPPP/2R2RK1 w - -,d2d5
q1r1r1k1/1b1nppb1/pp1p1npp/2p5/P2P4/2P1PN1P/1P1NBPPB/R2R1QK1 w - -,a1c1
2r3k1/1R3pb1/2r4p/p1PQp1p1/1B2P3/P4qPP/5P2/2R3K1 w - -,c1c3
8/8/1pk5/pR1N4/P7/1K6/8/7r w - -,d5c3
4r1k1/1p5p/6q1/pP1p2rp/3Pp3/6PR/1P1Q1P2/4R1K1 b - -,e8f8
3r4/2RP1pkp/2p3p1/2Ppp3/8/p3PQP1/Pq3PKP/8 w - -,c7c6
3k3r/p5pp/1r2Bp2/2p5/3b1P2/1P4P1/P6P/2R1R2K b - -,h8e8
2r2rk1/6p1/1Qnp1q1p/4p3/3PP3/1N2R2n/1P3PP1/3RN1K1 w - -,e3h3
r3r1k1/p4q2/2pN2p1/2P1np2/8/1P2P3/PB1Q2P1/2K4R b - -,f7e7
4r1k1/5ppp/4q3/3rn3/8/P2p1PB1/1P4PP/R2RQ1K1 b - -,e6d7
3r1rk1/1p3ppp/p1b1p3/8/1N1q4/1Q1B4/5PPN/2R1R1K1 w - -,c1c4
8/8/3k1p2/4pR2/r5Pp/3NK1bP/8/8 b - -,d6e7
8/8/2P1p3/2K1k3/2P3PP/pp1B4/1r6/8 b - c3,b2f2
8/2k5/1pn1p2p/p2pP1p1/P2P1pP1/1P1K1P1P/8/2B5 b - -,b6b5
8/p4pk1/1p3bp1/4N3/4KP1p/P6P/1P2R1P1/1r6 w - -,e4f3
r1bq1rk1/p2nbppp/1p2pn2/3p4/3P1B2/1Q3NP1/PP2PPBP/RNR3K1 b - -,c8a6
2B5/6p1/4pn1p/3k4/5K1P/6P1/8/8 b - -,g7g6
b1r1rbk1/2q2pp1/5n1p/p1ppN3/5P2/PQ2PN2/1P3PBP/2RR2K1 w - -,b3c2
r3r2k/1p3p1p/p3b1pb/2q1p3/P3P1N1/3B3P/1PP1Q1P1/R4R1K b - -,h6f4
8/8/p4Q2/1k2P3/5P2/1q6/R1p2NP1/K7 w - -,f6a6
2rq1rk1/4bppp/2p1pn2/3pNb2/3P1B2/2N5/2P1QPPP/R4RK1 b - -,c6c5
r7/3k4/p1p1pp2/3r1bpp/1RRP4/1P2KPBP/P5P1/8 b - -,d5b5
rr4k1/4qppp/p2b4/2pP1b2/2P5/3pB2P/PP1N1P2/1KQ1R2R b - -,b8b2
2r2nk1/6p1/4p2p/1B1pPb2/1B3P2/8/1P4PP/R6K w - -,b4c3
r3r1k1/ppbb1ppp/2p3n1/2N5/3P4/P2B3P/1P1B1PP1/3R1RK1 b - -,d7e6
1r2k2r/pBp1q1bp/4b1p1/1P3p2/2Pp4/1Q4P1/P2NPP1P/R4RK1 w k -,b7c6
2brr1k1/1pq2ppp/p1n1pn2/2Pp4/3P4/1PN2NP1/P2Q1PBP/2R1R1K1 b - -,h7h6
r3r1k1/1pqnbppp/p3p3/8/2PN4/1P5P/PBQ2PP1/3RR1K1 w - -,d4e2
3r2k1/1ppq1p2/p3rnpp/n3p3/4P3/1PP1RNNP/P1Q2PP1/4R1K1 w - -,e3e2
r1r3k1/pp1qpbbp/n4pp1/3p4/3P1N2/1P2P1P1/PB1Q1PBP/R1R3K1 w - -,d2a5
3rnrk1/1b1nqppp/1p6/pPp5/P1P5/2Q1PBN1/1B3PPP/2KR3R b - -,b7f3
2k4r/p2b4/2p3r1/4p1B1/1PP2p1P/8/P3PKB1/R2R4 b - -,d7f5
rn1qkb1r/pp2pppp/2p5/4PbN1/4p1B1/8/PPPP1PPP/R1BQK2R b KQkq -,e7e6
8/1p3k2/p3p1p1/3p2Pp/P2PnP2/1P1K2P1/8/4B3 b - -,f7e8
1R6/pp4R1/2p2n2/1k1p4/3P1Pp1/P3r3/1PP5/2K5 w - -,b8b7
5r1k/7p/4pN1q/3pP3/1QpP3P/Pp3RP1/1P4K1/2b5 w - -,f6g4
r4rk1/p2nqpp1/1p2p2p/8/2PPQ3/5N2/P4PPP/2R2RK1 b - -,d7f6
1rn1r1k1/2pqpp1p/p5p1/2PPQ3/1p5P/5BP1/PP3P2/2R1R1K1 b - h3,c8a7
8/8/4pk2/R5pP/6P1/1r3K2/8/8 w - -,f3f2
1r4k1/5pp1/2p4p/8/r1P5/2RN3P/6P1/6K1 b - -,a4a2
8/5pkp/p2P2p1/P7/8/6P1/1p2r2P/5R1K b - -,e2c2
3r2k1/1b3p1p/p2p1np1/8/1p2P3/1P3P1P/P3N1P1/1BR3K1 w - -,c1c7
8/4k1p1/3p4/2nPp1P1/4P2P/8/pK6/8 b - -,c5e4
8/5kn1/8/6K1/8/2BB4/8/8 b - -,g7e6
r2r2k1/6q1/b2p1n2/p1pP1p2/4pP2/NP2P3/P5QP/3RR1K1 b - -,g7g2
2r4k/p1r4p/1p3p2/8/1P2PQ2/3P1PN1/1RP2P2/4K1q1 w - -,g3f1
8/8/8/1k6/p2K4/1r6/8/2R5 w - -,c1c8
4b3/8/p1p5/P1PpN3/1P1K4/8/2k5/8 b - -,c2b3
8/1p1b1kb1/p1nrpppp/2Np4/1P1P1PP1/2P4P/1P2R1B1/4R2K b - -,d7c8
8/p7/P7/4pp2/3b4/5Pk1/4K3/7R b - -,g3f4
r4rk1/p2nppb1/2p3p1/q6p/Np1PPBnP/1P3NQ1/P1P3P1/2K2R1R w - -,f4c7
rn4k1/pq1nQpbp/1p2p1p1/3pN3/3P4/4P2P/PP1BBPP1/2R3K1 b - -,g7e5
8/8/p7/1p2k1pp/1Pr5/P2K3P/5RP1/8 w - -,f2f8
3R2k1/1q4p1/p6p/1p3p2/2n1p3/7P/PPB1RPP1/6K1 b - -,g8f7
1n1r1k2/p3bpp1/1pp5/7P/PP2PP2/5K2/4B3/2R1B3 b - -,c6c5
2R5/1pr2ppp/1pk5/2p5/P2p4/1P1K1PP1/5P1P/8 w - -,c8g8
3r1rk1/1pq1bppp/p1npbn2/2p1p3/1P2P3/P1PP1N2/1BBN1PPP/R2QR1K1 w - -,d3d4
8/2p2pk1/1p1r2p1/2rP1b1p/1N3R1P/P5P1/1P3P2/4R1K1 b - -,f5c8
6rr/P3k3/1R1pbp2/2p1p3/2P2Pp1/P1BPP1p1/6BP/1R4K1 w - -,h2g3
rnbqk2r/1p2ppbp/p2p1np1/8/2BNP3/2N1BP2/PPP3PP/R2QK2R b KQkq -,b8d7:b7b5
3r2k1/1p3pp1/p1p4p/P3Q3/4P3/1qP4P/5PP1/4R1K1 w - -,e5c7
r2q1rk1/pp2bppp/2n5/2pb4/5B2/1B1P1N2/PPP3PP/R2QR1K1 b - -,e7f6
r2q1rk1/1p1nbpp1/p2pbn1p/4p3/PP2P3/2N2N1P/2P1BPP1/R1BQ1RK1 w - -,e2d3
6B1/6b1/6pp/2k5/2P5/3K4/5PPP/8 b - -,g7d4
r1b2k2/pp5p/1np1p2p/4Pq2/5p1P/1BN2Q2/PPP2P2/R6K w - -,a1e1
2rq1rk1/pp2ppbp/2npbnp1/8/2P1P3/2N5/PPN1BPPP/1RBQ1RK1 b - -,d8a5
8/6p1/8/4nk1K/8/6PP/8/8 w - -,g3g4
5rk1/3q1pn1/1r1p2p1/3Qp2P/1p2P2P/5P2/pP2N3/K2R2R1 b - -,d7e6
1r2b1k1/r6p/BN4p1/2p5/8/8/5PPP/R2R2K1 b - -,b8b6
rn3rk1/pb2q1p1/1pp1p2p/3nPpN1/2B2P2/4P3/PPQB2PP/R3K2R w KQ -,g5f3
2r5/4pk1p/2r2bp1/ppP2p2/5P2/4BK2/PPRR2PP/8 b - -,f7e8
1q2rrk1/2bn2pp/2p1pp2/1pPpP3/pP6/P1BN1PP1/1Q2P1KP/R4R2 w - -,f3f4
2kr4/p2qbp1p/Ppp2p1r/3PpQ2/2P5/1B5P/1P3PP1/R3R1K1 w - -,f5e4
1k1r4/pp6/1b6/3pQ1NN/1P3PPn/P5K1/2q5/4R3 b - -,b6c7
4k3/6p1/3N4/4P3/2p2p1P/8/2K3P1/b7 b - -,e8e7
8/2rk2pp/4p3/3p4/1B2r3/1P1N4/5KPP/R7 b - -,c7c2
r5k1/bppq3p/p1nprB2/4pNQ1/PP2P3/2P5/5PPP/R4RK1 b - -,g8f8
r2r2k1/5q1p/3p1np1/2p1p1B1/P2bP3/5B2/1P3PPP/1R1Q1RK1 w - -,d1c2
r1bqkb1r/3pnppp/p3p3/1pp5/4P3/2NB2Q1/PPPP1PPP/R1B2RK1 w kq b6,d3b5
r3k2r/pp4pp/1bn1b3/3N1p2/8/1N3PP1/PP4BP/3RK2R w Kkq -,e1e2
1b6/3q2kp/p4pp1/2Q5/3NPP1P/P4KP1/8/8 b - -,g7h6
3r1rk1/p2q2n1/4p1pp/2p5/2p2P2/5N1P/PPQ3PK/4RR2 w - -,f3e5
2kr2r1/2p1bp2/p1p3p1/4B2p/7P/1P4P1/P1P2P2/1K2R1R1 w - -,e5c7
5rk1/pp3ppp/2pb1nq1/3r4/1P1P4/4PN2/P2BQ1PP/1RR3K1 w - -,b4b5
4rrk1/1p1bn3/p2p3p/3N1pp1/2PPP3/4P1PP/PP4BK/3R1R2 w - -,e4f5
1k1r4/pp1r2pp/1qp1pp2/2R1P2P/PP1PPb2/3R4/1Q3BP1/1K6 w - -,e5f6
r4rk1/4pp1p/3p2p1/3Pb3/1Pp1q3/4N1P1/1P3P1P/1R1QR1K1 b - -,c4c3
r4rk1/pb1n1p1p/1p1n1qp1/2pp4/5QP1/1PPN1P2/P1P2B1P/R3RBK1 w - -,f2g3
1k2r3/1pp1qp2/p2r2p1/3R4/5P1p/P6P/1PP2QP1/1K1R4 w - -,d5d6
rnbqk2r/ppp3pp/3p1n2/4p3/1bB1P3/2N5/PPPB1PPP/R2QK1NR w KQkq -,g1e2
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQ -,c4b3:e1g1:b2b4:c1g5:b1d2
6k1/p6p/2R3p1/8/2P2KP1/3p4/2r5/8 w - -,c6c8
r4r2/1p4kp/p4pp1/P2q4/2RP4/1Q4P1/1P3P1P/3R2K1 b - -,f8f7
rnb1kb1r/pp2pppp/3p1n2/2q5/4P3/2N2N2/PPPB1PPP/R2QKB1R b KQkq -,e7e6
r1bn1rk1/ppp3pp/5bq1/2NPp3/1P3p2/P2P2P1/1B3PBP/R2Q1RK1 w - -,d1b3
r1bqrnk1/1pp2ppp/p2b4/2p1p3/2N1P3/1P1P4/PBPN1PPP/R2Q1RK1 w - -,d1h5
r1qr3k/pb2bp1p/1p3p2/1Bp5/Q3N3/P1P1P2P/1P3PP1/3R1RK1 b - -,c8e6
2r1rbk1/1p5p/p4pp1/3np3/2Rp4/1P1P1NP1/1P1BPP1P/2R3K1 b - -,c8d8
4r1k1/pp1n1rbp/1npBp1p1/8/3PPR2/2N2N2/PPK2PP1/3R4 b - -,f7f4
1rbq1rk1/6bp/2np2p1/1pp1p3/p3Pp1P/PnPP1NP1/1P1BQPBN/3RR1K1 w - -,e2f1
r1b1k2r/ppb1qp2/2n1pn1p/6p1/2B1N2B/5N2/PP2QPPP/2R2RK1 w kq g6,f3g5
r1bq3r/ppp2kpp/2n5/2b4Q/3pP3/8/PP3PPP/RNB2RK1 b - -,g7g6
3r2k1/5p1p/3r2p1/1p6/8/b2P1PP1/6KP/1R3R2 w - -,b1b5
r1b1kbnr/1pqp1pp1/p1n1p3/8/3NP2p/2N3P1/PPP2PBP/R1BQ1RK1 w kq -,f1e1
1r1q1rk1/3nbppp/b1n1p3/3pP3/pppP1B1P/2P2NP1/PP2QPB1/R1R2NK1 w - -,a2a3
r2q1rk1/p2bppb1/6pp/3nN3/3P4/3B4/P2B1PPP/R2QR1K1 b - -,a8b8
rn2r1k1/1p4pp/p4p2/8/6P1/2N1B2P/PPPK1P2/7R b - -,b8c6
1r2k2r/3bbp1p/p1n1p1p1/qp1pP3/5P2/1PPBBN2/P1R2QPP/5RK1 b k -,e8g8
2r4k/3b2p1/p6p/2p5/5p2/2R2qNP/PB4P1/7K w - -,c3f3
r4rk1/1qpn2pp/1p1ppn2/p4pB1/2PPb2N/2Q3P1/PP2PP1P/2RR1BK1 b - -,h7h6
r1bq1r1k/pp4b1/3p1n1p/3Ppn2/5pp1/1QN2NP1/PP2PPBP/1R1RB2K w - -,f3h4
2rq1rk1/pp1bppbp/2np2p1/8/3NPPn1/2N1B3/PPPQB1PP/3R1RK1 w - -,d4c6
7r/ppp1kpp1/2b5/2p1PnN1/2P4p/1PB2P1P/P5P1/R2r2K1 w - -,a1d1
3r1r1k/p3q1bp/1pnpp1p1/2p4n/P1Q1PP2/2N1BNP1/1PP4P/3RR1K1 w - -,g1g2
3r3k/pp6/1b6/4P3/3n2P1/2B1K3/PP4rP/R6R b - -,d4e6
4r3/5pqk/3p2pp/p1pPP3/P1PN1P2/7P/4Q1PK/5R2 b - -,c5d4
1rbn1rk1/1p2bppp/p1qp4/3Np3/4P3/4B3/PPP1BPPP/R2QK2R b KQ -,f8e8
2K5/2P5/8/P7/5kp1/3Q4/1q6/8 b - -,g4g3
3R1r2/2Q3pk/1p3qpp/p7/P5P1/1P5P/5B2/4n2K b - -,f6f3
r2qr1k1/1bpn1pb1/p1np2p1/1p4Pp/4PP1P/2N1B1N1/PPPQ2B1/1K1R3R b - -,c6a5
rn2kbnr/pp1qpppp/8/1Q1p4/8/2N2N2/PPPP1PPP/R1B1K2R b KQkq -,e7e6
r1bqrbk1/1p3ppp/n4n2/p2p4/2pP4/P1NBP3/1P1BNPPP/RQR3K1 w - -,d3c2
2k4r/pp4pp/1n2pp2/1BP5/8/2P4P/PP4P1/2KR4 b - -,b6d5
3r4/p1Q2pk1/4qpb1/8/1B2P3/3p2P1/PP5P/5RK1 b - -,d8c8
3r2k1/p4p1p/b3p1p1/1pq5/2P5/3BP3/P3QPPP/2R3K1 w - -,e2f1
5nk1/pb2bppp/1p2p3/3pP2N/3P4/q1nQBP1P/2B3P1/5NK1 w - -,e3d2
r2r2k1/pp4bp/3p2p1/3P2P1/5pB1/5P2/PPPK4/R6R b - -,g7d4
r7/1r6/3k4/1B6/P1RKp1Np/5p1P/8/8 b - -,b7c7
rn1q1rk1/p3bppp/bpp2n2/3p4/3P1B2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,f3e5
1r4k1/2q4p/2p1n1p1/prP1p3/3pN3/R5PP/PP1Q1P2/2R3K1 w - -,c1c2
r1bqk2r/pp1nbppp/2pp1n2/4p3/2BPP3/2N1BN2/PPP2PPP/R2Q1RK1 b kq -,e8g8
r3k2r/pp4p1/2pbpn1p/5p1P/2PP4/4BP2/PP1N2P1/2KR3R w kq -,c1c2
