8/6p1/2p1ppP1/8/1PP1bk2/p7/B4K2/8 b - -,e4g6
r4rk1/pp2p1bp/nq2b1p1/1NpP1p2/3PnB2/3BPN2/PP2QPPP/R4RK1 b - -,e6d5
r3r1k1/2p1qppp/pp1b4/8/PnQP4/4PN2/5PPP/1RB2RK1 b - -,a6a5
r1bq1rk1/pp3ppp/2n5/3p1n2/3b4/1NP3P1/PP3PBP/R1BQ1RK1 w - -,b3d4
1r1qk1nr/pb3pbp/1pnpp1p1/2p5/1P6/P1NP1NP1/2PBPPBP/R2Q1RK1 w k -,a1b1
k3r3/ppp2p2/7r/1R1p2p1/3P4/2P1PP2/P3RKP1/8 b - -,c7c6
3rr1k1/ppq2ppp/2p1n3/2b4n/4PP2/3P3P/PPQBN1BK/3R1R2 b - -,c5d6
rn1q1rk1/pb2bppp/3ppn2/1P6/4P3/3B1N2/2PN1PPP/1RBQ1RK1 w - -,e4e5
4R3/3r1pk1/6p1/p6p/P1Nb4/1p1B3P/6PK/8 b - -,b3b2
r3r1k1/1b3p2/p4q1p/1p1p2pQ/3Bn3/5nN1/PPB3PP/R3R1K1 w - -,h5f3
2r1r1k1/1p2ppbp/p2p2p1/3P1b2/q2B4/1N3P2/PPPQ2PP/1R1R2K1 w - -,b1c1
1q2r1k1/1p1b1p1p/r2p2p1/pNn5/1nP1PP2/1PN1R1PP/1R1Q2B1/7K b - -,a6b6
8/5npk/4p2p/1P2PP2/8/2Q2P1K/6RP/5q2 b - -,e6f5
r1bqk2r/pp1nbppp/2p2n2/4p1B1/8/5NP1/PPPNPPBP/R2Q1RK1 b kq -,e8g8
r2qk2r/1p1n2pp/2p1pn2/p2b4/PbBP4/1QN1PN2/1P4PP/R1B2RK1 b kq -,d8e7
r1b2b1r/p4kp1/2p1ppn1/2pq3p/4Q2P/3PNN2/PPP2PP1/R1B1K2R b KQ -,d5e4
2Q1n2k/pp5n/3p4/2pP4/2P2P2/4q2P/PP4P1/5RK1 w - -,g1h2
r3qrk1/1bp2p2/p2bp2p/1p2N1p1/3Pn3/1B2P1B1/PP2QPPP/2RR2K1 b - -,e4g3
r1b1r1k1/pp1n1ppp/n1pN1q2/8/4P3/1Q4P1/PP3PBP/R1BR2K1 b - -,e8f8
1rbr2k1/2q2npp/3ppb1P/p7/1pn1PN2/1N3P2/PPP2Q2/1KBR1B1R b - -,g7g6
r5rk/1R6/p3p2b/4P1n1/P2BB3/2p3R1/1PP4P/6K1 w - -,e4g2
4b3/1p2kppp/p3pn2/4N3/1PPr4/P4P2/2B1K1PP/2R5 w - -,c1d1
4r1k1/1p1n1p2/p4npp/3p4/2pP1P2/2P2N2/PP1N1PP1/4R1K1 w - -,f3e5
r4rk1/5p2/3P1qnR/1p3Pp1/2p5/n1PQ1NB1/P4P2/R1K5 w - -,h6g6
2kr3r/pbppq1bp/1pn1p1pn/5p2/2P1PP2/2NPB1PP/PP1QN1B1/2KR3R w - -,h1e1
8/1p2bpk1/p1p3p1/3rP2n/PP2R2P/2B2P2/2K1N3/8 b - -,g7f8
8/4n2p/3kpp2/pp4p1/3P1N2/6P1/PPK2P1P/8 w - g6,f4e2
2r1k2r/pp1n1pp1/4p1n1/Pq1pPbP1/2pP3p/2P5/RP1N1BPP/R2BQ1K1 w k -,a5a6
r1bqr1k1/3n1nbp/1p3pp1/pB1p4/P2pP3/1P3N1P/N3QPP1/1RBR2K1 w - -,f3d4
3r2k1/bb2q3/p5pp/8/2N1pp2/1P2N2P/P3QPP1/2R3K1 w - -,e3g4
5k2/pp2qpn1/2rr4/3p3P/3P1Q2/1P4N1/P5B1/5RK1 w - -,f1f2
r1b1k2r/1pq1b2n/p2pp3/4n1p1/3NP1P1/2N1B3/P1PQB3/1R3RK1 w kq -,d4f5
r1bqk2r/ppp1ppbp/1n4p1/3Pn3/3BP3/2N5/PP3PPP/R2QKBNR b KQkq -,e8g8
b2rr1k1/4bppp/ppqpp1n1/2n5/2P1PP2/N1N1B1P1/PP1RBQ1P/2R3K1 w - -,e2f3
2rq1k2/5pp1/R2p3r/1p2p1p1/2b1P3/2P3P1/3Q1P1P/R4BK1 b - -,c4f1
8/8/5k1p/2p2p2/2BbbP2/1P1N2KP/6P1/8 w - -,d3c1
3r1k2/2b2pp1/2p1p2p/p1qnP2P/2N2P2/2PB2PK/1P2Q3/5R2 w - -,f4f5
6k1/p4rp1/8/1R5P/1N6/5r2/P4K2/8 w - -,f2e2
r1rb2k1/5p1p/p2p2pB/2qn1N2/1p2Q3/8/1PP2PPP/R3R1K1 b - -,d8b6
8/5pk1/P1p1p3/4Pn2/8/2r1P2p/1Q2K3/8 b - -,h3h2
8/8/3pkpp1/p1p1p3/n3P3/2P2P2/P2R2PP/1r2B1K1 w - -,g1f2
8/4P3/1kp5/p3q3/P7/2p1b2P/5QP1/2R3K1 w - -,c1e1
4n3/5k2/P1R2p2/7p/1N3P2/3K4/6PP/r7 w - -,c6c2
r3k2r/1bqnppbp/p1pp1Bp1/1p6/P2P1P2/2PBPN2/1P1N2PP/R2Q1RK1 b kq -,d7f6
qr4k1/5pbp/3p1np1/P1p5/1n6/3Q1pPP/RP1B1P1K/3R4 w - -,d2b4
2kr2r1/1bq3b1/pp2pp1p/3pN3/3R4/2P2NP1/PP2QP1P/1K5R w - -,e5d3
8/8/3k2pp/1P6/2PN3P/4P1K1/4B3/7r b - -,h1g1
2rqr1k1/1p1n1pbp/p2pp1p1/7n/2P1P3/1PN2N1P/P2BQPP1/2RR2K1 b - -,d7e5
1r1q1rk1/4Npbp/1p1pb1p1/1Pp1p3/2P5/3P2P1/4PPBP/1RBQ1RK1 b - -,d8e7
r1b1qrk1/pp1n1pbp/2p2np1/4p3/2P1P3/2N1BN1P/PP1Q1PP1/3RKB1R b K -,e8e7
3r2k1/pp4pp/r4p2/3pP3/5PP1/1P1R3P/P2R3K/8 w - -,e5f6
r2qrbk1/1p1b1p1p/p1ppnnp1/8/2PP4/2NB1N1P/PP1QRPPB/4R1K1 b - -,d8b6
3r4/pp3bpp/2k2p2/P1p1p3/4P2P/1P1BK1P1/2P2P2/1R6 b - -,b7b6
r1nb2k1/pr6/R2p2p1/1P1Pp2n/4Pp1p/2N1BP1P/4N1P1/R4K2 w - -,e3f2
r1b5/1p2q2k/p3p1p1/2P1Nr1n/B3Q2P/8/PPP2P2/2KR3R w - -,h1g1
2r2rk1/5pb1/p5p1/1p1qp3/3p2Pp/1P1P3P/PBP2R2/4RQ1K w - -,f1g2
r1r2bk1/p4p2/1p4p1/P2p3p/2qPpB2/1RP1P2P/5PP1/QR4K1 w - -,a5b6
2r1kb1r/1b3pp1/p3p2p/8/2B3P1/1n2B2P/PPP5/2KRR3 w k -,a2b3
8/p4pb1/6p1/1P3b1P/2k2P2/4K3/6R1/8 w - -,e3f3
r4knQ/1pq3p1/2p2p2/p1p1rbP1/4N3/P1P5/4P1BP/3R1RK1 w - -,g5f6
r1bqkb1r/1p3ppp/p1npp3/8/3NP3/2N1Q3/PPP2PPP/3RKB1R w Kkq -,f1e2
1rb2rk1/p3bpqp/1pn3p1/1BP1p3/4N3/PN4P1/1P2QP1P/3RR1K1 b - -,b6c5
r2r2k1/pBp2ppp/4b3/8/2Pn4/2N5/P4PPP/R3R1K1 b - -,a8b8
r4rk1/p2nq1b1/4p2p/3n1pp1/2QP4/P2B1P2/4NBPP/R4RK1 b - -,e7d6
8/2R1ppk1/5b2/8/3P4/r2NPK2/5P2/8 w - -,d3f4
3q2k1/1p2n1bp/p5p1/P1B2p2/N1P1p3/1N1n4/1P1Q1PPP/6K1 w - -,b3c1
rnbqk2r/pp3pbp/4p1p1/2p5/3PP3/P1P2N2/5PPP/R1BQKB1R w KQkq -,h2h4
1rb1r1k1/1pqn1pb1/p2p1np1/P2P2Bp/2p1P3/2N3NP/1PBQ1PP1/R4RK1 b - -,d7c5
r1b3k1/2q1bppp/2p1p3/pP4Pn/4P3/4BP2/1PP1N2P/2KQ1B1R b - -,c6b5
r4rk1/pp1qbn1p/3p4/3Ppppb/8/PQ2PPPN/1P1B2BP/R4RK1 w - g6,h3f2
6k1/5pp1/7p/p3P3/1p2b3/1B3N2/Pb4KP/8 b - -,b2e5
r7/8/5k2/5p1R/4p1pP/8/5PKP/8 b - -,a8a2
rn1q1rk1/1bp2ppp/1p2pn2/3p4/PbPP1B2/1Q3NP1/P3PPBP/RN3RK1 b - -,b8c6
7k/1p1P2p1/2n2p2/p2Q3P/1q1P1B2/5PP1/1P1K4/8 w - -,d2d3
r4rk1/pnqpnpbp/bp1Np1p1/2p1P3/P4P2/2PP1N2/BP4PP/R1BQ1RK1 w - -,d6e4
1k6/1p1r4/p2Pp3/7p/4q2P/P2R2P1/3Q1P1K/8 b - -,e4f5
7R/pp6/2p5/4kn2/PPP5/8/4B1r1/7K b - -,g2g7
2rq1rk1/1b3pbp/p2p1np1/1pnP4/2p2P2/P1N1BB1P/1PPN2P1/R3QRK1 b - -,f8e8
2rq1rk1/pb1nppbp/1p1p2p1/8/2P1P3/2N1BP2/PPRQB1PP/1R4K1 b - -,d7e5
r2r2k1/1p3ppp/2p1pQ2/p7/P2P1n2/1B3N2/1PP2Pb1/3RR1K1 b - -,g7f6
r4rk1/pp3pbp/5np1/q5B1/3P4/5B2/PP1Q1PPP/R3R1K1 b - -,a5b6
3r3k/pp3rpp/5b2/4qP2/2Q5/4p2P/PP4P1/1R3RK1 w - -,c4f7
8/2p5/KbPpB3/p2P4/1k6/1P5R/8/2r5 w - -,h3d3
b1r2rk1/R4pp1/5n1p/p7/8/P4NP1/5PBP/R5K1 b - -,c8c3
r4rk1/3qppbp/n2p1np1/2pP4/4P3/2N3Pb/PP3PBP/1RBQNRK1 b - -,f8b8
8/6p1/r3kpKp/1R5P/1P4P1/8/8/8 w - -,g6g7
1qr1r3/p5nk/bp2pbpp/nN3p2/P1PP4/3Q2PP/1B1NBP2/2RR2K1 b - -,e6e5
r1b1qrk1/1ppnb2p/5pn1/4pNpB/PPN1P3/4B3/2Q2PPP/R4RK1 b - -,f8f7
1r3q2/p5b1/nk1Q4/1p3BP1/2p5/P7/1P3P2/2KR3R b - -,b6a5
2r4r/p5pp/3k4/4p3/3p4/1P1K1PP1/P6P/R1R5 w - -,f3f4
r1bq3k/pp2rppn/2p1p2p/b1PpP2Q/5P2/1P1BP2R/PB4PP/R4NK1 w - -,g2g4
r2q1rk1/pp2npbp/3p2p1/2pP4/4PBb1/5nP1/PPN2PBP/R2Q1RK1 w - -,g2f3
4r1k1/1R3p1p/p2p2p1/3Pn3/P1rqBQ2/8/1PP3PP/5R1K b - -,d4e4
r1r3k1/p3qpp1/4bn1p/2pp4/8/Q3PN2/PP2BPPP/2RR2K1 b - -,e7d6
4k1r1/pp1r1p2/2b1p3/1n2P3/2R2P1q/P2BB3/1QP3PP/4K1R1 w - -,e3f2
r1b1qrk1/ppp2ppp/3p1n2/3Ppn2/2P1P3/P1Q2P2/1P3BPP/R3KBNR b KQ e3,f5e7
4r3/2k4p/p2b2p1/1pp1N3/2P1KP2/1P5P/P2R4/8 b - -,b5c4
4r3/p1k1rpp1/1p1Pp2p/n1pP4/P1P2P2/B1PK4/4R1PP/4R3 b - -,c7d6
r3k2r/p1q2p2/bppbpP1p/2p5/2P3p1/3P1NB1/PP3PPP/R2QR1K1 w kq -,g3d6
rn1qkb1r/pp2pppp/2p2n2/3p3b/2PP3N/1Q5P/PP1NPPP1/R1B1KB1R b KQkq -,d8c7
r4rk1/1nqb2bp/pp1p4/2pPpp1n/2P5/PPNBBP2/3QN1PP/1R3RK1 w - -,e3h6
8/7k/3p1p2/3P1p2/5B2/2p2P1P/1q1n1QP1/4r1K1 w - -,f2e1
1r1q1rk1/Qpn2p1p/3p2pb/PppP4/4P3/1PB3P1/5PBP/R3R1K1 b - -,b5b4
6k1/p4rpp/1p2p3/1B2Q3/P1P4P/2n2qP1/3R1P2/6K1 b - -,c3b5
rnbqk1nr/pp2ppbp/2p3p1/3p4/4PP2/2N2N2/PPPP2PP/R1BQKB1R w KQkq d6,d2d4:d2d3
8/4kp2/3p2p1/pr1Bp2p/4P2P/2P1N1P1/K4P2/8 b - -,b5b8
r5k1/1b2bppp/8/4pNP1/1pp1P2P/4BP2/PKP2R2/8 b - -,e7f8
3r2k1/5pp1/2bNp2p/p3P3/1R6/5P2/6PP/5K2 w - a6,b4b6
rnbqkbnr/pp1ppppp/8/2p5/5P2/1P6/P1PPP1PP/RNBQKBNR b KQkq -,g8f6
r2qr1k1/p5bp/2p1pnp1/1p1b1p2/3P4/Q2NP1B1/PP2BPPP/2RR2K1 w - -,d3b4
r7/7p/2pk4/3p1p2/7r/P1P5/1K2RPPP/R7 w - -,h2h3
8/5k2/p3pP2/1p5P/1P1B4/5Kp1/3b4/8 w - -,f3g3
r2r4/1ppbq1k1/p2p1ppn/3Pp2p/4PPnP/1PNN1BP1/P1PQ4/1KR1R3 w - -,c3d1
8/5k2/2R5/2N5/5K2/8/8/2r5 b - -,c1a1
1r6/4b1p1/3pkp1p/R3p3/4P1P1/2P1BPP1/1R6/3K4 b - -,b8b2
r7/1p3pkp/p1p5/P1n1rp1B/2P3P1/2P4P/8/1R3RK1 w - -,b1d1
2k1q1rr/2nn2bp/1p2p1p1/p2pPp1P/P1pP1PP1/2P1N3/1PB1QB1R/4K2R b - -,c8b7
r3r1k1/1pqn1pb1/2ppbnp1/7p/1PPNPP2/2N1B1PP/3Q4/1R2RBK1 b - -,d7f8
8/5R2/6p1/6k1/5p2/5K1P/r7/8 b - -,a2h2
2r3k1/3q1p2/4nb1p/1p1p2p1/5P2/3PP2b/P1R3NP/2BQ2KB w - -,c2c8
r2q1rk1/3n2p1/pp1P2p1/3P4/P2N2p1/2P4P/3B4/R3Q2K b - -,d7c5
r4r2/3npbkp/2pQ2p1/pp1p1p2/3P3P/2N1P1P1/PPP2PB1/1K1R3R b - -,e7d6
3r4/3k1p1r/p1qbb1p1/1p1p4/3B4/1PN1RQ2/P1P2PPP/R5K1 w - -,g2g3
2rr2k1/1pqb1ppp/p7/P1b1PpP1/3NpP1P/2P1B3/1P6/R1Q2R1K b - h3,c5d4
r3r1k1/p4pb1/1pn3pp/5R2/2B5/P2PBb2/5PPP/3Q1RK1 b - -,f3d1
1r3rk1/4p1bp/3pp1p1/8/R2Bn3/4QP2/1Pq1N1PP/5R1K w - -,a4a7
6rk/5R2/7P/p7/6PK/2P2P2/8/8 w - -,f7a7
r1r1b1k1/pp4pp/1qn1pp2/8/1PpPQ3/P3B1P1/4PPBP/R1R3K1 b - -,c6d8
1rb1nrk1/p3q1bp/1p1p1np1/PPpPppB1/2N1P3/2PB1N2/4QPPP/R4RK1 w - -,f3d2
r2qk2r/pp1nppbp/2pp1np1/8/2BP1B2/4PQ1P/PPPN1PP1/R3K2R w KQkq -,e1g1
r3k1nr/pp1n1ppp/2p1p3/6q1/3pP2P/3P1Q2/PPPN1P2/2KR1B1R b kq -,g5f6
r5k1/5ppp/8/P2p4/6n1/2R1P1P1/1r5P/R4BK1 b - -,h7h5
8/pb1q2pk/1p3prp/4Q3/2pB4/P4N1P/5RPK/8 w - -,e5f4
3r1k2/p1P2pb1/1p5p/1r6/1n1p1P2/1P3K2/3BR2P/1B1R4 b - -,d8c8
2r3k1/1p6/p4p2/3n4/3p4/PN4P1/6KP/4R3 w - -,b3d4
2kr1bbr/pp1nppp1/1qp2n1p/5P2/2B5/2NPB1N1/PPP1Q1PP/1R3R1K b - -,b6c7
r1bqk2r/pp2ppbp/2n3p1/3p4/3P4/1BP1BP2/PP4PP/R2QK1NR b KQkq -,e7e6
3qkn1r/r4p2/2p2P2/1pPpP1b1/pP5p/P2Q3B/1B3R1P/5R1K w - -,e5e6
r4rk1/1p2p1b1/8/4P2p/pP3Pq1/2N1Q1P1/P7/R4RK1 w - h6,a1d1
4rrk1/pp4p1/2p2n1p/3pN3/3Pn1P1/1PP1R2P/P2N1P2/R5K1 w - -,d2e4
5rk1/B2r2b1/3p4/1N1nn3/1pp3P1/6P1/1P2BP2/R4RK1 b - -,d5f6
1rbk4/1p1p2p1/q3p3/1Nb1Pn2/2P1P2r/5Q2/PP4BP/R4R1K b - -,f5h6
r1bqk2r/1pp2ppp/p1np1n2/2b1p3/B3P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,a4c6:c2c3
8/4bppp/2k5/2P4n/2pP4/4BP2/3K2PP/1N6 b - -,h5f6
5k2/1p4p1/2p1np2/r6p/p1P1KP2/3N2P1/PP5P/2R5 b - -,g7g6
8/p2b4/3k2p1/1p3p1p/1P1K1P1P/P2N2P1/8/8 w - -,d3e5
2n3k1/1q1r1pbp/2b2Bp1/1pPNp1Q1/p3P3/1B3P2/P5PP/2R3K1 w - -,f6g7
r1bq1rk1/1p3pbp/p1n3p1/2PpN3/1P6/P2B4/1B3PPP/RN1Q1RK1 b - -,c6e5
1r3Qk1/5pb1/4p3/8/B7/1P6/2P5/2KR4 b - -,g8f8
1b6/5k1p/p5p1/PPB2p2/8/6PP/5P1K/8 b - -,a6b5
r3k2r/3bbpp1/pq1p4/3PpPPp/1p1N4/8/PPP1Q2P/1K1R1B1R w kq -,h2h4
r1q2rk1/pb2bpp1/1p2p2p/2n1P3/3N4/P1PB4/4QPPP/R1BR2K1 w - -,e2h5
3r1rk1/6q1/pN4p1/P1pP1n1p/4p3/4P1P1/1Q3R1P/5RK1 w - -,b2c1
1r4k1/5pP1/p3b1p1/1pqrP1B1/2p1Q3/P1P3P1/1P3R2/4R1K1 b - -,b8d8
1r3rk1/2p3p1/2b1p2p/p2pPP2/2p3P1/2P1qB2/PPQ4P/4RR1K b - -,e3g5
8/1b3p1k/p6B/1pp3R1/4P3/6b1/PPP2qP1/3K3Q b - -,f2d4
r1b2rk1/ppp2qbp/3p4/3PppQ1/2P5/2NB1P2/PP5P/R5RK b - -,g8h8
2r2bk1/6pp/p1q1bn2/4QN2/2p1pP2/PP6/1B2B1PP/1K5R w - -,f5d4
2rqkb1r/pp2pppp/2n2nb1/1BppN3/6P1/1P2P2P/PBPP1P2/RN1QK2R w KQk -,h3h4
2r5/p3kp2/1p6/2R1p3/P3P2p/2PR1Pn1/2K3P1/5B2 b - -,b6c5
r1bq1rk1/1pp1bppp/p1n1p3/2Pp4/3P1P2/P1N2N2/1P3PPP/R2QKB1R w KQ -,b2b4
r1bqk2r/p5p1/2p1pbn1/2pp3p/2P1P2P/1P3NP1/PB2QP2/RN2K2R b KQkq -,d5e4
r3r1k1/1ppnqpb1/3p2pp/p2P4/2P5/1P2B1PP/1PQ2PB1/3RR1K1 b - -,b7b6
2bb1rk1/r1qn1ppp/p2p2n1/2pPp3/2P1P3/P1NN2P1/2QB1PBP/1R3RK1 b - -,g6e7
8/5p2/6k1/2pK2p1/7p/7P/1P3RP1/2r5 w - -,d5e5
2kr3r/ppp1bpp1/2q1N3/n3Pn1p/2Pp4/PP3NPP/1B2PPB1/R2QK2R b KQ -,f7e6
r3rnk1/1b3ppp/1p2pn2/p2pN3/P1PP1P2/qP1BQ3/3N2PP/2R2RK1 b - -,e8c8
rnbq1rk1/pp3ppp/2pp1n2/4p3/1bP1P3/2N3P1/PP1PNPBP/R1BQ1RK1 b - -,c8e6
5k2/R7/5Np1/7p/2r1PK1P/6P1/P4n2/8 w - -,f4g5
8/1r2b2k/p3p2p/2p1Pp2/Pp1n1P2/3P3P/1NP2B1K/6R1 w - -,f2d4
r2qr1k1/2pn1bpp/p4p2/1pb1pP1P/4P2N/2P5/PPB1QP2/R1B1K1R1 b Q -,g8h8
8/8/5p1n/8/1k2KP1P/8/8/3B4 b - -,b4c5
2rqrbk1/1p3ppp/p1np4/P2Pn3/5B2/1N6/1PPQBRPP/R5K1 b - -,c6b8
5k2/p4p2/4pp1p/8/1brR4/1N4P1/PP3P1P/6K1 b - -,c4d4
6k1/q5p1/P1p2p2/2N1n2p/2b1P3/6P1/5PBP/Q5K1 b - -,g8h7
5rk1/p1p1rnpp/3p3q/3P4/1P1NBp1b/P4P2/3Q2PP/2R2R1K b - -,f7g5
7Q/8/4N1k1/8/pp6/8/3K1q2/8 w - -,d2d3
1rn2rk1/3b1pb1/3p2p1/3BP1Bp/3P3P/pp4P1/5P1K/3Q1R2 b - -,b3b2
r2q1rk1/4p1bp/b6B/2ppNp1n/1p6/1P1P2QP/PP2N1P1/R4RK1 w - -,g3g5
4R3/B4pk1/2p1n2p/P5p1/8/1r3PP1/6KP/8 b - -,b3b2
r3b1nk/2q2rn1/p2b2R1/P1pPp2p/1pP1Pp1B/3N1P1P/2BNK1Q1/6R1 w - -,h4f2
r1bq1k2/pp6/2p2b2/3n1ppQ/2BPp3/2P1P1B1/PP1N1P2/2KR4 b - -,c8e6
r3rbk1/1bp1qp2/p2p2p1/1p1Pp2p/P3P3/1BPQ3P/1P3PP1/R3RNK1 b - -,e7d7
3k4/8/3Pr3/R5K1/1r3p2/5P2/1p6/1R6 w - -,a5a2
8/1pp1rn2/p3k1p1/5p1p/PPPR3P/3B2P1/3K1P2/8 w - -,f2f4
5k2/2R3pp/4p3/4PpP1/8/6r1/7r/2R2K2 w - -,c7c8
8/pN1bkpp1/7p/3Pp3/1P1qP3/n2B1P2/4Q1P1/1K6 w - -,b1a2
1r1q1k2/p3ppb1/3p1n2/2r2BBp/2R4P/1P3QP1/P5K1/4R3 w - -,c4c5
rnbq1rk1/pp4pp/2p1pn2/3p1p2/2PP4/bP2PN2/P3BPPP/RN1Q1RK1 w - -,b1a3
1r6/8/2B2k2/3Pp3/1PN1P3/K7/8/2n5 b - -,c1d3
r3k2r/1pqb1ppp/2pb1n2/p7/3NP1n1/2N3P1/PP2BP1P/R1BQ1RK1 w kq -,h2h3
r7/8/P2k1p1R/1B1p4/P1pb4/8/3K4/8 w - -,h6h7
3r2k1/5ppp/prb5/3p4/3R1P2/2R3P1/6BP/6K1 b - -,g8f8
8/8/pp6/2n2k2/5p2/5B2/P1PK4/8 w - -,c2c4
r2q1rk1/ppn2pbp/2p1p1p1/8/2QPP3/4BB2/PP3PPP/2RR2K1 w - -,c4b3
r5k1/5ppp/p3p3/8/1nP5/N1N2b2/PP5P/3R2K1 w - -,d1d6
r4rk1/1ppqnppp/p2b1n2/3Pp3/1PB5/P1N1PP2/2Q2P1P/R1B3RK b - -,d7h3
4nbk1/3n1p1p/2b3pB/1p2p3/1Pp1P1N1/2P1NP1P/q1BQ2PK/8 b - -,f8h6
3rkb1r/5p1p/p3p1p1/6P1/P1bN4/4BPP1/1qP2Q2/3RR1K1 b k -,b2b7
6k1/p5p1/1p5p/8/5R1P/1r6/n2K3P/4N3 w - -,e1d3
r1bq1rk1/ppp2pp1/2n4p/4P3/2Pp4/5NP1/PP1QPPBP/R4RK1 b - -,f8e8
2rq1rk1/1p1bbppp/p3p3/n2pN3/3P1P2/P1N5/1P3PPP/1BRQR1K1 b - -,g7g6
r2q1rk1/pbp1bppp/1p2pn2/8/2PP4/4BP2/PPB1N1PP/2RQ1RK1 w - -,c2b1
3R4/6k1/1p3r1p/1Pb5/6p1/p4B2/5PPP/6K1 w - -,f3d5
8/8/1R6/1p2p3/1p1kP3/4r3/3K4/8 b - -,e3e4
8/4r3/P7/1K6/3k4/8/8/8 w - -,b5c6
3n4/4p2k/p2p2pP/2pP2P1/4P3/1P3r2/P2KN3/6R1 w - -,e2c1
8/2n2pp1/1ppk4/8/1PP2KBP/6P1/8/8 w - -,g4c8
3k4/1R4p1/4P2p/4K3/8/8/1p1r4/8 w - -,e5f5
8/6k1/5p2/P6p/2q4P/6P1/1Q5K/8 b - -,g7g6
4k2r/1qr1bpp1/p3p2p/1p1P3P/2p1Q1P1/P1NnP3/1P3P2/1K1RB2R w k -,d5e6
1rr3k1/p4ppp/4pP2/3pP3/1p5P/2q5/PPPQ2P1/1K1R1R2 w - -,d2e2
5rk1/5r1p/1p6/p2q2p1/P1pN1N2/2PbR2P/1P1R1P2/4Q1K1 b - -,g5f4
r6r/5kp1/p6p/3RpP1n/P1p5/2P1B3/2P4P/2K3R1 b - -,f7f6
1q2r1k1/1p4bp/p1r1b1p1/P1Bnp3/1PB5/R6P/2P2PP1/3QR1K1 w - -,c4d5
r2qr1k1/pbpn1ppp/1p1p4/8/2PNP3/1P4P1/P2Q1PBP/3RR1K1 w - -,f2f3
2bq2r1/prp2k2/1n4pp/3pR3/5P2/1PQ3P1/PB4BP/2R4K w - -,c1e1
r2q1rk1/pp3ppp/2n1bb2/8/3pN3/6P1/PP2PPBP/R2QNRK1 w - -,e1d3
2k5/ppp3p1/5p1p/8/8/PnB5/5PPP/3K4 b - -,c8d7
8/p2k1p2/8/P4PKP/1p6/7r/2N5/8 b - -,b4b3
3k1b1r/pp3p1p/4pPp1/8/b1B1N3/2P5/PP4PP/2K4R w - -,e4g5
3rrnk1/pp3ppp/2p1pn2/8/1bPP3q/1P2RQNP/P4PP1/BB1R2K1 w - -,d4d5
r2qrbk1/pp3p1p/2p3p1/4nbN1/2P2P2/6P1/PPQB2BP/4RRK1 w - -,g2e4
6k1/1ppn1rp1/p3q2p/2b5/1P2P3/2Q2N2/6PP/2B1R2K b - b3,c5b6
rnbq1rk1/pp2bppp/4p3/3n4/3P4/P1N2N2/1P1B1PPP/R2QKB1R w KQ -,f1d3
1r4k1/r3p1bp/3P1pp1/p1R1P3/1p3P2/1P4PP/P3K1B1/7R w - -,c5c7
2b2bk1/5p2/p3p1p1/q2nP1N1/1p1Q4/3B4/1P1B1PP1/6K1 b - -,f8g7
r2qk2r/1b2bp2/p2ppn2/1p2n3/3NPBP1/2N2B2/PPP1Q2P/2KR3R b kq -,f6d7
3r1bk1/r1nn1pp1/3q3p/p2p1R2/7P/1P1N2P1/PBRQ1PBK/8 w - -,d3e5
