8/6pp/5p2/2n5/p3P3/2k2P2/2N1K1PP/8 w - -,c2a3
8/3k1p1p/1n6/pp2PpPP/2pK4/P7/1P2B3/8 w - -,e2f3
8/3b4/6kp/1p4p1/8/P1NpK1PP/1P6/8 w - -,b2b4
5rk1/qb1n1ppp/r1p1p3/3p4/P1nP4/1NN1P1P1/R1Q2PBP/R5K1 b - -,c6c5
r4rk1/1bqpbpp1/ppn1pn1p/6B1/2P1P3/P1N2N2/1P2BPPP/2RQ1RK1 w - -,g5h4
rnbqk1nr/1pp2ppp/3pp3/p7/1bPP4/5N2/PP1BPPPP/RN1QKB1R w KQkq -,g2g3:d1a4:b1c3:e2e4
r5k1/7R/5p2/1p1b4/2p5/2Bn2P1/1P1N3P/6K1 w - -,h7h6
5r1k/2R3pp/1P5n/4p2P/2N5/1q1p4/4QPP1/6K1 w - -,e2f1
r3r3/5bk1/p1p2p1p/PpNp1Pp1/1P1PP1P1/5P2/3R1K2/7R w - -,h1e1
1r1q1r1k/6bp/2Rp2p1/1p2pp2/8/1Q1PP1P1/P4PBP/5RK1 b - -,f5f4
r3r1k1/p1nq1pbp/1p1p1np1/2pP4/P3P3/2NQ1N2/1P3PPP/R1BR2K1 w - -,c1f4
rnb1k2r/ppq2ppp/4pn2/2pp4/2PP4/P1P1PP2/6PP/R1BQKBNR w KQkq -,c4d5
8/2r2k1p/pnPr1pp1/2R5/3N1P2/4P3/P6P/1R3K2 b - -,b6a8
2rr2k1/1p3pbp/nq2p1p1/p1pPP3/6b1/PP1P1NP1/2QN1PBP/1R3RK1 w - -,d5d6
b7/3qnknQ/3b1pp1/r2p1P2/1NpP2P1/P1P2B2/6N1/2B1R1K1 b - -,e7f5
3r1k2/5pp1/1pp4p/p1n5/2PNr1PP/R3PKR1/P1P5/8 b - -,d8d6
r1bqkb1r/pp1n1ppp/2p1pn2/3P2B1/3P4/5N2/PPQ1PPPP/RN2KB1R b KQkq -,e6d5
Q7/8/1N4p1/1K2p2p/3b4/5P1k/8/8 b - -,d4b6
3r2k1/p5p1/3qp2p/4Rp2/3Pb3/1N2P2P/P4QP1/6K1 w - -,e5a5
Q4b2/p2n1ppk/1p1r3p/2p5/P7/4q1P1/1B3P1P/3R2K1 w - -,f2e3
1r1qrbk1/5ppp/pPbp1n2/2p5/2PpPPP1/3P3P/1P2N1B1/R1BQ1RK1 b - -,d8b6
8/1P6/8/P5pk/8/2K5/r6b/7R b - -,a2a3
b1r3k1/p4p2/Pp6/1Pnpr2p/2pNn1p1/4P1P1/5PBP/R1R1B1K1 w - -,e1c3
3k4/p5pp/1p1p4/3P4/4P3/r6b/P2nNKB1/R7 w - -,e2g3
rn1qkb1r/pp3ppp/2p1p3/3pP3/6b1/2PB1N2/PPP2PPP/R1BQ1RK1 w kq -,h2h3
8/p4pkp/4p3/1p2P1p1/2p2r2/2P2P2/PP4KP/1R6 w - -,a2a4
rnb1k2r/ppp1q1b1/3ppnpp/5p2/2BP3B/2P1PN2/PP1N1PPP/R2QK2R w KQkq -,e1g1
r4r2/1pq2pkp/2pp1np1/p2b4/P2P1P1N/2PB3P/1P1Q2P1/4RRK1 b - -,a8e8
2rq1rk1/pb1nbppp/1p2pn2/3p4/2Pp4/1P2PNP1/PB1N1PBP/2RQR1K1 w - -,e3d4
1k3r2/p1p5/1pn3qp/3R2b1/2N3Q1/1NP3P1/PP6/K4q1R w - -,h1f1
3q1rk1/4bp2/pn2pp1p/3pP3/1n1P2P1/4BN1Q/2bN3P/1B3RK1 w - -,h3h6
R7/4ppkp/3q2p1/1p6/8/1P2R1PP/5P1K/8 w - -,a8a7
8/1p6/p1k5/8/1P6/2K5/8/8 b - -,c6b5
8/8/8/3b1kp1/3p4/6P1/8/3BK3 w - -,e1f2
3rr3/1b3pk1/p3pnpp/1p3P2/PqpP4/2N1P1QP/3N1RP1/2R3K1 b - -,f6h5
2r3k1/pp2pp2/4b2p/2P3p1/8/nPN3PP/1r2PKB1/2R4R w - -,c3d5
7r/2kb4/1p1p2n1/p1pPp1rn/P1P1PpBp/K1R4P/1P2Q1P1/5N2 b - -,d7e8
r1b1r1k1/2q4p/p1n1pbp1/1p1pn1P1/8/1N1BB2Q/PPP4P/R4RK1 w - -,g5f6
6Rk/1p5p/2p3q1/p3r3/7Q/P3npP1/1P3P1P/3R1BK1 b - -,h8g8
r1b1k2r/ppppqppp/2n5/4P3/1bP5/5NP1/PPQnPP1P/R1B1KB1R w KQkq -,c1d2
3r2k1/p2q1pb1/1r4pp/2pb4/8/2PP1P1N/P1Q1R1PP/2BR3K b - -,d5f3
3rk2r/pp2ppbp/1np3p1/8/2PPb3/4BN1P/PP2BPP1/3RK2R b Kk -,e8g8
8/5p1k/2p1b3/3p3P/B2P1Q2/P1Pq1P2/1r6/R5K1 w - -,a1e1
r2qk2r/ppp2ppp/2n1p3/1Q1n4/1b1P4/2N5/PP2PPPP/R1B1KB1R w KQkq -,c1d2
4r1k1/ppp1rqbp/3p3n/3P1p2/5P2/5QPP/PPR2BB1/2R3K1 b - -,g8h8
r1b1rnk1/1p2qppp/2p2n2/p1p1p3/2P1P3/P2P3P/1PQ1NPP1/R1B1KB1R w KQ -,c1e3
5r1k/7n/p7/p1Q5/8/1P6/6K1/8 w - -,c5a5
8/1b5p/p4Qpk/1p1qr3/8/1PP4P/1P4P1/5RK1 w - -,f6f8
2k5/8/KP1P2p1/N3pp2/6P1/7P/8/r7 b - -,a1b1
1r3bk1/2RR4/8/1p1pr1P1/p6P/1P6/P5K1/8 w - -,g2g3
1r1r2k1/2p1qp1p/bp3np1/p2B4/P3PP1b/N1P1B3/1P4QP/R2R2K1 w - -,e3d4
3rr1k1/p2q1pp1/np1p1b1p/2pP4/4PB1P/1P3NP1/P4PK1/1R1QR3 b - -,a6c7
1k4r1/1p1q1p2/p2N3p/4P2P/1P1P4/2P2QB1/7K/8 b - -,b8a8
7k/8/3bpp2/1p4p1/2bP4/1p2P2P/r2B1PP1/1R1KN3 w - g6,f2f3
2r4r/3k1p2/1pn1pnp1/p2p3p/3P3P/1P1KPB2/1PRB1PP1/2R5 w - -,d3e2
2rrb1k1/qp2bppp/p2p1n2/3Np3/2PNPPn1/1P3Q2/PB4PP/3RRB1K b - -,f6d5
rn1qrbk1/1bp2ppp/p2p1n2/1p2p3/P2PP3/2P2N2/1PBN1PPP/R1BQR1K1 b - -,b8d7
6k1/1b3p1p/1p2p1p1/2q5/1R1p1P2/P1rP2K1/3QB1PP/8 b - -,c3c2
r1bq1rk1/1p3ppp/p1np1n2/4p3/2P1P3/2N1N3/PP2BPPP/R2QK2R w KQ -,e1g1
r4rk1/1pq3bp/2ppbnp1/p1n2pB1/2P5/1PN2NP1/P2QPPBP/1R1R2K1 w - -,f3d4
3rr1k1/5p1p/2pq2p1/3p1B2/pP1Q3P/2P5/P4PP1/2R1R1K1 b - -,g6f5
2r1rbk1/1pp2q2/p3nP1p/8/3nQ1BB/1PN4P/P4PP1/3R1RK1 w - -,d1d4
6Q1/5pb1/pR3nk1/2p5/2P5/P3P1PK/8/5q2 w - -,h3h2
5rk1/4qp1p/3p2p1/pR1Pr3/5Q2/P2P1RPP/6BK/4b3 w - -,f4f6
2rk3r/1p1nbpp1/pq1p4/3Pp2p/8/1N1B1P2/PPPQ2PP/1K1R2R1 w - -,d3f5
rn1qr1k1/1b3pbp/p2p1np1/1Pp3B1/P3P3/N2B1N1P/1PQ2PP1/R4RK1 b - -,h7h6
2r1bbk1/2rq1np1/3p1p1p/1p1PpN1P/pP2P1P1/R1PB4/3B1PQ1/3R2K1 w - -,d1f1
r1bqr1k1/pppp1ppp/2n2n2/8/1bPN4/2N3P1/PP2PPBP/R1BQ1RK1 b - -,c6e5
8/1p6/1k2np1p/1pb1p1pP/4P1P1/1KP2P2/3B4/5B2 w - -,f1e2
3r2k1/1p1r1pp1/4n2p/p1p1Pb2/P2p1nP1/1P3P1P/BBPRN2K/4R3 b - g3,f5h7
2r2rk1/2qpbppp/p7/3B4/1p2P3/5Q1P/PP3PP1/3R1RK1 b - -,a6a5
r2q1rk1/p1pnbppp/2pp4/8/2P1P3/2N3P1/PP3P1P/R1BQ1RK1 w - -,b2b3
4r1k1/p2q4/1P4p1/1P5p/2pB4/2Qb3P/5PP1/R5K1 b - -,a7b6
4r3/7p/8/1pK5/1PpP1k2/2P5/2R3P1/8 b - -,e8e4
3r2k1/p1pbqppp/1rB2n2/3Pp3/N1p5/4Q1P1/PP2PP1P/R2R2K1 b - -,b6a6
r1bq1rk1/2n3pp/1ppb1n2/p2p1p2/3P4/P1NBPP2/1P1BN1PP/2RQ1RK1 w - -,c3a4
r4rk1/1p1nqpp1/5n1p/p2p1b2/3N4/PP2P2P/3NBPP1/2RQ1RK1 b - -,f5g6
rnq2rk1/p2nppbp/b2p2p1/2pP4/2B1PP2/2N5/PP1NQ1PP/R1B2RK1 w - -,a2a4
r1b1k2r/4pp1p/p1np1np1/qp1N4/4P3/5N2/PPPQ1PPP/R3KB1R b KQkq -,a5d2
rn1q1rk1/ppp1bpp1/4pn1p/3p1b2/8/1P1P1NP1/PBP1PPBP/RN1Q1RK1 w - -,b1d2:c2c4
r3r1k1/1b1nqpp1/pp1pp2p/2pn4/PP1P4/2PBPN2/3NQPPP/R2R2K1 w - -,a1c1
rnb1k2r/1pq1bppp/p2ppn2/6B1/2P5/2N1PN2/PPQ1BPPP/R3K2R w KQkq -,e1g1
8/2k4p/2p3p1/2Pp1bP1/pK1P3P/P4N2/8/8 b - -,f5c2
r1b1k2r/1p4p1/1pnp1ppn/p3p1N1/P1B1P3/1PP5/3P1PPP/R1B1K2R w KQkq -,g5e6
8/R3bpk1/4r1p1/4p1Pp/4N3/4P2q/5P1B/3Q2K1 b - -,h3f5
8/5nk1/p1pr4/2Rpp3/1P2PpKB/3P4/P7/8 w - -,g4f5
1rr3k1/4ppbp/1q1p1np1/1p2nb2/3N4/2N3PP/PB2PPB1/2RQ1RK1 w - -,c3b5
8/pr4p1/2p2p1p/3p1k1P/1PbP4/2P1r1P1/2K2P2/R1B5 w - -,c1e3
1r1r2k1/p1N2ppp/b1n5/npq5/4P3/5NP1/4QPBP/R2R2K1 b - -,d8d1
3q4/8/6k1/7p/PR3RpP/6P1/1P3P1K/8 b - -,d8a5
6rk/p1p4p/1p1ppq2/2P2p1n/1P1P2r1/P3PNP1/5K1P/Q2RR3 b - -,f6g7
2k4r/pp1q1p2/3p1b2/2P1p3/1P1pP1p1/P2P2Nr/5PKP/R2QR3 w - -,e1h1
2kr4/pp3p1p/4p1p1/4P3/4N3/1B2qP1P/P7/3R1K1R b - -,e3f3
r2qk1nr/pp1N1ppp/3bb3/3p4/3Pp3/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,d8d7
r1b2rk1/2p1q1bp/np1p2p1/pN1Ppp1n/P3P3/1P1N1PP1/2PBQ1BP/R4RK1 b - -,f5f4
2r5/1p3p2/4b1kp/P2q1p2/4pQ2/6P1/1R3P1P/5BK1 w - -,b2b6
8/8/2pk1p1p/2N3p1/3PP1P1/5bKP/2Nn4/8 w - -,c2e3
rnb1k2r/pp2bppp/3q1n2/4p3/2Bp4/1N3N2/PPP1QPPP/R1B2RK1 b kq -,b8c6
8/1B4kp/3R2p1/P1p5/1nP5/4r1Pb/8/R5K1 b - -,b4c2
rnb2rk1/pp4bp/2pq1np1/4Np2/1P1Pp3/2N3P1/P3PPBP/1RBQ1RK1 b - -,c8e6
r3kb1r/pp1n1p2/1qp1pnp1/3p3p/2PP3P/1QN1P2R/PP1B1PP1/R3KB2 w Qkq -,b3c2
rn1q1rk1/4bppp/3pp3/p3n1P1/1p1NP2P/4BPN1/PPP3Q1/2KR1b1R w - -,g3f1
r7/1R6/4pp1k/2Pp1bpp/q2P4/5NQP/5PPK/8 b - -,a8a7
8/2B5/2B5/p4p2/P4P2/3bk3/6K1/4b3 w - -,c6d7
8/Rr5k/1q1p1r2/4pp1p/1P6/2PQP1P1/7P/R6K w - -,d3a6
r1b5/1pqnkpQr/p2p1n1p/4p3/4P3/BNP2B2/P1P2PPP/R4RK1 w - -,g7g3
1rr5/2p1k1pp/1B1bpn2/pp2p3/1P2P3/P2N1P2/2P3PP/1NKR3R b - -,c7b6
6k1/2qn1rpp/4p1n1/pQ1pP2N/1p1B1bP1/1P3N1P/P1P3B1/6K1 w - -,b5e2
1kr4r/pp1bb3/2np1q1p/4p1pn/8/N1P2N2/PPB1QPPP/R2RB1K1 w - -,a3c4
r2q1rk1/pb1n1ppp/1p2p3/2pP4/7P/P1Q1B3/1PP2PP1/2KR1B1R b - -,e6d5
r1bq1r1k/pp1n2b1/3pB2p/2pP3Q/2P4p/2N3P1/PP1B1P2/R4RK1 b - -,d8e8
r2q1r1k/p1p2p1p/2p3bp/2bpP3/8/1BP2Q1P/PP1N1PP1/3RR1K1 b - -,a8b8
rn1q1Bkr/pp4p1/2p1pn1p/3pNb1P/3P1P2/1P5B/P1P5/RN1QK2R b KQ -,d8f8
8/4p1b1/pk1p2p1/3P1pP1/1PK2P2/8/5P2/3B4 w - -,d1a4
8/p3k2p/1p1p4/1PrPn1p1/P1p1Pr2/5P1P/4B1K1/R1R5 b - -,f4f8
8/1p4bk/7p/2p3p1/2b5/2N2N1P/PP3KP1/8 w - -,a2a3
8/1B4kp/3R2p1/P1p5/1nP5/4r1Pb/8/1R4K1 w - -,b1a1
8/p1pk1p2/1p6/3PR3/2r3PP/5K2/8/8 w - -,h4h5
8/p2n1k1p/4pp2/4r3/6QP/1P6/P2KNP1q/6R1 w - -,g4g8
5rk1/5p1p/1p3Rp1/4p3/2P5/1P5P/P2r2P1/4R2K w - -,a2a4
R1brq1k1/1p2n1bp/1P4p1/2PPp3/2B1Pp2/1N1Q1P2/6PP/6K1 b - -,g8h8
1r3rk1/ppp1ppb1/2n3pp/2Nq4/2nP4/1PP2N1P/P3QPP1/R1B1R1K1 b - -,c4e5
r3k2r/pp3p1p/2pqpb2/3n1p2/1P1P2b1/3Q1NP1/P1PB1PBP/R4RK1 w kq -,a1b1
2kr2nr/pppn1pp1/1b1p3p/1B1N4/4PQbq/1NB5/PPP2PPP/R3K2R w KQ -,h2h3
r2q1r1k/pp1nnpbp/2p1p1p1/3pP3/3P1P2/1BN3QP/PPP2BP1/R3R1K1 b - -,a8c8
2r2rk1/1bq1bppp/pp1ppn2/2n5/2PNPPP1/2N1B3/PP4BP/2RQR1K1 w - -,e3f2
r2qr1k1/pp1n1pp1/2pb1nbp/3p4/3P4/P1N1PNPP/1P3PB1/R1BQ1RK1 w - -,b2b4
r1b2n1r/4qk1p/2p3p1/1p2bp2/p1p5/P1N1PNPR/1PQ1BPP1/2K4R w - -,f3e5
2r2rk1/1b2ppbp/6p1/pp3P2/2pPB3/2P3N1/PP4PP/R4RK1 b - -,b7e4
1rbq1rk1/3n1pbp/6p1/1p2p1B1/1P1p4/1Q1P1NP1/4PPBP/1R3RK1 b - -,d8e8
2k1r3/p6r/1pn1qB1b/3p3P/2pP4/P1P1N2Q/1P3P2/R3K2R b KQ -,c8b7
8/1R3pkp/1p1r2p1/8/1P6/5K1P/6P1/8 b - -,g7f6
3rr1k1/1bqnbppp/p3p3/2ppP3/5P2/1PP3P1/PB1QN1BP/3RR1K1 b - -,c7b6
3r4/1kp1Rp2/p5bp/6p1/8/4KPP1/PP5P/8 w - -,g3g4
3R4/pp4rk/7p/1P6/r7/3p4/7P/3R3K w - -,d8d3
rr4k1/3nppbp/3p1np1/2pP4/1q2P3/2N1B1PP/PPQ1NPK1/R6R w - -,a1b1
r2r2k1/pp2bppp/8/1N2p3/6n1/2P5/PP3PPP/R1B1R1K1 w - -,h2h3
5r1k/p5p1/1p1P3p/2p5/2QnqP2/6P1/PP3RKP/R7 w - -,g2h3
2n4r/3k1p2/1p2b2p/p2pPp1P/P1pP1P2/B1P5/2P5/2K3RB w - -,h1f3
r4rk1/pp4bp/1np5/5p2/1Pb5/2N3P1/P4PBP/B1RR2K1 b - -,a8d8
3r4/5kpp/p4p2/1p1q4/3P4/P3Q1P1/5P1P/3R2K1 w - -,e3c3
rn1q1rk1/pb2bppp/1p2pn2/2pp4/2P5/1P1P1NP1/PB2PPBP/RN1Q1RK1 w - c6,c4d5:e2e3:b1d2
b1r2rk1/5ppp/pp2pq2/4N3/6P1/5P2/3RQ2P/3R2K1 b - -,f8d8
r5k1/p2n1r1p/1p1Bp1p1/2pp4/5PP1/1P1PP2P/P7/R4RK1 b - -,a8d8
3k4/R7/5Kp1/5b2/8/8/8/8 w - -,f6f7
3r3k/4q1pp/2rp4/p1pRp3/1p2P3/1PPQ1P2/P5PP/3R2K1 w - -,d3c4
r2q1rk1/pb1n1ppp/1ppbpn2/3p4/2P5/1PN1PN2/PBQPBPPP/2R1K2R w K -,e1g1
r1b1kb1r/pppp1ppp/2n5/2q1P3/2P2Bn1/1QN2N2/PP2PPPP/R3KB1R w KQkq -,e2e3
4R3/r5kp/2p2bp1/1p6/1Rp5/P4BKP/2r5/8 w - b6,f3c6
r1bqk2r/pp2ppbp/2n3p1/3p4/2PP3B/4PN2/P3BPPP/R2QK2R b KQkq -,e8g8
3rn1k1/4b1pp/p4p2/8/6Q1/2B5/qPP3PP/4R2K b - -,a2f7
8/6k1/6p1/p1p2p2/PpPn3P/1P4PK/8/3B4 b - -,g7f6
rn1q1rk1/pb1pppbp/1p4p1/2pPP3/2P2P2/3B1N2/PP4PP/R1BQ1RK1 b - -,d7d6
3r2k1/2n2r1p/pp4p1/2p1R3/P7/2NPR2P/1P3PP1/6K1 b - -,d8d4
3r3k/p6p/8/1b6/1P3r2/P4B1P/2R3P1/4R2K b - -,d8d3
5bk1/p4pp1/8/2r4p/2B5/4P1P1/P4PP1/2R3K1 w - -,g1f1
8/kpqn1ppb/p1BbP3/2pp4/6P1/2PP1NB1/PP2QPK1/8 b - -,c7c6
4rrk1/pp4bp/2n2pp1/2p5/3pP1q1/3P1RPB/PPP4K/R1BQ4 b - -,g4h5
7k/R6P/2r5/5P2/2K5/p7/P7/8 w - -,c4d3
r3k2r/ppp1np2/2nbbqp1/8/3Pp2p/2PB3P/PP1NQPP1/R1B2RK1 w kq -,d2e4
r1bq1r1k/pp2b1pp/2n1pn2/3p4/5B1P/2NB1N2/PPP1QPP1/2KR3R w - -,h4h5
6k1/1b4p1/2p4p/1pPpN3/r2PB1P1/7P/P2R1R1K/4r3 b - -,d5e4
1kqr4/1b2b3/p4p1p/1p1Pp1p1/4Q1P1/PN6/1PP4P/3R1RK1 w - -,g1h1
8/6k1/p1n1b1pp/1pBp4/5PP1/1P2KB1P/P7/8 b - -,c6d8
8/k4K2/b3R3/3pP1P1/3P4/5r2/5P2/8 w - -,e6f6
1k1r3r/ppp2ppp/3p1b2/1P2q3/P1P4P/1Q2BP2/2PK1P2/3R3R b - a3,d6d5
5r2/pp3pkp/3p1np1/2pP4/2P5/P2B1P2/1P2r1PP/2K4R w - -,d3e2
8/R7/p2N2pk/2p3rp/2B5/6K1/1r6/8 w - -,g3f3
8/p1r2k2/1pn2Np1/2p2pP1/3p1P2/P2P4/1PP3K1/4R3 w - -,e1h1
r4rk1/pQ2bqpp/4pn2/2p3B1/2P5/2N4P/PP3PP1/R2R2K1 b - -,a8b8
3r4/6pk/5qNp/p2PN3/P1Q2P2/8/5PKP/8 b - -,d8d6
2r2rk1/ppq1p1bp/6pB/3pPbQP/2n5/2PB1N2/P4PP1/2R1R1K1 w - -,h5g6
r2k3r/1p4pp/2pn1p2/p1n1p3/2P1P1b1/PPN2N1P/4BPP1/1R3RK1 b - -,g4h5
