8/5pk1/8/7p/PQ4n1/3P4/2K1q3/8 w - -,c2c1
r3r2k/2qn1p1p/bp1p1npQ/p2Pp3/P1p1P3/2P3NP/1PB2PPN/R4RK1 w - -,h6d2
R4nk1/1p4p1/3Np3/3pPp2/3P4/4P1P1/1Pr3K1/8 w - -,g2f3
3rR3/1p3pkp/p1pn4/3p1P2/5BP1/1PPp4/2P4P/R5K1 b - -,d6e8
4bk2/5p2/3b1p1p/3p1B2/3N4/2P2P2/3K2PP/8 w - -,g2g3
1rq1r1k1/p4ppp/5b2/P1pp4/Q7/2P1B3/1P3PPP/3R1RK1 b - -,e8e4
rn1q1rk1/ppp2ppp/3bbp2/8/8/1BP2N2/P1PP1PPP/R1BQ1RK1 b - -,c7c5
5rk1/3b1ppp/p2Pq3/1pQ1b1B1/8/5PP1/P5BP/3R2K1 w - -,g5e7
8/1p4pp/pNr1kn2/P1P5/1P1Rp3/7P/5KP1/8 b - -,h7h5
r3r1k1/nb1q1ppp/n2p1b2/1p1Pp3/1Pp1P3/N1P1B2P/2BN1PP1/RR3QK1 b - -,e8c8
8/p6R/8/2p1k3/2B5/PPn1rbP1/4p2P/4R1K1 w - -,h7e7
4Q3/p6k/5bpp/8/4p3/B5P1/5P1P/q4BK1 b - -,a1a3
3b1rk1/1B2q1n1/3p4/r2Pn2p/1Q1BPp2/5PpP/1PR3P1/2R3K1 w - -,c1d1
2kr2r1/ppq2p1p/2p1p3/5p1b/PP1PnB2/1BP1Q1P1/5PKP/R3R3 b - -,c7e7
8/4pk2/3p1pp1/3P3p/2N1PP2/4K2P/r3B1P1/8 w - -,c4d2
r1b1k2r/2q2p1p/p3p3/2p1b1P1/PpN5/4BRn1/1PP1B1P1/R2Q2K1 b kq -,c8b7
8/8/k7/2R5/1p1N4/8/r1P5/1K6 b - -,a2a3
8/3k4/8/4K2p/5P1P/2R1P1P1/2pr4/8 b - -,d2g2
8/5pp1/1nB1b2p/8/pk6/2NK2P1/4PP1P/8 b - -,a4a3
2b2rk1/1p2nqbp/1P4p1/1BPPp3/4Pp2/1N1Q1P2/6PP/R5K1 b - -,f8d8
1r4k1/1p4bp/3p2p1/p1pP3r/P2PP1bq/2N2P2/1P1Q2B1/R1B2RK1 w - -,f1f2
8/8/8/4p1k1/r4p2/2P4P/3K4/6R1 b - -,g5f5
1k4r1/1b3p2/pp6/4qP2/P3p1p1/2N1R3/1PP3K1/4Q3 w - -,e1g3
4Q3/5pk1/pb1q2p1/4n1P1/P7/1P2P3/5PB1/5NK1 w - -,e8a8
r1rq2k1/5ppp/p3p3/3n1b2/2BP4/5Nn1/PQ3PPP/R1R3K1 w - -,h2g3
4r3/2R2n1p/1p1P1pp1/8/1k2p3/1P2P1P1/5P1P/6K1 w - -,c7f7
8/1Pk5/5R2/8/1r6/5Np1/4K1P1/8 w - -,f6f7
8/5k2/6r1/1R6/5P2/5K2/8/8 b - -,g6a6
r1bqkb1r/pp1npppp/2pp1n2/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,e7e5
r3qnk1/1p2rpbp/2pR2p1/p1P2b2/2B5/1P2BN2/P4PPP/2Q1R1K1 b - -,f8e6
4rnk1/1p2bpp1/p2pb2p/P3p3/1Pr1P1PP/2P2P2/3RNBB1/R5K1 b - -,f8g6
5rrk/4q1np/1N1p1b2/3Pp1n1/1N2PpB1/2B5/2Q2PP1/2R2K2 b - -,h7h5
8/p7/1p3k1b/1Pp4P/P1B1K3/8/5p2/8 w - -,e4f3
2r2r2/1pp1k1pp/1p1p4/1N2p2n/P3P3/1P3P1P/1KPR2P1/7R b - -,h5f4
r4rk1/1pp2qp1/p3bp1p/4n3/1P1QP3/P4NP1/5PBP/2R2RK1 b - -,a8d8
1r1k4/3b4/4p1p1/3pPp1p/pP1N1P1P/2PK2P1/R7/8 w - -,d3c2
8/1p3R2/8/3p2Pp/1p1Pk2P/1P2p3/P1r5/5K2 w - -,g5g6
4rrk1/6pp/p1pq4/3pRp2/P2P4/1pP2Q1P/1P3PP1/R5K1 w - -,a1e1
1k2bn1r/6r1/1p1qpbp1/pP1pN2p/P1pP1P2/2P2NPP/K1B1R3/2Q1R3 w - -,f3g5
4Q3/5ppk/2B4p/2bq4/p3N3/Pn1p2PP/R1b2P1K/8 b - -,d5f5
r3k1r1/pppnqb2/4pn2/3pN2p/3P1PpP/2NB1P2/PPP1Q3/R3K1R1 w Qq -,e1c1
3r2k1/7p/3pp1p1/8/1pP1P3/1P1R3P/1r4PK/3R4 w - -,c4c5
8/p4pk1/1nb3pp/2p1q3/2p1PN2/4NP1P/PP1Q1KP1/8 w - -,d2c3
2rq1rk1/pb2bp2/1pn1p1pp/2Pp4/4N3/2P1PN2/PP2QPPP/1B1R1RK1 w - -,c5b6
8/1k6/8/6p1/1r6/2NB4/1P6/2K5 w - -,c3e2
r4rk1/2q1ppbp/n1p1bnp1/pp6/3P4/P1NBPN2/1P3PPP/R1BQ1RK1 b - -,h7h6
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P1P2/2P1PN2/PP1N2PP/R1BQKB1R w KQkq -,f3e5
r4rk1/pb1qbppp/1p2p3/2p5/3PpP2/2P1P1P1/PP4BP/R1BQR1K1 b - -,a8d8
r1b2rk1/ppq1ppbp/1np2Np1/6B1/3P4/1BP2N2/PP3PPP/R2Q1RK1 b - -,e7f6
8/p6p/8/1Pbp4/5p1P/3P1N2/P2PK1k1/8 b - -,c5a3
6k1/4bpp1/r7/P1p2b2/2q1pP1p/2B1P2P/3RN1P1/5Q1K w - -,f1a1
4kr2/pb3pQp/3bB3/qP4B1/1n6/5N2/5PPP/2R3K1 b - -,b7c8
1r6/r5kp/1n4p1/4P3/3RNP2/1B6/2K3PP/8 b - -,a7c7
2r1r1k1/p2q2p1/1p1b2n1/P1pPpp1p/2P5/5PB1/1P1NQ1PP/R3R1K1 b - -,h5h4
2r1kb1r/pp1b2pp/1qn1p2n/3pp3/1P1P4/P2B1N2/1B1Q1PPP/RN2K2R w KQk -,d4e5
8/K2k1p2/P3p1p1/7p/4PP2/1r3P2/2R5/8 w - -,c2f2
r1q1rbk1/p4ppp/np3n2/2Pp4/Q7/4PN2/PP1BNPPP/R1R3K1 b - -,b6c5
4r3/1p3rp1/p1p1kp1p/4pR2/4P1PP/1P1P4/1PP4K/5R2 b - -,g7g6
2r4k/3b2pp/1q6/p2PBp2/Pb3P2/8/1QB3PP/R6K b - -,b6g6
r2q1rk1/pp1b3p/2n1pbp1/1B1p1nB1/3P4/2N2N2/PP1Q1PPP/R4RK1 w - -,g5f6
6k1/1b5p/6p1/pp6/3bNP2/1P2pKP1/4P2P/2B5 w - a6,c1e3
2B5/1P3pp1/2K4p/k7/1r3P2/6P1/7P/8 b - -,b4b5
5r1k/1r5p/3pN3/1p3p2/1N5q/2P1b3/1P2B1Pn/R2Q1R1K w - -,d1e1
r3kb1r/3b1ppp/pq1ppn2/1p6/3NP3/P1N5/1PP2PPP/R1BQR1K1 w kq -,c1e3
r2q2r1/pppb3k/5b1B/3P1P2/4B3/5R2/PP1Q3P/R6K b - -,g8g4
3rn3/rp2k2p/p1pNp1p1/2P1Pp2/RP1P1K1P/5P2/1P6/R7 b - -,e8d6
r1bqrnk1/1p1nBppp/p1p5/3pN3/3P4/2NBP2P/PP3PP1/2RQ1RK1 b - -,d8e7
1r4rk/3q1p1p/2Rb1p2/3PpP2/8/1p5R/1Q2N1PP/7K b - -,d6a3
rnb1k3/pp3pp1/2p2q2/2bp1r2/4n3/1PP1PN1P/PB3PB1/RN1QK2R b KQq -,b8d7
8/1pr3bk/p3r1p1/P2RP2p/8/2B2R1P/6P1/7K w - -,g2g4
8/1r6/2k1n2p/K4p1P/1BP1p3/8/7R/8 w - -,b4d2
5b2/p2Rpp1k/6pp/4P2n/3N1P2/2r2NP1/r6P/5RK1 w - -,f4f5
8/8/1p1p4/3Pbk2/1K6/p7/N7/8 b - -,e5b2
2rr2k1/1pq3pp/p7/P1p1p3/R2pPp2/1P1P1P1P/2PQ2P1/4R1K1 w - -,e1a1
2r2rk1/1p1bppbp/3pq1p1/1P2n3/4P3/2N1BP2/P2QB1PP/2RR2K1 w - -,c3d5
6k1/p5bp/pq4p1/3r1p2/8/1N2n3/PP3RPP/2R1Q2K w - -,f2f3
3rkb1r/1b3p1p/p4np1/4p3/1p5P/1N2BpN1/PPP5/R3KB1R w KQk -,e3g5
r3nrk1/1bp2p1p/1p4p1/p1q1p3/PP2P3/2P1NP2/3QBKPP/R4R2 b - b3,c5e7
r1bq1rk1/p3b1pp/2p2pn1/2p1p2Q/2N5/1P6/PBPPNPPP/R4RK1 b - -,c8e6
3r1rk1/3P1p1p/3Q2p1/p7/1p1RR3/1P5P/P1P2qPK/8 w - -,d4d2
4r1k1/4qp1n/3p1bp1/3P4/1Q2P1P1/1P1N3P/1B6/1K2R3 b - -,f6b2
r4rk1/bppq1ppp/p1npb3/4p3/1PP5/P3P1PP/1B1PNPB1/2RQ1RK1 w - -,g1h2
3r2k1/p2q1nbp/2p3p1/3r1p2/4pP2/1R1PP1PP/P1QB3K/2N2R2 w - -,d3d4
r3r1k1/p3npp1/1p3n1B/3p4/2qpP2Q/P1P2PN1/5RPP/5RK1 b - -,e7g6
6k1/1p1r1pp1/3p4/1N1Pp1qn/1P2P2p/5P2/2Q3PP/3R3K b - -,d7d8
r3r1k1/ppb2p1p/2p2PpB/5N2/2nP4/2P4P/qP1Q1P2/2KR2R1 b - -,c4d2
3r4/8/8/8/6KP/8/8/4k3 b - -,e1f2
r1bq1rk1/1pp1npp1/3p1n2/1P6/N2P4/BQ4P1/P4PB1/R1R3K1 w - -,a4c3
r4rk1/pbpp4/np2pq1p/3P1pp1/2P5/2Q1PN2/PP3PPP/2KR1B1R w - -,c3f6
8/5pkp/4n1p1/8/2P5/4N1P1/2r2K1P/8 w - -,e3c2
4k3/2q2p2/1b2pP2/1b1p3r/pP1P2N1/P3Q1Pp/2r1N2P/1R1RK3 w - -,e2f4
r1bqr1k1/p1pn1pb1/1p3npp/4p3/1PN1P3/2P5/P1Q1BPPP/R1B1NRK1 b - -,c8b7
5r2/1B6/1B4k1/PPP5/2K3p1/5P2/8/6b1 b - -,g4f3
8/4k3/pK3n2/7p/1P5R/r1P4P/8/8 w - -,c3c4
8/5p2/p3pkp1/1p6/1P1b1PKP/P7/8/3N4 w - -,g4g3
5qk1/1pQn1p1p/2pp2p1/4rP2/2P5/PP1B3P/5PP1/3R2K1 b - -,d7c5
rn1q1rk1/pb2bppp/1p1ppn2/8/2P2B2/P4NP1/1P1NPPBP/R2Q1RK1 b - -,b8d7
2r3k1/p3pp1p/2P3p1/1p6/1n1N1B2/q2bP3/P3QPPP/3R2K1 w - -,e2g4
5rk1/7p/4pbp1/2n5/3q1PB1/8/Qn4PP/1R3R1K b - -,b2d3
r2q1rk1/pbn1ppbp/1p1p1np1/3P4/2p1P3/P2BBN1P/1PP1NPP1/R2Q1RK1 w - -,d3c4
rn1qkbnr/pbpp1ppp/4p3/1p6/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,c7c5
6k1/p3q1b1/2p4p/3b2p1/1P1PN1Q1/P3P2P/6B1/6K1 w - -,g4c8
r4rk1/1b1qbppp/p2p1n2/4pP2/2N1P3/1PNQ4/P2B2PP/4RR1K b - -,d7c7
r3rbk1/1bqn1p1p/p2ppnp1/1p6/1P2PPP1/P1NB1N1P/2PB3K/R3QR2 b - -,f8g7
2rq1r1k/p2nb1pp/bp2Q3/2pp4/2pP4/1P3NP1/P4PBP/R1BR2K1 w - -,b3c4
2b1rq2/1p3nkp/1Pp2bp1/2Pp1p2/3P1B2/3B4/3QNPPP/R5K1 w - -,f4c7
8/7p/pN2kp2/n1P5/4p1PP/1p6/1K3P2/8 b - -,f6f5
8/p2R1pk1/2B1p3/2pnP1p1/2p5/P1P3P1/2r2P1P/6K1 w - -,c6d5
8/8/4p1k1/1p1pPp2/n1pP1P1B/1nP1K3/4B3/8 w - -,h4e1
2b2rk1/1p2nppp/2nb4/r2p4/P1pP3N/2P1B1P1/3N1PBP/R4RK1 b - a3,c8d7
rnb2rk1/pp3p1p/1np3p1/4b3/4PP2/2N1B3/PP2B1PP/3RK1NR b K f3,e5g7
7R/2r1b1k1/3pBpq1/p3p1p1/P3P1Q1/1P3RP1/5PK1/8 b - -,g7h8
rq3rk1/pb2bpp1/4p2p/3nP3/NpN2P2/1P1B4/P5PP/R2Q1RK1 w - -,d1g4
r1b2rk1/p5pp/nqp5/3ppp2/1PP5/P2BP3/2QB1PPP/R4RK1 b - -,a6c7
3r2k1/1b2r1pp/p2q4/2p2p2/3p1NnP/1P1N2R1/2PQ1PP1/3R2K1 b - -,d8e8
4k3/1p2r1p1/3R3p/8/P4KP1/7P/1P6/8 b - -,e8f7
2b1qrk1/1p3pb1/n1p3pp/2PPp2n/2N1P3/Q1N1B2P/5PP1/4KB1R b K -,c8d7
8/5pk1/1p2q1p1/2p1P2p/2PpNP2/3PnKP1/1Qp5/8 w - -,e4f2
r4bk1/2R2p2/3p4/Bp5R/1P2P3/5P2/1r4P1/6K1 b - -,a8e8
r1r3k1/pp2b1p1/q1n1b2p/4Pp2/1P1p1P1P/P2B4/1N1NPP2/R2QK2R b KQ -,a6b6
r2qrbk1/1p1b1p1n/2pp2p1/p1nPp1Np/2P1P3/2N3PP/PP3P2/R1BQRBK1 w - -,h3h4
r4rk1/ppqbn1pp/3b4/3pp3/2P5/1N2B2P/PP2BPP1/2RQR1K1 b - c3,d5d4
8/5p2/4pk1p/2P5/5PP1/3RPK2/2B5/2r5 b - -,c1c2
8/4bk1p/5pp1/1p2p3/2b1N3/2P2PK1/1B4PP/r7 w - -,b2a1
1n3r1k/rpN1q1bp/p2p2p1/2pQnp2/P4B2/4P2P/1P2BPP1/R4RK1 w - -,c7e6
8/3n2kp/q1b1ppp1/pNPp4/P2P1P2/1Q6/6PP/2N3K1 b - -,a6b7
3r2BQ/8/5pk1/2b2N2/8/1p6/4K3/2q2N2 b - -,c1d1
6k1/1r5p/5r2/1pp1p3/3p2P1/1P1P4/2P4P/5RK1 w - -,f1f6
8/2R5/6k1/5p2/4q1p1/1B4P1/P4PK1/8 w - -,g2h2
3r1rk1/ppq1bp2/3pb2Q/2p1n3/3NP3/P1N4P/1PP2PP1/3RR1K1 w - -,d4e6
8/8/8/P6p/6k1/R7/5r1p/7K b - -,f2f7
r4Rk1/pR4pp/4n2q/3pQ3/6P1/3BP2P/P4K2/8 b - -,a8f8
r1nq1rk1/pp2bppp/2n3b1/3pPN2/3P4/2N1B3/PP2B1PP/R2Q1RK1 b - -,e7g5
8/5pk1/N1bb2p1/1p1p1q2/1PnP4/P2R2P1/Q4PB1/5K2 w - -,d3f3
8/p7/2p3k1/b3P2p/P2P2p1/4n1P1/1B3K2/8 w - -,f2e3
3q3k/5r2/p2p1bQp/2p4N/1pP5/1P4PP/PB2r1K1/3R4 w - -,g2h1
r1bq1rk1/1p2ppbp/p1n2np1/8/P1B5/2N2N2/3B1PPP/1R1Q1RK1 w - -,f1e1
r2q1k1r/1p2bpp1/4b2p/p2p4/B2p4/P2P4/1PPN1PPP/R2QR1K1 b - -,e7f6
rn6/pb2r1k1/1pp3pp/5p2/8/2N2BP1/PP1RPP1P/3R2K1 b - -,b6b5
3r2k1/5pp1/2p2n2/1pPqN2p/pP3P1P/Pb3PP1/5Q2/4RBK1 b - -,f6d7
8/7p/6p1/8/5b2/7k/1B6/6K1 b - -,f4e3
rn1q1rk1/pbpp2pp/1p2p3/6b1/2PPpB2/P3P2P/1P1N1PP1/R2QKB1R w KQ -,g2g3
2r1r1k1/N2n2bp/1p4p1/2qn4/4p1PN/2P4P/PB2P3/R3QRK1 w - -,e1f2
2rqr1k1/1b3pbp/ppN1pnp1/8/2pP4/PP6/1B1NQPPP/1B1RR1K1 b - -,b7c6
5k2/3R4/1r6/6K1/5P2/8/8/8 b - -,b6a6
r1br2k1/1pq1bppp/p2ppn2/8/3NPP2/1PN2Q2/1PP3PP/R1B1R2K w - -,c1e3
5n2/5kp1/qpr1pnp1/p2p4/3P4/2B1PP2/PP4B1/K1RQ4 w - -,g2f1
8/6Q1/7P/8/4q3/k7/4K3/8 w - -,e2f2
r1bq1rk1/pp1nppbp/3p1np1/2p5/3PPP2/2NBBN1P/PPPQ2P1/R3K2R w KQ c6,d4d5
r2qk2r/pp1n1ppp/2p2n2/2bpp3/8/3P2PP/PPP1PPB1/RNBQ1RK1 w kq -,e2e4
3r1bk1/2qr1pp1/p2pp2p/2p1n3/N1P1Q2P/1P1N2P1/P2RPP2/3R2K1 b - -,e5c6
3r2k1/1bq1rppp/pp3n2/3pn1B1/3QP3/2N2B2/PPP3PP/3R1R1K w - -,g5f6
r3kb1r/p2npppp/3p4/qPpn3b/8/5N1P/PP1NPPPB/R2QKB1R w KQkq -,e2e4
r1bqk2r/1pp2p2/p1np1n1p/2b1p1p1/2B1P3/2NP1NB1/PPP2PPP/R2QK2R w KQkq -,d1d2
1r4k1/3p2bp/2q1n3/1pP1p3/1B1PQ3/6P1/5P1P/1R2R1K1 b - -,e6d4
r1b1k2r/1p3p2/p3p3/q1bpP1pp/4n3/3B2BP/1QPN1PP1/1N1RK2R b Kkq -,h5h4
1R1R1rk1/p4pbn/b2p2p1/3N4/4P1Pp/4B2P/P4KB1/3r4 b - -,f8d8
8/2p1k3/p3p1p1/1p1p4/1P1P1PP1/2PP2K1/2R5/7r w - -,c2a2
rnr3k1/1p1bppb1/3p1npp/1pp3B1/3P4/P1PBPN2/1P1N1PPP/R2R2K1 w - -,g5h4
7b/7k/8/7n/4K3/8/8/8 w - -,e4f5
5N2/3k4/3P2p1/3n1pP1/p6p/8/1K6/8 b - -,d7d6
3r1k2/ppp3b1/4Pppp/8/5PP1/6NP/PP1r1RK1/5R2 w - -,f4f5
5bk1/5p2/6p1/7p/r7/B3P1P1/5P1P/2R3K1 w - -,a3b2
6k1/3q1ppp/4p3/R2pB3/3Pn3/2rQP2P/5PP1/6K1 w - -,a5a8
r4r1k/ppq1p1bp/n1ppbnp1/5p2/PPPP4/2B2NP1/2QNPPBP/R4RK1 b - a3,a8c8
rr4k1/1bqnbppp/p2pp3/8/R1PNP3/1PB3P1/4QPBP/R6K w - -,f2f4
1r3r2/1q2ppbk/b1np2pp/p1pNn3/PpP1P2N/1B1P2B1/1PQ2PPP/R3R1K1 b - -,e7e6
r2q1rk1/1p1nppbp/p2p1np1/2pP4/2P1P3/2N4P/PP1B1PP1/R2QKB1R w KQ -,f1e2
5rk1/pp4bp/7r/2p5/2P2p2/1P1B4/1P4PP/1R3R1K w - -,b1e1
1r1r2k1/1p3p1p/2nqbppP/p7/3P4/4PN2/PR1QBPP1/5RK1 w - -,f1b1
3q2k1/3b1pp1/1p1p1nn1/3Pp3/1P2P3/5PP1/5Q2/2B1NBK1 b - -,g6e7
5rk1/8/8/2q2P1Q/2np1pP1/p6P/P3R1K1/8 w - -,h5g5:h5g6
8/6p1/6Bp/4k2P/r2N4/4K3/8/8 w - -,d4f3
kb6/6R1/8/1K6/P7/8/8/8 w - -,b5b6
1r4k1/2N1b2p/2n2p2/8/q1p4p/2B5/1P2QPP1/3R2K1 w - -,e2e6
1R6/P4R1p/3kp3/4b3/r6P/5b2/2P2p2/1K3N2 w - -,c2c3
r1b1k1nr/pp4pp/2n2p2/1QPq4/3p4/5N2/P2PBPPP/RN2K2R w KQkq -,e1g1
k1r5/1p6/pB1Q4/5p1p/2R1p2P/8/2P2P2/4K1q1 w - -,e1d2
R7/5kpp/3p4/4p3/1p1p4/2b2P2/4KBPP/8 b - -,b4b3
r1r2bk1/1p3q1p/p3p1p1/3pP3/b2B1PQ1/3BP3/PP5P/2RR2K1 w - -,b2b3
r1n1k2r/pp4pp/1n1b1p2/1P2pb2/2B5/4PNB1/1P1N1PPP/R4RK1 w kq -,c4e2
k1qN4/p7/Pp2pp2/1Q1P2n1/3b2P1/8/1P2N3/K7 b - -,d4c5
2rq2k1/p2bppb1/3p1np1/7p/2p1PB1P/5P2/PPPQN1P1/1K1RR3 b - -,d7e6
5rk1/p4p1p/6pb/8/2PP4/1P2P1P1/P1r2P2/R4RK1 b - -,f8d8
3qr1k1/r6p/1p3b1B/2n2P2/1P1p3p/5Q2/6P1/1BR2RK1 b - -,c5d7
r4rk1/3qn1bp/1pnpb1p1/p1p1p3/4PP2/1PP1B1P1/P2QNNBP/3R1RK1 b - -,a8d8
3b1rk1/3q1ppp/p2r1n2/2p5/3p4/1P3B2/P1PBQPPP/R3R1K1 b - -,d8c7
2kr3r/p3b1p1/2p5/q2p1Ppp/3BpPn1/2N4Q/PPP4P/2KR1R2 w - -,d4g7
8/8/1p1b2p1/p2p1kPp/P2P1p1P/1P1N1P2/3K4/8 b - -,d6b4
2rr2k1/pbqnbppp/1p2pn2/2pp4/2P5/1PN1PNP1/PB1PQPBP/2RR2K1 w - -,c4d5
r1bq1rk1/ppp1bppp/2n2n2/8/2Pp1B2/3P1NP1/PP3PBP/RN1Q1RK1 b - -,f6d7
8/5pbk/4n3/B1p1p2p/P1Q1P1p1/2PN2PP/5PK1/3q4 w - -,h3h4
r2q2k1/2p1R1bp/p1np1pp1/8/Pp1P4/5N2/1PP1QPPP/R1B3K1 b - -,c6e7
2r3k1/p6p/3p2p1/2p2q1n/1P2p2Q/P2pP3/1B1P3P/R5K1 w - -,a1f1
2r3k1/p4pbp/4b1p1/1pqp4/3N4/2P1P3/P2Q1PPP/1BR3K1 w - b6,a2a3
r2qk1nr/pp2ppbp/2n3p1/1B1pP3/3P2b1/5N2/PP3PPP/RNBQK2R w KQkq -,e1g1:b5c6:b1c3
8/5kp1/7p/7P/3B1KP1/r7/8/8 b - -,a3a4
r2qr1kb/3bpp1p/p1np1npB/2p4P/2P1P3/2N2PN1/PP1QB1P1/2R1K2R b K -,c6d4
7k/7p/p2p3Q/4p3/2P1P2P/3P2P1/p5K1/5r2 w - -,g2f1
3R4/1p3nk1/2r3p1/p3p1q1/4P2p/1P5P/PN2Q1P1/3R2K1 b - -,f7d8
3r2k1/pp3ppp/2bNp3/4P2P/1P1P3n/8/P4KP1/R4B2 b - -,g7g6
8/1b3k2/5p2/2B1pBp1/7p/4KP1P/6P1/8 b - -,b7a6
r3r1k1/pp4b1/2p1bn1p/2q1p3/6pP/2N1B1P1/PPP2PB1/R2R2K1 w - -,e3c5
8/8/1Q1kqpp1/7p/7P/1p4P1/5P2/6K1 b - -,d6e5:d6e7
r1br2k1/4q1bp/p1np1np1/1pp2p2/2PPp2P/NP2P1P1/PB1QNP2/3RKB1R w K b6,a3c2
r1bq1rk1/pp2ppbp/2np1np1/2p5/3PP3/2PB1N2/PP1NQPPP/R1B2RK1 b - -,c5d4
r4r2/1pqbppkp/p2p1np1/8/4PP2/1NNn3P/PPPQ2P1/R4RK1 w - -,c2d3
8/p3r3/R4p2/P4k1p/7P/5P2/P4K2/8 w - -,a2a3:a6c6
rn1q1rk1/pb3ppp/1p2pn2/2pp4/2PP4/P1PBPN2/2Q2PPP/R1B2RK1 b - -,b8d7
6k1/1p4p1/2bqpr1p/p2p1r2/P1P3R1/1P1Q1P1P/2B1R1P1/7K w - -,d3d2
8/Q7/8/1qp5/2k5/P4K2/8/8 w - -,a3a4
8/6k1/1R1P1np1/7p/6r1/8/1P2N1P1/7K b - -,g4e4
r1r1n1k1/2q2p1p/1p1pp1p1/pbn5/2P1P3/2P1B2P/P2NQPP1/1R1R2K1 w - -,c4b5
5rk1/2q2p1p/p3p1p1/4PnbP/1p2Q3/8/PPP1B3/1K3R1R w - -,h1h3
7r/p2k1ppp/1p1b4/n2Pp3/r7/P1P1N3/5PPP/RRB3K1 b - -,h8c8
2kr1b1r/pp3ppp/4p3/2n1Pb2/5P2/1BN1B3/PP4PP/R3K2R w - -,h2h3
4rr2/1p1q2k1/2pp3p/5p1Q/6n1/1BP3P1/PP3P1P/3RR1K1 b - -,g4f6
8/5k2/1p4pp/pP1nB3/3PK3/1P6/7P/8 b - -,f7e6
5rk1/4ppb1/p2p3p/q2P4/2pr1Pb1/1PN3R1/P1Q1P1BP/2R3K1 b - -,d4f4
8/pP1n1k2/1p1pp3/6pB/1P3P2/P2K4/1B6/6b1 b - -,f7e7
8/4b3/6p1/8/2kp1K1P/8/8/4B3 w - -,f4e4
r1bq1rk1/pp2npbp/4p1p1/3n4/3P4/3B1N2/PP1BNPPP/2RQ1RK1 w - -,d2g5
2r5/5Rk1/pp1p4/2pPb1N1/P1P3K1/8/8/8 b - -,g7g6
5rk1/2n3pp/2p1p3/8/P1PP1r1P/P6B/4K3/5R1R w - -,f1f4
r1bq1rk1/pp2npb1/3p2pp/2p1p3/2P5/2NP2P1/PP2PPBP/R2QNRK1 w - -,e1c2
3k1r1r/3b2R1/2p5/p1PpP3/3P1P2/1B6/PP6/2K3R1 b - -,f8f4
r5k1/pb1n2b1/4p2r/1p1p2NB/2pq4/6B1/PP4PP/R2Q1R1K w - -,h5f7
3r1r2/1Qp1k2p/p1p2p2/4qPp1/4P3/P5R1/1PPN1B2/4K3 w - -,b7c6
