8/8/Q5pk/P4p2/1P6/4P1P1/2q5/6K1 b - -,c2b1
1r4k1/2q2p1p/4p3/p5p1/PbN3n1/1nB1P1P1/QP3P1P/3R1BK1 b - -,b4c5
8/6kp/3p4/1p6/1K3P2/8/3Nb3/8 w - -,d2e4
rn1qkb1r/1b1n1ppp/p3p3/1pppP3/3P4/2PB1N2/PP1N1PPP/R1BQK2R w KQkq -,e1g1
3r1rk1/5ppp/pN2bn2/2q1p3/P3P3/3Q4/B4PPP/RR4K1 w - -,a2d5
5Q2/q6k/7p/p4N2/2b1p3/6P1/4nP1P/5K2 w - -,f8h6
8/p1r1pPbp/6pn/2N5/2k5/4BP1P/5P2/1R4K1 b - -,c7c5
2r1r3/p4q1k/2PBbnpp/PPQ2p2/4pP2/2N3P1/6BP/4R1K1 w - -,e1b1
r7/p1p2k1p/1p1b1p2/1P3bp1/2PN4/2B5/1P3PPP/R5K1 b - -,f5d3
r2r2k1/1pq1npb1/p3b1pp/n1p1p3/P3P3/N1PPB1P1/2QN1PBP/1R3RK1 w - -,f1d1
2r1k2r/pp1b1ppp/1q1bpn2/3pN1B1/3P4/P1N1P3/1PQ2PPP/R1R3K1 w k -,g5f6
r6r/3kbppq/1nn1p3/3pP1B1/p1pP4/2P2PPN/RP2Q2P/5RNK b - -,f7f6
2bn4/1p1k3p/p3p1p1/PPKpPp2/3N1P2/3BP3/6PP/8 b - -,d7c7
r2r4/p3kppp/2b1pn2/2p5/2P5/2N2P2/PP3KPP/1BRR4 b - -,a8b8
rn1qkb1r/pbp2ppp/1p2pn2/3p4/3P4/1P1BPN2/P1PN1PPP/R1BQK2R b KQkq -,b8d7
2kr3r/ppq2p2/2pbb1pp/3p4/NP1PnP2/3B3P/P1PQN1P1/R4RK1 w - -,d3e4
r1b1r1k1/p1pnqpp1/1p1p1n1p/8/2PPNP1B/2PB4/P1Q3PP/R4RK1 w - -,a1e1
r1bqkb1r/pp3ppp/2n5/1B1p4/3Qn3/2N2N2/PP3PPP/R1B1K2R w KQkq -,e1g1
2rq1rk1/1p2bppp/1n1pb3/4n1P1/p3PB1P/2N5/PPPQB3/1KNR3R w - -,c3b5
r1b1r1k1/pp2qp1p/6pB/3B4/2PbpQ2/1P4P1/P4P1P/2R2RK1 b - -,c8f5
rn3rk1/pb3pb1/1ppppqpp/3P4/2P1P3/P1NB1N2/1P3PPP/R2Q1RK1 w - -,a1c1
1r3qk1/3r1p2/6p1/1P1p2Qp/R2P4/6P1/5PP1/1R4K1 w - -,a4a6
rnbq1rk1/pp2ppbp/2p2np1/8/2QPPB2/2N2N2/PP3PPP/R3KB1R b KQ -,c8e6
8/5k2/8/2bp3P/8/1PBK3P/8/8 b - -,f7g8
r1b2nk1/pp4rn/3p4/3Pp1PB/1P2Pp2/7N/P4NP1/2R1R1K1 b - -,c8h3
2r3k1/1b4p1/6Pp/1p2p2P/pPq1p1R1/8/1PP2B2/1K1Q4 b - -,b7d5
1q1r2k1/1br1bppp/pp1Np3/4P3/1n1N4/3Q3P/PP3PPB/R2R2K1 w - -,d3b3
r4rk1/1b1nqpbp/pp1ppnp1/8/2PNP3/P1N1BB2/1PQ2PPP/R2R2K1 b - -,a8c8
5rk1/1bqnrpbp/p2p1np1/P1pP4/R4P2/2N1NB2/1P4PP/2BQ1RK1 b - -,f6e8
8/8/pB6/Pb2pkpp/1P1p4/6P1/7P/4K3 b - -,f5e4
1rnr2k1/pp3p1p/2p1pbp1/8/1P1P4/PN2PKPP/1B3P2/2RR4 w - -,e3e4
2qr2k1/4bp1p/r3p1p1/pbp5/4B3/1P2B1P1/P1Q1PP1P/2R2RK1 w - -,c2b2
8/5r2/8/1p5p/2bR1P2/2k1K3/8/3R4 b - -,f7e7
r1bqr1k1/pp1n1pp1/2pb1n1p/8/2BNP3/2N4P/PPQ2PP1/R1B1R1K1 b - -,d7e5
8/1p6/p7/P3B3/5n2/5kp1/1P6/6K1 w - -,e5f4
r7/pp2nppp/8/2kb4/3N4/8/PP1R2PP/R5K1 w - -,a1c1
rnbq1rk1/pp2ppbp/3p1np1/2p5/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 w - c6,h2h3
6k1/3n1pbp/3p2p1/1p1P1P2/1Pp5/2P2Q1P/1q1B2P1/rB1R3K w - -,f5g6
1rbk3r/5p2/p2Np1p1/n2pP2p/2p2PP1/P4N1P/1PP5/KR1R4 b - -,d8e7
3k4/3r1N2/4pb2/2B4p/p7/8/P3K3/3R4 b - -,d8c7
r1bqrnk1/pp3pbp/2pp1np1/1P2p3/2P5/2NP2P1/P2NPPBP/1RBQ1RK1 b - -,c6c5
3r4/2q1k2p/4p3/p1P1p1p1/4Pp2/1P5P/P4QP1/2R4K b - -,c7c6
2q5/5bk1/6p1/5p1p/1p3P1P/2b1PBP1/2Q2K2/2N5 w - -,f3d1
rnbqkbnr/3p1ppp/p3p3/1p6/3NP3/2N3P1/PPP2P1P/R1BQKB1R b KQkq -,c8b7:d8b6
2r2rk1/pq1n1pp1/1ppRp2p/4P3/2Q2P2/6P1/PPP3BP/2K4R b - f3,d7b8
r3r1k1/pbnQ1ppp/5q2/b1p5/2p1P3/P5P1/1P2NPBP/1RB2RK1 w - -,e2c3
3kR3/8/6P1/3r4/5p1r/4R3/5PK1/8 b - -,d8d7
3k4/R4p2/N2p2p1/8/1P6/2Pn3P/6PK/4r3 b - -,e1a1
r2qkb1r/pp3ppp/2nnp1b1/3p4/3P1B2/2P3N1/PP2BPPP/RN1QK2R w KQkq -,b1d2
2r3rk/pq3p1p/2p1p1pB/3n4/P1RP1b2/1P3Q2/5PPP/5RK1 w - -,h6f4
4n2k/1p2pr1p/p3b1p1/8/2r1N1P1/1N3P2/PPP4R/1K1R4 b - -,f7f8
3qr2k/1p5p/p6Q/4p3/2P5/8/PP4bK/R4R2 w - -,f1f7
2k1qr1r/pb4p1/1pn1p2p/3pPp1P/1PpP3b/P1P1Q1P1/4BP1N/1R2R1K1 w - -,g3h4
5r2/6kp/1p4p1/2p5/P1P1n3/1K2B2B/P4P1P/3R4 w - -,d1d7
R7/6pk/8/3n4/5P1P/R6K/r3rP2/8 b - -,a2a3
8/R7/1n1r4/2k5/2p5/2K3PP/5P2/8 w - -,a7a1
8/8/3k4/1p1Pp1p1/1K2P3/P4B1b/8/8 w - -,b4b5
2r2k2/4b1p1/2rp1pPp/R3pN1P/1p2P3/5P2/PPP5/1K5R w - -,a5a7
3rr1k1/1bqnbpn1/pp1pp1pp/8/1PP1PP2/P1N2N2/1B2BQPP/3R1R1K b - -,d7f6
2r5/1p2ppk1/p5pp/2n5/P7/R1P1PN1P/5PP1/6K1 w - -,f3d2
3K2k1/R7/P4r2/7P/8/8/8/8 w - -,d8c7
6k1/4bp2/4p1p1/4Nn2/3PQP2/2P3P1/qr4K1/2B2R2 w - -,c1b2
5Bk1/3q1p2/1p3np1/rN1p3p/P2P4/1Q5P/5PP1/2R3K1 b - -,g8f8
8/5k2/8/5p2/4P3/R4P2/5K2/1r6 w - -,a3a7
r3r3/1bnq1pkp/1p1p2p1/p1pPp1N1/4P3/1P1P2P1/P2Q1PBP/2R1R1K1 b - -,d7e7
8/8/8/2b5/8/p1pk4/8/NK6 b - -,d3d2
r2k3r/p2b1ppp/2pR1n2/8/5p2/2N5/PP2PPPP/4KB1R b K -,d8e7
r4r2/pp2qnkp/2pp1pp1/5P2/2P1P1Q1/2N3R1/PP4PP/5RK1 w - -,c3e2
7k/5rb1/p2p1npp/2pPpp2/q1P1P3/PN1Q1P2/3B2PP/1R4K1 b - -,f5e4
2k5/1p1r3p/3p3R/3K4/P7/1P6/8/8 w - -,b3b4
8/2p5/3p1kpp/3P4/1p1b1P2/3PNK2/P4P1P/8 b - -,h6h5
r1qrb1k1/p4pbp/1pnppnp1/8/2P1P3/1NN1BP2/PP2BQPP/2R2RK1 w - -,f1d1
5b2/2kn4/p1N5/2pP1pPp/2P1n3/6P1/7P/4RBK1 w - -,g5g6
1qr1r1k1/p5p1/3bpn1p/3p4/N3p3/1P2P2P/PB2QPP1/2RR2K1 b - -,d6h2
rnbq1rk1/4bppp/p2ppn2/8/Pp1NP3/2NB4/1PPB1PPP/R2QR1K1 w - -,c3a2
6k1/5p1p/1p1qpb2/1P3p2/2P5/1Q3NP1/1R3PKP/2r5 w - -,b2d2
r4rk1/6p1/pp1p1p2/2pP2q1/P1B1PQbp/2P5/1P4PP/R4RK1 b - -,g5f4
r4r2/1pp1qkbp/3p1n2/p1BPp1RP/2P1b3/2N2N2/PP3P2/R2QKB2 b Q -,e4f3
r2qk2r/1b1n1ppp/pp1bpn2/8/P1BpP3/2N2N2/1P2QPPP/R1B2RK1 w kq -,f3d4
rnbqk2r/ppppbppp/3n4/4Q3/8/1BN5/PPPP1PPP/R1B1K1NR b KQkq -,e8g8
6k1/5Nr1/p1q1P3/3p3Q/2pb3p/5R1P/PP3P2/4K3 b - -,c6e6
2r1q1k1/pp3rbp/3B2p1/3npp2/1QP5/4P1PP/PP6/R2R2K1 w - -,d1d5
rn1r2k1/p3qppp/bp2pn2/3pN3/3P4/2N3P1/PPQ1PPBP/R2R2K1 b - -,f6d7
8/8/p4k2/1p3p1p/6q1/5RP1/PPPKB3/8 w - -,a2a3
2r1r1k1/6pp/p1q1p3/1pP2p2/3PQ3/5P2/P4P1P/B1R3K1 w - f6,e4e3
3r1rk1/1pp2pp1/1P2qn1p/4p3/p1N1P3/2PPQ3/P5PP/R4RK1 b - -,c7b6
r4rk1/pp1nbppp/2p1pn2/5b2/3q4/1QN3P1/PP1NPPBP/R1B2RK1 w - -,b3b7
1r3r2/p4pkp/b2pp1p1/2p5/2P1PP2/R2P2P1/n5BP/3N1RK1 b - -,a2b4
r1bq1bk1/ppp2r1p/4p1PQ/3pPp2/5B2/3PPN2/PP3PP1/R3K2R b KQ -,f8h6
r2qkb1r/p2p1ppp/1p2pn2/8/2Pp4/2N3P1/PP2PPKP/R1BQ1R2 w kq -,d1d4
6k1/pp3ppp/8/1q2p1b1/2P5/1P1r1P2/P5PP/1K2NR2 w - -,c4b5
r1bqkb1r/pp2ppp1/5n1p/2pn4/7B/2N2N2/PPPQ2PP/2KR1B1R b kq -,e7e6
1q1r1rk1/1b2bpp1/p1n1pn1p/1p6/1P1P4/P1NBBN1P/4QPP1/2RR2K1 b - b3,e7d6
r3r3/p1p2p1k/2p4p/Q2b4/3N2p1/2P1q1P1/P4RPP/5RK1 w - -,a5c7
rr4k1/1p3pp1/pQp1b2p/Pq6/R7/4PB1P/1P1R1PP1/6K1 w - -,a4b4
5bk1/8/7p/2p1p1qn/2P3Q1/3PN1P1/5B2/6K1 b - -,h5g7
8/6k1/p3R1p1/1p5p/2pP3P/2P2rP1/PP6/6K1 w - -,g1g2
r1bqr1k1/ppp2ppp/1b1p1n2/4p3/NP1NP3/P2P4/2PBBPPP/R2Q1RK1 b - -,b6d4
r1b1k2r/2qp1ppp/p3pn2/1p2n3/1b2P3/1NN1BP2/PPPQ2PP/2KR1B1R w kq b6,d2e1:d2f2:d2d4
5r2/2q1ppk1/1pN2np1/1Pn4p/2Q5/6P1/4PPBP/3R2K1 b - -,f8a8
8/1r4k1/6pp/pB1N1p2/P7/4R1P1/1r3PKP/8 w - -,e3e6
2r2rk1/1bq1b2p/pp1pppnR/6p1/4P1P1/1PNQ4/PBP2PB1/4R1K1 w - -,e4e5
1rbqk2r/1pp1bppp/p4n2/3P4/8/2NQ2P1/PP3PBP/R1B2RK1 b k -,e8g8
r1b1qr1k/pp4p1/n1p2b1p/2P1p3/1P2P3/PQ4PN/1B4BP/R4RK1 b - -,a6c7
3rr1k1/pp1n1ppp/2bq4/P1p5/4PP2/2PBB3/2Q3PP/R3R1K1 b - -,d7f6
rnbq1k1r/3nN1pp/3pQ3/pB6/P3P3/4BP2/1P4PP/R3K2R b KQ -,d8e7
8/5p2/5k2/8/5KPP/8/8/8 b - -,f6g6
8/6p1/2R5/1p1r1p1k/3N4/4B1PK/5P2/8 w - f6,d4f5
8/5p2/p7/1p2P2p/1Pp3k1/P3K3/6b1/4B3 b - -,h5h4
r3r1k1/1bq1bpp1/p2pp2p/1p1n4/3P1B2/2P2N1P/PPBNQPP1/3RR1K1 b - -,d5f4
1r5k/1p4bp/p1p1r3/5n2/PP3n2/1N2N1P1/2R2P1P/1R2B2K b - -,f5e3
3r3r/1b1nk1b1/1p5p/p1p3p1/P4p1P/NR3P2/1PP1BBP1/4K2R w K -,e1g1
r5k1/pp1Nq1p1/2n1pr2/3p1n1p/3P3P/P4N2/1P2BPP1/2RQ1K1R b - -,e7d7
4r1k1/2R5/3r1p2/p4PpP/1p6/5K1P/P4N2/2R5 b - -,a5a4
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 b - -,c8b7:d7d6:d7d5:f8e8
r1b2rk1/2q1b1pp/p3pn2/np1p4/5P2/P2BBNQ1/1PP1N1PP/R4RK1 w - -,b2b3
r1bq1r1k/pp4bp/2n2np1/3pp3/6P1/2P1BN1P/PPQNBP2/R3K2R b KQ -,c8e6
r2qk2r/pp1bbppp/2n1p3/1B1nN3/8/2N5/PP1P1PPP/R1BQ1RK1 w kq -,b5c6
r3k2r/pbq1bppp/1pn1pn2/2pp4/4P3/1P1P1NP1/P1PN1PBP/R1BQR1K1 w kq -,c1b2
r1bq1rk1/pp3pbp/2np1np1/2p1p3/4P3/2PP1N1P/PP3PP1/RNBQRBK1 b - -,a8b8:d6d5
6k1/pQ4b1/1p4p1/6q1/8/5P2/P4P1P/2r1R2K w - -,e1c1
4r1k1/1Q5p/6q1/p1pR2p1/P4p2/6B1/5PPP/6K1 w - -,d5d1
4n3/1R4kp/3pb3/1P1Nppp1/r1B5/5PP1/4PK1P/8 b - -,g7f8
8/3Bk1p1/1n2P2p/3pP3/3P2K1/7P/1b3B2/8 b - -,g7g6
2Rb1k2/8/8/1B3p1p/P4PbP/2N5/3r4/6K1 w - -,b5e2
r1r3k1/p2n1ppp/1p2pb2/5N2/2P5/1P3KP1/PB3P1P/R3R3 w - -,b2f6
8/1k4pp/4R3/2r1p3/4P3/2K4P/6P1/8 w - -,c3b4
5rk1/5pbp/p2p2p1/qP1P4/4p3/1QN1PB2/4N3/4K2R w K -,f3e4
r2q1k1r/pppnn1b1/3pB2p/3Ppp1Q/2P5/2N5/PP3PPP/R1B1K2R b KQ -,d8e8
3rrnk1/pb1qbpp1/1pn1p2p/2ppP2P/2P2B2/3P1NP1/PPN1QPB1/R3R1K1 w - -,e1d1
r1b1kb1r/pp2pppp/1np2nq1/8/2p1P3/N5PP/PPQP1PB1/R1B1NRK1 w kq -,d2d3
r1bq1rk1/4n1bp/ppn2pp1/2pp4/4NB2/P1NP4/BPP2PPP/R2Q1RK1 b - -,g8h8
rnbq1rk1/p3bppp/1p1ppn2/2p5/3PP3/2P2N2/PP3PPP/RNBQRBK1 b - d3,c8b7
2r1r1k1/5np1/R1pB1p1p/2P5/1P1Pp1P1/7P/4P3/R5K1 w - -,d6g3
8/3k1p2/2pBb1p1/1p2P2p/2r2P2/P3K1P1/3R3P/8 b - -,e6d5
6b1/6k1/1p6/6N1/8/rn2P1PP/6B1/1R4K1 b - -,b6b5
3rkn2/p4p2/1p2p1p1/P3P2P/q2r1PN1/3Q3R/7P/3R2K1 w - -,g4f6
8/1N3ppk/3R3p/p7/P7/1n3P1P/4r1P1/6K1 w - -,d6b6
rnbqk2r/ppp1ppbp/6p1/6B1/3P4/2P2N2/P3PPPP/R2QKB1R b KQkq -,c7c5
3k4/3b4/p7/1ppPQ3/4N3/1P6/P3qPK1/8 w - -,e5f6
R7/1r3p2/4k1p1/1p3p1p/1P6/P5P1/6PK/8 b - -,e6f6
r1bq1rk1/pp2n1pp/4pn2/2pp4/3P3Q/P1PB1N2/2P2PPP/R1B1K2R b KQ -,c5c4
8/1p6/3p1nk1/P1q1p3/4PP1p/3B3P/3Q4/6K1 w - -,d2f2
r1b2rk1/p1q2ppp/2pb1n2/3p4/8/P1NQ3P/1PP1BPP1/R1BR2K1 b - -,a7a5
2Rn4/3P4/1r1k1bp1/2NBp3/4P2p/1P1K4/6PP/8 w - -,d3c4
8/p4B2/1k3p2/1PpKp1p1/4P1P1/5P2/8/8 b - -,b6b5
r1bqk1nr/pp1n1p1p/2pp2p1/4p3/4PP2/2NP2P1/PPP1N1BP/R1Q1K2R b KQkq f3,h7h5
r4r2/2p1b1k1/np3ppp/3Pp3/1PP1P3/2B5/2B1N2K/1R3R2 w - -,e2g3
4n1k1/6p1/2p4p/p1Pp1p2/Pp3P2/6B1/1PP3PP/1K6 w - -,g3h4
r2q1rk1/ppp2ppp/2bb1B2/4Q3/8/2N2N2/PPP2PPP/2KR3R b - -,d6e5
r1bq1r2/4bpk1/1n1p2pp/p1pPp1n1/1pP1P1P1/3BB1NP/PP1NQP1K/R5R1 b - -,f8h8
6rr/kb2np2/1q2p2b/1p1pPp2/pPpN1P1P/B1P5/P2PK1NQ/1R3R2 w - -,g2e3
8/3n4/1p2bp2/p1p1k1p1/2P1PnP1/PPN2PN1/4BK2/8 w - -,e2f1
8/8/8/p1p1k3/B1P2n2/PP2K1p1/8/8 w - -,b3b4
8/1kBK4/6R1/8/8/8/1r6/8 b - -,b2d2
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P3/2P2NPP/PP1P1PB1/RNBQR1K1 b - -,c6e5:d8c7
8/pp2rk1p/5pp1/8/P1R3P1/5P1P/1P3K2/8 w - -,h3h4
8/2p5/3kpr1p/3p3R/1r1P1P2/1P1RK3/7P/8 w - -,d3c3
5k2/3n3p/p2bp1p1/1p1p1p2/1B1P4/1P1NPP1P/P4KP1/8 b - -,f8e7
1r1rn1k1/2p2p1p/6p1/pPR2n2/2Pp4/P2P4/2N2PBP/4R1K1 b - -,b8b6
8/8/pp6/2p2K2/P1P5/4k3/4P3/8 b - -,e3e2
1Q3b2/pp3q1p/b1p3k1/5p2/5P2/7P/PB3PBK/8 w - -,b8e5
1qrnnrk1/3bpp1p/p2p2pb/1p1PP3/3B4/1NNB4/PPR2PPP/3QR1K1 w - -,c2e2
8/8/N7/1p3k2/8/1PP5/P2n3r/K1R5 b - -,f5e4
r2qnrk1/3nbppp/3pb3/p3p1P1/1p2PP2/1N2B3/PPPQN2P/2KR1B1R w - -,c1b1:f4f5
r1bq1rk1/p3bpp1/2p4p/n2np3/8/3B2N1/PPPP1PPP/RNBQR1K1 b - -,d8c7
r4rk1/pp1b1ppp/2nqp3/2Pp4/8/2PBP3/PP1N1PPP/R2QK2R b KQ -,d6e7
2r1r1k1/p2b1pp1/1p4np/3Pp2R/2P1B2P/8/P4PP1/2B1R1K1 b - -,d7g4
6k1/3R2pp/1p2rp1n/1R6/P4P2/6P1/1P5P/6K1 b - -,h6g4
8/8/3KB3/5R2/8/6k1/8/4r3 b - -,e1e2
2R5/1r4p1/3k3p/1b2p3/3p1n2/P4P2/1P1R2PP/6K1 w - -,c8d8
6k1/2qb1p1p/3bpPp1/1p4P1/4Pp2/1B1P3Q/1PP1N2P/6K1 b - -,e6e5
