3r3k/5R2/5K2/7P/4B3/8/8/8 b - -,d8d6
r1nkr3/1p1qbR2/2p5/7p/p2P3P/2N2P2/PPPQ2P1/2K1R3 w - -,d4d5
6k1/6p1/7p/8/1Qnq3P/5PP1/1RP1r2N/7K w - -,b2b1
5qk1/4r2p/3p2p1/3P4/Q4p2/4nB1P/7K/2R5 w - -,a4b4
5nk1/r4p1n/1rb4p/pp1pPPp1/2pP2P1/P1P3B1/3NBK1P/RR6 w - -,b1b2
1q6/6pk/Q2b1p1p/4p3/8/2P2P1P/1P4P1/6BK b - -,b8b2
3k1r2/4n1p1/p3Rq2/1p1p4/2p2BQp/8/PP3KPP/3R4 b - -,f6f4
2r2rk1/1b3ppp/p3pn2/2b5/Pp3B2/1B1R1P2/NPP2PKP/R7 b - -,f6d5
8/8/2n1kp2/6pp/4P2P/p4PK1/N7/8 b - -,e6e5
2kR1r2/1pq5/2p5/p3p1Pp/PnP3p1/2N1R3/1P2QPP1/6K1 b - -,c7d8
8/pp1n1pp1/2k1pnp1/3p4/N2P4/3BP2P/PP2KPP1/8 b - -,a7a6
r3r1k1/1p1nqppp/2pbpn2/p2p3b/2P1P3/PP1P1NP1/1BQN1PBP/R3R1K1 b - e3,d5e4
8/1p1kb2p/p7/1P1p1p1P/2qPpB2/Q3P1P1/5PK1/8 w - -,b5a6
4r3/5k2/1R3n1P/p1pP4/1pP2K2/1P2p3/1P2B3/8 w - -,f4f5
2b5/nq3pk1/2pQ3p/1p2N3/1P1PBp2/2P4P/6P1/6K1 b - -,c8e6
r2qnrk1/2pb2bp/1p1p2p1/p1nPp1p1/2P1P2P/2N1BPN1/PPBQ2K1/R4R2 w - -,h4g5
r1bqk2r/1p3ppp/p1nbpn2/2pp4/P3PB2/N1PP1N2/1P2BPPP/R1Q2RK1 b kq -,d6f4
7k/2p2qp1/1p3r1p/p1p5/2P1QP2/1P3NP1/P6P/6K1 w - -,f3e5
r1bqk2r/ppp1bppp/2np4/8/5B2/2P2N2/PPP2PPP/R2QKB1R w KQkq -,d1d2
rn1qr1k1/1p3ppp/2pp1n2/p3pb2/2P5/P1QPP1P1/1P2NPBP/R1B1K2R w KQ -,e1g1
2r5/3bk3/4pp2/1p1pPp2/3K1P1p/2PB4/6PP/6R1 w - -,g1a1
Q2b1rk1/p4ppp/2n2nb1/q2N4/2B5/P3PpBP/1P3PP1/3R1RK1 b - -,f3g2
1rr3k1/4p1bp/6p1/R1P2p2/1P2N3/4P1P1/7P/1R4K1 w - f6,e4f2
6k1/2q2p1p/pp6/2r5/8/1B3P1P/P3Q1P1/7K w - -,h1g1
rn2kb2/p2q1ppr/1p2p2p/2ppP2P/3P1P2/2P3N1/P1P3P1/1RBQK2R w Kq -,d1d3
5rk1/3n1ppp/1q6/3Pp1b1/6P1/4PB2/PP5P/R1B1R1K1 b - -,d7f6
rq2k2r/1b1p2p1/1P1bpp2/4n3/1P1NP2p/6P1/2QBBP1P/2R2RK1 b kq -,h4g3
4b3/4k1pp/1r2p3/1p1pP2P/7R/2PBK1P1/1P6/8 b - -,h7h6
1rbq1rk1/1pn1ppBp/p2p1np1/2pP4/P1P1P3/2N4P/1P1QBPPN/4RRK1 b - -,g8g7
r3k2r/1ppqnpp1/p2p1n1p/4p3/4P1bN/P1NPPQP1/1PP3BP/R4RK1 w kq -,f3f2
8/4k1p1/1p4p1/1Pp1PpP1/P1B3K1/8/3b4/8 w - f6,g5f6
R7/7p/8/P2nkpp1/2pr4/6P1/4BK1P/8 b - -,c4c3
1b6/1p1k1p1r/p1p1p1p1/2Pn3r/1P1PBPp1/2B3P1/1P2RR1P/6K1 w - -,e4d3
5rk1/p1b1q3/2b3p1/2p1pp1p/1PP1p3/P1B1P1P1/4QP1P/3R1BK1 w - -,b4b5
5k2/5p2/r1p1r1p1/1pRp3p/1P1P3P/4P1P1/1R2KP2/8 w - -,c5c2
8/5kp1/p4n1p/1p6/2n5/P1Pr4/B4P2/2B1RK2 w - -,a3a4
8/4pk1p/1p2p1p1/2b4P/2P5/4P1P1/1R2BPK1/2r5 w - -,h5g6
2k5/pp3bpp/2p2p2/5PP1/1nprP3/8/PP3N1P/2K2B1R w - -,a2a3
r2qk2r/1ppbnpbp/p1np2p1/3Pp3/B3P3/2P1BN2/PP3PPP/RN1Q1RK1 b kq -,c6b8
1r1q1rk1/4ppbp/3p1np1/2p5/1p1nPP2/3PB2P/BPP2QP1/R2N1RK1 b - -,f6d7
8/7p/8/4k3/8/3K2PP/8/8 w - -,d3e3
1rbq2k1/1pp1n1b1/p2p1r1p/3P4/2P2p1N/2BQ2P1/PP4B1/2R2RK1 b - -,f6f7
2r2rk1/2p1n1pp/bp1q1b2/p2p1p2/1P1PnN2/P3PNP1/1BQ2PBP/R2R2K1 b - -,g7g5
6Q1/pkrq4/1p6/3pP3/3P3P/8/1P1B3K/8 w - -,h2g3
r5k1/pp3pbp/2p5/3p1pn1/3PrN2/1PP3PP/PB3P2/R4RK1 w - -,h3h4
8/4k2n/2K2ppB/4p2p/8/1B4P1/1b5P/8 b - -,f6f5
r3r1k1/4Q1pp/8/5p2/N1p1p3/bP1bR1BP/P4PP1/3R2K1 b - -,a3e7
r2qkb1r/pb1p1ppp/np2p3/3NP3/3P4/3B1N2/PP3PPP/R1BQK2R b KQkq -,b7d5
8/6Bp/8/1p6/1Pk1n2K/8/8/8 w - -,g7f8
8/3b1p1k/1p1N3p/8/pB4P1/5P2/5K2/8 b - -,d7e6
r5k1/1r2ppbp/6p1/q1pP1n2/4N3/5QPP/PP2RPK1/R1B5 w - -,c1d2
2r1r1k1/5ppp/p2pp3/1p5n/1P1NPn1q/PB3P1P/Q4RP1/3R3K w - -,h1g1
r6k/ppq2p1p/2p1ppr1/8/3P3Q/2Pb3R/P1P2PPP/2R3K1 b - -,h7h6
3rn1k1/4bppp/ppqrp3/n1p3P1/P1P2P2/2NPPN2/1B4QP/3R1RK1 w - -,g2e2
1r4k1/p2b1pq1/2n1p1p1/1Q2b1P1/8/7R/P4PP1/2R1KB2 w - -,b5d3
r1bqr1k1/pp3pbp/1np3p1/4p3/3n4/2NPBNP1/PP1QPPBP/2R1R1K1 w - -,b2b3
3r1rk1/p2qbppp/bpnppn2/2p5/P2PPB2/2P1QN1P/1PBN1PP1/2R1R1K1 b - -,c5d4
1r4k1/p3pp1p/B1rbb1p1/BP6/q1p5/P1Q1P1P1/5P1P/1R2R1K1 b - -,c6c5
2k1R3/1ppr1qb1/p2P1n1p/Q1R2b2/5B2/8/PP3NBP/K7 b - -,f7e8
2B2n2/1p2k2p/p7/q2pP1pP/Pb1P1pP1/8/5B1K/7Q w - -,c8b7
1rbq1r1k/1p2b1pp/p4n2/2p1p3/2PpN3/3P1BP1/PP1BQP1P/R3R1K1 w - -,a1b1
r2qr3/1b3pk1/p6p/1p1pn1p1/4n3/4B1N1/PPB2PPP/R2QR1K1 w - -,e3d4
r1bqk2r/pp3ppp/2pp1n2/4p3/1bP5/2N2BP1/PPQPPP1P/R1B2RK1 w kq -,f3g2
B1b2r1k/2qnb1pp/p7/1p2p3/1B1p1P2/P2P2P1/1PP2Q1P/R4RK1 b - -,d7c5
3R2R1/5nkp/1pr3p1/p1p2p2/1n2p2P/4P1P1/PP3PK1/8 b - -,g7f6
2b3k1/1r1p1rpp/1qp1p3/p7/2P5/3B2Q1/PP3PPP/4RRK1 w - -,b2b3
r1b2r2/4p1bk/1p1q1npp/pPpPpp2/2P1P3/P1NQ2P1/1B3PBP/4RRK1 w - -,d3c2
r3kbnr/ppp2ppp/2n1b3/8/3P4/3BBN2/PP3PPP/RN2K2R b KQkq -,c6b4
3r1n1k/p5pp/Ppbrpq2/2pp3P/2P3N1/1P1B2Q1/3P1PP1/R3R1K1 b - -,f6e7
4Q1k1/5pb1/3B2pp/3P1q2/8/5N1n/1P4PK/8 b - -,g8h7
rnbqkb1r/pp3ppp/4pn2/8/2B5/2N2N2/PP1P1PPP/R1BQK2R w KQkq -,d2d4
8/4nkpp/p2P1p2/2Q2q2/8/P3B1P1/5PKP/8 b - -,e7d5
rnb1k2r/pp3ppp/4p3/q2pP3/2pP1N2/2PB4/P1P2PPP/R2Q1RK1 w kq -,d1g4
8/2n3R1/5k2/2P2p1p/1P3P1P/3K2P1/8/5N2 b - -,f6g7
2rq1r1k/6pp/3p4/1pn1pb2/1N6/1P2B1P1/P4PP1/R2Q1RK1 b - -,d8d7
1r6/2R2p2/r2pbkpp/1p1B4/pP1RP3/3PK1P1/1P5P/8 w - -,e3f4
r2qk2r/p2b2pp/2p1pp2/2Qn4/8/2P2N2/PP3PPP/R3KB1R b KQkq -,d8b6
1r2r1k1/4qp1p/1p1p2p1/3P3n/P3P3/2NBB1Pb/1P3P2/R2Q2K1 b - -,f7f5
8/2R4p/4P1k1/1B1p1p2/4n3/1r2PpP1/8/3K4 w - -,e6e7
rn2kb1r/pp3ppp/4pn2/2pq4/3P2b1/2P2N2/PP2BPPP/RNBQK2R w KQkq -,e1g1:b1a3:h2h3
r1bqkb1r/pp3ppp/4p3/2ppPn2/5P2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,e1g1
r1bq1rk1/p4pbp/2np1np1/1pp1p3/4P3/P1PP1NPP/1P3PB1/RNBQ1RK1 w - b6,c1e3
5bk1/p7/5n2/2p2r1p/3prN2/1P2P1B1/P1R2PK1/3R4 w - -,e3d4
2bqnnk1/1pr3pp/3p1p2/p1pP1P2/P1P3PP/1P2N1QB/1B6/4R1K1 b - -,c7e7
4rrk1/3nbppp/p1q5/1p3P2/2pB2P1/2P4P/PP3QN1/R4RK1 b - -,e7f6
2r1k2r/1pq1bppp/p2pbn2/4B3/4P3/1NN4P/PPP1Q1P1/1K1R1B1R b k -,d6e5
8/8/8/p1Bk3P/6K1/8/3b4/8 w - -,c5f8
r2qrnk1/1pp2ppp/pb2b3/3pPB2/3P1n2/1P3N1P/PBQ2PP1/R3RNK1 b - -,a8c8
r4rk1/1p2nppp/3pbq2/6Q1/2P1P2P/1PN2P2/4B1P1/3R1K1R b - -,f6c3
r2qkbnr/ppp1pppp/2n5/8/4N1b1/5N2/PPPP1PPP/R1BQKB1R w KQkq -,f1c4
r1b1k2r/1pqn1pb1/p2p1n1p/8/3BP3/2N2Q2/PPP3PP/2KR1B1R b kq -,d7e5
3r3k/pbp1q1pp/3r4/2p1Np2/Q1P2P2/P1P1P3/R5PP/3R2K1 w - -,d1e1
3b4/8/p1p1rkp1/1p6/P2pBP2/1P3KP1/2P5/R7 w - -,g3g4
8/p7/4r3/6k1/3P2p1/1P1K4/P4R2/8 w - -,d4d5
r4rk1/ppq2pbp/6p1/3R4/1Q6/4P2P/PP3PP1/R1B3K1 b - -,f8d8
3rkbnr/1bp2ppp/p7/1p2q3/4P3/5N2/PPN1QPPP/R1B2RK1 b k -,e5h5
5bk1/pp1b2pp/1qp2p2/3p4/3PrPP1/2PN3P/PP1Q2N1/4R1K1 b - -,e4e1
3r2k1/q3rpp1/pp1bnn1p/2p1p3/8/1QNPPPPB/PP3B1P/2R2RK1 b - -,d6c7
r1b1k2r/p4ppp/2pppn2/q7/2P1P3/2PB4/P1Q2PPP/1RB1K2R b Kkq -,e6e5
8/p1b5/6k1/p2npP2/P1R5/5N2/1r1B1PKP/8 b - -,g6f5
1r3r2/p1n1p1k1/3p2p1/1Pp2pP1/P3n3/4B1PB/4P2K/3R1R2 b - -,a7a6
b3k2r/3p1pbp/2n1p1p1/1p6/3PP3/3P1N2/1PR2PPP/2B2BK1 b k -,e8g8
8/1p6/6k1/3p2p1/p2Pb2r/P1R4P/1P1B4/6K1 b - -,g5g4
5k2/R4p2/1pp1n3/4PK1p/2P2B1P/5P2/Pr6/8 w - -,f4h6
1k6/pp2q2p/2pr2p1/2Rr1p2/3Pp3/4P1PP/PP2QP2/1KR5 b - -,e7d7
8/6p1/1R4kp/P7/r7/6K1/8/8 b - -,g6h5
2r1k2r/1b1n1p1p/pq2p1p1/3pP1PP/1p1R1P2/5QN1/PPP5/1K1R1B2 b k -,a6a5
8/6p1/2n2k1q/1pn1pP2/p2pP3/P2P1N2/1P2K3/1B4Q1 b - -,c5b3
2kr1b1r/1ppn2pp/p2qp3/3P1pP1/2P2P2/P1N1B3/1P2B1P1/R2QK2R w KQ f6,d1d4
3r2k1/p6p/1b4p1/1p2Bp2/4p3/1P2P1P1/P1R2P1P/5K2 b - -,g8f7
r2qrbk1/pppb1p1p/2np1np1/8/3NPP2/2N1BB1P/PPP3P1/R2QR1K1 b - -,f8g7
r1bqk1nr/pppn1pbp/3p2p1/8/3NP3/2N1B3/PPPQ1PPP/R3KB1R b KQkq -,g8f6
2r3k1/3b1p1p/p3p1p1/1p1pP3/nP3P2/PNrB3R/2P2KPP/R7 w - -,h3g3
1r6/4k3/3ppp2/8/1Pr1PbNp/K2R1B1P/6P1/8 w - -,d3b3
r4rk1/pb2pnbp/1p4p1/6B1/2B2P2/2P3N1/P5PP/3R1R1K b - -,a8c8
8/3k1Bn1/p2P4/1pr1P2p/4R3/P6p/5KP1/8 w - -,g2h3
r4rk1/pp2ppbp/1q1p2p1/2pP1b2/1nP2BP1/2P1P3/P3BP1P/R1Q1NRK1 b - -,f5d7
2r3k1/5p1p/6p1/5R2/2P5/pP6/P5PP/2K1R3 b - -,g6f5
2rq1rk1/pb1n2p1/1p1ppb1p/2p2p2/2P5/1P2P1N1/PBQPBPPP/3R1RK1 w - -,g3h5
6k1/8/8/P1p2pp1/2N2R2/6KP/2q3B1/8 w - -,g2d5
2r3k1/1p2rbpp/3b1p2/1q1p1P2/1PpP1N2/2Q1PBP1/7P/1R3R1K b - -,c8a8
rn1qk2r/pp3ppp/2pb1n2/3pp3/1PP3b1/P3PN1P/1B1P1PP1/RN1QKB1R b KQkq -,g4f3
5Q2/8/2q5/2k1p3/3b4/8/1P5P/1K6 b - -,c5b5
r1bq1rk1/pp2nppp/2nb4/2p1p3/2PpN3/3PPNP1/PP3PBP/R1BQ1RK1 b - -,f7f5
r2r1nk1/2q2pb1/pn2b1p1/Np2p2p/PPp1P3/2P1NP2/4BBPP/R1Q1R1K1 w - -,a4b5
r1bqkb1r/pp1pnppp/2n1p3/2p5/3PP3/2P2N2/PP2QPPP/RNB1KB1R b KQkq d3,c5d4
r1b2rk1/ppp1np1p/3q2pB/1B1Pb3/8/2P5/PP3PPP/RN1QR1K1 b - -,e5h2
r3k2r/1bqpbpp1/ppn1p2p/4P3/2PN1B2/2N3P1/PP2QP1P/3RK1R1 b kq -,c6d4
r1b1r1k1/1p3p1p/p2p2p1/3P4/P3PP2/1Bb2R1P/1P4P1/R6K w - -,f3c3
r5k1/5pb1/2p3p1/B1P1p1Pp/pPNn3q/4QP2/P7/1K1R4 b - -,h4h2
3rbrk1/1p2bppp/1qp1pn2/p1n1N3/2P1pP2/PP1P2P1/1BQN2BP/3R1R1K w - -,d3e4
rn1qk2r/1p3pbp/p2p1np1/2pP4/P3P3/2NB1b1P/1P3PP1/R1BQK2R w KQkq -,d1f3
3rr2k/7p/6p1/3p4/3q1P2/1P2R1PP/P3Q3/4R1K1 b - -,d8a8
8/1p2k2p/2pN1pp1/r1n1P3/5P2/6PK/7P/2R5 b - -,f6e5
1r6/5rk1/1p1P2pp/2pRp3/3nN3/1P4P1/5P1P/2R3K1 w - -,c1b1
1k5r/1p3ppp/pq2p3/3pPP2/PP1Qn3/2r4P/B5PK/R4R2 b - -,e4g3
3bk3/5p2/p3p2r/2Q2p2/2p2Pq1/5RNP/P1P3P1/7K w - -,h1g1
1rb2rk1/2qp1ppp/p1p1pn2/8/Nb2PP2/3BB3/PPP3PP/R2Q1RK1 b - -,f8d8
6k1/5pp1/p1q1p1p1/2Bnb3/p7/P3P2P/1P3PP1/2Q2BK1 w - -,e3e4
5rk1/1p4pp/pB4b1/P1N1b3/5p2/5PP1/1P1R1K1P/8 b - -,f4g3
r2qk2r/1pp1bp2/2n1b3/p2np3/2N1N1p1/P2PB1Pp/1P2PPBP/R1QR2K1 w kq -,g2h1
r2r1nk1/1p3pbp/2npp1p1/8/2RPP3/qB2BN2/5PPP/1R1Q2K1 w - -,h2h4
r1bq1rk1/ppp2ppp/2nppn2/8/2PPP3/2N2N2/PP1Q1PPP/2KR1B1R b - -,d8e7
bn1qkb1r/2p2ppp/4pn2/8/2BP4/4PN2/5PPP/1NBQ1RK1 b k -,b8d7:f8e7
3rk2b/3b3q/1p1Q1pp1/p3p3/2P4N/1PB3P1/P3PP2/R3K3 w Q a6,c3b2
r1bqr1k1/p3ppbp/1np3p1/8/3P3Q/2N2N2/PP3PPP/R1B2RK1 w - -,f1e1
r1b2rk1/ppq1bppp/2nppn2/2p5/4P3/3P1NP1/PPPNQPBP/R1B1R1K1 b - -,f6d7
r2r2k1/ppq2pp1/4b2p/2p1n2Q/4NP2/3P3P/PPP3BK/R4R2 b - -,e5g6
7r/3R4/8/2P1pk2/P4pp1/2K5/5P2/8 b - -,h8c8
3kr3/1ppb4/3p2p1/4r2p/p6P/P4PN1/1PPR2P1/2K4R w - -,c1d1
6k1/1b1p4/1pnPp1r1/1Nb3N1/7P/1P6/1P3PP1/3R2K1 b - -,c6e5
r1b1kb1r/ppqp1ppp/2n1pn2/8/3NP3/2N1BQ2/PPP2PPP/R3KB1R b KQkq -,a7a6
r1b1r1k1/p1q2ppp/1p3n2/2pP4/2B2P2/P3P1N1/2RQ2PP/5RK1 b - -,g7g6
r1bq1rk1/ppp2pbp/3p2p1/4p3/2P1P3/3QNN2/PPP2PPP/R3K2R w KQ -,e1c1
rn2k2r/p2bq1pp/1p2pn2/2p2p2/2P5/1Q2PN2/PP1B1PPP/RN2KB1R b KQkq -,b8c6
4r2k/1p3q2/p2Qbnpp/5p2/4pN2/2B1P1P1/PP3PBP/6K1 w - -,g2f1
2r2k2/pp3ppr/4q1b1/2PBPn2/8/2p1B3/PPP2PQP/2KR2R1 b - -,e6e5
r1bq1rk1/ppp1ppbp/2np1np1/8/3PP3/2PB1N1P/PP3PP1/RNBQK2R w KQ -,e1g1
5r1k/1p6/3p2Bb/pP5P/2P3N1/1P6/3pK3/8 b - -,f8f1
r1bq1rk1/pppn1pbp/3p1np1/4p3/1PPP4/2N1PN2/PB2BPPP/R2QK2R b KQ -,e5e4:f8e8
8/6k1/1RK4p/6p1/2P3P1/5PP1/3r4/8 b - -,d2d3
r1b2rk1/pp2p3/4n1pp/8/2Q2P2/7P/PPP3P1/2K4R w - -,h1f1
2b1r1k1/p3rp1p/1p1p4/2pPq1p1/Pn2P1P1/5R1P/1P1Q1PN1/1B2R1K1 w - -,g2e3
3rr1k1/p5pp/1p6/1bnp4/6N1/1P3PP1/P2R2BP/4R1K1 w - -,e1e8
2r5/1q2pk1p/6p1/8/3NpN2/4B1PP/5P2/4R1K1 w - -,f4e6
5rk1/6pp/2Qb4/4pp2/1q6/4R1P1/5PKP/8 w - -,e3d3
8/7p/3k2p1/4ppB1/4b1nP/6K1/6P1/4N3 b - -,h7h6
8/1p2pk2/2rpb2p/r2Nn1P1/p1PR4/5P2/PP4P1/3R1BK1 b - -,h6g5
2rq1rk1/pb2bppp/Bp2p3/n7/P2P4/2P1BN2/4QPPP/1R3RK1 b - -,b7a6
2r5/5p1p/2Pkp3/pB1r2p1/PnR5/5P2/5P1P/2R3K1 b - -,d6c7
3R4/8/8/3bp3/3k4/8/3K4/8 b - -,d4e4
3q2k1/rbp2pP1/1p2p2p/1P1n4/3P4/1Q6/5PPP/2BRR1K1 b - -,d8f6
2q1rnk1/Rr2bpp1/2p1pnp1/1pPp4/1P1P1P1P/4PBP1/2QBN1K1/R7 w - -,a7a6
r1bq1rk1/pp2npbp/4p1p1/2pp4/3nPP1Q/1BNP1N2/PPP3PP/R1B2RK1 w - -,f3d4
r1b2rk1/p2nbpp1/1pp1p2p/8/2PPNq2/1Q1B1N2/PP3PPP/R3R1K1 w - -,d3c2
rn2k2r/1b1p1ppp/1p1Ppq2/p3N3/2P5/P7/1P2BPPP/R1BQK2R b KQkq -,f6e5
r4rk1/p2b2p1/1pn1pqQp/2pp4/3P4/P1PBRN2/2P2PPP/5RK1 w - -,g6h7
r1bq1rk1/p1p1bppp/1p1p1n2/8/2PBP3/PP6/3NBPPP/R2Q1RK1 b - -,c8b7
r1bqk1nr/pp3ppp/2nbp3/2pp4/4P3/3P1NP1/PPPN1PBP/R1BQK2R b KQkq -,g8f6:g8e7
8/5Rk1/3r2p1/ppp5/6PQ/2P2q2/P6P/4R1K1 b - -,f3f7
3r1rk1/RB3pp1/1n2pB1p/1b6/8/4P3/1P1N1PPP/R5K1 b - -,g7f6
8/1p1rkp2/pR2P1p1/7p/P1pN1K2/2P5/1P6/8 b - -,f7e6
r7/p1r1kpp1/2pn3p/2Np4/3P2PP/RP2P3/4KP2/R7 w - -,e2d3
8/8/5k2/8/8/p2B4/P7/1K6 w - -,b1c2
8/pb2ppbk/6p1/7p/2R1P1n1/2N4P/PPP3P1/2K3B1 b - -,g4e5
r1bq1rk1/1p2bppp/p1np1n2/4p3/2P1P3/N1NB4/PP3PPP/R1BQK2R w KQ -,c1g5
6k1/8/3p2p1/2bP3p/2P1p3/6P1/R3B1KP/4r3 b - -,g8g7
6k1/6b1/2b2p1p/8/5P2/BR6/7P/6K1 w - -,b3b6
8/p2qp1k1/2p2prp/3rp1p1/1PQ5/P2PRP2/2PK1P2/7R b - -,f6f5
r7/pp2k2R/2b1p1p1/8/8/3B4/PPP1K1PP/8 b - -,e7f6
rnb1kb1r/pp3pp1/2p1pq1p/8/2BP4/5N2/PPPB1PPP/R2QK2R w KQkq -,e1g1
5k2/5p2/2b1p3/1pb1p1p1/1q2PrP1/1BN4P/1PP1Q3/1K2R3 w - -,e2d3
2r1r1k1/pb3p1p/4q1p1/Q7/3bp3/3p4/PP1B1PPP/2RRNBK1 w - -,c1c8
4b3/2q1b1kp/1p2p1p1/1P1p1pP1/3P1P1P/2BBP3/4K3/Q7 w - -,e2d2
r2r4/2b4p/p1n1k1p1/1pB2p2/1P2pP2/2P3P1/P1N1K2P/R2R4 w - -,a2a4
8/pp6/5k2/4R1p1/1r1P2P1/8/2K2P2/8 b - -,b4d4
2rr2k1/p3bpp1/np2q1p1/2ppP3/5B2/P1QRPN1P/1P3PP1/3R2K1 w - -,f4g5
1k2rb1r/pbp2ppp/1n2q3/3pP3/5P2/1PN5/PBQ3PP/2KR1B1R w - -,c1b1
5r2/p1q3k1/3p1pBr/3PpQpP/3p2K1/1P1Pb1P1/P3R3/7R b - -,f8h8
8/p5p1/4Bn2/4p1k1/8/4r1P1/P5PK/1R6 b - -,f6e4
8/8/8/7p/5k2/n1P5/5K2/8 w - -,f2g2
2b2rk1/3rNppp/1p1Bp3/1P6/1P6/5BP1/P4b1P/3R3K b - -,g8h8
2R5/7p/2Br1kp1/6n1/4p3/6P1/P4PK1/8 b - -,e4e3
3r1k2/1p2qpn1/6p1/2PN2Pp/1PBn4/5PQ1/7P/6RK b - -,e7e6
r5k1/p5pp/8/3qnp2/1Bp1p1nP/6P1/PPQ1PPB1/3R2K1 b - -,d5b5
r1b2r1k/5pp1/1n5p/p3N3/P3n3/1Bp5/1PP2PPP/R1BR2K1 w - -,b3f7
r1bqr1k1/pppnbppp/3p1n2/8/3P4/2NB1N1P/PPP2PP1/R1BQR1K1 b - -,d7f8
6k1/3npp1p/p2p2p1/n1pP4/1qP1PP2/P5PP/1Q1N2K1/3N4 b - -,b4b2
4rr1k/ppp2qpp/8/2b1Pp2/5B2/2pP1RQ1/P1P1R1PP/7K w - -,e5e6
1k1q4/b1r4p/p1pN4/3b4/1P3Q2/P3P3/3P2BP/6RK b - -,d5g2
8/1b2kp2/1R6/p3B2p/2PP4/8/P4Kr1/8 w - -,f2e3
