5k2/2R5/3KB3/p2p3p/P1nP4/8/4r3/8 w - -,d6d5
r1bq1rk1/pppn2b1/3p2pp/4Pp1n/2P5/2N1PNB1/PP1QBPPP/R3K2R b KQ -,h5g3
3rr1k1/pp3p1p/2p3p1/8/2PbN1b1/3P2PP/P4PB1/1R2R1K1 b - -,g4c8
rnbq1rk1/1ppn1p1p/3p2p1/p2Pp3/2P1P3/2NBQP2/PP4PP/RN2K2R b KQ -,b8a6
r2qr1k1/4ppbp/pn3np1/1p1b4/4N3/QB1P1N2/PP1B1PPP/R3R1K1 w - -,d2a5
b2r4/2b1kpp1/ppn1pn1p/8/P1N5/1NB1PB2/1P3PPP/3R1K2 w - -,d1c1
rn1qk1nr/pp1bppbp/6p1/1B1p4/3P4/2N2N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
8/3k4/p7/1P6/P1K5/7p/7B/8 w - -,b5b6
3rr1k1/p2q2np/5Bpb/2p5/2P1p3/1R2P1P1/P5BP/4QRK1 b - -,d8c8
2r2rk1/pp1q2pp/n3p1p1/P1RpP3/1P1P4/5N2/3Q1PPP/R5K1 w - -,c5c1
r4rk1/ppqn1ppp/2pb1n2/1N1p1bB1/3P4/4PN2/PP2BPPP/2RQ1RK1 b - -,c7b8
7k/3q2p1/7p/p6n/P1Q5/1P2NP1P/5PK1/8 w - -,c4g4
r6r/p5Qp/1p1kp3/3p1p2/1P1P4/7P/P4PP1/6K1 b - b3,b6b5
4r3/3nr1kp/1p1q2p1/p3p3/1PPpQP2/P2B4/4R1PP/4R1K1 w - a6,h2h4
2rqrnk1/p3bpp1/4pnp1/1p1pN3/2pP1BPP/2P1PQ2/PPB2P2/R3K2R w KQ -,h4h5
r1b2k1b/ppn1q2p/2p1p1p1/6N1/2PP1Q2/1B5P/PP3PP1/R3K2R b KQ -,f8g8
q4rk1/1br1bppp/3p1n2/1p2pP2/1N2n3/1PN3P1/PB2Q1BP/R3R1K1 w - -,c3e4
r1b2rk1/pp3ppp/2p5/3p4/3q4/2P1RB2/PPP2PPP/R5K1 w - -,c3d4
r2q1rk1/ppp3pp/2pb1n2/4NbB1/2QPp3/2N5/PPP2PPP/R3K2R b KQ -,g8h8
r1q2kr1/1p1n1pb1/2p1p1p1/pPPpPBBp/P2P1P1Q/1R2N2P/6P1/4R2K b - -,e6f5
6R1/r5pp/2k2p2/2p5/4P2P/2K5/5PP1/8 b - -,a7a3
8/r2n1p2/2k1p1p1/pR4Pp/P2KPP1P/8/4B3/8 b - -,d7b6
3r4/R4pk1/p3p2p/1p6/4PKp1/3r2P1/PPR5/8 b - -,h6h5
5r2/p3ppkp/3p1np1/q1pP4/1RP1P3/2N4P/P1Q2PP1/5RK1 b - -,c5b4
8/R6p/2r1pk2/5pp1/PP6/8/4PPKP/8 w - -,b4b5
2bn2q1/4k3/p2p1p2/2pPp3/2P1P1P1/7Q/P2BB2K/8 b - -,d8f7
5k1r/4qp1p/1RB1pn2/6p1/3P4/5Q1P/P1P2PP1/6K1 b - -,f8g7
8/6pk/p3p1n1/1p3r1p/3Pb3/P1P1PNBQ/2q3PP/4R2K b - -,c2c3
5rk1/pb5p/1p1qppp1/3p4/3P4/P2BP2P/1P2QPP1/2R3K1 w - -,c1c3
1r2kb1r/1b3pp1/pq2pn1p/1p6/P1pP4/5NP1/1PQ1PPBP/RN1R2K1 w k -,a4b5
r5k1/1p3p2/2p1q3/6P1/8/1P3P2/2PQn1P1/1K2R3 b - -,e6e5
3q1rk1/1p2bpp1/p3b2p/3p4/3B4/2N2B1P/PPP1RPP1/R5K1 b - -,e7f6
r5k1/6pp/2p5/rp2B3/3Pn3/4Pp1P/PRR2P2/6K1 b - -,a8a6
8/p3p1r1/2N4k/5r1p/1PP5/P5P1/5P2/3R2K1 b - -,h5h4
3rq1k1/pp4pp/2p5/3p1p2/PPnPrP2/3QP2R/3B1KPP/6R1 b - -,e8e6
1r4k1/4np1p/3q2p1/p1pP3P/1rP3P1/1P1Q4/P1B5/1K1R3R w - -,h5g6
2rr3k/5p2/1bp1nN2/1p2P2p/p2P3p/P3PR1P/1PB5/5NK1 b - -,e6d4
8/1p4rk/2nR1Rp1/7p/8/6PP/5PK1/8 b - -,c6e7
r7/1k2br1p/pnp1R3/1p2p3/4P2B/1P4P1/4NP2/1K1N4 b - -,e7h4
1r4k1/1q1n1pp1/4p1p1/1n1pP3/pQ1B4/5PP1/PP5P/2R2BK1 w - -,f1b5
8/p1n2p2/4p2p/1P1p4/P2k1pPP/5P2/4K3/1N6 b - -,f7f6
rnbqkb1r/ppp2ppp/3p1n2/8/2PpP3/2N5/PP3PPP/R1BQKBNR w KQkq -,d1d4
r1bqr1k1/p2n1ppp/1pn1p3/2ppP3/8/2PBPNB1/PP3PPP/R2QK2R w KQ -,e1g1
r1bq1rk1/pp2bpp1/2np1n1p/4p3/2B1P3/2N2N2/PPP1QPPP/R1BR2K1 b - -,c8g4
1qrr2k1/4bppp/ppbpp3/4n3/2P1P1P1/1PN1B3/P3QPP1/1BR2RK1 b - -,b6b5
3q1rk1/pp2bppp/1nr5/4P3/3BQ3/2N5/PP4PP/R4RK1 w - -,a1d1
8/4Pk1p/1p6/1P2P3/6P1/5K2/3p4/8 w - -,e7e8q
rq3rk1/p2bp2p/3p2pb/Q7/1pP3n1/5N1P/1P1NBPP1/R1B2RK1 b - -,g4e3
r1bqkb1r/1p1n1ppp/p1p2n2/2Ppp3/3P4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq e6,d4e5
6k1/2q2p1p/1p1r2p1/pP1p4/P1pN4/2P1nB1P/4Q1P1/3R2K1 b - -,e3d1
2r2kr1/1p3pb1/p3b3/2q1n3/3p3B/P2Q1PPB/1PP4P/1K1R2NR w - -,d3d2
r1b2rk1/1pq2ppp/p3pn2/2b5/7P/3B1N2/PPPBQPP1/2KR3R w - -,h4h5
5rk1/5pbp/4p1p1/1R6/1p6/5P1P/1r3PK1/3R4 w - -,d1d7
r1bqr1k1/2p1bppp/p1np1n2/1p2p3/3PP3/1BP2N1P/PP3PP1/RNBQR1K1 b - d3,c8b7:h7h6
1rb2rk1/2qnppbp/pp1p1np1/2pP2B1/P1P1P3/2N2PN1/1P1QB1PP/R3K2R b KQ -,f8e8
r2q1rk1/pp1nnpb1/2p4p/3pPbp1/3P4/4BN2/PP1NBPPP/2RQ1RK1 w - -,b2b4
qnrr1bk1/5p1p/4p1p1/1Np1P1P1/p1P2P2/P7/3NQ2P/2R1R1K1 w - -,d2e4
r1bqk2r/p5p1/2pb1pn1/2p1p2p/7P/2BP1NP1/PPP2P2/RN1QK2R w KQkq -,f3d2
8/p7/2b1k3/3Np2p/4P2P/8/PPPK4/8 w - -,c2c4
1nrr1bk1/q4ppp/4p3/2p2n2/pP2P3/P4BPP/R2N1P2/B2QR1K1 b - -,f5d4
r1q1nrkn/pppb2p1/3b3p/3PppBP/4P3/2N2NP1/PP3PB1/2RQK2R w K -,g5e3
r1b2rk1/pp3ppp/5n2/4P3/1p6/4P1P1/PP3PBP/RN1K3R b - -,f6g4
2r3k1/1p1b1pbp/1q1p2p1/3Pp3/1P2P3/2rB1N1P/1R1Q1PP1/4R1K1 b - -,b6d8
1rq1n1k1/3br1n1/p2p2p1/Pp1Pbp2/1Pp1P2p/2B2B1P/2Q1NPP1/3RRNK1 w - f6,f1e3
r1b2r1k/p1p1q1pp/2p5/4pp2/2P5/P1P1PN2/5PPP/R2Q1RK1 w - -,d1a4
8/p4ppp/Pr6/4P3/2k2P2/1p6/1R4PP/2K5 b - -,b6a6
r4rk1/1bn2p1p/p5p1/1p1pP1q1/2pPP3/2N2B2/PPQ4P/2KR3R w - -,c1b1
8/5p1k/6pp/5b2/1pB5/1Pn4P/P4PP1/2N3K1 w - -,c4f7
r4rk1/pb2Bppn/1p2p1p1/3qN3/3P3Q/P1P2P2/6PP/R4RK1 b - -,f8e8
2kr2nr/pppqbppp/8/4P1B1/2Pn3N/P1NQ2Pb/1P2PPBP/R3K2R w KQ -,g5e7
5rk1/5ppp/2R1p3/1p3n2/1qP3Q1/7P/5PP1/3R2K1 w - -,c4c5
rnb1kb1r/1pqp1ppp/p3pn2/8/2PNP3/P1N5/1P3PPP/R1BQKB1R b KQkq e3,b7b6:b8c6
q4b1r/3n2pk/7p/1p1ppP2/4N3/1Q6/1PPB2PP/5RK1 w - -,e4c3
r4rk1/1R4b1/p1pp1npp/B3pp2/N1P1P3/P2P1PPP/8/1R4K1 w - -,a5c7
4r1k1/2Q4p/2p2Bp1/p2p1b2/1b1P4/1PN3Pq/1P3P1P/2R3K1 b - -,h3h6
r1bqk2r/4bppp/p1pppn2/8/4PP2/2N5/PPP1B1PP/R1BQ1RK1 w kq -,e2f3
Q7/ppp1kp1p/3pb3/5q1p/8/8/PPP2PPP/4R1K1 w - -,a8b7
r2q1rk1/1ppb3p/n2p2p1/p1nPp3/2P1Pp2/PPN2P2/2BNQ1PP/R3K2R b KQ -,c7c6
1n4k1/4q2p/1p1r2p1/p1pPp1P1/P1P1P3/2B1Q2P/5R2/6K1 w - a6,e3g3
4k3/5ppp/8/5P2/1p1N4/1r1n3P/6PK/3R4 b - -,b3c3:b3a3
r4rk1/pp2bpp1/4pnp1/N2n4/3P4/P2B2P1/1P3P1P/R1BR2K1 b - -,a8b8
8/1p3ppk/1p4b1/7p/Pb1r3P/1B3PP1/4Q3/6K1 b - -,b4c5
8/4kpp1/4b2p/8/1p2P3/1Pp2P2/K1N3PP/8 w - -,c2b4
r4r1k/1ppqbpp1/p2p1n1p/7b/3pP3/PBNP1N1P/1PP2PPK/R2Q2R1 w - -,c3e2
3R2k1/1bp2rp1/p3p2p/1pP1Br2/2q2p2/2Q2P1P/P5P1/4R1K1 b - -,g8h7
r4rk1/1p3pbp/4qnp1/3pp1B1/1P6/1Q1P2PP/4PPB1/1R3RK1 b - -,f8d8
r1bqkb1r/pp3ppp/2n1p3/8/8/P3B3/1PB1QPPP/RN2K2R b KQkq -,f8e7
r4rk1/ppq4p/4pp2/2bPn1p1/2P3PQ/2Bb4/PP2BP1P/2KR2NR w - -,c3e5
8/2k4p/6p1/1p1B4/p3K1P1/P2P4/1Pn4P/8 b - -,b5b4
4rbk1/5b2/6qp/3p4/3B3P/1PQp2NB/P4P2/6K1 b - -,f7e6
8/8/6p1/3r3k/7p/7P/R5K1/8 b - -,h5g5
2r3k1/1p2qpbp/p5p1/n2b2N1/P2P4/B1P4P/5PP1/R4BK1 w - -,a3e7
3b4/3k2p1/7p/3N1K1P/5P2/6P1/8/8 b - -,d7e8
8/8/6p1/2b4p/1p2k3/1P5P/P3K1P1/2B5 b - -,c5d6
8/3k4/8/p2K1p2/1p6/2P5/P5P1/8 w - -,c3b4
2b2rk1/q4pp1/pb2p3/4p1Np/1P2P1nP/P2B4/2Q1NPP1/5RK1 w - -,g5h3
8/8/3p1kp1/r2P3p/3K3P/6P1/P2R1P2/8 b - -,f6f5
r3nrk1/pp1b2bp/nq1p1pp1/2pPp3/2P1P1P1/2NBB2P/PP1N1P2/1R1QK2R b K -,a6b4
r1b2rk1/pp3ppp/1np2q2/8/2BP4/4RN2/PPQ2PPP/5RK1 w - -,c4b3
3r2k1/5pbp/6p1/p7/np2b3/1P2BN2/P3BPPP/5RK1 b - -,a4c3
rnb1r1k1/5pbp/2p3p1/p2Pp1B1/p3P3/1B3N2/1P3PPP/R3K2R w KQ -,a1a4
2r2rk1/2q1bppp/ppbppn2/8/P1P1P3/2N1BP2/1P3QPP/R2R1BK1 b - -,f6d7
5r2/1p6/p1n1kPr1/7p/6pP/2BP4/P1P3RK/5R2 b - -,e6f7
rnbq1rk1/ppp3b1/3p1ppn/4P2p/2P1P2B/2N2N1P/PP2BPP1/R2QK2R b KQ -,d6e5
rnb1k2r/1p3ppp/p3pn2/2b5/P1p5/5NP1/1P2PPBP/R1BNK2R w KQkq -,f3e5
r4r1k/pp3p1p/4pq2/2nb4/2pN1P1P/2P3R1/P2Q2P1/4RBK1 w - -,d2e3
8/1p1q1k1p/p1p3p1/3n4/PP3P2/2Q3PP/6BK/8 w - -,c3c4
8/4kpp1/r3p2p/2P5/8/4P1P1/p1bK1P1P/R7 w - -,d2c2
2k4r/1p3p2/p3b3/8/2n1P2P/8/PPP5/2KN3R b - -,h8h5
4b3/7r/p1k5/1p6/4p2P/1PP1B1P1/P3B2K/8 w - -,h2h3
2r1r1k1/1p3p2/p5pp/3pq3/8/1P2P2P/P2Q1PP1/2R1R1K1 w - -,e1d1
1r2r2k/p5pp/2p1B3/2P2p2/8/5PP1/1R2nB1P/6K1 w - -,b2e2
8/2pr1k2/1p3bn1/4p1p1/PPNNPpP1/B7/4KP2/2R5 b - -,e5d4
r3r1k1/1pRn1ppp/1P1p1n2/3p1q2/3P4/1Q2PNP1/3N1PKP/5R2 b - -,e8b8
2kr3r/1b1q4/1p2p3/P1b4p/1pPpBpp1/3Q4/3B1PPP/R2R2K1 w - -,a5b6
4r2k/p4Rp1/6p1/3Q3p/7P/2R2nq1/PP6/5K2 w - -,f7e7
rn2kb1r/1p2pppp/1p3n2/3p1b2/8/3P1NP1/PP2PPBP/RNB1K2R b KQkq -,b8c6
3rr2k/1pqn1pRp/2p2b1Q/4pP2/p1B1Pn2/P3BP1P/1PPN3K/3R4 b - -,f6g7
8/5N2/p4k2/3B1r2/2p5/2K5/P7/8 w - -,d5c4
1r2r1k1/5pp1/2pb1p1p/3n1P2/2qP2P1/2P4P/2Q1NB2/R3R1K1 w - -,a1a4
4r1k1/1pq2p1p/3p2p1/p1r5/3QN3/3B4/2P2PPP/R5K1 b - -,e8e4
1rbq1rk1/4bppp/3p4/1p4P1/2n1Pp2/2N5/1PP2QBP/R1B2R1K w - -,f2f4
rn1qk2r/pb1p1ppp/1p2pn2/2p3B1/1bPP4/1QN2N2/PP2PPPP/R3KB1R w KQkq -,e2e3
5r2/1q2bppk/r3p2p/4P3/5BQP/1p6/5PP1/1RR3K1 w - -,c1c3
2r2r2/3q2bk/1pnp1pp1/pNpBp2p/Q1P2Pb1/P2PP1P1/1P1B3P/1R2R1K1 w - a6,b5a7
8/2k2N1p/7P/8/p2R4/P7/2P2r2/2K5 b - -,f2f7
r1b1qrk1/ppp3bp/n5p1/4p3/2P5/2NB1N1P/PP3PP1/R2QR1K1 w - -,e1e3
r5k1/p4p1p/b2q2pB/2np4/Pp6/5Q2/1P3PPP/R3R1K1 w - -,a1d1
r2q1rk1/p2nbppp/1p2p3/2P5/2P1Q3/5N2/PP3PPP/R1B2RK1 b - -,d7c5
2q2k2/3bnr1p/p6r/1pp2P2/6R1/P1PB2N1/1P1Q2P1/2K2R2 b - -,h6d6
2r1r1k1/2qnbpp1/p2p1n2/1p1Pp2p/5P2/1NP1B3/PP1QB1PP/1K1R3R w - -,h1g1
6k1/3r4/1p2nKP1/p2pp2P/5p2/8/B5P1/3R4 b - -,e6c7
r1bq1rk1/1pp2ppp/p4n2/4b3/Q1B1P3/2N4P/PP1B1PP1/R3K2R w KQ -,e1c1
8/p7/p7/4p1k1/3bP1p1/1P1N4/P5K1/8 w - -,g2g3
4r3/5r1k/p1qp3p/2p1bpp1/2N5/1P4P1/P1Q2P2/2B1RBK1 w - -,f1d3
8/1p5p/1P1kp1p1/1P1r4/2p5/2K5/5PPP/1R6 b - -,d6c5
2r3k1/p1q1bpp1/4n3/1r5p/2p1Q3/2B1P1P1/PP3PBP/1R1R2K1 w - h6,h2h4
8/8/3kp1p1/5bPp/2NK1P1P/8/8/8 b - -,d6e7
1qr2rk1/1b3ppp/p3pn2/1pb1n3/4P3/PPNB2P1/1BN1QP1P/2RR2K1 w - -,b3b4
r4rk1/3b2pp/pq6/1pbPp3/2P1QpP1/1P3P1P/1P4N1/R1B1K2R b KQ -,c5d4
r3r1k1/1ppqnpb1/p1np2pp/8/3NPPb1/2PQBNP1/PP4BP/4RRK1 b - -,a8d8
r3kb1r/pp1q1ppp/4p3/3pP3/4n3/8/PP1N1PPP/R1BQR1K1 b kq -,e4d2
r2q1rk1/1b1nbppp/pp1p4/3Np3/P3P3/5N2/1PP2PPP/R1BQR1K1 b - -,a8c8
8/k7/3r4/1Rp5/P1r5/4BB2/5P1P/7K b - -,d6g6
r3kb1r/1b1p1ppp/p1q1p1n1/8/1P2PP2/2NB4/1PPBQ1PP/2KR3R b kq -,f8b4
3rb1n1/1p3pk1/p3pqp1/3rN2p/3P1Q2/3R4/PP3PPP/1B2R1K1 w - -,f4e4
r4r1k/8/pp1qN1p1/7p/P1B1QbN1/1P5P/6P1/5RK1 b - -,h5g4
1qbr2k1/6pp/1nBp1p2/2pP4/4P3/2b1NN1P/Q3RPP1/6K1 b - -,b8c7
4r1rk/1bpQ1p2/p2p1P1p/2p3b1/2P1Nn2/3B3P/PP1N2P1/1K2R2R b - -,f4d3
1rbr2k1/1pp1qppp/pn2p3/Q3P3/2p1NP2/6P1/PP2P1BP/R1R3K1 w - -,g1f2
r1bqk2r/1p3pbp/p2p2p1/2pPn3/P3P3/2N1BPn1/1P1Q2PP/R3KB1R w KQkq -,h2g3
4r1k1/pp4bp/4p3/5p2/3P4/Pn3N2/1B3PPP/4RK2 w - -,e1b1
r3k2r/1pq2p2/2p1bnpp/p1n5/2P1Pp1N/1P4PP/P1Q3BK/3R1RN1 w kq -,c2c3
r2q1rk1/pb2pp1p/1p3npb/3p4/1PP1N3/5NP1/PB2PPBP/2RQ1RK1 b - -,d5e4
r1br2k1/1p3ppp/4q3/pBBpb3/P3R3/2P2N1P/1P3PP1/R2Q2K1 b - -,e5h2
8/2kqr1pp/2p5/1p6/5Q2/8/1PP3PP/5R1K b - -,c7b7
8/pb2k1B1/1pn3p1/5p2/2P5/3B1P2/PP3KPP/8 b - -,e7e6
5r2/p4pk1/4p2p/4r1p1/2R5/5B1P/6P1/1R5K b - -,g7g6
2r1r1k1/p2qp1b1/1p3p2/1P1P2p1/5R2/2B3Q1/5PPP/4R1K1 w - -,f4f3
r1bqrbk1/pp3p2/2pp2pp/8/3PPB2/1P3nNP/1PP1Q1P1/R4RK1 w - -,e2f3
r1b2rk1/p4p1p/6p1/q2Np1b1/8/5P2/PPP3PP/2KRQB1R w - -,c1b1
4n1n1/5kp1/1B2ppp1/3pP3/3P1PP1/3B1K2/7P/8 w - -,b6d8
8/p2Rn3/1p2Bk2/3p3p/3Pb2K/2P2r1P/PP6/8 w - -,d7d6
