8/6p1/4p2p/5p1P/2kb1P2/5KP1/3N4/8 b - -,c4d5
1n6/1R1n3p/4kp2/1N2p3/P7/B6P/5PPK/5r2 w - -,b5c7
2rqbrk1/1p2ppbp/1n1p1np1/pN1P4/P3P3/1BN1B2P/1P2QPP1/R4RK1 b - -,b6d7
6k1/1b2pp1p/6p1/pP2q3/P2N4/4B3/5PPb/1RR4K b - -,e5h5
2r5/4k3/2p1npp1/pp2p3/P3P1Pp/1P2KP2/2PRN2P/8 w - b6,e2c3
r1b2rk1/ppq1ppbp/2p2np1/8/4P3/2P2N2/PPQ1BPPP/R1B2RK1 w - -,a2a4
1r6/1q2bpkp/1p1pb1p1/1P1Qp3/2P1PP2/4B3/4B1PP/R5K1 w - -,d5b7
4r1k1/pp1qBp2/2p1r2p/4PQp1/3P2P1/5NP1/PP4K1/2R2R2 b - -,d7e7
7R/ppk5/6r1/3pppP1/2p1b2P/P3R3/1P6/6K1 b - h3,d5d4
5r1k/5pp1/3p3p/3Np3/8/1n2BPRP/1qP1KP2/r2R4 b - -,b2c2
q3r1k1/5pbp/6p1/3bN3/3P4/6QP/5PP1/2B1R1K1 w - -,c1e3
4r3/6k1/p3p3/Pp1rPpp1/1PpP2p1/2P3P1/6KP/2R2R2 b - -,e8h8
8/8/2p5/R5p1/3k1r2/1B6/P3K1r1/8 w - -,e2e1
3rr1k1/1b3pp1/1p4qp/p1p5/2PpPP2/1P1Q2P1/P3R1BP/4R1K1 b - -,f7f6
1r1q1rk1/2p2p2/bpn1pbpp/p3Pn1P/3P2N1/6P1/PP1Q1PB1/R1BR2K1 w - -,g4f6
4r3/2qb1pbk/3p1npp/1p1Pp3/nPp1P3/2P3NP/2BB1PPN/2Q1R1K1 w - -,e1f1
8/6pp/r1b1kp2/p2p4/P2R4/5PP1/2P1PK1P/1R6 b - -,e6d6
2r1r1k1/p3pp1p/1p1p1np1/q2P4/5P2/2PQ2P1/P3RPBP/4R1K1 w - -,c3c4
8/7R/P1n1k3/4p1p1/4P3/2BK1P1p/5P2/2r5 b - -,c1h1
r4rk1/p5pp/3bbq2/1pp1p3/3n4/3PB1P1/PP3PBP/R2QRNK1 b - -,a8c8
3qk2r/4bppp/p1p2n2/3pp3/4P3/1N2BP2/PP1Q2PP/5RK1 w k -,d2c2
bq1n1b2/p3r1k1/R6p/1PP4P/3Ppp2/1Q2P3/4B3/5NK1 b - -,g7h8
1r3rk1/3bqppn/p2p3p/npp1p3/4P1P1/2PPPNQP/PPBN1R2/5RK1 b - -,g7g6
8/p5k1/1p5p/2pNrpp1/P1Pq4/3P2PP/8/3Q1K2 b - -,d4b2
r2q1r2/5pkp/3p1np1/2nPp3/2p3P1/pPP1QNNP/1P3P2/RB2K2R b KQ -,f6d5
3rr1k1/pp1qbppp/8/2Pp4/1P1NnB2/2PQ2P1/P4P1P/R2R2K1 w - -,f2f3
r4rk1/2q2pbp/3p2p1/pb1Pp3/2p1P1P1/2P1BQ2/1P3PP1/R3RNK1 b - -,a5a4
r4rk1/2pq1pbp/bp1p1np1/pNnPp3/2P1P2P/1PN1BP2/P1BQ2P1/2KR3R w - -,a2a4
r2q1rk1/1pp1bppp/p1n1b3/2n1P3/2Bp4/2N2N1P/PPP1QPP1/R1BR2K1 w - -,c1e3
r2q1rk1/3b1ppp/p2p1b2/4p3/2Q1P3/2N2N2/PP3PPP/R4RK1 w - -,f1d1
r1b1k2r/1pqnbppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/2KR1B1R w kq -,f1d3:f3g3:g2g4
2r3k1/1p2p2p/q2p1bp1/1b1P1p2/1B1Nn2P/P3PBP1/1Q3P2/2R3K1 b - -,c8c4
6R1/8/5r1k/1p1pp2p/1P6/2PK1PP1/8/8 w - -,d3e2
4b1k1/1p6/p1p1pr2/2P2r2/3PRB1R/1P3P2/1P2K3/8 w - -,f4e5
8/8/8/p2k4/P3R2B/5K2/2r5/8 w - -,e4g4
4r3/R3P1pk/5p1p/3P4/4b3/8/Bp4PP/6K1 b - -,e4d5
8/pp3p2/2p2k2/1PP1n1p1/P2NPp2/KB3P2/7r/3R1n2 b - -,h2d2
6k1/p4p1p/3p1p2/1P6/2r5/7P/6P1/3R2K1 w - -,d1d6
4r1k1/p1qnbp1p/b2p2p1/P2Pp3/1r6/6PB/1PPB1P1P/2NQR1K1 w - -,d2b4
r2qr1k1/1p1bbppp/n1pp1n2/p3p3/2PPP3/1PN3P1/PB2NPBP/R2Q1RK1 w - -,a1c1
r7/PR6/4kp2/1K2p3/4P3/5P2/8/8 w - -,b5b6
8/6r1/1Pk3p1/3p1p1p/3P1P1P/4PK2/8/2R5 b - -,c6b6
r1b1r1k1/7p/2pp1npQ/p7/4P1P1/2NB1q2/PP6/2K2R1R b - -,f3d3
2r2rk1/1pq1ppnp/p5pb/P3p3/1PB1P3/N5Pb/1B1PQP1P/R2R2K1 w - -,d2d4
1k1r4/1b1B2p1/p2b1pNp/q2pp3/3P4/P2QP1P1/1P3PP1/2R3K1 w - -,d7c6
5k2/1p4pp/4Q3/p3p3/2Pp1b2/Pq3R2/1P4PP/1K6 b - -,b3d1
r1b1k1nr/pp2ppbp/1qp5/2p5/4P1p1/2NP4/PPP2PPP/R1BQK1NR w KQkq -,g1e2
1q1r2k1/pb1r1pbp/1p1pp1p1/8/P1P1PQ2/1PBR2P1/5PBP/3R2K1 w - -,c3b4
r4rk1/p5pp/1p2p3/2bb4/5B2/3B4/PPP3PP/R4R1K b - -,f8f7
3qk2r/r2n1p2/3p1bp1/pB1Pp2p/1p2P2P/4N2Q/PP3PP1/3RK2R b Kk -,e8e7
8/8/8/5pr1/8/R4k1K/8/8 b - -,f3e4
r5k1/r1qbbpp1/1p1p3p/1BpPp1n1/P3P3/1QP4P/1B1N1PP1/R4RK1 w - -,f2f3
1nr5/r3p3/p2p1k1p/P4pP1/RP6/3B4/2P2N2/3K2R1 b - -,h6g5
8/1Q6/p1p2pk1/8/2qP1p2/P7/1P6/4K3 w - -,b7d7
rnbqkb1r/pp1p1pp1/4pn1p/2p5/2PP3B/8/PP2PPPP/RN1QKBNR w KQkq c6,d4d5
6k1/1r1R3p/5pp1/3b4/8/4P2P/5PPK/8 w - -,d7d5
r1b2rk1/pp3p1p/6p1/2b5/1R6/4N1P1/P4PBP/5RK1 w - -,b4b5
2b2bk1/p4r2/4r1pp/2pqp3/2N1N3/1P1PQPP1/P1P5/R3R1K1 w - -,g1g2
rn1qk2r/ppp1nppp/8/3p4/1b1P2b1/2NB1P2/PPP1N1PP/R1BQK2R b KQkq -,g4h5
rnbq1rk1/pp5p/2pp1b2/4ppp1/2PP2n1/1PN1P1PN/PB1Q1PBP/R4RK1 w - g6,a1d1
3rk3/1p3pp1/p1p5/P2p1N1q/3PP3/BP4b1/2P1n1Q1/R2R1K1r w - -,g2h1
1R6/8/6kp/6p1/1P6/1N1b1P2/6PK/1r6 w - -,b3d4
2r5/8/3k1p1p/1r1p2p1/3P2PP/4PPK1/8/1R6 w - -,b1b5
8/pp6/4r3/3K3p/2P3k1/1P4b1/P1N3R1/8 b - -,e6e7
5rk1/7p/pN1rb1p1/P7/8/5B2/7P/5R1K w - -,h1g1
8/p7/K7/P5kp/8/6P1/8/8 w - -,a6a7
2r2rk1/2q1pp1p/p5p1/1p1b4/3N1P2/8/PPPQ2PP/1K1RR3 b - -,f8d8
2r4k/1pqnnrb1/p2p2pp/2pPpp2/1PP1P3/P1N1BP2/3NQ1PP/RR4K1 w - -,b1b3
2r2rk1/6pp/3pp3/4q2N/1pPnP1Q1/1P5P/6P1/2RR2K1 w - -,d1d3
r3r1k1/1bqn1ppp/5n2/p3p3/1pPP4/3BPP2/1BQN2PP/R4RK1 w - -,c4c5
2r5/p2k1p2/2p1b1p1/2Pp3p/1P3P2/P2BR3/3K2P1/8 w - -,d2c3
2k2b1r/p7/2p1p3/1pn2p1p/2B2P1P/P1P3B1/1PK2P2/3R4 w - b6,c4a2
r2q1rk1/1p1bppbp/p1n2np1/P2NB3/2pP4/2N5/1P3PPP/RB1Q1RK1 b - -,c6e5
rn1qk2r/pbppbppp/4pn2/8/PpPP4/5NP1/1P2PPBP/RNBQ1RK1 b kq c3,b4c3:e8g8:a7a5
r1q2rk1/p3bppp/1p2pn2/2p5/2BPbB2/4PN2/PP2QPPP/R2R2K1 w - -,a1c1
5rk1/R3Rp1p/6p1/1Prp4/2n4Q/1BP4P/1P3PP1/1q4K1 w - -,g1h2
8/1p6/p1p2k1P/P7/1n4B1/8/5K2/8 w - -,f2e3
1r1q1r2/1p1b1pbk/2np1npp/p1p1p3/2P5/P1NP1NP1/1P1BPPBP/1RQR2K1 b - -,d7e6
1k1r3r/ppp1qp1p/1n5B/5Qp1/2nP4/1N3PP1/PbP4P/RK1B3R w - -,c2c3
r1bq1rk1/pp3ppp/5n2/3pn3/2PN4/2P1B3/P3BPPP/R2Q1RK1 w - -,e3g5
r4rk1/1pp3bp/3pN1n1/p2P1p2/2P1p2q/P7/1P2NPKP/R1BQ1R2 b - -,g7e5
7R/8/8/5p2/4k3/1p6/6r1/2K5 b - -,b3b2
r2k1b1r/ppp1p2p/3p2q1/3P2N1/1n1P2PQ/4B3/PP2BP2/R3K3 w Q -,a1d1
1q2nrk1/3n1p1p/p1rpp1p1/6P1/2P1N3/4QP1B/P4P1P/2RR2K1 b - -,b8c7
6k1/5p1p/2pp2p1/p7/4PP2/2P4P/4q1P1/Q6K w - -,a1a5
r7/4pkbp/1p3n2/p2q4/3PpPP1/2P5/PP2Q3/R3K2R w KQ -,g4g5
2r1r1k1/1b2qp1p/p2pp1pB/p1n2P2/P2bP3/1PN4R/2P3PP/3BQR1K w - -,f5g6
7k/ppbr1rpp/8/6R1/4pP2/1P5P/PB2N2K/6R1 w - -,b2e5
1k1r4/p4pp1/1p1r1n1p/2p5/8/P1N1R1PP/1P2nPB1/3R2K1 w - -,e3e2
1rr1q1k1/1b3pbp/4p1p1/4P3/RP1B1P2/2N5/5QPP/3R2K1 w - -,d4c5
8/8/1p6/4p1bR/3pP3/6k1/8/3K4 w - -,h5g5
r5k1/pq4pp/4p1r1/4np2/1P6/2N1P3/4QPPP/2RR2K1 w - -,e3e4
r6r/1bq2Q1p/pp1kpp2/2p5/2Pb4/2N3P1/PP3PBP/3R1RK1 w - -,f7f6
6k1/pp2qp2/6pp/8/1PBb4/5Q2/P2r1PPP/1R4K1 w - -,b1f1
r2q3k/pb3pnp/1p2pNpB/2b5/8/2P4Q/PPB2PPP/4R1K1 w - -,f6h7
3r2k1/3r1qb1/n1p2p1B/p3pP1N/2pn2P1/8/PP3PK1/1BQRR3 b - -,g7h6
2nr2k1/1p3pb1/4p1p1/1qP5/3PB1P1/5P1r/3Q1BR1/4R1K1 w - -,e1b1
4R2r/pp1b1k2/2n2p2/3p2pp/2pP2P1/B1P2P1P/P1PK4/R5N1 b - -,f7e8
5k2/2p2Pp1/1p6/p1p1r2p/P1P5/3P4/2P2K2/1R6 w - -,c2c3
1kb2r1r/ppp3p1/5p2/7p/7P/1P3B2/P1P2PP1/1K1R3R w - -,d1d5
3r2k1/3r1p1p/4q1p1/4p3/1P1bP3/3P3P/2Q3P1/2NR1R1K b - -,d7b7
1r6/5pkp/1p1Nb1p1/P1RnP3/8/6P1/6BP/6K1 w - -,c5b5
5r1k/6b1/7p/1p1R2p1/2p1pq2/2Q4P/2B3P1/7K w - -,c3b4
5bk1/3R1pq1/4p3/7Q/1p6/6P1/5PK1/8 w - -,d7d8
8/2p5/2b2k2/2N2P2/PKP1p3/8/8/8 w - -,a4a5
4k2r/1pB2ppp/pNn1p3/3n4/qb1P4/4P3/P4PPP/1QR2RK1 b k -,d5b6
2r2r2/p4pkp/1p2pqp1/3b4/1P1R4/2nBPN2/PQ3PPP/3R2K1 w - -,d4f4
1r2rbk1/ppq2pp1/3p2np/2pPpN1n/4P3/2P1BNP1/PPQ2P1P/3RR1K1 b - -,c7d7
r2q1rk1/p3bppp/3pbn2/2pN4/1p2PBP1/5P2/PPPQ3P/1K1R1B1R b - -,e6d5
8/8/p4R2/1b6/2p5/2K5/5p2/5k2 b - -,a6a5
3n4/1k4B1/7P/8/8/6P1/p7/6K1 w - -,h6h7
8/8/2B4k/5K2/1P2P2p/8/5b2/8 b - -,h6g7
r2qkb1r/p2npppp/2pp4/2p4b/4P3/2PP1N1P/PP1N1PP1/R1BQ1RK1 b kq -,e7e6
6k1/1p3p1p/1qpQn3/r6p/3p4/P2P1BP1/4PPK1/7R b - -,b6c7
r4rk1/3p1pbp/q4np1/2pP4/8/PPNn1N2/1B1Q1PPP/R5KR w - -,a1d1
8/Q5pk/1p6/2p2q1p/7P/6P1/7K/8 b - -,b6b5
8/4k2p/p2R4/2P3p1/1PK5/7r/8/8 b - -,h3h4
r1b2b1r/p2p1kpp/2nP1p2/qp6/2N1Q3/2P2N2/PP3PPP/R3KB1R b KQ -,a5a6
8/6bk/1p2r3/p1p4P/P1P3K1/1P1R4/8/8 b - -,e6e4
1r3rk1/1p1n1ppp/pPp1pn2/N1Pp1b2/3P4/2N1P2P/1P3PP1/R3KB1R w KQ -,f1a6
r5k1/2R5/7K/6P1/8/8/8/8 w - -,c7g7
5k2/3R1p1p/p1P5/1p3Nb1/5P2/8/P4PK1/2r5 b - -,g5f6
4k3/4n3/5Kp1/7p/8/5P2/7P/4B3 w - -,e1h4
r1b2rk1/1ppn2np/3p2p1/p2P1pq1/2P1Pp2/2NN2P1/PP4BP/R2Q1RK1 w - -,g3f4
rn3rk1/pp2bppp/1qp1pnb1/8/3PNB2/1BP2PN1/PP4PP/R2Q1RK1 b - -,f6d5
r4rk1/p4ppp/2p2q2/1p2b3/4N3/1N1B1b2/PP1R1PQn/3R2K1 b - -,f6h6
6k1/r1p3bp/1nB1p1p1/2R1B3/5PP1/pP6/P2r3P/1K2R3 w - -,c5c2
7k/4Q1p1/p1BP4/2P4p/4Kpq1/8/5P1P/8 b - -,g4g2
r7/1N5k/p1p4p/2Pn3P/1P1Ppr2/P5R1/8/4K1R1 b - -,a8f8
r2q1rk1/pp1n1ppp/2pbpn2/3p3b/2PP4/1P3NP1/PB1NPPBP/R2QR1K1 b - -,a7a5
r1bq1rk1/ppp2ppp/2nb1n2/4p3/2BpP3/2P2NN1/PP1P1PPP/R1BQK2R w KQ -,e1g1
3r2k1/pp4pp/8/2B2p2/3n4/2N3P1/PP4BP/2n2K2 b - -,b7b6
r1bq1rk1/1p1pppbp/5np1/p7/3nP3/1BN1B3/PPP2PPP/R2Q1RK1 w - -,e3d4:d1d4
2r2rk1/2q2pbp/3Rp1p1/pp2P3/2p1Q3/P1P3B1/1P3PPP/R5K1 b - -,c7a7
r1bqk2r/pp2bppp/2n1pn2/6B1/2BP4/2N2N2/PP3PPP/R2QK2R b KQkq -,e8g8:h7h6
8/p4pN1/1p2p1b1/1P3P2/Pk4Pb/8/8/3B2K1 b - -,e6f5
r2q1rk1/1p3pp1/2p1pnbp/p3P3/Pb2P3/2N3P1/1P2QPBP/R1BR2K1 b - -,f6d7
1r3rk1/1Qp3bp/p3b2q/P3Bp1n/7N/2PP2P1/1P3PBP/R3R1K1 w - -,b7a6
2rr2k1/1p4bp/pq3pp1/4P1P1/3PB3/PP2QN2/1B5P/R5K1 b - -,f6e5
8/R7/7k/6p1/2b3PP/2bnPNK1/8/8 w - -,f3g5
r3r1k1/3n1pp1/p5qp/P1bb4/4p3/2P2NB1/3NQPPP/R1R3K1 w - -,f3d4
r2r2k1/1p3p1p/5p2/nBRp4/PR6/8/1pb1NKP1/8 b - -,b2b1q
5k2/5p2/4pKp1/7p/3P3P/5PP1/8/8 w - -,g3g4
8/8/1pp2k1p/5pbK/1P6/P2N1R2/8/r7 w - -,d3f2
r1b1k2r/2pq1pbp/p1p3p1/3nP1B1/8/5N2/PP1N1PPP/R2Q1RK1 b kq -,e8g8
r2q1rk1/pppn2pp/2n1pb2/3p1b2/3P4/2P1BN1P/PP1NBPP1/R2Q1RK1 w - -,f1e1
8/8/Rb3k2/4n3/1P5P/2prRKP1/2N5/8 w - -,f3e4
r4rk1/pbqn1ppp/1p1bpn2/2pp2B1/2PP4/3BPN2/PP1NQPPP/2R2RK1 w - -,b2b4
2r3k1/1p3q1p/p1bQ2p1/P3BP2/3P4/1P5P/7K/4N3 b - -,f7f5
2kr3r/p1p1b2p/2q1p3/1pP1Ppp1/1PQ2n2/2B2PN1/P5PP/1R3RK1 w - b6,c4b3
2rr2k1/bb3ppp/p3p3/1p1qN3/3P1P2/6R1/PPNQ2PP/3R2K1 w - -,a2a3
r1bq1rk1/ppp1bpp1/n3pn1p/3p4/2PP3B/2N2N2/PPQ1PPPP/R3KB1R w KQ -,e2e3
2r5/4q1nk/p1p4p/p1pPp2P/Q1P1PpN1/2N2Pb1/PP6/2K4R w - -,a4a5
r4rk1/pp2q1pp/2p5/3pP3/3P1pb1/2P2P2/P1QN2PP/R4RK1 b - -,g4e6
r3r1k1/pbq2ppp/1p2pb2/2P5/3R4/2P2NN1/P1B1QPPP/3R2K1 b - -,f6d4
r4rk1/pp3p1p/2q1b1p1/3nB3/2P5/P4Q2/5PPP/3RR1K1 b - c3,c6c4
8/3kp3/p1p3B1/1pB4p/4KPb1/1P4P1/PbP5/8 b - -,g4d1
8/8/8/3k4/6P1/p3KN2/8/8 w - -,f3e1
1r3r2/1pqB2k1/p2b1pp1/2pPp2p/2P4P/2Q3B1/PP3PP1/4RRK1 b - -,c7d7
3r1rk1/1p2nbpp/1qnbpp2/p1pp4/P3P2P/2PPNNP1/1PQ2PB1/R1B1R1K1 b - -,d6b8
rn1qk2r/pbpp1pp1/1p2pn1p/8/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 b kq -,a7a6
3r2k1/1pq1bppp/2p1bn2/p1P1p3/1P6/P4NP1/1BQ1PPBP/3R2K1 b - -,d8d1
r1bqkb1r/1p1p1ppp/p1n1pn2/8/4P3/1N1B4/PPP2PPP/RNBQK2R w KQkq -,d1e2:e1g1
1r3rk1/ppp2ppp/3qpb2/8/3P4/1QP2N2/PP3PPP/R3R1K1 w - -,f3d2
3R4/5ppk/4p3/4N2p/8/8/5P2/r2q1BK1 w - -,d8d1
8/4kp1p/p2Np1p1/P1r1P3/1r6/R1n2PK1/5P1P/3R4 w - -,d1d3
2r2k2/1pq1bpp1/p3bn1p/4p3/P1p1P1PP/2N1BP2/1PP1BQ2/3R2K1 b - h3,e7c5
1r4k1/Q4ppp/4p3/8/n1r5/q1P2B2/P1R2PPP/5RK1 b - -,b8c8
2n2rk1/2q2pbp/1r2p1p1/p3N1P1/P1P2P2/1P2Q3/6BP/R4RK1 b - -,c8e7
8/8/1p6/8/1k4RP/p7/r7/6K1 b - -,b4a5:b4c5
rnb1k2r/ppq1ppbp/3p1np1/2pP4/4P3/2PB1N2/PP3PPP/RNBQ1RK1 b kq -,e8g8
4r1k1/pp2qppp/2n5/8/2NpBP2/1P4PP/P2Q1P2/R5K1 b - -,e7e4
r3r1k1/1p2qpp1/1bp1n1np/p3p3/P1B1P1P1/2P2NP1/1P2QPK1/R1B4R b - a3,b6d8
1r6/3pkppp/1N2pn2/1p3r2/8/6P1/PP2PPKP/2R2R2 w - -,b6c8
3r2k1/1p2rp1p/p1nq1np1/3p4/N7/1P1BP2P/P4PP1/2RQR1K1 w - -,a4c5
1R1b4/3k3p/N7/1P4pP/5pK1/5P2/1r6/8 w - g6,h5g6
r2q1rk1/pp3ppp/2np1n2/2p5/2PPp1b1/P1P1P1N1/2Q2PPP/RBB2RK1 b - -,f8e8
r1b4r/pp2kpbp/2p5/5p2/3N4/5BP1/P1P2P1P/1R1R2K1 b - -,g7e5
8/4K3/7P/P4pn1/6k1/8/5p2/1R6 b - -,g5f3
r1b1k2r/p1np1pbp/3qp3/1ppP1p2/2B2N2/2P1P3/PP1Q1PPP/RN2K2R w KQkq b6,c4b3
2kr3N/ppp1b2p/2q1bn2/8/3Pp3/2Q5/PPP2PPP/R1B1K2R w KQ -,c3c6
3Q2k1/5p2/6pp/8/4P3/1q1P2P1/p4PKP/8 b - -,g8g7
r2qr1k1/ppp2ppp/2pbb3/6Q1/3P4/3B4/PPP2PPP/R1B2RK1 b - -,d6e7:d8d7
2br2k1/p4ppp/2p1pn2/1r2P3/Q7/P1P5/1qBB1PPP/2R2RK1 b - -,d8d2
r4rk1/pp1nb1pp/1qppbn2/4pp2/2P2P2/1PNPP1PP/P3N1B1/R1BQ1RK1 b - -,d7c5
r2qk2r/1b3p2/pnn1p1pp/1p1pP3/1P1P4/P2B1N1P/3QNPP1/R4RK1 b kq -,c6e7
rnbqkb1r/p2p1ppp/1p2p3/3nP3/3P4/P4N2/1P3PPP/RNBQKB1R b KQkq -,f8e7
6k1/3R4/p7/3p4/2nP2P1/4K3/1P1N2r1/8 w - -,d2c4
2r2bk1/1p3pp1/p1qpr2p/P2Np3/2P1P3/1P2R3/4QPPP/R5K1 w - -,d5b6
kb6/1p1K4/1Pp5/P1P5/8/8/6R1/8 b - -,b8f4
2r1r2k/pbq3bp/3p2p1/1P1Ppp2/P7/1Q3P2/3B1NPP/2R1R1K1 b - -,c7d7
r5k1/1qnbb1pp/ppnpp3/5rP1/P4P2/1NN1B3/1PP3BP/R2Q1R1K w - -,b3d4
r1b1k1r1/p2n1p1p/1pp1pn2/q7/2PPp3/P1P1Q3/4NPPP/R1B1KB1R w KQq -,c1d2
r3k2r/1ppq1pp1/p1np1b1p/5b2/6P1/2P1BN1P/PPPQ1P2/1K1R1BR1 b kq g3,f5e4
5r1k/6np/3Q1pp1/4p3/p3P3/P4NP1/3R1PKP/2q5 b - -,h8g8
2k1r2r/1p4p1/1bp1b3/1p2P3/1q1p3p/3P1Q1P/2P3BB/RR5K b - -,b4c5
4r1k1/1p3p1p/p2p2p1/2pP4/P1P1Pb1q/3B1P2/1PQ1R1p1/1R1K4 w - -,e2e1
2r1q1nk/ppp3bp/3p2p1/1P4B1/2P2PBQ/8/P5PP/4R1K1 b - -,e8f8
2rn1nk1/rp5p/3Rp1pP/p4p2/8/PP3NP1/1B3P2/1R3BK1 b - -,d8f7
r4rk1/ppp2nb1/3p1q1p/3Pp1p1/2P1Bn1P/5NB1/PP1Q1PP1/1K1R3R w - -,d2c2
5rk1/1R4pp/4p3/1p3r2/1R1P3P/2n2N2/5PP1/6K1 b - -,f8c8
2rq1bk1/pp3p1p/5np1/2P2b2/N2B4/5P2/PP2r1PP/2RQ1R1K w - -,d4f6
8/6k1/1n3p2/p3p1p1/4P3/1B2KPPP/8/8 w - -,f3f4
