8/p3R1p1/1p2p3/1P4k1/3PK3/8/r7/8 w - -,e7g7
4rr2/Q5bk/p1p3pp/2P5/P4p2/R2q3P/1P3pP1/2B2RK1 w - -,g1f2
5Q2/5p1p/P2pp2k/4q1p1/8/4B1PP/r4P1K/8 b - -,e5g7
8/p4kp1/4r3/1P3n2/P4P2/3P2p1/3BR3/5RKr w - -,g1h1
4r1k1/1b1n2pp/p1p1pq2/1p3r2/3P1P2/1Q2B3/PP2B1P1/R4RK1 b - -,d7b6
4r3/1k1p4/1p6/1pnP1P1p/2p4P/P4P2/1P1K4/3R1B2 b - -,e8f8
r2qk2r/1p1bppb1/p1np1np1/2p4p/2P1P2P/2NP1PP1/PP2N1B1/R1BQ1RK1 w kq -,b2b3
5rk1/1p6/p4p1p/2p1b1p1/P2pPB2/1P1P2P1/2P4P/5RK1 w - g6,f4e5
3r2k1/1prb2pp/4pp2/pPN1P3/Pb1P1P2/2p1B3/4K1PP/1RR5 b - -,d7c8
r4rk1/1bq2pbp/3p2p1/p7/Q1Npp3/7P/PP1B1PPN/R3R1K1 b - -,d6d5
bn3qk1/8/3p1bQ1/4p3/8/2Pp1P2/1P4PP/2B2K2 b - -,f6g7
8/5p1p/1pqk2p1/1R1p4/P7/6PP/5P2/6K1 w - -,g1h2
rnbq1rk1/ppp2pb1/3pp2p/6pn/2PP4/2N1PNB1/PPQ1BPPP/R3K2R b KQ -,f7f5
8/5R2/1B1p4/3P1n1p/pPP2k1P/P1K1p3/r7/8 w - -,b6e3
r2q1rk1/p3npbp/bpnpp1p1/8/3pPP2/2P1B1P1/PP1QNNBP/R3K2R w KQ -,e2d4
8/3n1kpp/4p3/8/5Q2/1p2BP2/1Pr1q1PP/6KR b - -,d7f6
2r5/2q1ppk1/7p/3Rp1p1/8/2r4P/2P1QPP1/3R1K2 w - -,d5d7
2rq1rk1/1p2ppbp/3pNnp1/p5B1/P3P3/1PN3Q1/1P3PPP/R3R1K1 b - -,f7e6
r1b2rk1/pp1n1ppp/4p3/q3P3/3b4/2NBQ3/PPP3PP/R4R1K w - -,e3d4
r4rk1/1p1n1pb1/1qpp1npp/p3p3/P2PP3/1NPB3P/1P1B1PP1/R2Q1RK1 b - -,d6d5
r1bqk1nr/1p1pppbp/p5p1/8/2BpP3/3P4/PPP2PPP/RNBQR1K1 b kq -,e7e6
r3rqk1/5pnp/p1bp1np1/1pp1p3/P2PP3/2P2NNP/1PBQ1PPK/R3R3 w - -,d2g5
rq3rk1/1p3pp1/p2bpn1p/6N1/1n1P4/2N3P1/PP3P1P/RQB1R1K1 w - -,g5e4
2k5/2pr1p2/p3rnpp/np2p3/4P3/2P3NP/PP1NKPP1/R2R4 w - -,b2b4
5rk1/Rr3p2/4pp1p/1qP5/1b6/1N1b2P1/5P1P/2QR2K1 w - -,a7b7
2r1qrk1/pbn1b3/1p1p2pp/3P2N1/5PpP/PQN3P1/1P1BP3/2KR3R w - -,g5e6
rq3rk1/5ppp/5n2/p2bNP2/1pN5/P2P2Q1/1P4PP/4RR1K w - -,g3h4
8/5k2/R5p1/3P3p/7P/P3p1P1/2r5/6K1 w - -,a6e6
5rk1/2pqbppb/nr5p/1p1pP3/2pP2PP/4BP2/1P1Q2B1/R2RN1K1 w - -,g4g5
rnb2rk1/ppp2ppp/4pq2/6N1/1b6/3P4/PPP1BPPP/R1BQK2R w KQ -,c2c3
8/2qn4/3kppp1/1Q1p3p/1N1P1P1P/6P1/3K1P2/8 w - -,b4d3
r4rk1/pp1nbppb/2p1p2p/7q/2P1P1n1/PPN2NP1/2QB1PBP/R4RK1 w - -,h2h3
r4rk1/pp1nqpp1/2pbbn1p/3p4/3P1B2/2NBP3/PPQ1NPPP/1R3RK1 b - -,a7a6
3r2k1/p4ppp/1p1Nb3/2p1n3/2P2P2/P3P3/4B1PP/3R2K1 b - f3,e5c4
4r1k1/p1q2ppp/6b1/4r3/8/2N2BN1/PP4PP/2RQ3K b - -,c7b6
8/pp3k2/3p1n1p/6p1/3Pr3/5N1P/PPR1P3/6K1 w - -,g1f2
r5rk/2p2qbn/3p4/pNpPp3/2P1Pp1B/5P1B/PP5P/4Q1RK b - -,g7f6
6k1/1p6/pB1p4/P4n2/3P1Pp1/6p1/1P4K1/8 w - -,d4d5
rr4k1/5pp1/1q3n1p/p1ppQ3/6b1/3BPN1P/PP1R1PP1/2R3K1 b - -,b8e8
2r3k1/6p1/4p3/4R2P/1p5P/2p5/1P3PK1/8 w - -,b2c3
r2q1rk1/3n1ppp/pp1b4/2pP4/8/3BPP2/PBQ2P1P/R4RK1 b - -,d8h4
4B3/p7/5r2/4p1kP/3b4/7K/P7/2R5 b - -,f6f3
r1bqr1k1/ppp2ppp/5b2/2BPpn2/2P3P1/P4N2/1P2BP1P/R2Q1RK1 b - g3,b7b6
r1bqkbnr/pp2pppp/2np4/2p5/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq d3,c5d4
r4rk1/4bppp/1nn1p1b1/p1p1P3/1pP2BPP/1P3N2/P4PB1/3RRNK1 b - -,a5a4
4r1k1/2b1rp2/p1p2q2/2Pp4/3P3p/PR2Pp2/2Q3PP/1R3NK1 w - -,c2f2
8/1p3pp1/2p1k2p/p1R5/P2rP3/1P5P/2P2PP1/5K2 b - -,d4e4
r3r1k1/4qpp1/3p3p/1pp1p3/4P1Q1/2PPP2P/1P4PK/R4R2 b - -,c5c4
4r1k1/p4p1p/8/1Q4p1/5q2/3P3P/PP4B1/4rR1K w - -,b5e8
6k1/5pp1/8/7Q/3pn3/4q3/6R1/7K w - -,h5d5
r2q1rk1/4bppp/1n1p4/3Pp1P1/pp3n2/4BP2/PPPQ3P/1KNR1B1R w - -,e3f4
rq1r2k1/pp2bppp/2p1p3/5b2/3P4/2Q1PNP1/PP2BPP1/2R2RK1 b - -,a7a5
r2q1rk1/ppbn2pp/2p5/2P2p2/3Pp3/P3Q2P/1P1B1PP1/R3NRK1 b - -,d8e8
r2qk2r/1b1nppbp/p2p2p1/3nP1N1/Pp1P1P2/3B4/1P2N1PP/R1BQ1RK1 b kq -,d6e5
r2qkb1r/pp1n1ppp/2p1p1b1/3n4/2BP4/4BNN1/PPP2PPP/R2Q1RK1 b kq -,f8d6
1Q6/8/2n5/pk6/8/1P1K4/8/8 b - -,c6b8
rnbqk1nr/pp1pppbp/6p1/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq -,f1g2
r1b2rk1/1pq1bppp/pn1p1n2/P3p1B1/2B1P3/2N5/1PPNQPPP/R3K2R b KQ -,b6d7
2rb2k1/1q4pp/p1r1pn2/3p1p2/2pP1P2/P3P1BP/1PQ1N1P1/2RR2K1 b - -,f6e4
3r2k1/p1q2pb1/2b1p2p/2p3p1/p1B1P3/2P3P1/QP3PP1/4RNK1 b - -,c7b7
r1b1r1k1/1pqn1pbp/p2p1np1/2pP2B1/P3P3/2NB1N1P/1P3PP1/2RQ1RK1 b - -,a8b8
1r6/4kp1p/6p1/1P1RP3/3K1P2/p5PP/P7/8 w - -,d4c5
8/5pk1/2r2p2/p3pPb1/Pp1p4/6Pp/1PP1RK1P/5R2 b - -,b4b3
4r1k1/qQn2rpp/P1p1p3/2bnB3/P3N3/6P1/5P1P/R2R1BK1 w - -,d1d2
r1bqkb1r/pp1npppp/3p1n2/2p5/4P3/2P2N1P/PP1P1PP1/RNBQKB1R w KQkq -,f1d3
r2q1rk1/1p2ppbp/p1npbnp1/8/2P1P3/2N1BN1P/PP2BPP1/R2Q1RK1 b - -,f6d7
rnbqk1nr/pp3ppp/3b4/2pp4/3P4/5N2/PPPN1PPP/R1BQKB1R w KQkq -,d4c5
r1b2rk1/p2qbppp/1pn1p3/2p2n2/4N3/1P1P2P1/PBPQNPBP/R4RK1 w - -,a1d1
r1bqk2r/pppn1pp1/3bpn1p/8/3P4/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,e8g8
1kr3r1/pp3pbp/3pbn2/q1p5/2P1Pp1N/2N3PP/PPQRBP2/K6R b - -,f4g3
r3k2r/p1qn1pp1/2n1p1p1/1p1pP1B1/2pP3P/P1P3P1/1P1N1P2/R2Q1RK1 w kq -,g1g2
2rr4/pp3p1p/3pbk2/8/3N1P2/1P6/P5PP/R3R1K1 w - -,a1d1
6k1/p4pp1/1bp1r2p/3p4/1q6/1P1Q2P1/P1P2PKP/1N3R2 w - -,c2c3
5k2/1p4pp/1p1P4/6qP/2R5/5pP1/P4P2/4R1K1 b - -,g5d8
4rrk1/p6p/1p4pb/2p2b2/PPPn4/R1B1P1P1/3N2P1/3BR1K1 b - -,e8e3
8/8/8/1R3pk1/r7/6K1/8/8 w - -,g3f3
3n1rk1/4R1bp/p4pp1/p2pP3/Pr1P1P2/4BN2/P5PP/5RK1 b - -,f6e5
1rb1r3/2qn1pkp/p1Npp1p1/8/1PP1PP2/2N5/3QB1PP/1RR3K1 b - -,c7c6
2b3r1/1p1k4/p1p5/2P2pp1/4PP2/P2P1BP1/1R3K2/8 w - -,e4f5
8/3rkp2/2pqp3/6pp/Q7/8/PPR2P2/1Kr5 w - -,c2c1
2r5/p1r1bpk1/1p1np1p1/3pNn1p/3P1P2/2P2PB1/PPN1R1KP/1R6 w - -,g3f2
3r4/1q2npk1/pp1bbpp1/3p4/1P1P1N2/PQRNPBP1/5P2/6K1 w - -,f3g2
r2q1rk1/1b1n1ppp/1p2pn2/p1p1P3/Pb1P4/5NP1/1PQ2PBP/RNBR2K1 b - -,f6d5
r2q1bk1/3r1p1p/b3p1p1/pN1p4/Pn1P4/BPR5/3QBPPP/5RK1 w - -,f1c1
2k3r1/1p2qp2/p1b1p3/3p2r1/5P1Q/3BR3/PPP3P1/4RK2 b - f3,e7f6
8/6k1/4b1p1/1pp5/r7/P3N3/1K3R1P/8 b - -,a4e4
5rk1/1bp2ppp/r1p1pn2/1pb2q2/5P2/1PN1P1PP/PB1P3K/R2QRB2 b - -,f8d8
r1b1k2r/1p2bppp/p1n1p3/3p2N1/P2p1B2/2PBPQ2/1qPK1PPP/R6R w kq -,c3d4
r2q1rk1/ppp1ppbp/2n5/4Pp2/5P2/2P2N1P/P1P3P1/R1BQ1RK1 w - -,c1e3
1r3r2/1b1nNpbk/p2p2p1/2p5/2p5/7P/PPBBN1P1/1R3RK1 b - -,g7f6
N1bk2nr/p5b1/1p4pp/2n1pp2/2P5/6P1/PP2PPBP/R1B1K2R b KQ -,e5e4
rnbq1rk1/4ppbp/p2p1np1/2pP2B1/2p1P3/2N2PN1/PP1Q2PP/R3KB1R b KQ -,b8d7
r4rk1/ppqnbpp1/2p2np1/2Pp4/3p1P2/2N1P1P1/PPQBB2P/R4RK1 w - -,e3d4
rn3rk1/pp2qppp/2n1p3/3pPb2/3N4/2P1B3/PP2BPPP/R2Q1RK1 b - -,c6d4
2r5/1k1r3p/1p4nR/3pn3/3N4/1P3PN1/PK1R2P1/8 b - -,g6f4
r1b1B1kr/1nB2ppp/p7/q2pPp2/Pb1P4/5N2/2Q2PPP/5K1R w - -,c7a5
4k3/r1B2p1p/p2P2pb/Pp2Pb2/5P2/5BP1/R4K1P/8 b - -,f7f6
1kbr4/1pp2ppp/p1n5/2p5/4PP2/P1N5/1PP1BKPP/5R2 w - -,f1d1
8/6k1/3p3p/3Pn2B/1r1p4/4b1PP/2R3K1/5R2 b - -,b4b7
r2q1rk1/pbpnbppp/1p2p3/3p4/2PPn3/1P1BPN2/PB1N1PPP/2RQ1RK1 b - -,a8c8
2brrbk1/pp3ppp/1qp1nn2/8/2PP4/2N2NPP/PBQ1RPB1/4R1K1 b - -,e6c7
2rq1r2/1p1b1k2/4p1p1/1P1pB3/4nPQP/3B3R/8/5R1K b - -,c8c1
r3r1k1/1pqn1ppb/p1pb1n1p/4pN2/2P5/1P1P2N1/PBQ2PPP/R3RBK1 b - -,d6c5
r5k1/2q2ppp/1p2b3/pB2p3/P2n4/5P2/1PP2QPP/3R1NK1 w - -,b5d3
rnb1k2r/pp2bppp/2pp1n2/q3p3/3PP3/2N1BP2/PPPQN1PP/R3KB1R b KQkq -,c8e6
r2q1rk1/pp2ppbp/2n3p1/2p1P3/3P2b1/2P1BN2/P3BPPP/R2QK2R w KQ -,e1g1
3r4/p3k1pp/1bpn1P2/8/5P2/1P1RpK1P/P3B3/3R4 b - -,g7f6
3r2r1/k1q5/B3p2p/2bpP1p1/6PP/2p1P3/PP2Q1R1/2K2R2 b - -,c3b2
1r1q4/3n3k/1pBp1npb/3Pp2p/1P2P3/R4PPN/2Q2BK1/8 b - -,b8c8
8/6pp/p1k2p2/b7/3B4/2P2N1P/5PP1/6K1 b - -,c6d5
5rk1/p2q2pp/1p1n4/2pPp3/4P3/2P4P/P2BQ1P1/4R1K1 w - -,e2h5
4r3/2qb1pk1/5n1p/2pP4/2P2P2/3B3P/1Q4PK/3N1R2 b - -,c7d6
r1bq1rk1/2p1bppp/p1n2n2/1p1pp3/4P3/2PP1N2/PPBN1PPP/R1BQ1RK1 b - -,d5e4
r4rk1/pp3ppp/2n1p3/2q5/2P1Q3/PP3N2/5PPP/R4RK1 b - -,a7a5
8/8/k2n2p1/pR1p1p1p/2rPp2P/2P1P1P1/R1KB1P2/8 b - -,d6b5
r7/p2q1kp1/2n1p3/2p2rB1/7P/P1P5/4QPP1/R4RK1 w - -,a1d1
r3kbr1/1b3p1p/pp1ppn2/2p5/3PP3/2PB1N1q/PP3PP1/R2QNRK1 w q -,d1e2
8/8/2k5/7B/4KP2/4P3/5b2/8 b - -,c6d6
rn3rk1/4ppbp/1p2bnp1/2p5/2pP1B2/2N1PN2/PP3PPP/2R1KB1R w K -,d4c5
4k3/1p2b3/4qpQp/p1p1p1p1/P1P1P3/1P1R1P2/4K1PP/8 b - -,e6f7
6k1/1B3ppp/1B6/p7/5b2/PP6/3N1P2/5K2 b - -,f4d2
3r1r1k/pp2qp1p/4pN2/2b5/3N4/1PP1P3/P5PP/R2Q2K1 w - -,d1f3
4qr2/r1b2pk1/1Np1b1p1/p1Pp4/3Pp2p/4P1P1/PRQ2PBP/1R4K1 b - -,f8h8
8/5Bkp/8/p4R2/5K1P/5P2/2r5/8 w - a6,f7b3
r4rk1/pppqbpp1/1nn1p1p1/4P3/3P4/P1N1BP2/1PQ1N1PP/R4RK1 b - -,f8d8
2b2rk1/5pbp/3q2p1/3pN3/B1pPn3/4P3/5PPP/2RQ1RK1 w - -,a4c2
r1r3k1/1b1nqppp/pp2pn2/2p5/Pb1P4/1P1BPN2/NB2QPPP/R4RK1 w - -,a1c1
r2q1rk1/1ppbbpp1/p1np1n1p/4p3/B1P1P3/2NPBN1P/PP3PP1/R2Q1RK1 b - -,f6h7
5r1r/1p1q1ppk/p2bb1np/4p2Q/3pP1N1/1B1P3P/PPRB1PP1/2R3K1 b - -,e6b3
1k3n1r/3bq3/1p2pbpr/pP1pN2p/P1pP1P2/2P1N1PP/K1B2R2/2Q2R2 b - -,d7e8
r2r2k1/pp3ppp/5qb1/3NR3/8/2P3Q1/PP3PPP/R5K1 b - -,f6a6
rn2k2r/ppp2ppp/4pnb1/q7/1bBP3N/2N5/PPPB1PPP/R2QK2R w KQkq -,h4g6
r1b2rk1/1pq1bppp/p1nppn2/8/P2NP3/2N1B3/1PP1BPPP/R2Q1R1K w - -,f2f4
r3r1k1/5pp1/p3qB2/1pp1pn2/3p3R/2PP1Q1P/PPB2PP1/R5K1 b - -,e6f6
rnbqkbnr/pp1p1p1p/4p1p1/2p5/4P3/2PP1N2/PP3PPP/RNBQKB1R b KQkq -,f8g7
r5k1/2p2r2/1bPpB1p1/3P1n1p/8/3R2P1/7P/5R1K w - -,h2h3
2r5/5k2/p1r1p1p1/2q1PpQp/8/2P1RP1R/P5PP/6K1 b - -,c5e7
6k1/8/4pp2/nr6/8/1P3N2/5P1P/3R2K1 w - -,d1d8
3r1rk1/ppb2qp1/2p1b2p/2P5/Q3N3/6P1/PP3PBP/R3R1K1 w - -,a4a7
2kr1b1r/ppqn2pp/5B2/1PPpp3/N7/3Q1N2/P1P3PP/R4RK1 b - -,f8c5
r6r/p4ppp/2pkb3/3p4/5P2/2PB4/PP1KR1PP/R7 b - f3,a8e8
5rk1/RR3p2/4pb1p/6p1/3PN3/3KP3/7r/8 b - -,f6g7
2r2rk1/pb2qppp/np2p3/3p4/Q2Pn3/3N2P1/PP1NPPBP/2R2RK1 w - -,d2b1
rnb1k2r/2q1bppp/pp1ppn2/8/P2NPP2/2N1B3/1PP1B1PP/R2Q1RK1 b kq f3,c8b7
r2qkbnr/p1n1pp2/2p3p1/1p2P2p/2BP3P/2N1B3/PP3PP1/R2QK2R w KQkq b6,c4b3
5rk1/4p2p/3p4/7R/6p1/4nr2/PP4BP/2R3K1 b - -,f3f2
1r3rk1/1pq1bpp1/p3bn1p/3pn3/P1pP3B/2N1P2P/1PQ1BPP1/1RR3K1 w - -,d4e5
8/8/4pk2/4p3/1p2P2p/1P1nNP2/7K/8 w - -,h2h3
8/2k5/4R3/p5P1/1p3r2/1K6/8/8 w - -,b3a4
7k/8/5P2/6KP/5Q2/8/8/6q1 w - -,g5h6
R7/8/8/P2p4/2p4p/2k5/7r/2K5 w - -,c1b1
r2r2k1/3nbppp/p3p3/n1p1N3/Pp6/1P1P2P1/1BPN1PKP/3RR3 b - -,d7e5
4r3/p6R/1p6/2p5/6k1/2PK1pp1/PP1N4/8 b - -,f3f2:e8d8
rn3rk1/1bqnp1bp/p2p1pp1/1ppP4/4PB2/P1N1QN1P/1PP1BPP1/R4RK1 w - -,f3d2
r2q1rk1/1b1nbpp1/p2ppn1p/1p6/3NP3/P1N1BP2/1PPQB1PP/R4RK1 w - -,e2d3
r1bbnr1k/5ppp/p1qpp2B/1p1B4/4PN2/6Q1/PPP2PPP/R3R1K1 b - -,c6b6
8/3b4/2p2k2/1pR1r1p1/1P4R1/P4K2/5P2/8 w - -,c5e5
3r2k1/1p5p/1p4p1/3p1rR1/1b6/3P4/PP3PBP/R5K1 w - -,g5f5
1rbq3k/4b1pp/5r2/4p3/2R5/3pQBP1/PP1B1P1P/1R4K1 b - -,c8e6
b7/4k3/N2pnppp/Pp6/7P/2P2PP1/1PN2K2/8 w - -,c2d4
3br1k1/1p1q1pp1/p2pr2p/P2NpR1P/1PP1P3/2R2QP1/5P1K/8 w - -,f3d1
rnbqk2r/pp3ppp/4pn2/2bp4/2P5/1P2PN2/P2N1PPP/R1BQKB1R w KQkq -,d1c2
2b2rk1/p3b2p/1p2q1r1/4p1p1/4p3/2P1P1R1/PP2QNP1/R3B1K1 b - -,e6c6
2rr2k1/pq2bpp1/2p1bn1p/3pB3/8/1BN2Q1P/PPP2PP1/3RR1K1 b - -,f6d7
4r1k1/5ppb/p1p4p/1p1nq3/8/1BP2PQ1/PP4PP/2BRrR1K b - -,e1f1
r1q5/4Q3/p2Pp1pk/1p3p1p/n6P/8/2P2PP1/3RR1K1 w - -,e1e6
8/p1R2k1N/r1p3pp/4p3/8/5P1P/P5P1/6K1 b - -,f7e6
8/5R2/3K3p/3B1ppk/8/8/4r1P1/8 w - -,d5f3
6k1/p4pp1/4p2p/Nbbn4/5PP1/1P3BK1/3BP2P/8 b - -,g8f8
r2qr1k1/1b3pbp/p4np1/1pnPB3/2p5/2N2N1P/PPBQ1PP1/R3R1K1 w - -,a1d1
8/5p1k/4p1rp/1p1pP3/1B4R1/2KP1PR1/1r4P1/1b6 b - -,b2c2
5k2/1p3pp1/3b3p/1r1p4/3Pb3/P3P2P/BP1R1BP1/2r1N1K1 w - -,g1f1
7k/7p/1p1R2p1/p4r2/2r5/5B1P/P1P3P1/7K b - -,b6b5
r1bq1r2/pp2n1bk/2Pp1npp/4pp2/2P5/2NPP1P1/P1Q1NPBP/1RB2RK1 b - -,e7c6
1k6/p5p1/6r1/2p2R2/p7/2PnNp2/1P1r1P2/1R3K2 w - -,f5f3
r3q2k/2p3Pn/8/1P3R2/4P2n/N1P5/1P2QP2/2B3K1 b - -,h8g8
8/3r1kpp/2R2n2/pP2p3/P3P3/B2p1P2/6PP/3R2K1 b - -,f6h5
4r2k/1p3p2/3p3p/p1pn2RP/8/P3q3/1PP5/K2Q2R1 b - -,h6g5
2r3k1/1p5p/6p1/p7/1N1pp1P1/2n4R/3KB3/8 w - a6,b4c2
8/4P2p/2R2nk1/1B1p1p2/8/4rpP1/8/3K4 w - -,e7e8q
5k2/4p3/3p1pp1/1pbP4/2n2PKP/1B6/1B6/8 w - -,b2c1
r1bq1rk1/pp1n1ppp/2pb1n2/3pp3/2P5/1P1P1NP1/PB1NPPBP/R2Q1RK1 b - -,b7b5
5bB1/B7/5k1p/8/P3pp2/5P1P/3n2P1/6K1 w - -,f3e4
2br2k1/1pp2rpp/1pn5/8/1Pn1PN2/P1B3PP/5PB1/R4RK1 w - -,f1e1
4k3/4ppbp/2np2p1/p7/N1K1P3/1P3P2/P2B2PP/8 w - -,c4b5
rn3rk1/pb1pq1pp/1p1pp2n/5p2/2PP4/P1NBPN1P/1P3PP1/R2QR1K1 b - -,g7g5
r1bqr1k1/3n1ppp/1ppBpb2/p7/PnBPP3/1QN2N2/1P3PPP/3RR1K1 w - -,d6b4
r2r2k1/pp3ppp/4b3/6b1/N1P2P2/1P2K3/P6P/2R2B1R b - -,d8e8
4r2k/ppp1q3/7p/1P2p1r1/P1B1PB2/2P5/2Q2P2/6RK b - -,e5f4
8/5Qpk/4pp2/5q2/5P2/6K1/4nNP1/8 w - -,g3f3
5k2/3R2b1/8/8/3PK3/4N1P1/3r2P1/8 w - -,g3g4
6k1/3q1pp1/p4nb1/1p2pN1p/2p1P1PP/P1Pn1PKN/1PQ3B1/8 w - -,c2d2
2rrb1k1/pp2ppbp/6p1/q2nB3/2BP1P1N/4P2P/PPR3P1/R1Q3K1 b - -,g7e5
r1bq1rk1/ppp1npp1/1b1p1n1p/8/3PP1P1/1BN2N1P/PP3P2/R1BQ1RK1 b - g3,e7g6
4r3/4qpk1/p2p1np1/nppP3p/2P5/1P4PP/P1QN1PB1/1R4K1 w - -,c2c3
r1bqkb1r/pp3ppp/2n1p3/2ppP3/5B2/2P2Q1N/PPP2PPP/2KR1B1R b kq -,f8e7
7k/2n1rr1p/p1q1pp1B/1pNn3p/3P1P2/5QR1/PP4P1/4R1K1 b - -,d5b4
r1bq1rk1/1p1n1pb1/1Pp2np1/p1Pp3p/3Pp2P/2N1P3/PBQNBPP1/2KR3R w - h6,d1g1
8/p6p/1p2p1p1/8/r2P1k1P/8/8/3R1K2 b - -,f4g4
r5k1/3b1ppp/3Np3/p2n4/1b6/6B1/PP2BPPP/2rR2K1 w - -,d1c1
2b5/8/1r5p/r1ppkB2/P4R1P/2K1P1P1/5R2/8 b - -,d5d4
r1bqr1k1/1p3pbp/n1pp1np1/4p3/1pP1P3/P1NP1NP1/5PBP/1RBQ1RK1 w - -,a3b4
8/1b6/6p1/5kPp/7P/3NK3/8/8 b - -,f5g4
rn1qk2r/4bppp/p1p1pn2/1p1p4/2PP2b1/1P1BPN2/P2N1PPP/R1BQ1RK1 w kq -,d1c2
2R5/ppk1Npbp/q4np1/4p3/2p1P3/4BP1P/PPP2P2/2K4R b - -,c7d6
r3k2r/1pq2pp1/p3p3/2bpP1B1/P2QP1P1/8/1PP1B3/3RR1K1 b kq -,c5d4
8/p4p1p/3kb1pP/6P1/3KBP2/P7/8/8 b - -,e6f5
8/5pr1/p1k4p/1pn5/4PN1P/P3KP2/6P1/3R4 w - -,d1c1
r1bq1rk1/1p1nbppp/2n1p3/p1PpP3/5P2/P1N1BN2/1PP3PP/R2QKB1R w KQ a6,c3a4
1r1q1rk1/3n1ppb/R3pn1p/2bp4/2P5/5NP1/QB1NPPBP/2R3K1 b - -,b8a8
2rr2k1/pp2bpp1/1qn1pn1p/3pNb2/3P4/2P1B2P/PP2BPP1/RNQ1R1K1 w - -,e2d3
5rk1/1p3pp1/1p4b1/2b4p/P7/5QP1/5P1P/3r1BK1 w - -,f3d1
2r3k1/1br1qppp/pp1p1n2/8/2RPp3/BP2P3/P2QBPPP/5RK1 b - -,b6b5
1n1r4/7Q/4k1R1/p7/1p1q4/8/PPP5/1K6 b - -,e6d5
6k1/2r3bp/6p1/5p2/8/BP2P1P1/5PK1/1R6 b - -,g8f7
Q7/8/8/5p2/R7/2K2Pk1/4r2p/8 b - -,h2h1q
6kr/ppr3p1/2n1p1B1/3p2PP/1b1P2p1/2N1P2q/PP1K1R2/R1B2Q2 b - -,h8h5
7k/3rb2p/1B2R3/4Pp2/4pP2/2r4P/1n2B3/6RK w - -,e2b5
8/1p1n1kB1/p6p/6p1/P2K2P1/1P5P/8/8 w - -,g7e5
8/2p1qpk1/p2r2p1/1p1pN2p/1P1P3P/4P1P1/P2Q1PK1/1B6 b - -,e7e8
4r3/Rp5p/1Pk2p2/2Pp1pp1/3P4/3K1P2/6PP/8 w - -,a7a2
5R2/2P5/3K4/8/5p2/8/4rk2/8 b - -,e2d2
3kr2r/pp1b1pb1/3p2p1/2pP3p/8/2PP2PP/PP1K1BB1/4RR2 b - -,e8e1
8/8/p6p/6p1/2k1p1P1/P1p1P2P/3r4/2K2R2 b - -,d2h2
r4rk1/ppn3b1/2pqb1p1/3p1p2/3P4/2PBN3/PPQ1NPP1/2KR3R w - -,g2g4
3k4/3P4/pp6/7q/2p3p1/P7/1P1R1PN1/6K1 w - -,g2f4
5bk1/1b5p/p5p1/1p1n1p2/8/1P1N2N1/PB3PPP/6K1 w - f6,b2d4
3qkb1r/1p3p2/p1rpbnpp/3Np3/4P3/2NQB3/PPP2PPP/R3K2R w KQk -,d5f6
