8/8/pp6/1k5p/1P2RP2/3K4/8/5r2 w - -,d3e2
2r2bk1/4np2/1q2p1pp/p1p1P3/2B2P2/2P1B2P/P4QP1/4R1K1 w - -,e1d1
8/2r3pk/7p/3R1p2/1P3P2/2p3PP/2K5/8 b - -,c7c4
r1q2rk1/1p3pb1/pB2p1p1/7p/1R6/1QPR4/P4PPP/6K1 b - -,a6a5
8/R7/p3rk2/7p/PP1np3/6P1/5PKP/8 w - -,a7h7
4rrk1/ppp3pp/8/5p2/3Pn3/2PNP2P/P4P2/R3K2R w KQ -,a1c1
3rr1k1/2p2pbp/1qpp2p1/p1n1P3/2PB1P2/1P4PP/P1Q3BK/3RR3 w - -,c2c3
r2q1rk1/pppb1pbp/2np2p1/3np3/2P5/3PP1P1/PP2NPBP/R1BQ1RK1 w - -,c4d5
2q3k1/pp2rr1n/3p2Qb/3Pp2p/2P4P/5PP1/PPB3K1/4RR2 b - -,f7g7
1r6/2b5/2p1k1p1/2P2p2/p1P2P2/1p2K2P/1B4P1/R7 b - -,b8b4
2kN4/p1p3p1/8/8/1PP1n2Q/P1B5/3Nq1K1/R7 w - -,g2g1
6k1/7p/8/5RPK/8/b7/8/8 b - -,g8g7
1r1q1rk1/1p2ppbp/p1Pp1np1/n7/Q1P2Bb1/2N2NP1/PP2PPBP/2R2RK1 b - -,a5c6
8/p4rk1/R6p/8/8/3Nbp2/7P/5K2 b - -,f7b7
r3r3/3q2kp/2p1p1p1/1p1b1p2/pPnP1P2/2P4B/1P2QRPP/2B1R1K1 b - -,d5e4
r5k1/5pp1/1p1Rp2p/1b6/P7/2P2P1P/6P1/5K2 w - -,a4b5
1rr5/3b1pkn/p5p1/1p1Pp3/2p1P1Pp/2P1N2P/PP3RBK/2R5 b - -,h7g5
r1bq1rk1/1p1nppbp/p1p2np1/3p4/2P5/1P1P1NP1/PBQ1PPBP/RN3RK1 b - -,b7b5
2r2rk1/n2qbppp/1p2p3/pP1p4/P1bP4/2N1PNP1/3Q1PBP/R2R2K1 b - -,e7b4
1r2r1k1/p4ppp/2p5/3p4/1b6/8/PPP1BPPP/R2R2K1 w - -,e2d3
r3r1k1/5pb1/p2p3p/P1nP1p2/8/4RN2/4BPPP/4R1K1 w - -,e2c4
r5nr/1p2kppp/p7/3Np3/3nq1b1/4B3/PPP2PPP/2RQKB1R b K -,e4d5
2r1R1k1/6pp/3p4/p7/1p1R4/1P3P2/P5PP/1K6 b - -,c8e8
3r2k1/7p/1n2ppp1/3nB3/1p3P2/6PP/PP4B1/2R3K1 w - -,e5d4
1r4k1/r4pp1/p2p3p/2q5/P7/3Q3P/1P3PP1/3RR1K1 b - -,a7b7
r1b2rk1/2q2ppp/1p3n2/p1p1R3/7Q/PB3N2/1PP2PPP/4R1K1 b - -,c8b7
3r1k2/1p3pp1/1p4bp/r1n1R3/2Pp4/P2P2PP/5P2/2BR1BK1 w - -,e5d5
8/7p/1p6/p1p1Pkp1/P3r3/1P1K2RP/8/8 b - -,e4e5
b7/1N6/2Pkpp1p/1B1p2p1/5P2/4P2P/6P1/6K1 b - -,d6c7
2br1rk1/p1q1npp1/5b1p/3pN3/1ppP1PPP/4P1Q1/PP2NRB1/R5K1 b - -,h6h5
6k1/1p6/4b3/p4N2/Pr1p4/1P4R1/2B2K1P/8 b - -,g8f8
1r3r2/1pq1ppkp/3b1np1/p1p5/P2P4/1QP1B1P1/1P4BP/4RR1K w - -,b3d1
8/5p2/8/2P1k3/1K2p3/6r1/R5P1/8 w - -,b4c4
r3rbk1/3q1bpp/1p1pNp2/pP1P1P2/5R2/1Q4P1/1PP3BP/R5K1 w - -,f4c4
1r1nk3/b3Np1p/4pPp1/p3P3/1p2P3/6P1/6KP/2BR4 w - -,d1d6
8/8/2k3b1/8/1Bpp4/8/7P/2K5 b - -,c4c3
1rbq1rk1/ppn1p1b1/3p3p/2pP1pp1/2P2P2/1QN1P1P1/PP1NB1P1/2KR3R b - f3,g5g4
3r2k1/pb1rqpp1/2p1p2p/2Q5/1P1P4/5BP1/P4PKP/3RR3 b - -,e7f6
3q2k1/r1pBrp1p/1p1p2p1/p2P4/4P3/1P3P1P/P1RQ2P1/2R3K1 b - -,e7d7
r2qr1k1/1p1n1ppp/2pbpn2/p7/2P1p1b1/PP1P1NP1/1BQN1PBP/R4RK1 w - -,d3e4
8/4k2p/4n1p1/3p1pPP/3B1P2/3BK3/8/8 b - -,e7f7
8/1N6/p3p1p1/k4r2/1n5B/5P2/5PKP/3R4 b - -,a5a4
r6r/pp2kBpp/5nn1/3R2b1/2p1p1Q1/4q3/PPP3PP/4NR1K w - -,g4e6
r2qr1k1/5pb1/p3bnp1/1pNp4/1PnPp1P1/1N2P3/PBQ1BP2/1K4RR w - -,c2d1
8/4kp1R/2b5/2P5/3K4/4B2P/6r1/8 w - -,e3f4
8/8/3b4/1K5p/7P/5k2/P3p3/4B3 w - -,a2a4
r1b1qrk1/ppp1ppbp/5npB/8/8/2P2NP1/PP1QPPBP/R4RK1 b - -,f6g4
1r5r/3n1pk1/1q2b1p1/npp1P1QN/8/1PN5/P3B1PP/2R1K2R b K -,h8h5
2q1rbk1/p4ppp/np6/3BP3/5P2/1P2B1PP/P3Q3/4R1K1 b - -,f8b4
rnbqkbnr/p4ppp/1pp1p3/3p4/3PP3/2N1BP2/PPP3PP/R2QKBNR b KQkq -,f8b4
6k1/1N6/6p1/5p1p/2P2n2/5P2/P6P/2K3b1 w - -,h2h3
8/5pp1/R3pk2/8/2p3Q1/5PPp/3p1q1P/3R3K w - -,g4h4
8/4k3/2P5/3KB3/R7/8/p2r4/8 w - -,d5c5
r2qrnk1/p2b1ppp/2pb1n2/3p4/3P4/P1NBP1N1/2Q2PPP/R1B2RK1 w - -,c3a4
4r1k1/3bq1p1/2p4p/1p1p1p2/1P1P1P2/Q1R1P1P1/4B2P/6K1 w - -,g1f2
2r5/5pp1/5k2/3K2pP/8/1p6/8/8 b - -,b3b2
8/1ppk2p1/4n3/1p5p/1P5P/2P1R1B1/2r2PK1/8 w - -,e3d3
5b2/6k1/3p2pp/1n2p3/1PK5/7P/2N3P1/8 b - -,b5c7
3r1rk1/p2bp3/3p1npp/2pP2q1/2P3P1/5R1P/P1QNP3/1R1K1B2 b - -,d8b8
8/k4P2/P6R/4K3/8/8/7p/7r b - -,h1e1
3k3r/pp3p1p/2bp4/3p3P/1P1P4/2P1R2P/P2Kr1B1/8 w - -,d2e2
8/3R2p1/1p3pk1/4p2p/4P2P/1Pq2KP1/5P2/3R4 w - -,d7d3
8/8/4kp2/R7/4P3/4K3/1r3P2/8 w - -,a5a6
r1b2rk1/pppnqppp/8/4p3/3P4/2P1PN2/P1Q1BPPP/R3K2R b KQ -,e5e4
6k1/2R5/8/r5K1/6P1/8/8/8 w - -,g5h4
6r1/1k2pp2/3b3p/3P1B2/1p5R/6PP/r4P2/1R4K1 w - -,b1b4
r4rk1/p1p2ppp/1pn1p3/5q2/2PP1b2/1QN2N1P/PP3PP1/R4RK1 w - -,a1d1
rnbq1rk1/4b1pp/p2p4/N2Ppp2/6P1/R3BQ1P/1PP2P2/4KB1R w K f6,g4f5
2r3k1/5p2/p5pp/qp1Q3P/2r1N1P1/5P2/PKP4R/3R4 b - -,a5b4
rnbqkb1r/pp2pppp/3p1n2/2pP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq -,b1c3
8/p4k1p/1p2p3/1P1pP1p1/3P2P1/2N1K3/1n5P/8 w - -,e3d2
2k4r/1p5p/p1nrb1p1/q1p2pN1/2P5/2P5/P3BPPP/R1Q2RK1 w - f6,g5e6
3R1nk1/pp2q1pp/2p2pb1/2P1p3/1P2P3/P1Q2P2/1B2B1PP/6K1 b - -,e7d8
r1b2rk1/pppn2p1/2nbpq1p/3p4/2PP4/5NN1/PP2BPPP/R1BQ1RK1 b - c3,f6f7
r2qr1k1/1p1b1pp1/3p1n1n/P1pP4/2P1N3/2B1P1P1/2Q2PB1/R4RK1 b - -,f6e4
r1b1r1k1/1pq1bppp/p1nppn2/8/3NPP2/2N1B1Q1/PPP1B1PP/3R1RK1 b - -,c8d7
8/p2Pk3/2B3pp/4Np2/3r3P/8/PP6/4K3 w - -,e5g6
8/7p/8/4kpp1/8/5P1P/4NKP1/7r b - -,h1a1
r3k1n1/1b3p1r/pQq3p1/1p2p1B1/2P4N/1BP4P/PP3PP1/R5K1 w q -,b6c6
r2q1r2/1p1nppkp/2bp2p1/p7/2PQPP2/2N2B2/PP4PP/1R3RK1 b - -,g7g8
2rq4/3kb1p1/p1n4r/1p1P2p1/1P2QpP1/P1R2N1P/5PK1/2R5 w - -,c3c6
1r2kb1r/5p2/3p1q1P/1bpPp3/4P1p1/2N1B1P1/1P1Q4/2KR3R w k -,c3b5
3r1rk1/pppq1pbp/2npb1p1/3N4/2P1P3/4B3/PP1QBPPP/2R2RK1 w - -,b2b4
8/3B2k1/8/1p4pp/p2P4/2PK2P1/7n/8 b - -,h2f1
8/8/3k4/3pR2p/1p1P1PrP/1P6/2K5/8 b - -,g4h4
r3kb1r/p1q2pp1/b1p1p3/2ppPn1p/N4P2/1P1P1N2/P1P3PP/R1BQ1RK1 b kq -,a6b5
rr4k1/4ppbp/bq1p2p1/2pP4/8/1Pn1P1P1/P4P1P/R1QRBBK1 w - -,e1c3
r2qkbnr/pp1n1ppp/2p5/3p4/6b1/3P1NP1/PP2PPBP/RNBQ1RK1 b kq -,g8f6
8/3kbp2/6p1/4P3/2r2PP1/4BK2/1R6/8 b - -,e7c5
4k3/6R1/5p2/1p1r3P/4p2K/4P2P/5P2/8 b - -,d5g5
3r1rk1/1pp2pp1/pbn2n1p/3pp3/1P2P1q1/2PP1NN1/1P1BQPPP/R4RK1 b - -,d8d7
r6r/2pkbppp/p3n1b1/3pP3/1B4P1/1NP2N1P/P4P2/R4RK1 b - -,c7c5
2k5/2n4R/1p1p3p/3p2p1/PP1Nr1P1/4P3/5PK1/8 w - -,g2f3
8/n7/P4b1p/2pkp1p1/2p3P1/2PpB1P1/1P1K1P2/R7 b - -,e5e4
r4r2/pb2qpbk/1pnpp1pp/2p2P2/1PP1P3/P1NP2PP/3B2BK/1RQ2R2 b - -,c6e5
4r1k1/8/Q7/1p3qpN/6n1/P3pP1R/1P4P1/4K3 w - -,a6d6
1nr1rk2/pq1nppbp/1p1p2p1/3P2P1/1PPN1P2/PQ6/6BP/B1R1R1K1 w - -,d4c6
r3rnk1/pp2bppp/R3p3/3pP3/1P1P1PP1/5N2/1P1Bb2P/1B1Q1R1K b - -,e2d1
3Q1nk1/3b1ppp/1p1B4/p2p4/8/P3P2P/1Pq1BPPK/8 b - -,c2c8
8/8/8/2R3p1/P3kp2/2P5/1P1r1KP1/8 w - -,f2f1
r2q1rk1/1p2b1pp/p2pp3/n1p5/P3P1b1/2P2N2/1P1N1PB1/R1BQR1K1 b - -,e7g5
2q1r1k1/4bppp/pp1ppn2/2r5/P1PN4/1P4P1/Q1R1PPBP/3R2K1 b - -,d6d5
2r1r1k1/pp1q1pb1/4p1p1/5P1p/3P2N1/B4PP1/1Q4KP/R2R4 b - -,h5g4
r1b1rnk1/p1q1bppp/3p1n2/2pPp3/2P1P3/P1NN4/4BPPP/1RBQ1RK1 b - -,a7a6
6k1/1p2p1bp/1qr1p1p1/pN3r2/P7/1P2Q3/1P3PPP/2R1R1K1 b - -,b6e3
3nQ1k1/6b1/2p1p3/r5qp/2B5/1P3P2/6PP/4BR1K b - -,g7f8
5r1k/1pp5/1b1p1nnp/p2P2p1/P1B3P1/5NBP/1P3PK1/4R3 b - -,h8g7
4k3/2R2p2/3K4/4P3/2P5/8/8/4r3 b - -,e1d1
8/1p1rppkp/pq2b1p1/5n2/5PP1/2rB3P/PPP5/R1Q1R2K w - -,e1e6
rnb1kb1r/pp1ppp1p/5np1/q1P5/8/5NP1/PPP1PP1P/RNBQKB1R w KQkq -,d1d2
4q1k1/pb1r4/1p1r3p/6p1/1P6/P1N1P2P/1QBn1PP1/2RR2K1 w - -,c2a4
r1br2k1/pp2pnbp/2p1p1p1/8/4N3/2P4P/PP2BPP1/R1B1R1K1 b - -,b7b6
r5k1/pn5r/1p1p2p1/3P4/2PB1P2/1P2Q1qb/P4R1R/3N3K b - -,g3g4
2rqr3/p4pk1/1pp1p2p/1n4p1/3P4/1QPN3R/PP3PPP/R5K1 w - -,b3d1
r2q1rk1/pp2bppp/2n2n2/2P5/N2pbB2/5NP1/PP2PPBP/R2Q1RK1 w - -,a1c1
8/5r1p/5P2/p3R1K1/1k6/7P/P7/8 w - a6,e5e7
7r/4kp2/4p1p1/p1n2bP1/1pB2P2/1P2R1N1/P1P5/2K5 w - -,c1b2
1r3rk1/5ppp/p2p4/1p2n3/4PNbP/2PB4/PP1K1P2/R6R b - -,f7f5
3r2k1/1pBb1p2/1Np1q2p/p1P3p1/P1P5/3Q2P1/4r2P/R4RK1 b - -,e2e3
r4rk1/bp3pp1/p1p5/6p1/4P3/1PP1N1P1/1P3P1P/2KR3R b - -,a8e8
3r1n2/1p2bk2/2p3p1/p2P1p2/P1P1p3/1P2B3/1KB2PP1/3R4 b - -,c6c5
2r5/p4pkp/1n2p1p1/4b3/2p1N3/2P2P1P/PPK5/4RB2 b - -,e5f4
5rk1/p1pp2pp/6r1/2pq4/8/1P2Qb2/PBPP1RPP/5RK1 b - -,g6g2
6k1/4bp1p/N5p1/8/1pr2B2/7P/P4PP1/1R4K1 b - -,c4f4
8/p1Bbbk1p/2p3p1/2P5/1K2BP2/6P1/7P/8 b - -,e7f6
r3kb1r/pp1bppp1/2np1n1p/q7/2B1P3/P1N2N1P/1P2QPP1/R1B2RK1 b kq -,a5h5
8/3n1pp1/3kp3/PB5p/N3P3/1P3P2/r4BPP/b5K1 b - -,d6c7
2r2rk1/pp1bppbp/2n3p1/q1p5/2BPP3/2P1BP2/P2QN1PP/2RR2K1 b - -,c5d4
r1bq1rk1/pppp1ppp/5n2/4p3/1n2P3/5N2/PPPPBPPP/R1BQK2R w KQ -,f3e5
r3k2r/p4pb1/bp2p3/2pp4/5B2/N1Pn2P1/PP3PB1/R3R1K1 w kq -,g2d5
8/4k3/8/8/3q1KQ1/5P2/8/8 w - -,f4g3:f4f5
rnbqkb1r/pp1p1ppp/5n2/8/2PNp3/8/PP2PPPP/RNBQKB1R b KQkq -,d7d5
6k1/p2r2bp/6q1/1pp1Rp1r/8/PP1P1P2/1BP3Q1/5RK1 w - -,f3f4
1nr5/4kp2/4p2p/2N5/1PP4P/6P1/3RP3/6K1 b - -,b8c6
2N5/1b6/1p2r2p/1P6/1k1Q4/1q6/4N3/4K3 b - -,b3c4
rn1q1rk1/1p2bppp/p2pb3/3np3/4P3/1N1Q4/PPP1BPPP/R1B2RK1 w - -,e4d5
3k4/3n1R2/2p5/8/P7/1P2B3/1K6/3r4 b - -,d7e5
4b1r1/2r1k1p1/4p1Bp/pp1pP2P/5RPK/PPP2R2/8/8 w - -,g4g5
8/3k4/5R2/4pKN1/r7/5P2/8/8 b - -,a4a5
r2qk2r/1bpnnpbp/pp1pp1p1/5P2/3PP3/2NBBN2/PPPQ2PP/R4RK1 b kq -,e6f5
6k1/8/6R1/6P1/4p2N/6K1/5p1r/8 b - -,g8h8
1n1r1rk1/1pp2pb1/p2p2qp/N1PPp1p1/b3Pn2/P3B2P/1PB2PPN/R1Q1R1K1 b - -,a4c2
r1r3k1/3n2bp/p2qp1p1/1p3p2/2pP1P1B/2P1PN2/P1Q3PP/1R3RK1 b - -,d7b6
6k1/p6p/1pN1ppp1/1P1n4/P4P2/2r3P1/5P1P/R5K1 b - -,a7a5
8/6k1/5qp1/2p5/2PbB3/6QP/5P2/6K1 b - -,d4e5
8/8/6pB/5r1p/5p1P/1k3P2/4K1P1/8 b - -,b3c2
r3k2r/pp3q1p/3bp1p1/3pn1B1/7Q/7P/PPP2PP1/2KR1B1R w kq -,f1b5
4r1k1/p4rbp/1ppq1n2/3Pp3/Q7/4B1PB/PP3P1P/3RR1K1 b - -,c6d5
q3k2r/r4pp1/2bp1n2/4pP1p/p1B1P1P1/1p5P/PPPNQ3/2KRR3 w k -,g4g5
4kn2/3b2b1/1r6/R7/4BNPB/2P5/1P2p1P1/6K1 w - -,f4e2
r2q1rk1/1b3ppp/p1nppn2/1p6/4P3/1NNBQ3/PPP2PPP/3R1R1K b - -,d8c7
r1b2rk1/p1p2ppp/4q3/3Q4/2p5/2n3P1/PP2PP1P/R1B2RK1 w - -,d5e6
8/5pkp/4n1p1/4P3/4QP2/6PP/3q2BK/8 w - -,h3h4
r4rk1/pp2qpp1/7p/2b1p3/3nN1b1/3P2P1/PP2PPBP/R1BQ1RK1 w - -,f1e1
r2q1rk1/1p2ppbp/n1p2np1/p2p1b2/2P5/1P1P1NP1/PBQ1PPBP/RN3RK1 w - -,a2a3
r4rk1/1ppqnpbp/p2p1np1/2PPp3/4P3/2N2N2/PP3PPP/R1BQ1RK1 b - -,c7c6:h7h6
2B5/8/p4P1p/8/3k4/2pn1P2/P2K3P/8 w - -,d2d1
8/1p1k1p2/1Qp3p1/8/1Pq5/4P1P1/5P2/4K3 b - -,d7c8
2br1bk1/p5pn/2p4p/2p4r/N1Pp4/1P1P3P/P5K1/2BR1RN1 w - -,f1f3
2b5/4kp1p/1p1Rp3/pBr1PPp1/P3P1P1/3K4/7P/8 b - -,c5e5
r4rk1/4qppp/3pb3/pB2p1b1/RN2P3/2P5/1P3PPP/3QK2R w K -,b4d5
r2q1rk1/Bpp2pp1/p1npbn1p/4p3/2N1P3/1BPP1N2/PP3PPP/R2Q1RK1 b - -,a8a7
2rqr1k1/pb1nppbp/1p1p1np1/8/2PNP3/2N1BP2/PP1QB1PP/1RR3K1 b - -,a7a6
r1b2rk1/1p2bppp/p1n1pn2/q7/2B2B2/P1N1PN2/1PQ2PPP/3R1RK1 b - -,b7b5
r1b1kb1r/ppq2pp1/2n2n1p/2ppp3/8/1PNP1NP1/PBP1PPBP/R2Q1RK1 b kq -,c8e6
r2rn3/pbb1k1np/1pp2pp1/4p3/PPB1P2B/2P1NPNP/3R2P1/3R2K1 w - -,g3f1
r1b2rk1/pp2npbp/1qn1p1p1/2p1P3/3p1P2/2PP2P1/PP1NN1BP/R1BQ1RK1 b - -,e7d5
r3kb1r/pq1n1p2/b3pp2/P2p3p/1p1P3N/1N1B4/1PP2PPP/R2QR1K1 w kq h6,h4g6
6k1/6pp/5p2/8/5P1P/4P3/3rK3/8 w - -,e2d2
1rbqr1k1/1pn2pbp/p2p1np1/P1pP4/4P3/2N5/1PQNBPPP/R1B1R1K1 b - -,c8d7
1k1r1b1r/ppp2ppp/4pn2/5n2/3P1P2/2N1P3/PP1BKPBP/R1R5 w - -,c3a4
r3rb2/1b1q1p1k/p3p1pP/1p1pP3/4nPQR/3BBN2/PPP4P/4R1K1 w - -,e1d1
6k1/8/6pp/8/8/5Kb1/3N4/8 b - -,g3c7
8/ppR1Rpkp/2b3p1/8/r2P4/2K2r2/8/8 w - -,c3d2
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/3PPP2/2NBB2P/PPP1N1P1/R2Q1RK1 b - -,b7b5
2rr1bk1/1b1q1ppp/p3p3/1p1pPP2/3Bn1B1/2PNQ3/PP4PP/2R2RK1 b - -,d7e8
5bk1/5p1p/p3p1p1/1p1p4/1n1P4/1P1BP1P1/P2B1P1P/6K1 w - -,d3b1
r1k1r3/1pp2ppp/p2p3q/3QnP2/4NR1P/4P3/PPP3P1/2K4R b - h3,g7g6
rnb1r1k1/ppq3bp/2p3P1/4pp2/2PP2n1/1PN1PN2/PB1Q2P1/R3KB1R b KQ -,h7g6
8/3kb3/6R1/6P1/8/4BK2/r7/8 b - -,a2a4
6k1/6p1/3R4/2R5/5r2/1PK4r/1P6/8 w - -,d6d3
8/5p1k/7p/P3n1pP/3B2P1/5r2/3R2K1/8 b - -,f3a3
6k1/5p2/1b1p2p1/3Pnq1p/1P2p1P1/2Q4P/4BPK1/4B3 b - -,h5g4
rr1qnbk1/N2bn3/1p1p4/2pPp1pp/1PP1Pp2/2NQ1PP1/R4BBP/R5K1 b - -,e8c7
8/1p4kp/p1bp2p1/P1pN4/2B5/4KP2/1P4P1/8 w - -,b2b4
8/8/5k2/p1pP4/2P4P/1PN1pp2/P2n4/6K1 b - -,f3f2
k7/Pr3p2/4pn1p/1Nb5/R3P1P1/1P5P/2P3B1/5K2 b - -,b7b5
1q4k1/5p2/p2P3p/4np2/2B5/P2p4/1P1Q1PPP/6K1 w - -,d6d7
rnbqk2r/ppp1ppbp/5np1/3p4/8/1P4P1/PBPPPPBP/RN1QK1NR w KQkq d6,e2e3
r1rq2k1/1bp2p2/1p1n2p1/p2pN2p/N2Pn3/1P2P2P/PQR1BPP1/2R3K1 w - h6,a4c3
r2Q1rk1/p4b1p/5npb/2Pp4/2n1p3/2N1P2P/PB2BRP1/3R1NK1 b - -,f8d8
r4rk1/pb1nqppp/1pp5/3p4/Q2Pn3/2NBPN2/PP3PPP/2RR2K1 b - -,f8d8
r2qk2r/1pp2pp1/p1n1bn1p/3pP3/5B2/2N1P2P/PP2BPP1/2RQK2R b Kkq -,f6d7
r3k2r/1pqbbppp/p1nppn2/8/3NPP2/2NBB3/PPP3PP/R2Q1R1K w kq -,d4f3
3rr3/2pn1pk1/bp1pn1pp/p3p3/2PPP3/P1P2P2/2N2BPP/1R1R1BK1 b - -,d8b8
4rbn1/ppqr1ppk/2n1b2p/2p1pNP1/4P2Q/P1P4P/1PB2P2/R1B1RNK1 b - -,c7d8
2r2rk1/1p2bppp/p2ppn2/2q5/3RP3/2P1NR2/PP2QPPP/7K b - -,c5b5
r2r2k1/7p/3N2q1/p1pP1pp1/Pn6/6B1/4QPPP/3R2K1 w - -,e2e5
3r2k1/pb1q1p1p/4p1p1/2rpPn2/3P4/1P6/P2QB1PP/R4RK1 w - -,d4c5
2r1rnk1/1b3pq1/1p4p1/p1ppP3/3P1Nn1/1P1B1NP1/PQ3PK1/2R1R3 b - -,f8e6
2rr2k1/bp3ppp/p2q4/3p4/3N2b1/P1NQP3/1P3PPP/3R1RK1 w - -,d1d2
8/6k1/4Pp2/2bp1B1P/1p6/1P1K4/2P5/8 b - -,g7h6
1r2r1k1/ppp2pp1/3pqnnp/4p3/4P3/2PPPNNP/PPQ3P1/R3R1K1 w - -,c2a4
2rq1bk1/1pr2p1p/4p1p1/pP1n4/P1nPB3/1Q3N1P/R1R2PP1/4B1K1 w - -,e4d3
6k1/4ppb1/7p/3bPp2/3r1N2/4B3/6PP/5R1K b - -,d5c4
1r4k1/7p/pq1pp1p1/3b4/P4R2/5PP1/3QK1BP/8 w - -,f4d4
r2qkn1r/4ppbp/2p1bnp1/ppP5/3P4/P2B1NNP/1P3PP1/R1BQK2R w KQkq -,g3e2
r1r3k1/1b3p2/pBn3pp/2Ppb3/1P3q2/PN3P2/5QPP/2RR1BK1 w - -,g2g3
r5k1/5p2/3p1bp1/3P3p/1p3P2/1P6/P2RNK1P/2r5 w - -,e2c1
r1br2k1/pp2bppp/8/3PP3/2PpP1n1/1N2q1PP/PB4B1/R2Q1RK1 w - -,g1h1
8/8/5RK1/6P1/4k1q1/8/8/8 w - -,f6f7
4k2r/3P1pp1/4p2p/1nnP3P/q1p1QB2/6R1/3NKPP1/8 b k -,e8e7
8/1pp1r1kp/p5p1/1q2p3/4P3/5P1P/1P1Q2P1/3R3K w - -,d2d8
r3r1k1/1p3ppp/p2qbn2/3p4/3N4/P2Q3P/1PP1NPP1/R4RK1 w - -,d3g3
rnbqk1nr/ppppppb1/6p1/7p/3PP2P/8/PPP2PP1/RNBQKBNR w KQkq -,c1e3:c2c3
8/pr4p1/5n2/4kBp1/6P1/P4K2/1P1R1P2/8 b - -,b7b3
r2qk2r/pp1nbpp1/2pnp2p/4N3/3P1BPP/2NQ4/PPP5/2KR3R b kq -,d8a5
4b1R1/1q2kp2/3r1p1Q/1p2p3/2p1P3/2P5/1r3PPP/4RBK1 b - -,e7d8
4r1k1/pb1q3p/1p1Pp1p1/2r3B1/1np4P/2N3Q1/PP4P1/R4RK1 b - -,c5f5
6k1/2p2p1p/ppnqr1pb/8/B1Pp4/5Q1P/PP1B1P2/R5K1 w - -,d2h6
2rr2k1/pp1nbppp/4pn2/2p5/N1PP4/1P5P/PB2NPP1/R2R2K1 w - -,b2a3
r2qkb1r/pppb2pn/2np1p2/4p3/3PPPPp/2N1B2P/PPPQN1B1/R3K2R b KQkq -,g7g6
r2qr1k1/2p2ppp/p1n5/1pnpP3/6b1/2P2N1P/PPB2PP1/RN1QR1K1 b - -,g4f3
4r1k1/p4p2/7p/2pP4/2Pb2Pp/P3Q3/6R1/5R1K b - -,e8e3
5rk1/p5bp/1pq1p1p1/5r2/2pnN3/3QR1BP/PP3P2/R5K1 w - -,d3d1
8/6qk/p7/2P5/1N3Qp1/P6P/6bK/8 w - -,f4f5
rnbqk2r/1p2bppp/p2p4/1N1Pp3/P7/8/1PP1BPPP/R1BQK2R w KQkq -,b5a3
r1bq1rk1/pp2bppp/2n2n2/3p4/3P4/P1NB2N1/1P3PPP/R1BQ1RK1 b - -,c8g4
r4rk1/1bbnqppp/pp1ppn2/6N1/2P5/1PN1PB2/PBQ2PPP/R2R2K1 b - -,b7f3
2b3k1/p3bp1p/8/2p1p1p1/PpP1P3/1P4P1/3B1PBP/5K2 w - g6,f1e2
