8/6r1/8/8/4k3/R3p1p1/6K1/8 w - -,a3a4
2r3k1/5n1p/1B4pP/p2p1p2/3P4/P3R3/5P2/6K1 b - -,a5a4
4r1k1/1pq1rpp1/p2p1n1p/P1pPn3/2P5/3Q1PP1/3BB1KP/1R2R3 w - -,d3b3
6k1/pp3p1p/2np4/1P3p2/2N1p3/2b1P1PP/P3BP2/6K1 b - -,c6b4
3r2k1/p5p1/5bqp/3p4/8/1P3Q2/2RB3P/3K1R2 w - -,f3f5
5k2/1p3rpp/p1n5/4p3/1P6/P3PP2/1B1R1PKP/8 b - -,f8e7
r5k1/pR4pp/3b1p2/8/8/4B1P1/rP2PP1P/5RK1 w - -,f1d1
4R3/5kpp/5p2/1pB5/8/3n1P1P/6PK/r7 w - -,e8e7
2k3r1/1pp2p2/p1nn2p1/5Q1p/P6P/1P2R1P1/1BP1BP2/1K6 b - -,d6f5
8/7p/1p2k1p1/p4pP1/2PP1b2/1PK2N2/P7/8 w - -,b3b4
r2qkb1r/1b3ppp/p1nppn2/1p6/4P3/2PB1N2/PP3PPP/RNBQR1K1 w kq -,b1d2
6k1/pp5p/2p3p1/3r1p2/PP6/4P2P/2R2PPK/8 w - -,h2g3
8/1r6/2b3p1/4p3/1kP1P1p1/p5P1/2KN4/4R3 w - -,e1b1
r1bqkb1r/p2p1ppp/4p3/3pP3/8/3B4/PPP2PPP/R1BQK2R b KQkq -,f7f5:c8a6
r3k2r/pp3ppp/2nbpn2/q6b/3P4/P1N2N1P/1P2BPP1/R1BQ1RK1 w kq -,g2g4
7r/1pqbbk2/p3p3/3ppp1p/PPrN1P2/2PR4/3BQ1PP/4R2K w - -,f4e5
1nb1r1k1/1q3pp1/7p/1p1Pp3/8/1RP2N1P/2BRQPP1/r5K1 w - -,f3e1
8/1k6/8/1P4R1/1K6/8/8/2r5 b - -,c1b1
5k2/pp2r3/2p1P1p1/4R1N1/1P6/P7/5K2/8 w - -,f2f3
2Rb3k/4q1p1/p3P2p/5P2/4QP2/r4BKP/P6B/8 w - -,f5f6
r3kb1r/3n1pp1/bq2p2p/p1pnP3/PpBP4/1N3N2/1P1BQPPP/R3K2R w KQkq -,e1g1
6rk/5Rp1/1p2P2p/pP1P4/P5Q1/4q3/6PP/2rR3K b - -,g8c8
rnbqk2r/2p2ppp/p3pb2/3p4/3P4/2P2NP1/P1P2PBP/R1BQ1RK1 b kq -,e8g8
5n1r/1p6/p3p1k1/P2p3b/1P1N1P2/2P1KB2/7R/8 b - -,h8h6
8/1p2k3/p2n2p1/3p3p/3N2P1/1P6/P1P2PK1/8 w - h6,f2f3
r1b1qrk1/ppp3b1/1n2nppp/4p3/4P3/2P2NB1/PPQN1PPP/3RRBK1 w - -,d2c4
2r2nk1/pp3qp1/4p2p/3pPr1P/2nP1P1Q/4BN1R/2P3P1/R2K4 w - -,e3c1
8/3Qr2k/7p/p4B2/P5Pq/7P/1Pb5/5RK1 b - -,c2f5
2r5/pp1bkp2/3p2pp/3Pp1n1/4P3/1P1BNP2/P3RKPP/2R5 b - -,c8c1
r3k2r/1ppqbpp1/2n1bn2/pN1pp2p/P7/4P1PP/1PPPNPBK/R1BQ1R2 b kq -,e5e4
r2qkbnr/ppp2pp1/2n1b2p/3p4/2P1p3/3P2P1/PP1NPPBP/RNBQ1RK1 b kq -,e4d3
4q1k1/pp1bQp1p/5Pp1/2P3P1/3P1P1P/1B4K1/8/8 w - -,d4d5
rqb1kb1r/1p3pp1/p1nppn2/6Q1/3NP2p/2N1B3/PPP1BPPP/R3K2R b KQkq -,b8c7
8/5pk1/1p6/p7/4Q3/P1P5/KPB2q2/2b5 b - -,f2f4
r1b2rk1/pp1n4/4R1pp/5pq1/8/2NB4/PPP2QPP/5R1K b - -,d7f6
r7/r5p1/1n1kppN1/1ppn3p/p2P3P/1PP2P2/PK1B2P1/R3R3 w - -,d4c5
3rr1k1/1p1q1pp1/p1p2b1p/P2n4/3P4/1Q3N1P/1P1B1PP1/3RR1K1 w - -,g1f1
6rk/1p5p/4p2b/p1PpPp2/P4P2/4B2q/1P2Q2P/5R1K b - -,g8g3
8/5k2/1p3b2/p3R1pp/P1PN1p2/2B2Pr1/2K5/8 w - -,e5f5
1r6/3k1ppp/p4p2/8/3P1NB1/3b3P/Pn3PP1/2R3K1 b - -,d7d6
4r1k1/2r1q1pp/R2Rpn2/2p1Np2/2Q5/4PP2/5P1P/7K b - -,g8h8
1r4b1/p1r1k3/2p2p1R/2R5/1P2PK2/P7/4B3/8 w - -,h6h8
2r3rk/p5Pp/bp2pp2/6B1/q2P4/2P3Q1/5PP1/3RR1K1 b - -,h8g7
rn1qkbnr/pp3ppp/4p1b1/3p4/3P2P1/2N2N1P/PPP2P2/R1BQKB1R w KQkq -,f3e5
5k2/p1r1pr1p/1p3pp1/8/2PN1P2/1P4Pq/PQ4R1/3R2K1 w - -,b2e2
1r1qr1k1/p2b1p1p/3p1bp1/1p1P4/nPP1pP1N/2Bn2PP/P1Q1N1BK/R4R2 w - -,c3f6
7r/2R1b1p1/3p1pPp/1k1BpP2/1P2P2P/pP6/P7/2K5 b - -,e7f8
rnbqkb1r/ppp2ppp/5n2/3pp3/1P6/P3P3/2PP1PPP/RNBQKBNR w KQkq -,c1b2
2r3k1/R1rq1ppp/8/1PBn4/2nP4/4PP1P/R5P1/1Q4K1 b - -,d5c3
7k/4b2p/p1b5/4p1p1/2p2p2/P1P2P2/1P1N1BPP/6K1 b - -,c6d5
2k5/2R5/3K4/3P2p1/P7/8/r7/8 b - -,c8d8
r3nb2/1p1b1pk1/5qpp/3Pp3/4P1P1/pP1BQP1P/P1R5/1K5R b - -,b7b6
r1b2rk1/ppp2pp1/1b3qnp/1B6/4Pp2/1NP2QP1/PP1N1P1P/R4RK1 b - -,f6g5
8/4k1p1/p3Nb2/1p1p1Q2/3P1P2/1P2P3/P3K3/2q5 w - -,e6c5
1r4k1/B4p2/6p1/8/3P3p/4P1P1/4R1K1/3r2b1 w - -,a7b8
N3r1k1/pp5p/6p1/3p1p2/2b1P3/2P2P1P/P4P2/R3R1K1 b - -,e8a8
5k2/2P2pp1/8/5p2/1pPP4/7P/1B2rPP1/6K1 b - -,e2e8
r1b2rk1/pp3p1p/1q3Pp1/3B4/2PNQ3/1N2b1P1/PP2PR1P/R6K b - -,e3f2
b2rq1k1/2p1bpp1/p1p1p2p/2P1P3/8/1Q2BN2/PP1R1PPP/6K1 w - -,b3a4
k5r1/pp1b4/3bp3/1R1p4/P1pP3r/2P2B2/2P1NKP1/R7 w - -,b5b1
rnq1kb1r/4ppp1/2p4n/p2pPb1P/Pp1P4/1N2B3/1PPQBP1P/R3K1NR b KQkq -,b8d7
2r2rk1/p4p1p/6p1/2pp4/3n1q2/7N/PP3PPP/3RR1K1 w - -,h3f4
2r3k1/1b3pbp/p5p1/3qn3/P7/5N1P/2B1QPP1/1R2B1K1 b - -,c8c2
4r3/p2rp1kp/1p1n1p2/2pP1qp1/8/N1P5/PP2QP1B/3RR2K w - -,h1g1
2r3k1/3r2bp/pB2b1p1/Pq2pp2/RNp5/2P4P/1P2QPP1/R5K1 w - -,a4a2
r3r1k1/pp1nppbp/1qp2np1/3p2B1/P2P4/2PBPN1P/1P2QPP1/R4RK1 b - a3,f6e4
1r2k2r/2qbbp2/B2pp1n1/4n1p1/1p1NP3/6BP/PPP1N1P1/1K1R1Q1R b k -,e8f8
r2q1rk1/pb1nbpp1/1p1ppn1p/8/3P1B2/2PB1N1P/PP1NQPP1/R4RK1 w - -,f4g3
2r3k1/1q3pbp/2Npp1p1/P7/1P3P2/2n2N2/2Q3PP/2R3K1 w - -,b4b5
2n3k1/pp2r1pp/4pq2/1P1p4/R2P1N1P/1P4P1/2Q2P2/6K1 b - -,c8b6
3r2k1/p2qb1pp/1p2n3/2p1BP2/3p4/1P2PbN1/P2Q1P1P/R2R2K1 b - -,d7d5
7r/2rb1qnk/pb1p1pp1/1p1Pp2p/1P2P1PP/1N1B1PQ1/P3N1R1/5R1K b - -,h8f8
r1bq1rk1/2n2pbp/pp1ppnp1/2pP4/P1P1P3/2N1BPN1/1P2B1PP/R2Q1RK1 b - -,f8e8
8/1p1R3p/5ppk/8/2P5/1Q3P1P/r3q1P1/6K1 w - -,b3a2
5b2/6pk/4Q1pp/3pP3/3q2N1/8/5PP1/6K1 b - -,f8c5
2rq1rk1/1p2bppp/p2pp3/4P3/b2PQ3/PnP2N2/B4PPP/R1B1R1K1 w - -,e5d6
r1b3k1/pp2qp2/3rP3/2pP1Pp1/2B5/8/PR1Q2P1/5RK1 w - -,b2b3
r3r1k1/p3pq1p/5npQ/4R3/3p4/2N2P2/PPP3P1/1K5R w - -,c3b5
1Q6/8/8/8/8/2p5/2k3Kp/8 w - -,b8h2
8/p4pk1/1p4p1/3p4/3P2n1/P7/2R3PP/6K1 w - -,c2c7
r1bqk2r/pp2ppbp/2np1np1/8/3NP3/2N1B2P/PPP1BPP1/R2QK2R b KQkq -,e8g8
r1b3r1/p5k1/3p1bq1/2pP1p2/2P1pPp1/4P1P1/PB2QNKR/6R1 b - -,g8h8
4r1k1/3p2p1/p2Pp3/1p1b2rR/2pP2B1/4RP2/PP6/2K5 b - -,g5h5
r2q3k/p3p1bP/1p1pP3/8/8/P2Bn3/1P2Q1PP/5RK1 w - -,e2e3
2r1n1k1/1p3ppp/p2pb3/P1r1p3/4P3/2N5/1PPRBPPP/R5K1 w - -,e2d3
r1bq1r1k/pp4pp/2nbp3/1N1p1p2/3P4/3BPPP1/PPQB3P/R4RK1 w - -,b5d6
r1r3k1/5p1p/pq1p2p1/3Pn3/R2pB3/1P4PP/2P2P2/2BQ2K1 w - -,c1b2
8/r5kp/2pp2p1/2q1P3/2P1n3/r6P/1Q4PK/4RB2 w - -,e1e4
1q3rk1/pb2bppp/4p3/3nP3/Pp6/1N1Q1B2/1P1B1PPP/2R3K1 w - -,b3a5
r2qr1k1/1bpp1ppp/np1b4/p2P4/4P1n1/P1N2N2/1PB2PPP/R1BQ1RK1 w - -,h2h3
r5k1/p4p2/1pPr2p1/8/4b2N/2R3R1/1n3KPP/8 w - -,f2e1
6k1/pbr2q1p/1p6/5pp1/1PPrp3/P3P1PP/3Q3K/2R2N2 w - -,d2d4
8/8/ppbk1p1p/3ppB2/1P5P/P1K1P1P1/5P2/8 b - h3,c6b5
1r1r1n1k/5pb1/pq5p/1p1pPB1P/P1pP1pQB/8/1P4P1/R3R1K1 w - -,g4f4
2r2rk1/1p2ppbp/p4np1/5b2/3P4/NP2P1P1/5PBP/R1BR2K1 b - -,f5e4
r3r1k1/ppn2nb1/4bq1p/2pp1p2/2P2P2/2NB1N1P/PPQ2BP1/3RR1K1 w - -,f2h4
rn1r2k1/pp3ppp/2pq4/8/P3Q3/2P5/4NPPP/R4RK1 b - -,b8a6
r1bq1rk1/ppppbppp/6n1/2nB1N2/5P2/8/PPP3PP/RNBQ1RK1 w - -,d1d4
1rbqnrk1/2n1ppbp/pp1p2p1/2pPP3/P1P2B2/2N2N1P/1P2BPP1/R2QK2R w KQ -,e1g1
4r2k/pb4pp/2p2p2/2b5/2R5/1P6/PBN2PPP/6K1 b - -,c5b6
2rR2k1/pb2bppp/1q6/1p2B3/4BQ2/1P4P1/P4P1P/R5K1 b - -,c8d8
2rq1rk1/p2bppbp/3n4/1n1PN1p1/8/2N4P/QP2BPPB/2RR2K1 b - -,g7e5
2rr2k1/1bp1q1bp/1p4p1/pP1pnp2/P2N2n1/3P1NPB/1B2PP1P/2RQ1RK1 w - f6,f3e5
1r2nr1k/2q1b1pp/p3p3/2p1Pb1Q/2Pp1P1B/1B6/PP1RN2P/5RK1 b - -,e7h4
r5k1/pbqnQRnp/1p4p1/2pp4/3P4/1PPB4/PB1N2PP/6K1 b - -,g7h5
5k2/1prb1p2/5p1p/3p4/p2P1PPN/P1P4P/3K4/4R3 w - -,h4g2
r1b2rk1/ppq1nppp/3bp3/3n4/2B1Q3/2P2N2/PP3PPP/RNBR2K1 w - -,b1d2
3qn2k/p2n2r1/P2p4/2pPp1pp/1rP1Pp2/R4N1P/3N1PP1/2Q1R1K1 w - h6,a3b3
r1bq1k1r/p4p2/1n1p2p1/1QpP2Pp/2N5/2P1P2P/P4P2/3RKB1R b K -,f8g7
k2r4/pp2Q3/2p5/b5P1/5Rq1/3B2N1/2P3KP/8 b - -,g4f4
r1r3k1/2q3pp/4pP2/3b3P/3Pp3/2P1Q1P1/3B4/RR4K1 b - -,g7f6
r7/p4kPp/8/3PK3/pP6/r6P/8/B4R2 b - -,f7g8
1k1r3r/1pp1b1p1/3pB3/1p2n1Pb/4PR1P/6P1/PPPN2K1/5R2 w - -,f1h1
8/1p1RQ3/p4rk1/4p3/4p1q1/P1P1B3/1P3P2/4K2N b - -,g4g1
2k5/1p1r1p2/1b3p2/3p1N1P/1p6/8/PPP2r2/2KR3R w - -,d1d5
rnbq1rk1/pp3pbp/1n4p1/4p3/2P5/1PNB3P/P3NPP1/R1BQK2R b KQ -,b8c6
2b3rk/2R5/r2q3p/1p2p2Q/1P3p2/3P1P2/5NP1/4RK2 w - -,c7c5
1rq1nrk1/3b1pb1/1p1p2p1/pNpnp2p/P1PP3P/1PB1P1P1/5PB1/1R1Q1RK1 w - -,g2d5
r1q1kb1r/pppbnppp/2n1p3/1B1pP1B1/3P2P1/2N2N2/PPP2P1P/R2QK1R1 b Qkq -,c6a5
r1bq1rk1/ppp1ppb1/1nn3p1/6Bp/7P/2NP1NP1/PP2PPB1/R2Q1RK1 b - -,c8g4
2r1r1k1/3b1pp1/1p1n1q1p/p2BR2P/8/2Q2N2/PP3PP1/4R1K1 w - -,c3d4
8/2p2k2/p2p1Pp1/1p1P1p2/1P3P2/P1r5/B3R1K1/8 b - -,f7f6
rnbqk1nr/5ppp/4p3/p7/1pPP4/4PN2/3N1PPP/R2QKB1R w KQkq -,f1d3:f3e5
8/6k1/5p2/1Np5/8/1P3n1K/P1B1R3/6r1 w - -,c2e4
b7/7p/pp2p3/2p3kP/P5P1/2N3K1/1PP2P2/8 b - -,e6e5
4r3/1p2r1pk/p1p3q1/3pPp1p/PP1Q1Pb1/4P1P1/2R2KBP/2R5 b - -,h5h4
4r3/pp4kp/2p3b1/8/1PB1PQ2/P7/7P/4K2R w K -,h1g1
8/3K1Pk1/4P3/8/8/b7/2B5/8 w - -,e6e7
r1b4R/ppp5/2p1k1p1/4p1B1/4P3/P2P4/1PP2P2/2K5 b - -,b7b6
r1bq1rk1/1p1n1pb1/p2p1np1/3Pp3/P3P2p/2NBBPN1/1P4PP/R2QK2R w KQ -,g3e2
8/2b3pk/5p1p/p2b4/1pN1p3/1P2P3/P2N1PPP/6K1 w - -,g1f1
8/5p1p/4k1p1/r3P3/6P1/pK5P/R7/8 b - -,a5e5
r2qr1k1/1p2bp1p/2ppbnp1/P3p3/1P2P3/1B1P1Q1P/3B1PP1/R3RNK1 w - -,b3e6
r5k1/1N3ppp/1n6/pp1p1P2/P5P1/2P1P2P/8/3R2K1 w - -,d1b1
8/1Bk2p1p/4b1p1/P3p1P1/3b4/3R4/5P1P/6K1 w - -,b7e4
r3b1k1/2R2n1p/2Np2p1/p2P1p2/1p3P2/8/PB4PP/6K1 w - -,g1f2
2r1r1k1/pp3pb1/n2q2pp/4p3/6b1/1P1P1NP1/P2Q1PBP/B2R1RK1 w - -,f1e1
r1b2rk1/pp1n2p1/2pqp2p/2Pp1p2/3Pn3/1P2PNP1/P1QN1PBP/R4RK1 b - -,d6c7
5rk1/1b3ppp/1q6/1Pp3b1/2BpP3/1Q3PP1/7P/1R3NK1 b - -,h7h5
3r2k1/6p1/5bBp/p1p2p2/2P2P2/P1nNP3/3R3P/1r2N1K1 w - -,g1f1
r1b1k2r/pp1nqpp1/2p2n1p/2b5/2p1P1P1/1NN5/PPQB1P1P/2KR1B1R w kq -,b3c5
5bk1/5p2/2p1b1pp/4p3/N1Q1Pn2/2N1B2P/2P2PP1/6K1 b - -,e6c4
3r4/pb1r4/1p3k1p/2pp1pP1/8/2P1P1P1/PP1R1PB1/3R2K1 b - -,h6g5
3r4/5pk1/p2rp2p/P3R2P/2pP1p2/2P5/5PP1/1R3K2 w - -,e5c5
8/8/p7/2p2pk1/Pp1p4/1P1Pn1P1/2P3K1/4N3 w - -,g2f3
2rr2k1/ppq1bppp/2n1bn2/2p1p1B1/4P3/2P1NN2/PPB2PPP/RQ2R1K1 b - -,g7g6
r2qrbk1/1bp2ppp/p2pnn2/1p2pN2/4P3/P2P1N1P/BPP2PP1/R1BQR1K1 w - -,f3g5
r1bq1rk1/4bppp/p1nppn2/1pp5/4P3/P1NP1N1P/BPP2PP1/R1BQR1K1 b - -,c8b7
r4rk1/pp1q1b1p/1n2p1p1/3pP3/6Q1/1P5R/PB3PPP/1B2R1K1 w - -,g4h4
r1bq1rk1/pp2pnbp/1n1p2p1/2pP1p2/2P1P3/1PNN1P2/P2BB1PP/R2Q1RK1 b - -,c8d7
r1b1k2r/2q1bppp/p1nppn2/1p6/4PP2/PNN1BB2/1PP3PP/R2Q1RK1 b kq -,c8b7
8/3Bn1pp/1p3p2/p7/P3KBP1/1k3P2/8/6b1 b - -,g1c5
2rq1rk1/pp1bbppp/2nppn2/1B1P4/P3P3/2N2N2/1P3PPP/R1BQR1K1 b - -,c6b4
3rnr1k/1q4p1/1b2P2p/p4pN1/Pp1p1P2/1B1P2P1/1P2Q2P/2R2RK1 b - -,b7e7
1B2k3/1p2r3/p4p1p/PnNp2pn/1N1P4/1P3P2/3K2PP/8 w - g6,b4d5
4rk2/2p1rp2/2p1n2p/p2pP1p1/5P2/PP2RKP1/2P3BP/3R4 w - -,e3c3
r1bq1rk1/p1pn1ppp/2pp1b2/8/2P1P3/1P1B4/PB3PPP/RN1Q1RK1 w - -,b1c3
5k2/R5p1/5p1p/3P3P/p3P1P1/8/5K2/r7 w - -,f2e2
5k2/1R4p1/2pb4/6p1/6P1/p6P/K7/8 b - -,f8g8
8/8/2pk4/4pnR1/PPp4r/2K4P/3N4/8 b - -,h4h3
8/1n1k4/3p2p1/pKpP2P1/2P1N3/1P6/8/8 w - -,b5b6
8/1bq2pk1/p2b1npp/1p1p4/3Nn3/4PNP1/PP3P1P/3QBBK1 w - -,d1c2
1n2rrn1/1bp1q1bk/pp1pp1pp/4Pp2/P1BP1P2/2N2N1P/1PP1QBP1/3R1RK1 b - -,b7f3
r6k/1p4pp/3Q4/nP2p1nq/6bN/P5P1/1B3PBP/R5K1 b - -,a5c4
3r4/pp3k1p/2p2b2/4pN2/3pP1P1/8/PP2K2P/3R4 w - -,e2d3
R3B3/4bp2/1k2p1b1/1P4p1/1n6/4P2P/5P2/6K1 w - -,a8a4
rn2k1nr/pp3ppp/2p1p1b1/q7/1b1PPB2/2N2N2/PPPQ2PP/R3KB1R w KQkq -,f1d3
4K3/3N4/1k6/4p3/8/8/8/8 b - -,b6c7
2rq1rk1/pb2b1p1/2n1p2p/2p2p2/Q1Pp4/4PN2/PP1N1PPP/1BR2RK1 w - -,e3d4
r7/3r4/1PbN3p/2P1kNp1/4p3/8/5PPP/R5K1 w - -,a1b1
5rk1/pp3pp1/5q1p/3R4/P2P4/1P2Q2P/1r3PP1/4R1K1 b - -,f8c8
r1b2rk1/p3ppbp/q1pp1np1/8/8/1NB3P1/PPP1PPBP/R2Q1RK1 w - -,f1e1
1r1q1rk1/pp1bnpbp/6p1/2p1p3/2PnP3/2NPB1P1/PP1QNRBP/R5K1 b - -,a7a6
r1q2rk1/p1p1bp1p/2pp1np1/8/4PP2/2N1B2P/PPP3P1/R2Q1RK1 w - -,d1f3
1n2r3/p1r2pk1/3p1npp/2qP4/1ppNP3/5Q1P/PP3PP1/1BRR2K1 w - -,f3g3
rn2kb1r/pp3p1p/6p1/8/3qP3/4BN2/P4PPP/R3K2R w KQkq -,e3d4
r3k2r/pb1nqpb1/1p1pp2p/1B4p1/3p4/2P1PNP1/PPQN1PP1/1K1R3R w kq -,e3d4
2b2rk1/r1n3bp/2pq1pp1/1p1n4/p2PN3/2P2N1P/PPBB1QP1/4RRK1 b - -,d6d8
8/6b1/4R1pk/1r6/6KP/6P1/4R3/8 w - -,e2e4
1r5r/1q2kn2/p2p1n2/P1pPp1pp/N1N1P3/2P2P2/4Q1P1/R1R3K1 b - -,g5g4
r4rk1/1b2qppp/2n2n2/2B1pP2/1PN1P3/1p1B3P/4Q1P1/2RR2K1 b - -,e7d8
r4r2/ppp3k1/8/3pPqpQ/5P2/2P5/PP1B4/5RK1 b - -,g5f4
r1bq1rk1/1p1nbppp/p2p1n2/2pP4/4P3/2N2N1P/PP2BPP1/R1BQK2R w KQ -,a2a4
6k1/8/8/8/Rp1p1r2/2b5/P1P1K2P/8 w - -,e2d3
r1bqr1k1/1p3pbp/2pB1Np1/p7/P7/1PP3P1/3Q1PBP/1R2R1K1 b - -,g7f6
r3kb1r/ppqn1ppp/3p1n2/4p3/4P3/4QN2/PPP2PPP/RNB2RK1 w kq -,b1c3
8/8/3k2p1/p7/P3p1pP/4P3/5PK1/8 w - -,g2g3
8/8/4n3/pk6/N2pPpPB/bP3P2/8/3K4 b - -,b5b4
r1b1k2r/1p1p1ppp/1p6/2b1P3/1B2P3/5P2/PP4PP/R3KBNR b KQkq -,c5b4
4r3/pp3pk1/5n1p/3Br1p1/3Q2P1/2N4R/P6P/q2R2K1 b - -,e5e1
1r4k1/5pb1/6pp/1pp5/8/P2rB1P1/1P3P1P/3RR1K1 b - -,d3d1
1q1r2k1/3n1pp1/2rppn1p/2b5/1p6/PP2P1PB/NB2QP1P/2RR2K1 b - -,b4a3
r2qk2r/2p1bppp/p3b1n1/1p1p4/3B1P2/1BP5/PP1N2PP/RQ3RK1 b kq f3,c7c5
r1b2rk1/p1p1bppp/2n1pn2/1p1q4/2pP4/1P3NP1/P1QNPPBP/R1B2RK1 b - -,c4b3
4k3/3n1p1p/p3p1p1/4P3/8/b1B4P/5PP1/4NK2 w - -,f1e2
8/1k1r4/1p2N3/pK1p4/8/P1B5/1P6/8 b - -,d7d6
8/4k3/3pp3/5p1p/PR3P2/rR3KPP/2r5/8 b - -,c2c3
8/8/8/3k4/p7/4K3/P1p5/1N6 w - -,b1c3
r1r3k1/1pqnbppp/4b3/3pp1P1/1n2P3/1NN1B2P/PPPQ1P2/1K1R1B1R w - -,e4d5
8/8/5RPk/r4p1p/5P1K/6P1/8/8 w - -,f6b6:g6g7
r4b1k/2q1rp2/2p2Np1/ppn1p2p/4P3/P4Q1P/1PPRNPP1/3R2K1 w - -,b2b4
8/5p2/4pk2/7p/r4Pp1/4K1P1/6RP/8 b - -,f6f5
8/5pkp/p1R1pNp1/1p2P3/3r1P2/8/P5PP/6K1 w - -,g2g3
r1bq1rk1/pp1nppbp/2pp1np1/8/3P1BP1/2N1PN1P/PPP1BP2/R2QK2R b KQ g3,d8a5
6k1/5p1p/4p3/4P1p1/6R1/2P3P1/4rPKP/8 b - -,h7h6
8/8/3k4/1P3p2/4bP1p/4K1pP/4N3/8 w - -,e3d4
8/1p6/p1n1k3/2P4p/3K1B2/6PP/8/8 w - -,d4c4
r5qr/3nk1p1/pp1p3p/4p3/P5Q1/4B3/1P3PPP/R4RK1 b - -,g7g5
7k/6bp/6p1/p7/P4PP1/1n1K4/7P/3B4 b - -,b3c1
1r1q1rk1/3bppbp/p2p1np1/2pP4/2p1P3/6P1/PPQ1NPBP/1RB2RK1 w - -,c1d2
6k1/1R3pp1/7p/1p1r4/6P1/1nB1K3/1P3P1P/8 w - -,h2h4
8/1pn1pk1p/1p1p2p1/3P1p2/bP1N1P2/P3P1PP/4K1B1/8 w - -,g3g4
r7/2k1q3/3pBb2/2pP2p1/1p5n/3QP3/1P1NKP2/1R6 w - -,d2e4
r2k4/p7/3b3p/2B4p/Ppp5/3b2P1/1P3P1P/3R2K1 w - -,c5d6
2r3k1/1r1b1pbp/3P2p1/2N2p2/p7/P3B2P/1PRR1PP1/6K1 b - -,c8c5
r4k2/p4p1p/R3b1p1/8/4P3/4KPP1/4B2P/8 w - -,e3d4
4r1k1/5ppp/2bB4/q2n4/3QN1P1/3P1P1P/8/1K1R4 b - -,e8a8
2r2rk1/5qp1/p4p2/1pbbpP1p/7B/P2B3P/1PPRQ1P1/1K1R4 w - -,d3e4
r1bqkbnr/pp3ppp/2n1p3/3pP3/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,c3d4
5rk1/2r1pp1p/5bp1/p1qP1n2/1p5P/1B3NP1/PP1RQPK1/4R3 b - h3,f5d6
