1R6/8/3p4/P2P1npk/1P1r3r/2R5/6KN/8 b - -,d4d2
8/7k/5Qp1/5p2/r6P/8/6PK/8 w - -,h4h5
1k5r/2r2ppp/p1b1p3/1p1pP3/n4PPP/1N1B4/PPP5/2KR3R w - -,b3d4
6k1/1p5p/4q3/2P1B3/1P4Q1/7P/7K/8 b - -,e6g4
3r1rk1/pp3ppp/8/8/bP1N4/4PP1P/3R2P1/3R2K1 w - -,d1a1
2r1r1k1/1q2P2p/pp2p3/5pp1/2PR4/1N3NPP/PB3PK1/2R5 w - -,b2a3
8/1p3kp1/2p5/p2p4/3Pb2R/P1q5/R4K2/8 b - -,c3d4
5rk1/3b1r1p/3p1p2/1p1Pq2N/4PRPp/1Q5P/1P6/5R1K w - -,b3c3
r1b1r1k1/ppp1qpp1/5n1p/4n3/1PPNp3/P1Q1P3/4BPPP/R1BR2K1 w - -,h2h3
rq3rk1/1b2pp1p/p1n1n1p1/1p2P3/3P1P2/2N5/PPQ3PP/R2RBBK1 b - -,c6d4
1r2r1k1/2p1qppp/b1p1n3/4P3/1bP1N3/p2B4/P4QPP/B2R1RK1 w - -,f2g3
r1bqr1k1/ppnn2bp/3p2p1/2pP1p2/P1N1P3/2N2P2/1P2B1PP/R1BQ1R1K b - -,d7e5
rnbqk2r/ppp4p/6p1/3pb1N1/8/2P1B3/PP3PPP/R2QKB1R b KQkq -,e5f6
r1b1rbk1/1p3pp1/2q2nnp/pN6/2P1N3/P3BP2/2Q3PP/2RR1BK1 b - -,f6e4
5rk1/4ppbp/1qp1bnp1/8/2PP3N/2B3P1/4QPBP/R5K1 w - -,e2a2
8/6p1/4pk1p/p1r1p2P/Pb2K3/3BP1P1/5P2/5R2 b - -,f6g5
r1bq1rk1/pp1nb1pp/2n1B3/2ppp3/3P1P2/2P2NP1/PP2N2P/R1BQK2R b KQ -,g8h8
5rk1/3b2rn/3p2pQ/p1pPn2p/1p2P2q/P4PR1/1P1BBR1P/3N3K w - -,d2c1
5qk1/pp1r1pb1/2p1b2p/2n1pNpP/P2nP1P1/2N1Q2R/1PP1BP2/1K1R4 b - -,f8d8
8/8/pB6/P7/k1p5/8/2K3p1/5b2 b - -,a4b4
6R1/1P5k/8/8/4K3/7p/5r2/8 b - -,h3h2
r1bqk2r/pp1nppbp/3P1np1/1B6/3P4/5N2/PP3PPP/RNBQK2R b KQkq -,e7d6
5r2/p1r1p3/1p1pk3/3R1p1p/P1P2P2/1Pb1BKP1/R6P/8 w - -,d5b5
r1bqnrk1/3n1ppp/pp1p1b2/2pPp3/P1P1P3/2NN2P1/1P1B1PBP/R2Q1RK1 b - -,e8c7
r2q1rk1/pp2npbp/2npb1p1/1Bp1p1B1/P3P3/2NP1N2/1PP2PPP/R2QR1K1 w - -,c3e2
r4rk1/pbq3bp/2p3p1/1p1n2B1/3NB3/2P5/PP1Q2PP/2KR3R b - -,a8c8
2r3k1/3q2pp/p1p1rp2/1P1p4/1P1P4/2Q1P1PP/2R2P2/2R3K1 b - -,a6b5
2kr3r/pp3ppp/1np5/4n3/2P2NP1/3B1P2/PP1R3P/2K4R w - -,d3f5
5rk1/6r1/1p1RR1p1/2p2p2/2P5/3K4/PP6/8 b - -,g6g5
8/8/4k3/4p2p/pp2P2P/1r3P2/1P1RK3/8 w - -,d2c2
4r1k1/1p4bp/pn1P2p1/2p1q3/5r2/1QN1pP2/PP2B1PP/R4RK1 b - -,e8e6
r2qr1k1/1bp2p2/pbnp1n1p/1p1Bp1N1/P3P2B/2PP4/1P3PPP/RN1QR1K1 b - -,f6d5
r1bq4/ppp2kpp/3p1n2/8/3bP3/8/PPP2PPP/RN1Q1RK1 w - -,d1d4
r4rk1/pp1b2pp/3q1n2/3pn3/5N2/3B1NP1/PP3P1P/R2Q1RK1 w - -,f3e5
4rrk1/pp2qp1p/2np1npP/2pB2Nb/2P2P2/2PP4/P3PR2/R1BQ1K2 w - -,f2g2
3r1rk1/pbqn1pbp/1pp2np1/P3p3/1P2P3/2P2N2/1BQNBPPP/R2R2K1 b - -,c6c5
2kr2r1/pb4qp/1p2ppnb/3P3Q/3PP1P1/1N1BP2N/PP2K2P/R5R1 b - -,e6d5
2kr3r/ppp1qp1p/5np1/2p5/4P1b1/2N1Q2P/PPPN1PP1/R3K2R b KQ -,g4d7
r3r1k1/5ppn/2p1b3/p2n2Pp/1ppPN2P/P3PP2/NP4B1/2KRR3 b - -,c4c3
3rr1k1/1p3p1p/6p1/1q2p3/2P5/3R3P/1BQ2PP1/6K1 b - -,b5c6
1r6/5n1p/p1k1b1p1/1p2P3/PP5P/2P2B2/8/2KR4 b - -,c6c7
1r4k1/5p2/1q4p1/4Q2p/7P/1p4P1/1R3P1K/8 b - -,b8c8
1R6/4k1p1/6p1/1p6/6P1/2r4P/5PK1/8 w - -,b8b5
r1b1k1nr/ppp2ppp/2nb4/3p4/3P4/2PB1N1P/PP3PP1/RNB1K2R b KQkq -,g8e7
r5k1/2pq1p1p/ppn2bp1/8/B1Pp4/7P/PP1B1P1N/R2Qr1K1 w - -,d2e1
7r/2b5/1p1p1k2/pP1Bpp2/2P4r/P4K2/6R1/6R1 b - -,e5e4
1Qb3k1/3q2pp/8/3P1P2/1pp1P3/8/6PP/R5K1 b - -,b4b3
r3kb1r/pp1b1ppp/2p1pn2/q7/3P1B2/2N5/PPPQ1PPP/1K1R1B1R w kq -,a2a3
r1bqk2r/pp2bppp/2pp1nn1/4p3/4P3/1BPP1N2/PP3PPP/RNBQR1K1 b kq -,e8g8
1k1r1r2/p1pq3p/1p1n2p1/2p1p1Q1/4N2P/1PPP2P1/P4P2/2KR3R b - -,f8f3
2q3k1/1b2b1pp/p4p2/1p1npB2/1P1N2Q1/P3P3/1B3PPP/6K1 b - -,c8c4
3n2k1/p2q1pb1/4b1pp/1p2p3/1P2P3/P3B1PP/2Q2PB1/1N5K b - -,d8c6
r1b1qrk1/4p1b1/p2p4/2pPn2p/1pP1Ppp1/1P3P1P/P1RNQBP1/1N3RK1 w - -,f3g4
rnb1k2r/1pq2ppp/p4n2/3pp3/1b1NP3/2N1BP2/PPPQ2PP/2KR1B1R w kq -,d4f5
4r1k1/5pb1/r2p1R2/2p1n1p1/1pP1P3/1P4PP/3Q4/4R2K w - -,d2g5
7k/3b4/1p1Q2p1/3Bp2p/2PpN1Pq/P2Pbr1P/6K1/1R6 w - -,d6e5
8/8/2k5/1p2K2p/1P5P/8/8/8 w - -,e5e6
6b1/8/p7/Pk1p4/6p1/3K4/8/4B3 b - -,g8h7
r1b1k2r/pp1nqppp/2pbpn2/3p4/2PP4/1P1BPN2/PB3PPP/RN1QK2R w KQkq -,f3e5
r4rk1/1b2bpp1/1q2p2p/p1n5/1p2N3/P2BP3/1P1BQPPP/R2R2K1 w - -,e4c5
2r3k1/1r2ppb1/pp1p1np1/2q4p/P1P5/1PNQP2P/1B3PP1/1R1R2K1 w - h6,b1c1
r2q4/5ppk/p1p1rn1p/1p2pN2/4P3/3PR2P/PPQ2PP1/2R3K1 w - -,c2c3
r2r2k1/pp2qp1p/1np3pb/2N5/3p2b1/P2P1NP1/1PQ1PPBP/1R2R1K1 b - -,a8b8
2r3r1/1p1knp1p/p4pb1/8/3Pp3/2N1P3/PP1KBP1P/2R3R1 w - -,e2d1
3r2k1/p4ppp/1p1q4/n2N4/4Pp2/P4PP1/6P1/R4Q1K w - -,g3f4
rnbqk2r/pp1p1ppp/4pn2/2p5/2P5/P1Q2N2/1P1PPPPP/R1B1KB1R b KQkq -,b7b6
5k2/r4p2/P2N2p1/2p1p2p/R2bP2P/6P1/5PK1/8 b - -,a7a8
7R/8/8/1p6/k7/3r4/8/1K6 w - -,b1b2
2rq1rk1/1p2ppbp/p1bp1np1/8/2P1P3/2NQBN1P/PP3PP1/R2R2K1 b - -,f6d7
2br1bk1/p1q2p1p/1p3Pp1/n3r3/2p1P1PQ/2P1B3/P3N2P/1BR2RK1 b - g3,c7d7
r2q1rk1/pb2bppp/1p2nn2/2pp4/3P4/P1N1PNB1/1P3PPP/1BRQ1RK1 w - -,d4c5
r1b1nrk1/1pqn1pb1/2pp2p1/p6p/P2BPP2/2N3PP/1PPQN1B1/R4RK1 w - -,a1d1
5k2/5p2/2KP2p1/3Nb3/7p/6r1/8/3R4 b - -,e5d6
3n4/1p1k3p/1K2p1p1/P2pPp2/1N3P2/4P3/6PP/8 b - -,d7c8
4rnk1/pp1b1qpp/2p2p2/3p4/3P4/2P3NP/PPBQ1PP1/4R1K1 w - -,e1e8
8/1qr2k2/1rp1npp1/pp1p3p/3P4/P1RNP3/1P3PPP/2RQ2K1 w - a6,c3c2
6k1/q5p1/1r1p2np/1B1Ppb2/1P6/2Q3PP/2N2P2/2R3K1 w - -,b5d3
r4rk1/3npp1p/3p2p1/2pP4/2B1N3/qP5P/P1QB1PP1/b4RK1 w - -,f1a1
2b5/8/p3p3/4kpp1/P1Bn3p/1P2KP1P/6P1/1N6 w - -,b1c3
8/8/2P2k1p/3p4/4QPP1/P6P/6K1/2r5 w - -,e4d5
8/6k1/pR4p1/7p/5PPK/1P5P/2r5/8 b - -,h5g4
2r2rk1/pp2bpp1/4pn1p/q6P/8/1N2B3/PPP1QPP1/1K1R3R b - -,a5c7
8/rp1R1pk1/1p2p3/2b5/P7/1P4P1/5P1P/3R2K1 w - -,d7c7
r2q1rk1/pb2npbp/1pn1p1p1/2p5/2P5/P1NPPNP1/1B3PBP/R2QK2R w KQ -,e1g1
1k1r3r/ppqn1p1p/2p5/4nN2/Pb6/2N3P1/1PQ1PPB1/2KR3R w - -,c3e4
8/8/6p1/2p1b1k1/6Pp/5R1P/1pK5/8 b - -,g5h6
2r2r2/pp1bq2k/3p2pp/4p3/1PPn1P2/3BN3/P2Q2PP/3R1RK1 w - -,e3d5
8/3k4/1p2p3/p3b3/2PNP3/PP2K1r1/5R2/8 w - -,d4f3
rnbqk2r/pp3ppp/4p3/8/3P4/5NP1/P2bPP1P/R2QKB1R w KQkq -,d1d2
3rr3/1p2qpkp/2p1nnp1/p4p2/Pb1P4/4PP2/BPQBN1PP/3RR2K b - -,e6c7
2rr2k1/2q2pp1/p3pb1p/1P1n3P/3N2P1/1P6/PB2QP2/1K1R3R w - -,d1c1
r1bqkb1r/pp1ppppp/2n2n2/8/2P1P3/3p1N2/PP3PPP/RNBQKB1R w KQkq -,d1d3
7k/4RQ2/q4np1/1p6/2p5/P1P5/5p2/6K1 w - -,g1f1
1n3rk1/6np/4p1p1/p1N1P1q1/PpR2p2/5P2/1P2QBPP/6K1 b - -,g5f5
6k1/1p1b1r2/1q2prpp/p1ppRn2/P4P2/2PP2P1/1PQN2BP/4R2K w - -,d2f3
8/3P3R/8/7p/5pk1/4p3/3r4/4K3 w - -,h7f7
1r3rk1/4ppb1/pP2b1p1/2p1q2p/1Q6/2NR2PP/PP2PPB1/R5K1 w - -,b4a5
r2qk2r/1b1nbppp/pp1pp3/2pnP3/P7/2NP2P1/1PPN1PBP/R1BQ1RK1 w kq -,e5d6
rn1qk2r/pb2ppbp/1p1p2pB/2pP4/2P1P3/2NB4/PP1Q1PPP/R3K2R b KQkq -,e8g8
r2q1rk1/ppp1bppp/1n6/7b/3P1B2/2P2N1P/P3BPP1/R2Q1RK1 b - -,b6d5
r3k1nr/pp3pbp/2q1p1p1/3pP3/3P2b1/2N2N1P/PP3PP1/R1BQ1RK1 b kq -,g4f3
6k1/5pp1/4r2p/Q3N3/2Pp4/3q2P1/5PKP/8 b - -,d3e4
r1bqr1k1/pp2npbp/3pp1p1/6B1/3pP3/3P2P1/PPPQNPBP/R4RK1 w - -,a2a4
6k1/p2r1p2/1p2p2p/n6P/P1b2N2/4P3/2B2P2/R3K3 w - -,f2f3
8/8/1p1p4/3Pb2P/2P2k2/4RB2/7r/4K3 w - -,e3b3
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2P5/2NPP1P1/PP3PBP/R1BQK1NR b KQ -,h7h6
2r1r2k/1b1q3p/p1p3pb/1p1pPp2/PB1Pn3/1Q2PB2/1P2N1PP/2R2RK1 w - -,e2f4
r3n1k1/1pqn1pb1/p5p1/2NPp2p/1P2P3/4BP2/4Q1PP/R1R3K1 b - b3,d7c5
5qk1/1p4p1/p1n1pr1p/2Rp4/PP1P4/2Q2N2/6PP/6K1 b - -,f6f4
2rqrbk1/pb3ppp/1pn1pn2/3p4/2PP4/PP1B4/1B1NQPPP/2R1RNK1 w - -,e2e3
rn3rk1/1b2ppbp/1q1p1np1/pP6/P2N4/2P1PP2/6PP/RNBQKB1R b KQ -,e7e5
1b4r1/1p2k3/p3Pp2/n4R1p/3pP1r1/3B3Q/PqN3PP/R5K1 w - -,f5a5
r1b1kb1r/p2p1p2/4p2p/2pP2p1/1nB2q2/1PN2N2/P2Q1PPP/R4RK1 w kq -,d2e2
8/1r2k3/1P3Rpp/2NpK3/4b3/4P3/1R4PP/5r2 b - -,f1f6
2rr2k1/3q1pp1/1n1Pp2p/p2nB3/Pp1P4/1Q3B2/1P3PPP/2R2RK1 w - -,f3d5
2r5/4nkpp/pQ3p2/2Pbp3/1P6/4P3/Pq4PP/2R1R1K1 w - -,e3e4
8/5k1p/1p1n4/pPpP4/2Pb1B2/1P3p1P/R7/4KBr1 b - -,d6e4
3rr1k1/pp1q1pb1/6pp/2n1P3/2Np1P1N/5QP1/PP5P/3RR1K1 b - -,g7f8
2r3k1/1p3rbp/p1q3p1/2B1n3/PR2PN2/6P1/2Q4P/2R4K w - -,b4b6
2brrbk1/p4ppn/2p4p/2ppPq2/N1P2P2/1P1P3P/PB3QK1/3R1RN1 b - -,f7f6
r1bq1rk1/pp1nbppp/2n1p3/2p1P3/2P5/5NP1/PP2QPBP/RNB2RK1 b - -,b7b6:c6d4
r4rk1/1p2bppp/1p6/pP1q4/8/P2PBQP1/5PKP/R4R2 b - -,d5b5
2kr2n1/p6r/1pN1p1pp/2q2n2/2P2P2/P4Q2/1B4PP/2R1R2K b - -,d8d2
r7/ppq2k2/2p2bb1/2Pp4/R3rPQ1/1PN4P/1PP2RPK/8 b - -,a8h8
8/5Bk1/6P1/4PK2/3N4/8/8/4r3 b - -,e1d1
1rb1r1k1/1pqnppb1/p2p1npp/2pP4/P1P1PP1B/2NB1N2/1P1Q2PP/4RRK1 w - -,e4e5
2r2r2/1pQ1npk1/p1n4p/4p1p1/6P1/1B2B3/PPP2P1P/R2R2K1 b - -,c8c7
rn1qk2r/pp2ppbp/2p3p1/3pPn2/3P1P2/2N2Q1P/PPP2BP1/R3KB1R b KQkq -,h7h5
rnbq1rk1/pp2ppbp/5np1/3p4/3P4/2N1P1P1/PP2NPBP/R1BQK2R b KQ -,b8c6
8/5k2/4p1n1/5p2/3PPPr1/3N1Kp1/8/1R6 w - -,e4f5
8/1n1k1pp1/1pp1b2p/4p3/1pP1P3/PBNK3P/5PP1/8 w - -,a3b4
r3r1k1/pp1n1pb1/2ppb1pp/q6n/2PBPP2/P1N2N1P/1PB1Q1P1/3R1RK1 w - -,d4g7
4b2r/kq4r1/pb2P1p1/1p2Q2p/5P2/1N1B4/PPP4R/1K5R b - -,e8c6
5k2/5p2/p1p2pb1/1p2rN2/4P1P1/8/PbB1R3/5K2 w - -,e2d2
5nk1/1p3pqp/2pN2p1/r1Pr4/8/4Q2P/P4PP1/1R3RK1 b - -,d5e5
8/1p3k1p/p2p2p1/3P1p2/2PBn3/6PP/PP2K3/8 w - -,g3g4
2k2r2/ppb2p2/2p1n1p1/2q1P1N1/3r1RQ1/7P/PP1BR3/2K5 w - -,c1b1
4r1k1/5pp1/2r1bn1p/p2p1B2/Pq6/1P3RNP/5PP1/Q2R2K1 w - -,f5d3
r5k1/1bqn1pbp/1p1pp1p1/p5B1/PnrPP2P/2R2NN1/1P1Q1PP1/1B2R1K1 b - -,a8c8
r2q1rk1/pp3ppp/2pb1n2/2npp3/1P2P3/P2P1QPP/2PN1PB1/R1B2RK1 b - b3,c5e6
2k4r/1p3Nb1/2p1pnp1/p7/P1PP1PP1/4BQ2/1q4K1/7R w - -,e3f2
3b4/p2r2kp/3r1pp1/n7/5R1P/P7/1BR1Q1PK/8 b - -,a5c6
2k2r2/1p3p2/n3p2p/4P1p1/8/1q3BP1/5PKP/R4Q2 b - -,a6b8
8/r4k2/5pp1/4p2p/2R1N2P/5P2/5KP1/8 w - -,c4c6
4rrk1/6bp/p3Q1p1/1p3n2/3p2B1/1P5P/PB3PP1/2R2RK1 b - -,e8e6
4r1k1/1p2rpp1/pNpn4/3p2p1/3P2P1/4PP2/PP3K1P/2R1R3 w - -,a2a4
6k1/5p1p/p1rp1pp1/Pp1R4/4P3/1P3P2/1P4PP/1K6 w - -,d5d3
2b3r1/r4qbk/p3pn1p/1pN2p2/3P4/6B1/PP1QNPPP/2R1R1K1 b - -,h6h5
r1br2k1/1p3nbp/p1pp2p1/q4p1n/2P1PP2/1PN1B1PP/P1Q1N1BK/3R1R2 w - -,c3a4
r3kbnr/pp3ppp/1qn1p3/3pP3/3P4/5N2/PP2QPPP/RNB2RK1 w kq -,c1e3
2r5/3b1pkp/p2q2p1/P3p3/1p1nP3/2P1QB2/5PPP/3R1RK1 b - -,b4c3
2k5/pp2r1p1/2p1p3/2Nr1p2/4p3/2Q3P1/PPK3PP/8 w - -,b2b4
r7/1p1k3Q/p2q1b2/P3p2B/2P5/6P1/1P5P/5RK1 b - -,d7c6
r1b2rk1/p1q1bppp/2pppn2/2p5/4P3/1P1P2N1/PBPN1PPP/R2Q1RK1 b - -,e6e5
5r1k/7p/p2N2p1/b1p1R3/2P4P/3b1BP1/Pr2N3/5K1R b - -,f8f3
r2q1rk1/1p1b1pb1/p2p2pp/P1pP4/2P5/2N5/1P1QNPPP/R4RK1 w - -,e2g3
8/8/3p2R1/p1p1k3/Pr2P3/6P1/2K5/8 w - -,c2d3
3k4/3r4/2Rp3p/2PBp2P/1P4P1/7K/8/6b1 w - -,c5d6
5bk1/1pBr1ppp/2nP4/pB2r3/P3Pn2/8/1PP3PP/R2R2K1 b - -,f4e6
rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/7P/PPPN1PP1/R1BQKBNR b KQkq -,f8g7
r1b2rk1/pp1nppbp/1qpp1np1/8/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 w - -,e2e4
rn1qkb1r/pb3ppp/1p1ppn2/2p1P3/3P4/5NP1/PPP1QPBP/RNB1K2R b KQkq -,f6d7
1rbq2k1/R4rnp/1p1n1p2/1PpPp1p1/2P1P1P1/3BN1NP/5QK1/R7 b - -,f7b7
r2qkb1r/pp1npp1p/3p1np1/2p5/4P3/1P3N2/PBPPQPPP/RN2K2R b KQkq -,f8g7
rn1qk2r/ppp1bppp/4pn2/3p4/3PP1b1/3B1N2/PPPN1PPP/R1BQ1RK1 w kq -,e4e5
r1bq3r/p1n1ppbk/1pp3pp/2p1P3/4N3/3P1N1P/PPP2PP1/R1BQR1K1 w - -,a2a3
r4rk1/1p2p2p/2np2p1/1Nn1bq2/p1P2p2/5BP1/PP2QP1P/1RB2RK1 w - -,c1f4
k7/3r3p/3PR1p1/P3p3/8/2n1B3/5PKP/8 b - -,c3e4
8/8/p3b1k1/1pB1p1p1/1P2pb2/P3N3/1P4K1/8 w - -,c5b6
2r1k2r/pppn1p1p/3bbp2/3Np3/2B1P3/5N2/PPP2PPP/2KR3R w - -,f3h4
r3kn1r/pbq1bppp/1pn1p3/2ppP2P/1P1P4/P1PB1N2/1B3PP1/RN1Q1RK1 w kq -,b1d2
r2q1rk1/pp1bppbp/2n2np1/2pp4/5P2/1P2PN2/PBPPB1PP/RN1Q1RK1 w - -,f3e5
rn1q1rk1/pbp1bppp/1p2p3/4P3/2BP4/P1N2N2/1P3PPP/R2QK2R w KQ -,d4d5
r7/7p/3bk3/1p3rp1/2p1p3/PP3PK1/1B5P/4RR2 w - -,g3g2
r2r1b1k/qb3Pp1/p1n2N2/1pp3N1/5B2/P6P/1P3PP1/R1Q1R1K1 b - -,g7f6
rnbqk2r/pp2bppp/2p1pn2/3p2B1/2PP4/2NBP3/PP3PPP/R2QK1NR b KQkq -,b8d7
8/2p4p/1nB1pk2/r4P2/1P6/p1K5/P6P/8 w - -,b4a5
r4rk1/pn2ppbp/1p4p1/q1nPPb2/2p5/P1N2N1P/QP3PP1/R1B1RBK1 w - -,f3d4
3rkb1r/pQ3ppp/2p1p3/4P3/3P3P/2P5/PP4q1/R1B1K2R w KQk -,h1f1
1r1q2k1/1bp2ppp/p2br3/1p1n4/6Q1/2P5/PPB2PPP/RNB2RK1 b - -,d5f6
8/8/5k1p/5p2/PNB2Pp1/6b1/4K1b1/8 b - -,g3f4
2bq1rk1/pp3pbp/6p1/8/4Pn2/4BN1P/PP2B1P1/3Q1RK1 b - -,f4e2
3rkb1r/1pq1nppp/p1n1p3/2P1Pb2/Q1Pp4/N4N2/PP2BPPP/R1B2RK1 w k -,b2b4
rnbqkbnr/pp4pp/5p2/2ppp3/2P5/1P2PN2/PB1P1PPP/RN1QKB1R b KQkq c3,d5d4
8/3k3p/5Kp1/8/3n2PP/8/7B/8 w - -,f6g7
r3r2k/2q4p/3bppp1/1b1p4/1p1P1P2/1P3R2/1BPQ2PP/3BR2K b - -,e8e7
r1b2rk1/p2n2p1/1p4qp/2pP1p2/P1P1p1P1/4Q3/1BP1B2P/1R3RK1 w - -,g1h1
rr4k1/1pq1bppp/2pp1n2/p1nPp3/2P1P3/2N1BBPP/PP2QP2/2R2RK1 b - -,a5a4
r1b2rk1/pp1n1pp1/3b1q1p/3P4/3p4/3B1N1P/PPQ2PP1/R1BR2K1 b - -,d7e5
r2qr1k1/pb1p1pp1/nppb1n1p/3P4/2PN3B/2N5/PP2BPPP/R2Q1RK1 b - -,c6d5
4r3/2p2pk1/2p1bnp1/p7/N1P1P3/1Q3P2/P2qBRPP/6K1 b - -,e8d8
R7/3r4/1rk2p2/1p4p1/3RP1P1/1K3P2/8/8 w - -,a8c8
6k1/pp1q2pp/2p2nn1/3p1Q2/8/P4PBP/1P4P1/1B5K w - -,f5g5
8/p4p2/1p3bb1/1P3N2/Pk4P1/8/8/3B2K1 w - -,g1f2
rnbr2k1/1p3pp1/p1p1pb1p/8/1qBPP2P/2N2N2/PPQ2PP1/1K1R3R w - -,e4e5
2r3k1/2rb3p/p1p3p1/2R5/3N4/2R5/P4P1P/6K1 w - -,g1g2
4k3/R7/1pqp4/3p4/3P1B2/2P5/5NK1/8 w - -,f2d1
r4rk1/1pRnqpp1/3p3p/1P1Pp3/1Q2P3/3BP3/6PP/5RK1 b - -,e7g5
r1bqkb1r/pp1npppp/5n2/3p4/3P4/5N2/PPQ1PPPP/RNB1KB1R w KQkq -,c1f4:b1c3
3R4/ppn1rkp1/8/2p1p3/2P5/P3P3/1P6/2KR4 w - -,d1f1
rn1qk2r/p1p1nppp/1p2p3/3p4/2PP4/5PP1/PP1N1PBP/R2Q1RK1 b kq -,e8g8
2rr2k1/pp1qppb1/nnp3pp/4N3/1P1PP3/P1R4P/2Q1NPP1/2B2RK1 b - -,d7e8
2r2bk1/6pq/4p3/3pp3/3P4/2r4P/1Q3P1K/4R1R1 w - -,e1e5
r3k2r/pp1qbpp1/2n1p2n/2ppP2p/5P2/2PPBNPP/PP1N2K1/R3QR2 b kq -,h6f5
rn4k1/pb3pp1/1pprp2p/5q2/1PPP4/P4NP1/5PBP/R2Q1RK1 b - b3,b8a6
3rr1k1/pp1qnpb1/2pp2pp/4p3/1P1PP1n1/2P1NNPb/PBQ2P1P/R3R1KB b - -,g4e3
4r1k1/pp3ppp/2pn2q1/3p4/P2P2B1/2P2Q1P/1P3B2/4R2K b - -,e8e1
5k2/2p2ppp/1pr5/8/P1p4P/P3P1P1/4KP2/3R4 b - -,f8e7
r1r3k1/5pbp/1n1qp1p1/Rp2N3/1P1p1P2/3P4/1RPBQ1PP/6K1 b - -,b6a4
r4rk1/1bp1q1pp/1p6/2n1p3/p1P1Pp2/P6R/1PB1QPPP/1N1R2K1 b - -,b7c8
rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P1P2/2P5/PP1N2PP/R1BQKBNR b KQkq -,c5d4:b8c6:d8a5
1r6/4kp1p/1r5b/3pp3/4p2P/N7/PP2KPP1/1R5R w - -,b2b4
5r1k/1p4pp/p7/3PP1b1/2Q1p3/4q3/1P2N1PP/RN2K3 b Q -,e3f2
