8/2n2p1k/3p4/8/1PP1K3/8/8/8 b - -,h7g6
r1b1kb1r/1pq1nppp/p1p1p3/4P3/2P5/3B4/PP2QPPP/RNB2RK1 w kq -,b1c3
rnbqk1nr/pp2p1bp/3p2p1/2pP1p2/4P3/2N3P1/PPP1NP1P/R1BQKB1R b KQkq -,b8a6
8/1p6/p4k2/P1P5/4PK1p/7P/8/8 b - -,f6e6
6k1/5r1p/6p1/1p1P2P1/3Qpq2/2P4R/PP6/5rRK b - -,f4g4
8/8/4k3/1p2P2p/8/2P3PP/5K2/8 w - -,f2e3
2Rq1rk1/1p3pp1/p4np1/8/3n4/1P3B1P/PN3PP1/3Q1RK1 b - -,d4f3
5Q2/7k/4p1rP/3bP3/7K/5p2/5P2/8 b - -,g6h6
r4rk1/pq1pb1pp/1p2p3/2pP4/1nP1p3/5NP1/PP2PPKP/RQB1R3 w - -,b1e4
8/p3k3/1p3rKP/3p4/3P4/1P6/P5R1/8 w - -,g6g5
5rk1/p2p3p/1p1b2p1/2pP1n2/4BP2/1PB1P3/P3K2P/3R4 w - -,a2a4
5K2/6P1/5q2/8/3k4/8/8/8 w - -,f8g8
r2qkb1r/1b1n1ppp/p2p1n2/1p6/P2PP3/1Pp2N2/2B1QPPP/R1B1RNK1 b kq -,f8e7
8/3R4/p3n3/4k3/1p4PB/r4P2/5K2/8 w - -,h4g3
8/3n1pk1/1rp1p1p1/p1qp2P1/P6P/1PQ5/1P6/2KR3R b - -,c5c3
1r3rk1/n2bp2p/pq1p1pp1/2pP1P2/2P1P2P/2N1Q1P1/1P3RB1/R5K1 w - -,g2h3
2r1r1k1/1pqnbppp/p2pbn2/P3p3/4PP2/1NN1B1PP/1PP3B1/R2Q1RK1 b - f3,g7g6
2kr4/p2nqp2/1np1p1p1/3pP1Nr/1p1P1PQP/3R4/PPP1N3/2K4R w - -,d3h3
5r1k/1p4p1/p6p/8/P1P5/1P1nNB1P/3R1PK1/4r3 b - -,e1e3
1r3rk1/b1q2p1p/2p1b1p1/2NpPp2/1P3P2/2BQ4/2P3PP/R3K2R b KQ -,a7c5
8/8/R7/p4rpk/4K3/8/8/8 b - -,f5f4
8/kpb2R2/p1r1pp1p/8/1PP5/PKR1P1P1/8/8 b - -,c7g3
r2q1rk1/1p1bnpbp/3pp1p1/p7/3pPP2/PB1P4/1PP1N1PP/R1BQ1R1K b - -,a5a4
2rqk1nr/1p2ppbp/3pb1p1/p2Nn3/2P1P3/2NB4/PP3PPP/R1BQ1RK1 w k -,c1e3
8/r6p/P5p1/5p2/2kp1P2/2p3PP/R3K3/8 b - -,c4b5
rnb1k2r/ppppqppp/4p3/8/2PPn3/6P1/PP1NPPBP/RN1QK2R b KQkq -,e4d2
8/nk6/4p1p1/b2pPnPp/p1pP3P/P1P5/1KN2B2/1N6 w - -,c2e1
r5k1/4r2p/5pp1/p1pPp3/2P5/1P6/PB3PPP/3R2K1 w - -,b2a3
3r4/8/1pR3nk/4P1p1/P2p2P1/7B/7K/8 w - -,h3g2
3n4/p4k2/1pn4p/2p1P3/2P1K1BB/P1P5/8/8 b - -,c6e7
8/5k2/R5p1/2r5/5PK1/7P/8/8 w - -,a6a3
7r/1p2npk1/p3p3/nbrpP2P/6P1/P1PB1N2/5PK1/2R4R w - -,d3b1
7k/5pp1/7p/2p5/1P1b4/5n2/5PPP/1R4K1 w - -,g2f3
6rb/1pq1p2p/pn2k2P/3pPRP1/8/1P1Q4/PBP5/2K5 b - -,e6d7
6rk/4bp2/p3pq1p/1p1p3Q/3P1p2/2P2K1P/PP1N1P1P/6R1 w - -,g1g8
7Q/4kp2/b7/2rn4/p1q1PN2/PpP2P2/1P4p1/1K1R4 w - -,h8e5
2r4k/3Q2bp/p2p1pq1/3P4/8/1P6/P4BP1/3R2K1 b - -,f6f5
r5k1/2p3bp/2p3q1/p2p4/1r3Bb1/1P3Q2/P1PN1PPP/2R1R1K1 w - -,f3g3
8/2Q1k1p1/5b2/7P/5P2/6PK/8/3q4 b - -,e7e8
3R4/3P1pkp/8/5p2/2p5/6P1/3r1P1P/6K1 b - -,c4c3
2b3k1/2q2p1n/3p2p1/p1p4p/PpP1r2P/1P1Q2b1/1B2B3/R4R1K w - -,d3g3
rn3rk1/1b2bppp/1pq1pn2/8/1PB5/2P2N2/P2N1PPP/R1BQ1RK1 w - -,d1b3
r1b2rk1/ppp1qpbp/6p1/n2Pp3/2B1P3/2P1B3/P3NPPP/R2Q1RK1 w - -,c4d3
r3k3/p3ppb1/1p1B4/3q1P2/P5Q1/2P2P1P/1PBn4/6RK b - -,e7d6
6k1/2p3bp/1p1p2p1/pP1P1p2/2P2PPq/1P3K1P/3B4/5Q2 b - -,f5g4
r3k2r/1bqp1ppp/p3pn2/1p6/1b2PP2/2NB4/PPPBQ1PP/2KRR3 w kq -,e1f1
2r2rk1/p2nbppp/q1p1pn2/2N5/1p1P1B2/1Q2PN2/PP3PPP/2R2RK1 b - -,a6b5
r4rk1/p2q2pp/8/3pbp2/4n3/3QBPP1/P3P1BP/1RR3K1 b - -,e4f6
r3kb1r/ppqn2pp/2p2p2/2p1p2b/P1N1P3/3P1N1P/1PP2PP1/R1BQ1RK1 w kq e6,c4e3
3r2k1/6pp/2p1b3/2PnPp2/5P2/rNBK4/1R5P/2R5 b - -,d8b8
8/1p3kn1/8/p2n4/P2PBP2/2P2pKP/1P3P2/8 b - -,g7h5
8/pp4pk/4p1rp/3q4/2pPQ3/2P2N1P/PP4PK/8 w - -,e4c2
3rk2r/pp1qbppp/2n1p3/8/3PQ3/5N2/PP3PPP/R1BR2K1 w k -,e4g4
r1q2rk1/p3p3/1p3p1p/n1pP2pP/4P3/2Q2N2/P4PP1/1R4KR b - -,e7e5
2kr1br1/4pp1p/2b5/1pBn1p2/p2P3N/2P3P1/PP1N1P1P/R3R1K1 b - -,f5f4
6k1/1p3bp1/p1n2p1p/P1Pp4/qP1B2P1/2P4P/3Q2B1/7K b - -,a4b3
r1k4r/pppnn1pp/4bp2/4p3/4P3/1NP1N3/PP2BPPP/2KR3R w - -,c3c4
3r2k1/5pp1/3N4/p2Pp3/P7/1Q4P1/1Br3BK/1q6 b - -,c2b2
1R3b2/2r5/2b3k1/2p1p2p/1pPpN3/1P1P1PNP/6K1/8 b - -,f8e7
r7/4kppp/1b2p3/ppq1p3/4P3/P1P2PP1/1P1RQNKP/8 w - -,e2d1
3r4/3rk2p/1pbN1RpP/2p1P1P1/pp3K2/1P6/P1P5/3R4 w - -,f4e3
2r3k1/p4pbp/q5p1/1p6/4Q3/PnP3PP/5PK1/3RR3 w - -,e4f4
r2qkb1r/pp3ppp/2n1pn2/1B1p1b2/2PP4/5N2/PP1N1PPP/R1BQ1RK1 b kq c3,f8e7
1R6/6b1/5pk1/5p1p/r6P/3KB1P1/5P2/8 b - -,a4e4
8/4bk2/2b5/1p5R/6P1/p7/2K5/8 b - -,b5b4
2r1kb1r/2qp1ppp/p1b1p3/1p2P3/3Q1P2/4BB2/PPP3PP/3R1RK1 w k -,c2c3
2brr1k1/ppp2pp1/5qnp/3Pp2Q/4P3/2P1P1NP/PPB3P1/R3R1K1 b - -,f6b6
3r2k1/1pq2pbp/2p3p1/p7/Pn1NP3/2Q4P/1PP2PP1/R3R1K1 w - -,e4e5
4b3/6kp/1R2p3/4R1p1/p1pP2q1/P1P3P1/6P1/6K1 b - -,g4g3
3r4/q1Nrkpp1/3p3p/p3p3/PpQ1P2b/1P3R2/1PR2PP1/6K1 b - -,e7f8
r4rk1/pp2ppbp/1nn1b1p1/8/4P3/2N1BN2/PP2BPPP/R2R2K1 b - -,b6c4
2r5/4k1pp/1Rb2r2/pB6/4pP2/4K1P1/P6P/3R4 w - -,b5c6
4rr2/pbq2pkp/1pnpp1p1/8/3P4/2PBQ2P/PP3PPN/R3R1K1 w - -,h2g4
8/1p3k1p/p7/8/3Bb2P/2P1Kp2/P4R2/1r6 b - -,e4c6
r3kb1r/1p3ppp/p1n2n2/3pq1B1/6b1/2PB4/PPN1QPPP/R3K1NR w KQkq -,f2f3
r1b1r1k1/p3bp1p/2p1p1pB/2p1N3/3qN3/3P3P/PPP2QP1/R4RK1 b - -,f7f5
r1rq2k1/1p3pb1/4pnp1/1b5p/p1NPP3/P4PP1/1Q4KP/2RRBB2 b - -,b5c4
r1bq1rk1/1ppnn1bp/p2p4/3Pp1p1/2P1Pp2/2N2P2/PP2BBPP/2RQNRK1 w - -,e1d3
rn2kb1r/ppq2pp1/2p1pnp1/2Pp4/3P4/1QN1P3/PP3PPP/R1B1KB1R w KQkq -,h2h3
r5k1/qp4p1/n5rp/2PPpb2/pP1n3P/P3N1N1/6K1/1R2QB1R b - -,f5e4
7R/r7/2K5/1p3kp1/8/7P/8/8 w - -,c6b5
r3rb2/2p2p1k/p1npqnpp/1p2p3/PP2P3/2PPBNNP/4QPP1/R2R2K1 b - -,d6d5
r1r3k1/1b1nqp1p/p5p1/1P2p3/2pNP3/P1R5/5PPP/1B1Q1RK1 w - -,b5a6
r7/2kb1Pr1/1nn4p/3pp2B/p1pPq3/2P5/P2B1R1N/1R1Q3K w - -,h5f3
6k1/1p2pp1p/6p1/p3q3/P7/Q3PB2/2br1PPP/2R3K1 b - -,d2d3
8/5k2/p1p1r1p1/1p1p1b2/2PB1r1p/1P6/P6P/3R1BKN w - -,h1f2
8/1p1k4/1P6/p1P1K2p/P6P/8/8/8 b - -,d7c6
2rq1rk1/pp1bp1bp/2pp1np1/2nP1p2/2PN4/1PN3P1/PB2PPBP/1R1Q1RK1 b - -,c6d5
r4k2/pp2r1b1/3p1nB1/2pPp3/2Pq4/P6P/3BQP2/1R2K1R1 w - -,g1g3
3r2k1/pp3ppp/1Q2p3/8/8/2P2P2/P5PP/1bR2K2 b - -,b1d3
8/1b1k4/p2p1p1r/1p1NpPn1/4P1P1/2P2BK1/P1P4P/3R4 w - -,f3g2
r4rk1/pp2nppp/4pn2/3q4/8/1P3N2/P1PNQPPP/R4RK1 w - -,c2c4
rnbqr1k1/ppp2ppp/3p1n2/3Pp1B1/2P5/P1Q1PN2/1P2BPPP/R3K2R b KQ -,a7a5
rnbqkb1r/pp3ppp/4pn2/3p4/2Pp4/5NP1/PP2PPBP/RNBQK2R w KQkq -,e1g1:f3d4
1R6/p4pkp/br4p1/p3n3/2pNB3/2P3P1/P2PP2P/6K1 w - -,b8a8
3r2k1/6pp/1p2p3/pP2q3/PbP5/6NP/2R3Q1/4R2K b - -,e5e1
8/4kp2/5Rp1/4P3/5P1P/6K1/8/7r b - -,h1g1
r1b2rk1/pp2qppp/2n2n2/2bpp3/5B2/2P1PN1P/PP2BPP1/RN1Q1RK1 w - -,f4g5
2rq1rk1/pp1n1pbp/4p3/3p1p2/3P4/2P2PP1/PP1B2BP/R1Q1R1K1 w - -,d2h6
8/4k3/p2p4/2r1p2p/1Kp3p1/2P1R2P/r1P3P1/3R4 b - -,a6a5
r3k2r/pp2bpp1/1np1pnp1/5q2/3P4/1BN1PPP1/PP1B3P/R2Q1RK1 b kq -,e8c8
8/8/5b2/6p1/5p1p/5P1P/4k1P1/2K1B3 w - -,e1b4
r2q1bk1/2p4p/1p1p2p1/1NPPp3/1P2P1b1/4B3/3Q2PP/2R3K1 b - -,b6c5
r2q1rk1/1b2ppb1/1n1p1npp/pBpP4/P3P2B/1QN2N2/1P3PPP/R4RK1 b - -,g6g5
2rq1rk1/3nbppp/p1p1pnb1/1p2N3/3P1B2/2N3P1/PP2PPBP/R1QR2K1 b - -,d7e5
rn1qk2r/1bp1bppp/p3pn2/1p4B1/3P4/2NBPN2/PP3PPP/R2QK2R w KQkq -,g5f6
8/3R1p2/4p1k1/p3P3/Pr1P1P2/6K1/8/8 b - -,b4a4
8/pN6/6k1/4p3/4K3/1Pn5/P7/8 w - -,e4e5
8/4R3/8/2r1n3/3k4/8/3K4/8 b - -,c5a5
5Q2/p5pk/1b3rp1/3RP3/P5P1/2q2P2/7P/3R3K w - -,f8f6
2r1k2r/bp3ppp/p1n1p2n/4P3/1P1p1P1q/P2B1QPP/3P3K/RNB2R2 b k -,h4e7
2r2rk1/p1N1q1b1/4b1p1/4p3/PP1pP1pp/8/3N1PPP/2RQ1RK1 w - -,c7e6
r2q1rk1/3nppbp/b2p1np1/3P4/2p1P3/2N2NPB/PP3P1P/R1BQR1K1 b - e3,f6e8
8/5pk1/4pNp1/8/1p1P4/2q1PPP1/P3Q3/5K2 b - -,g7f6
r3k2r/p1p1npbp/2ppq3/5p2/4P3/2NQ4/PPPB1P1P/2KR3R w kq -,e4f5
4k3/pp1b2p1/2pb1pn1/3P1p1p/2P5/2B3PP/PP1N1P2/5BK1 w - -,f1e2
3qn1k1/pp3pp1/2prp1p1/8/2P1P1P1/7P/PPQ2P2/3R1BK1 w - -,d1d6
r4rk1/pp3pp1/1qn1b2p/2p1Pp1Q/3pP3/2P3B1/PP1N1PPP/1R3RK1 b - -,f5f4
4Qnk1/2qr1pb1/4p3/2p1P3/6Rp/1P3b1P/1PP2PPK/8 w - -,g2f3
4r3/1p2rpk1/2p3p1/bp1p1p2/2nP3P/PP1NP1P1/2R2PK1/1NR5 b - -,c4d6
5rk1/p3b1pp/1pr1p1n1/8/2B1NP2/6P1/PP5P/2RR2K1 w - -,c4b3
8/p2k4/2pr1npp/1p3p2/1P3P2/P3K3/B1R5/8 b - -,f6g4
r1b1k2r/p1p1b1pp/2ppq3/8/8/5N2/PPPPQPPP/R1B1K2R w KQkq -,d2d3
r1b2rk1/ppp1qppn/3p3p/n3p3/2B1P3/2PP1N2/PP3PPP/R2QKN1R w KQ -,c4b5
2r2rk1/p2nqp2/bp2pn1p/6p1/1PN4B/P3P3/1Q2BPPP/2R2RK1 w - g6,h4g3
rr4k1/2p2ppn/3p3p/1p1P2qP/4PQP1/P4P2/NP6/1K4RR w - -,f4c1
6k1/pb3p2/1p2p1pp/8/3PPPP1/q2B1K2/P5QP/8 w - -,g2c2
1rb1nrk1/1p2qnbp/p2p4/2pP1pp1/P1N2P2/2N1P1BP/1P2B1P1/R2QR1K1 w - -,d1b3
6k1/R4p1p/4p1p1/P1rn4/5P2/6P1/4N2P/6K1 b - -,c5c2
8/8/3N4/2pP4/1pP4p/1Pk4K/8/8 b - -,c3b3
8/5n2/3p2k1/p1r2p2/1pN5/1P4P1/P2R1PK1/8 b - -,a5a4
rbb1k2r/pp2pp1p/1n4p1/1N6/8/1B6/PP3PPP/R1B1R1K1 w kq -,c1g5
r2q1rk1/1p2pp1p/b5pQ/3n4/Pp1N4/1P3PP1/2P3BP/R3R1K1 b - -,d8b6
r2r2k1/2pqnpbp/2n1p1p1/PpPp4/3P1PP1/1QN1B3/P4PBP/R2R2K1 b - -,d8b8
r4rk1/1bq2ppp/p2b4/1ppnN3/2P5/1N1P4/PP1B1PPP/R2QR1K1 w - -,d2a5
8/3r4/2k1Q3/8/8/2K5/3n4/8 b - -,d7d6
5b1r/p3k3/2p3p1/PpN1np2/2BRp3/2N1P3/1PP2PP1/2KR3r b - -,h1d1
8/5k2/5p2/4nPN1/5K2/6P1/8/8 b - -,f7e7
2rr4/3nqpkp/pp2p1pn/8/2P1NP2/1P1B3R/PQ4PP/4R2K b - -,f7f6
rn1qkb1r/1b3ppp/p3pn2/1ppP4/5P2/2NP2P1/PPP3BP/R1BQK1NR w KQkq -,g1f3
r2q1rk1/p4ppp/1pbb1n2/2pp4/3P4/1P1BP3/PB1N1PPP/R2Q1RK1 w - -,d2f3
rnbqk1r1/ppp2p2/4p3/3p2pQ/3P4/P1P5/2P2PPP/R3KBNR w KQq -,h5h7
8/5pk1/6p1/4K1P1/2R4P/b7/8/8 b - -,a3e7
8/1r6/1P6/1p4P1/2k2K1p/8/4p3/1R6 w - -,f4f3
3Qb2k/1q6/1p3b2/7p/2Pp2p1/8/PP2rPP1/5RK1 w - -,d8f6
2r2rk1/1p1bn1bp/pqn1ppp1/3pP3/1P1P1B2/P2B1N2/2NQ1PPP/R3R1K1 b - -,f6e5
8/8/8/3k1p2/3b2p1/4qPP1/4P1K1/5RN1 b - -,d5c4
r2r2k1/1bb1pp1p/1pn3p1/2p5/2B1P1N1/2P1BP2/1PK3PP/R2R4 b - -,a8a1
8/8/8/3R4/4rkp1/2K5/8/8 b - -,g4g3
3rk2r/5p2/2q1p2p/1pbnN1p1/p5Q1/P1P4P/1P3PP1/1RB1R1K1 b k -,c6c7
8/p1r2pk1/6p1/2b4p/R7/1B2P1P1/P3KPP1/8 b - -,c7d7
6rk/2p1R1p1/np6/p2pBb1r/3P4/PP3N2/4KP2/6R1 b - -,f5e4
8/5k2/p2p2p1/B1pP2P1/2P2P2/4K3/P7/3n4 w - -,e3d2
8/8/1P5Q/1r6/4pp2/4kr2/2K5/8 w - -,h6c6
8/p6p/5kp1/5p2/bPp5/PrN1R3/5KPP/8 b - -,a4c6
8/3Q4/6p1/7k/5b2/5q2/5P2/6K1 w - -,d7h7
3R4/p5pk/6rp/8/8/P2Q3P/3K4/q3N3 b - -,a1b2
1k1r4/pp4p1/3r1p2/3np3/6PP/PPb2BP1/3B3K/1R1R4 w - -,d2c1
8/R7/8/1P1kp1p1/P2p3p/3P1P1P/7r/4K3 b - -,h2h3
2b5/p3kp1p/r5p1/2pB4/1pP1P3/4K3/P2R1PPP/8 w - -,e3f4
4r3/5q1k/p2p1npp/3P4/P2B1P2/1bP1NQP1/7P/R5K1 w - -,c3c4
r2q1rk1/pb1n1ppp/1p1ppn2/2p3B1/2PP4/P1QBPP2/1P4PP/R3K1NR w KQ c6,g1e2
5r2/2pR4/2B2k2/pP3pq1/7Q/7P/8/7K w - -,h4d4
8/4Rpk1/7p/4p1p1/2r5/7P/2r2PP1/3R1K2 w - -,e7e5
8/7p/5p2/4b1p1/p1k1P2P/5P2/2K3P1/4B3 w - -,e1d2
r1br2k1/pp3pb1/1P4qp/R5p1/N2pPn2/3P1P2/1B1Q2PP/2R1N1K1 b - -,a7a6
4Q3/2R3rk/1p1q1p2/3p2p1/N2P1n1p/pP5P/P4PP1/K7 w - -,c7g7
r2qk1nr/p2n1pbp/2p1p1p1/1pPpP3/1P1P3N/P5P1/1B3PBP/1R1QK2R b Kkq d3,a7a5
3r1rk1/1p4pp/4b3/1B2pp1Q/1q6/p1N4P/PP2RPP1/1KR5 b - -,d8c8
7k/p4B2/1p3n1p/4p1p1/3r2P1/P4P1P/2b3N1/3R2K1 w - -,d1c1
1q6/Rb4bk/1P4pp/3Pp3/1Q6/4B1NP/2r2P1K/8 w - -,b4e7
8/6b1/1kN4p/1p6/p4P2/6P1/P1R1PK1P/r7 b - -,a4a3
rn1q1rk1/ppp1bppp/3p1n2/3P1b2/2P5/2N1BP2/PP2N1PP/R2QKB1R w KQ -,e2g3
8/1k1N4/8/8/4n1K1/1P6/P7/8 w - -,g4f5
3r2k1/1R3p1p/1Qpq2pB/5n2/8/2P3PP/P4P1K/8 w - -,h6f4
3Q2k1/8/6p1/7p/7P/5PP1/4P1K1/4q3 b - -,g8g7
8/8/5Rn1/k4prp/P7/4p1P1/P3P1BP/6K1 w - -,g2h3
3q1bkr/5p2/3p1Pp1/P1pPp1Pp/4P2P/7Q/3B2K1/1R6 w - -,b1b7
r2q1rk1/1b1nbppp/p1p1p3/3pP3/8/1PNB4/PBP1QPPP/R4RK1 w - -,c3a4
8/5pk1/6p1/6P1/1R3P2/5r1p/7K/8 w - -,b4a4
2b5/5pk1/2n2q1r/3Pp2p/2p1P1pP/4P1Q1/1P4P1/R4BK1 w - -,d5c6
r3r1k1/1p3ppp/4b3/p1Q5/P4BPb/1P3P1q/1P1RN3/5RK1 w - -,e2d4
2bk1b1r/1pNp1ppp/1B1Pq1n1/5n2/5P2/8/PPP3PP/2KR1B1R w - -,c7e6
8/5pk1/R6p/p7/1p3KPP/rP2P3/5P2/8 b - -,a3a2
8/8/5p2/6p1/p1kr3p/5P1P/1K2R1P1/8 w - -,b2a3
1r3r2/R1pq2bk/1p1p2pp/1P1Bp2n/2P5/1Q1P2pb/1B1NPP1P/4R1K1 w - -,h2g3
8/6pk/7p/3r3P/RB5K/P5P1/8/1r6 b - -,d5g5
2b5/5kp1/p7/1p6/2p4P/P3PK2/2B3P1/8 b - -,a6a5
1q1r2k1/pb2bpp1/2p1pn1p/2P1N3/8/1P6/PBQ2PPP/1BR3K1 b - -,g8f8
rn1qkbnr/1b1p1ppp/p3p3/2p5/1p2PP2/4NNP1/PPPP3P/R1BQKB1R b KQkq -,b7e4
8/3Rp1k1/1p2p1p1/2b1P2p/2P1B2P/6P1/4K3/7r b - -,h1h2
3r1bk1/p4p1p/1p3P2/2p2NP1/8/2P1R1KP/1P1r2B1/8 b - -,d2b2
b5k1/p3bp2/3Np1p1/2p1P3/5P1P/1PB3P1/P2KQ3/6q1 b - -,g1g3
8/1p3pk1/3p4/3P1Q2/P7/KP5p/2B3q1/8 b - -,h3h2
r7/5p1k/3P2p1/2p1R1Pp/5N1P/prn2PK1/8/R7 b - -,a8d8
8/4k3/1PB5/6N1/4K3/4P1b1/8/3b4 b - -,e7d6
2rr2k1/4bppp/b3p3/p1p1P3/3N1PP1/P1N4P/1P4B1/R2R2K1 b - -,c5d4
8/p1R4p/r5p1/5p2/1p1k4/1Pn3P1/P1R3KP/8 w - -,c7h7
2qr1rk1/pp2ppbp/1np1b1p1/4N3/2PP1B2/1B3Q2/PP3PPP/R3R1K1 w - -,f3c3
r1q1kb2/2pn1p2/p1np2rB/5N2/4P1p1/2P5/1P2QPPP/RN1R2K1 w q -,h6f8
8/4k3/5p2/5P2/4PK2/3R4/8/4r3 b - -,e1f1
r2q2k1/1p2rp1p/1P1n2p1/p2p4/3Pn3/1Q1NP3/3N1PPP/1RR3K1 w - -,d2e4
8/2k5/3p4/pP1Pp1pp/4P3/n2K2P1/8/3N4 b - -,a3b5
8/5pk1/4n3/3R4/1r4PK/3B4/5P2/8 b - -,e6f4
1r2r1kb/5p1p/2p1p1p1/p1Pnq2P/8/P5P1/2BBQPK1/2R4R w - -,e2a6:e2f3
2rr2k1/pp3ppp/8/3p4/b2q4/P1P3P1/1P3P1P/R1B1R1K1 w - -,c3d4
1r6/1p1Bk3/4P1p1/R3KpP1/4bP2/P7/8/8 b - -,b7b6
4r1k1/1pq4p/2pp4/p1n2p2/P1Pb1P1P/1PNB2P1/3Q4/1R4K1 w - -,g1h2
2r2rk1/5ppp/p1Nq4/1p1n4/Q7/4P2P/P1R2PP1/R5K1 w - -,a4a6
2R5/r6p/1p1qN1p1/p1pB2Nk/P1P4n/1P6/5P2/4R1K1 w - -,c8d8
5r1k/1pr1q1p1/7p/1Rn1p3/1QPpB3/3P1P1P/7K/R7 w - -,a1a5
r2q1rk1/pp1nbpp1/2p1p2p/3p1b2/2PPn3/1PN1PN2/PB2BPPP/2RQ1RK1 w - -,c3e4
r2q1rk1/pb1nbppp/4p3/1ppn4/8/1P1P1NP1/PBQNPPBP/R4RK1 w - -,a1c1
1rbq1rk1/5ppp/2np4/pp1Np1b1/4P3/2P3P1/PPN2PBP/R2Q1RK1 b - -,c6e7
rn1q1rk1/pp3ppp/2n5/2bp4/3N2b1/2PB1N2/PP2QPPP/R1B1K2R w KQ -,d3h7
