6k1/5p2/5Bp1/7p/5b2/8/PP2KPb1/8 b - -,g2d5
4rrk1/1p1q1ppp/1np2n2/p4p2/Pb1P4/2N1PP2/BPQ3PP/R1B2R1K w - -,c1d2
8/4b3/4k3/8/P1P4p/4BP2/6K1/8 b - a3,e7d8
8/3bk3/1p1p1p2/p1pP4/P1P1P2K/1P2BP2/8/8 w - -,e3f4
r1bqkb1r/ppp2ppp/2n2n2/3Pp3/2p5/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,c6b4
5rk1/p1pqn1b1/1p5p/2Pp2pN/3Pp1P1/PP2Br1P/4QP2/5KRR b - -,b6c5
rn3rk1/pbp1qppp/1p1p1n2/4p3/2PPP3/5NP1/PPQN1PBP/R4RK1 w - -,f1e1:d4d5
1r6/Q4pk1/4b3/7p/3p1qp1/3B4/PPP4P/K2n3R w - -,h1d1
2bn2k1/5ppp/p7/2NBP3/1p3P2/1P4P1/P4K2/8 b - -,a6a5
2rqrbk1/1p1b4/2pp2pp/p1nPpp2/2P1P3/PPN3PP/2QN1PBK/R3R3 w - -,b3b4
rn3rk1/p4p1p/2p1bbp1/q7/5B2/1PpB1N2/P1P1QPPP/R4RK1 b - -,b8d7
8/8/2k5/2P1n3/pK4p1/P7/5N1P/8 b - -,e5d7
8/1p2k3/2p2P2/3b2p1/1P1R2P1/r2N1P2/4K3/8 b - -,e7f6
r4rk1/p2bbppp/2n1pn2/3p4/PppP1B2/2P1PN1P/1PBN1PP1/R4RK1 w - -,a4a5
r3k3/1R3pr1/3R1p2/1p2pB1p/8/2P1b1P1/PP5P/1K6 b - -,e3g5
8/6k1/1pp4p/p3K1p1/1b2P1P1/7P/8/8 w - -,e5e6
rnq2rk1/1b2bppp/pp1ppn2/8/2PNP3/2N1B1P1/PP3PBP/2RQR1K1 b - -,b8d7
r1q1n1k1/2p2ppp/p1Qb4/1p1N4/5B2/5P2/PPP2P1P/3R2K1 b - -,g8f8
r6k/4R2p/p3B1p1/8/P3P3/3b2P1/6KP/5r2 w - -,e7d7
2rq1rk1/pb2nppp/1p2p3/3n4/3P4/PBN2N2/1P3PPP/R2QR1K1 w - -,a1c1
8/R4p2/5kp1/5p1p/5P1P/6PK/4r3/8 b - -,e2e7
r1bqr1k1/1p1nbppp/2pp1n2/p7/P1PNP3/2N5/1PQ1BPPP/R1B1R1K1 w - -,c1f4
8/8/8/8/3kp3/3r2PP/3pK3/5R2 w - -,f1d1
8/5k2/1r6/3N1P2/4NK2/8/8/8 b - -,b6a6
4n3/1p2k1p1/p3p2p/4Pp1P/2P3P1/1PB1K3/P7/8 w - -,g4f5
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq -,f8e7:f8c5:d7d5:c7c6:b8c6:h7h6
r2q1rk1/pp3pbp/2n3p1/3p3n/P4P2/3B3Q/1PP1NP1P/R1B2RK1 b - -,f7f5
r4rk1/4np1p/p2q1p2/3p4/3P4/P3pQPP/1P1bNPB1/3R1RK1 b - -,a8b8
r4r2/2qN1pkp/pp4p1/8/1pB5/8/P2Q2P1/R5K1 w - -,d2d4
2kr1b2/1p1n1pp1/p1q1p2p/7P/1PP5/P3BNP1/4QP2/1K1R4 b - -,c6e4
1r1r2k1/pb1q1pb1/4pnpp/pR6/3PP3/3B1N2/3BQPPP/R5K1 w - -,a1b1
2r5/1p6/2n2k2/2p1p1b1/2P1B1p1/1P4Bp/1K3R1P/8 b - -,g5f4
8/pp5k/5Rb1/4ppp1/8/5P2/PPP5/1K6 w - -,f6e6
r3k2r/1p2qppp/p1bb1n2/2p1pP2/P3P3/3BB3/1PPN2PP/R2Q1R1K w kq -,d1f3
8/1p3pk1/8/2qp2PQ/8/5K2/8/8 w - -,h5h6
1r5r/pp1k2b1/5pp1/7p/2PPp2P/1P4P1/P3NPK1/3R1R2 b - c3,g7h6
r1bq1rk1/pp1n1pbp/3p2p1/2pP4/2P2B2/1PNQ4/P3NPPP/R4RK1 b - -,d7e5
3r2k1/pp1r1p1p/4p1p1/3n4/2Nn2P1/P7/1P3PP1/1BR1R1K1 b - -,d7c7
2r2rk1/p1q1bpp1/bpnppn1p/8/2P1P2B/P4N2/1PQNBPPP/2RR2K1 b - -,c7b8
1r1q1rk1/p1n1p1b1/3p2pp/1bpP1p2/4n3/4P1PN/PP2NPBP/1RBQR1K1 w - -,f2f3
2rr2k1/1q2ppb1/4b2p/2nPP1pP/p3R3/2B1NP2/1P1Q2PN/R5K1 b - -,e6d5
r2qkb1r/pp1n1ppp/2p1p3/7b/3Pn3/1B2NN2/PPPB1PPP/R2QK2R w KQkq -,e3f1
6k1/2pr1pp1/7p/p3r3/N7/1P1P2PP/Pb2PP2/2R2K2 w - -,a4b2
r2qn1k1/1p1b1rbp/p1npp1p1/5p2/2P5/BPN1Q1P1/P1N1PPBP/3RR1K1 b - -,d8c7
r3k2r/p2nbpp1/1pp1p1p1/3p2P1/2PP4/1P2P2P/RP1B1P2/3K1BR1 b kq -,e8d8
8/2n1k2p/p1N3p1/2p2p2/Pp1p1P2/1P1P2P1/2P4P/6K1 b - -,e7d6
8/pp4rk/3pq1rp/8/7R/6BP/P2Q2PK/8 w - -,d2c2
4r1k1/p2qrpp1/1p1p2np/2pP4/Pn2P1P1/1P2R2P/1B1Q1PB1/4R1K1 w - -,e3g3
4r1k1/5pp1/2pR4/p6p/2P5/1P6/P1n1NPPP/5K2 b - -,a5a4
5r2/p5k1/2q3p1/4p1Np/1p1b3P/1Pp5/P1R2B1K/7Q b - -,f8f2
5r1k/6pp/1p1q1p2/pPrB1b2/P1P5/4R3/3Q1PPP/3R2K1 b - -,c5c7
rnbqk1nr/2p1ppbp/pp1p2p1/8/P2PP3/5N2/1PP1BPPP/RNBQ1RK1 b kq -,c8b7
3r4/5rkp/1p1p2p1/p1p1p3/3N4/P2Pn1P1/1P1QPqB1/1R2R2K w - -,d4e6
r3qrk1/n1p1b3/2n1p2p/2PpP1p1/Pp1P2NP/3B1N2/P4P2/1RBQ2K1 b - -,g8h8
rnb2k1r/2p4p/p2b1p2/3P4/3P1p1P/1B1N2p1/PPPp2P1/4R1KQ b - -,d2e1q
8/p7/7p/1pr1k1p1/1P1r2P1/1P3K2/P2p3P/3R4 w - -,b4c5
r3n1k1/5ppp/1BP1n3/3pq3/4p3/4P3/2Q1BPPP/1R4K1 w - -,b1d1
8/5kn1/5b2/1R5p/1R5P/3r1PPK/8/8 w - -,b4b3
6k1/3r1pp1/p1q1p2p/4P3/PQpB4/4P1P1/1P3P1P/6K1 b - -,d7b7
r4rk1/p2pqp1p/1p3p2/3Qb3/4P3/2P5/PP3PPP/2KR1B1R b - -,a8c8
8/2k2pp1/8/1P2B2p/2K1P3/5P1P/2n3P1/8 b - -,c7b6
5r2/6b1/7p/k1p1P1pP/Pn1p4/N5P1/2P2P1N/4R1K1 w - -,a3c4
5rr1/1k1b4/4N3/1p1pP3/2pP3p/2P4P/5RP1/5RK1 b - -,f8f2
8/2rnkpp1/r3p1p1/1p6/3RnP2/PN2N1P1/1P4KP/3R4 b - -,e4d6
4r2k/5p2/3p2qp/3P4/3NP1n1/3Q4/5PP1/4R1K1 b - -,g6h5
5rk1/3q2pp/3n4/pp1Pp3/2p1P2B/2P4P/P1Q3P1/4R1K1 b - -,d7c7
r4rk1/1bqnbppp/1p2p3/pPnpP3/2PN4/P4N2/1B3PPP/R2QRBK1 b - -,f8d8
8/4kpp1/2b4p/6bP/ppB5/3K4/P2N4/8 b - -,g5d2
2rqk1nr/pp3p2/2n1p1p1/3pP2p/3P1Q2/b1PB4/5PPP/RN2K2R w KQk -,b1a3
r1b1r3/1p3k1p/n1p2pp1/p1n1p3/2P1P3/2N2P1P/PP1R2P1/3RNBK1 b - -,c8e6
8/5p1k/6p1/5p2/2P4p/p7/P7/1KB5 b - -,h4h3
r5k1/p1pn2pp/1p6/4p1q1/2PP4/P4rB1/1PQ4P/3RR1K1 w - -,d4e5
8/6bk/1p1p1pq1/3P2Pp/1PPp1r2/3Q1N1P/5PK1/3R4 b - -,f4e4
r7/p3b3/1p2p1qk/1QPp1p2/3P1Pp1/2N1P1P1/PR6/6K1 w - -,b5d7
r2q1rk1/1p3ppp/p1nb2n1/3p4/3P2b1/BPPB1N2/3N1PPP/R2QR1K1 w - -,d1b1
2r3k1/p4pp1/1p5p/7P/3B2P1/qN1p4/8/1R1B2K1 w - -,d4e3
2k5/4R3/1p2pB1n/p1p1P2P/P1P1K3/2P5/8/7r b - -,h1h5
r5k1/pp4pp/3q2N1/3p4/8/1PQ1Pb2/PB4Pb/R6K b - -,d6g6
r1bqk2r/2n1bp1p/1n1p4/p1p3p1/1p2P3/PP1N2P1/5PBP/RNBQ1RK1 b kq -,h7h5
2r1qb1k/6pp/3B1pn1/3Qp2N/p3P3/P4P2/1P1R2PP/5K2 b - -,c8d8
5rk1/pp3ppp/qr2pn2/4P3/5P2/3Q2PP/PP1R2BK/3R4 b - -,a6d3
8/8/3k2N1/5r1B/8/4b2K/8/8 w - -,h5g4
r3r1k1/1p2npp1/3N1nq1/Q6p/2P1pPb1/B3P3/P5PP/R3KB1R w KQ -,a5c3
r1bq1rk1/4bppp/p1pp1n2/4p3/2P1P3/1PNB4/P3QPPP/R1B2RK1 w - -,c1a3
r1bq1rk1/pp1nbppp/2p1pn2/8/2pPP3/P1N3P1/1P1N1PBP/R1BQ1RK1 w - -,d2c4
8/4k1p1/4p3/B4p2/2P1nPp1/6P1/7P/3K4 w - -,a5b4
r1bq1rk1/ppnn2bp/3p4/3Ppp2/1P6/P1NBBP2/2Q1N1PP/R4RK1 b - -,d7f6
3r4/2b1kp1R/p1p1b1p1/PpP1p3/1P2P1P1/2KB1PP1/8/4N3 b - -,e7f6
r1b2rk1/2q1bppp/p3p3/1p1p4/3P4/8/PP1NBPPP/2RQR1K1 b - -,c7b6
r1r3k1/3qnpp1/4b2p/1pRpPp2/1P1P4/3N4/3QNPPP/2R3K1 b - -,d7b7
2r5/pr2bk1p/R3Rp2/6p1/2p3P1/4B3/5P1P/6K1 b - -,c4c3
8/p4k1p/1p4p1/1Ppr1p2/P1R4P/4P1K1/5PP1/8 b - -,d5d2
r2rb1k1/ppq2ppp/3p1b2/5p2/4P3/2N5/PPPQ1PPP/1K1RR3 w - -,c3d5
3r2k1/p1Qb4/4pq1p/2P1N2P/8/P5p1/2B2rP1/2R2RK1 w - -,e5g4
r7/1p3p1k/1b2bBp1/6Pp/p3R3/P4P1P/1P4K1/2R5 w - -,h3h4
r4k2/1R5p/2P2ppb/2Q1p1n1/4P3/1N3PP1/6KP/8 b - -,f8g8
r1bq1rk1/3p1pbp/p1n1p1p1/1pp1Pn2/5P2/1BNP1N2/PPP3PP/R1B1QRK1 w - -,c3e4
5rk1/5p2/3RpQpp/3pP3/8/2q5/5PPP/r4RK1 b - -,c3e1
r2qk1nr/pbp2ppp/1p1pp3/8/2PPP3/2PQ1N2/P4PPP/R1B2RK1 w kq -,d4d5
2rr1k2/2Nn1pbp/6p1/p1p1P3/2p1PP2/4B3/PP5P/1K2RR2 w - -,c7d5
4r2k/3r2pp/2p2p2/8/1nQ5/4B3/P3K2P/8 b - -,b4d5
8/5R1Q/1k2pP2/p2pq3/2r5/P7/2P5/2K5 w - -,f7b7
rnb1k2r/pp3p1p/4p3/2P2p2/8/2P5/P1PN1PPP/R3KB1R b KQkq -,b8d7
r4rk1/pp1nqppp/2p2n2/4P3/3P4/2N2B2/PPQ2PPP/3RK2R b K -,d7b6
r2qk2r/pppb1pbp/2np1np1/1B2p3/4P3/2PP1N2/PP3PPP/RNBQR1K1 w kq -,b1d2
r1b1k2r/1p2qpbp/pP1ppnp1/1N6/8/2PBB3/1P3PPP/R2Q1RK1 b kq -,e8g8
rnbqk1nr/pp1pbppp/2p5/3Np3/2P5/6P1/PP1PPP1P/R1BQKBNR w KQkq -,d5e7
7r/4kp2/4p3/3pPn1P/2bP1N2/pNP5/K1P2PR1/8 b - -,h8a8
r4nk1/6pp/1qp1np2/pp2pN1b/4P3/PP3NPP/2P2PB1/R3Q1K1 w - -,e1e3
8/5p1k/8/1r3p1N/5P2/2b1PK2/8/6R1 w - -,g1g5
7k/p5p1/1p6/1P1Q2P1/2P5/5PK1/8/2q5 w - -,d5a8
8/p7/7r/2p4P/P1K5/2P5/1P4k1/7R w - -,h1d1
r1bqk2r/pp2npbp/2n1p1p1/2pp4/4PP2/3P1NP1/PPP3BP/RNBQ1RK1 w kq -,e4e5
2r2rk1/1pqnbppp/p2pb3/4p3/2n1P3/1NNBBP2/PPP2QPP/3RR1K1 w - -,d3c4
r5k1/3b1r1p/3np2b/pp1p1p1N/P2P3R/1q1P2P1/3Q2BP/5RK1 w - -,d2h6
r2qk2r/pppn1ppp/3bpn2/3p3b/3P1N2/1P2PPP1/PBP4P/RN1QKB1R b KQkq -,h5g6
8/6p1/7k/R7/4K2p/6r1/8/8 w - -,e4f4
2rq1rk1/pp1b1p2/5Ppp/3pP3/1b6/2NQ2BP/PP4P1/3R1R1K w - -,c3d5
1k1r2r1/p4ppp/Bpbp4/2p1P3/4n3/3R4/PB3PPP/5RK1 w - -,f2f3
r1bq1rk1/pp3ppp/2nb1n2/1B1p4/7Q/2N1PN2/PP3PPP/R1B2RK1 b - -,c6e7
8/6k1/3N2p1/3n2Kp/8/8/7P/8 b - -,d5c7:d5f6
8/8/6k1/1pP4p/5pp1/2P1q3/8/3Q2K1 w - -,g1f1
8/3k3p/3p2p1/pp1P1p2/3K1P2/1PP4r/P4R1P/8 b - -,h3h4
r3r1k1/1p2qpb1/1n2b1pp/1PpB4/4Pp2/2P2N2/2QN1PPP/3RR1K1 b - -,c5c4
r3kb1r/pp1q1ppb/2p1pn1p/8/2pN1P2/1PBnP3/P2PB1PP/RN1Q1RK1 w kq -,b3c4
3r1bn1/Qpq2rk1/3pR1pp/8/5B2/6PP/PP3PB1/3R2K1 b - -,c7c2
r1bqk1nr/1p2bppp/p1npp3/2p5/4P3/2N2NP1/PPPP1PBP/R1BQ1RK1 w kq -,d2d4:d2d3
1r1nr1k1/2pq1pp1/p2b2p1/1p2p3/4R1P1/2PP1Q1P/PPBB1P2/4R1K1 w - -,c2b3
r4r1k/Pq2bpp1/2p4p/3p4/RP1PpQ2/2N5/1P3PPP/R5K1 b - -,e7b4
6k1/3R2p1/1p5p/p3b3/P7/4PK1P/1r3P2/2R5 w - -,c1c4
6k1/p1Q3p1/7p/4P3/2bP4/2Pq4/PP4PP/5RK1 b - -,d3f1
8/3q1p2/2k4p/p2p2p1/rp1B4/6PP/4R1K1/4RN2 w - -,e1c1
r1bqr1k1/ppp2ppp/2n2b2/3np3/8/3P1N2/PPPN1PPP/R1BQRBK1 w - -,c2c3
2r1rk2/1p1b2p1/p3p3/P1RpPpNp/1P1P4/4P3/6P1/R5K1 w - -,g1f2
r2r2k1/ppqnbppp/2p1pnb1/8/3PN3/1B2BPN1/PPP1Q1PP/R2R2K1 w - -,c2c4
8/1rnk4/3b1p2/R2p2pp/1P1N4/2PKB2P/6P1/8 b - -,d6e5
r5k1/pppq1rb1/2n1b1n1/6pp/3pPp2/NP1P1PP1/PB2Q1BP/2R1NRK1 b - -,g7e5
1k1r3r/1bp5/1pq1pR2/p3P1pp/P2P4/1QP1N1pP/1P4P1/R5K1 b - -,h8e8
r6r/1p1bk1p1/p2b4/q1NPp1Pp/4P3/4BP2/1P6/R2Q1RK1 b - -,a5b5
Q6R/1r6/2kq1p2/2rppP2/1P6/2p5/P1P3PP/5R1K b - -,c5b5
rqr2bk1/5p2/1p1nb1pp/2n1p3/P3P2B/8/1N1NBPPP/R1RQ2K1 w - -,e2g4
r1bqk2r/1p3ppp/p4n2/2bpn3/8/P1N1P3/1PB1NPPP/R1BQK2R b KQkq -,e8g8
8/6k1/4bp1p/1p5P/1P2PB2/3p1B2/5r2/2RK4 b - -,e6c4
r1bqr1k1/3n1ppp/2p2n2/4p3/p1PpP3/5NPP/PPQB1PB1/2KR3R b - -,d7c5
r1bq1rk1/1p3pp1/p1nb3p/4p3/8/2PB1N2/P1PBQPPP/1R2R1K1 b - -,d8e7
3r2k1/1p2qppp/1P3n2/1Np1n3/P1P5/4p1P1/4PPBP/2R1Q1K1 w - -,h2h3
1r4k1/p6p/2nNpbp1/1pB5/3P4/6PP/PP3K2/R7 w - -,f2e3
1rb1k2r/2q1bppp/p1p1pn2/2ppP3/8/BPNP1N2/P1P1QPPP/R4RK1 b k -,f6d7
4rbk1/1pq2p2/r3bp1p/2P1p3/1P5N/2Q3P1/5PBP/4RRK1 b - -,b7b6
r2q1rk1/pb1nbppp/1p1ppn2/8/2PNP3/2N1B1P1/PP3PBP/R2QR1K1 b - -,d8c7
3r2k1/1q3pp1/p2p3p/1pr1p3/2n1P3/2PR3P/PP2QPPN/3R2K1 b - -,b5b4
r1bq1rk1/5pbp/ppnp2p1/4p3/2P1Pn2/1P1BNN2/PB3PPP/R2QR1K1 w - -,d1d2
1k1r4/pp3p2/5n2/8/bP1N2P1/P2BP3/3K3P/6R1 w - -,h2h4
6k1/pp1b1p1p/8/3P2q1/4B3/3P1K2/QPr3PP/7R b - -,d7g4
4r2k/1bq3p1/4rnQp/2BpbN2/pp4P1/3P4/PPP3BP/1R3R1K w - -,d3d4
2bq1k1r/4np2/p2p2p1/p1pPp2p/PrN1P2P/1P3PP1/2PN4/R1Q1K2R w KQ -,e1g1
rn3rk1/1b3pp1/pqp1pb1p/1p2N3/3P4/2NBP3/PPQ2PPP/3RK2R w K -,e5g4
r3r1k1/pb3ppp/1pn1pn2/2b5/2B5/PPN1PPN1/1B2K1PP/R6R b - -,e8d8
r1bq1rk1/4npbp/p1n1p1p1/1pp5/3pP3/1BPP1N2/PP2QPPP/R1B1RNK1 w - -,c3c4
6k1/5pp1/4p2p/8/2N5/6PP/5PK1/b7 b - -,g8f8
r1b2rk1/pp3qb1/2p3pp/2p5/2P1n2N/6P1/PPQ2PBP/R2R2K1 w - -,g2e4
r4rk1/pp1bppbp/1qnp1np1/8/3PP3/P1N2N1P/1P2BPP1/R1BQ1RK1 w - -,c1e3
r4r2/1ppq2pk/p6p/3b1p2/1P1Pn2N/P3p1PB/2QB1P1P/2R3K1 b - -,e3f2
5k2/1R6/2r1K1p1/6Pp/4P2P/8/5P2/8 w - -,e6d5
8/4k2p/8/5p2/3KpP2/1P4PP/2P2n2/8 w - -,g3g4
r4b1r/p3k1pp/5p2/3p4/8/4BP2/PP3P1P/R3K2R b KQ -,e7e6:e7d6
1rbq1rk1/p1p1npb1/2np3p/1p6/3PP1pP/2N1B1P1/PPPQ2BN/R4RK1 b - -,g8h7
8/1R6/5kpp/3nN3/3PK3/8/6PP/r7 b - -,d5c3
3r1r1k/1pp1qpp1/pnn1P1bp/8/5BP1/P1N3QP/1P3PK1/R3RB2 b - -,d8c8
8/7p/5kp1/1N3p2/7P/2P3n1/PPK5/8 b - -,g3e4
6r1/kp6/1bpqp1Qp/p7/P1P2PP1/2B5/1P6/1K3R2 w - -,c3e5
r2r2k1/1p3ppp/2p1pq2/p3Q3/P2P1n2/1B3N1b/1PP2PP1/3RR1K1 b - -,h3g2
r1b3k1/ppp2pp1/5q1p/3rn3/Q7/P1R1PN2/1P3PPP/4KB1R w K -,a4e8
r3qrk1/2p1np1p/bpn1p1p1/p5N1/PbpP4/2B3P1/1PQ1PPBP/RN1R2K1 w - -,e2e4
3r4/p5pp/4kp2/4p3/8/4P1P1/PP2P2P/R4K2 b - -,h7h5
r2qk2r/ppp1n1bp/3p2p1/4nb2/2PN4/2N1B3/PP3PPP/R2QKB1R w KQkq -,e3g5:f1e2
1k4r1/2q5/8/1p3B1p/2p5/b1P1BP2/5P1P/R2R1K2 w - -,a1a3
r2r2k1/pq2bppp/1p2pn2/2pPB3/2P5/2N3P1/PP3P1P/R2QR1K1 b - -,e6d5
rn4k1/bp1q1p1p/4pp2/1n1pP3/p1rP1PQ1/P3B1PP/1P1R2B1/5RK1 b - -,g8f8
