8/8/1R6/p7/1p3k2/5p2/r7/4B1K1 w - -,b6b8
6k1/2bb1p2/2p1nqp1/3p4/3P4/2NBPN2/1Q3PP1/6K1 b - -,e6g5
8/5k2/1P2p3/4bp2/8/4KPr1/7R/5B2 b - -,g3g1
r3k2r/1pq1bp1p/2pp4/p3pP1b/2PnP3/2NPB2P/PP1Q2B1/R4R1K w kq -,d2f2
3r2k1/5p2/p3p1p1/Pp6/3qPP2/8/6QP/6RK b - -,d4e3
3R4/1k3p2/1Pbb4/6pp/3r3P/6P1/5P2/1R4K1 w - -,h4g5
rn1qk1nr/pb3ppp/1p1pp3/4P3/2PP4/P7/2Q1NPPP/R1B1KB1R w KQkq -,e2g3
5r1k/1bp4p/5qp1/2p1Q3/2P4P/1P6/6P1/1B2R1K1 b - -,h8g8
8/p3kppp/5n2/q3p3/1pB5/1P2PP2/P2Q1P1P/6K1 b - -,a5c5
3r1rk1/ppq1bpp1/4b2p/2p1Pn2/4pB2/7P/PPP1BQPN/4RRK1 b - -,c5c4
1r6/2R3p1/pP3k2/3b1p1p/P3pP1P/6P1/4PK2/1R6 b - -,g7g6
8/1p6/p7/P4k2/5Pp1/2B3K1/1Pn5/8 b - -,c2a1
3r4/1Rr1b1pk/3p2p1/1R1Bp2p/2P1P2P/2P3P1/5PK1/8 b - -,d8d7
r3k2r/1p1n1bpp/p1p2p2/8/4NP2/bP2P2P/P1RB2P1/4KB1R b Kkq -,f7g6
8/3k1p2/6p1/p3p1P1/1p1qPP2/1P3KP1/P1Q5/8 w - -,f3e2
2q1rbk1/3n1p2/1B1p3p/p2PpNpP/PpN1P1P1/1P3P2/4Q1K1/R7 b - -,d7b6
2br1k2/r3qppp/p7/3Bp3/1QPnN3/8/PR3PPP/1R4K1 w - -,b4a5
r2q1rk1/1b3ppp/2pb1n2/pp2n3/4P3/P1NB1N2/1PQ2PPP/R1B2RK1 w - -,f3e5
3b2k1/1p3ppb/2p1p2p/p3P3/P1N5/1P6/1B3qPP/3Q3K b - -,h7e4
1r2r1k1/p2qbpp1/1n6/Bpn1Pp2/3p4/P2P2P1/1N3RBP/2RQ2K1 w - -,d1h5
6k1/1p1q1pP1/p1b4p/3p2P1/3p1P1P/P2Br3/1P2NK2/3Q4 w - -,f4f5
3r4/p3rk2/2Q2pb1/1pP5/3Pp3/5P2/PP5P/5R1K w - -,d4d5
8/p2B4/7b/8/1p1k3P/4p3/P3K3/8 b - -,d4c3
2kr1b1r/pp1q1p2/5p1p/3p3P/1p2Q3/5N2/PPP2PP1/2KR3R w - -,e4d4
r2qr1k1/ppn2pbp/4p1pn/4N3/3R1P2/1QP3N1/PP4PP/R1B3K1 b - -,d8c8
r1bq1rk1/pp2n1bp/3p1np1/2pPp3/2P1PpP1/2NBBP1P/PP1Q4/R3K1NR w KQ -,e3f2
2k1rb1r/p2q2p1/1pn2P2/3p1pBP/2pP4/P1P1N3/1P3P2/R2QK2R b KQ -,g7f6
r3r3/b1p2ppp/p1k5/1pPNnb2/1P3B2/2N5/P4PPP/3R1RK1 w - -,f1e1
6r1/pppk4/2p5/7p/3P1PPn/1PB1p3/P1P1K3/6R1 w - -,e2e3
r1b2rk1/ppp2pp1/2nb1q1p/4p3/2P5/2NPPNP1/PP4BP/R2Q1RK1 b - -,d6c5
1r1qrnk1/1p3ppp/8/p1ppP3/P2P4/1R1B3Q/1P3PPP/5RK1 w - -,d3b5
2rq1rk1/pb2bp1p/1pn1pnp1/6B1/3P4/P1NQ1N2/1PB2PPP/R3R1K1 w - -,a1d1
5r2/5bk1/p3r1pp/3Kn3/3N3P/1pP3R1/1P6/1B4R1 b - -,e6f6
r1b1k2r/5p1p/p2PpbpB/1p3q2/8/1B3NQ1/PPP2PPP/2KR4 w kq -,d1e1
r3k2r/pb1qbp2/1pn1p1pp/2p3N1/5BQ1/3P2P1/PPP2PBP/R4RK1 w kq -,g5e4
rbbq1rk1/p5pp/n3p3/3p1p2/3N2n1/3NB1P1/PP2PPBP/R2Q1RK1 w - -,e3f4
8/2b5/k1n2p1p/1pp1pPpP/3pP1P1/1P1P4/2PBK3/1N6 w - -,e2d1
r3r2k/pp2nBbp/2b2pp1/4p3/8/BP2P3/P2N1PPP/2R2RK1 b - -,e8f8
2k2r2/pp3pp1/2prpn1p/4N3/2PP3P/8/PP2RPP1/2KR4 w - -,c1c2
2k5/p1p2ppp/3rb3/P2p4/1P5P/5B2/2PK1PP1/1R6 b - -,e6f5
8/1p1R4/p4r2/6k1/6P1/2K5/8/8 b - -,b7b6
8/5k2/5n2/8/6b1/2B3K1/6P1/1B6 b - -,g4e6
r1b2rk1/p1q3bp/2p3p1/1p1n2B1/4B3/2P2N2/PP1Q2PP/2KR3R b - -,c8b7
rn1qk2r/1b3ppp/2p1pb2/p7/PpBPP3/5N2/1PQ2PPP/R1B2RK1 b kq -,e8g8
1r4k1/3nqp1p/2b1p1pP/Rp1pP3/1P1P1QN1/3B2P1/5PK1/8 w - -,a5a7
6k1/1p3p2/1brR2p1/4B2p/p1P5/7P/P4QP1/6K1 b - -,b6f2
8/8/2R3p1/3p1p1p/3P1P1P/kp2K1P1/r4P2/8 w - -,e3d3
3b2k1/5p2/6p1/PnB1p2p/2N5/6P1/P3K2P/8 w - -,a5a6
r1b1kb1r/pp1n1pp1/1q2p2p/3pP3/2p5/1QP1P1B1/PP3PPP/RN2KB1R w KQkq -,b3c2
8/p7/7p/2p2k2/3bpr1p/1PN4R/P3KPP1/8 b - -,f4f2
r2qk2r/3nppbp/p2p2pn/1pP1P3/4NP2/4BN2/PPP3PP/R2QK2R b KQkq -,h6f5:h6g4
6k1/5p2/1b2r1p1/1P5p/6P1/2Q2K1P/8/8 b - g3,h5g4
rr4k1/3nppb1/q2p2pp/2pP4/4P3/2NbBNPP/PP1Q1P2/R3R1K1 b - -,g8h7
1rbqnrk1/R4p1n/6p1/2pPb2p/1pP1N3/3B1N1P/1P1Q2P1/5RK1 w - -,f3e5
r2k1bNr/pp1b1P2/2p1p1P1/q2p3P/3P4/8/PPQ1B3/1K1R1R2 b - -,d8c7
R7/p1p4k/1p2n2p/1P3pp1/P7/5PP1/3rB2P/5K2 b - -,e6d4
3qr3/1p3pk1/pr2b1pp/3p4/P1PP4/2Q3P1/3B1P1P/2n1RBK1 w - -,c3c1
rn2kb1r/p2pp3/b4p2/q1pP3p/2B1n1pP/4P1B1/PP1N1PP1/R2QK1NR w KQkq -,a1c1
2bQ1bk1/7p/4p3/p1p2q2/2B5/2P5/P5PP/1rB2R1K b - -,f5f1
r2qk2r/pp1nbppp/2n1p3/2ppPb2/3P4/1NP2N2/PP2BPPP/R1BQ1RK1 w kq -,c1e3
4R3/3r1p2/6p1/7p/4pk2/r7/8/1R4K1 w - -,b1f1
r7/4Npbk/3p2pp/3P4/4PP2/P5PP/R5K1/1n6 b - -,a8a3
r4rk1/1p2bppp/p3pnb1/P6q/1nBNP3/2N1BP2/1P2Q1PP/R2R2K1 b - -,a8c8
r5k1/pbpq1ppp/4r3/3pP3/1n6/2N3Q1/PPPB1PPP/2R1R1K1 w - -,g3g4
1N5r/1Q6/4bpqk/p5p1/8/1p2NPPp/5K1P/2n2R2 w - -,f1c1
r2r2k1/2N3pp/q3bp2/2Q5/4P3/1P1p3P/P4PP1/2R1R1K1 b - -,a6a2
r2k1q1r/pppbn2p/4p3/3p1pQN/3P4/2PB4/PP3PPP/R3R1K1 b - -,h8g8
rnb1kbnr/ppq2ppp/4p3/8/2Bp4/1Q2PN2/PP3PPP/RNB1K2R w KQkq -,e3d4
r1bqkb1r/1pp2ppp/p1p2n2/4p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,e1g1:d2d3
rnbqk2r/pp1p1ppp/2p2n2/8/1bPPp3/1QN3P1/PP2PPBP/R1B1K1NR b KQkq -,b4c3
1nr2rk1/1p3ppp/4q3/1P1pPpb1/3P4/3Q1N2/5PPP/1R2R1K1 w - -,f3g5
r3rbk1/pp1n1p1p/5np1/q2p4/1PBB1P2/2P2QNP/P5P1/R4RK1 b - b3,a5c7
r3r1k1/ppn5/2p4p/3pR1p1/3P4/P1P2NPP/1P2R1K1/8 b - -,e8e5
r1bq1rk1/pp2ppbp/2np2p1/6P1/3NP1B1/2N1B3/PPP2P1P/R2QK2R b KQ -,c8g4
2n4r/p2bk3/3p1pp1/n1p1p2p/2P1P2P/2NP1N2/Pr3PP1/R3KB1R b K -,e7f7
6k1/p4ppp/1p3n2/3Bq3/2P5/P5P1/3Q1PKP/8 b - -,h7h6
2kr3r/ppq1bp1p/2p1b1p1/4P3/4NP2/2PB2P1/P1Q3P1/1R2K2R w - -,a2a4
4n3/2k5/1p2r1n1/p1p1pN1p/P1P1P2P/2P2P2/4K2B/6R1 b - -,g6e7
r3kb1r/ppqn3p/2p2p2/4Nb2/P4p2/2N3P1/1P2PPBP/R2Q1RK1 w kq -,e5d7
3q1rk1/4bpp1/4p1p1/1pP5/1Pp1P3/1r3PB1/6PP/Q1R2RK1 w - -,f1d1
6R1/p4k2/4p3/5p2/3n2P1/8/r5B1/6K1 w - -,g8g5
r1bq1rk1/1p2bppp/p1n1p3/8/3P4/2P2N2/P1B2PPP/R1BQR1K1 b - -,d8c7
2rq1rk1/p2p3p/1p1Ppnp1/2b5/7R/3Q1N2/PB3PPP/5RK1 b - -,f6d5
8/6pp/4kp2/3p4/r2P2PP/P2R1P2/2r5/R4K2 b - -,e6d6
5rk1/pr3ppp/b1N1pb2/P1n4q/8/6P1/nP2PP1P/RQ1RBBK1 w - -,a1a2
2R5/p4k2/3B2r1/3r3p/4n3/1P1p3K/P4P1N/5R2 b - -,g6d6
5rk1/5p2/3p1R2/3Pn1p1/4P1b1/6PP/1R2N1BK/r7 b - -,g8g7
2rr2k1/4bppp/Rp1q1n2/3p4/1P1B4/5NP1/1Q2PP1P/3R2K1 b - -,d6b4
1k6/1p3Npp/p1p1n3/8/2P5/3r2KP/P5B1/4R3 w - -,g2f3
5r2/2pr4/1p2kpnb/pPp1p1pp/4P3/2PPBPRP/P2NKP2/3R4 b - -,f8d8
8/5kpp/pp1r4/2p1RPP1/7P/1PP5/P3K3/8 b - -,h7h6
rqb2rk1/4bppp/p3pn2/1pn5/4P3/2NB1N2/PP1BQPPP/2RR2K1 b - -,c8b7
5k1r/1p3p1p/p3bq2/2b3p1/Q4B2/2P2B2/P4PPP/3R2K1 w - g6,f4g3
6k1/2qr1ppp/8/p7/1pBp2Q1/1P1Nr1P1/P4R1P/6K1 w - -,f2f5
6k1/3B4/1p1p2p1/p2P4/P1P1n3/2r4p/7P/4R2K w - -,h1g1
r2q1rk1/1bpn1ppp/1p1pp3/p7/2PPnB2/1Qb1PN1P/PP2BPP1/3R1RK1 w - -,b2c3
4r1k1/B6p/8/4b2p/4b3/8/6PP/4R2K b - -,e4c6
4r1k1/4rpp1/q6p/R7/2NPn3/P1Q4P/5PP1/5RK1 b - -,e4c3
2R3k1/B5p1/p6p/1p2r2P/n7/P1P3K1/1P6/8 b - -,g8h7
2r5/p2p3p/1rp2kp1/R1Np1p2/1P6/P5P1/4BPKP/8 b - -,c8c7
7r/p2r1ppk/2p2n2/3n3p/2BB2P1/5P2/PP6/2KR3R w - -,g4g5
2r2rk1/1b2qpB1/1p2p1pp/pN1p1n2/2PPn3/PP3N1P/2Q1BPP1/R2R2K1 b - -,g8g7
r3kb1r/p4pp1/2p2n1p/1bq1P3/1p3p1N/1B6/PPP4P/1NKRQ1R1 b kq -,f6d5
8/8/8/p4kp1/Pp3r2/1P1K2R1/2P5/8 w - -,c2c3
1r4k1/p2r1pp1/1q2p3/3pP2p/1b1PbP1B/4N3/QP4PP/2RR2K1 w - -,a2a4
8/8/8/8/1kp5/6R1/2p4r/2K5 b - -,c4c3
2r1r1k1/ppqn1pp1/2p2n1p/P1P1p3/1P2P3/2Q2BPP/3N1P2/R3R1K1 w - -,d2c4
rn3rk1/p3nppp/1ppqp3/3p4/2PP1P2/1PN3P1/P2Q1PBP/R3K2R w KQ -,e1g1
r2q1r2/p4pk1/2p1pnp1/4Q2p/2pP3P/5PR1/PP3P2/2KR1B2 w - -,f1c4
r3rnk1/pp2bpp1/q1p1bn1p/3p4/3P1BP1/2N1PN1P/PPQ2PB1/R2R2K1 w - -,a2a4
r5k1/2pq1pp1/2p4p/2R5/P2N1P2/2pp3P/3B2P1/R5K1 w - -,d2c3
8/R6p/3p2p1/1k3p2/5P2/p2p4/6PP/2bK4 b - -,c1b2
8/1p6/p2p2pk/2p1n3/Pr5P/1R5K/1P4P1/3B4 w - -,b3b4
rr4k1/2q2pb1/np1p1np1/p2Pp2p/2P5/N3BP2/PP1QB1PP/R4RK1 w - -,a3b5
7k/1pp5/p4p2/4pPp1/2PpP1b1/3P4/1P1N4/4K3 w - -,d2b3
r1b1kb1r/ppp1q2p/2np1p1n/6N1/2BPPBpP/8/PPPQ2P1/RN2K2R w KQkq -,e1g1
2kr2r1/pbpqbpnp/1p1ppBp1/1N1PP3/2P3PP/3Q4/PP2NP2/2KR3R b - -,d6e5
rnbq1rk1/ppp1bppp/4pn2/6B1/3P4/P1N2B2/1PP2PPP/R2QK1NR b KQ -,b8d7
2kr3r/p2p1Npp/b1p1p3/2b1Pp2/qnP2P2/P5K1/1P2Q1PP/R1B2B1R b - -,b4c2
3rrbk1/1pp2pp1/p1q4p/2n1pP2/2P4N/1P4QP/P4PP1/2BRR1K1 b - -,e5e4
r3k2r/1b4pp/pq2pn2/1p6/3N4/Q1N1P3/P4PPP/R4RK1 b kq -,e8f7
3r2k1/1br2pbp/pp3np1/8/P1P1N3/1P3P2/1BR2P1P/4RBK1 b - -,f6h5
5rk1/pQ3pb1/5qpp/2R5/5pP1/5P1P/P4PK1/5B2 b - -,f6b6
r3r1k1/3b4/3q2p1/1p1pRpBp/3P3P/P7/1Q3PP1/R5K1 w - -,g5f4
5rk1/3b3p/1p3qp1/p1p1b1N1/P2n4/3P3P/1P1N2B1/2RQ2K1 w - -,g5e4
8/p2R2bk/1p5p/8/4N2p/5KP1/r4P2/8 w - -,g3h4
4r2k/7p/6p1/2p2p2/3nbP2/P5P1/1B3K1P/2R2B2 b - -,e8b8
5R2/2r3kp/p7/2p2R2/1n1p2PP/1P6/P1P5/7K w - -,h4h5
r3k2r/pppqn1pp/2np4/4pp2/2P1PP2/2PP2P1/P3N1KP/R1BQ3R w kq f6,e4f5
2r3k1/pq1rppbp/1p1p2p1/4n3/2PNN3/1P2P1P1/PBR1QP1P/5RK1 b - -,b7e4
rnbqk1nr/ppp2ppp/3p4/4p3/2PP4/2P1P3/P4PPP/R1BQKBNR b KQkq d3,g8e7
2R5/p2r2kp/1p1p2p1/1P1Qp3/5P2/7P/6PK/4q3 w - -,d5g8
r1b2rk1/ppp2ppp/1n6/P3q3/8/1N4P1/2Q1PPBP/R4RK1 b - -,b6d5
R7/8/3k4/2b5/8/7r/4K3/8 b - -,h3e3
2r1r1k1/1b1q2pp/1Q1Bn3/3p4/pp6/4P1P1/P5BP/2R2R1K w - -,b6b4
r3kb1r/ppp1pppp/2nq1nb1/8/3P2P1/2N2N1P/PPP2PB1/R1BQ1RK1 b kq -,e8c8
2rq1rk1/pp1b1pp1/4pn1p/4N3/2pP4/P1N1P1P1/1P3PP1/2RQ1RK1 w - -,c3a4
rq1r2k1/1b3p1p/p1p1nnpN/1p2b3/4P3/2N2B1P/PPQ2PP1/R1BR2K1 b - -,g8g7
1r6/1p4kp/1B6/2P2pp1/PP6/3K1B2/6PP/6b1 w - -,h2h3
R7/5r2/2k5/5K2/p3P3/1b6/8/8 w - -,f5e5
5rk1/6pp/Rp1b4/1PPPp3/1P2P3/3QPq2/7P/6K1 b - -,f3f2
1r6/4kpp1/p4n2/1q2pP1r/P1p4P/2P5/1P2Q2R/1NKR4 b - -,b5c5
r2qk2r/pb1pb1Bp/1p3np1/2p5/2Q1p3/2N3P1/PP3PBP/R4RK1 b kq -,d7d5
1r1r2k1/pp1qpp1p/3p2p1/8/2Pb2n1/1PN2QPb/P3PP1P/2RRB1KB b - -,e7e5
r1bqk2r/pp2bppp/2n1pn2/3p2B1/3P4/3B1N2/PPP2PPP/RN1Q1RK1 w kq -,b1c3
r3k2r/1p1nbpp1/2p1pn1p/q4b2/4p3/P2P1NP1/1BPN1PBP/R2Q1RK1 w kq -,d3e4
5k2/8/R5p1/6P1/8/8/p6K/r7 w - -,a6a7
2q1r1n1/1p1bppk1/p2p2p1/3PP3/2P3p1/2N1RN1P/P2Q1P2/R5K1 b - -,g4f3
5k2/2R4p/2Np1pp1/1b6/5n2/2P1B2P/6PK/5r2 b - -,f4d5
6k1/5pp1/3B3p/1q6/1b6/pBn1P2P/2Q2PP1/6K1 w - -,c2g6
r1bbk2r/pp1q1ppp/2nN1n2/8/3P1B2/5N2/5PPP/R2QKB1R b KQkq -,e8f8
q1r2bk1/r4pp1/3p3p/4p3/2P5/1Q3N1P/PR3PP1/1R4K1 b - -,a7a3
1rr3k1/5p1p/pq1p1p1b/3P1P2/2B1p3/1P6/P1Q2RPP/R5K1 w - -,g1h1
5rk1/5p1p/p3q1p1/2p5/1r1bP3/4B3/5PPP/2QRR1K1 w - -,e3d4
5rk1/p5pp/B3br2/2Pp4/4p3/P5RP/5PP1/1R4K1 w - -,b1b7
r1bqr1k1/pp3pBp/2p3p1/3n4/2N5/1P1BP2P/P1Q2PP1/R4RK1 b - -,g8g7
5rk1/pp4pp/1npn4/3p4/1R1P4/P1P2P2/4NKPP/2B5 w - -,c1f4
2b1r1k1/r4q1p/pp1Bp1p1/8/P5R1/7P/1P3QP1/5RK1 w - -,g4f4
2R5/6pk/3K3p/1r1N3P/4p1P1/p4n2/8/8 w - -,d5f6
r2q1rk1/1bp2pb1/3p1np1/p2P2Np/2BB3P/5P2/PP1Q2P1/2KR3R w - -,g2g4
r1bqnr1k/p5b1/2Qp4/4pppp/2P5/B1NP2P1/P2NPP1P/1RR3K1 b - -,c8d7
4k3/R6p/4Npb1/4P3/p7/4nBPP/r7/6K1 b - -,a2a1
1r1r3k/6p1/4p2p/p3Pp2/5Pq1/1PP5/5QP1/R4RK1 b - -,b8b3
r5k1/6b1/8/P1pPp1p1/2N1Pp1p/5P1P/6P1/1R4K1 b - -,g8f8
6k1/pb1nbppp/1p2pn2/8/3N4/1P2PN2/P4PPP/1BB3K1 b - -,g8f8
8/8/1b6/1P1p3B/4pk2/5p2/8/4K3 b - -,d5d4
