8/8/3Q2pk/3Ppq1p/pN2b3/P3K1P1/7P/8 b - -,f5f3
5rk1/p1rqpp1p/6p1/1pp5/2N1RPP1/1PbP1R1P/P1P3Q1/6K1 w - -,c4e3
r1b2rk1/qp1pnppp/p3p3/8/4P3/2QB1N2/PP3PPP/R4RK1 w - -,h2h4
r3k2r/ppqb1pp1/2p1pb1p/8/3PB2P/3Q1N2/PPP2PP1/1K1R3R w kq -,f3e5
r1bqk1nr/1p2bppp/p1np4/4p3/4P3/N1N5/PPP1BPPP/R1BQK2R b KQkq -,g8f6
4rbk1/1b2r3/p1p1pqpp/1pPn1p2/1P1P3P/1B1R1NP1/P2B1P2/3QR1K1 w - -,d1c1
8/8/7r/2B1kpK1/6p1/6P1/8/8 b - -,h6h3
5rk1/2p2qpp/3p4/RpPn4/1r1PN3/6p1/2Q1PPKP/1R6 b - -,g3f2
8/1p2k3/p1b2p2/8/5NP1/P5K1/1P6/8 w - -,f4h5
5rk1/p5r1/1p4Rp/3P2p1/4Q1P1/6q1/PP4Pb/4R2K w - -,g6g7
3R4/8/5p2/4k1pp/2Kp3P/5Br1/6P1/8 w - -,d8d4
2r3k1/1prnppbp/p2p2p1/P2P1q2/2P5/R6P/1P1Q1PP1/2B1RBK1 b - -,d7e5
3r3r/2p1b2p/2k1p1p1/pp2P3/1Pp2PP1/P1P1B3/6KP/3R1R2 b - -,a5b4
r3k2r/pbqnbp1p/1pp1pp2/8/3PN3/3B1N2/PPP1QPPP/1K1R3R b kq -,e8c8
r2q3k/1p1n2rp/p1p1p3/2Pp1p2/PP1P1Rb1/3BP2P/5QP1/R5NK b - -,g4h5
3nr3/1p3p1p/3k1R2/3N4/2P5/P5PP/1K6/8 b - -,d6c5
rR6/p1B2k2/4pp2/3p2pp/2bP4/P3PK2/5PPP/8 b - -,a8b8
r2r2k1/1pq1p1bp/p1p2pp1/2PP2n1/PP1P4/2B2PP1/1Q4BP/2R2RK1 b - -,c6d5
4r3/6k1/5pp1/3N3p/5P1P/4N1P1/4K3/8 w - -,f4f5
8/3k4/2n2Bp1/2Rp1p1p/Pp1P3P/r5P1/P4P2/5K2 b - -,d7d6
4rrk1/4Bpbp/1npp2p1/p7/P3PP2/1qNQ4/1P1R2PP/5R1K b - -,b6c4
4q1k1/3R1p1p/p7/1p4p1/6P1/P4B2/1P3P1P/6K1 w - -,d7a7
5R2/1pp4k/p1r4p/P5p1/3NP1P1/3n3P/6K1/8 b - -,c6c4
1k1r4/p1p3pp/p1P2p2/2R3B1/1P4n1/P2r4/5PPb/1N3R1K w - -,f2f3
2r1k2r/1b3ppp/p1n1p3/1p2q1B1/8/P2B4/1P3PPP/RQ1R2K1 w k -,g5h4
2n5/2k5/2b1qp2/2Q3pp/1PP5/1K1B1P2/6PP/8 b - -,e6e1
r1bqk1r1/p2n1p1p/1p2pn2/2p5/3Pp3/P1P1Q3/2P1NPPP/R1B1KB1R w KQq -,e2g3
5k2/5p2/p1bb1p1p/3p1P1B/1pnP3B/5P2/P5RP/7K w - -,h4f6
8/3k4/4p2p/1P1b1p2/P7/3PB3/2K4P/8 b - -,h6h5
rn2kbnr/1p1qp1pp/p2p4/6N1/4P3/B4Q2/2PP1PPP/RN2K2R b KQ -,g8f6
6k1/1B3pp1/1p6/4nb2/1P1r3p/P2p2P1/3NnP1P/3R1R1K b - -,e5c4
2q1r1k1/r2n1pp1/2pBp1bp/p1PpP3/Q7/2R1P1P1/P4PBP/R5K1 w - -,a1c1
2r5/4bpkp/1q2p1p1/p3P1P1/2pR1P2/2P5/P1Q3BP/7K b - -,c8b8
rN1nr1k1/2R3p1/1R2p2p/p1PpPp2/P7/2P2P2/6PP/6K1 b - -,d8f7
8/8/p1r1p3/2P2rp1/KP2k1N1/3R3P/8/8 w - -,d3c3
3r1k2/1R6/pN3p2/1b1Pp1pp/4P1P1/2K4P/8/8 b - -,h5h4
4K3/8/3p4/5R2/P1Pk4/1p6/8/8 w - -,a4a5
r3k2r/pp2n1p1/1np5/5pp1/2PP4/PP3BNP/5P2/R4RK1 w kq -,f1e1
rn1q1rk1/pp3pbp/3pbnp1/2p1P3/2P5/2N3P1/PP3PBP/R1BQK1NR b KQ -,f8e8
1r1qr1k1/p2pppbp/1p2n1p1/n2BP1B1/P6Q/5N2/1PP2PPP/R3R1K1 b - -,e6g5
1R3B2/2r2k1p/6p1/1p2pp2/p1b1P3/P1bN1P1P/2P1K1P1/8 w - -,e2e3
1rbqk2r/pp1pppbp/2n2np1/8/3NP3/2N1B3/PPP1BPPP/R2Q1RK1 b k -,e8g8
r3k2r/pR3ppp/2n1bp2/3p4/3P4/q1b3P1/P1P1NPBP/3Q1RK1 w kq -,b7b3
8/1k6/8/3P4/4K3/R3P2P/p4r2/8 b - -,b7b6
r3r1k1/2qnbppp/b1n1p3/p1ppP3/1p1P4/PPP1BNNP/2B2PP1/R2QR1K1 w - -,a3b4
3r2k1/p7/bpn1pbpp/2p1p3/N7/5NP1/PPP2PBP/3R2K1 w - -,d1d8
8/1p6/p4p2/4k1pp/7P/1PP1K1P1/1P3N2/5b2 b - -,f6f5
8/5p2/8/2pk2P1/3b1KP1/N1p5/8/8 b - -,d4g7
r3R3/3q1pk1/pQ3b1p/1p4pP/2p5/3b4/P2R1PP1/6K1 w - -,e8a8
8/pbp4R/1k1p4/2p5/2P1PR2/1P6/P3r3/K7 w - -,h7e7
6r1/4Rp1k/4b3/8/4P1P1/2p2P2/1rP3RK/8 b - -,g8d8
1n1qr1k1/rb3p1p/p1p1p1p1/1p2P1P1/P2PN3/2PQ1B2/5PP1/R4RK1 b - -,g8g7
2r2r1k/6p1/1p5p/p1q1p3/3bB3/1Q4PP/P3RP2/5RK1 w - -,e2c2
3q2k1/p1r2pp1/2P4p/2Rr4/8/6P1/P3QPP1/2R3K1 b - -,d5d2
6k1/pp3pp1/1n4bp/8/3r4/6BP/PP2BPP1/4R1K1 w - -,e2f3
r2q1rk1/ppp2pbp/3p1np1/2nPp3/2P1P1b1/2N2N1P/PP2BPP1/R1BQR1K1 b - -,g4c8
8/8/5p2/1r3k2/R7/5K2/8/8 b - -,b5b3
2k3r1/1pq2p1r/p3p3/3pP3/b2Nn2p/2PRQB2/PP2K2B/4R3 b - -,h7g7
6rk/4PQbp/3B2p1/8/r3K3/7P/8/8 w - -,e4d5
8/2n1k3/p2p4/P1NPbp2/8/4Rp2/5P2/5K2 w - -,c5b3
2q5/pp6/8/1P4p1/P2R1p1k/6R1/5P1K/8 b - -,c8f5
1B6/1b1k4/8/6p1/3P2P1/4p3/8/5K2 b - -,b7f3
1k4r1/1b6/p1n4p/1p1p4/5n2/2NB1N2/PPP3P1/1K2R3 w - -,f3h4
8/8/P3k3/7R/8/r3BK1p/8/8 b - -,e6d7
1k1r3r/1ppbn1p1/1p5p/3pP3/1P1N1P2/2N3P1/P4K1P/2RR4 w - -,c3b5
3q1rk1/p1p2ppp/1rQ5/3pP3/3P4/1P3P2/P2K1P1P/R6R w - -,c6c3
8/2p3k1/1p2p3/4P1p1/P1r5/P7/3R3K/8 w - -,d2d8
1rr3k1/p4pbp/P3p1p1/n3P3/2NN2P1/2PB3P/3B1P2/4R1K1 b - -,a5c4
5rk1/p1rqpp1p/1p4p1/2p5/2N1RPP1/1PbP1R1P/P1P3Q1/6K1 b - -,b6b5
8/8/4k3/1p6/2NP4/3K1B2/8/r7 w - -,c4d2
6rk/1p2qp1p/p4n2/3pp3/3n4/5P1B/PPPQ3P/2KR2R1 w - -,d2e3
rnbq1rk1/pp2ppbp/2pp1np1/8/2BPP3/2N2N2/PPP1QPPP/R1B1K2R w KQ -,a2a3
r2q1rk1/1p1nbpp1/5np1/p2p4/P2Pp3/1PN1P1P1/3B1PBP/2RQ1RK1 b - -,d7b8
8/1p5R/3k4/p7/Pr6/2K5/8/8 b - -,b7b6
r2q1rk1/pbpn1ppp/1p1pp3/8/1PPPnB2/P2BPN2/5PPP/R2Q1RK1 b - b3,d8e7
rn1q1rk1/1pb2ppp/p1p1pn2/2Pp4/PP1P4/3QPN2/N4PPP/R1B2RK1 b - b3,b8d7
1r2r1k1/3bqp1p/1Qp3pb/3p3n/3BP3/2N3P1/PP3PBP/R3R1K1 w - -,b6a6
8/8/8/1r2k1p1/5pP1/8/R4K2/8 w - -,a2e2
3rr1k1/p2qppbp/1p1pbnp1/3P4/P1P5/1PN3P1/1B3PBP/R2QR1K1 b - -,e6h3
1nkrr3/1b6/1p1b1p1q/pP1p1P1p/P1NP2pP/2PQ2P1/2B2B2/1K1R3R b - -,d5c4
4r3/8/pkp2p2/6p1/P1Rnq1Q1/1P6/2P5/3R1K2 w - -,g4e4
r1bqk2r/pp2npbp/2npp1p1/2p5/4PBP1/2NP3P/PPP1NPB1/R2QK2R b KQkq -,e8g8
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/P3P3/1B1P1N2/1PP2PPP/RNBQR1K1 b - a3,b5b4:c8d7
r2q1rk1/pp2npb1/2n1b1pp/3pp3/PP2P3/2NP1NP1/5PBP/1RBQ1RK1 b - a3,d5d4
4k2r/1R6/2n3pQ/4qpN1/1nB5/4P3/5P1P/6K1 w - -,c4f7
2r3k1/3q2b1/3p1r2/1ppPpp2/p1P4R/P3B3/1P3PQ1/2K4R b - -,g8f8
8/5p1k/2R4P/r7/5N2/1b3PK1/6P1/8 w - -,c6f6
5k2/1p3p2/3n2p1/3P1p2/8/pPK5/r7/2R4B w - -,c3b4
6r1/1p2k3/p1p1p3/2PpNp1b/PP1P1R1p/4P1rP/1R4PK/8 b - -,g3e3
3r3r/2kP1P2/1q5p/5Pp1/3R4/2P5/1pQ4P/1R4K1 w - -,b1b2
1k3rr1/pppq3p/2nN1p2/3p4/3P4/4B1P1/PPQ2P1P/2RR2K1 b - -,d7d6
4k3/5p2/3P4/4PB1p/1p3P2/2r1r3/P2R2KP/8 b - -,h5h4
7k/R6p/8/P5PP/6K1/6P1/5r2/8 w - -,h5h6
r2qk2r/pp1npp1p/1np1b1pb/8/3P4/2N1NQB1/PPP2PPP/2KR1B1R w kq -,c1b1
2rr2k1/p3qpbp/6p1/Pp1pN3/1p1P1P2/1P1QP2P/6P1/2R1R1K1 b - -,e7e8
4B3/8/7k/pp5P/P1P1p3/2n1K3/8/8 w - -,a4b5
r3k2r/2qbnpp1/pb2p2p/n2pP2P/6P1/N1PB1N2/P2BQP2/R3K2R b KQkq -,b6c5
r3rbk1/1bqn1ppp/p2p4/np1Pp3/P1p1P3/2P1BNNP/1PB2PP1/R2QR1K1 b - -,d7c5
rnbq1rk1/1p2ppb1/p2p1npp/2pP4/P1P4B/2N1PN2/1P3PPP/R2QKB1R b KQ -,c8f5
5rk1/pp1rqpb1/1np1pn1p/6p1/3PP3/1BNR1QBP/PP3PP1/R5K1 w - -,a1d1
2rrbbk1/2q2ppp/3ppnn1/1p6/4PP2/2N1N1B1/PP1QB1PP/2RR3K b - -,c7b7
r1bq1rk1/p3b1pp/2ppp3/2p1B3/8/1P1P4/P1PN1PPP/R2Q1RK1 w - -,e5b2
r1b2q1k/pp2rppn/2p1p2p/b1PpP3/5PPQ/1P1BP2R/PB5P/R4NK1 b - -,g7g6
r2r2k1/pp2pp1p/1bp2np1/8/4P3/1PPQ1BP1/1P3P1P/R1B2RK1 b - -,d8d3
r3r1k1/5ppp/qp3n2/p2p4/4P3/Pn1QN1P1/1B2P1BP/2R1R1K1 b - -,b3c1
5k2/5pp1/7p/8/1p6/1PrR4/3K1PPP/8 b - -,c3c6
Q2q2k1/p4pbp/1p2n1p1/2p1B1P1/P6P/1P6/4N3/2K5 w - -,a8e4
8/6k1/p1N3p1/1p1p2bp/4r3/3R3P/7K/8 b - -,e4e2
2rq2k1/pb2rpp1/1p1b1n1p/1Bnp4/8/P1N1PN1P/1PQ2PP1/R2RB1K1 b - -,a7a6
6k1/1Qp2qp1/p2p4/8/5rP1/5P2/PP2r1P1/3R1R1K w - -,b7c7
8/1p1k1p2/p1r4p/3pqP2/7Q/P1RK4/1P5P/8 w - -,h4h5
r2q1rk1/1p1nppb1/p1np2pp/3N1b2/2P2B2/1P3NP1/P3PPBP/2RQ1RK1 w - -,f3h4
r3r1k1/1pp1qp2/2np2pp/p7/2P1PP2/1PQ5/P5PP/3RRNK1 b - -,e7f8
r1r5/1p1qbnkp/p4pp1/3P4/8/1Q3N2/PB3PPP/R3R1K1 b - -,e7d6
2r1kbnr/pp1b1ppp/1qn1p3/2ppP3/3P2P1/2P1BN1P/PP3P2/RNQ1KB1R w KQk -,c1d2
8/5pk1/3p2pp/P2q4/2p4P/P5P1/5P2/1Q4K1 w - -,b1b2
r1bq1rk1/p1pnbppp/1p2pn2/3p4/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 b - -,c8b7
r2qk2r/1bpn1pbp/p5p1/1p2p3/4PBn1/3B1NN1/PPPQ1PPP/R3K2R w KQkq -,f4g5
r4rk1/1p1npp2/1p2b1pp/3p4/5P1N/6B1/Pb1NB1PP/1R3R1K b - -,a8a2
8/1kb5/p1p3qp/1pP5/1P6/2Q2P2/3B2KP/8 w - -,g2h1
3r1rk1/1b2b1p1/1p2p1qp/1PpnP3/P2p1P1P/5QP1/3N1BBK/R1R5 w - -,h4h5
b7/P7/1k6/1N6/2P3N1/3K2P1/8/6b1 w - -,g4e3
3r2k1/p5pp/R3p3/4p3/4P3/bP3P2/r3N1PP/1R3K2 b - -,d8d2
1r1q1rk1/2p1n1p1/p1n1p1bp/1p2Pp2/1b1P4/2N3PN/PP2QPBP/R1BR2K1 w - -,d4d5
8/2p5/bp1pN3/p2Pk3/8/P4K2/4P3/8 b - -,c7c6
5rk1/ppp4p/n4qb1/1P1P2p1/2P1ppB1/PN5P/3Q1PP1/4R1K1 b - -,a6b8
r2q1rk1/pp3ppp/1nn1p3/2p1Pb2/2PP4/P1P1BN2/4B1PP/R2Q1RK1 b - -,c6a5
8/5p2/6p1/N1nk3p/7P/4K1P1/8/8 b - -,f7f6
r1bq1rk1/pp1nbpp1/2pp1n1p/4p3/2BPP3/5N2/PPP2PPP/R1BQRNK1 w - -,f1g3
3rr1k1/pp1b1pp1/q1n2b1p/3Q4/3Nn3/P3BNPP/1P2PPB1/2R1R1K1 w - -,d5b3
1r1r2k1/2q1bppp/p1b1p3/1p1pP3/4nP2/P1NB3Q/1PPB2PP/4RR1K w - -,f4f5
8/2k2p2/p1p4p/1r1br1p1/2p5/2P2PN1/PP2R1PP/2KR4 b - -,d5e6
4r3/8/1p1P3k/pNp2p2/5q2/2P3pP/6P1/5QK1 b - -,f4e3
2r3k1/5p2/p1nrb1p1/1pP1p2p/4N2P/P3BP2/4BNP1/6K1 w - -,c5d6
r1b2rk1/p2ppp1p/1qp3p1/8/4P1n1/2Q3B1/PPP3PP/1R1K1B1R w - -,d1d2
8/2n4R/pk2p3/1rq5/6P1/6QK/7P/8 w - -,h7h5
r1bq1rk1/p3npbp/1pn1p1p1/2pp4/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 b - -,c8b7:a7a5
8/p4k2/1p3b2/3p1np1/P2P1p1p/1PB1rP1P/3KN1P1/1R6 b - -,e3e8
1r4k1/4b1pp/p1q1p3/3p1p2/N1pPnP2/Pr2P2P/1PQ3P1/2RRB1K1 w - -,a4c3
8/5k2/7K/p4bP1/N7/8/8/8 w - -,a4c3
3q2k1/1br2pp1/1p3b1p/3p4/3P2N1/5B2/P2Q1PPP/4R1K1 w - -,g4f6
3r1rk1/6p1/p1p1p1np/P1q1Pp2/1p1p1P2/1P1Q1NP1/2P2R1P/R5K1 b - -,c5c3
r6r/p2kb1p1/q3p1Qp/3pPR2/3P4/8/P5PP/1R4K1 b - -,a8b8
4r1k1/3nrp2/pp1q1npb/2pPpP1p/P7/2N3PP/1PQ2BB1/3RR1K1 b - -,e5e4
r1bqr1k1/pp1nbppp/2p2n2/3p2B1/3P4/P1NBPN2/1PQ2PPP/R3K2R b KQ -,d7f8
rnbqk2r/pp2bppp/5n2/2Pp4/8/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,e8g8
r1r3k1/2qbbppp/3p1n2/pp1Pp3/Pn2P3/1B2RN1P/1P1N1PP1/R1BQ2K1 w - -,a4b5
5q1k/6p1/1rrp3p/p1pRP3/1pQ5/PPP3p1/6KP/3R4 w - -,h2g3
2rr2k1/1q2bpp1/p2p1n1p/1pn1pP2/4P1P1/P1N2Q2/1PPN3P/R2R2BK w - -,b2b4
1rb2rk1/4qp1p/3p3b/1p1Pn2N/2p1P1Pp/7P/1PQN4/R1B2R1K w - -,d2c4
2B3k1/p1b2ppp/1pp5/8/3P1n2/P6P/1P3PP1/4B1K1 w - -,g1f1
8/2kr1p1p/5p2/8/2P2R2/2K2P1P/6P1/8 b - -,c7c6
r2qk2r/pbppnpbp/1p6/3N1p2/2P3p1/1P1BP3/P2PNPPP/2RQK2R b Kkq -,e7d5
3rqrk1/pp1b2pp/1b2p3/4P3/1PB2p2/P2Q4/1B3PPP/R4RK1 w - -,d3h3
4r3/1p3pk1/p1pR2p1/P1P1Pb1p/2B2P1P/4K1P1/8/8 w - -,e3f2
8/p7/1p4pp/1Pk4P/P1p3P1/2K1p3/8/8 b - -,g6h5
3r4/pp2k2p/2n1p2b/2p3P1/5n1P/2PP4/PPB2P2/R3K2R b KQ -,h6g7
3k3r/pp6/2n1p1pb/3pP3/3P2P1/2N5/PP4P1/R4RK1 w - -,g2g3
r2qkb1r/1b1n1ppp/p3pn2/1p1p2B1/3P4/2NBPN2/PP3PPP/R2Q1RK1 w kq -,a1c1
3r2k1/8/5q1p/PQ4p1/3bB3/1P3P2/6Pp/3R3K b - -,f6g7
3r2k1/1p3p1p/pPb3p1/2p5/4n1P1/1BP1B2P/1P3P2/3R2K1 b - -,d8d1
2b5/4Q2p/4p2k/4Pr1q/3P1p2/4p3/5PP1/R5K1 b - -,f5f7
r2qk2r/ppp2ppp/2n1pn2/1b6/1bpP4/5NP1/PPQNPPBP/R1B2RK1 w kq -,d2c4
r3k2r/pppq1pp1/2np1n1p/2bNp3/2P1P3/P2P1NP1/1P3PbP/R1BQ1RK1 w kq -,d5f6
2r5/pp4p1/b2p4/3P4/4P2k/2B1R1n1/PP3r2/4K1R1 b - -,f2f1
1r2kb1r/p2q1p2/n3pp2/1p1p4/2P4p/PQ1RBN1P/1P3PP1/2K4R w k -,c4d5
2q2rk1/1pp2p2/p4Pp1/3PQ2p/P7/1P4Pb/2B2R1K/8 b - -,h3g4
5r1k/6b1/6p1/3P3p/p2p4/P6P/NP2r1qN/K1Q4R w - -,a2b4
2rb4/1p4k1/3p4/PPBPp3/4Pp1p/1B3PpP/4N1P1/7K b - -,c8c5
r3rq2/p5pk/1p1P3p/2p2p2/2P1P3/R3BnP1/PPQ4P/3R2K1 w - -,g1g2
r4rk1/pbqnbppp/1ppp1n2/4p1B1/P2PP3/1BN2N2/1PP1QPPP/3R1RK1 b - -,a7a6
2br2k1/1p2npbp/1q4p1/4B3/8/1P2N1P1/4PPBP/Q4RK1 b - -,g7e5
r1b1k2r/1p1pbppp/pqn5/2pQ4/5B2/4PN2/PPP2PPP/1R2KB1R w Kkq -,f1c4
r1bq1rk1/p1p1bppp/1pn1pn2/8/3PP3/2N2N2/PP3PPP/RBBQ1RK1 w - -,a2a3
3qrbk1/5p1p/3p1np1/p1nP4/Pr2PB2/1pN2P2/1P1NQ1PP/R4RK1 b - -,f8g7
4k3/6p1/4p2p/3pP2P/1R4P1/2P2K2/1Pr5/8 w - -,f3e3
3r2k1/p2r1pp1/1pb2Q2/3B3p/PPP2P2/4R1P1/4P2P/6K1 b - -,g7f6
5rk1/5p1p/3Pr1p1/1R2b3/8/6P1/P1PRN1KP/8 w - -,b5d5
8/n1n2pk1/1p2p1p1/pP1pP3/K2P1PP1/1P1B4/2N5/8 b - -,a7c8
8/3q2k1/Qn4p1/2b2p1p/1p1p1P2/3P1BPP/2P2BK1/8 b - -,g7f8
b2q2kr/5p2/3p3B/1pnPp2Q/2p1P3/2P4P/1PB2PP1/R5K1 w - -,h5g4
5rk1/p1q2ppp/b3p3/2pp4/1Q1P4/P3PN2/4RPPP/6K1 w - -,e2c2
4k3/N4ppp/4p3/1Pn5/3K4/5PP1/7P/8 b - -,c5b7
r1b2rk1/ppq2ppp/2n1pn2/8/2BP4/2N2N2/PP1Q1PPP/R2R2K1 w - -,a1c1
2r1r1k1/1p1q1pp1/2p3bp/1P1pn3/3B4/1QRPP1P1/5PBP/2R3K1 b - -,g6h5
2b1r1r1/pk3n2/1pq1p2p/3p2pP/2pP2P1/P1P1QPB1/2P2R1K/3BR3 b - -,c6d7
3K4/2R5/1k6/4pb2/1r6/8/3R4/8 b - -,b4d4
8/r3kpp1/1R2p3/p6p/Np1n4/4N1P1/5PKP/2r2B2 b - -,d4c2
rn2kb1r/ppp1pppp/3q1n2/7b/3P4/2NB1P2/PPP1N1PP/R1BQK2R b KQkq -,a7a6
6k1/p2r2pp/1pq1p3/4Pp2/1P2pP2/P1PnQ1PP/4N3/R5K1 b - -,c6c4
rn1qkb1r/pp3ppp/2p1pnb1/4N3/2BP2P1/2N1P2P/PP3P2/R1BQK2R b KQkq -,b8d7
1r2q2k/1p4bp/2p1r1p1/p1P1p3/8/PQ2P2P/5PPB/1R1R2K1 w - -,b3b6
r2q1rk1/5ppp/2n5/p2p4/1ppPbB2/P3P3/1P2BPPP/R2QR1K1 w - -,a3b4
