8/5bk1/6p1/2P5/8/1P1n4/P5Bp/1K2R3 w - -,e1h1
5k2/5pp1/p3pb2/1p5p/1P3P1P/P2R1KP1/r7/3N4 b - -,f8e7
5r1k/p3r1pp/8/4q3/2BR1n2/2P5/P2Q2PP/3R2K1 b - -,h7h6
1r4k1/4ppbp/2r3p1/p2pP1P1/3B1n1P/2P2N2/PP1R4/2K1R3 w - -,d4e3
8/8/3b1p1p/3b1Pp1/3k2P1/1p5P/1P1K4/4NB2 b - -,d6b4
5k2/5p2/6p1/R5p1/8/6PP/P4PK1/r7 b - -,f8g7
4k3/pp2p3/3p2p1/4p1P1/2rNP1R1/2P5/PP5r/2KR4 b - -,e5d4
rr4k1/1p1bqppp/2n5/2p1p3/n7/P2PPN2/2QBBPPP/1RR3K1 b - -,g8h8
3rk3/p4qB1/5Q2/1p3b2/8/2P5/PP2B2P/2K5 w - -,e2b5
6k1/3n1pp1/4p3/6p1/3PB1P1/1rp1P2P/5P2/2R2K2 w - -,e4c2
8/R7/p1r1rkp1/1p6/6PP/5K2/3p4/R7 w - -,a1d1
8/8/7p/3k2pP/r4PP1/4RK2/8/8 w - -,f4g5
r4rk1/pppqn1pp/2nb1p2/3p4/3P3N/2PQ2N1/PP3PPP/R1B1R1K1 b - -,f8e8
1r2b1k1/5p2/p3pR2/3p2p1/1n4P1/1Pr1P2P/PN1R2B1/6K1 w - -,b2d1
8/5pk1/3p1ppp/3Pq3/6P1/2Q4P/P1R1rPK1/8 w - -,c3e5
2rq1rk1/p5pp/bp6/2b2p2/3P4/PP4P1/1B3KBP/2RQR3 b - -,c5d6
r1b1k2r/ppp2ppp/2nq1n2/8/3P1N2/3B4/PP3PPP/RN1QR1K1 b kq -,c6e7
8/5kpp/5n2/p2p1P2/1p1Np3/1P2P2P/P2P2K1/B1n5 w - -,d4c6
3r2k1/p1qr1pp1/1np3p1/2R5/P3PP2/1P2Q3/5NPP/R5K1 b - -,b6c8
5q1k/p1r1rnbp/2B2p2/2Q3p1/4P3/2N1B2P/1P2RPP1/R5K1 b - -,f7e5
r1bqkb1r/ppp1pppp/1nnP4/8/2PP4/5N2/PP3PPP/RNBQKB1R b KQkq -,c7d6:e7d6
r4rk1/p1p1q1pp/4pp2/2Pp4/Q2Pb3/P7/1P3PPP/R1B2RK1 w - -,c1f4
r4rk1/pppq1ppp/4p3/6Qb/2PPp3/PP4P1/1B2PP1P/R3K2R b KQ -,h5g6
r1bq1rk1/pp2ppbp/2n3p1/3p4/3P4/1Qn2NP1/PP2PPBP/R1BR2K1 w - -,b2c3
8/8/8/P4R2/8/r7/7p/5K1k b - -,a3a2
r4rk1/pbq3bp/1p1pppp1/1Pn2P2/1NP1P3/4BB2/P1Q3PP/3R1RK1 b - -,f8e8
r1b2rk1/pp3pp1/4p2p/2nB4/7q/2Pp1N2/PP3PPP/R1BR2K1 w - -,f3h4
2k5/4b2p/1p2p1rP/p2nP1P1/Pn1P1pPB/1B3N2/4K3/2R5 b - -,c8b7
5rq1/pb2p1k1/1p2r1p1/2pp4/6QR/2PBP3/PP1K1PP1/7R b - -,g7f7
1q1b1r2/5pk1/Rp1p1np1/3Pp3/1PP1Nn2/4Q3/1B3PBP/6K1 b - -,b8c8
1r3rk1/pp2ppqp/3p4/3PbQp1/4R3/2P3P1/PPB2PP1/R5K1 b - -,g7g6
r1br2k1/1pq1bppp/p1n1pn2/6B1/3P4/PQN2N2/1P2BPPP/2RR2K1 b - -,f6g4
2r1q2k/6p1/1n1npr1p/pb1pN3/1p1P2QP/3B2P1/PP1N1P2/2R1R1K1 b - -,b5d3
4r1k1/p4ppp/1pN3q1/3P4/2P1n3/2B1P1Pb/P6P/RQ4K1 w - -,c3d4
5rrk/bpp1n1qn/p2p3p/8/4PR1N/1NP3BP/PP4QK/R7 b - -,f8f4
7k/6rp/3p2p1/2p5/1p2P1b1/1PqPQBP1/2P4R/r2K1R2 w - -,d1e2
8/3B4/5k1p/2p2p1P/5P2/1PbK2P1/8/8 b - -,c3e1
3r2k1/pp2q1p1/2n4p/1QP2p2/4p3/4P1P1/P4PKP/5B2 b - -,g8h8
3r2k1/6b1/2pnqpP1/ppB1P3/6bQ/1PN5/1PB5/2K4R b - -,f6e5
8/pk2R1pp/1p6/8/P4K2/6P1/1r5P/8 b - -,b7a6
6k1/1p3p2/pR4p1/3r3p/P6P/1P4P1/7K/8 b - -,d5d7
4r1k1/8/6P1/1b1p3p/3P4/1p4P1/1P1Q1P2/qB2R1K1 w - -,b1e4
2rr2k1/pb1q1pnp/1p2p1p1/2PpP3/3P4/BP6/P3B1PP/R2Q1RK1 b - -,g7f5
r1b2r2/p1q1pp1k/1p4pp/2p4n/4N3/3R2B1/P1P2PPP/1RQ3K1 b - -,c7c6
r1b2rk1/pp4pp/8/3pB3/1b5q/5PN1/PP5P/R2QKB1R w - -,e1f2
7R/8/2pb2k1/1bNp1p2/1P1P2P1/2P5/4rBK1/8 b - -,f5g4
8/8/8/6R1/6pP/4p1r1/8/5K1k b - -,h1h2
r1bq1rk1/pp2ppbp/n1p2np1/3P4/Q7/3P1NP1/PP2PPBP/RNB2RK1 b - -,f6d5
3q1r2/1R3nk1/Qpp3p1/4p3/5p2/2NPP1P1/5P2/6K1 w - -,c3e4
r3k2r/pp2ppb1/n2nb1p1/3N2P1/8/3P4/PPqQN1BP/R1B1K2R b KQkq -,c2d2
8/5p1K/pp3kp1/P1p5/1r1r4/3P4/8/7R b - -,d4d8
8/5np1/2k4p/2p1B2P/2K2PP1/8/8/8 b - -,f7d6
5nk1/1N2p3/5qp1/2PPpb1p/8/6PP/1Q4BK/8 b - -,h5h4
8/1B6/8/4p1k1/3n3p/5P1K/8/8 b - -,g5h5:d4e6
r1b1qrk1/ppp3pp/2nppn2/5p2/2P5/B1PPP1P1/P3NPBP/R2QK2R w KQ -,c4c5
2B5/1P3pp1/7p/k7/5P2/6P1/2K4P/4r3 b - -,e1e2
r1b2rk1/ppq1p1b1/4p1pp/3n4/2N2Pn1/1BP2N2/PP2Q1PP/R1B2RK1 w - -,f3e5
r1br2k1/pp2npbp/2n3p1/2p1p1N1/2P5/1P2P1P1/P3NPBP/R1B2RK1 w - -,c1a3
r1bqk2r/pppp1pp1/2n1pn1p/8/1bP3P1/2N2N2/PP1PPP1P/R1BQKBR1 w Qkq -,h2h4
5rk1/4q1pp/1p1n4/p2Pp3/2P5/2R3Pb/1PB3NP/4Q1K1 b - -,h3g2
6k1/5pp1/2R5/3Pp2p/4P2P/6r1/7r/3R1K2 w - -,c6c8
r2k3r/pb2pp1p/1n1p1np1/3P4/2B5/2N2P2/PPP3PP/2KR2NR w - -,c4b3
8/2pr3p/4k2R/p2rP3/P2p4/1P1R1K1P/8/8 b - -,e6e5
8/4bk2/1n2n3/1Pp2pp1/2P5/BN1NK2P/8/8 b - -,f7g6
1r2k2r/p1pq2b1/6p1/1P3p1p/2Pp4/Q5P1/P2NPP1P/R4RK1 w k h6,d2f3
5bk1/pp2r1pp/2q5/3p4/3Q1P2/1P2PK2/PB6/6R1 w - -,g1g5
rn1qkbnr/p1p1ppp1/1p5p/3p1b2/3P4/1QP2N2/PP2PPPP/RNB1KB1R w KQkq -,f3e5
8/1p3r1k/5qp1/pP1p3p/2r1p1bP/PQ2R1P1/3R1PBK/8 b - -,g4e6
1r3r1k/p6p/8/4P1qn/1p3p2/1Q1b4/PP1R2BP/5RK1 w - -,d2d3
8/8/8/1R5p/5ppk/2PK4/7P/8 w - -,d3e2
r1bq1rk1/1p2ppbp/p2p1np1/2pPn1B1/P1P1P3/2N2P1N/1P4PP/R2QKB1R w KQ -,h3f2
r7/8/1kn3R1/4B3/p6P/6P1/8/6K1 b - h3,a4a3
r1bqkbnr/pp3ppp/2pp4/8/B3P3/2p5/PP1P1PPP/RNBQ1RK1 w kq -,b1c3
5k2/pp3p1p/2p5/8/2Pb4/P2r4/1P1NR1PP/4K3 w - -,e1d1
8/5p2/6pp/4k1n1/2r1p1P1/6P1/P3R1K1/3N4 b - -,g5e6
r3k2r/pp2ppbp/2p3p1/5n2/2PP4/4BN2/PP2KPPP/3R3R b kq -,a8d8
8/kpp1R3/p4P2/6P1/q7/2P2N1K/8/8 w - -,f6f7
r6k/p5b1/1p5r/3PpBq1/4PpQ1/8/PP3NPP/5RK1 b - -,g5e7
8/8/1p2p3/1P1pp1n1/4P1k1/2P1K1p1/8/7Q w - -,e4d5
r1b1k2r/pp3ppp/5n2/q2p1BB1/2pPn3/2P1PN2/P1Q2PPP/R4RK1 w kq -,f5c8
2kr3r/pp2b1n1/q3bp2/1N4p1/P1pP3p/2P5/BR1BQPPP/4R1K1 w - -,a2c4
r2r2k1/ppp1np1p/5qp1/3p3n/N2P4/P3PP2/1PQ1BP1P/R5RK b - -,c7c6
8/8/3pB3/4b1k1/6pp/4P3/6K1/8 b - -,h4h3
r2r2k1/5pb1/1pp3pp/4p3/1PbnP3/P1N1BP1P/5KP1/R2RN3 w - -,a3a4
r2q1rk1/1b2bppp/p2p2n1/1ppP4/P3PP2/7P/1PBN2P1/R1BQR1K1 w - -,d2f3
6k1/1p3p1p/p5p1/2P5/PP6/6P1/2rpKPBP/3n4 w - -,e2d1
2k1r3/1p5p/p1n3p1/2pB1p2/2P2Q2/2P4P/P1q1rPP1/R2R2K1 b - -,e8e5
4q3/1p1N1rkp/p1nRp1p1/4p3/2P1P3/1P3P1P/PQ4K1/8 w - -,d7e5
2rq1rk1/pb2bppp/2n5/2p5/N7/1P2PN2/PB3RPP/2RQ2K1 b - -,c6b4
8/2p3p1/pp1n1p2/3P4/3K1Bk1/3P4/P4PP1/8 w - -,f4h2
2r5/4k2p/pp2p3/4n1p1/2PNRbP1/7P/P5B1/6K1 w - -,g2f1
r4rk1/ppp3pp/4n3/1P3p2/4P3/2N5/1P3PPP/R4RK1 w - f6,e4f5
r1br2k1/ppq1ppb1/2n3pp/2p4n/4P2B/2P2N2/PPQNBPPP/R2R2K1 w - -,d2f1
r2qk2r/pp1bbppp/4p3/4P3/2pn1P2/2P1B3/PP1N2PP/R2Q1RK1 w kq -,e3d4
2r2rk1/1b1n2pp/p2qp3/1p1pNp2/3PnP2/2NBP3/PPR1Q1PP/2R3K1 w - -,a2a4
1r1Q2k1/p1p2p1p/2p1bnp1/8/2B5/2N5/P1P2PPP/4R1K1 b - -,b8d8
2rqk1nr/1p1nbp2/p3p1p1/3pP1Np/5P2/2P4Q/PP1BN1PP/R4R1K w k -,e2d4
1r6/5pk1/R6b/3p1P2/3P2N1/4P3/6K1/8 b - -,h6g5
r2q1rk1/1p1bppbp/2np1np1/8/p1PNP3/2N1B2P/PP1QBPP1/1R3RK1 b - -,d8a5
2k5/pp6/5p2/4p3/5rp1/2P5/PP1RKP2/8 w - -,d2d3
8/4k3/2R5/P1K2p2/2B1p3/6P1/1q6/8 b - -,b2a3
5rk1/1bq3r1/pn2Q2R/2bp2P1/5P2/8/NPP5/1KBR4 b - -,c7f7
1r6/4bk2/2R2pp1/1p2p3/4P1P1/3P1N2/2P2PK1/8 b - -,f7e8
3q2k1/1pbr1pp1/2n1r2p/pB2p3/P3P3/3n1NBQ/1P1R1PPP/R5K1 b - -,d3f4
4r2k/4q2p/2Q1pRp1/2p1P1P1/1p5P/1P4PK/P7/8 w - -,c6d6
r1bqr1k1/pppp1ppp/2nb1n2/4p3/4P3/2N2N1P/PPPPBPP1/R1BQR1K1 b - -,h7h6
8/3bk3/1p3p2/p1np2p1/P2N1PP1/1P2P1K1/2B5/8 w - -,g3f3
8/8/7k/4K2p/5N1P/6P1/8/3b4 w - -,e5f6
r2qkb1r/1b1npppp/p2p1n2/1pp5/P3P3/3P1NP1/1PP2PBP/RNBQ1RK1 w kq -,b2b3
6k1/5pp1/1pRBp2p/3n4/r2r4/P5P1/5P1P/4R1K1 w - -,c6c8
8/R4p2/1p3kp1/1P5p/P2r3P/4K1P1/8/8 b - -,d4g4
8/7p/6p1/2P2p2/PBr1p2P/4P1P1/4kPK1/8 w - -,b4a5
2r1b3/3nq1rk/1Qp1p2p/2N1Npp1/P1PPp3/4P1PP/5P2/R1R3K1 w - -,c5d7
8/R6p/4pk2/3p4/1r3P2/4K3/7P/8 w - -,a7h7
r1bqk2r/1p1pnpbp/p1n1p1p1/2p5/P3P3/2N3P1/1PPPNPBP/R1BQ1RK1 w kq -,d2d3
4rqk1/1b1n3p/5bp1/p1pP1p2/PpP1p3/1P3N1P/R1B2PP1/1Q2R1K1 w - -,f3h2
r2q1rk1/1bpn1ppp/1p2pb2/4N3/pP3P2/P7/1BPPQ1PP/2KR1B1R b - -,c7c5
4b3/2b4k/5p2/1ppPpNn1/2p1P1B1/2P2PK1/1P1N4/8 w - -,d2f1
8/5p1k/5n2/5N1p/4p1P1/3rB1KP/5P2/8 b - -,h5g4
8/2b2pk1/5n1p/5qp1/2PQ4/5P2/5BPP/R5K1 w - -,f2g3
r1bqr1k1/ppp2pbp/3p1np1/2n5/2PNP3/1PN2PP1/P5BP/R1BQ1RK1 b - -,c7c6
4r1k1/p4p1p/1p1q2p1/2pbrn2/2PpBQ2/P2P2P1/1R2PP1P/4R1K1 w - -,e4d5
3b4/5k2/6pp/1pp2p2/2n3PP/2BKPP2/1P4N1/8 w - -,b2b3
2brr1k1/1p3pbn/1qpp2p1/p1n4p/P2NPP2/1PN3PP/2P1RBB1/3RQ2K w - -,c3b1
2rqk2r/3bbpp1/p1np3p/4p3/4n3/Q4N1P/NPP1BPP1/1K1RB2R w k -,a3a6
r1b1k2r/pp3ppp/1q6/1Nbpn3/8/8/PP2BPPP/R1BQ1RK1 b kq -,c8e6
1q4k1/5pp1/4p2p/7Q/1r2P3/6NP/6PK/8 w - -,h5f3
r3k2r/1pq1bpp1/p1n2n1p/3ppP2/6P1/P1NB1P2/1PP3KP/R1BQ1R2 b kq -,a8d8
r2qk2r/pp3ppp/2nbpn2/3p4/3P4/2N2B1P/PPP2PP1/R1BQK2R w KQkq -,e1g1
8/2Q2bk1/3R2p1/4p1Kp/7P/6P1/8/7q b - -,h1e4
r1b2rk1/1pqp1ppp/p1n1pn2/8/1b2P3/1NN3P1/PPPB1PBP/R2Q1RK1 b - -,b4e7
8/2B2kp1/5b2/p2r4/p3R3/1P6/5PKP/8 w - -,b3a4
6k1/r3ppbp/3p2p1/2pP4/4P3/Pr3P1P/1P2R1P1/R1B4K b - -,a7b7
2k4r/3rp2p/p1p2pp1/6P1/2P3KR/4R3/PP3P1P/8 w - -,e3h3
3rr1k1/pQpq2pp/1b6/5pN1/6nP/2PP2P1/P1P3BK/1RB5 w - -,h2h3
r2r2k1/1p1n1ppp/p1q1p3/2p5/2P5/NRQ1PPP1/P2P1R1P/6K1 b - -,b7b5
2R5/8/2P1pk2/3p1p2/3P4/5Q1P/2r3PK/2q5 w - -,f3g3
3qn1k1/1p1nbpp1/p1p3p1/2PpN3/1P1P4/3Q1N1P/PB3PP1/6K1 w - -,a2a4
2R5/8/5k2/7p/1P1n4/6P1/2p2K1P/8 b - -,f6e5
3r1k2/pp3npp/2bq1p2/3B4/4PP2/P4QP1/1P1R3P/4R1K1 w - -,e1d1
1R6/3b2p1/1p4k1/1pr3p1/5K1P/P1B5/1P6/8 w - -,h4g5
b1q2r1k/2r3pp/p1pbp3/1pNn1p2/1P1P1PP1/P2QP1BP/2R4K/6RB b - -,d5f6
4r1k1/1p1brpb1/1qpp1np1/p1n4p/2PNPP2/1PN3PP/PBQ3BK/3RR3 b - -,g7h6
2r2bk1/5ppp/3p4/1p2NP2/1P6/3B4/5nPP/3R2K1 w - -,g1f2
8/7k/8/1P6/3R3P/1K1R4/8/1q6 w - -,b3a4
r4rk1/p5pp/2p1pq2/n1Pp4/1R1Pp3/6Q1/P3PPBP/1R4K1 w - -,b4b8
8/Q7/4k2p/7P/4P1Pq/p7/7K/8 w - -,h2g2
8/1p1b1k1p/1r3p2/3p2pP/3P2P1/B4PK1/1P6/3R4 w - -,d1d3
r1bq1rk1/1p2bppp/p1nppn2/8/2P1P3/N1N1B3/PP3PPP/R2QKB1R w KQ -,f1e2
6k1/5pp1/1p2p2p/4P3/1P2P1P1/3pqP2/5RKP/2rQ4 w - -,d1a4
r1br4/pp2kP2/n4p1p/6q1/2B5/4P3/P2N2PP/2RQ1RK1 w - -,d1f3
2kr1b1r/p2p1p2/2q4p/2pN2p1/2pnP3/6P1/PP3P1P/R1BQ1RK1 w - -,c1e3
r6k/pp4p1/2p2q2/3nrb2/1P6/P3P1R1/1Q2BP1P/2RNK3 b - -,a8e8
2r5/r7/Pp1bpk1p/1Bp2p2/2Pp1P2/R5PP/1P2K3/6R1 w - -,e2f3
2B5/7p/1p1b1k2/p4P2/4K3/2P4P/PP6/8 b - -,d6c5
7r/7P/7R/3kpp2/8/4K1P1/5P2/8 w - -,f2f3
r1b1kb1r/pp3ppp/2p5/5qP1/3Q1BnP/2N5/PPP1NP2/R4K1R b kq -,c8e6
2r2rk1/3qppbp/p1np1np1/8/Pp1NP3/1PN1BP2/2PQ2PP/3R1RK1 w - -,c3e2
rn2k2r/pp2n1pp/2pb1p2/3p1b2/3P4/1qN2NB1/PP2PPPP/R3KB1R w KQkq -,a2b3
r2r2k1/1bq1bppp/ppn1p3/4P3/1P1NpP2/2P1B3/P3B1PP/3RQRK1 w - -,e1f2
2r2b2/8/r1pnkpp1/1p2p3/1P2P1p1/P3NP1P/2R2K2/2BR4 w - -,h3g4
1R6/2n3pk/1nrp3p/1p6/8/N2P2PP/1P1B1PK1/8 b - -,c7a6
6k1/3n1pp1/1pb1p1p1/3p2P1/3P4/4RNQ1/1qr2P1P/4R1K1 w - -,g3d6
5b2/1p1n4/p6p/4Pk1R/5P2/1P1p2BP/1P4PK/2r5 b - -,f5e4
8/3B4/8/4p1kp/P3K3/4P1P1/7P/2b5 b - a3,c1d2
2bqr1k1/1pr1bp1p/p1n1pnp1/3pN1B1/3P1PP1/2NBPR1Q/PP5P/5RK1 b - -,f6e4
r7/p1p2p1k/bp1p1P1p/n3p1r1/q1P1P2N/2PB4/P1R1Q1PP/5RK1 w - -,h4f5
r1k2b1r/p1pb1pp1/1pp4p/4Pn2/4N3/1P3N1P/P1P2PP1/R1B2RK1 w - -,c1b2
8/6pp/1R1pk3/3npp2/8/BP3PP1/4PK1P/8 b - -,d5b6
rnbq1rk1/ppp1bppp/5n2/3p2B1/3P4/2NB4/PPP1NPPP/R2QK2R b KQ -,f8e8
8/8/4k3/2p1p3/2K3N1/1PP2P2/8/4b3 b - -,e6f5
5r1k/3b4/2p2q1p/1p1pRp1B/1P1Q1P2/6P1/6KP/8 b - -,h8h7
2r3k1/pr2pp1p/3p1np1/2qP4/2P5/6PP/P2Q1PB1/R3R1K1 b - -,c8b8
rn1qkb1r/p4ppp/2b1pn2/1Qp5/3P4/2N2NP1/PP2PP1P/R1B1KB1R w KQkq -,b5c4
8/1p3R2/2p1P1kp/2B5/1P2q3/6p1/KP6/8 w - -,f7e7
2r1r1k1/1p3qpp/2p3nn/pPPp1p2/P2P1P2/3QNNP1/4R2P/4R1K1 b - -,e8f8
