8/R7/6pk/P5p1/4BnP1/5P2/r7/4K3 w - -,a5a6
r2qk1nr/1p1nbppp/p2p4/2pPp2b/P3P3/2N2NPP/1PP2PB1/R1BQK2R b KQkq -,h7h6
r1q2rk1/pb1nbppp/1p1pp3/2p5/2PP4/2Q1PNP1/PP1B1PBP/2RR2K1 b - -,f7f5
8/8/k7/1p3K1p/6p1/1Pb1B1P1/5P1P/8 b - -,a6a5
8/1ppk2p1/p1p2p1p/2bq1PPP/3pQPK1/1P1P4/PBP5/8 b - -,d7d8
r1b1r1k1/bp3ppp/p2q4/3pn3/N2Nn3/1P2P3/PB2BPPP/2RQ1RK1 b - -,d6g6
rn1q1rk1/1p2ppbp/2p2np1/3p4/p1P3b1/1PNP1NP1/PB2PPBP/R1Q2RK1 b - -,d5c4
r7/1q2bpk1/p1n1p1p1/2P1p2p/1PQ1P2P/2KN1PP1/2N5/R7 w - -,a1a3
1k1r3r/1pp3pp/1b2qp2/pP1N4/8/5QP1/P4P1P/2RR2K1 w - -,a2a4
r4r1k/2pn4/3p3P/3Pbp2/pPq1p3/P3BP2/2B3QR/3R3K w - -,f3f4
8/6p1/5p1p/5P1P/2pBpP2/4K3/1Pkb4/8 w - -,e3e4
8/5r1k/p2B4/2P2Ppp/2r5/3K2N1/P1p5/2R5 b - -,c4a4
rnb1kb1r/2q2ppp/p2ppn2/1p6/P3P3/1NNB4/1PP1QPPP/R1B2RK1 b kq a3,b5b4
7k/5n1p/2Q2p1q/1pP2P2/p4K2/P6P/3R2B1/8 w - -,f4g3
rn3rk1/ppq3np/2pbb1pB/5p2/8/2N2NP1/PP2PPBP/1R1Q1RK1 w - -,d1d4
1rr3k1/2n1ppb1/3p2p1/p1pP2P1/4PP1R/2P1B1Nb/PPK5/7R w - -,h4h3
r2r2k1/1p2nppp/1qp1p3/8/b3P3/P1Q1RNP1/1P3PBP/2R3K1 b - -,a4b5
4r1k1/3R1pp1/4n3/7p/1B1p4/P4P2/r5PP/3R2K1 b - -,e8c8:e6f4
r1b1kbnr/1p1qpppp/p1np4/1B6/4P3/3Q1N2/PPP2PPP/RNB1K2R w KQkq -,b5c6
8/1ppk1pp1/p2p1b2/3P3p/5B2/2PK3P/PP3PP1/8 w - h6,d3e4
3r3k/2p3p1/2n4p/1Q2p3/1BB1p3/2Pb2P1/4qP1P/R5K1 w - -,b5c6
6k1/5rpp/3p1b2/3PpP2/2Pq4/8/r2NR1QP/1R5K b - -,d4d3
r7/5B2/2pk1np1/4p1N1/3bP2P/r1pR2P1/P1K5/1R6 w - -,b1a1
8/8/8/2k5/5R2/1r3P2/4K3/8 b - -,c5d5
3rnrk1/p2bp2p/pq4p1/2pP1p2/P1N5/1P1Q4/2P1NPPP/3R1RK1 b - -,b6c7
5r2/pnk1r1b1/2p5/1pP1pN1p/7P/1B1nBRR1/PP1K2P1/8 b - -,f8f5
3q4/1b1r1pbk/p1pBp1p1/4P2p/1PP5/P3Q3/4BPPP/2R3K1 w - -,c4c5
r1bqk2r/pp3ppp/2nppn2/2b5/4P3/3B1N2/PPP2PPP/RNBQ1RK1 w kq -,a2a3
1r4k1/pp2pp1p/3pbbp1/8/4P1PP/2Q2P2/qPP1B3/2KR3R w - -,c3a3
r1bq1rk1/ppp2ppp/2n5/1B1pP3/1b1P4/8/PP1N1PPP/RN1QK2R w KQ -,b5c6
rq2kb1r/pp1b1ppp/2nppn2/1N6/4P3/2N3P1/PPP2PBP/R1BQK2R w KQkq -,e1g1
8/8/8/5k1p/1K3P1P/8/8/8 b - -,f5g4
r1b1qrk1/p2n1pp1/3p3p/1Pp5/5P1B/2PBn2P/P2QN1P1/R3K2R w KQ -,e1f2
r3r1k1/3n1ppp/2b2n2/3Np3/p3P3/b5P1/5PBP/R3NRK1 w - -,a1a3
2rq1rk1/3nbppp/b3p3/p1pn4/1pNP4/1P3NP1/PB2PPBP/1QR2RK1 w - -,f1d1
r2q1rk1/1pp2ppp/n1b1pn2/p5B1/PbQP4/2N2NP1/1P2PPBP/2R2RK1 w - -,f3e5
r1bq1rk1/p1p2pbp/2pp1npB/8/4P3/2N5/PPPQ1PPP/R3KB1R w KQ -,h6g7
b7/6nk/4p1pp/B1b1Pp2/3N1PP1/3r3P/2N2R1K/8 w - -,f2d2
3r4/1p3pk1/6pp/2n5/1nN5/1P3NP1/4R2P/6K1 w - -,e2e3
3nq2k/1ppbb1pp/p2p3r/P3p3/1PB1P3/2PQ1PP1/4NR1P/5N1K b - -,e7g5
4r2r/1p1n1kp1/p1p5/1q5p/3P1P2/2B2P1R/PP4Q1/R4K2 w - -,f1g1
r2q1rk1/pp3pbp/2p1pnp1/1P1n4/3P4/2N1PP2/PB2BP1P/R2Q1RK1 b - -,d5c3
1r1q1rk1/1p1n1pbp/p2p2p1/2pPp3/P1PnP3/2N1B1PP/1P3PB1/1R1Q1RK1 b - -,d8a5
6k1/pp3pp1/2pn4/3p2p1/1P1P4/1P3PN1/2P3PP/6K1 b - -,f7f6
8/3R3p/p4rpk/P7/4P3/6PP/5PK1/8 w - -,d7b7
rnbq1rk1/pp2ppbp/3p2p1/2p5/2PPn3/1P3NP1/PB2PPBP/RN1Q1RK1 b - -,b8c6
rn1q1rk1/pbp1bppp/1p1ppn2/8/2PP4/2N2NP1/PP1BPPBP/R2Q1RK1 w - -,d1c2
r1bqnrk1/p3p1b1/1np3p1/1p2P1B1/3P4/2NB1p2/PPP4Q/2KR3R b - -,f8f5
8/4k1p1/2Q2pp1/p7/1b4q1/6B1/PP3P1P/6K1 b - -,g4d1
r2q1rk1/1b2bppp/p1nppn2/2p5/1p2PP2/1P3NP1/PBPPQNBP/R4RK1 b - -,d8b6
3r2k1/1b1r1qn1/p2p1pp1/Pp1P3p/1PpQPP2/4RB1P/6P1/4R1KN w - h6,h1f2
4k3/p5R1/8/2PpK3/1P1Npn1r/P7/8/8 b - -,e4e3
4r1kB/p7/b3P3/2b4p/3N1P2/P7/1P6/2KR4 w - -,h8e5
1rbqr1k1/1ppn1pbp/3p1np1/p7/P1PPp3/2N1BNPP/1P1QPPB1/R2R2K1 w - -,f3g5
1k3qr1/ppp4p/1b2r1n1/n2p1pP1/3P1N2/PP1NBP1Q/2PK3P/4R2R b - -,e6e3
2rq1rk1/pp2bppp/4pn2/1b6/2NBP3/1P4P1/P4PBP/2RQ1RK1 b - -,e7c5
3r2k1/pp1r1pp1/1q2bn1p/1P1p4/PQ1R4/4NBP1/4PPKP/2R5 b - -,a7a6
8/8/5k2/2pPp1b1/q1P1PpQp/2B4P/6P1/6K1 b - -,f6g6
6k1/8/1p2rp2/2pR2pp/P7/1p3PP1/1P3K1P/8 w - -,a4a5
5R2/1p3p2/5Pk1/pr4P1/1P3K2/2P5/5P2/8 w - -,f8g8
4r1k1/ppp1q1p1/1b3p2/1P5p/2NPrQ2/1PP5/3K2PP/R6R w - -,f4f3
7k/1Bp1q2b/pb5p/8/4PpP1/7K/3Q4/1R3R2 b - -,e7a3
2rq1rk1/pb1n1ppp/1p1b4/2pp4/3PnN2/1P1BPN2/PB3PPP/2RQ1RK1 b - -,d6f4
r1bqkb1r/pp1n1ppp/4p3/3nP3/8/P2B1N2/1P3PPP/RNBQK2R b KQkq -,f8e7
r5k1/1p3pp1/3brnp1/1qp1p3/p3P3/P2P1NP1/1PQB1P1P/2R1R1K1 w - -,f3g5
8/1p5p/p1b5/5P2/2k5/4KP1P/1P6/3R4 b - -,a6a5
1r3r2/1b2Rppk/8/pp1p4/2p5/P1P2N2/1P1R1PPP/6K1 b - -,b5b4
8/8/2b3k1/6pp/5B2/4KP2/7P/6N1 b - -,g5f4
3n1q1k/r6p/r3pn2/pp1pNpQB/b1pP1P1P/P1P3R1/R1PB2P1/6K1 w - -,h5f3
r2qr1k1/p1p3pp/b1pnPp2/3p4/3b4/2P2P2/PP1N2PP/R1BQR1K1 w - -,c3d4
8/1b2rppk/2pQ1bp1/8/3P4/5P1P/P4PK1/8 b - -,e7e6
4r1k1/1p3p2/3q4/6p1/1P4P1/p4PKQ/P7/7R w - -,g3f2
5bk1/7p/5B2/3p1p2/2pP4/1pP4P/rN3PP1/1R4K1 b - -,f8a3
1k4r1/4R3/1p1pp3/pP6/P1P3r1/6N1/8/3R2K1 b - -,g4g3
r1bq1rk1/ppp2pbp/2np1np1/4p3/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w - -,h2h3:a2a4
2rq1rk1/3npp1p/1pbp2p1/4b3/1pP1P3/P1N1BP2/3Q2PP/1R1R1BK1 w - -,a3b4
1rq5/1pp2pk1/p2p1np1/7r/P1P1PPbp/1PN4P/3Q2BK/2R2R2 w - -,h3g4
r3r3/p1pq2pk/2nN3p/8/3P4/1QPb1P2/PP4PP/R1B2RK1 b - -,d7d6
8/8/1kpR2p1/1pN4p/pP5n/P4r2/8/1K6 b - -,f3f7
rn1qk2r/ppp1bppp/4p3/3n3b/2B5/2N2N1P/PPPP1PP1/R1BQ1RK1 w kq -,f1e1
rn1qk2r/pp1nbppp/2p1p3/3pP1NQ/3P4/2N5/PPP2PPP/R1B1K2R b KQkq -,g7g6
r2qnrk1/pb3ppp/n2p1b2/1NpP1N2/4P3/P5PB/1B1Q1P1P/R4RK1 b - -,b7c8
r1k4r/p1pb1ppp/1pp5/4P3/4N1Pb/7P/PPP2P2/R1BR2K1 w - -,c1g5
2kr1b1r/1ppb3p/5p2/2P1B3/2B5/8/P4PPP/4RRK1 b - -,f6e5
5k2/1p2p3/7p/PN4p1/1P6/1b4P1/6r1/3R2K1 w - -,g1g2
8/4k3/p7/1p1bb3/2p1n2P/2P2RR1/PP4PK/8 w - -,h4h5
3r3b/5R2/1k3p2/p2ppP2/P1p5/1pP3N1/1P3K2/8 w - -,f2e3
2rr2k1/3bqpb1/p2p2p1/2nPp2p/P1N1Pn2/B3R2P/2BN1PP1/1R1Q2K1 w - -,d2f3
r2qk2r/1p1nBp2/p2pb1p1/4p2n/4P2p/2NB1Q1P/PPP1NPP1/R4RK1 b kq -,d8e7
1r4k1/p5b1/3p2p1/4p1P1/4P2P/3PB3/Pr3R2/2R3K1 b - -,b2f2
r2qkb1r/pp1npppp/2p2nb1/3p4/6PN/3P3P/PPPNPPB1/R1BQK2R b KQkq -,e7e6:e7e5
r1bqr1k1/4npbp/1pn3p1/p1pp4/P2P4/1NP2NP1/1P3PBP/R1BQR1K1 b - -,c5c4
4k3/p2b1p2/1p1P1Pn1/2P3N1/1P3r2/7P/7K/4RB2 b - -,e8f8
4r2k/1p3pb1/1q4np/p1p1n3/2PpPBb1/P2P4/1PQN2PP/4RRK1 w - -,g2g3
3r1r1k/pb3p2/1p2p1np/2p5/3p1qP1/P2P1N2/1PPQ1PB1/R3R1K1 w - -,d2f4
r7/1R2nP2/5k2/6p1/2N5/P4P2/6PK/8 w - -,c4b6
6k1/5pp1/3n4/R3p3/3p4/8/5PPP/6K1 b - -,f7f6
4k3/7B/5K2/4N3/8/8/8/8 b - -,e8f8:e8d8
2r1b2k/1p3p2/4p1pq/3pP1RN/5R1Q/pP5P/P1r2PPK/8 w - -,h4g3
4r1k1/5p2/6p1/3N1b1p/8/2R3P1/P5PK/8 b - -,g8g7
r1bQ1rk1/4bppp/p4n2/1p2p3/P3P3/2N1B3/1PP1B1PP/R4R1K b - -,f8d8
r1b1r1k1/2pn2p1/2p2p1p/p3p3/P1N1P3/2P1RN1P/1P3PP1/R5K1 w - -,f3d2
r1br2k1/2q1nppp/p1np4/1p2p3/4PP2/1NN5/PPPQB1PP/3R1R1K b - f3,e5f4
r4rk1/p2b2bp/3n4/2pP1p2/2p4B/P1N4P/BP1R2PK/R7 b - -,f8e8
r1r1bnk1/1pqnppbp/2p3p1/p7/PP1NP3/2P1BN1P/2Q2PP1/1R2RBK1 w - -,d4b5
4R3/1p3ppk/p2p4/P2P1Nq1/1Pr3n1/6Pp/5Q2/7K w - -,f2f1
r3bb1k/1p6/p2p1n1p/P1pn1p2/2N5/4B3/1P2BPPP/2R2RK1 b - -,d5b4
1R1Q4/r3p1b1/3p2pk/1b1P1pN1/1q3P1p/1P2P1P1/r6P/1R3BK1 w - -,g3g4
2rr2k1/pp3pp1/3N4/4Pqbp/1p1Q2b1/1P3N2/R1PP2P1/3K1R2 b - -,f5g6
6k1/5pp1/7p/1Q6/4P3/P4PK1/2r2qPP/5B2 w - -,g3g4
3r3r/1bq2pk1/2np2p1/2p4n/1pP1PP1p/1P3B2/1QN2NPP/3RR1K1 b - -,f7f6
r1bq1rk1/pp2ppbp/2n2np1/3P4/3N4/2N1BP2/PPPQB1PP/R3K2R b KQ -,f6d5
4nk2/4nppp/1P1p4/4p3/N7/1PR2qP1/P6P/2R3K1 b - -,f3e4
7r/r4p2/4pP2/1k2P3/4B3/p5K1/R1P5/8 b - -,b5c4
8/1p1r1k2/pR4pp/P7/8/8/1P3KP1/8 b - -,h6h5
r2q3k/ppbn2pp/2p1Br2/4pP2/8/6Q1/PPP3PP/R1B2R1K b - -,d7c5
r2qk2r/1p2bppp/p1npbn2/4p1B1/P3P3/2N2N2/1PP1BPPP/R2Q1RK1 b kq -,e8g8
r2qk2r/1p1nbp2/2p1b1p1/p2p3n/3P1B1p/2NBP2P/PP1QNPP1/1K1R3R b kq -,a5a4
r4rk1/p1RQ1bpp/4N3/3p4/4p3/P5P1/1q2PP1P/5RK1 w - -,e6f8
6k1/4r2p/1p1pn1q1/3Bp3/pPP5/2Q2rP1/P6P/5R1K w - -,c3f3
2r1k2r/2qnbp1p/p2pbnpB/1p2p3/4P1P1/1NN2Q1P/PPPR1P2/1K3B1R b k -,h8g8
r1b1rbk1/p4p2/2p2p1p/3p4/8/2PB4/PP2NPPP/R4RK1 w - -,e2g3
6k1/2R4p/p3p1p1/Bp6/8/1q3BP1/4PPKP/8 w - -,c7c6
8/1R5P/7r/5K2/p1p5/2P5/k7/8 w - -,f5e4
7r/R7/2pk2K1/3b4/1P6/P3R1P1/8/8 b - -,h8g8
r1bqk2r/pp2bpp1/2n2n1p/3p4/3N4/2N1B1P1/PP2PPBP/R2QK2R b KQkq -,e8g8
4b3/pp2knpp/4pp2/8/1qRpPP2/P2P2PB/5K1P/8 w - -,c4b4
r1bqkb1r/1p1pnppp/p3p3/1B6/3pP3/8/PPPPNPPP/R1BQ1RK1 w kq -,b5a4
4r3/1ppR1pk1/p4p2/4p2p/Pb2P2N/1P6/1PK2PPP/8 b - -,b4a5
8/6pp/3R3r/6k1/8/6p1/6K1/8 w - -,d6d5
3k4/1p6/p1rp1b2/8/2N1bpR1/8/PP2B1P1/3K4 b - -,f6e5
rnbqkb1r/p3pp1p/3p1np1/2pP4/1pP1P3/1P3N2/P2N1PPP/R1BQKB1R b KQkq -,f8g7
8/1p1k1rp1/p1p1p2p/P5bP/1PPPR1P1/6B1/4K3/8 b - -,f7f8
7n/3k3P/pp4p1/2pB2P1/P1P1K3/8/8/8 w - -,e4e5
2rqr1k1/pb1n1ppp/1ppbpn2/3p4/2PP4/1PNBPN2/PBQ2PPP/2R2RK1 w - -,f1e1
7Q/8/2p3R1/2kn2p1/4p3/8/5P2/1q4K1 w - -,g1h2
r1bq1bk1/ppp1n3/4ppp1/8/2PPp1B1/1Q2P3/PP3PPP/R4RK1 w - -,a1d1
r4rk1/1qpn1pbp/1p1pp1p1/p7/P1PP4/BP4P1/2RQPPNP/3R2K1 b - -,f8c8
5rk1/pp1qp1bp/3ppnp1/8/2rNP1P1/4BP2/PPPQ3P/1K1R3R b - -,f8c8
r1bq1rk1/ppp3bp/2np2p1/4np2/8/2P1PN1P/PP1NBPPB/R2Q1RK1 b - -,g8h8
1k6/1p2bpp1/p6p/P2P4/2P1n1P1/K6P/1P2B3/8 w - -,b2b4
3rr1k1/1q2bp1p/p1bp2p1/1p2Pp2/3B1P2/P1P4Q/1P2N1PP/R2R3K w - -,d1e1
r3k3/5p2/3P1Pp1/p1pP3p/1r6/4N3/5B1P/R6K w - -,a1c1
8/8/4p2p/p1N1k1p1/r3p1P1/5p1P/3RKP2/8 w - -,e2d1
r3kb1r/4nppp/p1b5/8/4P3/2N1B3/PPP2P1P/R4RK1 b kq -,e7g6
3r1rk1/7p/3p2p1/1pp1b1q1/2P1P3/pP5P/P1Q3P1/1B2RRK1 w - -,c2d3
2rq1rk1/pp2bb2/1nn1pp2/1B1p3p/3PP1pP/4Q1B1/PP1NNPP1/2R1R1K1 b - -,f8e8
r1b2rk1/ppq2pp1/2n1pn1p/2bp4/4P3/2PB1N2/PP1NQPPP/R1B2RK1 w - -,d3c2
r7/3rk3/P1p1bp1p/2q3pP/1p1pP1P1/3P2R1/1QP2PB1/R3K3 w - -,a1a4
6k1/p4p2/7R/2p3p1/3b2K1/2P3PP/1P3r2/8 b - -,d4f6
3r2k1/1bR1qpp1/p3p2p/1p1nN3/6Q1/4PB1P/PP3PP1/3R2K1 b - -,e7c7
rn1qk2r/pb1p2pp/4pn2/2p2p2/2P5/P1Q2NP1/1P2PP1P/R1B1KB1R w KQkq -,f1g2
5rk1/1b1n1ppp/q3pb2/1np5/1pN5/3PBNP1/1P2PPBP/2RQ2K1 b - -,f8a8
r2q1rk1/1p5p/4p2b/p1PpPp2/P4P2/2B5/1P1Q3P/R2R3K b - -,d8h4
3q1rk1/1b2b1pp/p3pn2/1pr1p3/5P2/P1NB3Q/1PP3PP/4RRK1 w - -,h3e6
1R6/5ppk/2B1n1p1/2q5/8/4P1PP/2Q2P1K/r7 w - -,c2e4
2r1kb1r/pp1qnbpp/5p2/4pPP1/1n1pP2P/3P1NN1/PP4B1/R1BQ1RK1 b k -,b4c2
2rq1rk1/pp1nbppp/3pp1b1/n7/3PP3/1B3NNP/PP3PP1/R1BQ1RK1 w - -,c1e3
r3k2r/ppp1p1bp/4p1p1/3q2N1/3n2Q1/2N5/PP3PPP/R1B2K1R b kq -,d5c4
4r2k/5n1p/p5pb/5p2/2pNp3/2N1P1PP/5PB1/2R3K1 b - -,f7e5
8/5Rpk/7p/4P3/p6P/1p3KP1/r4P2/8 w - -,e5e6
1r2n1k1/6p1/1pRnp2p/p2pNp2/3P1P2/P3PN2/1P3P1P/6K1 w - -,e5d7
5rk1/4pp1p/1pR3p1/p7/3P4/Pq2P1P1/5P1P/2Q3K1 b - -,f8d8
r3r3/1p1k1p1p/1np1b1p1/p7/3P4/P4PB1/1PBKR1PP/3R4 b - -,e6c4
8/4k3/8/7p/2N1K3/P4r1P/P4p2/5R2 b - -,f3c3
rnbq1rk1/ppp2ppp/4pn2/3P4/3P4/P1P2P2/4P1PP/R1BQKBNR b KQ -,e6d5
rn1qk2r/pb2bppp/1p1ppn2/2p5/2P1P3/2N2N2/PPBP1PPP/R1BQ1RK1 w kq c6,d2d4
3rr2k/pq4bp/1p2p1p1/2ppP3/Pn2nPPB/2N2N1P/1PP1Q1K1/3RR3 b - -,d8d7
5rk1/p3b1pp/2p1p1b1/3pPq2/5P2/1P3BP1/PB1Q3P/2R3K1 b - -,c6c5
2k1r2r/pppqnbpp/2n2p2/1B1p4/3P1B2/2N2P2/PPPQ2PP/2KRR3 b - -,e7f5
r4rk1/1bqnbppp/p3pn2/P1p5/1pBP4/1N2PN2/1P1BQPPP/R4RK1 b - -,f6e4
1r1q1rk1/1p2npbp/p1npb1p1/2p1p3/1PP5/P1N1N1P1/3PPPBP/R1BQ1RK1 w - -,a1b1
1r6/3bkp1p/4p3/2r1Pp2/p2N1b2/3R1B2/PPP3PP/1K5R w - -,h1d1
2r2rk1/1p1qnp1p/3p1Pp1/1b2b3/p2p4/P2P2N1/BPPB2PP/R2Q1R1K b - -,e7c6
8/6kp/R7/5p2/4p3/P5P1/3rrP1P/2R3K1 b - -,d2d7
rr6/1bnn1pkp/p2p1B2/1ppPp2P/P1P1P3/1PNB1P2/3Q1K2/7R b - -,g7f6
r2q1rk1/p2nbppp/4pn2/2p5/2Q2B2/P1N1PN2/1P3PPP/R4RK1 w - -,f1d1
3r4/8/8/3K4/3R1B2/5k2/8/8 w - -,f4d6
8/p4k2/2b4p/1p6/2rp2P1/P2B3P/3K1P2/R7 b - -,c4c3
4r2k/1p1r1p2/pR1p1Bp1/P1pP3p/8/2P2B2/2P2P1K/8 b - -,h8h7
r1bqk2r/pppnb1pp/2n1p3/3pN3/3P4/2P5/PP1NQPPP/R1B1KB1R b KQkq -,d7e5
r1q2rk1/pbpn1ppp/1p2pb2/8/4B3/1P1P2P1/P1PN1P1P/1RBQR1K1 b - -,f6c3
5r2/4b1k1/p4p1p/P3pB2/2R5/6P1/2P4P/7K b - -,f8d8
r7/2p2r1k/p1Pp2p1/1p1Pp3/1P2P2p/1P1Kb2P/R5P1/2R5 w - -,d3e3
2r3k1/4q1pp/1n2p3/1p1p4/3PpPb1/1PP3P1/2R3BP/2Q2NK1 b - -,e7a7
rn1q1rk1/ppp1ppbp/3p1np1/8/2PPPPb1/2N2N2/PP2B1PP/R1BQK2R b KQ -,g4f3:b8d7:c7c5
r4br1/1kp2pp1/1pb4p/pNp1P3/PnP5/1P2N2P/1B3PP1/3RRK2 b - -,f8e7
r4rk1/pp1qppbp/6p1/3PN3/4P3/4B3/P4PPP/R2Q1RK1 b - -,g7e5
1Q6/1b4pk/4p3/8/1q3PPK/Bp5P/8/8 b - -,b4a3
8/8/8/3K4/5k2/8/4n2R/8 b - -,e2g3
q1r1rbk1/1b1n1pp1/pp1ppn1p/8/1PPNPP2/2N1QBPP/PB2R2K/3R4 w - -,e3d3
3r2k1/1p4pp/4p3/p7/2Pn1P1r/3R4/PP3P2/3RNK2 b - -,e6e5
rnbqk2r/pp4pp/2pbpn2/3p1p2/2PP1N2/6P1/PPQ1PPBP/RNB1K2R b KQkq -,e8g8
r3r3/pb3pk1/1p4pp/1R1p1q2/3Pp3/2P3P1/P3PPBP/3Q1RK1 b - -,b7a6
8/p2rkpp1/2p1pb2/3r3p/2pP3P/P1P3B1/1P1R1PP1/3RK3 b - -,g7g6
3qr3/1p5p/p2p1ppk/2rp4/P1PQPP2/1P6/7P/4RR1K w - -,e4d5
r2q1rk1/pp3ppp/1n3b2/3Pp3/6b1/1BNQ4/PP2NPPP/R4RK1 b - -,g4e2
r1b2rk1/ppb2ppp/2p2n2/2Pp2q1/1P6/2N1PBP1/PB3P1P/R2Q1RK1 w - -,e3e4
r1b1k2r/ppqnbpp1/2pp1n1p/4p3/2PPP3/2N2NPP/PP3PB1/R1BQ1RK1 b kq -,e8g8
8/4q1kp/2Q3p1/1pp1p3/4P3/3P4/1PP5/6K1 b - -,b5b4
r1b1r1k1/1p1n2bp/1q2ppp1/p2pP3/1n1P1P2/BPN2NPB/P2Q3P/R4R1K b - -,g7f8
r1q1k2r/pp3pbp/2np1np1/2p1pb2/2P5/1P1PPNPP/PB3PB1/RN1Q1RK1 w kq -,g1h2
r7/2p3pp/3bk3/p3p3/2N1P3/P2P2P1/1PR1P1K1/8 b - -,a8a6
4r3/1pk4p/5pp1/PRp5/3K4/8/P4PPP/8 w - -,b5c5
r3k2r/pp2bpp1/2p1p2p/2pqPb2/P1N5/3PB2P/1PP1QPP1/R4RK1 w kq -,a4a5
r1bq1rk1/1p1pbppp/p1n1p3/2pnP3/8/NP3NP1/PBPP1PBP/R2Q1RK1 b - -,b7b5
r6r/P1k1p1bp/4B1p1/1R2p3/4P3/2K1BP2/6PP/8 b - -,c7d6
8/7p/1k5P/7R/1KP2r2/P7/8/8 b - -,f4f1
5nk1/5pp1/2p4p/1p1p2PP/3q1P2/pPQ4R/P2r4/KB6 b - -,f8e6
8/r7/3R1k2/6pp/2N5/2PK2PP/5P2/b7 b - -,f6f5
5rk1/1Bp1qppp/4b3/3rn3/8/P1Q2N1P/1P3PP1/2R1R1K1 b - -,e5f3
r1bq1rk1/pp1nppbp/2n3p1/8/2PP4/3B1N2/PB1N1PPP/R2Q1RK1 b - -,d7c5
2k5/7R/3K4/8/4BP1p/1bP5/8/2r5 b - -,c1d1
r3k1nr/1p1qppbp/p1bp2p1/2p5/4PP2/2NP1N2/PPP3PP/R1B1QRK1 w kq -,c1e3:g1h1
rq3rk1/2pn1ppp/3ppn2/pp6/2PPb3/2B3P1/PP1NPP1P/R1QR1BK1 b - -,b5c4
8/5p1p/3k2p1/8/1P2P3/4K2P/B1r3P1/8 w - -,a2f7
4r1k1/1pR4p/5p2/3R1p2/8/1r4P1/4PP1P/6K1 w - -,e2e3
