7k/4R1n1/7p/2Q3rp/8/8/5Pp1/6K1 w - -,c5c8
r4rk1/1pp1n1pp/p2pqp2/4p3/1PP1PnP1/2P1NQ1P/P2N1P2/RR4K1 w - -,e3d5
4r1k1/5pbp/p7/1p6/1n6/1Pp1B1PP/q4P2/1QR1N1K1 w - -,b1a2
r2qr1k1/1b1nbppp/p2ppn2/2p5/2P1PP2/5NP1/PP4BP/1NRQR1K1 b - -,e7f8
r4rk1/1nqbbpnp/p2p2pB/1p1Pp3/2p1P2P/2P2NN1/PPBQ1PP1/R3R1K1 b - -,b7c5
8/1pn3k1/4p1p1/2p2p1p/2P2P1P/4PP2/2P1K3/r4BR1 b - -,a1c1
1r4k1/4qpbp/n2p2p1/2pPn3/1r2P3/2N1B2P/RP2QPP1/3R2K1 w - -,e2a6
1R6/1p1r2kp/p1p3p1/5p2/P1P2PP1/2b2K1P/5B2/8 b - -,g7f7
6k1/3r1pp1/1q2p2p/pN2Pn2/Pp6/3Q2P1/1P3P1P/6K1 w - -,d3d7
3r4/1pQ2p1k/p3rnpp/4p3/3qP3/3PN2P/PP3PP1/R3R1K1 b - -,d8d7
8/2p4p/5B2/1k1P1n2/1p6/3K2b1/2N5/8 w - -,d3e4
B3kb1r/2qb1p2/5npp/p3p3/4P1P1/2N1QP2/1PP4P/2KRN2R b k -,f8c5
5r1k/1qpQN1pp/p4p2/1p3P2/1Pb5/P2n2NP/3R2PK/8 w - -,d2d3
1r3rk1/pp1qn1b1/3p3p/2pPPp2/P5p1/2BPP1P1/1P1N3P/R2QR1K1 b - -,d6e5
rnb2rk1/p5b1/2p2n1p/1p2Npp1/1q6/3P1NP1/PB3PBP/R2Q1RK1 w - -,a1b1
2r2rk1/p1qB1p1p/1pn3p1/2b5/2PpN3/P2P2P1/1B2QP1P/R3R1K1 b - -,c8d8
5rk1/1pn3b1/p2p4/3P1nP1/4QP2/1q1BBK1R/7P/8 w - -,f3g4
3q2k1/1r1b1p2/2p1p1p1/R2pP3/3P1PQb/1NB5/PPP5/2K5 b - -,h4e7
8/1pq2pkp/p2pPnp1/P7/1P1QP3/6PP/5PB1/6K1 b - -,f7e6
rn1q1rk1/ppp1bppp/5n2/3P4/2B3b1/2N2N1P/PP1P1PP1/R1BQK2R b KQ -,g4h5
2rr2k1/p2b1ppp/3q4/b7/p1PN4/3QB1PP/1p3PB1/R2R2K1 w - -,a1a2
r4rk1/2qnppbp/p3P1p1/1pP5/4N3/4QN2/PPP3PP/2KR3R b - -,d7e5
3r1r2/ppn3k1/2n1p1pp/2Pp4/1P5P/P5R1/3NNPP1/4R1K1 b - h3,e6e5
2r5/pp1qbkp1/5n2/3pppB1/8/5P1Q/PP3P1P/R4RK1 w - -,f1e1
r1bq1rk1/pp3ppp/2n1pn2/b1p5/2BP4/P1NQPN2/1P3PPP/R1B2RK1 b - -,a7a6
1r2r3/5k2/p1p3pp/R3P3/1n1R2P1/5N1P/5P2/6K1 w - -,d4f4
2r5/1p2kp2/4b1p1/p3p2n/2P5/4BPP1/PP5P/3R1BK1 w - -,b2b3
rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/8/PPPPQPPP/RNB1K1NR w KQkq -,g1f3
2r5/p5p1/1b2k1Pp/1p1pPq2/PPrP1p2/3Q1P2/1B1RKR2/8 w - -,d3b3
4r3/6k1/3p3p/5p2/3RnN2/7P/1P4P1/6K1 w - -,d4d5
5b2/4k3/3p1q2/p1p1p2Q/1nP1B3/1P1PP1P1/6K1/4B3 w - -,g3g4
2rr2k1/pp3p1p/1q2pp2/8/PP6/5P2/2B1QP1P/5R1K b - -,b6b4
r1bq1rk1/pp1nnpbp/4p1p1/3pP3/3p4/1BP2N2/PP1N1PPP/R1BQR1K1 w - -,c3d4
2r1r1k1/2p2ppp/8/3p4/1PbN4/p1P2P2/P4RPP/R5K1 w - -,d4c2
3rr1k1/5pp1/1N5p/2p5/P7/1PBn1bP1/5P1P/RR4K1 w - -,a1a2
r1b1k2r/ppp1nppp/1bnp1q2/8/4P3/1NN1B3/PPP1QPPP/2KR1B1R b kq -,e8g8
8/3r4/1p2k1p1/bP1pPp1p/R4P1P/1r3KP1/4B3/3R4 w - -,e2d3
r2q1rk1/ppp4p/3p2p1/5b2/1nPb1P2/2N3P1/PP4BP/R2Q1RK1 w - -,d1d4
r1b1k2r/pp1nnpp1/2p1p1p1/8/3P1B2/P1PB1N2/2P2PPP/R3K2R w KQkq -,e1c1
r1b2rk1/ppq1pp1p/2n3p1/6B1/2p1P3/1NP5/P1P1QPPP/R4RK1 w - -,e2c4
r2q1rk1/pb2npp1/4p2p/2Pp3n/8/3B1N2/PP1N1PPP/R2QR1K1 b - -,h5f4
2r3k1/p2nr2p/1p2pqp1/8/1PPp1P2/3B1Q2/P4RPP/5RK1 b - -,g8g7
r3qr1k/p5b1/1pp5/3p3p/1n1P1Pb1/1N4Pp/1P1Q1P2/R1BR1BK1 b - -,a7a5
q7/2r1pp1k/1p2n1pp/1P1bP3/1B1P1P2/3B3P/1Q3RP1/6K1 b - -,a8a4
r3k1nr/ppp1qppp/2nb4/3p4/3P2b1/3B1N2/PPP2PPP/RNB1QRK1 w kq -,b1d2
rnbqk2r/1p1nbppp/p2p4/2pPpP2/P3P1P1/2N5/2PBB2P/1R1QK1NR b Kkq -,e7g5
2r5/1b2qpkp/pp2p1p1/8/PPrPp3/4P2P/3QNPP1/1RR3K1 b - -,b7d5
r1bqk2r/1p3ppp/p1pb1n2/4p3/4P3/3BB2P/PPP2PP1/RN1Q1RK1 w kq -,b1d2
8/1p6/1Pp1bk1p/p1P5/P6P/2K2P1B/8/8 w - -,h3e6
r1b1k2r/pppp1ppp/3q4/4n3/2P2B2/2Q1P3/PP3PPP/R3KB1R b KQkq -,f7f6
r2q1rk1/Bp2p1bp/3n2p1/2NPp3/5p2/1PQ2N1P/1P2bPP1/R3R1K1 b - -,e2f3
4n1kB/1p2pr1p/p3b1p1/8/2r3P1/1NN2P2/PPP4R/1K1R4 b - -,g8h8
2rr2k1/pp2qpp1/1n4p1/4n3/3RP1P1/P1N1Q2P/BP6/1K1R4 b - -,d8d4
8/1R6/5pk1/1P2p2p/8/4PP2/5PKP/1r6 b - -,g6g5
1r4k1/pp2pp1p/2nr2p1/2NBbb2/5B2/2P5/PP2KPPP/R2R4 w - -,f4e5
rq2r1k1/2p2pbp/1pbpnnp1/pN6/2P1P3/1PN1BPP1/P4Q1P/3RRBK1 b - -,e8f8
5Q2/7k/3p2R1/2pP4/1pP4N/pP5P/n3r3/2K5 w - -,c1d1
7k/pp3pbp/2p3p1/8/5n2/1BPq1P2/PPQ3PP/4B1K1 w - -,c2d2
8/p5B1/4k3/1pK5/8/1PP5/P6n/8 b - -,a7a6
8/3P4/1p1B1b2/p7/P1k5/3p4/8/2K5 b - -,f6d8
rnb2rk1/pp3pp1/3p1q1p/2pP4/2P1Pp2/2PB4/P4PPP/1RQ1NRK1 w - -,f2f3
2r1nrk1/1bqnbppp/p2pp2B/8/1p1NPP2/5BQ1/PPP3PP/1NKRR3 w - -,e1e2
2r1n1k1/5ppp/8/B2b4/2p5/P3R3/5P1P/1R4K1 w - -,a5c3
2r2rk1/1p2ppbp/p2p2p1/P1nP4/2q2P2/2P1BB2/1P4PP/R2Q1R1K b - -,f8e8
3r1nk1/p1qr2pp/3bpp2/2p5/2P1Q2P/BP3NP1/P2R1PK1/3R4 w - -,h4h5
1r3rk1/1q2bppp/2bppn2/pp6/4P3/P1NBBPPP/1PP1Q3/R3R1K1 w - -,e3f2
3r2k1/pb4pp/1p6/4P3/7q/PP6/1B1KQ2P/2RR4 w - -,d2c3
4r1k1/1R6/2pp2p1/3b4/6R1/8/P2K1b1P/8 b - -,d5e4
r2q1rk1/p4pp1/1pn2n1p/2pp4/7B/P1Q1PP2/1PB2P1P/R3K2R w KQ d6,h1g1
rnbqk1nr/pp1pppbp/6p1/8/8/5NP1/PPP1PP1P/RNBQKB1R b KQkq -,b8c6
2krr3/ppp1q2p/6p1/4bp2/1PN5/P3pQ2/2P2PPP/1R1R2K1 w - -,c4e3
4r1k1/1p1b1p1p/p7/P1pP4/6p1/2B1q3/1Q4PP/R6K b - -,g4g3
8/5k1p/3R2p1/5p2/4bP2/3p2P1/7r/4B1K1 b - -,h2e2
8/6pp/4n3/k2p4/P1p2P2/6P1/3N1K1P/8 w - -,d2f3
4r1k1/1p4p1/7R/3q1p2/5p2/8/PP6/1K4Q1 w - -,h6g6
3r1rk1/4bp1p/p3b1p1/8/1P2QB2/q2B2P1/5P1P/3RR1K1 w - -,f4h6
6k1/1pbr2p1/p1p1q3/4pr2/1P5N/2PPB3/1P2QK2/7R w - -,h4f5
r2qr1k1/1bp2ppp/1pnp4/p1bNn3/2P1PB2/P2B3P/1PQ1NPP1/1R3RK1 w - -,c2d2
6k1/p3B1bp/1p6/1N2np2/2P5/2PR1b2/P7/5K2 w - -,d3d8
r1bqrnk1/1p2bppp/2n1p3/p2pP3/3P4/P1N1BN2/1PB1QPPP/R4RK1 w - -,e2d2
r4rk1/3nppbp/q2p2p1/2pP4/2N1PP2/2N5/PPQ3PP/R1B2R1K b - -,a6c4
r3r1k1/3q3p/b1p3p1/p2n2R1/3B4/P1P3P1/5QBP/4R1K1 w - -,h2h4
8/8/3N4/8/5k2/7P/r4p2/4K3 w - -,e1f1
4rnk1/6p1/4p3/6B1/8/5PP1/6Br/2R2K2 b - -,f8h7
8/5kpp/4p3/2NbPp2/1P1r1P2/2RP2P1/1R5P/r5K1 w - -,g1f2
2r5/5pbk/p2n2pp/3N4/q3P3/5P2/6PP/1Q2BR1K w - -,e1g3
8/p1p5/1p3k2/6p1/2r5/P6P/1KP2P2/3R4 w - -,d1d7
r2qk2r/pb1p1ppp/1pn1pn2/2b5/2P1P3/2N2P2/PPN3PP/R1BQKB1R w KQkq -,c1e3
1r1qr1k1/4n1b1/2p4p/p1Np1ppb/P1nP2P1/2B1PP1B/2Q1RN1P/4R2K b - -,f5g4
2r5/Rbb1kp1p/4p3/1P5r/2B2R2/1P3N1P/5PP1/5K2 b - -,c7f4
r2qk2r/ppp2ppp/2nbpn2/3p1bB1/3P4/P4NP1/1PP1PPBP/RN1Q1RK1 b kq -,h7h6
rn2kb1r/pppbpppp/5n2/q7/3P4/2N2P2/PPPB2PP/R2QKBNR w KQkq -,f1c4
r1bq1rk1/pp2npbp/2npp1p1/2p5/4P3/2PP1NP1/PP1N1PBP/R1BQR1K1 b - -,b7b6:b7b5:a8b8
7r/p7/2R2p2/5k2/3b4/B6P/PP3P2/5K2 b - -,h8h3
r1bq1rk1/5pp1/p2p1n1p/npp1p3/4P3/2PPPN1P/PPBN2P1/R2Q1RK1 w - b6,d1e1
rn2k2r/pp1qppbp/3p1np1/2p5/4P3/2P2N2/PP1P1PPP/RNBQR1K1 b kq -,e8g8
1rb2rk1/Qq2ppbp/6p1/4p3/5P2/1P2B3/P1P3PP/2KR1B1R w - -,a7b7
8/p2b3q/2pkp3/1p2N3/3P1Q2/4P1P1/PP6/6K1 w - -,e5g6
1r2r1k1/2np1pp1/3b1n1p/2pP4/2P5/q1NQ1N1P/P2B1PP1/R3R1K1 b - -,e8e1
5rk1/3n1ppp/p1R1p3/1p1n4/1P1N4/P5P1/4PPBP/6K1 b - -,d5b6
5rk1/2Q2p2/2P3p1/1p5p/8/8/q4PP1/4R1K1 w - -,c7d7
5rk1/p1p5/1p1p3p/6p1/2r2P2/P1P2K2/3B3P/5R2 w - g6,f1g1
4rbk1/pp1b1r1p/5pp1/8/3NqB2/1N5P/PP1Q1PP1/3R2K1 w - -,f4e3
3r4/p4pkp/4p1p1/1PR5/3rq3/2Q4P/P4PP1/2R3K1 b - -,g7g8
3r2qk/2R4p/p5p1/6B1/1p5P/5B2/Pb3PP1/5RK1 b - -,d8e8
r3brk1/pp2bppp/3np3/q1ppN3/5P2/1P1PP1N1/PBP3PP/R2Q1RK1 w - -,d1e2
2r3k1/6b1/R1n1b2p/2p1P1p1/2p5/2P1B1P1/6rP/4RNK1 w - -,g1g2
2r4r/1pq1ppk1/p4np1/4R3/5PpP/2N3Q1/PPP3P1/1K5R b - -,e7e6
8/8/6r1/2p1pk2/2P3p1/4K3/2P5/R7 w - -,a1f1
r4rk1/1p1n3p/p2p2p1/2pPppqn/1PP1P3/P1N4P/5PP1/2RQRBK1 b - -,f8f7
1r2r1k1/1p1bqp1p/p2p2p1/P1pPB3/2B1P3/3Q3P/1P2RPP1/R5K1 b - -,e7e5
r3k3/p2nb3/1p1Bp2p/1P1pPp2/3P1P1p/3N3K/1P4P1/R7 b - -,e7d6
8/p3b3/3k1P2/1P6/P5Np/3K1P2/8/8 b - -,e7f8
7r/2b4r/1pBp1kp1/pP2pp1p/2P2P2/P4KP1/7R/4R3 w - -,h2e2
1r2bk2/5ppp/2B1p3/1P6/2R5/1n4P1/N3PP1P/6K1 b - -,b3a5
8/p7/8/1P2p1k1/P6p/3B2P1/5PK1/4b3 b - -,g5g4
3r1bk1/1q3p1p/1p2pnp1/pPr1P3/P1P1N3/1QN5/6PP/2R1R1K1 b - -,f6g4
r5rk/p5qp/2p5/5p2/2bpp3/1P4P1/P1P1QP1P/R3R1K1 w - -,e2c4
3r4/8/2k5/P5p1/2p5/7R/5P2/6K1 w - -,h3c3
6n1/2p1rkpp/1p1p4/3P4/1PRBpPP1/4P2P/8/6K1 b - -,b6b5
1rbq1rk1/1ppnppbp/p2p2p1/n7/P1PPP3/2N1BNP1/1P3PBP/R2Q1RK1 w - -,d1e2
8/4k2p/6p1/1pPbp3/8/P3KPP1/7P/2N5 w - -,c1d3
r1bqk2r/2ppbppp/p1n2n2/1p2p3/4P3/2P2N2/PPBP1PPP/RNBQ1RK1 b kq -,e8g8
1r2r3/1bqn1pbk/p2p1npp/PppPp3/1P2P3/2PB1NNP/4RPP1/1QBR2K1 w - -,c1d2
r1bq1rk1/pp3pbp/2pp1np1/4p3/2Pn4/2NP2P1/PP2PPBP/1RBQNRK1 w - -,e2e3
r1bq1rk1/1pp2pb1/p1np1npp/4p3/B3P3/2PP1N2/PP3PPP/R1BQRNK1 b - -,b7b5
r1b1k2r/pp2pp1p/1npq1npQ/8/3P4/1P4N1/P1P2PPP/2KR1BNR w kq -,c1b2
8/R4nk1/N5pp/1p6/8/2P1KB2/8/r4b2 b - -,f1c4
1r4k1/3q2bp/3p2p1/1NpNn3/2P1P3/5bP1/2QB3P/1R4K1 b - -,f3e2
r3k2r/ppq1bpp1/1np2np1/3p4/P2P4/1QN1P1P1/1P3PBP/R1B2RK1 b kq a3,a8d8
1r1r2k1/2p2ppp/2n3q1/ppn1p1N1/P3P3/2P2PP1/1PQN2KP/R2R4 w - -,a4b5
6k1/p7/1p2p1p1/P3bp2/4q3/2P1N1PP/1P2Q2K/8 w - f6,a5b6
r2qkb1r/pp3ppp/2pp1n2/8/B2pP1b1/3P1P2/PPP3PP/RNBQR1K1 b kq -,g4e6
8/b7/P4p2/2p1k1p1/1rBp4/R2K2P1/4PP2/8 w - -,a3a5
4Q3/6pk/7p/1p4q1/2r5/P1P3PK/7P/5R2 w - -,f1f8
4k3/1p2n2p/3r1p2/pP2p3/P1B1R3/2P3P1/2K4P/8 b - -,e7g6
r2q1rk1/ppp1bppp/1nn5/4p2b/4N3/1BPP1N1P/PP2QPP1/R1B2RK1 b - -,g8h8
6k1/3n1p2/4P1p1/3q2N1/1p1P1Q1P/8/1P3PP1/6K1 b - -,f7e6
5r1k/2R4p/6p1/1p1b4/4P3/4K3/1P4PP/8 w - -,e4d5
rnbq1rk1/pp1p1ppp/4pn2/2p5/1bPP4/2NBPN2/PP3PPP/R1BQK2R b KQ -,c5d4:b4c3:b8c6:d7d5:b7b6
8/1R2b1k1/5pP1/p3r3/2Pp4/P7/2N2Q1K/2q5 w - -,c2d4
3Q1B2/5p1p/1pp1q1k1/8/p3Pb2/P4P2/1P4P1/5K2 w - -,d8d4
8/p1n5/5kP1/2K5/1P2B3/8/8/8 w - -,e4d3:e4b1
8/1pN2k2/3p1n1p/p2PpP1P/2P5/P7/1P2K3/8 b - -,f6h5
r3kb1r/pbpq1ppp/1pn1pn2/8/3P4/P1N1BP1N/1PP3PP/R2QKB1R w KQkq -,f1b5
8/2r1p2k/3p1qp1/p1r4p/5P2/1P2Q1P1/P2R2KP/4R3 w - -,d2e2
4k3/2q1np1p/1pb3r1/PQ6/4p3/1N6/1PPK3P/R2R4 w - -,b5c4
1k6/pp3pp1/4p3/3rN2Q/Pq3P2/6P1/2P4P/2KR4 b - -,b4a3
1rr5/2q3k1/4np2/p3n1p1/P5Pp/4P2P/1N2Q1B1/R3B1K1 w - -,g2e4
rn1q1rk1/pbp2ppp/1p1b1n2/3p4/1P1P4/P1NBPN2/5PPP/R1BQ1RK1 b - b3,b8d7:a7a6:a7a5
r3kb1r/p3pppp/1qp2nb1/2ppN3/6P1/1P1PP2P/PBP2P2/RN1QK2R b KQkq -,f6d7
5brr/k2nq2p/1p2p2P/p3PpP1/PnQP2P1/1B2N3/4KB1R/7R b - -,f5f4
2B5/1P4p1/2K2p1p/k4P2/1r4P1/8/7P/8 w - -,c6c7
2r2bk1/1b1n1pp1/p6p/1p1P4/3N3B/P4P2/1P4PP/1B2R1K1 b - -,d7b6
3q1rk1/2R2ppp/pr2p3/1P2P3/2p2P2/8/N2b1QPP/5RK1 w - -,f2b6
rr4k1/5ppp/1Pp1p1b1/pqbp4/6P1/1P6/PB1QPPBP/3R1RK1 w - -,h2h4
3r4/1p6/p7/P3pkp1/1P1bR2p/4NP1P/2K3P1/8 b - -,f5e6
1r4k1/6q1/p3Q3/2p1R1N1/8/Pp4P1/4KP2/3r4 b - -,g8h8
rnbq1rk1/p3bppp/1pp1pn2/3p4/2PP4/1QN2NP1/PP2PPBP/R1B2RK1 b - -,c8a6
r1bq1rk1/pp2ppbp/2n3p1/3pPn2/3P4/2N1BN2/PP1QBPPP/R3K2R b KQ -,f5e3
6k1/p6p/2p2pp1/4b3/P7/BP3RP1/3R1PKP/3r4 b - -,d1d2
2r2rk1/pb1nqppp/4p3/2p3P1/2BPp3/PP2P1Q1/1B3P1P/R2R2K1 b - -,b7d5
7R/1bk2pr1/p3n2Q/n1qpPB2/Pp6/1P5P/5PP1/2R3K1 b - -,a5c4
rnbqk1nr/1ppp1ppp/4p3/p7/1bPP4/8/PP1BPPPP/RN1QKBNR w KQkq a6,g2g3:b1c3:e2e4:e2e3:g1f3:a2a3
rn1q1rk1/pbp1b1pp/1p1pp3/5p2/2PP4/P2BPN2/1P1QNPPP/R3K2R b KQ -,d8c8
4rr2/p6k/2pp4/8/N1P2q1b/1P1B3Q/P5n1/1K1R4 b - -,h7h6
r2qk2r/pp2Bppp/2ppb1n1/4p3/8/2nP2PP/PPPN1PB1/R2Q1RK1 w kq -,e7d8
N4bnr/pp1kpppp/2n5/4P3/8/3p4/PPbB1PPP/2R1KB1R w K -,h2h4
5rk1/4q2p/3p4/1p1P2p1/3R1p2/1PP1r2P/5QP1/6RK b - -,f4f3
8/8/4p1k1/6P1/5RK1/4rP2/8/8 b - -,e3e1
3r1k2/pp4p1/3bRn1p/1b1P4/1P3q2/PB6/6PP/2RQ2K1 w - -,g2g3
r1bq1nk1/1pp2p1p/5np1/1P2N3/P3P3/2N5/2Q1BPPP/R5K1 b - -,d8d4
r5rk/5p1p/1n4pQ/p1q1p2n/1p2P3/1PpRNP2/P1P2NPP/3R2K1 w - -,f2g4
2rq1rk1/p3bppp/bpn1pn2/8/3P4/P1N1BN2/1PB2PPP/R2QR1K1 w - -,f3e5
6k1/8/7p/ppB5/2b2K1P/P2r1N2/5PP1/8 w - a6,f3e5
r4rk1/p5p1/1p2pq2/3p3p/3P2Q1/P1NN4/1P3PPP/3R2K1 w - -,g4e2
2r5/5p2/p1r1p1kP/1p2P1P1/1P1pPP2/R7/3K4/3B4 b - -,c6c4
6k1/2q2pp1/p2Np2p/1pQn4/4P3/PP3PP1/6KP/8 w - -,c5c7
rnbqk1nr/ppp2pbp/4p1p1/3p4/3PPB2/2N5/PPPQ1PPP/R3KBNR b KQkq -,g8f6
6r1/1K6/6p1/P3R2p/8/R4p1k/4p3/5b2 b - -,h3g2
8/1pr4p/8/R2p2P1/P3k2P/1P6/3K4/8 b - -,c7f7
7r/7P/7R/3kpp2/8/6P1/5PK1/8 b - -,d5e4
2r1k3/p2R3p/1p2p1p1/n5B1/8/6P1/P4PbP/6K1 w - -,d7e7
r1bb4/5rk1/3p2p1/pPpPp2p/2P1B3/1N3PP1/R5K1/R7 b - -,f7a7
r5b1/p3B1k1/3p2Pb/1ppP3P/2P1p3/5r2/PPK5/6RR w - -,e7d6
4r1k1/5r1p/pR1p2p1/2pP4/P2b3q/4PBN1/2QB1PK1/8 b - -,d4e5
4r1k1/r4pp1/2bp1n2/7p/4PP2/2N1R1PP/6B1/4R1K1 w - -,e1d1
r2q1rk1/1pp1bppp/p1np1n2/4p2b/B1P1P3/2NPBN1P/PP3PP1/R2Q1RK1 b - -,a8b8
2br2k1/1pq1rpp1/p6p/2pnP3/4Q3/1BP2N1P/PP3RP1/4R1K1 b - -,d5f6
5k2/5pbp/p3b1p1/4P3/N2N1P2/4P3/P1r3PP/5RK1 b - -,c2a2
r1bqkb1r/1p3ppp/p1n1pn2/2pp4/P4P2/1P2PN2/1BPP2PP/RN1QKB1R w KQkq -,f1e2
2r2bk1/1Q3p2/3pn1pp/8/1p4P1/4N2P/PqP2R2/3KB3 b - -,c8c7
5b2/5p2/pk2pP1p/1Pp1P2P/2K5/8/5N2/8 w - -,b5a6
8/5ppk/2p2np1/2NpQ3/3P2P1/5P2/4P1KP/4q3 w - -,c5d3
2kr3r/1p3bp1/2p2p2/p1b1pP1p/2P1P1n1/PP5P/2B1N1P1/1RB1R2K b - -,d8d7
3r1k2/rp3p2/pR1p4/P1nP1Nq1/4Pnp1/8/2Q1B1PP/5RK1 w - -,b6d6
r1bq1rk1/bp3pp1/p4nnp/4p3/3pP3/1B1PBNNP/PP3PP1/R2QR1K1 w - -,e3d2
4r1k1/1pp2pp1/1p1r3p/3qp3/4Q3/P2P3P/1PP1RPP1/4R1K1 b - -,d5e4
r1bqk2r/1p3ppp/p1p5/8/5Q2/2N5/PPP2PPP/R4RK1 b kq -,e8g8
rn1qk2r/pbpp1pb1/1p2pn1p/3P2p1/2P5/P1N2NB1/1P1QPPPP/R3KB1R b KQkq -,f6h5
2b3k1/1pp2rp1/r2q1n2/p3pP2/2PpP3/3P2R1/PP1B2B1/R2Q2K1 w - -,g2f3
8/R7/p3r1pk/1p1N4/2n2P2/P4K2/8/8 w - -,d5e7
8/p4kRp/8/5b2/r7/P1B4P/6PK/8 b - -,f7e6
5rk1/6p1/p3q2p/3n4/3R2n1/6p1/P3PPQP/2R3K1 w - -,h2g3
r2n1nk1/4qppp/r3p3/pp1pP1NB/b1pP3P/P1P3Q1/R1PB1PP1/R5K1 w - -,a1e1
1r1r2k1/1bq2ppp/pp1p1b2/4pQ2/2P3P1/1P6/PB2PPBP/2RR2K1 b - -,b7c8
2kr1b1r/1p1q2p1/p1n1pppn/2p5/3P2P1/PPp1P2P/1B1NQPB1/R3K2R w KQ -,b2c3
4r1k1/4p2p/1r2Pppb/pP1p4/3Q1qPP/2P2N2/5PK1/R3R3 w - -,a1a5
r2r1nk1/1p2ppb1/n1p3pp/1p6/3PPB2/PBN2P2/1P1R1PKP/3R4 w - -,d4d5
4r3/1pp3k1/pn1b1r1q/5B2/1P1N3N/P5Pb/2QR1P2/2R3K1 b - -,d6g3
r3kb1r/pp1q1ppp/2n1pn2/3p4/3PP3/2N2N2/PP3PPP/R1BQR1K1 b kq -,f8b4
4rk2/1p6/2p3p1/4n2p/3N4/2P2KP1/PP1R4/8 w - -,f3g2
8/8/p4k1p/1pr1pp1p/PR5P/8/1P3PP1/5K2 w - -,a4b5
8/pR4k1/8/6P1/2prn3/8/P4PP1/5K2 b - -,g7g6
r7/1p2q2k/1Q1rn2p/1PB2pp1/4b3/P4NP1/4PPBP/2R3K1 b - -,e6c5
r1b1r2k/4qppp/3p1n2/2pP4/2P2P2/2NB3P/1PQB2PK/5R2 b - -,c8d7
1qr1rbk1/1b1n1p1p/p1p3p1/1p1pP2n/P2P4/1P3N1P/1BQN1PP1/3RRBK1 w - -,f3g5
r2q1rk1/pn3pp1/1p3b2/7p/1P1p1BN1/6P1/P1R1PP1P/3Q1RK1 w - h6,g4e5
4r1k1/p2b1p2/1p1p1Bp1/2pP2P1/2P1q3/6QP/P5P1/5RK1 b - -,d7f5
8/8/P1R4P/8/3k4/3b4/r4P2/4K3 w - -,f2f4
r2qr1k1/1pp1nppp/3p1n2/p4P2/2B2P2/P1NQ2R1/1PP4P/R5K1 w - -,g1f2
8/n1P2k2/1p1B2p1/1P1K1p1p/5P2/6P1/7P/8 b - -,f7f6
2bqr1k1/r5bp/pp1pN1p1/2pPnp1n/PP6/2N3P1/3BPPBP/1RQ2RK1 b - -,d8e7
8/8/7R/3pK2p/7k/7P/8/3r4 b - -,d1d3
r4rk1/p2bbppp/1qn1p3/1p1pP1B1/3P4/3B1N2/PP3PPP/2RQ1RK1 b - -,e7g5
2r1k2r/3nbp1n/ppq1p1pB/4P3/3NN1P1/P7/1P4QP/1K1RR3 b k -,c6a8
8/8/p7/P2n1kpp/8/1P3KPP/2N5/8 w - -,c2e3
3k2r1/6p1/p2PPpN1/5P2/2p2B2/6K1/2p5/8 w - -,f4c1
r3k2r/pb1p1ppp/1p2p3/8/1PPN4/P5P1/4PPBP/2R1K2R b Kkq -,b7g2
