8/p7/5n1P/5k2/B4p2/5K2/8/8 b - -,f5g5
r1bqrbk1/pp3ppp/2np1n2/1Np5/4PP2/2N2B2/PPP3PP/R1BQ1RK1 w - -,e4e5
8/8/4k3/7R/5pK1/6bP/2rN2P1/8 w - -,h5h6
5r2/1b1Bp1k1/4P2p/p2p1Qp1/1p6/1Pq4P/P4PP1/3R2K1 w - -,f5g4
5r2/p3R3/1k1p2P1/3P1r2/8/2p5/PP6/1KR5 b - -,f5f1
2n1r1k1/5pb1/1p2b1p1/2p1p1Pp/N1P1Pn2/8/PPK2P2/2BR1BN1 w - h6,g5h6
rnbq1rk1/1p2ppbp/p1pp1np1/8/2PPP3/2N1BP2/PP2B1PP/R2QK1NR w KQ -,d1d2
r3k2r/pp1b1p2/4p3/2P1n2p/8/P1NB4/2P2PPP/R3K2R b KQkq -,a8c8
r3k1nr/pp3ppp/2n1p3/q2P4/1b4b1/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,a8d8
r1b2rk1/p4ppp/1qp1p3/4P3/3b4/P5Q1/1P2BPPP/R1B2RK1 b - -,b6b8
1r3rk1/pppqnp1p/2b2bp1/4p3/3PP3/1P4PP/P3NPBK/R1BQ1R2 w - -,d4d5
1brq1rk1/pp1bnppp/3p1n2/3Pp3/PP6/1QNBP1N1/2RB1PPP/2R3K1 w - -,a4a5
8/p1R3p1/5pk1/8/7P/4P1K1/5P2/r7 w - -,g3f4
2r3k1/q3bpp1/4pn1p/3rB3/1p3P2/1P3Q2/1N4PP/4RR1K w - -,b2c4
3R4/5pk1/1p3rp1/7p/5P1P/1P2K1P1/8/8 b - -,f6c6
r7/P2k3p/2p3p1/K2p1p2/1P1P4/3B1P1P/6P1/8 w - -,a5b6
r1bq1rk1/1pp2ppp/pbnp1n2/4p3/PPB1P3/1QPP1N2/5PPP/RNB2RK1 b - -,c6e7
8/p5k1/P1R4p/1P4p1/2Nb2P1/2r5/7K/8 b - -,g7h7
8/1p6/2p2b2/p4pk1/P1P1p1Pp/1P5P/4K1B1/8 b - -,f5g4
5R2/1p6/2p3pk/4Rb2/8/r7/2P5/5K2 w - -,e5c5
1n1r2k1/1NN1q1bp/1P4p1/3Pp2n/b3Pp2/5P1P/r3BBP1/1R2QRK1 b - -,d8c8
1r6/5k1p/5p2/1B1P4/P5b1/6b1/1P1R1R2/7K b - -,g3f2
7R/8/8/4k3/6p1/5P1p/r4K2/8 w - -,f2g1
8/8/P1K2k2/6p1/3b2P1/4p3/8/3B4 w - -,c6d6
rn1qkb1r/pp2pp1p/2p1bnp1/8/2QP1B2/5N2/PP2PPPP/RN2KB1R w KQkq -,c4c2
8/4ppk1/8/2QPb1p1/4PqB1/3K1P2/2R2B1r/8 b - -,h2h1
r1bqk2r/p1pn1p2/1p1pp2p/6p1/2PPn3/P4NB1/1PQ1PPPP/R3KB1R b KQkq -,c8b7
2rrb1k1/p3bppp/1p2pn2/2n1N3/8/2N1B1P1/PP2PPBP/3R1RK1 w - -,d1d8
r1bq1rk1/1p1nb1pp/p2p4/3Ppp2/2P5/2N2P2/PP2B1PP/1RBQ1RK1 b - -,b7b6
r2qk2r/p1p1bpp1/1p1p1n1p/4p2b/4P1P1/1P1PBN1P/1PP1NP2/R2QK2R b KQkq g3,h5g6
r1b2rk1/2p2ppp/4p3/p1qpP3/8/5N2/PPPQ1PPP/R4RK1 w - -,b2b3
r2q1rk1/1p1bppbp/p1np2p1/3Nn3/3NP3/2P3P1/PP3PBP/R1BQ1RK1 w - -,h2h3
r1b2rk1/ppp1bppp/4q3/nP2p3/2P5/3P1N2/P2B1PPP/RN1Q1RK1 b - -,b7b6
8/6k1/5n1p/p1R2P2/2P4P/r4B2/5PK1/8 b - -,a3c3
r2qr1k1/ppn3pp/2bp4/5p2/1P2nN2/P4PP1/2Q1P1BP/R1BR2K1 b - -,e4f6
r1bq1rk1/2n1ppbp/pp1p1np1/2pP4/P3P3/2N4P/1PPNBPP1/R1BQ1RK1 w - -,f2f4
4BR2/n1k3r1/4p3/pp1pPp2/2pP4/P1P5/2P1KP2/8 w - -,e8f7
4r1r1/2PQ4/4p1k1/p3P3/1p4Kp/1P6/P5P1/8 w - -,d7c6
1qr1r1k1/pb2pp2/1p1pn1pb/1Nn2P2/2P1P2p/1P2BBN1/P2Q2PP/4RRK1 b - -,h6e3
6k1/2r3p1/7p/8/R1PK4/8/6PP/8 b - -,c7d7
8/8/p2k4/2n5/2K5/1p6/6PP/R7 b - -,d6c6
8/r5pk/1Np4p/q6P/4pP2/3bP3/1Q3K2/6R1 b - -,a5h5
r5k1/pp3pp1/5q1p/8/5B2/3Q2P1/P3rP1P/2Rn2K1 w - -,d3e2
3r4/4k2p/p2pp1p1/2r1p2n/pPP1P3/3RNP2/1K4PP/3R4 b - -,d8b8
r3kb1r/pp1qpp1p/2n3p1/3n4/3P4/2N2N2/PP3PPP/R1BQ1RK1 b kq -,f8g7
5r2/5n2/1p1pRkp1/pNp2N1p/P1P4P/1P1n2P1/5PK1/1R6 b - -,f6e6
8/1r1k2pp/4p3/p1BrPp2/1PR2P1P/6P1/6K1/8 b - -,b7c7
8/4Bn2/8/pk1p2p1/3P4/1K6/8/8 b - -,a5a4
rnb2rk1/ppq1ppbp/2pp1np1/8/2P5/2NP1NP1/PP2PPBP/1RBQ1RK1 b - -,b8d7
5rk1/prqb2bp/1p3pp1/2pPP3/4P3/2P1B3/P2QN1PP/1R3R1K b - -,c7e5
6k1/1pq2rp1/3p3p/6b1/3B4/2R1P2P/PQ4P1/6K1 b - -,c7e7
5n2/1pkn4/1p1p1P2/r2P4/4N3/P3K3/1B6/2R5 b - -,d7c5
8/8/p1R3p1/k1p4p/P1p2P1P/5r2/1KP5/8 w - -,c6g6
r4rk1/4b2p/p1bpp1p1/2p3P1/1pPqP1P1/4B1QP/PP5K/3NRR2 b - -,d4c4
r1b1k2r/1pqp1ppp/p1n1pn2/8/1b1NP3/2NBB3/PPP1QPPP/R3K2R w KQkq -,e1g1
2rqk2r/pp2ppbp/2npbnp1/8/2P1P3/4N3/PP2BPPP/RNBQ1RK1 w k -,b1c3
3r1k2/5p1p/3qpp2/8/5P2/Qn5P/4B1P1/R6K b - -,b3a1
8/8/8/8/8/2R3Pk/2RK4/5q2 b - -,f1f2
8/p1n1p1kp/4P1p1/3P1p2/1r6/1B1RB1P1/1b3P1P/6K1 w - -,e3a7
8/8/8/2r1B3/4K3/R7/4k3/8 b - -,c5c4
1r3rk1/2q2pbp/4pnp1/1p6/1Q3B2/2P4P/1P2BPP1/3RR1K1 b - -,e6e5
4r3/1p1n2p1/b2Bppk1/P3P2p/3R1P2/2Rp2PP/3K4/8 b - -,f6e5
2r1r1k1/1bqn1ppp/pp1b1n2/2pp1Q2/3P4/PPN1PN1P/1B2BPP1/2RR2K1 b - -,c5c4
8/p1r4p/B2n2p1/3k1p2/P1pP4/4K2P/6P1/2R5 b - -,g6g5
r4n2/pp3pk1/2pb1np1/3p3p/3P1N1P/2PN1PP1/PP1BRK2/8 b - -,f8d7
6rk/pp3p2/2p1pprp/q7/3P3Q/2PP2R1/P4PPP/2R3K1 w - -,h4f4
r3r2b/1p1q1k1p/3pPpp1/p1n5/2P2QPP/1PB1RP2/P7/4RB1K b - -,e8e6
r1bqk2r/p2n1ppp/1ppb1n2/3p4/3P4/1QN2NP1/PP1BPPBP/R3K2R w KQkq -,b3a4
2r3k1/ppnrbpp1/2p1p1p1/q7/P1BPPB2/2P4Q/5PPP/R2R2K1 w - -,f4c7
6k1/p1r2p2/1n2p1p1/R7/8/P7/KP3B1P/8 w - -,f2g3
1qr2rk1/1b1n1pbp/pp1ppnp1/8/P2PP3/1P3N2/1B3PPP/RB1QRNK1 b - -,f8d8
2B5/6p1/3k4/r7/7p/1P2P2P/4K3/8 b - -,a5b5
r3rbk1/3b1p1p/2Np2p1/pq1Pn3/8/4B1PP/Q3PPB1/1R3RK1 b - -,b5c4
q4rk1/3nppbp/r2p1np1/2pP4/P3P3/2N2N2/1P1B1PPP/R2Q1RK1 b - -,c5c4
rn2b1k1/1pq2pbp/p2p2p1/2pP2B1/P7/2PB1N1P/1P2QPP1/R5K1 w - -,e2e8
3r4/5p1p/1p1pp1p1/p1b2k2/P1P2P2/1P3P1P/6K1/3RR3 w - -,e1e4
8/2qnb1kp/p2p2p1/2pPp3/2P1Pp2/QPN2N2/5PPP/6K1 b - -,c7b6
1r2r1k1/p2nq1b1/1p3p1p/3pp1p1/P2P1P2/2PN2P1/1P1NQ1P1/R3R1K1 w - -,f4e5
2b3k1/1p3p1p/2p2bp1/r2p4/P2Pr3/R3P3/3NBPPP/1R3K2 b - -,e4e8
8/pp3pb1/2p1k3/7p/4KP2/2P1N1P1/PP6/8 b - f3,g7f8
r2qk2r/1p2bppp/p1n1pn2/3pN3/3P1B2/2N1P3/PP2QPPP/R4RK1 b kq -,a8c8
1nr1r1k1/1b2qp2/1ppb2p1/p2p2np/P2P4/1P2P1P1/N1RN1P1P/R1Q1BBK1 w - -,c1d1
5r2/8/3kP3/8/1P3N2/1K2N1p1/8/8 w - -,e3c4
2r2rk1/1b1nqpbp/pp1p1np1/4p3/2P1PP2/1PN3P1/PBN1Q1BP/R2R2K1 b - -,e5f4
r1br2k1/pp3ppp/5n2/4n3/4p3/2P1P3/P2NBPPP/R1B2RK1 b - -,c8e6
6k1/p3rr2/8/3Qp2p/2P3pP/8/P5PK/8 w - -,d5e4
4r1k1/1n2r1bp/5p2/1N1p1P2/1P2n1PB/4R3/5NK1/4R3 w - -,b5c3
1k4rr/pbpQ4/1p5p/2qPp1p1/8/2Nn1NPP/PP4BK/1R6 b - -,d3e1
r2r2k1/pp3ppp/2bq4/8/3P2Q1/P1N5/1n3PPP/1R2RBK1 b - -,b2a4
r2q1r1k/2p1n1b1/p2p4/1n5Q/Np1Pb3/1P1B2BP/P4PP1/5RK1 b - -,h8g8
8/5ppk/7q/p1b5/P4P2/1P1R2QB/2n4P/7K w - -,d3c3
8/pp4p1/4p1k1/3rP2p/3P1R2/1P3KP1/P6P/8 b - -,d5a5
r1bqkbnr/pp3ppp/2np4/1B2p3/3QP3/5N2/PPP2PPP/RNB1K2R w KQkq e6,d4d3
r2q1r2/2p1bpk1/p3pp1p/8/bpnP4/1B2PN2/PP3PPP/2RRQ1K1 w - -,c1c4
8/5kp1/7p/4p1P1/1r2P3/2R2PK1/8/8 b - -,h6g5
r1bqkb1r/p2n1ppp/1p2pn2/2p5/2Q5/5NP1/PP1PPPBP/RNB2RK1 w kq -,f3g5:b1c3:b2b3
6r1/1p3k1p/p3p3/7p/2P5/7P/PP1K2P1/4R3 w - -,e1e2
8/2k5/P7/1P3K2/n5P1/8/8/8 b - -,a4c3
N1k4r/pp3p1p/4pq2/2P5/2Pn1p2/P4BPb/5K1P/R2Q3R b - -,f4g3
r1bqrnk1/pp3ppp/3p1n2/2pPp3/2P1P3/P1PB4/2Q1NPPP/R1B2RK1 w - -,h2h3
5k2/p7/1p5R/1PpB3P/2Pb1p2/3P1K2/5r2/8 w - -,f3g4
r5r1/pp4kp/3N2n1/2R5/8/8/PPP5/4R2K b - -,b7b6
2R1k1r1/3nb3/1p2p3/1q2P3/3P2p1/P5P1/1B3P2/3Q2K1 b - -,e7d8
2r3k1/5p1p/5qp1/1pN2n2/1P1r4/3R1PP1/4R1KP/3Q4 w - -,d3d4
8/p4p1p/1p2bkp1/8/1Pr3PP/P1pR1P2/8/2K1R3 w - -,e1e3
r4rk1/pb1nqpbp/1p1p1np1/8/2PPp3/P1N4P/1PQNBPPB/3R1RK1 b - -,f8c8
rnbqkbnr/pp2pppp/2p5/3p4/4P3/1P6/P1PP1PPP/RNBQKBNR w KQkq d6,c1b2:e4e5
4r1k1/pp4p1/3p2Pn/5P2/3p4/6NP/PP5K/3R4 b - -,e8e5
8/7p/2b4P/1p1pkPp1/p5K1/P1P5/1P4B1/8 b - -,e5f6
rn2k2r/pq2bppp/1pp1p3/3nN3/3P4/6P1/P1Q1PPBP/1RB2RK1 w kq -,e2e4
2r1r1k1/p1qn1pp1/1p1p3p/3P1B2/P1b2B2/2P3P1/3Q1P1P/1R2R1K1 b - -,c8d8
2rqnrk1/pp3ppp/2np4/8/4PRb1/1NP4P/PP1N2P1/R2Q2K1 w - -,d1g4
3r1rk1/1q4pp/p2p4/1b1P1p2/4p3/1PP2B2/R2Q1PPP/R5K1 w - -,f3d1
3r4/5p1p/pp4p1/2p2k2/P6N/1Pb1P1PP/3pKP2/3R4 b - -,f5f6
4r3/ppp3k1/5pp1/3n3p/2P2P2/7P/P3nNPK/2B3R1 b - -,e2g1
r4rk1/pb1nqpp1/1p1p1n1p/2P1p3/2PP4/PQ3NP1/1B2PPBP/R4RK1 b - -,e5d4
rq2rb1k/1p1n1ppp/n1ppb3/p7/P2BPN2/2N2PQP/BPP3P1/R2R2K1 b - -,e6a2
r4rk1/1q1n1ppp/p2b1n2/P2ppPB1/8/2NB4/1P2QPPP/R2R2K1 w - -,d3b1
rq2kb1r/pb3ppp/1p2pn2/1Nn3B1/N3P3/P7/1PQ2PPP/2KR1B1R w kq -,b5a7
8/4n1p1/5pb1/2k1p2p/2p1PP1P/1pP1K1P1/1P4N1/3B4 w - -,g2e1
r1b2rk1/pp2bppp/1qp1p3/4B3/4Q3/1B5P/PPP2PP1/3R1RK1 b - -,f8d8
rn1qkbnr/ppp1pppp/8/1Q3b2/8/1P3p2/PBPP2PP/RN2KBNR b KQkq -,f5d7
r2q1rk1/pbpnnpb1/1p1pp2p/8/2PPP1pP/2NBB3/PP1Q1PPN/R3R1K1 b - -,h6h5
2q2rk1/5ppp/4pb2/Q7/pPp1P3/8/4BPPP/3R2K1 b - -,c8a8
2r2rk1/p6p/1q2b3/1P1p2p1/4p3/6P1/Q2R2BP/4R2K b - -,d5d4
8/3q2pk/p2Bp2p/1p2Pp1P/8/PP4Q1/7K/8 b - -,d7f7
8/7R/1p1k4/p7/5rP1/P5pK/1P6/8 w - -,h3g3
3qkb1r/rp3ppp/p3pn2/3pnb2/3P1B2/1QN1P3/PP3PPP/2R1KB1R w Kk -,f4e5
1nr1kb1r/pp1qp2p/4Rpp1/3P3n/8/2N2N2/PP1BQPPP/R5K1 b k -,h5g7
6n1/5q1k/6p1/8/1P2PP1p/4R2P/r2QN1PK/8 w - -,d2d5
4r1k1/qp3pp1/3Qbn2/8/6p1/pP2N1P1/P3PPBP/2R3K1 w - -,d6b4
3r1r1k/1p1bb2p/pqp1pp2/8/4NPQ1/1PB5/P1P3PP/3RR2K b - -,d7c8
4r1k1/1p3pbp/p1p3p1/2P5/P3P1n1/1R1r2P1/4NPB1/R5K1 w - -,b3d3
5N2/2r5/6p1/5k2/3b1p2/5P1P/4R1K1/8 b - -,c7c1
4r1kr/p4qp1/2Q1pn1p/3p4/3P4/1P5B/P1P5/1K1R3R b - -,f7d7
rnq2r1k/pp1nb3/2p3p1/2P1pPp1/3P4/1QN1BB1P/PP3P2/3RR1K1 b - -,g6f5
8/q4k2/3ppp2/K2P3p/1P2P3/3Q1P2/8/8 w - -,a5b5
r1b1k2r/pp2qpb1/1np1p1pp/8/2pP1P2/2N1P1P1/PP1N2BP/R2Q1RK1 w kq -,c3e4
8/p7/2K1nkP1/8/1P6/3B4/8/8 w - -,c6b7
2k5/p1p1pp1p/6p1/4P3/2P2P2/2P3P1/P3R1KP/2r5 b - -,c1c3
4n3/3k2pp/1p1bp3/1p2p3/pP2P3/2RN1P2/3K2PP/8 b - -,e8c7
8/8/p3p1k1/1p1pB3/3P1P2/1P2bK2/P7/8 b - -,e3d2
r1bqk1nr/pp2ppbp/3p2p1/2p5/3nPP2/2NPB1P1/PPP3BP/R2QK1NR b KQkq f3,e7e6
r1b1k3/ppp2pQ1/8/3pRP1r/3P4/2Pq2P1/PP3PKP/7R b q -,c8e6
7r/6p1/3b1p1p/1ppk3P/5P2/2B3P1/1PP1R3/2K5 w - -,b2b3
1k6/p4pp1/1pp1p2p/3nP2P/2P2PP1/3Q4/PP1B4/3K2q1 w - -,d1c2
3r2k1/1bqn1p1p/p2pr1p1/1p2b2n/2p1P3/2P1BP1P/PPBQN1PN/R4RK1 w - -,h2g4
r1bq1rk1/pp2pnbp/n1p2pp1/3P4/3P4/3B1N1P/PPP1NPP1/R1BQR1K1 b - -,c6d5
8/2r4p/p4kp1/1p6/3p4/P5P1/1PP1RK1P/8 b - -,c7d7
1r3rk1/3bp1bp/p2q4/2pP1pp1/2P1pP2/N3B2P/PP3QP1/1R3RK1 b - -,g5f4
rr4k1/2PR1ppp/5p2/8/3P4/pq4P1/3Q1P1P/5RK1 b - -,b8e8
8/6pp/4kp2/1p2p2P/1P6/2K1BP2/6P1/5b2 b - -,f1g2
r1b2q2/pp1n2rk/3Q3p/1p1pNp2/3P1P2/8/P4PBP/4R1RK w - -,d6f8
1rbq1r2/pp2n1kp/2n1p1p1/2pP1p2/8/2PPN1P1/PP1QNPBP/R4RK1 b - -,e6d5
1rb1r1k1/p1p2p1p/2pp1p2/2b5/2B1P2P/2N2P2/PPP3P1/2KR3R w - -,g2g4
r1k1r3/p1p2ppp/1p6/8/8/PKP1BN2/6PP/4R3 w - -,e3d4
4R3/8/p4b2/3p1k2/1P3P2/4B3/P1K4r/8 w - -,e3d2
r1b1k2r/1pqnbppp/p2ppn2/8/2PNP3/P1N1B3/1P2BPPP/R2QK2R w KQkq -,e1g1
2rr2k1/p2qppbp/bpnp2p1/1N1N2B1/2P1P3/1P3P2/P2Q2PP/3RR1K1 b - -,d8e8
1r4k1/1r3p1p/4pqp1/1NQ1b3/P7/6P1/R3PPKP/2R5 b - -,b7b5
