8/6k1/3np1pp/8/6PP/6K1/8/5R2 w - -,g3f4
r1b1r3/ppk5/1n3p2/3p2pp/2pP4/2P1P1PP/P4KP1/R1RB2N1 b - -,e8h8
2n3k1/1n3ppp/4p3/8/p2N4/4PP2/1P2B1PP/6K1 w - -,d4b5
2rq1rk1/4bppp/p1n1bn2/1pNp4/3PpN1P/4P1P1/PP1BBP2/2RQK2R b K -,e7c5
2r1r1k1/p4pbp/P1p1n1p1/1p1pPP2/1N1P2P1/1B6/1PP5/1K1R3R b - -,e6g5
2b4r/8/pr2pk1p/3p3R/RP6/3B2P1/2P2K2/8 b - -,e6e5
r1br2k1/ppq2pb1/2n1p1pp/2p4n/P3P1N1/2P2N2/BPQ2PP1/R1B1K2R b KQ -,b7b6
6k1/5p2/P6p/6p1/4PP2/4K3/4B3/r7 b - -,a1a3
2r3k1/1bq2ppp/p4n2/1p1p4/3N4/P2Q2PP/1P2PPB1/4R1K1 w - -,e2e3
3b4/p7/2k5/4R1p1/PPP1N2p/5rPP/5P2/2K5 b - a3,a7a6
rn1qk2r/p2pbppp/bp1P4/4p3/5N2/P1N1P3/1P1Q1PPP/R3KB1R b KQkq -,e5f4
8/8/5NKp/2k3p1/P7/1P2n1P1/7P/8 w - -,g6h6
r1bq1rk1/1ppn2bp/p7/4ppN1/2Pn4/2NQB1P1/PP3PBP/R4RK1 w - -,c4c5
3qk2r/pp2Bpp1/4p1p1/nP1n4/3P2P1/P1Q4P/4BP2/R4RK1 b k -,d5c3
1n1r1rk1/pb2q1pp/1p2pb2/2p2p2/2P4P/P1B1PNP1/1PQ2PB1/2RR2K1 b - -,b7e4
6RQ/1p2qpn1/2p1p1kp/4P1p1/3r4/6P1/5P1P/R5K1 b - -,f7f6
1k1r3r/ppp1b1pp/2n2pb1/q3p3/P1B3Q1/B1PP1N1P/2P2PP1/R3R1K1 w - -,e1b1
4r1k1/p1R3bp/3B2p1/3p1p2/3q4/1Q5P/P4PP1/2R1r1K1 w - -,c1e1
r1bqr1k1/5pbp/pn1p1np1/2pP4/1pB1PP2/1P4NP/PBQN2P1/4RRK1 b - -,c8d7
2rb3k/pp4pp/1q2ppn1/1P1pP3/P2P1P2/2rb1NN1/1R1Q2PP/R2B2K1 b - -,f6e5
r4rk1/1p2pp1p/3p1bp1/p1nP4/1qP5/1P3P2/P2BB1PP/2R1QRK1 b - -,b4b6
2r5/5ppk/2q1p2p/P2pP3/2rPb3/R1B5/3Q3P/2R3K1 b - -,c6a6
1r6/2kn3p/R1pb1pp1/1p2p3/p3PP2/P1PNBKP1/1P5P/8 w - -,f3g4
8/2r2p1p/1RPnp3/3k4/1P3Kp1/N7/7P/8 w - -,b4b5
2r2rk1/pbq1bppp/1pn1pn2/2pp4/2PP4/1PNBPN2/PB2QPPP/2R2RK1 w - -,c4d5
8/8/4p3/Bp5k/1P6/3K4/r7/2R5 b - -,h5g6
8/4k3/p1q2p2/1pnR3Q/5P2/4r1P1/PB5P/6K1 b - -,c6e6
3q2k1/pp3pp1/2p2n1p/8/2B3P1/P3PQ1P/1P3P2/6K1 w - -,g1g2
3r4/1qR2pk1/4pRp1/p3P1Pp/3P2nP/1r6/Q5P1/B5K1 b - -,b3b1
rn1qk2r/3p2pp/p3p3/2b5/QpP5/6P1/PP3P1P/R1B1R1K1 w kq -,e1e6
8/p1q5/2p1k3/1p3pp1/1P1Pp2p/1Q2P2P/P4PP1/6K1 b - -,e6f6
2r1r1k1/1q2bp1p/pp2p1pB/n3N2n/3PN3/4Q3/PP3PPP/2RR2K1 b - -,b7d5
r1bq1rk1/pp2bppp/2n1p3/3n4/8/1N1B1N2/PPP1QPPP/R1BR2K1 b - -,d8c7
6k1/1pQ2p1p/2n1p1p1/p2q4/P1NP4/1P5P/5PP1/6K1 b - -,d5d4
8/2q3rk/p2p1Rr1/1ppB2bp/4Q3/3P2PP/PPP4K/3R4 w - -,f6g6
r1b3k1/pp3ppp/1qp5/4Q3/4n3/1P4P1/P2NrP1P/R4RK1 b - -,e4g3
r2q1rk1/pbn1bppp/1p6/2npP3/3N4/4Q1P1/PP3PBP/R1BR1NK1 w - -,b2b3
2b1k3/5r1p/2p1p3/2PpBp2/1r3P2/3P2RP/4R3/7K w - -,e2a2
rn1q1rk1/1b2bppp/pp1ppn2/8/Q1P2B2/2N2NP1/PP2PPBP/R2R2K1 w - -,f3g5
r2r2k1/p1p2qpp/1pn1bn2/2P2p2/4p3/BNP3P1/P1Q1PPBP/R4RK1 w - -,c5b6
knr4r/p2qbppp/P3p3/RpPpP3/1P1N4/4BP2/3Q2PP/5RK1 b - -,b8c6
nr2k2r/1pR2ppp/p3b3/2Pp4/5B2/5P1N/PP3KPP/4R3 w k -,c7f7
5rk1/5p2/6pp/1B2n3/6P1/1Nb4P/P1P5/2K4R b - -,f7f5
r1bq1rk1/ppp2p2/2np3p/1Bb1p1pn/4P3/2PP1NB1/PP1N1PPP/R2Q1RK1 b - -,h5g3
2R5/1p1rr1pk/p3p1bp/3pQ3/7P/P4BP1/1P1qPPK1/2R5 b - -,e7e8
4r1k1/pp3nqp/2ppbbp1/8/2P1pP2/1P4PP/P1Q1N1BK/3R1R2 w - -,c2e4
2k4r/ppprppbp/3n2p1/3P4/5B2/1PN2KP1/P4P1P/2R2R2 w - -,c1c2
3R4/1p6/p6R/n3p1pP/1r2k3/8/8/3K4 w - -,d8d7
2r2rk1/p2nb1pp/1qp2pb1/3pp3/1P1P4/P1Q1PPB1/1N2N1PP/2R2RK1 w - -,g3f2
3r1rk1/4qbpn/2p2p1p/2b1pP2/P3P2P/5QP1/6BK/1RB2RN1 w - -,f3c3
2rq1rk1/3p1pb1/ppn1p1pp/2p5/2P2P2/P1NP2P1/1P1Q1PBP/1R2R1K1 b - -,a6a5
r1b2rk1/pp2ppbp/1q4p1/n2pP1B1/3P4/2P2N1P/P4PP1/R2QRBK1 b - -,b6c7
3r1rk1/pbq3bp/1pnpp1p1/2p2n2/2PPNP2/1P4P1/P2QNBBP/2RR2K1 w - -,d4d5
8/8/n1kBp1pp/4Pp2/2P2P1P/2K3P1/8/8 b - -,c6b6
2b1r3/1pr3k1/pR2p1p1/P1PpN2p/3P1P1P/2P1R1K1/8/8 w - -,b6d6
r1bqnrk1/pn4b1/1p1p3p/2pPpp2/1PP5/P1N2N1P/2Q1BPP1/1RB2R1K b - -,g8h8
8/2K5/1P3k2/8/2B1b2P/8/8/8 w - -,c4b5
5k2/p5pp/4p3/4Q3/1q5P/1r4P1/6B1/2R3K1 w - -,c1c8
5k2/p5Rp/1p2p2P/2b1npp1/2N1bP2/1P4P1/P6K/8 w - -,c4e5
q1b1r3/r4pkp/p4np1/Q1PNp3/1P2P3/8/4B1PP/1R1R2K1 b - -,f6d5
1Q6/6pk/2p1p2p/b1Pp4/3PNP2/4P1PP/4q3/6K1 b - -,d5e4
5rk1/2R2p1p/p2QpP2/3bP1K1/6P1/4q3/4p2P/4R3 w - -,g5h4
r1b2rk1/pp3pbp/2p3p1/B3p1q1/Q7/3PP1P1/PP3PBP/2RR2K1 w - -,a4b3
3rr1k1/pp2b1p1/1qp1p2p/3nPp2/2P1N3/P4NPP/1P2QP2/R3R1K1 w - f6,e5f6
r3rbk1/1pqn1ppp/2p5/4pP1n/p3P3/P3B2P/1PPN1PBK/3RQR2 b - -,h5f4
8/p1p1k3/1pp5/8/5PK1/PP1n4/5B2/8 w - -,f2h4
r1b2qk1/ppp1br1p/3p2p1/2nPp1P1/1PP1P3/4BP2/P2QBN2/2K3RR b - b3,c5a4
r1bq1rk1/pp2bppp/2n1pn2/2p5/3pP1P1/1P1P1N2/PBPN1P1P/R2QKBR1 b Q -,d8c7
Q7/8/1K6/4p1pp/8/5P1k/8/8 w - -,a8e4
r2qn1k1/ppr3bp/4bp2/1P2p1pP/P2pP3/3P2P1/3B1PBN/R2QR1K1 w - -,g2f3
3rr1k1/pp1q1pb1/2n3pp/P1pnp3/8/1QPP2PP/1P1N1P2/R1B1RBK1 b - -,g8h7
8/8/2pK4/1p3k2/4b1p1/PR4P1/8/8 b - -,e4f3
r1b1k2r/pp1nqpb1/2pp1npp/4p3/3PPPP1/2N1B2P/PPPQN1B1/R3K2R b KQkq -,d7b6
4r3/1b3p1k/p4np1/8/PpPp1q2/1P1Q3P/2BN1PP1/3R2K1 b - -,f6h5
8/5pkp/3r2p1/1p1Pp1PP/2r5/1K1RP3/P7/7R b - -,g6h5
2kr1b1r/1bq3pp/p3pn2/1p6/2p1P3/2N5/PPB1QPPP/R1B2RK1 w - -,e4e5
r2r2k1/1p5p/3b2p1/1P2Q3/p1q1PN2/5P2/6PP/2RR3K w - -,e5e6
rnb2rk1/1p2ppbp/p2p1np1/q7/P3PP2/2NBBN2/1PP1Q1PP/R3K2R w KQ -,e1g1
r3r1k1/p5p1/1p3np1/2p2p2/2P5/2qP1Q1P/P3N1P1/1R2RB1K b - -,c3c2
4rr1k/1b1n1pnP/4p1q1/1pppP1N1/p2P1Q2/2P3PB/PP3P2/3RR1K1 w - -,e1e3
6k1/2p3pp/2n5/1p6/1P1r4/R2N3P/1P3PP1/6K1 w - -,a3b3
2r5/4kppp/p2n4/1p2p3/8/2P5/PP2NPPP/3R1K2 w - -,f2f4
r4rk1/3qppb1/pnpp2pp/4Pb2/3P3B/P1Q2N1P/BP3PP1/3RR1K1 b - -,b6d5
2kr1b1r/pppq1ppp/2n5/4pbN1/2P5/3P4/PP2BPPP/R1BQ1RK1 w - -,c1e3
8/1p4pp/1b2k3/p2npp2/2n5/1N1N1PP1/PP2K2P/4B3 w - -,b3d2
1r1q1rk1/1b3ppp/p2b1n2/1pnp4/8/1PNBPN1P/PB2QPP1/2R2RK1 w - -,f1d1
3qr1k1/pb3p1p/n2p2p1/Q2P4/2R1N3/1N5P/1P3PP1/6K1 w - -,a5c3
r1b2rk1/p2pqppp/1pn1pn2/2P5/8/2N1QN2/PP2BPPP/R2R2K1 w - -,c5b6
4rnk1/1b2qp1p/r1p2p2/4p3/1PPP4/2B1Q1P1/5PBP/2RR2K1 b - -,b7c8
5rk1/1ppqr1p1/p2p1p1p/3P1n2/5PQ1/1P1R4/PBP4P/2K3R1 w - -,d3h3
8/pn1k4/1p2p3/1PP1Pp2/N2K1P2/4N1P1/4b3/8 b - -,d7c7
3r4/p3b1k1/1pnr2p1/2pBpp1p/2P5/2P1P1P1/P4N1P/1R3RK1 w - -,e3e4
r2q1rk1/p5pp/1pn1pp2/2bp4/2P1b3/1PQ3P1/PB2PPBP/R3NRK1 w - d6,c4d5
3r1rk1/pp1nbppp/2p1bn2/8/2qPPN2/5NP1/PPQ3BP/R1B2RK1 w - -,c2b1
3qr1k1/3nppbp/rp3np1/p1pp4/P2P1B2/2P1PN1P/1P1N1PP1/RQ2R1K1 w - -,f3e5
2rq1r2/p1n1ppbk/1pB3p1/2p3N1/6p1/P2P2Pb/1P1BPP1P/R1Q1R1K1 b - -,h7g8
2r1r1k1/1qbb1ppp/p2p1n2/Pp1Pp3/1B2Pn2/1P5P/3N1PPN/R2QRBK1 b - -,b7a7
8/4b3/4Pkp1/3K1P2/2N3P1/1P6/8/8 w - -,c4d6
4rrk1/pp2qpp1/3b3p/2nPp2b/2P1B2P/P5P1/1BQN1PK1/2R1R3 w - -,f2f4
r3r3/1R4kp/6p1/3P4/P3p1N1/b5P1/3P1PBP/6K1 b - -,e8e7
2rrbk2/p3npq1/1pp1p1p1/4N2p/3P1P2/2PR3P/PPB2QP1/4R1K1 b - -,e7d5
r3kb1r/5p1p/pq1p1np1/3P4/4pP2/pN5P/1PPQ2P1/R3KB1R w KQkq -,a1a3
3r1qk1/1b1r3p/p5p1/3P1p2/1pp1P1N1/2b4Q/P1B2RPP/3R3K b - -,f8g7
r3k2r/1pbnqpp1/2p1p1p1/p2n4/P2PN1P1/1B3Q1P/1PPB1P2/R3K2R b KQkq -,d7f6
1r6/6b1/5kb1/p4p2/2Bp1P2/PP2pPR1/4K3/8 w - -,a3a4
r1b2rk1/pp1n1pbp/3p1np1/q2pp3/2P1P3/2N2NPP/PP3PB1/R1BQ1RK1 w - -,c4d5
6r1/pp3k1P/8/4p3/P1bB4/5r2/1P3K2/2R4R w - -,f2f3
5rk1/5pbp/3Qb1p1/8/q2P4/5N1P/5PP1/2B1R1K1 b - -,a4a8
5rk1/4b1pp/8/p7/2PNNpP1/3P4/PrP4P/5RK1 w - -,a2a4
3n4/4kp2/4q2p/p5pP/1b1Q4/1P1B1RP1/5P2/5K2 b - -,e6h3
4r2r/pkp2ppp/2p1n3/2b1P3/8/2B1NP1P/PPP2P1K/3RR3 b - -,e8d8
1r1q1rk1/1ppn1pbp/p2p2p1/3Pp3/2PnP3/2N1B1PP/PP3PB1/1R1QR1K1 b - -,f7f5
8/p2k4/1p5p/3pP1p1/3Pp1P1/1P5P/P3K3/8 w - g6,a2a4
6k1/p7/1p2p3/5p2/3P1Pp1/P4nR1/1P3PK1/2r2B2 w - -,b2b3
r1bqr1k1/pp3pp1/2pbpn1p/3p4/2PP4/2NQ1NP1/PP2PPBP/R4RK1 w - -,e2e4
2k2b1r/p4p2/4pP2/8/Npq5/4B1P1/1P2QP1n/3R1K2 w - -,f1e1
rn1qkb1r/pb3pp1/1p1ppn1p/2p5/3P3B/4PN1P/PPPN1PP1/R2QKB1R w KQkq -,c2c4
4r3/7k/6p1/p4p2/1pBpn3/1P4Bb/PNPN1K1P/8 w - -,d2e4
r2qkbnr/pp3pp1/2n1p3/2ppPb1p/3P1P2/2P2N2/PP4PP/RNBQKB1R w KQkq h6,f1d3
2r1k2r/pp1b1p2/7p/3PQ1p1/3P4/4q1P1/PP4P1/1K1R1B1R b k -,e3e5
r3k2r/pp1nbppp/4pnb1/q3N3/3P2P1/1QN4P/PB2BP2/R4RK1 b kq -,e8g8
r2r2k1/p1R2pp1/1p1Np3/5n2/q7/5Q2/P4PPP/3R2K1 b - -,a8b8
1qb2rk1/4bpp1/p4n2/5nNp/2Q2P2/1P2B2P/P4R2/3R2KB w - -,e3c5
nr2k3/1p2bp1p/p3p1p1/3pP3/PP1B2P1/3NPK2/1R3P1P/8 w - -,f3e2
r1bq1rk1/ppn1ppbp/2np2p1/2p1P3/2PP4/1P3NP1/PB3PBP/RN1Q1RK1 b - d3,c8g4
r3kb1r/pppbnpp1/2p4p/4P3/6P1/2N2NKP/PPP2P2/R1B2R2 b - -,c6c5
2q3k1/1b2r1p1/1Q3p1p/P1np4/2pNn3/4P2P/2B2PP1/BR4K1 w - -,c2e4
5rk1/6r1/7p/2q1p1B1/P2bQp1P/5R2/5PK1/4R3 w - -,e1g1
r2qr1k1/1p1n1pbp/2p1P1p1/p1np1P2/P2N2Q1/1PN5/1BP3PP/4RR1K b - -,d7f6
2r2rk1/p2n1ppp/4pn2/q1b3B1/Pp2P3/3B1N2/P1Q2PPP/2R2RK1 b - -,h7h6
6k1/1R1N1p2/8/1P4pp/2r5/3n2PP/4KP2/8 b - -,d3b4
2rq1rk1/1B2nbbp/N4pp1/1p2p3/1B6/3P2P1/4PP1P/1R1Q1RK1 b - -,f8e8
2r2k1r/1bqn1pp1/p2p1b2/1p1Pp2p/5P2/1N2B1PP/PPP1Q1B1/1K1R3R w - -,g3g4
r2r2k1/1bq1bppp/pp2pn2/n1p5/2P5/2NPP1P1/PB2QPBP/R2RN1K1 w - -,f2f4
rnbqnrk1/1p2ppbp/p1p3p1/P7/2pP4/2N2NP1/1P2PPBP/R1BQ1RK1 w - -,d1a4
rn1qk2r/p1B2pp1/1pp1p1p1/3n4/3P4/1QP3N1/PP3PPP/R3KB1R b KQkq -,d8c7
r1r1n1k1/1p2p2p/n1bpP1p1/1p6/3N4/P1N3PP/1P3PB1/R4RK1 b - -,b5b4
8/5k2/P5p1/4R2p/r3pP2/2p3P1/2K5/8 w - -,c2c3
r1bqkbnr/pp2pppp/2n5/2pp4/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq -,g2g3:c1f4:e2e3
3rr1k1/p2nbpp1/1q3np1/1ppp4/3P2P1/4PP2/PP1BN1BP/R2Q1R1K b - -,g6g5
8/2p5/7k/PPP5/3bB1p1/4N2n/5R2/5K2 b - -,h3f2
4k3/1p1r1p1p/1b3np1/1N6/3pp3/P2P2PP/2R1PPB1/6K1 b - -,d7d5
3r2k1/p4pbp/4b1p1/8/qP1n4/B3p1P1/4P1BP/1QR1R1K1 w - -,a3b2
r2r2k1/1bqn1pbp/pp1ppnp1/8/2PNP3/1PN2P2/PB1Q2PP/1B1R1RK1 b - -,a8c8
4kn2/3nb3/B2B4/2pPp1pp/2P1Pp2/5P1P/P4NP1/6K1 w - -,d6e7
r6r/1p1nk1p1/2p1bp1p/p1b1p3/2P1N3/PP2P1P1/1BB2PP1/2KR3R b - -,c5b6
rnbq1rk1/pp3ppp/4pn2/3p4/1bPp4/2NBPN2/PPQ2PPP/R1B1K2R w KQ -,f3d4
2r4k/8/3p1RQP/3Pp3/1P2P3/2K3N1/5P2/8 w - -,c3b3
6k1/6p1/p2P1p2/R7/1B3K1P/P4P1b/4r3/8 w - -,a5a6
r3kb1r/pp1nnpp1/1qp1p3/3pP2p/3P4/P1NQ1N2/1PP2PPP/R1B2RK1 w kq h6,b2b4
8/pp5r/1b1p2kp/3P1Np1/3PP1P1/1p6/1P4K1/2R5 b - -,h7c7
1r1br1k1/p4pp1/3p1n2/3P1P1p/1PPB1R2/q5PP/P2Qp1B1/R5K1 w - -,a1e1
r1bqr1k1/1p2bpp1/n1p2n1p/p2p4/3P2P1/P1N1P2P/1P2NPB1/R1BQ1RK1 w - -,e2g3
3k4/7B/4K3/4N3/8/8/8/8 b - -,d8e8
8/b3kp2/3p1n2/3PpP2/1r2P1PQ/3B4/8/7K b - -,b4d4
3b4/r5pp/p3kp2/2p5/R7/2B1P3/1P2KPPP/8 w - -,e2d3
r1bq1rk1/5ppp/p2p1b2/1p6/2n1P3/4N3/PPB2PPP/1RBQR1K1 b - -,c8e6
3rk2r/1bp2pp1/p3p3/2B1n2p/PpP4P/3q1PP1/1Q3PB1/2R1K2R w Kk -,b2e2
4rr2/p5kp/1p1nB1p1/2pP4/2P5/4R1PP/P7/2R3K1 b - -,e8e7
1r6/q3ppkp/2Bn1bp1/p2P4/1p6/P4QP1/2R2P1P/1R4K1 b - -,b4a3
8/1r5p/2p5/4Pp1k/1PP2K2/2B3PP/8/8 b - -,h5g6
rnbq1rk1/pp2ppb1/3p2pp/2P4n/4P2B/3B1N2/PPP2PPP/R2QKN1R b KQ -,g7b2
r2r2k1/6pp/2p2p2/p1P1nP2/8/P6P/2B3P1/R2R3K w - -,d1d8
8/4p3/3p1bk1/3P4/1p6/1Pr2N2/4rPK1/1R3R2 w - -,f1d1
8/1b3k1p/p2P2p1/1pp2p2/8/1P4P1/1Pr2PP1/3R1K2 b - -,f7e8
5r2/5rkn/p2p2p1/P1pPppq1/1nP1P1Bp/2Q1P2P/5RPN/5RK1 w - -,h2f3
r4q2/1pp1p2k/4P2p/p1Pp4/1n1P2P1/1P3rBP/P2Q2K1/R4R2 b - -,f3d3
8/p6p/5p2/8/3kPP2/1B3KP1/P6P/6b1 b - e3,a7a5
2r2r1k/1p4pp/p7/8/2B1q3/P5PK/QP5P/3R1R2 b - -,f8f5
r2r2k1/1p2qpp1/1np2np1/8/3PP3/bP4P1/N1Q1R1BP/B2R2K1 w - -,d1f1
r7/1b4bk/p1q3pp/2n1p3/PQ6/4BP2/2B3PP/4R1K1 b - -,a8c8
r7/pp5R/2b1p1p1/6k1/6P1/3B4/PPP1K2P/8 w - -,e2e3
4rrk1/2pq2pp/bp1p1b2/pNnP1p2/P1Q5/1P1N1P2/2PB2PP/3RR1K1 b - -,c5d3
3r4/k3r1p1/ppR1R3/3K3p/PP2P2P/8/6P1/8 w - -,c6d6
r2q1rk1/1p2p1b1/2np3p/p1p2bp1/2P1N1n1/P2P1NP1/1P1BPPB1/1R1QK2R w K a6,d2c3
2r2rk1/2qnbppp/p1npb3/1p1Np1P1/4P2P/1N2B3/PPPQBP2/1K1R3R b - -,e6d5
r1n3k1/1b4rp/p5p1/8/8/1P4P1/P4PBP/2R1R1K1 w - -,g2b7
6k1/1pb3pp/p4p2/2P2P2/1Pn2B2/3R3P/6P1/5K2 b - -,c7f4
4r3/1p3bkp/p5p1/q2n4/PbBP1NP1/1P2r3/1B3Q1P/R2R2K1 w - -,f4g2
r1b2rn1/2p2p1k/1p1p1qpb/pNnPpP2/2P1P2p/4B2P/PPBQN1P1/4RRK1 b - -,c5a6
2r3k1/5pp1/4p1n1/pp1nP2p/4R2P/P4NP1/1P3PB1/6K1 w - -,f3d4
8/2RP4/1p4R1/1P2p3/4Pk2/1K1q2p1/8/8 w - -,c7c3
1k1r2r1/pp1q1p1p/1npb2b1/5P2/PP1Pp3/1BP4Q/3B1PNP/R4R1K w - -,g2h4
5rk1/6pp/p7/1p1p4/3q4/P2bQ3/1P2R1PP/5B1K w - -,e3e6
r5k1/p2p1rp1/1p2p1np/2PPPb1q/3Q1p2/B1R2N2/P4PPP/R5K1 b - -,b6c5
6k1/pp3pp1/2p1pq1p/2b5/7P/2P3P1/PP2QP2/3B2K1 w - -,d1c2
8/3nkp2/2Q1p3/qPp5/2P5/6P1/5PK1/5B2 w - -,f1e2
2b5/3kq2r/ppp1pR1b/3pPn2/3P1Q2/P7/KPP2P2/3N3R w - -,f6h6
r1bqr1k1/pp3pbp/3p2p1/2pPn2n/2P5/2N1BN1P/PP1QBPP1/R4RK1 b - -,c8d7:e5f3
4rrk1/p1p1n1p1/1p1p3p/3Pp3/2P1N3/P1P2P2/3K2PP/3R3R w - -,a3a4
5R2/pp4kp/2p1P3/8/3qpP2/8/PP6/1KQ3r1 w - -,f8f7
r2q1rk1/p2bppbp/3p2p1/n1pPn3/2p5/PP4P1/RBQNPPBP/1N3RK1 w - -,b3c4
8/7K/4pk2/p2p4/8/6P1/5P1P/8 b - -,a5a4
2k5/1p6/4p1p1/P1K1Pp2/5P2/4nB2/3p3B/8 w - -,c5d6
6r1/p1n1k2R/8/2N1K3/P7/1P3P2/4P3/8 b - -,e7d8
r4rk1/pppqbppp/2n2n2/3p1P2/5PP1/1B6/PPP1Q2P/RNB2RK1 w - -,b1c3
3R4/7p/6p1/1k2p3/2q3PP/pp3P2/3R4/1K6 w - -,d8b8
1r6/2p5/1r3p1p/p2P2kR/2KNP1P1/PP3P2/8/8 b - -,g5g6
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PPP3/2N1BN2/PP2BPPP/R2QK2R w KQ e6,e1g1:d4d5:d4e5
r1R2rk1/1p4pp/p2q1p2/3p1p2/3Pn3/1P4PP/P3PPB1/2Q2RK1 w - -,c8a8
r1bqkb1r/1p3ppp/p1n1p3/3n4/3P4/2NB1N2/PP3PPP/R1BQK2R w KQkq -,e1g1
2b2b2/1p3k1p/pB6/P4pp1/2PN1p2/1P3P1P/6P1/4K3 w - -,e1e2
r3k2r/ppp2ppp/4b3/3qP1Q1/4N3/3P4/P1P3PP/R4R1K b kq -,h7h6
r3k2r/1p2bppp/1qp1p3/p2pP3/3P4/2P1PN2/PP2Q1PP/R3K2R w KQkq a6,e1g1
2r2rk1/pbqnbpp1/1p2p2p/4P3/3P4/P2B1N2/1B2QPPP/R4RK1 b - -,c7c6
rnb2rk1/1p5p/p2P2p1/2p5/Pq2N2b/5B1P/1P2Q1PB/3R1R1K w - -,e4g5
r2qk2r/1b2bpp1/p4n2/1p1P1P2/4n2p/P2B1Q2/1PP1N1PP/R1B2R1K w kq -,d3e4
8/2b2pk1/4p1p1/p2r3p/8/P4RPP/5N1K/8 w - -,h2g2
8/4ppk1/3p2p1/2nP3p/2PNP2P/3nKPP1/2rN4/1R6 b - -,c2c3
r2q1rk1/bpp2pp1/p1np1n1p/4pb2/2PP4/P1N1PNPP/1P3PB1/R1BQ1RK1 w - -,b2b4
r5k1/1q1n1ppp/4p3/2rpP3/p2N1P2/1P1Q4/2PR2PP/5R1K w - -,f1a1
