2r5/3k1p2/1R3bpP/2PK4/1p6/8/P7/8 w - -,b6f6
8/4K3/1B1R2bP/7k/8/r7/8/8 b - -,h5h6
5rk1/2b2ppp/4pq2/p1Pp4/1r2n3/Q3P1PP/1P2NP2/2RNK2R w K -,e1g1
2r3r1/1p1nk3/p1n1pb1p/3p1pp1/P2P3P/2PN1NB1/1P3PP1/R3R1K1 w - -,h4g5
rq2k2r/2pnbpp1/p1ppp1b1/6Pp/3PP2P/2N5/PPPBQP2/2KRN2R b kq -,d6d5
r4rk1/5ppp/8/1pqp4/3B1n2/2P2P2/P2Q2PP/R3R1K1 b - -,c5c7
r1bqk1nr/1p2ppb1/p2p3p/2pPN1p1/2P1P3/2NB3P/PP3PP1/R1BQK2R b KQkq -,g7e5
2r3kB/p4p1p/1p4p1/1P1q1b2/P1p5/2Q4P/5PP1/2R3K1 b - -,f7f6
r2q1rk1/5ppp/2p2n2/p3b3/2B1P3/P3B2P/1pQ2PP1/3R1RK1 b - -,d8e7
r1bq1rk1/pppp2pp/2n2n2/2b2P2/7N/2NB4/PPP2PPP/R1BQ1RK1 b - -,c6e5
rnb2rk1/ppq2ppp/3ppn2/8/1pPP4/5NP1/PP2PPBP/RN1Q1RK1 w - -,d1d3
r4b1r/1p1k4/1pn1pp2/3p1p2/3PnB1p/P1PN1N1P/1P3PP1/R3R1K1 b - -,c6a5
1n1rr1k1/5pb1/p5p1/1qB5/4p2Q/4NP2/1P5P/R4RK1 w - -,a1c1
1kr5/pb3pb1/1p4q1/3pP3/3r1Pp1/1R1N2Pp/P2B3P/3Q1RK1 w - -,f4f5
r3r1k1/1p1n3p/p1n3p1/1q1pp1Q1/8/BB1PPN1P/P3KPP1/7R w - -,h3h4
r4rk1/pb1nqppp/1p2p3/2pn4/3P4/2NBPN2/PP3PPP/2RQ1RK1 w - -,f1e1
r1b2rk1/ppp3pp/3p1b2/3P1p2/2P3B1/2N1q3/PP1N2PP/R2Q1RK1 w - -,g1h1
2r1k2r/1n2bp2/2p5/1p1pNp2/p2P2P1/8/PPR2B2/4R1K1 w - -,e5c6
r3r1k1/p1pb1pp1/1p5p/3B4/4nB2/2P4P/P4PP1/2R1R1K1 b - -,e4c5
1rb1r1k1/2qnppbp/p2p1np1/2pP2B1/N1P1P3/R6P/1PQ2PP1/4KBNR w K -,f1e2
8/1R6/8/2N5/3K4/k7/8/7r b - -,h1h4
3N3k/4p3/5r2/4R3/p3B3/1P3P2/1KP5/8 w - -,e5e7
5r2/p5rk/1p1pn2p/1Pp1b3/2P1Pp1R/P2P3N/3B1P2/6RK b - -,g7g1
2r3k1/ppr2p1p/3b2p1/3p1p2/3P2Pq/2PNR3/PP2Q2P/5R1K w - -,g4f5
r2qk2r/pp4b1/2pP1nbn/2p1p2p/7P/2N1BPNB/PP1Q4/2KR3R w kq -,d6d7
4r1k1/1p1b1p1p/p7/P1pP4/8/2B3q1/1Q4P1/R6K w - -,a1f1
r1b1k2r/pp3ppp/2n1p3/2b5/8/4PN2/PP1B1PPP/R2K1B1R b kq -,e8g8
2rr2k1/1q3pb1/p1b2npp/1pP1p3/1P6/P1N1QN1P/4BPP1/2RR3K w - -,h1g1
r2q1rk1/pp1nbppp/2npp1b1/8/3pP3/2P2NNP/PPB2PP1/R1BQ1RK1 w - -,c3d4
8/1pk3R1/p3b3/4p2p/5p2/1P3P2/P1PrNK1P/8 b - -,e6d7
r3r1k1/1p3ppp/2pq4/3p1b2/1P1P4/4P3/3QBPPP/R3R1K1 b - -,b7b5
7k/4b3/n4np1/p2pBp2/3P4/P7/3NK3/6R1 w - -,e5f6
8/5p1k/5qpp/3Q1N2/4p3/2PnP1K1/8/8 w - -,f5d6
r1qn1rk1/1p4p1/p4b1p/1NpPpp2/8/1P2P3/PB2QPPP/2RR2K1 w - -,b5d6
2r2rk1/2qnbpp1/3pbn1P/p3p1B1/1p2P3/1N3P2/PPPQB3/R2NK2R b KQ -,g7g6
8/6k1/3R4/3np1p1/5pP1/5P2/1r3KP1/4B3 w - -,f2g1
2r3k1/6p1/3n2Bp/p4p2/5P2/PN2P3/4K2P/8 b - -,c8c2
r2qkb1r/pp1n1ppp/2p1pnN1/3p4/2PP4/P1N1P3/1P3PPP/R1BQKB1R b KQkq -,h7g6
3R2k1/5p1p/5np1/8/2nN1P2/4PK2/7P/8 b - -,g8g7
6b1/2R4p/3B1p1b/p1NP1P1k/4K1p1/P7/1r4PP/8 b - -,b2e2
r1bq1rk1/p3ppbp/2pp1np1/8/2P5/2N3P1/PP2PPBP/R1BQ1RK1 w - -,g2c6
r1b3r1/ppqn3k/2pR2pp/2P1pP2/8/3QB1PP/PP4B1/5RK1 b - -,d7f8
3N3k/5R2/5p1p/np2p1pP/4P3/P4KP1/1Br2P2/8 b - -,c2b2
2rq1rk1/pp3ppp/2n1pn2/1B1p1b2/3P1B2/2Q1PN2/PP3PPP/R4RK1 w - -,a1c1
1r1q1r2/2nnppkp/p2p2p1/PppP4/4PP2/2N5/1PPQB1PP/R4RK1 b - f3,d7f6
r4rk1/1bpp1qpp/1p1b4/p1nP1pB1/6n1/P1N3PN/1PQ1PPBP/R2R2K1 w - -,g5f4
r6r/1R3ppp/3kpn2/1B6/4PnPP/5P2/PPP5/2KR4 b - -,d6e5
r2q2r1/1ppkn3/1p1pp2p/4p2Q/1P2P2P/P2P2PR/2PN2P1/R3K3 b Q -,d8f8
5rk1/rqp3b1/3p2pp/p2Pp3/Np2R3/1PPQ4/P4PPP/2R3K1 b - -,b4c3
r1bqk2r/pp1pppbp/2n2np1/2p5/4P3/2PP1NP1/PP3PBP/RNBQK2R b KQkq -,e8g8
1rbqk1nr/p4pbp/3pp1p1/1pp5/4P3/2PPB1P1/PP1QnPBP/R2NK2R w KQk -,d2e2
r1q1kb1r/1p1n1ppp/p1p1pn2/2Pp1b2/3P1B2/1QN2N1P/PP2PPP1/R3KB1R w KQkq -,e2e3:g2g4
2rr1bk1/1p1qpp1p/p3n1p1/3pP3/3P4/1Q2BN1P/PP3PP1/2R1R1K1 b - -,d7b5
4r2k/4r1pp/pR6/4Bp2/Ppb2P1P/1P6/8/6K1 w - -,b3c4
1r4k1/5pp1/p1rqp2p/1p1bn3/2pPn3/1P2P3/PQR1BPPP/2R1B1K1 w - -,d4e5
r7/6pk/qn1p3p/2pPp3/P3PpP1/1RN2P2/4Q2P/5K2 b - -,a6e2
5r1k/ppp3qp/3pQ3/3P1N2/2P5/8/PP3KP1/4R3 b - -,g7g4
1r4k1/1p1b1ppp/p6r/3P4/5b2/4R1P1/PP5P/1BR2NK1 b - -,f4e3
rnbqnrk1/1pp3bp/3p2p1/p2Ppp2/2P1P3/2N3N1/PP2BPPP/R1BQ1RK1 w - f6,e4f5
7k/5p2/6p1/8/pp2N1P1/3nP2P/P4P2/2r2RK1 b - -,a4a3
6rk/2R2Qpp/2p2p2/4p3/1b1qP3/3P2P1/5P1P/4NK2 w - -,f7c4
r6r/p2p2k1/qp1Qp1n1/3P2P1/b1P1B3/2P2P2/P6P/1R3RK1 b - -,a8e8
r2qr1k1/p2nbppp/b4n2/2pp4/8/1PN1PN2/PB2QPPP/R2R2K1 w - -,e2a6
r4rk1/pp3pbp/4b1p1/8/1P1pB2q/P4nNP/2PP2P1/R1BQ2K1 w - -,d1f3
2rq1rk1/pp1b1pbp/2np1np1/8/3N4/2PB1P2/PP1N1BPP/R2Q1RK1 b - -,f6d5
r1b1r1k1/p1n2p2/2Qq2pp/2p1b3/3p4/3P2PP/P2BPPB1/2R1R1K1 w - -,d2a5
2r3k1/3Q1ppp/1p2p3/8/2q2P2/3nPKP1/P2R2BP/8 b - -,d3e1
5r1k/pp2q1p1/3bb1Rp/3p4/3P4/3BP2R/PP2K3/3NQ3 b - -,e6h3
2b5/6p1/2p4p/2Npk3/1P2p3/2P1K2P/5PP1/8 b - -,h6h5
8/1B3pk1/3qpn1p/PQ4p1/3b4/5NPP/4KP2/8 w - -,f3d4
r4r1k/1bq1p1bp/p3p1p1/5P2/1p4n1/3B1N1P/PP2Q1P1/R1B2R1K b - -,e6f5
6k1/4b1p1/7p/3PK3/2rN4/4P2P/8/1R6 w - -,b1b8
7r/5pr1/p2k1p2/3ppP1P/1p4P1/1P5R/P1PK4/6R1 b - -,e5e4
1q6/1r4nk/4prp1/3pR1p1/1ppP3P/2P3QN/1P4P1/R5K1 w - -,h3g5
8/6p1/8/5k1p/1K5P/1PR3P1/8/6r1 w - -,b4c5
3r3k/5q2/8/2R1b1p1/4Pp2/6P1/4Q1KP/2B5 b - -,d8f8
rn1qkb1r/pp2pppb/2p2n1p/8/3P1N1P/2P3N1/PP3PP1/R1BQKB1R b KQkq -,e7e5
1k6/1p3p1p/p5p1/3rPp2/5P2/P6P/1P4P1/2R3K1 w - -,c1c2
1r2r1k1/bppn1pp1/p1np3p/8/3pP3/1PP1BNNP/1P3PP1/3RR1K1 w - -,c3d4
8/1p3k2/1Bp3p1/p6p/P1p1P1p1/8/1P1bKP2/3N4 b - -,d2b4
6k1/3q1pp1/4r2p/3pP3/2pP2P1/1pP1Q2P/1P3RK1/8 w - -,e3f4
3r1r2/p1p3pk/1p1q2pp/8/P1QPP3/4B2P/1PP3P1/4R1K1 b - -,d6g3
r4rk1/1bq2ppp/p2ppn2/2p5/2P1PPP1/2R1B3/PP4BP/3Q1RK1 w - -,d1c2
5R2/5P2/2pkPK2/1p6/8/8/8/6r1 b - -,g1f1
6k1/R5p1/5p2/P1B2n1p/7P/7K/r7/8 w - -,a7a8
8/5pbk/4n3/B1p1p1pp/P1Q1P3/2P3PP/2q2PK1/4N3 b - -,c2d1
2k5/6R1/7p/2Pb1p2/1p2pP2/1P2P3/7P/6K1 w - -,g7g2
8/4k1pp/3N1p2/4p3/4P3/3K1PP1/7P/8 b - -,e7d6
2b1r1k1/1pp2pbp/r5p1/p1q1n1B1/3NB3/1PP2P1P/P2Q1KP1/3R3R w - -,g5e3
3r4/2pq2pk/1b1rp2p/4p3/4P3/pPP2P2/P2RQ1PP/KN5R w - -,h1d1
8/8/6pN/4k1P1/r7/5K2/8/8 w - -,f3g3
4r3/2pqn1bk/1rp1p1pp/p5p1/2RPB3/PPB1PNP1/2Q2P1P/6K1 b - -,e8a8
r1bq1rk1/1p1n1ppp/2pb1n2/p2p4/3P1B2/P1N2NP1/1P2PPBP/R2Q1RK1 b - -,d8e7
2r4k/p4qpp/1p3pn1/3r4/2p5/P1P2N2/1P3PPP/3RRQK1 w - -,d1d5
r4r1k/p1q1b2p/Ppp2pb1/4n1p1/3Q4/2N1N1P1/1P2PPBP/R1R3K1 w - -,c3b5
1b6/3q2kp/pp3pp1/2P5/3NPP1P/P1Q2KP1/8/8 b - -,b6c5
r4rk1/1bqnbppp/p2pp3/1pp2P2/3nP1P1/2PP2NP/PP2N1B1/R1BQ1RK1 b - -,d4e2
rr4k1/2q2pp1/p6p/1nQp4/4P1PP/1P3P2/PP6/1K1R3R w - -,d1d5
3rrb1k/1p4pp/2p1b1n1/7N/1pnP2P1/P3P3/2B2P1N/2BRR1K1 w - -,a3b4
3qr1k1/1p3pp1/3p4/p2PbN1p/Pn2B2P/2R3P1/5P2/3Q1RK1 b - -,e5c3
r2qr1k1/1p3pb1/1Pp2npn/p1Pp1b1p/P2Pp2P/1KN1P1P1/1B2BP2/4QNRR w - -,c3b1
r1b2rk1/1p1n1pbp/3p1np1/q2Np1B1/p1P1P3/5PN1/PP1QB1PP/2R1K2R b K -,a5d2
3r2k1/1pN2p1p/p5p1/2p5/1nP2P2/3n4/Pb2KP1P/R2R4 w - -,a1b1
3r4/ppqbbpk1/2p1pp1r/P7/1PNP3p/2P5/2B1QPPP/R3R1K1 w - -,c4e3
r1r5/3n2kp/1p2p1p1/p2qP1Q1/8/P2B3P/5PP1/1R2R1K1 b - -,d7c5
1r3k2/2r2ppp/pp2b3/2Pp4/8/1NR3P1/PP3PP1/3R2K1 w - -,d1c1
r3kb1r/pp1b1ppp/1q2p2n/3pP3/1n1P4/1B6/PP2NPPP/RNBQK2R b KQkq -,h6f5
r1bqr1k1/1pp1ppbp/1n4p1/p2P4/1n6/2N1PNPP/PP3PB1/R1BQ1RK1 w - -,e3e4
r3k2r/pbqnbppp/4p3/2p1P1P1/NppPP3/4B3/PP4BP/R2Q1RK1 w kq -,d4d5
r4rb1/1p2n2k/p2p4/P2P1pP1/1PB1pq2/4N3/1Q5P/R2R2K1 w - -,e3g2
2r1r1k1/pp2p1bp/3n1pp1/3q4/3P1P1B/2PN4/P5PP/2RQR1K1 w - -,d3b4
r2q1rk1/pp3ppp/2nbpn2/2pp3b/3P4/1P1BPN1P/PBPN1PP1/R2Q1RK1 w - -,c2c4
5k2/8/5p1p/1p1b1p2/1PpP1P2/2P1R1P1/7P/r5K1 w - -,g1f2
r5k1/pp3pb1/1np1b1pp/4p3/4P3/2N1BP2/PPPRB1PP/6K1 b - -,g7f8
4r1k1/pp4bp/2p5/3r4/P2Pp3/2B5/1P3PPP/3RR1K1 w - -,g1f1
r2qk1nr/pp2p1bp/3p2p1/2n2pB1/2bN4/2N1P3/PPP1QPPP/R3K2R w KQkq -,e2c4
3r4/1p1r1pkp/p1p2np1/8/3P4/3R1B1P/PP3PP1/3R2K1 b - -,c6c5
r4qk1/pb1p1r1p/1p1n1np1/2pPp1B1/2P1P3/2PB1RNP/P1Q3P1/5RK1 b - -,f6e8
8/1pr4p/p4pk1/3R4/5P2/8/PP3P1P/5K2 w - -,f1e2
8/4kp2/1p2p2p/8/1n2P2P/4K3/8/1R6 b - -,b4c6
r5k1/3nbppp/B2p1n2/R2Pp3/8/4B3/5PPP/1qN1Q1K1 w - -,a6d3
rnbqk2r/p3ppb1/2pp1npp/1p6/3PP3/P1N1B2P/1PPQ1PP1/R3KBNR b KQkq -,b8d7
r1b1r2k/pp2q2n/5p1Q/2p1pP2/3pN2P/3P3B/PPP4K/R4R2 w - -,f1g1
2q1rr2/p6k/1pn1b2p/2p1b1p1/P1NpPpP1/1P1P1B2/4QP1P/1RB1R1K1 b - -,h6h5
rn1q3r/p3bkpp/2p2n2/1p6/2bP1N2/PPN1P3/2Q2PPP/R1B1K2R b KQ -,c4e6
8/2pb1pkp/1rpp4/p4p2/1r1PP3/2RBKPP1/P2R3P/8 b - -,f5e4
4r3/1q1b2pk/2pR1p2/P1Q1p2p/2P1PP2/1P6/2B4P/7K w - -,f4f5
8/8/3pk1b1/Bp2p3/1P2p1p1/4K1P1/5P2/8 w - -,a5c7
1r1q2k1/ppb2pp1/5n1p/1Q6/2N1p3/P3P1P1/1P3PBP/2R3K1 b - -,a7a6
1Q6/3r2k1/1pq2pp1/p1p1p3/P1P1P1P1/1P2PNK1/8/8 b - -,c6e4
6R1/P7/8/4p3/7p/r3Bkp1/4nP1K/8 w - -,f2g3
r1b2r1k/pp1n1Qp1/5p1p/3N1NB1/3P2PP/P4P2/1Pp5/2K4R b - -,f8f7
2r3k1/R1P2p1p/5Bp1/8/Prp5/5N1P/1b3PP1/1R4K1 b - -,c4c3
4n3/6p1/5p2/2B1pk1p/7P/3K1PP1/8/8 b - -,f5e6
r2qkb1r/pp2pp1p/2npbp2/7Q/4P3/1NN5/PPP2PPP/2KR1B1R b kq -,d8c8:e6b3
8/6pp/4p3/3kPp2/1n1P1P2/1NK3P1/1P5P/8 b - -,b4c6
1r3rk1/3q1ppp/2bp4/pp1Np1b1/4P3/P1PQ4/1P2BPPP/R4RK1 w - -,b2b4
r2qkb1r/pp3ppp/2n1pn2/3p1b2/3P1P2/2PB1N2/PP4PP/RNBQK2R w KQkq -,e1g1
2r2rk1/1bq1ppbp/p2p1np1/1p3P2/2nNP2Q/2N1BB2/PPP3PP/4RRK1 w - -,f5g6
r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R b KQkq -,c7c6:d4f3
rn1qk2r/pb1pppbp/1p3np1/2p5/2P2B2/2NP1NP1/PP2PPBP/R2QK2R b KQkq -,e8g8
2bqrbk1/p5rp/2p2p2/1p3P2/3pBp2/PP1P3P/2P2P1N/R2Q1R1K b - -,c8d7
3rn1k1/1q1rbppp/pp2p3/2p3P1/P1P1NP2/3nPN2/1B1R2QP/3R2K1 w - -,f3e5
8/8/6K1/r7/3np3/p3k3/R7/6N1 w - -,g1h3
r1bqr1k1/pppp1ppp/3n1b2/8/3P4/2P5/PP3PPP/RNBQRBK1 b - -,e8e1
r4rk1/ppp1qppp/3pnnb1/1B2p3/3PP1PB/2P2N1P/P1P2P2/R2QR1K1 w - -,b5f1
r4rk1/ppqn1ppp/2pbpnb1/3p4/2P5/1PNP1NP1/PB2PPBP/2RQ1RK1 w - -,c4d5
1rq2rk1/1p1b1pbp/3p2p1/p2np3/1P2N3/3P2PP/4PPB1/1RBQ1RK1 w - -,b4a5
3r1rk1/pp1nbpp1/1qp2np1/4p3/2BP4/1QN1P2P/PP1B1PP1/R2R2K1 w - -,c3e2
6k1/p6p/8/2p2b2/2P2p2/1PP5/P5P1/4KN2 b - -,f5e4
r4rk1/ppp4p/3p2p1/3P4/4PpPq/5B1P/Pn3PQ1/R1R3K1 w - -,c1c7
2r3k1/p3bppp/3p1n2/4pPB1/3qP3/1Q6/PPP3PP/2K2BR1 w - -,g5e3
r1b1qrk1/pp1np1bp/2p5/3Ppp2/2P5/1QNBBP2/PP4PP/R4RK1 w - -,b3c2
r3q2k/p5b1/4b1pp/4p3/1P2N2P/4Q1P1/P4P2/R4RK1 w - -,a2a4
r1bqk2r/pp1p3p/2n1p1p1/3nPp2/1bP1Q3/5N2/PP1B1PPP/RN2KB1R w KQkq f6,e4c2
4r2k/p1p3pp/1p1p1r2/4pp2/b1P5/2PPP1P1/P2N1P1P/2R1R1K1 b - -,g7g5
q4rk1/3n2bp/r2ppnp1/2p5/P3P3/2N2NPP/1PQ2PK1/R1B4R w - -,h1e1
r1bq1rk1/pp3ppp/2nbp3/3n4/3P4/P1N2NP1/1P3P1P/R1BQKB1R w KQ -,f1d3
1r2q2k/1p4p1/3R1p1p/pN1Q4/P7/2P5/1KP5/8 w - -,d6d7
r1b1q1k1/3np1b1/p5pp/1p6/3BN3/7P/PPQ2PP1/3R1RK1 w - -,c2c6
2b5/r7/3k4/4R3/8/2BK2P1/7P/8 w - -,e5e8
r7/8/p2k2p1/P1pb1p1p/5P2/1P2K2P/2P5/4RB2 w - -,e1d1
8/2p3pk/5p2/2RPp2p/3r3P/5KP1/8/8 w - -,f3e3
5rk1/5p1p/2p3p1/p1n5/2P5/7P/P1P1rNP1/1R3RK1 w - -,b1b6
2r3k1/1p4pp/p2nq3/5p2/3Pn3/2rBPP1P/P4P1K/1QR2R2 b - -,e4d2
2rq2k1/pp3pbp/3pb1p1/P7/2nN4/2P5/1P3PPP/R1BQ1BK1 b - -,e6d7
rB2kb1r/1R1p2pq/p3pn1p/2p4P/2p1P1P1/5P2/P3N3/3QK2R b Kkq -,f8e7
5k2/1R6/6p1/1p4P1/4PP2/4K3/1r6/8 b - -,b5b4
r4r1k/p5p1/3Q1npp/qpp5/2B1P2P/2p2P2/PPP3P1/2KR3R w - b6,d6c5
r3r1k1/p1q2pb1/1pP1b1pp/1QB1p3/8/2P2N1P/PPB2PP1/R3R1K1 b - -,b6c5
7r/4b3/5pp1/p2k3p/5P1R/2P5/P2BK3/8 w - -,e2f3
2rqrbk1/pb3pn1/1pn3pp/2p1p3/2PpP3/PP1P2P1/1B1NBP1P/1QR1NRK1 w - -,e1g2
2r1k3/1p3p2/p5p1/3p2Q1/3Rp1nP/bN6/P1P2qB1/3K2R1 w - -,g5g4
2R5/pq1rp1kp/np4p1/5r2/3P4/1Q2B2P/P4PP1/2R3K1 b - -,f5d5
r2q1rk1/1p4bp/pn1p2p1/2p2b2/2Pp1P2/1B1P1N1P/PP2N1P1/R2Q1RK1 w - -,e2g3
8/1p6/2k3r1/p2pP3/P1pPn3/2P2q2/1PR3PQ/6K1 w - -,h2h7
5bk1/5pp1/8/3pP3/2nP1p2/1r3N1P/R2B1KP1/8 b - -,c4d2
8/6k1/r5p1/5p1p/5P1P/2R2KP1/8/8 b - -,g7f6
1rr3k1/3qn1bp/b2p2p1/1p1Ppp2/1P2P3/2R1BPP1/1N1Q3P/1R3BK1 w - -,c3a3
5b1r/1pk2ppp/p7/4Q3/8/2N3P1/PPP2P1q/R4K2 b - -,f8d6
1r4k1/pp3ppp/4pn2/q7/N2nP3/1Q4PP/PP3PB1/2R3K1 w - -,b3d1
5rk1/pp2qpb1/2n3Np/2p5/2Q1p1PP/2P1r1P1/PP1N4/3R1RK1 b - -,e7c7
b2rr1k1/6pp/5q2/4pp2/1PP1p3/4B1P1/P1Q1PPBP/1R4K1 w - -,c2c1
r4bk1/5q2/3p1p1p/1R6/p2N2Q1/P6P/1P3PP1/6K1 b - -,g8h8
8/8/3kpp2/3p1p1p/1p1P1PrP/1P2R1P1/3K4/8 w - -,d2d3
r2qkb1r/pp3ppp/2nppn2/2p4b/4P3/2PP1NPP/PP3PB1/RNBQK2R w KQkq -,e1g1
r4rk1/ppp1qpbp/2n2np1/4pb2/8/1PP2NP1/PB1NPPBP/R2Q1RK1 w - -,e2e3
3n4/pp3p2/1n3kp1/2p4p/4PN1P/2P2P2/PP2B1P1/1K6 w - -,b1c2
r1r3k1/p3qppp/1n1ppn2/8/1B1P4/6P1/P2NPPKP/2RQ1R2 w - -,d1b3
rn3rk1/p1p3b1/1pq3pp/4pp2/2P5/2P2NP1/P1QBPPKP/R4R2 w - -,g2g1
r2r2k1/1pbn1pp1/2p1p2p/8/pBPP3P/P4NP1/1P3P2/2R1R1K1 w - -,d4d5
r1q1r1k1/pp1n1pp1/2p2n1p/3pNQ2/3P1P1B/2P5/P1P3PP/R4RK1 b - -,c6c5
1r2r2k/p4pbP/1q3n2/2Np4/1p1NpP2/6PB/PPQ4P/2R1R1K1 w - -,c5b3
3r1rk1/p1q1bpp1/2p1pn1p/2Pp1b2/PP6/B1N3P1/3QPPBP/R3R1K1 w - -,b4b5
1k1r1bnr/ppqb1pp1/4p2p/n2pP3/2pP4/P1P2NP1/1P1N1PBP/1RBQR1K1 b - -,b8a8
2br2k1/2q3rN/1pn1p3/p1p2p2/P1P1PP1Q/6R1/1P4PP/4R1K1 b - -,g7g3
r2r2k1/1q5p/p1p1bpp1/1nP1pn2/1P2N3/6P1/PQ2PPBP/R4RK1 w - -,e4f6
8/5k2/8/5N2/7P/1r6/6PK/8 w - -,g2g3
2rqk1nr/pp3ppp/2n1p3/8/1b1P4/2NQ1N2/PP2PPPP/R1B1KB1R b KQk -,g8f6
2r2rk1/ppq1ppbp/4b1p1/2p1Pn2/4BP2/2Q2R1P/PPP1N1P1/R5BK b - -,b7b5
5k2/3R4/p1n2Np1/1p5p/1P6/4KP2/7r/8 w - -,f6d5
8/8/5bk1/7R/6KP/8/8/8 w - -,h5b5
r6k/p2q3p/4r2p/1NpbPQ2/8/2P3R1/n4PPP/2R3K1 w - -,c1d1
3rk2r/pbqnbppp/1pp1pn2/3p4/2PP4/1PNBPN2/PBQ2PPP/3R1RK1 b k -,e8g8
r1bqr1k1/1p3pbn/p2p2p1/2pP4/P3PP1p/2NB3P/1P3BP1/1R1QR1K1 w - -,d1d2
r1bqk2r/ppppbppp/2n2n2/4p3/2B1P3/3P1N2/PPP1QPPP/RNB1K2R b KQkq -,d7d6
2r1k3/1p1n1ppp/p3b3/4p3/1B2PP2/P1P3P1/1K2B2P/3R4 b - -,f7f6
1k1rr3/ppq1n1pp/8/2p1n2P/3pPQ2/1B1P2P1/PPP5/4RRKN b - -,e7c6
R7/p2r1k2/1p5p/2pn2p1/P1n5/2P2PN1/6P1/4B1K1 b - -,d5f4
r2q1rk1/pb2bppp/1pn2n2/2ppN3/3P4/1PN1P3/P3BPPP/R1BQ1RK1 w - -,c1a3
1r1qr1k1/ppp2ppp/2n1p3/8/3P2b1/1QP1PN2/P3BPPP/R3K2R w KQ -,e1g1
8/2p3p1/7p/2r5/p3k1PP/1nP2N2/n1K1B3/3R4 b - -,a2c3
3rnrk1/p4pp1/2pp2n1/2P1pN1p/4P2P/2N2PP1/PP2K3/3R3R b - -,d8b8
4b3/8/8/K6p/1Pk5/4B2p/7P/8 w - -,e3f4
rn2k2r/ppq1bppp/2p1p1N1/3n4/2QP4/2N1PP2/PP1BB1PP/R3K2R b KQkq -,h7g6
8/8/6k1/4P3/5PP1/K6r/P5R1/8 w - -,a3b4
8/1p6/pB4p1/P1pk3p/3nr2P/8/7P/5RK1 b - -,c5c4
5r2/5pkp/6p1/3pp3/2p2NP1/Pnq2N1P/5P2/1B1Q1K1R b - -,e5f4
r3r1k1/4q2p/2pb1pp1/1pNp4/1PnP1PP1/1R2PN1P/2R2K2/2Q5 w - -,h3h4
r1bqr1k1/ppp2p1p/2np1bp1/8/2P5/1P1QN1P1/PB2PPBP/R4RK1 w - -,b2f6
r3r1k1/5pbp/p5p1/Pp2p3/5n1q/2P2PN1/1PQ2P2/R3RBK1 w - -,a1d1
r1bqk2r/p2pnpbp/1pn1p1p1/2p5/4P3/P1NPB3/BPP2PPP/R2QK1NR w KQkq -,d1d2
r1bq1rk1/pp3n1p/n2p1ppb/2pPp3/2P1P2B/2NN1P2/PP2B1PP/R2Q1RK1 w - -,h4f2
r1r3k1/1p2ppb1/pn2bn1p/4N3/3P2p1/2N3B1/PP2BPPP/R2R2K1 w - -,f2f3
1B4k1/5p2/1bp5/p4q2/4p1Pp/2P5/PP1Q1PP1/6K1 b - -,f5g4
2r3kB/p6p/1p3pp1/1P1q1b2/P1p5/2Q4P/5PP1/2R3K1 w - -,h8f6
