r7/pkn5/7R/2pqPP2/5Q2/7P/PP4P1/6K1 w - -,h6d6
r2r2k1/2qb1pbp/ppn1p1p1/2p5/P3NP1Q/1BPP4/1P1B2PP/R4RK1 b - -,d7e8
3r1rk1/2q1pp1p/p1n1b1p1/1pP1b3/8/2N1B2P/PPQ1BPP1/3RK2R w K -,e1g1
4r2k/2p3b1/1p2np2/pP1Q2p1/1q6/4PNBP/5PPK/2R5 w - -,h3h4
6k1/pp3pp1/2n1p2p/3pP2P/q7/P1P3N1/1P1Q1PP1/6K1 w - -,f2f4
8/p1r2pk1/6p1/2N2n2/1P5p/2P4P/1K2R1P1/8 w - -,b2b3
3r1rk1/p3q1pp/2pp1p2/8/P1bPPQP1/1pP1RN1P/1P6/1K1R4 b - -,c6c5
r5k1/1q6/5P2/2p2Q1p/p2p4/1P1P4/P2p1K2/3R4 b - -,b7f7
r3k2r/2p2ppp/2q5/pp6/2p5/4P1P1/PP3P1P/RNB1Q1K1 b kq -,e8c8
r1r3k1/5q1p/p2p2pb/P1nP4/1Bp1p1p1/1P6/5P1P/R2QRBK1 w - -,f1c4
r3kb1r/1pqb1pp1/p1nppn1p/6B1/4P3/1NN2P2/PPPQ2PP/2KR1B1R w kq -,g5e3
8/8/8/2P1k3/1K6/8/8/6q1 w - -,b4b5
4r1k1/1p3p1p/p5p1/5B2/5R2/1P5P/P5PK/8 b - -,g6f5
2r3k1/1p5p/4N1p1/1P2b3/4P3/p4PP1/3R3P/7K w - -,d2a2
r1b3k1/ppq4p/4n1p1/2p1b3/7P/2PP1QP1/P1PB2B1/1R4K1 w - -,h4h5
q1r2rk1/1b1nbp1p/3p1np1/1N1Pp3/1P6/PB2BN1P/4QPP1/2R2RK1 b - -,f6d5
r4rk1/p2bqpp1/2n4p/1p1p4/2pP4/4PN2/PPQ1BPPP/R3R1K1 w - -,f3d2
7r/6k1/3qpp2/2Np1bp1/pPpPP3/P1Q4P/5PP1/2R3K1 b - -,d5e4
r2qkb1r/ppp2ppp/2np1n2/4p3/3PPPb1/2N5/PPP1N1PP/R1BQKB1R w KQkq -,f4e5
r3r1k1/pp3pbp/n4np1/qQpP1bB1/8/2N2N2/PP2BPPP/3R1RK1 b - -,a5b5
2bq1rk1/1pp2p1p/1p1p1np1/4p1N1/4P3/2PB2Q1/rP1P1PPP/2R1K2R w K -,c1b1
2q2rk1/2p2pbp/1r2p1p1/pp1nN3/3P4/1PP2QBP/P3RPP1/4R1K1 b - -,f7f6
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq -,b7b6:b7b5:b8d7:c8g4:c8f5:g7g6:e7e6:c7c6:c7c5
1brqnrk1/pp1b1p1p/3p2p1/P2Pp2n/1P2P3/1QN1B1N1/2R2PPP/2R2BK1 b - -,h5f4
7r/1p2kpp1/2p4p/4n1nP/p3P3/P1P1R1P1/BP6/2K4R w - -,h1d1
2r1r1k1/1pb2ppp/p1b2n2/8/2BB2P1/1P2NP2/P5qP/3R1RK1 w - -,e3g2
3r1k1r/pp3pp1/2n5/8/1b1q1Bp1/6P1/PP2QPBP/R2R2K1 b - -,d4f6
r2qk1nr/ppp2pbp/2npb1p1/3Np3/2P5/4P1P1/PP1PNPBP/R1BQK2R b KQkq -,g8f6:d8d7
3R4/1pp1r3/p4kp1/2P1np2/1P2p3/P3P1PP/4B3/5K2 b - -,c7c6
r2q1rk1/1bp1npb1/p1np2pp/1p6/3PPB2/1BN2N1P/PP3PP1/R2Q1RK1 b - -,c6a5
r1b4r/pp2kp1p/3bpq2/1Bn2p2/5P2/2P1P1Q1/P2NN1PP/1R2K2R w K -,e2d4
8/p5k1/bp1qBp2/2pP1p2/2P5/6P1/P3QK2/8 w - -,e2h5
r1b2r2/p1q2p1k/3Rp1p1/1p5n/4N3/1PP5/P2Q1PPP/2KR4 w - -,g2g4
r1b2rk1/p4ppp/1p2pq2/2b5/4Q3/3B1N2/PPP2PPP/R3K2R b KQ -,f6g6
4r3/N4p1k/1p5p/2b5/4n1p1/P1NR2P1/1P4P1/5K2 w - -,c3e4
r2N1r2/p2bb2k/6pp/4B3/1P1pPp2/PN1P4/6PP/R4RK1 b - -,a8d8
r2q1rk1/pp2bpnp/2p2np1/3p1b2/3P3B/2NBPP2/PPQ1N1PP/R4R1K w - -,e3e4
5bk1/p4p2/1npr1qpp/2N1p3/4P3/5B1P/PPQ2PP1/2R3K1 b - -,f6f4
5rk1/6p1/p4p2/1prPp2p/3nNP1P/8/PPPR2P1/2K4R b - -,c5c4
r2q1rk1/pbpn1ppp/1p3n2/3p4/1b1P4/2NBP1N1/PP3PPP/R1BQ1RK1 w - -,g3f5
r7/1p4k1/1q2brpp/n2p4/Pp1PpP2/1B6/2NQ1PP1/RR4K1 b - -,a5c6
r3k2r/pp3ppp/4p1N1/3pP3/2nn2Pb/5PN1/PP4KP/R1B2B1R b kq -,h7g6
r2q1rk1/p1pnppbp/1p1p2p1/n2P4/2P1P3/2N1B3/PP1NQPPP/R4RK1 w - -,a1c1
8/6p1/2R4b/4p3/N5k1/4r3/5K2/8 b - -,e3f3
r1b1k2r/ppppqppp/2n5/4N3/1bP2B2/P7/1P1NPPPP/R2QKB1R b KQkq -,c6e5
1r3rk1/4bpp1/B3q2p/1Pp1P3/8/P1Q1N1Pb/5P1K/B3R3 w - -,a3a4
B1r3k1/5pbp/p5p1/3p4/8/4B2P/PP3PP1/4R1K1 b - -,c8a8
1r3rk1/p2b1ppp/3p1q2/2pP4/PpN5/8/1P3PPP/R2Q1RK1 w - -,b2b3
8/7p/p4k2/1p2p3/1P2P3/P1B4P/4K3/2b5 w - -,e2d1
3b4/p7/2k5/4R1p1/1PP1N2p/5rPP/P4P2/2K5 w - -,a2a4
r1b1r1k1/pp1n1pp1/1qpb1n1p/3p4/3P3B/2NBPN2/PPQ2PPP/1R3RK1 b - -,b6c7
rnb2rk1/ppq1ppbp/5np1/8/2B5/2P1BN2/PP1N1PPP/R2QK2R w KQ -,e1g1
2r2rk1/p4ppp/1pnR3q/8/1P4Q1/P5P1/1b2PPBP/R5K1 w - -,d6h6
8/8/4k3/1p3p1p/p2K1B1P/PP3PP1/8/5b2 w - -,b3a4
r4n1k/2q3bp/p2p4/2pPpP2/PpP4P/3N1P2/P2QK3/6RR b - -,a8e8
3r3r/1k3p2/1p5p/P2nPppN/8/b4N1P/5PP1/2R1R1K1 w - -,c1a1
r3kb1r/1b3pp1/p2p1n1p/4p3/PpB1P3/4B2P/1PPN1PP1/2KR3R w kq -,f2f3
2rr2k1/Q4p1p/1p3b2/2p3p1/1P1pB3/P5P1/3q1P1P/1R2R1K1 w - -,a7b6
2r2rk1/1p1bq2p/p3pbp1/1n1pN3/3B1PP1/3P1N2/PP2QR1P/R5K1 w - -,e2e3
8/7k/6p1/2b3qp/P7/5Q2/5pK1/5B2 w - -,f3g3
8/8/6k1/5R2/6P1/r7/6K1/8 b - -,a3b3
r5k1/pq1p1n2/bp1Pp2p/8/3R1Pp1/P1Q5/1P5P/4R1K1 w - -,f4f5
2rqr1k1/1p1nbppp/p4nb1/3p2B1/3N4/2PB1N1P/PPQ2PP1/3RR1K1 w - -,d3g6
3r1rk1/1bqn1pbp/pN2p1p1/1pP1p3/PP2P3/3BB3/4QPPP/2R2RK1 b - a3,b5a4
4bB1R/8/2n3k1/4p1pp/3pP3/3P2P1/5K1P/8 w - -,h8h6
1r6/p3pbk1/2p1Bq2/3p1P2/PP1P2p1/3K2Pp/5R1P/4Q3 w - -,e6f7
2R1nrk1/3n1ppp/1p1q4/p2P4/3P4/P2Q2P1/3N1PBP/6K1 w - -,d2c4
8/5p2/3p2p1/5kP1/1P6/2r2PK1/4R3/8 w - -,e2e7
5k2/1N4p1/p7/P1pPp3/2Pn4/8/1P3r2/1K1R4 b - -,g7g5
r1q1r1k1/pp3pp1/2pn1n1p/3Pp3/8/2P2NP1/P1Q1PPKP/2BR1R2 w - -,d5c6
r3kbnr/1p1b2pp/2n2p2/pBP1p3/1P6/2P5/P2BNPPP/RN1K3R b kq -,g8e7
r2qk2r/pb1nbppp/1p1ppn2/1B6/3P1B2/2P2N2/PP1N1PPP/R2Q1RK1 w kq -,f1e1
8/8/6k1/6p1/4P2p/5R1P/5KP1/r7 b - -,a1a2
q4rk1/5ppp/2p1p3/1pPpP3/1P2nP2/3QP3/1B4PP/5RK1 w - -,f1a1
rn3rk1/3bppbp/1q3np1/pp1P4/3P1B2/PBN5/1P2NPPP/R2Q1RK1 b - -,b8a6
5r1k/6bp/1pr1p1p1/p2p4/3P2Nq/2P1Q2P/PP2RP2/4R1K1 w - -,g1g2
6k1/1p1b1p2/3R2pp/1p6/1N2r3/2P5/1B4PP/6K1 b - -,d7e6
2kr4/pp1nqp2/2p1p1p1/7r/P1PP1P1p/bP1B1Q2/1B4PP/4RRK1 w - -,b2a1
3rr1k1/1pq2pp1/p1p1bb1p/2P1p3/4P3/1P2QNNP/1P3PP1/3RR1K1 b - -,c7a5
8/5pp1/p1k2n1p/P2p1p2/3P4/1P2KP2/N5PP/8 w - -,a2c3
q1rb4/p2r2kp/1pbpnp2/3Np1pP/1PP1P1P1/P1R1BPK1/B2Q4/2R5 w - -,e3f2
r4rk1/ppQ2pbp/2n3p1/3q4/3P2b1/5N2/PPP2PPP/RNB2RK1 w - -,b1d2
r4r1k/ppp1q1b1/1nn3Pp/4P3/4p3/4Q2R/PP2B1PP/3R2K1 w - -,h3h6
r1bq1rk1/2n2pbp/pp1p1np1/2pPp3/P1P1P3/2N2NP1/1P3PBP/R1BQR1K1 w - -,e1f1
6k1/p5pp/8/2p2p2/P4N2/b1KP4/2P2PPP/8 b - -,g8f7
r3kbr1/1p1b1p2/p2p1n1p/q1pPp2n/P1P1P2R/2N2PP1/1P2BB2/R2Q1KN1 w q -,f3f4
5rk1/7p/4Q1p1/R7/Pp1N4/3K4/1q6/8 b - -,g8h8
4r1k1/Qp3pp1/b6p/8/4qP2/3rNR2/PP4PP/2R4K w - -,c1e1
8/2p2B2/3k1p2/p7/2p5/PbPp2P1/1P1K4/8 b - -,d6c5
4B2k/1b2nppp/p4q2/4pP2/4P3/PNrR3P/2P1Q2K/8 b - -,c3c8
2r5/3bkp2/4pp2/R7/P3P2p/5P2/6PP/5BK1 b - -,c8c1
2r1r1k1/p2b1pp1/1pn2q1p/3Pp2R/7P/2PB4/P3QPP1/1RB3K1 b - -,c6e7
r2qk2r/1b1n1p1p/pppb1np1/3p4/3P3N/PQN3P1/1P2PPBP/R1B2RK1 w kq -,e2e4
r2r4/pb3kbp/1p2qnp1/8/2B5/2B4P/2PP1PP1/R4QK1 w - -,c4e6
r1bq1rk1/1p3ppp/2n2n2/p1b3B1/3pN3/P4NP1/1P2PPBP/R2Q1RK1 b - -,c5e7
5r1k/1p4pp/pPrPBn2/2p4q/1P3p2/4pP2/2R3PP/3QR1K1 b - -,f8d8
r1bqkbnr/1p3ppp/p1npp3/2p5/P1B1PP2/2N5/1PPP2PP/R1BQK1NR w KQkq -,g1f3
1q4k1/4bpp1/p1p4p/2P1p3/2N5/1P2Q1P1/P4PKP/8 b - -,b8b5
r5k1/p1nq1rb1/1p1p2p1/2pPp1P1/2P1P2R/4B3/PP1NK3/3Q3R b - -,g8f8
8/3rkp2/1p4p1/p1brP2p/5R2/5NP1/P1R2PKP/8 w - -,h2h4
6k1/1p2rpb1/2p3pp/8/8/pP2P1P1/P2r1R1P/2R2BK1 b - -,e7d7
3r4/5kpp/p4p2/2PPb3/1R4P1/4Nb1P/5PN1/6K1 w - -,d5d6
4k3/7p/3P2p1/6P1/p7/1pK4P/8/8 b - -,e8d7
r4rk1/p2q1ppp/np3n2/3p4/P1pP4/2P1P3/1BQ1NPPP/R4RK1 b - -,f8e8
8/1b4kp/p2p4/1p1q2p1/1P6/2P1B2P/1P3QPK/8 b - -,h7h6
r4rk1/pp3ppp/1qp1p3/4N1P1/2PPR3/P4Q1P/1Pn2P2/3R2K1 b - -,b6b2
r1b2rk1/p2nbppp/2p1pn2/q7/Np1P1B2/1Q2PN2/PP2BPPP/R3K2R w KQ -,e1g1
k3r3/pp3pp1/3P3p/4p2n/8/P1B3P1/1P2RP2/1K6 b - -,f7f6
2b3k1/6pp/2N1pq2/3r1p2/1P3P2/P3Q1P1/4P2P/5RK1 w - -,f1c1
2rq1rk1/p2n1ppp/1pbb1n2/8/7Q/2N2NP1/PP3PBP/R1BR2K1 b - -,d8c7
r4rk1/pp2pp1p/4b1p1/4q3/4Bn2/2N3P1/PPQ2P1P/R4RK1 b - -,f4h5
6k1/6p1/5rp1/1QP2q2/P2Pp3/5nBP/5PP1/4R1K1 w - -,g2f3
2Rrq2k/pp4p1/5n1p/P4P2/2Q2p2/3P3P/1P3PB1/6K1 w - -,g2b7
8/2r2pk1/3R3p/3B2p1/2p4P/6P1/5KP1/1b6 w - -,h4g5
1rbq1r1k/p6p/2p2p2/2pp1p1Q/6n1/2NP1N2/PPP3PP/R4RK1 w - -,h2h3
8/8/1pbp1pr1/p1k3P1/P1P1PK1p/1P3P2/7R/3B4 w - -,g5f6
8/8/p5k1/2N1p3/P4p1K/5P1P/8/5n2 b - -,f1h2
8/5pk1/3bp2p/6p1/6P1/3B3P/R4PK1/2r5 b - -,c1c3
n1q1kbB1/5pp1/4p2B/3pP2N/1p1P4/nPr2N2/R2Q1PPP/5bK1 w - -,d2f4
5r1r/pb1k1p1p/1qp1p1p1/2ppP1P1/2P2Q2/1P1P2P1/P2B1PK1/1R5R b - -,d7c8
k2r3r/p2bqpn1/p1p5/3P4/3N2p1/2N1PQ1p/1P3P2/1K1R3R w - -,f3e2
r1b1k2r/1p1nbpp1/1q2p3/p2pP2p/1n1P4/5NN1/PP3PPP/RBBQK2R w KQkq h6,e1g1
rnbq1rk1/1pp1bppp/p3pn2/2Pp4/3P1B2/P1N2N2/1P2PPPP/R2QKB1R b KQ -,f6h5
4rk2/p1p5/r1pbb1p1/1p2p2p/2P1P1P1/1P2N2P/PB2RP2/R5K1 b - c3,b5c4
2rr2k1/1p1nbppp/1qp1p3/p3Pb2/2P1n3/PP3NP1/1B1N1PBP/R1Q2RK1 w - -,f3d4
r1b1k2r/1pp1bppp/3qn3/pPn5/2P5/P4NP1/1B1NPP1P/R2QKB1R w KQkq -,f1g2
8/4k3/3pp2R/7p/p3PK1P/5P2/8/r7 w - -,f4g5
8/1p6/p7/7P/P2r2P1/2k4K/3p4/3R4 w - -,h5h6
r3kbnr/p4ppp/2p1p3/4q3/3p4/NQ3P1P/PP1P1P2/R1B2RK1 w kq -,b3b7
8/1R2nkpp/5p2/8/1P6/P3n3/1B1rB1PP/6K1 w - -,g1f2
2r2rk1/2q1b1p1/pp2p2p/2pbP3/P7/NPPNpP2/Q1R3PP/5RK1 b - -,f8d8
1b6/4k1p1/2r1pn2/2p5/ppP1NP2/1P2BK1p/P3P2P/3R4 b - -,f6e4
rn1qk2r/4ppbp/2p2np1/1p3bB1/3P4/pPN1PN2/P3BPPP/R2QK2R b KQkq -,d8a5
r3kb1r/pp2qp2/2p2n1p/6p1/2nPp3/2N1P1N1/PPPQ1BPP/R3K2R w KQkq -,d2e2
rnbqkb1r/pp2pp1p/3p1np1/2p5/3PP3/2N3P1/PPP1NP1P/R1BQKB1R b KQkq d3,c5d4
8/5R2/1p1k2p1/p4pr1/P7/1P6/2K5/8 w - -,c2c3
r4k2/ppR1p1bp/3p2p1/3P4/8/1Pn1BBP1/5P1P/6K1 b - -,g7f6
r2kr3/pp1n2pp/2p1Np2/2n1p3/2P2P2/1PN3P1/P3P1BP/R4RK1 b - -,c5e6
2qr1bk1/1p2np2/r1b3p1/1Np4p/1pPpPP1P/P2B2P1/1BQR3K/2R5 w - -,a3b4
3r2k1/p4pp1/2p3q1/8/2P2Qb1/1P1p2P1/P6P/3NR1K1 w - -,f4d2
2k1rbn1/2pb1p1r/pp4p1/2p4p/4P3/1NB2PN1/PPP3PP/2KR3R w - -,h1e1
8/p1p5/1pPp1k2/1P1P4/P3pPr1/6P1/4n2P/3R3K b - -,f6f5
8/pp6/6p1/2p2k1p/2Pb1p2/5K1P/PP3P2/3R4 w - -,h3h4
3r2k1/p2P1p2/1r1b2p1/1R1R4/8/8/P5BP/6K1 b - -,b6b5
rnbq1rk1/pp1pbppp/2p3n1/8/2BPPp2/2N2N2/PPP3PP/R1BQ1RK1 w - -,f3e5
r1br2k1/1pq2pp1/p1p1pn1p/7P/2PN2P1/8/PPBBQP2/2KR2R1 b - -,d8d4
5rk1/1R1bb1pp/p1pp1n2/2q1p3/4PB2/2N5/P1PQB1PP/7K w - -,f4e3
6k1/3q1p1p/p3p2b/1p1p1p2/3Pn3/BP2P3/P1r1NPPP/2Q3K1 w - -,c1c2
4n3/1p1r1k1p/p3pp2/8/P3P2P/1nN1BP2/1P3K2/6R1 w - -,h4h5
3q1k2/r4pbp/p3p1pn/Pp1pP3/1N1P3P/1P1Q2P1/1Br2PK1/R7 w - -,d3c2
r2r3k/3Bp2p/p5p1/1pPPb1B1/2n4P/8/R4PP1/1R4K1 w - -,d7c6
7r/p2n2p1/3kp3/1p1bN3/2pP4/2P2P2/PP4P1/2K1RB2 b - -,h8h2
8/p6p/1p2k3/4p1p1/1P2Pp1n/P1K2P1P/6P1/4N3 b - -,e6d6
r7/5ppk/1p6/1B1pP3/1P2bP2/8/4RK1P/8 b - -,h7g6
8/8/R4pk1/8/6n1/3K4/8/8 w - -,d3e4
6k1/1p3p2/6p1/p1p3Qp/2Pq4/1P3R1P/P3rPPK/8 w - -,g5g3
r2r1qk1/pb3p2/1p2pP2/3p3Q/2P2P2/1P2p3/P2N1K1P/R7 w - -,f2e2
6k1/pb2qp2/2n3p1/P1p4p/2B1p3/2Q1P2P/1P1N1PP1/6K1 b - -,c6e5
r1bqk2r/pp3ppp/2nbpn2/3p4/3P1B2/2P2N2/PP1N1PPP/R2QKB1R w KQkq -,f4g3
7R/3p1k2/2b5/p5Rp/6p1/5r2/7K/8 b - -,f3h3
8/8/6R1/4k2P/4n2r/8/8/6K1 w - -,h5h6
1k4rr/1p1bbp2/p2ppp2/q4P2/4P2p/1PNB3R/1PP2QPP/1K1R4 b - -,d7c8
6k1/6bp/r3p1p1/2pp4/P1r2B2/1P2R1P1/4NPKP/1R6 b - -,c4c2
5rk1/p2b2bp/4q3/3p4/2R4Q/1N2P2P/PP4P1/3R2K1 w - -,c4c2
1r3rk1/3n3p/1qp1p1p1/p3P1Q1/P2P4/2B5/1P3PP1/2K2R1R b - -,f8f7
