8/8/1R2K3/r7/8/2kb4/8/8 b - -,c3d4
r1bq1rk1/ppp1p1bp/2np1np1/8/4P3/2N2NP1/PPP2PBP/R1BQ1RK1 w - -,d1e2
r2qk2r/pbp2pp1/1pnppn2/6Pp/2PPP3/P1NB4/1P3P1R/R1BQK3 b Qkq -,f6d7
r1b5/pp6/2p1kb1p/2n1pp2/2P4P/1P3NP1/PB3PB1/R5K1 w - -,b2e5
r1b1r1k1/3n1ppp/2qb1n2/4p3/p3P3/2N3P1/2Q2PBP/R1B1NRK1 w - -,c3d5
4B1k1/pn3r1p/1p4p1/2bPp1B1/4P3/8/P4rPP/1RR4K b - -,f7f8
1r4k1/3R1pp1/3bp1b1/1B5p/P6P/4P1P1/5P2/6K1 w - -,d7d6
8/p1r1k1p1/4pp2/b7/1P1R2P1/p1PN1P2/P2K4/8 b - b3,a5b6
5k2/p1q3p1/1p4p1/3P1p1r/4p3/P6P/1P1Q1PP1/4R1K1 w - -,d5d6
8/2K1B3/6p1/pk3p1p/5P2/7P/6P1/8 b - -,b5c4
1qr2bk1/1p3p2/pBn1rnpp/4p3/4P3/PQN2N1P/1P1R1PP1/3R2K1 b - -,g8g7
2r3k1/1p3n1p/p2p2p1/3P4/P4q2/5P2/2b1Q1PP/2R2B1K w - -,c1c2
r1b2rk1/pp1n1ppp/2pbpn2/q2p4/2PP4/P4NP1/1PQNPPBP/R1B2RK1 b - -,f8e8
rn2k2r/p1p1nppp/bp2p3/q2pP3/3P4/P1PB1N2/2PQ1PPP/1RB2RK1 b kq -,h7h6
8/3P1ppk/1b4rp/8/1Q3RPq/8/5PK1/5R2 w - -,b4e4
2r1r3/3q1p1k/p5pP/1pnp4/3NnP2/PP2P2P/1B2Q1K1/3RR3 w - -,e2g4
8/5kpp/p7/1p6/rP4K1/6P1/PR5P/8 b - -,f7f6
2r1k3/1pq1bp2/2n5/4Pb1r/1p1p1Pp1/P5Q1/1B1N1PB1/R3R1K1 b - -,e7h4
r1q2rk1/pp2ppbp/2n3p1/6B1/8/6PP/PP1QPPB1/R2R2K1 b - -,f8d8
8/k7/8/7p/5K1p/8/3N1bb1/8 b - -,f2g3
rn1q1rk1/5pp1/4pb1p/1BPpN3/1p1P4/pP4P1/P1Q2P1P/R3R1K1 b - -,d8a5
8/1R2b3/4k3/pn6/3P2K1/4P3/P7/8 b - -,b5c3
8/5pkp/6p1/3rn3/1p2P2P/1Pp1nPP1/P5B1/R5K1 w - -,e4d5
rnbq1rk1/ppp3bp/3p1p2/4p1p1/2PPP1nB/2N2N2/PP2BPPP/R2QK2R w KQ -,h4g3
5r1k/1ppnq1pp/1p3pn1/4p3/1P2P3/r1P1BN1P/P1Q2PP1/R3R1K1 b - -,f8a8
r5k1/1p3pp1/7p/1P1p1n2/1R1P4/4PN2/2r2PPP/5RK1 w - -,b4b1
8/6p1/4k3/pB1p4/NbnPpP2/1p2P3/4K2n/2BN4 w - -,a4c5
4rbk1/1b1R1p1p/4pPp1/p3p1P1/Pp2P3/1Pr3NP/2P2RBK/8 b - -,b7c6
r3r2k/1q2Np1p/3ppPpb/2pP4/P1Q1P3/1P6/1R3RPP/5K2 w - -,d5e6
7k/1p1R4/1r1B1K2/8/8/5p1P/6r1/8 w - -,f6f5
r3nrk1/1q2bppp/p1b5/1p2BR2/8/P1N3Q1/1PP1B1PP/5R1K b - -,f7f6
5r2/4k3/3n4/1p1Q2P1/1P2pb2/8/4KB2/8 w - -,f2c5
r4rk1/2b2ppp/4p3/2P1P3/1PQ5/6P1/1B3q1P/1K1R3R w - -,h1f1
8/pp1r1kpp/1bp2p2/3p4/1P1P4/P1PN2PP/5KP1/4R3 b - b3,d7e7
r2qr1k1/pb2bppp/1pnp1n2/2p1p3/3P4/P1PBPN1P/1P1N1PPB/R2Q1RK1 w - -,d4e5
8/8/p1pb1r2/P3p3/2k2rR1/2B2P1R/3PKP1P/8 b - -,f6e6
rn1q1rk1/ppp1ppbp/3p2p1/8/2PPb3/5NPB/PP2PP1P/R1BQ1RK1 w - -,f3d2:d4d5
r2r2k1/pp1b1ppp/2n1p3/7q/4n3/3BPN2/PP2QPPP/2RR2K1 w - -,d3e4
r3k2r/pp2b2p/2p1bp2/4N3/2BPp3/6Pq/PPP1Q2P/R3K2R w KQkq -,c4e6
r3brk1/1pR5/3p4/PQ1Pp1q1/4Bp2/2N2P2/3KN3/8 w - -,b5b4
2r3k1/2q3b1/p4n2/1ppbp1Q1/8/2P1p2P/PP1N2P1/2R2RK1 w - -,g5e3
2r1k2r/pbpn1p1p/1p2pbp1/8/2PP3P/2PBQ1B1/P4P2/2K3R1 w k -,h4h5
8/6p1/5pk1/2R2q1p/pr2p2P/4Q1P1/P4PK1/8 b - -,f5g4
r7/3r1ppk/p6p/2n5/2RPP3/7P/6PK/5R2 w - -,d4c5
2kr3r/pbqn4/1p2p3/2p2p2/P2PpQ2/2P3N1/2P2PPP/R1B2RK1 b - -,c7f4
6k1/pb3p2/1p3n1p/3p2p1/PP1P1n2/5PP1/2r4P/R3BBNK b - -,f4e6
rn3b1r/pp2kBpp/7n/2p1p3/4P1Q1/2NP2P1/PPP4P/R1B1K2R b KQ -,h6g4
8/1p1kbp2/4b1p1/3pPp1p/r2P1P1P/3KN1P1/1P1B4/2R5 b - -,a4a2
r1bqk2r/pp1n1ppp/2n1p3/3pP3/1b1P4/2NB1N2/PP3PPP/R1BQK2R w KQkq -,e1g1
1R6/6pk/1p3r1p/p2p4/3P4/1P4Pb/P6P/4R1K1 w - -,b8d8
r7/2r3p1/1p3pk1/7p/3R1Pb1/2B5/1PP3PP/2K1R3 b - -,a8a1
1q1r1rk1/1p2pp2/p5p1/3Pp1Pn/1Q5p/1P2P2P/P4PBK/3R1R2 b - -,e5e4
8/p2Q3p/2r3pk/1pp1qR2/8/3P3P/PPP1nKP1/1R6 b - -,e5f5
2rqr1k1/p3n1bp/1p4p1/2p2p2/2PpPB2/3P1QPP/PP4B1/3R1RK1 b - -,f5e4
4r1k1/2pR1pp1/pb5p/4P3/2q2B1P/2r1PQ2/6PK/5R2 w - -,d7d5
1k4r1/pb3p1r/1p2pP2/3pN2p/1RpPnQ2/P1P3PB/2q4P/5RK1 b - -,b8a8
2k1r3/Qp2qp2/8/2p3Pp/4P2P/8/PPP5/1K5R b - -,e8d8
r2r2k1/pp3pb1/2p3pp/4p2n/2PnP3/P1N1BPPN/1P2K2P/R2R4 w - -,e3d4
rnb1k2r/ppp2ppp/8/4P3/2p1n3/4P3/PP3PPP/R2NKBNR b kq -,b8c6
5r1r/p1k2p2/b1p1pRp1/2p1P2p/2P2K1P/2PB1P2/P2R2P1/8 b - -,c7c8
4r1k1/5pp1/7p/3PqQ2/8/6NP/6PK/8 w - -,f5d7
r1bqkb1r/1p2pppp/p1np1n2/2p5/4PP1P/2N4N/PPPP2P1/R1BQKB1R w KQkq -,h3g5
8/r4pk1/3K3p/7P/2B5/8/5R2/8 w - -,f2f1
1kr5/1p6/p4Q1p/5n2/5qP1/2NR4/PPP5/1K6 b - -,f4g4
r2r2k1/pp3ppp/4qn2/1bb2p2/2NB4/1P2P3/3R1PPP/1B1Q1RK1 b - -,c5b4
r1bqr1k1/1p3pp1/p2bnn1p/3pN3/2pP1B2/2N1PB1P/PPQ2PP1/2R1R1K1 b - -,d6c7
r5k1/2qnr1pp/pp1p4/3PpQ2/1PP5/P4P2/4B1PP/2RR2K1 b - -,a8f8
4r3/5k1p/1pp5/4p3/p1P2p2/P2n1P2/NP5P/4R1K1 w - -,e1e2
5k2/4p3/3pPpp1/3P4/1p3PP1/1B2K3/P7/2r5 w - -,e3f3
8/6k1/3p1p2/5Q1p/6pP/6P1/q6K/8 w - -,h2h1
8/4k2p/p7/1p2p3/1P2P1bP/P3K1P1/2P5/3R4 w - -,d1d5
8/1pk1r1p1/1R6/PP3KP1/8/8/8/8 b - -,e7f7
5r2/p4pk1/3p2p1/6b1/1r1PB3/1N2nRP1/P6P/R6K w - -,a1e1
rn3rk1/p2p1pp1/1p3q1p/3p4/8/P4BP1/1P1QPP1P/R4RK1 b - -,b8c6
3r1k2/2nbpp2/3p2pp/8/prN1P3/P1P3P1/5PBP/1R4K1 w - -,c3b4
2R2bk1/pp2pp1p/1q4p1/3p1n2/3P4/PP4P1/1B2PPBP/3R2K1 w - -,g2d5
r1r3k1/3qbppp/p1n1pn2/1p1p4/5B2/P1NP1BP1/1P2PP1P/R1RQ2K1 w - b6,f3g2
r1bq1rk1/ppppbppp/8/2nBnN2/5P2/8/PPP3PP/RNBQ1RK1 b - f3,e5g6
8/4kp2/3p3p/3Pp2P/2K1P1N1/6b1/8/8 b - -,g3f4
8/3b2p1/8/2k4p/4B3/2N5/prP3PP/4R2K w - -,c3a2
q1r2bk1/1Q1R1p2/4p1p1/p3Pn1p/5P1P/2N3P1/PP3B2/6K1 b - -,a8b7
7k/8/4r3/7p/Pp1R2p1/4nB2/1P4P1/6K1 b - -,g4f3
r1b2r2/1pp2pk1/p2p4/5Pqp/4P3/1BPP1Q2/PP6/5KR1 b - -,g5g1
8/2p5/1p6/p1r5/2P2k1R/PK6/5P2/8 b - -,f4f3
8/1p6/1B1k1p2/3b1rpp/3R3P/3P2P1/4K3/8 w - -,d4b4
nr3rk1/5p1p/3P2p1/2qbp3/1p1N4/pP4P1/P2N1Q1P/1R3RK1 w - -,d4e2
r1b1r1k1/ppqn1pbp/2pp1np1/8/2PN4/1PN1P1P1/PB3PBP/2RQ1RK1 b - -,d7c5
r1b1k2r/4bp2/1qpp2p1/p1n1p2p/2P1P1nP/BPN3P1/P1Q1NPB1/3R1RK1 w kq -,c3a4
r1b2rk1/p7/2p1p1p1/2p1P2p/8/2PQ2P1/q5BP/1R1R3K b - -,f8f5
6k1/1p3rb1/p1p2pR1/3p1Rp1/1P1Pr1p1/2P3B1/5PK1/8 w - -,g3d6
5r1k/1p3Bpp/p1q5/8/8/2pn2B1/4Q2K/5R2 b - -,c6h6
1nB1q2k/6p1/2b2p1p/p2pp3/Pp1P2Q1/1Pn1PP1P/2NN1KP1/8 b - -,e5d4
2b5/k1P5/1p3Rp1/p7/PqP5/1P6/Kr3P2/8 w - -,a2b2
5k2/6p1/p4p2/1n4PP/n3KP2/2pB4/8/B7 w - -,d3c2
rn2kbnr/ppp2ppp/3qb3/3p3Q/3P4/2N5/PPP2PPP/R1B1KBNR w KQkq -,g1f3
r1r3k1/5ppp/8/1pnQp1P1/2B5/4B2P/PPq2P2/KR5R w - b6,h1c1
7k/4q1pb/7p/1p2B3/pP2PQ2/P6P/5RPK/1r6 b - -,b1e1
r2qk2r/pb1nbppp/2p1pn2/1p6/8/1P3NP1/PBQPPPBP/RN3RK1 b kq -,e8g8
r4r1k/ppq1bpp1/4p2p/1b1pP2Q/3P1B1P/n1P3PN/P4P2/R3RBK1 w - -,f4h6
8/4kp2/pqP3p1/1p2p1r1/5n2/P1P2B2/1P1Q3P/4R2K b - -,e7f6
8/6pk/6p1/1r4Pp/4Rp2/5P2/5K2/8 b - -,b5g5
r1b1k2r/ppp1q3/4p2p/8/3B4/2PR2PR/P1P1QP2/2K5 b kq -,h8h7
r2q1rk1/p1pnbppp/1p1pp3/8/2PPb3/6P1/PP1BPPBP/2RQNRK1 b - -,e4g2
8/1pnn2kp/p5p1/3p1p2/P2P3P/1P2BPPB/6K1/8 w - -,g3g4
4r1k1/5p1p/6p1/R7/2p3P1/2B1K2P/8/2n5 w - -,e3f3
2kRb2r/pp5p/2p1nbp1/2q2p2/7P/2N1P1P1/PPQ1NPB1/2K4R b - -,f6d8
r5k1/5p1p/3Q2p1/8/8/PqP2P2/1P5P/1KR5 b - -,a8b8
8/1p6/p3kp2/1b4p1/1B4p1/P3K1P1/1P1R3P/3r4 b - -,d1e1
8/p4pk1/8/2R1P3/2p5/P5PK/5P2/2r5 b - -,g7g6
r4rk1/1p2bppp/p2qbn2/2p1p3/P1Bn4/BPNP1PN1/2P3PP/R2QR1K1 w - -,c4e6
r3k2r/1p3ppp/p3qnn1/2p5/3pP3/1P1P2PP/P1P1NQB1/R4RK1 w kq -,a1e1
8/5R2/2P1k3/3p1b1B/7K/4P2P/5r2/8 b - -,f2c2
r2qr1k1/ppp1bppp/3p4/2n5/6bP/2P1BN2/PPPQ1PP1/1K1R1B1R w - -,f1e2
4r3/3rppkp/1pq3p1/p5P1/P3R2P/2P1Q3/1P3P2/R5K1 w - -,b2b4
5k2/2P5/ppr2P2/4R3/4K1P1/8/P7/8 w - -,g4g5
3Nr3/2R5/1p3nk1/pP4p1/r3p3/4P2P/5PK1/3R4 w - -,d1d6
r2qk2r/pb1pbpp1/1pn1pn1p/2p5/3P3B/2PBPN2/PP1N1PPP/R2QK2R w KQkq -,e1g1
r1b2rk1/p5bp/1q2pnp1/2pp2B1/8/3B1N2/PPPQ1PPP/1R2R1K1 w - -,c2c3
4b3/1R6/3K4/1p3k2/8/8/8/8 w - -,b7b8
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2P5/1PN1PN2/PB1P1PPP/R2QKB1R b KQkq -,f8d6
2r2rk1/p4ppp/1n3q2/3bp3/1P6/2n1P1N1/1Q2BPPP/R1B1R1K1 b - -,b6a4
r2q1rk1/pp1b1ppp/4p3/3nn3/1P2P3/2P5/4NPPP/RBBQ1RK1 b - -,d5b6
1q6/1r1k3p/Q2R2p1/p2Ppp2/P3P3/1P4PP/5PK1/8 b - -,d7e7
2rr2k1/pp3p1p/6p1/5b2/3b4/5BB1/PP3PPP/R4RK1 b - -,b7b6
8/5pkp/p1q3p1/P7/2P5/1p1Q2P1/4r2P/5R1K w - -,d3d5
r1b4k/1p1q1rpp/1B6/p2Pp3/P1B1Nn1b/1Q6/1P3PPP/4RRK1 w - -,e4g3
1rbq1rk1/2p2p1p/3p1np1/2nPp3/2P1P3/Q1N3PP/P2B1PB1/R4RK1 b - -,c8a6
r1b1kbnr/3p1p1p/pq2p1p1/1p6/4P3/1BpP4/PP2NPPP/R1BQK2R w KQkq -,b2c3
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/2N3P1/PPPPNPBP/R1BQ1RK1 w kq e6,d2d3
r5k1/p3pp1p/5bp1/1p6/q5b1/2PB4/1P1Q2PP/2KR3R w - b6,d2c2
rn1qkb1r/ppnbpppp/8/2p5/Q7/2N3P1/PP1PPPBP/R1B1K1NR w KQkq -,a4b3
r1bqkbnr/1p2pp1p/p1np2p1/8/2P1P3/5N2/PP3PPP/RNBQKB1R w KQkq -,b1c3
r2r1bk1/1qn2ppp/8/p1pp4/Q4N2/4PN2/PP1R1PPP/3R2K1 w - a6,f3e5
8/7p/1b4k1/5PP1/3r4/8/4KP2/5R2 b - -,g6f5
2q1nrk1/1r4bp/pp1p2p1/2pPp1B1/P1P1N3/R4PP1/1P1Q2KP/2R5 b - -,b7f7
8/5pk1/4p3/3pPp2/5Prp/3KB1b1/4NR2/8 w - -,e2g3
8/3k1p1p/4p1p1/2Pp4/bp6/4P2P/1n1N1PP1/1B2K3 w - -,d2f3
r5k1/1RR2p2/p3b1p1/7p/4PP2/r1b1B2P/P4KP1/2N5 w - -,g2g4
r4rk1/1bq1bp1p/p2ppnp1/1pn2P2/3NP3/P1NB3Q/1PPB2PP/4RR1K b - -,e6e5
8/p2r1k1p/1p3p2/2p3P1/6K1/2Pn4/PP2RB1P/8 b - -,f6g5
k1r5/pp2Q3/3rp1pp/2qp4/3N1PP1/1P3N2/P1P4P/1K1R4 b - -,c8c7
b1r2rk1/5ppp/p3p3/q1P5/5P2/2RBQ3/6PP/5RK1 b - -,g7g6
3rr1k1/1b1q1pb1/p1nBp1p1/1p5p/3P3P/2P2NQ1/P1B2PP1/3RR1K1 w - -,d6f4
8/2R2p2/4pk2/7p/4B1p1/1K3P1r/8/8 w - -,c7c3
5rk1/pp2n1bp/1n3pp1/1P2p3/1P1p3N/3P2P1/4PPBP/R1B3K1 b - -,f8c8
k3n3/1R6/2P5/3P1Np1/2K3P1/8/5P2/7r w - -,b7f7
r2q1rk1/1pp3pp/p1pb1pn1/8/4P1P1/2Q1BN2/PPPN1P2/3R1RK1 b - -,d8d7
8/8/7p/8/5K2/8/8/6k1 w - -,f4g4
8/1r6/7k/7P/8/b7/1pK5/1R6 w - -,b1h1
r1bqk2r/pp2ppbp/3p1np1/8/4PP2/2PB4/P2PN1PP/R1BQK2R b KQkq -,e8g8
1r2r1k1/1p3pbp/p2p2pB/q1p4n/P2nP3/2NB1P1P/1PPQ2P1/R2R2K1 b - -,a5d8
3r2k1/5pb1/pp4pp/4P3/P1p2PP1/3r4/2R4P/1R5K w - -,b1b6
r2q1rk1/pp4bp/2npb1p1/2p1p3/2PnPP2/2N3P1/PPN3BP/1RBQ1RK1 w - -,c3d5
8/p3nkpp/5p2/2QP1q2/8/P3B1P1/5PKP/8 b - -,a7a6
8/p4k1r/1pb1pB2/3pP3/1PpK1P2/P1P3R1/8/8 w - -,d4e3
2B1k2r/2q2p2/4p1p1/3p3p/5P2/2P1b3/1P1nQ1PP/4RRK1 w k -,e2e3
2kr1bnr/p2q4/1np1p1B1/1p1pP3/3P2p1/1P2B3/P1PQ3P/2KN2RR b - -,g8h6
8/3b1p1p/2k5/p1P5/3K1P1P/4N3/P7/8 b - -,c6b5
7r/p7/1pp5/2Pbkp2/1P1Rp2p/P3P1P1/5P2/5BK1 b - -,h4g3
3r3k/1q4pp/1p1P1p2/r1b1pP2/p5P1/P1N5/1P1Q3P/2RR3K w - -,d2g2
3r4/p4ppk/1n3q1p/5P2/3bQP2/P1N4P/1PR1BP2/1K6 b - -,d4f2
8/5n2/6K1/5p2/7P/6k1/8/8 b - -,f5f4
7k/8/8/5QKP/5P2/8/8/6q1 w - -,f5g4
8/5p2/6k1/1Rn2rpp/p7/2R1K1PP/5P2/8 b - -,c5e6
1k1r3r/2p5/1p2pq2/nPPnR2p/Q2P1p2/P4P2/1K5P/3RBB2 w - -,e1a5
3q3k/p4bb1/2n1p1p1/4P2p/6N1/P7/6PQ/1B3R1K b - -,h8g8
2R5/6kp/8/p7/8/4P1P1/r1nN1K1P/8 w - -,h2h3
1rbq1rk1/5ppp/p1np3b/1p1Np3/4P2P/2P1N1P1/PP3P2/R2QKB1R b KQ -,c6e7
2R5/1p4kp/1pb1p3/4P1p1/4r1P1/1P2K2P/1P2B3/8 w - -,e3f2
8/p3rp1p/1p4k1/4r3/6Q1/1P3K2/P6P/8 b - -,e5g5
r3r1k1/1p1b1pbp/3p1np1/q1nP4/p1P1p1P1/P1N1BP1P/1PBNQ3/R4RK1 b - -,h7h5
8/7p/ppp3p1/P2pk3/1Pr4P/1RP2PK1/8/8 b - -,b6b5
8/1p3k2/8/p7/P2K4/1r6/2R5/8 b - -,f7e6
3r2k1/3B1pp1/5b1p/5Q1P/7P/1P2KP2/Pqr5/3RR3 b - -,b2c3
rn1qkb1r/ppp2ppp/3p1n2/3P1b2/2P5/2N1BP2/PP4PP/R2QKBNR b KQkq -,f8e7
rn2k2r/1p1nq1bp/p3p1p1/2pP4/6b1/2NB1N2/PP4PP/R1BQ1RK1 w kq -,d5e6
q7/8/8/4P3/1P1Q4/3K4/6k1/8 b - -,a8a6
3r2k1/pQ3ppp/8/2P3q1/5n2/P2r3P/1PR3BN/4R1K1 w - -,b7e7
rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq e6,g1f3:e2e4
r1b1k2r/ppqnbpp1/2pp1n1p/4p3/3PP2B/2N2N2/PPPQ1PPP/2KR1B1R w kq -,c1b1
8/2p5/1p1p2k1/1PnP3p/1NP1Ppp1/5P1P/4K1P1/8 w - -,h3g4
r1bqk2r/1p1n1ppp/p2ppn2/8/P1BP4/2N1PN2/1P3PPP/R2QK2R b KQkq -,e8g8
2rr2k1/pb3p1p/1pn1p1p1/3P4/2P2nq1/PN3NP1/1R2BP1P/3Q1RK1 w - -,f3h4
r2r2k1/5p1p/p1nb2p1/1p1N4/8/7P/PP3PP1/3RRBK1 w - -,d5f6
1Q6/8/8/8/6K1/6p1/6r1/7k w - -,g4h3
8/5pkp/p2R2p1/1b6/8/4N1P1/r2RrP2/6K1 w - -,d2a2
6k1/q2b1pp1/2n1p2p/3pP3/1p3P1P/1P2PN2/2Q1BKP1/8 b - -,d5d4
1n2rk2/7p/4p1p1/pbN1Np2/1b1PpP2/4P3/1P3KPP/R1R5 w - -,c5b3
rn2k1r1/ppqbnp2/4p3/3pP3/5P2/P1pQ4/2P1N1PP/R1B1KB1R b KQq -,b8a6
2r3k1/4bpp1/p3pnp1/1pn1q3/8/P1N1P2P/1P2BPP1/1Q1RB1K1 w - -,e2f3
8/kp2q3/p7/2np4/b1pQ4/P1Pr1N2/6PP/1R5K w - -,d4g1
8/2pn4/p2pp1k1/P3p1P1/R2PPn2/2P1KP2/5RP1/1r6 w - -,d4e5
8/1r3pkn/6p1/7p/1p1R4/1B2P1PP/P3KP2/8 w - -,f2f4
4r3/3R4/1p5k/pP2r2p/P3nN2/1P3KP1/4p3/4R3 b - -,e5g5
