2R5/1P6/3Np1k1/3bP3/p2K2p1/Pr6/8/8 b - -,d5b7
r3r1k1/1pq2pbp/p1n2n2/2p1pbp1/2N1P3/1PP2PP1/PB2Q1BP/R4RK1 w - -,e4f5
rr2b3/4kp2/4p1pp/2Np4/Pp1P1P2/1P4PP/4RK2/2R5 b - -,a8a7
rn1qkb1r/pb3ppp/2p1pn2/1p4B1/P1pP4/5NP1/1P2PPBP/RN1Q1RK1 b kq a3,a7a6
8/4kp2/4p1p1/p1n3P1/1pBNbP1r/1P6/PKP1R3/8 w - -,e2f2
8/2p2p1p/3r1kp1/p3p3/1pP5/PP3P1P/2K1R1P1/8 w - -,c2c1
r1b3k1/ppq2ppp/2p2n2/4r3/3NP3/PB3P2/6PP/1RQ2R1K b - -,e5h5
r4rk1/pp2qppp/2pP1nn1/4p3/2N1P3/2N1bPPb/PP1QB2P/R3K2R w KQ -,c4e3
2b1r1k1/1p3p1p/p2p2pb/2pPr3/P1P1Pp1q/2NB1P1P/1P1QR1P1/4R1K1 w - -,e2f2
r1bq1rk1/1p2bppp/n1pp4/p1n5/P1BQPB2/2N2N1P/1PP2PP1/R4RK1 b - -,a6b4
7k/1b4pp/1P1p2q1/4p3/7b/1P3r2/3QR1PP/R5K1 w - -,d2c2
5K2/8/6k1/4qp2/6p1/8/8/1Q6 w - -,b1b3
r1bq1rk1/pp1nppbp/5np1/1Bpp4/5P2/1P2PN2/PBPP2PP/RN1Q1RK1 w - -,a2a4
1r3b2/N5r1/1p2b2k/1Bp1p3/2P1Ppp1/8/1R3PPP/R5K1 b - -,b8a8
8/p2k3p/1nn2b2/1R2p1p1/P1PpP1K1/6PP/4B3/8 b - -,b6a4
1R6/8/3pp2P/8/2k2P2/2b3P1/6K1/1q2r3 w - -,b8b1
r4rk1/1pp1q2p/3p2p1/p1nPp1P1/2P2NBP/8/PP1Q4/2K2R1R b - -,f8f4
8/7k/1p3p2/p1p2P2/P1P2Ppp/1P6/5K1P/8 b - -,h7h6
4r1k1/5rpp/p1b1pp2/1pB2PPn/1P2P3/8/PKPN3P/3R2R1 w - -,f5e6
3q3b/p6Q/3kp3/4p1P1/1p3r1P/2nP1BK1/2R2P2/2R5 b - -,d8f8
8/5bk1/3R4/2n5/5K2/8/8/2B5 b - -,c5e6
8/4bpk1/6p1/2pb4/1p3P1R/1P2PB2/3R2K1/8 b - -,d5f3
r1bq1rk1/3n1ppp/p3p3/1pbpP3/Bn6/5N2/PPPNQPPP/R1B2RK1 w - b6,a4b3
3b2k1/1p3ppp/p1r1pn2/4B3/2P5/5P1P/PP2B1P1/2R3K1 w - -,c1d1
r2q2k1/pp3p2/4p1p1/3pPP2/7r/8/PP1Q4/1KR1R3 b - -,e6f5
rnbqkb1r/ppp3pp/3ppn2/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq c3,f8e7
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N3P1/PP3P1P/R1BQKBNR b KQkq -,b8c6:e8g8
6k1/1pR5/7p/3p4/p2P4/2P2pP1/r7/6K1 w - -,c7b7
8/3b1k2/p1n1p2p/1pBpP2P/3P4/1PK5/P3B3/8 w - -,e2d3
r5k1/6p1/2b3q1/1p2p2p/4pn2/3P1P1P/2P2NP1/2R2Q1K w - -,d3e4
3r1rk1/p1p1ppbp/n3bnp1/1p6/3P4/1PN2NP1/P3PPBP/R1B2RK1 b - -,b5b4
r1bqk2r/pp3pp1/2p2n2/2b5/4p2p/1PP3P1/3PPPBP/RNBQ1RK1 w kq -,d2d4
8/8/2B2n1p/4k3/1R4P1/1P4K1/8/5r2 b - -,f1g1
r2qkb1r/pp1n1ppp/2p1p1b1/3pPn2/3P4/1NP2N2/PP2BPPP/R1BQ1RK1 b kq -,f8e7:g6h5:h7h6
r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/6P1/PPQNPPBP/RNB1K2R b KQkq -,d8b6
8/8/6k1/1p6/2R5/P2n2P1/1PK5/8 b - -,b5c4
r3rnk1/p2bq1pp/2p5/1p3p2/3PpPP1/1NN1P1RP/PPQ5/1R4K1 w - -,b3c5
2r5/p4k2/3b3p/5pp1/8/2RN4/PP3PPP/6K1 b - -,c8c3
3r1rk1/1bp2ppp/pp2p3/7q/3P1b2/P2N1P2/1PP1Q1PP/3R1RK1 w - -,d3f4
5rk1/7p/p2Np1p1/1pp5/8/3n4/PP4PP/1R5K w - b6,b2b3
r1b2rk1/2p1q1b1/1p1p2p1/2nPpP1p/p1P4P/2N1B1P1/PP1QBP2/2K3RR b - -,c8f5
r3k2r/p3bp1p/q1p3pB/3nN3/2pP4/3Q4/5PPP/1R2R1K1 w kq -,e5c4
8/4np2/1p6/p1p1k1p1/P1P3Pp/1PP1K2P/2B2P2/8 b - -,e7c8
3Rr3/4P2k/5Qpp/p1B1p3/P7/1P6/K7/2q5 b - -,c1c2
r5k1/pp4b1/5r1p/2QPpp1q/2B5/5P2/PP3P2/2RR2K1 b - -,h5h3
8/1r4p1/5k2/3Kp3/5p1P/8/2R5/8 w - -,c2c6
3r2k1/p4pp1/1prppn1p/2p5/2PP4/B1P1PP1P/P5P1/1RR3K1 b - -,c5d4
2r1r1k1/pb3ppp/1qN2n2/1ppP4/4nN2/4P1P1/PQ3PBP/2RR2K1 w - -,g2f1
r1bbqrk1/pp4p1/2p4p/3pPp2/5N2/2Q1P1P1/PP3PBP/3R1RK1 b - -,g7g5
r1bqkb1r/pp1ppp1p/2n2np1/8/2PpP3/2N5/PP2NPPP/R1BQKB1R w KQkq -,e2d4
2r3k1/pp1Qbpp1/1q5p/8/8/P3P1B1/1P3PPP/5RK1 b - -,b6e6
2r5/R4bk1/1Rn3p1/8/P7/8/3KB3/8 w - -,a7b7
1r2b2k/1q3p1p/4pP1b/1p1p3P/1R4Q1/6R1/2P2PP1/6K1 b - -,e8d7
2kr3r/2q2ppp/2pbp3/p2n2P1/p2P3P/1B3Q2/1PPB1P2/1K2R2R w - -,b3a4
2R5/5kpp/1r2p3/2N5/p4P2/P3K1P1/7P/8 w - -,c5a4
2rq1rk1/pb1nbp1p/1p3np1/2pp4/3P4/1PNBPN2/PBQ2PPP/2RR2K1 w - -,c2b1
r1bqr1k1/4bppn/1p1p2np/p1pPp3/P1P1P3/1PNN4/3BBPPP/2Q1RRK1 w - -,e2h5
4n1k1/p1r1nNpp/1p3p2/1B2p3/PB2P3/5P2/1P3KPP/3R4 b - -,g8f7
r1b1k2r/pp1qbppp/4p3/2npP3/3N4/1P6/P1QBBPPP/R4RK1 b kq -,e8g8
8/1r1k1n2/2p1rp2/1pBp4/pP1P2Np/P1R1PPnP/2R3K1/8 w - -,c5f8
2n3k1/5pbp/6p1/8/8/P2n2PP/1P1BKP2/8 w - -,e2d3
7k/p6p/1pB2bp1/8/3r3P/8/PP3P2/4R1K1 w - -,h4h5
3r4/2Rb4/p4rkp/6p1/1P1NPp2/P1RP4/6PP/6K1 b - -,g5g4
r7/2pb2kp/1p1p2p1/pPnP1P2/2P2p2/P6P/2BN2P1/4R1K1 b - -,g6f5
1qr3k1/2bb1ppp/4p3/ppN1n3/1P2P3/P3QP2/5BPP/2R2BK1 b - -,a5b4
rr4k1/4Qnbp/6p1/q1pP4/6n1/2N2N2/PP4PP/R1B2RK1 b - -,a8a7
3rbq1k/1pn3b1/p3BnNp/P2p1PB1/2pN3Q/8/1PP3PP/3R2K1 b - -,e8g6
2r2k1r/1b3pp1/p6p/1pqpPp2/5Q2/2NR4/PPP3P1/1K5R w - -,d3d2
2rr4/pp3pkp/2n1bqp1/8/5N2/4N1P1/PPQ2P1P/R2R2K1 w - -,d1d8
1r1r2k1/2Rbbppp/pQ3n2/1p1p4/3N4/4P1P1/PP1B1PBP/2R3K1 b - -,b8b6
r1br4/1pq2pbk/p2pp1p1/2p1n2p/P1B1P2P/2NP2B1/1PPQ1PP1/R3R1K1 w - -,c4a2
5k2/8/4K1Rp/4P3/7P/8/8/r7 w - -,h4h5
r2q1r1k/pp2bppp/2n1p3/2npP3/5P2/3B1Q1P/PPP1N1P1/R1B2RK1 w - -,c1e3
8/6r1/8/8/4Bk1p/5P2/7K/8 w - -,e4d5
r4n1r/p4pk1/Pp1p1b2/1NpP1P2/2P1p1P1/1PR3P1/6K1/R5N1 w - -,a1e1
r1bq1rk1/ppp1npb1/2np2p1/7p/3NP2P/2N1BP2/PPPQ2P1/2KR1B1R b - -,c6e5
r1b1k2r/1p1npp2/p2p2pp/7n/4PP1B/q1P1QN2/P1P3PP/2KR1B1R w kq -,c1d2
6r1/1p3k2/2p5/6R1/P1P2N1p/6p1/1P3nP1/5K2 w - -,g5g8
r3k2r/3B1p1p/p3p1p1/R2pP3/2nP1P2/8/4N1PP/5RK1 b kq -,e8d7
r4rk1/p2q1ppp/n2p4/1ppP4/8/P2QP1P1/1P3P1P/1RB2RK1 w - -,b2b3
3r4/pp2kpp1/4pbp1/2r5/4R2P/1BP3P1/PP2RPK1/8 b - -,d8d6
b1rq1rk1/3nbppp/4pn2/1pp5/3PP3/1P3NP1/1B1N1PBP/1QRR2K1 b - -,d8b6
4r1k1/2p3pq/1p1pPp2/r6n/P1P1pP2/2B1P3/7P/R2Q2RK b - -,a5c5
r4rk1/pb5n/4p3/2p1P2p/1pP2ppP/3R4/P3BPPB/3R2K1 b - -,a7a5
r4rk1/p1pn1pbp/bp1p1q2/P2P1p2/3N2p1/4P1P1/1PP2PBP/RN1QR1K1 b - -,h7h5
1b1q1rk1/Rb2rp1p/1p4p1/2pPp3/2N1P3/1PQP2P1/1B5P/5RK1 w - -,a7b7
rnbqkb1r/pppp1ppp/4pn2/6B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq -,b7b6:f8e7:d7d6:d7d5:c7c5:h7h6
8/p1kpp2Q/b5p1/2p1b3/8/2q1B3/PrP3PP/4RRK1 b - -,a6f1
r4rk1/p2q1p1p/2n1p1p1/1RP1P1N1/2n1Q3/8/5PPP/2B2RK1 b - -,c4e5
rnb1kb1r/pp3ppp/4pn2/q7/2BP4/2N2N2/PP3PPP/R1BQK2R b KQkq -,f8e7
2nq1rk1/3b1pnp/3p2p1/2pPp3/1pP1P3/1P5P/2BQNPPN/r4RK1 w - -,f1a1
7k/R1r2pp1/4p2p/2Nq1n2/Q2P4/5PP1/6PK/8 b - -,c7a7
8/5p2/3k4/2R2p2/3PbP2/2P1R2P/4K3/7r b - -,h1h2
2nr2k1/1p3pb1/4p1p1/2q5/3PB1P1/5P1r/3Q1BR1/1R4K1 w - -,d4c5
r3k2r/2bnnpp1/1pp1bq1p/3p4/3P4/2QB1N1P/PP1N1PP1/R1B1R1K1 b kq -,e8g8
2B5/3Pk1pp/5p2/p7/1p4PP/1P1qpNK1/P7/2R5 w - -,c1c4
4r3/pp4p1/6n1/2kp4/8/2P2NP1/PP3K1P/R7 b - -,g6e5
3nrr1k/1pp4p/p3B1pb/2qp2N1/5P1P/2P4Q/PP4P1/4RR1K w - -,f4f5
r3k2r/1bqpnp1p/p4p1Q/1p2p3/1b2P3/2N2P2/PPP1N1PP/2KR1B1R b kq -,c7b6
8/1R3b2/5k2/8/8/p7/1p1K4/1B4r1 w - -,b1c2
8/1B2k1p1/4bp1p/2P4P/6P1/4BPK1/2r5/8 w - -,b7e4
2rr2k1/4bpp1/4b2p/2Np1p2/1p1P3P/P3B1P1/5PK1/1RR5 w - -,a3b4
r2qk2r/4bppp/1np1pnb1/pp6/1P1P4/P1NB2B1/2P1NPPP/1R1Q1RK1 w kq -,d3g6
8/3k3p/6p1/3K4/3B3P/6P1/r7/8 b - -,a2a3
r4r2/4pbkp/2pq1np1/pp1p1p2/3P1Q1P/2N3P1/PPP1PPB1/1K1R3R w - -,e2e3
r1bq1rk1/5pbp/p2p2p1/nppPn3/4P3/P1N1BP2/1PQ1B1PP/R1N2RK1 w - -,b2b3
7Q/8/1p4p1/4pq2/2P3kP/8/3K4/8 b - -,f5d7
8/1n6/1p2k1p1/2pR3p/2P2K2/1P5P/6P1/8 w - -,f4g5
8/8/pp6/2n5/2PK1p2/6k1/P3B3/8 b - -,g3g2
r1b1kb1r/1pq2p1p/pnn1p1p1/3pP1B1/8/N1PQ1N2/PPB2PPP/R3R1K1 b kq -,f8g7
r1bqr1k1/pp3pbp/n2p1np1/2pP2B1/4P3/2NB3P/PP2NPP1/R2Q1RK1 b - -,h7h6
5rk1/6p1/2Q5/3p4/p2P4/1P1qP3/KR6/8 w - -,c6d5
8/6pp/4k3/5p2/8/3r3P/5KP1/1R6 w - -,b1b5
r1b2N1k/4q1b1/2p3B1/p7/Pn6/5Q2/1PP1pPPP/3RR1K1 b - -,e2d1q
4k3/8/7R/3p4/3P2p1/1r3bBp/3K1P2/8 w - -,d2c2
4r1k1/ppp4p/3nPR1P/P2N3B/2n5/8/1P6/2K5 w - -,h5e8
4r2k/1rq2p2/2Np1R1p/p1p3pP/np2P3/3P2Nb/P1PQ4/2B3K1 w - -,f6h6
r1b1k1r1/ppq2p2/4p3/4Pn2/3Q1P2/P1p5/2P3PP/R1B1KB1R w KQq -,d4f2
r2q1rk1/pb3pbp/np2pnp1/2pp4/2PP4/PP3NP1/1B1NPPBP/R2Q1RK1 w - c6,e2e3
r1b2rk1/pp3pbp/3p2p1/1B1NnnN1/8/2P4P/PP3PP1/R1B2RK1 b - -,h7h6
k2qrnr1/p5pp/P1bBp3/1p1pPp1P/2pP4/2P3P1/2P2PB1/RQ2R1K1 w - -,b1b4
r2q1rk1/ppp1ppbp/1nn3p1/6B1/3PP3/2N2P2/PP1QBP1P/3RK2R w K -,d4d5
1k6/8/PK2np1p/7P/4P3/4N1p1/8/8 b - -,b8a8
rnbqk2r/pppn1pp1/4p2p/3pP3/1b1P2Q1/2N5/PPP2PPP/R1B1KBNR b KQkq -,g7g6
rn3rk1/1p3pp1/p4nbp/1N1P4/7P/4B3/1P3PBP/R3R1K1 b - -,b8d7
r1r3k1/4pp1p/5bp1/p1P5/nB6/R4P2/P1P1N1PP/5RK1 w - a6,a3a4
3rnb1r/1kpqp1p1/pp1P4/4p2p/P3Q2P/2N3P1/1PP2P2/3RR1K1 b - -,c7c6
2kr3r/pp1bnp1p/1q1p2p1/n1p1p3/4P3/2P3Q1/PPBPNPPP/R1BR2K1 b - -,f7f5
5rk1/pbq1bppp/1p6/2n1P3/2pN1P2/2P5/P1Q1R1PP/R1B3K1 b - -,c5d3
6k1/6p1/4pPp1/8/ppNb2P1/7P/PP4K1/8 b - -,g7f6
r2r4/1pknn1p1/2p1bp2/4p2p/p1P1N3/1P2P1PP/P2N1PB1/R2R2K1 w - -,g1f1
8/4K1P1/6q1/8/3k4/8/8/8 w - -,e7f8
2r3k1/3bbpp1/p1rp1n1p/4p3/2q1P3/B3QPP1/P3N2P/R2R1B1K w - -,d1d2
4q3/1pr2pk1/p7/P1pBbR1p/2QpP3/1P5P/1P3PK1/8 w - -,c4e2
1rb2r2/pp4bk/1q4pp/nNp1pp2/2P5/1N1P2P1/2Q1PPBP/1R3RK1 w - -,b3a5
r1b1k1nr/pp1q1ppp/2nb4/2p1p3/8/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -,e2e3
r1b1k2r/ppppqppp/2n5/4P3/2P2Bn1/P4N2/1P1QPPPP/R3KB1R b KQkq -,g4e5
3bk3/5ppp/1pR5/4p3/KPP5/8/5PPP/8 b - -,e8d7
r5k1/1p3pp1/p3r1q1/3p4/3Bb3/2P3PP/PP3QP1/3RR1K1 w - -,e1e3
8/1q2p2p/1pr3pk/p1bQPp2/P1P2P2/6PP/7K/1R1R4 w - -,g3g4
r3rk2/1q3pp1/p3p3/1pn3PQ/3n4/7R/PPPB2PP/5R1K w - -,d2c3
r4rk1/1pqn1ppp/2p2n2/3pp3/PP2P3/1Q1P1BPP/1b1N1P2/R4RK1 w - -,b3b2
2r2rk1/6pp/p2bqp2/8/Pp1Pp3/4P3/1P1B2PP/R2Q1RK1 w - -,a4a5
r2qkb1r/pp3ppp/2n2n2/3p4/3p2b1/2N3P1/PPPQNPBP/R1B1K2R w KQkq -,e2d4
8/4k3/3p1b2/2pPn3/2P1K3/1P5B/8/4B3 w - -,h3f1
4r1k1/p5q1/4br1p/4N3/1P2Q3/P5B1/2B2PP1/4R1K1 w - -,e1e3
rn1qkbnr/pb1p1ppp/1p2p3/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,g8f6:g8e7
r3k2r/1bqp1pp1/pp2pn2/7p/1PPNP1n1/P1N3P1/2Q1BPP1/2R1K2R b Kkq -,h8h6
r3r1k1/pp1b2pp/3qp3/5p1Q/3P1n1R/1P1B4/PB3PPP/R5K1 w - -,h5h7
r3k2r/ppp2ppp/2n1b3/4P3/2B5/5N2/PP3PPP/R3K2R w KQkq -,a1c1
6k1/1p3p2/3n2p1/p1pP4/PrP3P1/3B4/2K5/4R3 w - -,c2c3
3r2k1/ppp2pb1/6pp/4P3/5PP1/6NP/PP1r1RK1/R7 w - -,a1f1
5rk1/R5bn/3p2p1/1pqBp2p/2P5/3P2Pb/1BQ2P1K/4N3 b - -,g8h8
1rb2rk1/2qn2bp/pp1p2p1/2pPpp2/P1N1P3/1PN5/2PQBPPP/R3R1K1 w - f6,f2f3
r1b1nrk1/1pbn2pp/p1p5/2Pp1pq1/PP1PpP2/B1N1P2P/2Q1B1PN/R4R1K b - f3,e4f3
5k2/2r3p1/pn1qBp2/2pb4/3p1P1P/BP3PP1/P1Q5/4R1K1 w - -,e6g4
2rr3k/4b1pp/p1q1p3/2pnPp2/P1R2P2/BB3Q2/P5PP/3R2K1 b - -,c8c7
1k6/8/6pp/R1p2r2/7P/3n4/1r2BN2/5K2 w - -,e2d3
2r3k1/4q1bp/3RN1p1/p3P3/P1p5/4Q2P/5PP1/6K1 w - -,e6g7
3B4/p7/Pp1b4/1Pp5/2P1k3/5pp1/4K3/8 w - -,e2f1
r2qk2r/1p2bpp1/p1p1pn1p/n7/P1pP2PB/2N1PQ1P/1P3P2/3RKB1R w Kkq -,f1g2
r1bq2k1/pp3pbp/2n2np1/2Ppr3/3N4/2N2P2/PP1QBBPP/R4RK1 b - -,d8f8
1r1q1rk1/pb3p1p/np1ppbp1/2p5/2PPnN2/1P2PNP1/PB2QPBP/R2R2K1 b - -,d8e7
r1q2nk1/p5p1/P1p1bp1p/1pQ1p3/4P2B/2P5/1P3PPP/R2B2K1 b - -,c8d7
r2q1rk1/p4ppp/1pnbpn2/2pp1b2/Q2P1B2/2P1PN2/PP1NBPPP/R4RK1 b - -,d8c7
8/8/8/p1P2r2/1k1K4/5p2/5R2/8 b - -,f5c5
rnbq1rk1/pp2ppbp/6p1/2pn4/3P4/4PNP1/PP3PBP/RNBQ1RK1 b - -,c5d4
rnbqk2r/1p2ppbp/p2p1np1/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 w kq -,c1e3:f2f4:c1g5:a2a4
r1b2rk1/1pq1bppp/p1n1p3/8/3P4/2PQ1N2/P1B2PPP/R1B1R1K1 b - -,g7g6
1r4nr/2pk1ppp/8/2b5/8/2P2n2/PP2K1PP/RNB4R w - -,h1d1
2b1r1k1/2r2ppp/pp3n2/3B4/3P3B/P3P3/1P3PPP/3K2NR w - -,h4f6
r4rk1/3bpp1p/n2p2p1/PNpP4/4P3/2PB1P2/6PP/R3K2R w KQ -,e1d2
8/1p3pk1/p2p1bpp/2pP3q/P1P1Q3/1P1B1N2/5PK1/8 w - -,e4f4
8/4k3/3bP2p/5p2/1p2R3/1B3K2/P6r/8 w - f6,e4e1
4r3/3b4/6k1/1p1Pn3/3Q4/5p2/PP3P2/6K1 b - -,g6f5
r4r1k/6bp/2p5/2Pn1p2/1P2q3/4pN1P/1NQ3P1/1K1RR3 b - -,d5c3
rnb1k2r/pp2qppp/2p1p3/3p4/1bPPP3/5NP1/PP1N1PBP/R2Q1RK1 b kq e3,e8g8
r2r2k1/5pbp/6p1/p1R5/1P6/3p1NP1/R2B1P1P/6K1 b - -,a5b4
rn1q1rk1/1p3pbp/p2p1np1/2pP4/P1B1P1b1/2N2N2/1P3PPP/R1BQ1RK1 w - -,h2h3
7q/ppk2p1r/2p5/2bp2P1/P3bPQN/5RK1/8/5R2 b - -,h8b2
8/2p2p2/2Rb4/3p1kN1/5P2/6P1/6PK/3r4 b - -,f5f6
2r1k1nr/pp2ppbp/3p2p1/1q6/PP1pPP2/3P4/2PB2PP/RN2QRK1 b k a3,b5c6
r1b3k1/pp1rbppp/1qnppn2/1N4B1/4P3/1N3P2/PPPQ2PP/2KR1B1R w - -,d2e1
r2q1rk1/pppn1pbp/3p1np1/3Pp3/2P1P3/2N1BB2/PP3PPP/R2Q1RK1 b - -,f6e8
7r/kp6/pr6/2qp3P/3P1p2/2PBpPn1/PP5R/3KR3 w - -,d4c5
3r4/5pk1/3p1qpp/p1pR4/1r2R3/1P2PP1P/P5P1/3Q2K1 b - -,h6h5
r1b1k2r/2qn1pp1/p2p1b1p/1p2p3/3NPP2/2PB1N2/PP2Q1PP/4RRK1 w kq -,f4e5
8/3r1k2/3r1p1p/p1pP4/Pp2RPP1/1P3K2/3R4/8 b - -,d6d5
