6k1/p2r4/1b6/5PP1/7R/4p3/P3K3/8 b - -,d7d2
3r4/p4N2/5k2/2P3p1/P3Pp2/KB3P2/8/5n2 b - -,d8c8
r5k1/1bpp1rp1/p1n2b1p/1p6/5P2/1BP5/PP2K1PP/RNBR4 b - -,a8e8
r1n5/6b1/b1p1k1pp/2B1pp2/P3P2P/1P3NP1/5PB1/3R2K1 w - f6,h4h5
8/p3k1p1/2p5/P1P2KP1/4P1B1/2P5/8/5b2 b - -,e7f7
2rqkb1r/pp3ppp/2n1pn2/3p4/3P1B2/2NQPN2/PP3PPP/2R1K2R b Kk -,f8e7
r5qr/1p1kb3/nn2p1Q1/p1ppPP1p/P2P4/2P5/1P2N1PP/R1B2RK1 w - -,f5e6
1rbqr1k1/p5b1/2n5/2p1pp1p/2N2np1/1P1P2N1/PBP2PPP/R2QRBK1 w - -,g3e2
7k/7n/p3Br1q/P1pPQ1p1/1nP4p/4P2P/6P1/5RK1 b - -,h6g7
3r2k1/1p1rnpp1/p2pb2p/8/3R3N/1P2P3/P3BPPP/2R3K1 b - -,d6d5
4rb2/2qb1p1k/pp1p1npp/2pPr2P/P1P5/2PBBPN1/3Q1KP1/R3R3 b - -,f6h5
3rrn2/2q3k1/1pp1Pp2/p2pbp1Q/P7/1P4P1/2P1N1BP/3RR2K b - -,f8e6
1r1r1k2/p4ppp/8/2pn1N2/1nB5/P4P2/1P4PP/2KR3R b - -,d5b6
2r1r1k1/5p2/p5p1/1p2bb1p/1B2N3/PP1R1P2/6PP/1K5R b - -,f5e4
r1q3k1/2bbr1p1/2p1p2p/1p3P2/p2P4/P1N3PB/QP5P/3RR1K1 w - -,f5e6
r2r2k1/2q2ppp/1bp2n2/p3p3/PpN1P1b1/3BB3/1PP2PPP/R3QRK1 b - -,b6e3
r2q1rk1/pp2bppp/2p2n2/3p2B1/8/2N1PQ2/PPP2PPP/3R1RK1 b - -,d8b6
8/3b4/8/p3kPb1/4p1Bp/2P1N2P/P2K4/8 b - -,a5a4
r1bq1rk1/1p1n1pbp/p1n1p1p1/3p4/3P1B2/2N2N2/PPP1BPPP/R2Q1RK1 w - -,d1d2
1r4k1/p2P1p1p/2B1nBp1/8/8/3K2P1/P4P1P/8 b - -,b8b6
1r3rk1/4bppp/p1p5/4Pb2/2p5/P1N4P/1P3PP1/R1BR2K1 w - -,d1d4
r2r1nk1/pp1b2p1/2nbpq1p/3p4/3P1B2/5N2/PP1QNPPP/1BR2RK1 b - -,d7e8
2r5/ppk2p1Q/4P3/qb1pP3/5P2/P1p5/2n1NB1P/R2K1Br1 b - -,g1f1
5rk1/r2qnp2/1p4pp/3pPb2/Pp6/6P1/1P3PBP/R2QRNK1 w - -,d1b3
1k6/1P4p1/8/R7/P4r1P/8/6K1/8 w - -,g2g3
r5k1/4p3/1pb2qp1/p4p2/2P1n3/P2BQ3/6PP/1R3R1K b - -,e4c5
8/P6p/1Kp4P/5bk1/2PP4/8/5pQ1/r7 b - -,g5f6
2r3k1/p1r2p1p/1p1QpRp1/7q/3P1R2/5P1K/P4P1P/8 w - -,h3g2
rn1q1rk1/pp3pbp/2ppbnp1/4p3/2P1P3/2NP1NP1/PP3PBP/R1BQ1RK1 w - -,f3g5
r1bq1rk1/pppn1pb1/3p3p/3Pp1pn/2P1P3/2N2NB1/PP2BPPP/R2QK2R w KQ -,h2h4
2q3k1/pp5p/2p3n1/3P2Q1/8/1P4P1/P5K1/5R2 b - -,c8e8
8/pp6/3kp3/1B3p2/3r3P/6r1/2P5/1K1R4 w - -,d1d4
r1bq1rk1/pp3pp1/4pb1p/3nN3/P1BPN3/8/1P2QPPP/R2R2K1 b - -,f6e7
r3k2r/ppq5/2p3p1/2Pp1p1p/PP1P2nP/3QPN2/2R3P1/5RK1 b kq -,e8g8
r3r1k1/3q2pp/pp1bb3/3p1pN1/P1PPp3/1P2P3/1B2Q1PP/R4RK1 b - -,a8c8
2r3k1/1p3p1p/1r1n2P1/p1pPb3/P1P3P1/3BB3/1P6/2K2R1R b - -,h7g6
rn1qk2r/p3nppp/1p2p3/3pP3/b1pP4/P1PB1N2/2PQ1PPP/R1B1K2R w KQkq -,d3f1
2r2nk1/3n1pp1/2pqb2p/r1Np4/1p1P4/3BPN1P/1PQ1RPP1/2R3K1 b - -,d7c5
R7/1p2rppk/2p3r1/8/8/2N1BBP1/5PK1/8 w - -,f3e4
r1bq1rk1/pp3ppp/2nppn2/2p5/2PP4/2PBPN2/P4PPP/R1BQ1RK1 w - -,d3c2:d1c2:e3e4:f3d2
3rn1k1/rqp2ppp/1pR1p3/pP2P3/P7/4P3/1B2QPPP/5RK1 b - -,a7a8
r2qk1nr/1p2bpp1/p1n1p3/3pP2p/2pP1P2/2Pb1N2/PP3BPP/R1QBRNK1 b kq -,b7b5
4r1k1/p1p3pp/2prn1q1/4Rp2/3P1P2/P1B1P2P/4Q1P1/3R2K1 b - -,e8d8
2r1r1k1/1npnqbpp/1p1p4/3PpPP1/2P5/1PB1Q2P/3N2B1/4RRK1 b - -,e8f8
8/2p5/2Pp4/3Pp3/1Pr1P2R/8/1K4k1/8 w - -,b2b3
1r4k1/1q3pp1/7p/p3r3/1PR1P3/7P/2Q2PP1/3R2K1 w - a6,b4a5
8/5pk1/4pqp1/1B6/P2b3p/7P/3Q1PP1/6K1 b - -,d4b6
6k1/6bp/p2p2p1/3P4/1r3PP1/5K2/1P6/2BR4 w - -,d1d3
6k1/3bpp2/p2p2p1/P1pPn3/2P1P3/2N4P/3N1KP1/8 b - -,f7f5
1rb2rk1/1q2bp1p/p5p1/3R3n/2BNP3/5P2/Q3N1PP/5R1K b - -,h5f6
1rbq1k1b/pp3p1p/3p1Pp1/2pP4/P2n4/3P2PP/1PP2QB1/R4RK1 b - -,d4f5
3R4/1p6/p4p2/5kp1/1r5p/1P3K2/1PP3PP/8 b - -,b4f4
5k1r/p3np2/1bnNp2p/6p1/4NB2/Pq6/1P2QPPP/2R3K1 w - g6,e2h5
R7/4pp1k/6pb/p3r2p/2PB4/7P/1P3PP1/6K1 b - -,e5e1
3r1rk1/1bq3bp/pp1ppnp1/6B1/1PPQ4/P1N1N3/5PPP/2R2RK1 w - -,d4h4
1r1q1rk1/3nppbp/3p2p1/1p6/3pPP2/2NP4/PP1QB1PP/1R3R1K w - -,c3d5
4r1k1/5p1p/p5p1/8/Pp6/1P3RP1/2r2PP1/3R2K1 b - -,c2b2
r1b2rk1/p4nbp/2p1qn2/2Pp1pp1/Q2Pp3/1NN1P2P/P3BPPB/2R2RK1 b - -,g5g4
2k3rr/4bp2/p3p3/1p1p3P/6P1/2N5/PP3P2/1K1R3R w - -,f2f3
2r2rk1/6pp/p3p3/2n1q3/P6P/Q4B2/5PP1/1RR3K1 w - -,c1c4
5R2/r7/8/8/5p1K/5k2/8/8 w - -,f8g8
r1bq2nk/p1p4r/1p2P1pb/1B1P1p2/5p1P/BQN2P2/PP6/1K1R3R w - -,b5c6
3r4/p4kpp/1pp2p2/8/3P1P2/P1P4P/3KR1P1/8 b - -,d8d5
1rbq1rk1/ppnp1ppp/5b2/2pN4/P2p4/6P1/1PPNPPBP/R2QK2R w KQ -,d2c4
5rrk/1b3pbn/p2p3p/1p1PqP2/2p1P2Q/P1N2NRP/1PB4K/6R1 b - -,e5f6
5k1r/p7/8/8/P4PP1/2bB2KP/8/8 w - -,d3f1
6r1/8/8/5p2/3nk2p/R6P/5P2/5K2 w - -,a3e3
2r3k1/5p2/4pbpp/4n3/3RP2q/1NP5/1KP1Q1P1/5R2 b - -,g8g7
4rrk1/1p1q2n1/3p4/p2P3p/5B1P/2nBQRP1/PP4K1/5R2 w - -,f4d6
6k1/3r1pp1/p3rbp1/1pP1p3/1P1pP3/P5BP/5PP1/R2R1K2 b - -,e6c6
1R6/r4ppp/8/8/6PP/8/1p1K1P2/k7 w - -,d2c2
2r1r1k1/p2q1pbp/2pN2p1/3p4/4bB2/1P4P1/P1Q1PP1P/2R1R1K1 b - -,g6g5
8/p3r1kp/2R3p1/b4p1P/5P2/1B2P3/P3KP2/8 b - -,g7h6
r1b1kbnr/3q1ppp/ppn1p3/2ppP3/P2P4/2PB1N2/1P3PPP/RNBQK2R b KQkq -,c5d4
rn3rk1/1bq1bppp/p3pn2/1p2P3/3N4/2N1BB2/PPP3PP/R3QRK1 b - -,f6d7
3qnbk1/1r1r4/n2p2pp/4pp2/2P1P2P/1PN1BPP1/P2R1QK1/3R4 b - -,e8f6
3r1rk1/ppq2ppp/2n5/2p5/3pB1b1/P1P1PN2/1B3P2/R2Q1RK1 w - -,c3d4
r1br2k1/1pq4p/4pbp1/2pp1n2/pnP2P2/3P1NP1/PP1NQ1BP/R1B1R2K w - -,g3g4
8/pp1rk1pp/4np2/4p3/1P2P1PP/2P1K3/P5R1/8 b - -,d7d3
rn2nrk1/pp1q1pbp/3p2p1/1PpNp1B1/2P5/1Q1P1NP1/P3PPKP/1R3R2 b - -,f7f6
5nk1/p3pp2/5bp1/2Q5/1p6/3P2P1/qPP2P1R/2KN4 b - -,a7a5
1r2b1k1/2n2p1p/2p1pQp1/ppP1P3/4P3/qB5P/P4PP1/2R1R1K1 w - -,f6e7
3r4/pp6/2p2k2/4p3/1P3pP1/2P1nP1p/P3B2P/2R1K3 w - -,a2a4
r1bq1rk1/1pp2pbp/3p2p1/p3n3/2P2P2/1P4P1/PB1QP1BP/RN3RK1 b - f3,e5g4
rn2k2r/pp1b2pp/8/2bP1p2/3n4/1NN3P1/PP2K1BP/1RB4R w kq -,b3d4
8/8/6P1/p4k1P/3B3K/4Pb2/8/8 w - -,d4c3
r2r2k1/pp2bpp1/4p2p/4N2P/3p4/3R1P2/PPP3P1/1K1R4 w - -,d3d4
3r1k2/1p5P/pP1p1B2/3Pp3/4P3/2pP2P1/P5K1/8 b - -,f8f7
5r1k/1p2b1pp/3p1n2/1N6/p1r2P2/P1N1B1Pb/1PR2K1P/7R b - -,f6g4
r3r1k1/4qpb1/1n4p1/p6p/1pQpPPnP/1P1P3B/P3R1N1/2R1B1K1 w - -,c4b5
r2qr2k/pp1nnpbp/6p1/2pP4/P4p2/1P1PN1P1/1B2Q1BP/R4R1K w - -,f1f4
r1bqnr2/ppp2pbk/3p2pp/n3p3/4P1P1/1BNPBN1P/PPPQ1P2/2KR2R1 b - -,a5b3
r3k2r/pp1nnppp/4p3/q2pPb2/P2Q4/1P3N2/R1P1BPPP/1N3RK1 b kq -,e7c6
rqr5/3bppbk/nn1p2pp/1NpP4/P3P3/2N1BP2/1P1QB1PP/R4RK1 b - -,a6c7
8/3Kb1p1/5p1p/4k2P/4P1PN/8/8/8 b - -,e7a3
rnbqkb1r/ppp2ppp/3ppn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,e2e4
r1b2rk1/ppbnqppp/2p2n2/4p3/3PP3/1BN1BN2/PP3PPP/R2QR1K1 b - -,e5d4
2r1kb1r/4npp1/p3p2p/N3P3/2p5/3b1N2/PP1B1PPP/2RR2K1 w - -,d2e3
r4rk1/2qnbppp/b1n1p3/p1ppP3/1p3P2/3P1NP1/PPP1NBBP/R2QR1K1 w - -,d3d4
7k/5p2/4p2p/5p2/r2P4/P2R3P/5PP1/5K2 b - -,h8g7
1rnq1rk1/p5bp/b1ppppp1/2p5/N1P1PP2/1P1P1N2/PB4PP/R3QRK1 w - -,b2c3
r1bq1rk1/pp4pp/1np1p3/5p2/3P1n2/P1N2Q1P/BPP3P1/1K1R3R w - -,f3f4
3r2k1/R4p1p/5bp1/3n4/P7/4B3/5PPP/2q2BK1 w - -,e3c1
1rbq1rk1/p2nppbp/3p1np1/1pp3B1/3PP3/2N3PP/PPP1NPB1/R2Q1RK1 w - b6,d4c5
3rr3/1pq1p1kp/1Nn2pp1/1PPp1b2/3P4/P1Q2N2/5PPP/3RR1K1 b - -,c6b8
2r3k1/p4pp1/1p2p1n1/1P2P3/2PR1P1p/1Q3NP1/P4K1P/2q5 b - -,h4g3
2r2bk1/1q3p2/5np1/3p4/Np1PpN2/1P2P1P1/5PK1/2RQ4 b - -,c8c1
3r4/p4k1p/6p1/1p1pR3/3P4/2P3K1/PP5P/8 b - -,a7a5
8/3b2kp/3p4/q1pPp3/p1P1Pp1P/2P5/KQ2B1P1/8 b - -,a5d8
2q2br1/R2bk3/4p1pp/1P1pP3/Q1pP1PP1/4r2N/6B1/R6K b - -,e3b3
rn1qkb1r/ppp1ppp1/5n1p/3p1b2/3P4/2N2N1P/PPP1PPP1/R1BQKB1R w KQkq -,a2a3
r6r/p2bbkpp/1p6/2Pp1p2/3Pp2P/4B1P1/PP1K1P2/R6R w - -,b2b4
rrb5/5pk1/p4np1/P1NPp2n/4P2p/2N3P1/RP1KBP1P/6R1 b - -,f6g4
3r1rk1/pp3pp1/1q2b2p/8/8/1P4P1/PQ1NpP1P/2R1R1K1 b - -,e6g4
3r1r1k/5ppn/7p/2p1PP2/ppN5/3P3P/PPP3K1/R4R2 b - -,d8d4
8/4P1pk/7p/4r2n/1B6/8/R7/6K1 w - -,a2a5
8/7p/4p3/Bp4P1/2bP4/2P5/p1r2k2/K5R1 w - -,g1h1
8/2kr1p2/1ppq2p1/p1p4p/P3R2P/1P1P2P1/2P1QPK1/8 w - -,e2e3
2r2k1r/pp6/1q2pbnp/3p4/Q7/2N3B1/PP3PPP/2KR3R w - -,a4d7
1N3rk1/1p4p1/1B1p2Pp/P2P2b1/8/5P1P/2p5/3R1bK1 w - -,d1f1
7r/r2pkppp/p1n1p3/2N1P3/R4P2/8/1PP3PP/3R2K1 b - -,h8b8
2r2k2/R7/3n1p2/3Pp1p1/2p1P1Pp/2P1K2P/5R2/1r3B2 b - -,d6e8
3r2k1/5ppp/pB6/1p6/8/1PNn3P/P1b1RPP1/6K1 b - -,d8c8
1b6/5kpp/1pK2p2/8/2P5/3R1NP1/1r5P/8 b - -,b2b4
8/p1P1k3/7p/1B3p2/5r2/P1Kn4/7P/8 b - -,f4f1
3kr3/2b1nppp/p1p5/1pPp4/PP1P4/6PB/3B1P1P/4R1K1 w - -,a4b5
r1bqk2r/pp1nbppp/2n1p3/2ppP3/3P4/P1PB1N2/1P1N1PPP/R1BQK2R b KQkq -,a7a5
r1bq1rk1/3nbppp/p3pn2/1pp3B1/3P4/P1NBPN2/1P3PPP/2RQK2R w K c6,e1g1
4r1k1/3n1p1p/6p1/2pP1q2/1p1b1B2/1Q4P1/1P3PBP/5RK1 w - -,f4e3
6k1/7p/5B2/3p1p2/2pP4/2P4P/rN3PPK/8 w - -,b2d1
8/1p1b1kpp/p2p1p2/P1p5/5B2/1N3P2/2P3PP/3n2K1 b - -,f7e6
3r1rk1/p1q1bppp/8/1ppRn3/5P2/4P3/PPQ2PBP/2R3K1 w - -,d5e5
1k1r1b1r/pp6/1np1bp2/Q3p1pp/1P1qP3/3P2P1/P1N2PBP/R1R1NK2 b - -,d4d7
4n3/1p1k4/p2p2p1/P2P1pP1/2P5/1K5P/3B4/8 b - -,e8g7
6k1/7p/3bp1p1/8/2b3P1/5P2/6K1/3R4 w - -,d1d6
3r2k1/1q3pbp/4p3/7r/8/2P1PQ2/RPB3PP/5RK1 b - -,b7f3
r1b2rk1/2q2pp1/p4n1p/3p4/1b1n1PP1/2N1BB2/1PP3QP/R4RK1 w - -,e3d4
r4rk1/1bp2ppn/p1n1p2p/1p5q/3PB2N/2P1B1P1/PP1Q2PP/R4RK1 b - -,f7f5
3qr1k1/Rb1n2p1/2Q1p2p/b1PpPp2/3B4/2PB1N2/1r3PPP/R5K1 w - -,a7b7
2r1r1k1/3b2b1/pq4p1/3pnp2/P2N2p1/1P2P1N1/3B2PP/1QR2RK1 w - -,g3e2
r2qr1k1/pp2nppp/1bn5/3p2B1/8/1NP5/PP2NPPP/R2Q1RK1 b - -,d8d6
2r2rk1/1pN2b1p/1Pqp4/2n1bpp1/2P1p3/Q3P2P/3NBPP1/1RR3K1 w - -,c7d5
3q2k1/6p1/1r1p1n1p/2bPp3/2B1P3/1P4P1/Q5NP/4R2K w - -,a2e2
r4rk1/pppqnpbp/3p2p1/3Pp2n/2P1P3/2NN4/PP3PPP/R1BQ1RK1 w - -,f2f4
2R2r2/1p6/3qk3/1P2bp2/8/4N1P1/P1Q2PK1/8 b - -,f8f7
8/5p1k/3Q3p/pp6/3P3N/P3q2P/6PK/8 w - a6,h4f5
2rr3k/2p2p2/1pn1qn1p/p3p3/P1N1P1p1/1PP2N1P/2Q2PP1/3RR1K1 w - -,h3g4
5rk1/ppb2pp1/2p2r1p/2P1p2P/PP1pP3/3P3q/1BQNnP1P/4NRRK w - -,g1g2
r5k1/p1p2rpp/1pqn4/8/5P2/2N3P1/PP1Q3P/2KRR3 w - -,e1e6
4rrk1/pbq2npp/8/2p2p2/2PpP3/1P3NPP/PB2R1P1/3QR1K1 w - -,f3d2
5r1k/7p/3p3r/3P1B2/1PPQ3b/K4p1P/P3pn2/8 b - -,h6f6
r2q3k/1b1r1ppp/pb2p3/1p2PP2/1P1Nn3/PB2Q3/1B4PP/3R1R1K b - -,e6f5
rnbqk2r/ppp3pp/4pn2/5p2/3P4/P1N2Q2/1PP3PP/R1B1KB1R w KQkq -,c1f4:c1g5
6R1/1N1nk3/pr4p1/8/1P6/P7/6K1/8 b - -,b6b7
2rq1rk1/p3bpp1/1pn1bn1p/3p4/Q1pP4/P1N1BNPP/1P2PPB1/2R2RK1 b - -,c6a5
8/7p/3r1kp1/8/4K1P1/5P2/R6P/8 w - -,a2a7
3rk2r/4bpp1/p1n1p2p/1p1n4/3P4/N3B3/PP1N1PPP/R4RK1 w k -,d2b3
rn2k1r1/pp3p1b/2pbp2Q/7N/3P2Pq/5P2/PPP4P/2KR1B1R b q -,h4g5
8/5p2/4p3/5nkp/1p2R3/1Bb2KPP/P7/8 w - -,e4c4
1rb2rk1/pp2ppbp/2n3p1/2p1P3/2q1NPnN/2P3PP/PP4B1/R1BQ1RK1 b - -,g4h6
5rk1/1p4pp/pB3p2/N2bp1P1/1b3P1P/2P5/PP6/1K2R3 b - -,b4a5
8/4kp2/4n1p1/1N5p/p3P2P/5PK1/8/8 b - -,e6c5
6k1/pp4Rp/2bp3P/2p1r1p1/8/2P3N1/P4P2/6K1 b - -,g8h8
r1bqnrk1/1pppbppp/p1n5/4P3/B2N4/8/PPP2PPP/RNBQR1K1 b - -,c6d4
r3k1nr/pp1q2pp/1b2p3/3pp3/8/P2QBN2/1PP2PPP/R4RK1 b kq -,g8e7
r4rk1/2pq2pp/1p1p4/p1nPp3/P1P5/BP2P2P/2Q3PK/R4R2 b - -,d7e7
5rk1/pp3ppp/2p5/5pB1/3P4/6PQ/PP4KP/3q4 b - -,d1d4
r1bqk2r/1pp1bppp/p1npp3/4P3/2B5/2P2N2/PPPBQPPP/2KR3R b kq -,e8g8
1r2r1k1/3n1pbp/5np1/qBp1p3/5P2/1PN3PP/PB6/R2QR1K1 b - -,e5f4
6k1/p7/6p1/7p/rN3K1P/4P1R1/6Pn/8 w - -,g3g6
3r1rk1/p4pp1/2P4p/3P4/4q1P1/PQ1nP2P/4K3/3R1R2 b - -,e4g2
8/5pk1/2p1n1p1/2PpP1Pp/3P4/4QNP1/5PK1/1q6 b - -,b1f5
r2qkb1r/ppp2ppp/2npBn2/4p3/4PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,f7e6
r1r3k1/1b1n1p1p/pq4p1/2n1p1Q1/1p2P3/5PN1/PP4PP/1B1RR2K b - -,b6f6
r6n/pp2r3/2bk4/3p2NP/P2npP2/2R5/1BP3P1/R2K1B2 w - -,b2a3
6k1/5ppp/p1b1p3/1p2b3/1Pn1P3/P1Nq1P1P/Q5P1/2R1K3 b - -,e5g3
r4rk1/pp1bnppp/4pn2/3p4/3P4/1PPB1NP1/1P1N1PP1/R4RK1 w - -,f3e5
2rq1rk1/pp2bppp/5n2/3p1bB1/2PQ4/P1N4P/1P2BPP1/2R2RK1 b - -,d5c4
2kr3r/pp1nq2p/2p2p2/2p1pp2/4P3/P2PB2P/1PP2QP1/R4RK1 w - -,f2f5
r3r1k1/2q1b2p/2p2pp1/2p1p3/2PnP3/pP2B1NP/P1P2QP1/R4RK1 b - -,d4e6
r2qkb1r/1b3ppp/p1n1pn2/2p5/Pp1P4/1B2PNN1/1P3PPP/R1BQ1RK1 b kq -,c5d4
1rb1kb1r/p2n1ppp/nq2p3/2ppP3/Q2P4/2P2N2/PP1NBPPP/R1B1K2R b KQk -,f8e7
2R5/6r1/8/8/4p3/7K/3nk3/8 w - -,c8e8
8/k7/8/PPK5/1N6/8/8/5b2 w - -,a5a6
rn1q1rk1/pb3ppp/1p1P1b2/8/2P2p2/P2BPN2/1P3PPP/2RQ1RK1 w - -,e3f4
rn3rk1/pp2bppp/2pqpn2/4N3/3P4/2N1B3/PPP1QPPP/R3K2R w KQ -,f2f4
3R1bk1/1p5p/r7/Pq2p2b/4P3/4pP2/7P/3QB1K1 w - -,d1c1
2r1r1k1/1p4pp/p1b5/4pp1q/2p5/P1N5/1P3BPP/2R1Q1RK b - -,b7b5
8/5k2/6R1/4p2P/6P1/3K4/8/7r w - -,d3e4
1k3r2/1p3r2/p1q3p1/P3p3/2p1p1bP/2P1B1P1/2P1BQ1K/3R4 w - -,f2f7
r1b4r/3qbkpp/2NpRpn1/p2P4/Pp6/1Q6/1P1B1PPP/R5K1 w - -,a1e1
4r1k1/2q1r1bp/3p1pp1/p1n1nP2/3NPBPP/1PQ5/5N2/3RRbK1 w - -,g1f1
3k3r/p6r/1bp2p2/4pN1P/1q2P3/3b1QNK/1PnP1PBP/2B4R b - -,b4c4
8/8/p4r2/2p1p1b1/4P1Pk/1Q5P/P5K1/4n3 w - -,g2g1
8/4kp2/6p1/3P3p/3K3P/2R2PP1/8/2r5 b - -,c1d1
1r6/5pk1/5bp1/2Bp3p/qP1P3P/4R1P1/4QPK1/8 w - h6,e3e7
6k1/q3pp1p/p2p2p1/3P4/1p2P3/1P3P2/P3K1PP/2Q5 b - -,a6a5
rr4k1/2Nnppbp/1q1p2p1/2pP4/P3P3/R4NP1/1P2QPKP/2B4R b - -,b6c7
2n5/1pr1k1p1/p6p/2NP1R2/1P6/P7/5KPP/8 w - -,f2e3
8/5k2/8/5pQ1/P3pP2/1P6/5BK1/q7 b - -,a1b1
r1b1k1nr/p2q1ppp/2pb4/1p2P3/3p1P2/1Q1B4/PP4PP/RNB2RK1 b kq -,d6c5
r1b1r1k1/bpq2pp1/p1n4p/4p3/4Q3/P1P2NP1/1PB2PKP/R1B2R2 b - -,f7f5
2b5/1q3k2/6p1/3P1p1p/2Q1pP2/2B1P1PP/6K1/8 b - -,b7a6
3b1rk1/1p1b1pp1/r2p3p/3P4/1p1N1B2/P6P/5PP1/2R2RK1 w - -,a3b4
3r1b1r/1k3p2/2n1pp2/1p1p1b1p/3P1B2/1BP5/1P2NPPP/R4RK1 w - -,f1e1
r2qk2r/p3b1pp/2p2n2/2Pp1b2/4pB2/1NP5/PP3PPP/RN1Q1RK1 b kq -,f5g4
