2k5/1p6/1K6/P7/7n/8/1P4p1/6B1 b - -,h4f3
r4rk1/qp1n1ppb/2p1pb1p/2Pp4/p2P2P1/P5BP/1P1NPPB1/R1Q1R1K1 w - -,d2f3
8/2rbkpp1/p2bpn1p/1p2n3/3NB3/4P2P/PP1N1PP1/3RB1K1 b - -,g7g6
3n4/4k2p/P5p1/1p1p4/2pPp1BP/2P1P1P1/8/6K1 b - -,d8c6
r1bqkb1r/2pn1ppp/p3pn2/1p4B1/3P4/P2BPN2/1P3PPP/RN1QK2R b KQkq -,c7c5
1k4R1/1p6/p7/3B4/1r3n2/8/1P3P2/5K2 b - -,b8a7
2r1r1k1/1p5p/pq1p2p1/2nPnp2/2PN1Q2/1PR5/P3BRPP/6K1 w - f6,d4f5
r1b2k1r/p1qn1pp1/1ppbp2p/8/3P2Q1/3B1N2/PPP2PPP/R1B1R1K1 b - -,c8b7
1k1r1b1r/1pq2p2/p1n1b2p/3pPp1P/PP1P1Q2/2PN1N2/1B3P2/R5RK b - -,f8e7
r2qk2r/1p2ppb1/p2p4/3Qn1p1/4P3/1P2BP1p/1PP3PP/1K1R1B1R w kq -,e3g5
3r3r/kbp2p2/1p1p1q1p/p2PpNp1/P1P1Pn2/2P2P2/3K1BPP/1R3QR1 b - -,b7a6
8/5p2/4k3/1pr4p/4R3/5K1P/6P1/8 b - -,e6d6
5rk1/Q4pbp/1p2bq2/8/2rN1p2/2P3P1/PP3PBP/R2R2K1 b - -,f4g3
5R2/7p/bk2p1p1/3nP1P1/1p1K3P/8/8/8 w - -,h4h5
6k1/1p2q2p/1npN1pp1/4r3/3Q4/1b2P1P1/5PBP/3R2K1 w - -,d1b1
3r4/1R6/P6k/3N2p1/2pK3p/5P2/1P4bP/8 w - -,b7b6:a6a7
1qr1r1k1/2b2pp1/ppbpp2p/4n3/P1P1PB2/1PN2PP1/3RQ1BP/2R4K b - -,c7d8
2B1nk2/1pq3b1/6p1/p1p5/2P2P2/6P1/PPQ2P2/3R2K1 b - -,c7c8
3rr1k1/1p3ppp/1p3n2/5b2/3Rp3/2N3P1/PP2PPBP/3R2K1 b - -,d8d4
r5r1/pppqnpk1/8/3pP2p/3P2PP/P2Q4/1P1B1bP1/2KR3R w - -,d1f1
b1r2rk1/2q1bppp/p2p1n2/np1Pp3/4P3/2NB1N1P/PP3PP1/R1BQR1K1 w - -,c1g5
r5k1/1p2qpp1/2prpnp1/3n2N1/p2P4/P7/BPP1QPPP/3RR1K1 w - -,e2f3
8/5k1p/1b6/5pP1/8/6P1/3r1PK1/5R2 w - -,g2f3
1k1r4/ppbr4/4R3/3P2pp/8/P4PPP/1P3K2/3R4 w - -,e6h6
8/1B4k1/pR4p1/Pb6/1P2n3/1r4P1/7K/8 w - -,b7e4
5b2/P6R/2nk4/2p2p2/8/5P2/6PP/6K1 b - -,c6a7
8/7p/5k2/8/1r6/1Pnp3P/1K1N2P1/R7 b - -,c3d5
8/8/5kpp/2P5/p4P1P/2p3P1/1P6/2K5 w - -,b2c3
6k1/8/1NR5/5P2/P4B1P/1n3K2/6r1/8 b - -,g2a2
3k4/7B/4p3/4P3/3R1K2/1p5r/6b1/8 b - -,d8c7
r4rk1/1p2bppp/2p1pn2/1p2Nb2/n2P1B2/P3P3/RP1NBPPP/5RK1 b - -,b5b4
2r2r1k/6pp/p3Q1n1/1p3p2/3R2q1/1PP2N2/P5PP/4R2K b - -,g6f4
8/p4pkp/6p1/P1Q3n1/8/2P3PP/1P1q1PBK/8 b - -,a7a6
5rk1/1p4bp/p2p2p1/3q1r2/PP1p4/R2Q2PP/3N2P1/5RK1 b - -,f5f1
r1bqkbnr/pp1p2pp/2p5/1B2P3/4p3/8/PPP2PPP/RNBQK2R w KQkq -,b5e2:b1c3
r2qkb1r/pppn1pp1/4pn1p/3p1b2/8/3P1NP1/PPPNPPBP/R1BQ1RK1 w kq -,c2c3:b2b3
r2qnrk1/pppb1pbp/2np2p1/4p3/2P1P3/2NPB1PP/PP2NPB1/R2Q1RK1 w - -,d3d4
rnbq1rk1/4bppp/p3pn2/1p6/1P6/P1N1PN2/1BQ1BPPP/R3K2R b KQ -,c8b7
8/2R5/p2p3B/3kb3/1P6/3p4/r7/3K4 b - -,a2b2
r3k2r/1p1b2p1/nq2p3/p2pPp1p/Pn1P1P1P/BPN3P1/6B1/2RQ1RK1 w kq -,f1f2
r3r1k1/1pp2ppp/p2qnn2/3p4/1P1P4/P1NBPP2/2Q2P1P/R4R1K b - b3,e6g5
2r1k2r/1p1nqp2/p2pb1p1/4p2n/4P2p/2NB1Q1P/PPPRNPP1/R5K1 b k -,e7g5
8/6pk/5p1p/2p2P2/p1P1pqP1/3r3P/P1R1QPK1/8 w - -,c2b2
r1bq1rk1/3nb1pp/2n1p3/p2pPp2/1ppP3P/2P2NPB/PPQ2P2/RNB1R1K1 w - -,c1g5
8/8/1p4K1/pP4N1/P5B1/6bP/2k5/8 w - -,g5e4
5r1k/5qpp/r4n2/p1pPpPB1/PpPbB2P/1P4R1/6Q1/5R1K b - -,a6d6
8/r7/4pkp1/3n2Np/7P/6P1/1R3PK1/8 b - -,a7e7
1qb2rk1/2nnp2p/3p2p1/N1pP1p2/P2bPP2/1PN5/4B1PP/3QBR1K b - -,c8b7
r1nqk2r/1p1bbp1p/2n1p1p1/p2pP3/3P1P2/PP1B1N2/4N1PP/R1BQ1R1K b kq -,c6a7
1r1q1rk1/1pp1ppbp/p1np2p1/3Pn3/2P1P3/P4BP1/1PQ1NP1P/R1B2RK1 w - -,f3g2
3r1r2/pp1qbp1k/2p1nnpp/3p4/3P4/2N1PP2/PP1QNBPP/3R1RK1 w - -,e2c1
2nRk3/4n1pp/b3pp2/2B5/PP2P3/5N1P/5PP1/6K1 b - -,e8d8
3q1rk1/r3npb1/1p4pp/3p1b2/Pp1P4/5NP1/1P3PBP/R2QRNK1 w - -,f3e5
r4rk1/p3q1bp/Q1p3p1/2Ppp3/3Pp1b1/2B1P1P1/P4PBP/1R3RK1 b - -,e5d4
8/3k1pp1/1p2p2p/pP2P3/P4P1P/3K2P1/8/8 w - -,d3e4
8/5kp1/1PK2p2/7p/1R5P/3r4/8/8 b - -,d3c3
8/8/2b5/8/3p1k2/N5p1/8/4K3 w - -,a3c4
r2q1rk1/pp1bn1pp/2pp1b2/n4p2/2PPpN2/1PN1B1P1/P2QPPBP/R3K2R w KQ -,h1g1
r5k1/1p3ppp/1pn5/3p2qr/8/1NP1R1P1/PP2QPP1/R5K1 b - -,g7g6
4r1k1/4q3/6p1/1p1pPp2/3P1Q2/2P5/p4KP1/7R w - f6,g2g4
2rqk2r/p5pp/1npbb3/4pp2/N7/4P3/PPQ1BPPP/R1BR2K1 b k -,d8e7
2r2rk1/pbqnbpp1/1pp1pn1p/3p4/2PP4/1PNBPN2/PB2QPPP/2RR2K1 b - -,d5c4:c7b8
r1b1k2r/ppqn1ppp/4p3/2NpP3/8/3QBN2/PPP2PPP/R3K2R b KQkq -,d7c5
r1bqk2r/1p2bppp/p1n1p1n1/2p5/3pPPP1/3PBN2/PPP1N1BP/R2QK2R w KQkq -,e3d2
2R5/8/4kp2/8/2P2b2/2r5/4K3/6R1 b - -,e6f5
7k/6pp/3b4/1B1b4/3P2P1/1P2Kp2/1B5P/8 b - -,d6h2
r2q1rk1/1p1nbppb/p1p1pn1p/2Pp4/PP1P1B2/2N2NPP/4PPB1/2RQR1K1 w - -,b4b5
7r/3k4/8/p1b4p/R7/3K1P2/4N3/8 b - -,c5b4
8/r3k2p/4p1p1/p7/R2K1P2/3P2P1/4P2P/8 b - -,e7d6
1q1r2k1/3r1pp1/1pQbp2p/p3P3/P1P2P2/1P1R2PP/7K/3R4 b - -,d7c7
r1b2rk1/2q1bppp/2pp4/4n1P1/4P2P/1PN3QB/1BP5/2KR3R w - -,h4h5
8/7p/k5rP/P6K/1P6/8/3B4/8 w - -,d2e1:d2e3:h5h4:d2g5
8/p4ppp/1p2k3/2p5/2PpKPP1/3P4/PP5P/8 b - -,f7f6
8/1k5p/2n2b2/1p1p1p2/p2P4/P1NK3P/1P6/4B3 w - -,c3b5
8/4k3/r7/PpK5/8/R7/8/8 w - -,c5b5
r1b1r1k1/1p1n1pbp/2pp1np1/q7/p1PpP3/2N1BNPP/PPQ2PB1/3RR1K1 w - -,f3d4
2rr2k1/p1q1pp1p/2bp1np1/1p6/4P3/2N2B1P/PPPQ1PP1/3RR1K1 b - -,d8d7
r3k2r/1q2bpp1/p1p1bn2/1pB1p2p/4P3/2N2P2/PPP1BQPP/1K1R3R b kq -,e8g8
r2q1rk1/pb2n1pp/1p1bpn2/2ppN3/2PP1P2/1P2N3/PB2B1PP/R2Q1RK1 b - f3,e7f5
8/p1b5/2P5/1P6/P4p1p/3kp2P/3p1P2/1R3K2 w - -,f2e3
4r1k1/1p1n1pb1/3P2pp/3p1q2/b7/B1N2N1P/1P2QPP1/6K1 w - -,e2e8
8/3q1ppk/2R1b2r/2Qp4/3P3p/4P1P1/1P3PBP/6K1 w - -,c5c2
2r2r1k/1p2nqb1/p1p1b2p/P1Pp2p1/2PPpp2/1B2P2P/R2N1PPB/2Q1R1K1 w - -,e3f4
8/2k1rp2/1p3rp1/2p4p/N2p3P/1R3BP1/5K2/8 w - -,f2g2
r5k1/3p1pbp/r4pp1/n7/1q1P4/1pN1PNP1/1P1Q1PBP/5RK1 w - -,d2e2
1k6/1b6/pp3p2/2p1pB2/2P3Pp/5P1q/PPKN4/5Q2 b - -,h3g3
8/3k4/7p/4p3/8/3K2P1/8/8 w - -,d3e4
8/3k4/3p2R1/5Pq1/3N4/4PK2/5P2/8 b - -,g5h5
r2qkb1r/pb1p1ppp/1p2pn2/8/2PP1n2/1P3N2/PB1N1PPP/R2QKB1R b KQkq -,f8e7
2bb2k1/5p1p/1p3np1/1q2N3/4P3/3PB3/1N2Q1PP/7K w - -,e2c2
2rq1rk1/p2nbppb/4pn1p/3p4/1PP5/1Q3NP1/1B1NPPBP/R1R3K1 b - -,c8b8
8/7p/4b2P/1pB5/1P3p2/5kp1/8/5K2 b - -,f3g4
3r3r/p4kp1/1p3b2/4pp2/3B4/PP1R2Pp/2P2P1P/3R2K1 w - -,d4a1
r2qkb1r/pp1n1ppb/2p1p2p/3nN3/2BP4/6N1/PPP1QPPP/R1B2RK1 w kq -,c4b3
5k1r/pb3qp1/nppbQ3/7p/2PP4/PP4P1/1B3P1P/4RRK1 b - -,h8h6
r3rnk1/pp4pp/2p1qn2/7P/2Q1p2R/PP2P1P1/1B1NKP2/R7 w - -,b2f6
6k1/4p2p/3p2p1/ppqP4/3Q4/1P3P1P/P1rR2P1/6K1 w - -,d4c5
r4rk1/ppq2pb1/2n3pp/3Bp3/6b1/1QP2N2/PP1N1PPP/R3R1K1 b - -,a8d8
r3k2r/ppp2ppp/2p3n1/2b1P3/5Pb1/4BNN1/PPPR1KPP/3R4 b - -,c5e3
r3k1r1/pp3qp1/2n1b1Pp/3pPp2/2pP1P2/P1P3RB/2PBK1Q1/1R6 b q -,f7d7
2r4k/ppN4p/6p1/3B1b2/1p1R4/8/P5KP/8 w - -,c7b5
r1bqnrk1/pp4bp/3p2p1/2pPp3/2P1p3/4BN1P/PPQ1BPP1/R3K2R w KQ -,c2e4
r1bq1rk1/ppnn1pbp/2p3p1/4p3/3PP3/2N1BN2/PP2BPPP/2RQK2R w K e6,e1g1
k3n1r1/1p3p2/p1q1p2p/6r1/P1PP1p2/1R3P1P/3R2P1/1Q3NK1 b - c3,e8d6
2b5/8/8/4k1p1/P7/5BP1/1P6/4bK2 b - -,e1g3
r1bq1rk1/p3ppbp/2pp1np1/2p1P3/8/2NP1N2/PPP2PPP/R1BQR1K1 b - -,f6d5
k7/2Q5/4pp2/2bq4/6P1/2P5/1P5P/1K6 b - -,e6e5
r3k2r/bp3ppp/p1n2n2/3p4/5Bb1/1N3N1P/PPP1BPP1/R4RK1 b kq -,g4h5
1nr1r1k1/pp3pbp/3PNnp1/q1p5/2Q5/P1N1B3/1P2BPPP/R2R2K1 b - -,e8e6
6k1/5pp1/Rb2pn2/7p/1r6/5BBP/1P3PP1/6K1 w - -,g3e5
r1q2rk1/pb1pbppp/1pN1pn2/8/2P5/2N1PB2/PP1B1PPP/R2Q1RK1 b - -,d7c6
2r3k1/1b3p2/pp4pQ/8/P3p3/4B3/6B1/1q3RK1 b - -,b1d3
6k1/1pR2p1p/4p1p1/8/1P6/1R3P1P/r2r1P2/6K1 b - -,d2f2
8/1p1k1p2/4p1p1/b2pP2p/1p1P1P1P/2pK2P1/8/N3B3 w - -,d3c2
2b5/rP2k1pp/1Rp5/2Pp1p2/3P1P2/6P1/7P/5BK1 b - -,c8b7
r1bq1rk1/p3ppbp/1p4p1/n1p5/3PP2P/2PBB3/P3NPP1/2RQK2R b K -,h7h5
6k1/1R3p1p/R5p1/4p3/1b2P3/4P3/1r1r2PP/5BK1 w - -,a6b6
r4r2/1pk1n1p1/2p3p1/p2pPpP1/P2P3P/1P1BK1P1/1R6/1R6 w - -,b2h2
r4r1k/p2b1ppB/1p2p3/4P1q1/1bP5/6P1/P3QP1P/2B2RK1 w - -,c1g5
8/R7/8/8/8/p4k2/7K/r7 b - -,f3f2:a1a2:f3e3
8/3r1kpp/1R1P1p2/1N2p3/p3n3/8/6PP/5K2 w - -,f1e2
6k1/r7/p6R/3np3/P2b2P1/5P2/3B4/5K2 b - -,a6a5
r6r/1kp2pp1/1p2b3/2p1Pn1p/p4P2/1PBR4/P1P2KPP/3R1N2 w - -,f1e3
r1bq1rk1/ppp1n1bp/3p1np1/2PPppN1/1P2P3/2N5/P3BPPP/R1BQ1RK1 w - -,f2f3
R7/8/4pkp1/8/P5PP/4P1K1/2r2P2/8 b - -,c2c4
r3k2r/3n1ppp/p3pn2/1pp5/4Pq2/8/PPPNB1PP/R2Q1R1K b kq -,f4e5
5r2/pb3p2/3k3p/3p4/P2R4/1p1R2P1/1P4PP/6K1 b - -,f8e8
6k1/pp4p1/4ppp1/3p4/3P2PP/1P2P1K1/P1r2P2/5R2 w - -,f1a1
r3k2r/p2n1p2/bqp1pn1p/1p2P3/P2P2pP/2PQ2B1/3N1PP1/R3KB1R b KQkq -,f6d5
r5k1/p4ppp/RpN2n2/1n1p4/8/1P2P1P1/3N1P1P/6K1 w - -,d2f3
8/8/2b3k1/7p/5K2/5P2/7P/6N1 b - -,g6f6
8/1r1r3p/p1Rk1p2/3PpP2/PP5P/1K6/8/6R1 b - -,d6d5
3rRbk1/ppp3pp/2n2pq1/3p1N2/3P4/2P2Q1P/PP1B1PP1/R5K1 b - -,g6e8
2n5/2Qbkp2/q1p4p/1p5N/1P1PB3/2P4P/6P1/6K1 w - -,e4f5
3r4/6Q1/1kpr1p2/p3p2P/4P2K/3nP1NB/1q3P1P/3R4 w - -,h5h6
2r2r2/5qbk/p1npb1pp/1ppNpp2/2P2P2/1P1PP1P1/PB1Q1RBP/5RK1 b - -,f7e8
2r2rk1/pp3ppp/1q2pn2/1P5b/2nP4/1QNR2PB/P4P1P/R1B3K1 b - -,h5g6
8/p4k1p/1pR3pb/1n2p3/3p2P1/1P3P2/P3BK1P/8 b - -,h6e3
r4rk1/pp2b1pp/1qppbn2/2n1pp2/2P2P2/1PNPP1PP/P3N1BK/R1BQ1R2 b - -,a8e8
3rr2k/pp3bpp/3q1p2/3n1PP1/2p1P3/P4N2/2B3QP/R4RK1 w - -,e4d5
8/1k3b1B/1b3Bp1/6P1/4p2P/P3P3/5K2/8 w - -,h4h5
8/5kp1/8/1b3p2/2p5/2p2P1P/6PK/3R4 b - -,c3c2
2r2rk1/p3ppbp/1qp3p1/4P3/1PQPN3/8/P5PP/3R1R1K b - -,c8b8
1Rb5/3kPpbp/2p3p1/r7/8/4BP1P/5P2/2R3K1 b - -,a5e5
1kr5/4b3/R1P1pp2/pN2Pp2/P4P2/1K5P/8/8 w - -,a6a7
3k4/5R2/p3P3/P3K3/5p2/7r/7P/8 w - -,f7f4
3n1rk1/1p4pp/p3b3/q1b1pp2/3p4/4P1P1/P1RQ1PBP/1R4K1 b - -,a5d2
3r4/pr2kppp/2p1p3/R2b4/1P1P4/P3B2P/5PP1/2R3K1 w - -,a5c5
r1b2rk1/pp2pp1p/2q3p1/7P/2p5/2Q1P3/PP3PP1/2R1KB1R b K -,b7b5
r3kbnr/ppqb2pp/2n1p3/2ppP3/8/2P2N2/PP2BPPP/RNBQR1K1 b kq -,e8c8
3r3k/2p3rp/1p1p1b1N/p2P3P/2P1nPP1/8/P3P1K1/2RR4 b - -,d8e8
2r3kr/1ppq2p1/p2p1nP1/3PpP1p/7P/PP1QBP2/2P4R/2KR4 b - -,c8e8
2rr2k1/1pp3q1/5bpp/8/1P1pPP2/P2Q4/1B5P/2R1R2K b - -,f6h4
8/8/4pk1p/5ppn/5P2/4K1P1/8/5N2 w - g6,e3f3
1r2r1kb/p1p2p1n/3p1Pp1/1B4Bp/4PQ2/7P/2q3P1/R4RK1 w - -,b5e8
r3r1k1/2p3np/1p1p2pb/p2Pp3/4P2q/1P2P2P/PBQ3P1/2R1RBK1 w - -,f1d3
r1N3kr/3q1Nbp/1pn1p1p1/2p5/p1P5/P2P1QP1/1P3P1P/R1B2RK1 b - -,a8c8
8/pp4pk/7p/P4Qb1/1P1B4/2PR1K1P/5P2/4rq2 b - -,h7g8
6r1/8/4R3/6P1/7K/3kp3/7P/8 b - -,e3e2
4b3/p3k1p1/1p3p1p/n2p4/3P1P2/4P1P1/P1BN1K1P/8 b - -,a5c4
8/8/8/8/3pk2R/1r4P1/3K3P/8 b - -,e4f3
2r3k1/1bN2p1p/1p4p1/2b4n/2pBqP2/8/P4QPP/3R1R1K w - -,d4c5
rnb1k1nr/1p1p1ppp/2p2q2/p7/1b2PB2/3P1NP1/P1PN2BP/1R1QK2R b Kkq -,g8e7
4b1k1/5p2/7p/p1pB2p1/P1P3P1/1nb2P1P/1P6/4B1K1 w - -,e1c3
2kr1b1r/p4ppp/4b3/2pB4/Pp2P3/1npK1P2/NP4PP/1RB4R b - -,d8d5
r1bq1r2/ppp2pkp/1nn3p1/8/4P3/2N3P1/PP2NPBP/R2Q1RK1 w - -,d1c2
