4k3/p7/4p3/1p5P/1P2K1P1/b2p4/3B4/8 w - -,e4d3
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/3P1B2/2P2N2/PP2PPPP/RN1QKB1R w KQkq -,e2e3
r6k/1q2p1bp/1np1Bpp1/p2rB3/P2P2QN/7P/1PP2PP1/1R4K1 b - -,f6e5
8/b7/3pP1k1/Pp1P1r2/8/5qPK/1PQ4P/8 b - -,g6h6
r1bq1rk1/p2pnpb1/1pn1p1pp/2p5/4P3/2NPBNP1/PPPQ1PBP/R4RK1 b - -,g8h7
r1b2rk1/ppp2ppp/1b1q4/3P1P2/2B1p3/2N1BN1P/PP2QnPR/R4K2 w - -,e2f2
5r2/ppq2rkp/4bp2/2p1n1p1/3pPQ2/P2P1NPP/1PP2RBK/5R2 w - -,f4d2
1b1rq1k1/1p3bpp/p4r2/4Np2/1B1NnP1Q/P3P3/1P4PP/3R1RK1 b - -,f7d5
r1b2rk1/ppq2ppp/4p3/2npP3/1b3P2/1NN2B2/PPPQ2PP/1R3RK1 w - -,c3d5
2kr3r/pppq1pp1/1n2p1p1/n3P3/3PN1P1/P2R3P/1PQ3B1/2K4R b - -,b6d5
2r2r2/p3ppk1/1pn2qp1/2p4p/2Q3b1/1P2PNP1/P2PP1BP/R2R2K1 w - h6,c4f4
3r3k/1p2q1b1/7p/4P1pP/p2P4/5Q2/2B3P1/3R2K1 b - -,b7b5
q3r1k1/2p4p/5np1/1pbpn3/8/2P2N2/1PQN1PPP/2B2RK1 w - -,f3e5
r1b2rk1/pp2bppp/4pn2/2pqN3/3P4/2PB4/PP3PPP/R1BQ1RK1 w - c6,d3c4
7R/3K1k2/5p2/3N4/7p/7q/8/8 w - -,d7d6
r1r3k1/1pq2pb1/4p1pp/pQ2nn2/P1P1N3/4B1P1/1P2BP1P/3RR1K1 b - -,f5e3
2r3k1/p1qb1r2/1p2p1p1/3p2Bp/1R1P3P/P1P1R3/3Q1PP1/6K1 w - h6,e3g3
8/2B3p1/1nP1k2p/1P6/3n2PP/8/5K2/8 w - -,c7b6
8/1p6/3p3p/R2kbpp1/1B2b3/2P1K1P1/1P5P/8 b - -,d5e6
q2r1bk1/1b3p1n/pn4p1/1pp3P1/2P1PP2/2N1BB2/PP2N1Q1/4R1K1 w - -,b2b3
6q1/1R4bk/3Q2pp/5p2/p2Pr2P/5NP1/1P3P2/6K1 b - -,f5f4
4r1k1/1p2bppp/2p1bn2/1nN5/1P2P3/4N1P1/1B3PBP/R5K1 b - -,e7c5
1r1rb3/1p4pk/p1p1q2p/P1QpPpP1/1P3P1P/4PB2/4K3/2R3R1 w - -,c5d4
3r4/8/5kpp/4Rb2/3R4/1PN3P1/2P3P1/2K5 b - -,d8d4
R7/4kp2/2p1r1p1/1p1p3p/1P1P3P/4P1P1/5PK1/8 w - -,a8a7
r1b2rk1/p2nppbp/2pp1Pp1/q7/1p1P1B2/2N1PN1P/PPPQBP2/R3K2R b KQ -,b4c3
1r6/2p1rpk1/2np1p1p/1b6/1p2P3/1P2BPPB/2PR1K1P/R7 b - -,e7e8
8/6p1/1pQ4p/2p2P2/6q1/4K3/P4P1k/8 w - -,c6b6
8/2k5/1nP5/1K6/8/N7/8/8 w - -,a3c2
r3kbnr/1bq2p1p/p1n1p1p1/1pp1P3/4BP2/2N1BN2/PPP3PP/R2QK2R w KQkq -,e1g1
5rk1/2p1qpbp/p3b1p1/2P1p3/Q2nN3/6P1/P3PPBP/B4RK1 w - -,a4a6
r2qr1k1/pp2b1pp/1n2pn2/3p4/8/P1NQPP2/1PB3PP/R1B2R1K b - -,a8c8
r6r/1pqbnk1p/p3p1p1/2p2p2/P1P1PP2/1NQ3N1/1P4PP/R3K2R w KQ -,e1g1
8/5p2/6p1/5b2/3k1b2/5PNP/1R5K/r4B2 w - -,f1b5
3qr3/1p3r1k/p1p3pb/P1NpBp1p/1P1P4/n3PP2/2Q1R1PP/4R2K w - -,c2d3
3r2k1/1pp1nq2/p4pp1/4p2p/1P2P3/2P1NQ1P/1P1r1PP1/1R1R2K1 b - -,d2d6
8/1pp4p/p3Pk2/5P2/2P2K2/1P5r/8/4R3 b - -,f6e7
1r6/2q1k1pp/4p3/p3p3/2P1Pp2/1P5P/P2Q2P1/3R3K w - -,d2f2
1q3rk1/pr2ppbp/3p2p1/2p5/2PP4/PP4P1/1B3P1P/R2Q1RK1 w - -,a1b1
4r1k1/1p3p1p/p5p1/Pq1p4/1P1QP3/4NP2/6PP/6K1 w - -,e3d5
4qrk1/3R3p/b1n1P1p1/5P2/2n1P1P1/2Q2NB1/1p1K3P/1r5R w - -,d2c2
2b1r1k1/1pb2ppp/2p4r/2P5/2BRpP1q/1PQ1P3/P5PP/3R1NK1 b - -,b7b5
r4rk1/1q1np1bp/1n1p2p1/2pP4/4p3/1PN2PP1/P1QN2KP/R1B1R3 w - -,f3e4
8/4qpk1/3Q2pp/1p6/2pRr3/2P1P2P/1P4PK/8 b - -,e4e3
r1b2rk1/p1q2pbp/1pnp1np1/2p1p1B1/3P4/P1PBPN1P/1P1N1PP1/R2Q1RK1 w - e6,d4e5
1b1r2k1/5ppp/1q3nn1/1ppP1N2/8/1P4PP/1B3PB1/Q3R1K1 b - -,h7h5
8/8/8/3r4/4p3/4k2R/6P1/6K1 b - -,e3e2
2k4r/3q2p1/3Q1p2/p1P1nP2/1p4P1/7r/PP4K1/2R2R2 b - -,h3h2
rnbq1rk1/pp3ppp/2pb1n2/3Pp3/8/3P1NP1/PP2PPBP/RNBQ1RK1 b - -,c6d5
r2q1rk1/pp2ppbp/1nn3p1/3p4/2PP2b1/1PN1BN2/P3BPPP/R2Q1RK1 w - -,c4c5
r2qk1nr/1bp2pbp/pp4p1/4p3/P3P3/2NB3P/1PP1QPP1/R1B2RK1 b kq -,g8f6
4n1k1/2qr1p1p/3b2p1/p2Pp1P1/2P5/3BB2P/1r3RQ1/R6K b - c3,b2b3
r4rk1/4bppp/p1npb1q1/1p2p3/4P2P/2PB1Q2/PPNB1PP1/R3K2R b KQ h3,e6g4
r1bq1rk1/pp4pp/2n1p3/2bpPp2/5PP1/P1NB1Q2/1PP4P/R1B1K2R w KQ f6,g4f5
r2qR1k1/p4pp1/1p5p/3b2n1/2NB4/2P5/PP2QPPP/R5K1 b - -,d8e8
r2q1rk1/pp1bbp1p/4pnp1/3n2B1/3P4/PBNQ1N2/1P3PPP/R4RK1 b - -,d7c6
3rb1k1/ppq1rppp/4pn2/8/3N3Q/2PB4/PP3PPP/3RR1K1 w - -,e1e3
4kb1r/pp6/2n2p2/1P3qp1/4p2p/2PrP2P/1P2NPPB/RQ2K2R b KQk -,c6e5
8/6p1/R1P2pk1/3K4/8/6PP/8/2r5 b - -,c1d1
r2q1rk1/pp2bppp/2n1pn2/3p4/3P4/2N1PBP1/PP1B1P1P/R2Q1RK1 b - -,a8c8:d8d7
5r2/pp2n2k/2nQ3p/2ppP1q1/6bN/P1P3P1/2P2P1P/R3K2R b KQ -,g5e5
8/p1Qq1pkp/1p2p1p1/2n1P3/2P2P1P/6P1/P1B2K2/8 w - -,c7d7
2r2rk1/1b2pp1p/p2q4/3P2Pp/1p1Q1N1P/1p3P2/P1P5/2KR3R w - -,a2b3
r2q1rk1/1pp1bpp1/1n5p/p2pP3/Pn1P4/5N1P/1P2QPP1/RNB2RK1 b - -,d8d7
r1bqkbnr/ppp2p1p/2np2p1/4p3/2P5/1PN5/PB1PPPPP/R2QKBNR w KQkq -,g2g3
1r4k1/5r1p/5qp1/1p3p2/3Pp3/4R3/PPPQ2PP/5RK1 b - -,f6c6
8/R7/7p/1p3k2/p2B1Pr1/2P1P2K/4b3/8 b - -,e2f1
8/1p3kp1/p3p3/P3Pr1p/3Bp3/1PPb3P/6P1/4R1K1 w - -,g1h2
1r5r/2b5/1pBppkp1/pP3p1p/2P2P2/P2R1KP1/8/7R b - -,h8h7
2rqr1k1/1b1nBpp1/p3p2p/1ppnP3/3P4/2N2N2/PP3PPP/1BRQR1K1 b - -,d5c3
r1b1qrk1/pppnb1pp/4p3/5p2/2PPp3/1PN3P1/PB2PPBP/R2Q1RK1 w - -,f2f3
6k1/p2bq1b1/1p2p1p1/2p1P1P1/P3P2P/1PB1K1Q1/4B3/8 b - -,e7e8
4r1k1/4b2p/p3Ppp1/2q2p2/Pp6/2rB3R/2P1Q1PP/5R1K w - -,f1f5
r5k1/5pp1/2q1p3/2p1n3/4P2b/1PP3RP/P1Q2B1P/6K1 w - -,g3g2
5bk1/2p2p1p/1p4p1/3p1b2/qPnP4/3NP1P1/r1N2P1P/1R1Q1BK1 w - -,c2e1
8/1k5p/8/P2K1p2/5P2/7P/4nN2/8 w - -,d5e5
4r1k1/2q1bp1p/3p1npB/2nPp3/Prb1P1P1/1p2Q1NP/3N1P2/RB2R1K1 w - -,g3f5
r2q1rk1/2pnb1pp/2p1b3/5p2/p2pPP2/Pn1P1N2/1P2Q1BP/1RB1NRK1 w - -,f3g5
r4k1r/pp2bp2/2n1bN1p/3pPp2/3q2pP/3N4/PP3PP1/R1BQ1RK1 b - -,c6e5
5rk1/pp1b3r/7p/3Q1pp1/3q4/PB4PP/1P2RP1K/4R3 b - -,d4d5
r2r2k1/1bq1bppp/ppn1pn2/2p5/2P5/2N1PNP1/PB1PQPBP/2RR2K1 w - -,d2d4
r1bq1rk1/pp2npbp/2n3p1/2ppp3/2P5/P1NP1NP1/1P2PPBP/R1BQ1RK1 w - d6,c4d5
2kr2r1/pp2bpp1/2qpb2p/2p5/2P4P/2BBQ3/PPP2PP1/2KR3R b - -,d6d5
4r3/p4k2/1p3b2/3p2p1/P2P1p1p/1PBKnP1P/4N1P1/1R6 w - -,b1g1
1r1qk2r/p4ppp/3pbn2/2p1p3/N1PbP3/3BB2P/PP2QPP1/R4RK1 w k -,e3d4
5rbk/1Q4pp/1p1q4/p1b2p2/5N2/1P4P1/P5BP/5R1K b - -,f8b8
4k3/2q3p1/2p1p1P1/NpPpPp2/1P3Q1p/7P/6K1/8 b - -,e8d7
r2r1k2/ppq4B/3b1pp1/4p3/1P3n2/PQ6/1BP2PPP/R4RK1 w - -,h7g8
3n1rkb/7p/1q2p1pP/p2p1p2/2rP1Q2/P1P2R2/2B2PP1/2B1R1K1 w - f6,f4d2
2R5/5k1p/P1Nr1ppb/3n1p2/8/8/1P5P/1K5R b - -,d5b6
2r2r1k/p2q1nb1/N1npb1p1/2p1p2p/2P1P3/Q1NP1Pp1/PR1B2BP/1R4K1 w - -,h2g3
4r3/p6p/1p2k1p1/5p2/2PRb2P/1P4P1/PB6/5K2 w - -,b2c1
rnbq1rk1/pp2ppbp/3p1np1/2p5/P2P4/2N2NP1/1PP1PPBP/R1BQ1RK1 b - -,b8d7
r4rk1/p4ppp/b2p1b2/q1p1p3/4P3/1P1Q1N2/PBP2PPP/R4RK1 w - -,c2c4
rnb2rk1/1pq2pbp/p2ppnp1/8/2PNP3/2NBB3/PP2QPPP/2R2RK1 b - -,b7b6:b8d7
2r1r1k1/1p1n1pbp/4q1p1/3N4/4P3/P4NP1/1P1RQ1KP/4R3 b - -,d7c5
1n3r2/1p3p1k/2p1qbp1/1nP1p2p/1P2P3/3RBPP1/4N1NP/2Q3K1 w - -,c1d2
8/8/2p4k/3n4/2p2q2/Q5NK/8/8 w - -,a3c5
3r4/1pr3kp/5p2/nR6/P1B5/bP1pP1P1/6KP/1R6 w - -,b5a5
1r3r1k/1p1q2pp/pP1p2n1/2pNpb2/4N3/8/1PPQ1PPP/3RR1K1 w - -,d5c3
r4rk1/1bqnb1pp/pp1p4/2p1ppP1/2PnPP2/2NPBN1P/PP4B1/R2Q1RK1 w - -,d1d2
8/8/3Np3/6np/4k3/P5P1/3R2K1/r7 b - -,e4e3
5k2/2r1bpp1/8/pB2r3/P1P1p3/4P1P1/5P1P/2RR2K1 b - -,e7c5
r3kb1r/ppp3p1/2np3p/4P2Q/5q2/2P3N1/PP3PPP/RN3RK1 b kq -,f4f7
3rrbk1/1b3pp1/2pp1n1p/p1q1p3/P1B1PP2/1PN2QP1/2P1R1PN/3R3K w - -,e2d2
4k3/2Q5/6r1/4K3/8/8/8/8 b - -,g6h6
r4rk1/pp1qppbp/6p1/3Pn3/3NP3/4B3/P3QPPP/1R3RK1 b - -,f8c8
1r3rk1/6p1/pP1q3p/2pNp1nP/2P1P3/1Q2P3/1P6/2K2RR1 b - -,g5e4
7k/7p/3b2p1/1p1n1p2/8/pP6/P3NPPP/1B4K1 w - -,g2g3
1r4kb/3q1p1p/5Pp1/R3p1Q1/3nN3/1p1P3P/1PrB2K1/5R2 b - -,d4c6
5k2/4p2p/3p1p2/P2PnP2/8/7q/6R1/1r1B1RK1 w - -,a5a6
r4rk1/ppp1nppp/2n1b3/q7/1b1P4/2N1BN2/PPQ1BPPP/R4RK1 b - -,a5f5
5k1r/1b4p1/p3p3/5p2/2q4p/2P1QPN1/1P4PP/3R2K1 b - -,b7d5
r2q1rk1/p2nbppp/bpp1p3/4P3/2p1P3/2N5/PPQ1BPPP/R1BR2K1 w - -,c2a4
r2qr1k1/pp1bppbp/3n1np1/3PN3/8/1BN1B2P/PP2QPP1/R3R1K1 b - -,d7f5
2R5/6pk/1pn1r2p/2p5/2NP4/2K1P3/7P/8 b - -,c6e7
3nq1k1/p5pp/1p2pr2/3pN3/1n1P2P1/1N5R/1P3PP1/3Q2K1 w - -,d1b1
3r2k1/p5p1/1pbBp3/4P3/2P2rPp/2R1RP1P/P1Q3K1/1q6 b - -,b1a1
8/1p6/2p5/1bPpk3/1P3p2/5Pp1/3K2P1/7R b - -,d5d4
1r4k1/p4pp1/b2b1P1p/1p2p3/3pP1QN/PP1nq1PP/3r2BN/R4R1K b - -,e3g5
r1bq1r1k/ppp1n1bp/3p1np1/3Pp3/2P1N3/3N4/PPQBBPPP/R4RK1 w - -,e4f6
r5k1/p3ppbp/3p2p1/3P4/1P2P3/1R6/P2BbPPP/2rN2RK b - -,c1d1
4rrk1/pbqn2pp/1p2p3/2p2p2/2PPn3/P2BPN2/1BQ2PPP/R3R1K1 w - -,a1d1
8/k1p5/1p6/p4Q2/3r2RK/q7/P6P/8 b - -,d4g4
r1bqkb1r/pp2pppp/8/2pP4/1n1nP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f3d4
8/8/8/p3b1r1/P4k1K/4n3/4Q3/8 b - -,g5g2
4r2r/7P/p7/3p3P/3k4/1P3R2/P2B4/3K4 w - -,d2c3
rn1q1rk1/1p2ppbp/p1pp1np1/8/2PP4/1P2NPP1/PB1Q1P1P/2RR1BK1 w - -,f3f4
7k/q2b1pp1/2n1p2p/3pP3/1p3P2/1P1BPN2/2Q2KPP/8 w - -,h2h4
2r3k1/5pp1/2PR1n2/5N1p/pp2p3/Pb4PP/4PPB1/6K1 b - -,b4a3
5r2/8/8/R6p/2k1PK1P/8/8/8 w - -,f4e3
r1bqkb1r/pp3ppp/2np1n2/4pN2/4P1P1/2N5/PPP2PBP/R1BQK2R b KQkq -,g7g6
5n2/4Q3/p5p1/1p3q1k/3p1PNp/7P/1P4P1/6K1 b - -,d4d3
4r3/p5k1/3Rb1p1/7p/2p4P/P3p1P1/1PP1Nr2/1K2R3 w - -,b1c1
2r4k/1q5p/5Pp1/Q1p2pb1/1P1p4/P2R3P/5PP1/3R3K w - -,b4c5
2R5/3n1Bpk/pp3n1p/8/1P1N4/3r4/5KPP/8 w - -,d4f3
8/8/2q5/5Q1P/8/4rPP1/3k2K1/8 w - -,f5a5
2br1rk1/pp2ppb1/1q4pp/8/3P2P1/PNQ1B2P/1P3P2/3R1K1R b - -,b6b5
2rq1r2/1pp1n2k/p3bp1P/4N1p1/3p4/P2P2N1/1P1Q1PP1/R3K2R w KQ -,e5f3
3r1nk1/2q2rbp/1pbpp1p1/p1p3P1/P1P1PP1P/1P2B1N1/2B1Q3/4RRK1 w - -,f1f2
8/1p3p2/2k2pp1/2P5/P1K2PP1/8/8/8 w - -,a4a5
8/pp4k1/8/6P1/4p3/3b1QK1/4r2P/8 w - -,f3f6
6r1/1p1nqk2/p1pp1p1r/4pQpN/1P2P1P1/2PPP3/1P5R/5RK1 b - -,e7e6
8/7p/5kp1/8/PR2r3/2K4P/6P1/8 b - -,e4e3
6k1/4R3/6b1/2B4p/4p1PP/3r1PK1/8/8 w - -,g4h5
r2n1rk1/pppq2pp/3pbn2/3Npp2/2P2P2/3PP1P1/PP4BP/R1BQ1RK1 w - -,b2b3
r1b1kb1r/ppp2ppp/2p3n1/4P3/8/5N1P/PPPN1PPB/R4RK1 b - -,f8e7
r4rk1/1p1nb1pp/p1q5/P3pp2/8/4BN1P/1PP2PP1/R2Q1RK1 w - -,c2c3
8/1kp1Nrp1/6P1/2p1RP2/1pP2K2/pP6/P4R2/6rb b - -,f7f6
1rqr2k1/pbn1bppp/8/2ppN3/5B2/1Q4P1/PP1RPPBP/3R2K1 w - -,e2e4
4r1k1/5p1p/2p3p1/4Pb2/3p1P2/2b2N1P/1R4PK/2R1B3 b - -,c3b2
3r2k1/2q3pp/pb2p3/n3p2Q/1Pp1P1N1/8/PPB1RPPP/6K1 b - -,a5c6
3rr3/6kp/2b1R1p1/3p4/p1pP1P1q/2P2P2/3Q2BP/4R1K1 b - -,a4a3
rnb1k1nr/p3ppbp/2pp2p1/qp4B1/3PP3/2N2P2/PPPQN1PP/R3KB1R b KQkq -,b8d7
r4r2/6pk/2PP4/4p3/2B3Rb/6n1/N3K3/1R6 w - -,g4g3
r1b2rk1/4qppp/3p4/pp2p1b1/1N2P3/2P5/PP2BPPP/R2QK2R w KQ -,b4d5
r2qr1k1/1p3ppp/1bp5/p4bB1/P7/6R1/1P2BPPP/2Q2RK1 b - -,d8c7
1r1q2k1/p3rp1p/2B3p1/QP1pb3/8/4P2P/1P3PP1/R2R2K1 b - -,d5d4
2k2r1r/1p5p/p7/3Q1n2/P1p1qN2/2P5/1RP3P1/R6K w - -,d5e4
1n6/p2r4/1p2kn1p/2p1p1p1/R1P5/P3BP1P/3NK1P1/8 w - g6,d2b3
3r4/1q2bpk1/2npp1p1/7r/ppPNPP1p/1P1R3P/P3Q1PB/3R3K b - -,c6d4
4rrk1/ppq1bpp1/2p2n2/4n3/PP4P1/1B2P3/N2BQPP1/2RR2K1 b - -,e5g4
r2q1rk1/pb1pbppp/1pn1pn2/2p5/2P1P3/2N2NP1/PP1P1PBP/R1BQR1K1 w - -,e4e5
rnbqkbnr/pppp2pp/4p3/5p2/8/3P1NP1/PPP1PP1P/RNBQKB1R b KQkq -,b7b6:g8f6
8/2p2kpp/6p1/6R1/3P1p2/P6P/2P2PPK/1r6 w - -,g5c5
5r2/5pk1/5bp1/P3p2p/4P3/5P2/1PP3q1/1KBR1Q2 b - -,g2f1
1r3rk1/1pR1npp1/p1bq3p/3p4/3P4/PQ2PN2/1P2BPPP/2R3K1 w - -,b3b6
2brrbk1/ppq2ppp/2p1nn2/8/2PP4/2N2NPP/PBQ1RPB1/3R2K1 b - -,c7b6
r1b2k1r/3p1pp1/p3p2p/2q4n/1p2PQ2/5P2/PPPN1P1P/2KR1BR1 w - -,f4e3
rnbqkbnr/ppp1pp2/3p2p1/7p/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq h6,f1g2
RQ6/4r2k/1p4p1/1Pp2p1p/3q4/3P2P1/5P1P/6K1 w - -,a8a7
2r2rk1/1p1bppbp/p1np1np1/q7/2P5/1PN2NP1/PB2PPBP/R1QR2K1 w - -,c3d5
r2q4/1pp3bk/p5pp/8/P2P4/2P1r1NP/BP4Q1/R5K1 w - -,g1h2
r2qk2r/ppp1nppp/1bn5/4P1B1/2Bp2b1/1N3N2/PP3PPP/R2Q1RK1 b kq -,h7h6
1rq2rk1/4p1b1/p1bp3p/1p1Nn2P/4Q1p1/2P3B1/PP2BPP1/3RK2R b K -,c8b7
r1r3k1/1pqb1p1p/6p1/2QpPp2/1P3P2/1NP5/6PP/R4R1K b - -,c7c5
r3k2r/pppbq1pp/2n1pp2/3pP3/3P4/P3QN2/1PP2PPP/R3KB1R b KQkq -,f6e5
3r2k1/1p3ppp/2p1r3/p1p5/P3PP2/2PP4/6PP/R3RK2 w - -,e1d1
r1bqk2r/p1p2ppp/2p2n2/8/QbPp4/3P2P1/P3PP1P/RNB2RK1 w kq -,a4b4
3rr1k1/pb3p1p/3p1qp1/8/1pNpP3/3Q1PP1/PP4BP/3R3K w - -,d3d4
r5k1/p3p2p/2p3p1/2p5/2NP2Q1/1P1P2b1/PBP1K1q1/5R2 w - -,e2e3
2b2rk1/p2qR1b1/1p3npp/2p5/3p1PPN/P2P2BP/1P1Q2B1/5NK1 b - -,d7e7
6k1/q1b2p1p/2p1n1p1/p1Pp4/P2P4/3Q1P1P/5BP1/2N3K1 w - -,g2g3
6k1/6pp/p2Rp3/r7/1p3P2/1P6/P1n1NKPP/8 w - -,d6d2
r2rn1k1/pp3pbp/2ppbnp1/q7/2PN4/1PN1P2P/PBQRBPP1/3R2K1 b - -,d6d5
5k2/3p3p/8/5p2/2p2Q1K/2q5/8/8 b - -,f8f7
r1b1k2r/ppp1qppp/2np1n2/4P3/2P5/P3PN2/1PQB1PPP/R3KB1R b KQkq -,d6e5
r3kb1r/pp3pp1/2n1pn1p/q1p4P/3P4/3QBNN1/PPP2PP1/2KR3R w kq -,d3b3
