8/6k1/R7/5p1p/4r2P/6K1/8/8 b - -,e4g4
r3r1k1/pp3ppp/2n2q2/8/3pB3/P4Q2/1PP2PPP/R3R1K1 b - -,f6f3
8/5p2/2p5/1b6/1p1P2k1/6P1/PP4B1/6K1 w - -,g1f2
3rr1k1/p4pp1/1pP5/8/1P1p1qpb/3P4/1PQ3RP/R4NK1 b - -,e8e7
N1bk2nr/ppR1pp1p/3p2p1/1q6/1B2P3/1Q1P1N2/Pb3PPP/4K2R b K -,c8e6
rnb2rk1/pp3p2/7p/q1Pp2p1/1b2n3/2N1PNB1/PP2BPPP/2RQK2R b K -,e4c3
r2qk2r/pp1bppb1/2np1np1/2p4p/2P1P3/2NPB1PP/PP2NPB1/R2QK2R b KQkq -,a7a6
8/p6p/6pk/2P5/7q/3n1Q1P/PP3p2/7K b - -,h4f4
1r6/5p2/r1pkp1p1/7p/p1RP4/4P1P1/PP2KP2/1R6 w - -,e2f3
4r1k1/1p1b3p/3p1rp1/3P1p2/2P1p3/pPR2P1P/P5PN/4R1K1 w - -,c3e3
5R2/8/8/8/5Krk/5B2/8/8 w - -,f4e3
1k1rR3/1pq4p/pn1b2p1/5p2/7Q/2P2p1P/PP1B1PP1/5RK1 b - -,d6h2
5k2/7p/3p2p1/2pP1n2/2Nb1P2/1qB4P/1P2Q2K/8 b - -,d4c3
5rk1/6pp/3Rp1rP/3b4/qp1N2Q1/7R/1PP2P2/4K3 w - -,g4e2
r1br2k1/4q3/1npb1p1p/p1n1p1p1/4P3/4N1B1/PPBNQPPP/R3R1K1 w - -,e3f5
5rk1/1pr1p2p/p4qp1/Pn3P2/3p2P1/3P4/1P2Q1KP/4RRB1 w - -,f5g6
3r1k2/1p1rqpp1/1Qb2n1p/p2p4/3R4/P1NNP2P/1P3PP1/3R2K1 b - -,d8a8
1r3rk1/p2bq1b1/3p1n1p/2pP2p1/2P5/3BPN1P/P1QKR1PB/7R w - -,h1b1
r2q1rk1/1p4bp/n1ppbnp1/p4p2/2P2B2/1PN2NP1/P3PPBP/1R1Q1RK1 b - -,f6h5
6k1/2p1bpp1/1n2p2p/Nq1nP3/1P1P4/r4N2/3B1PPP/1QR3K1 b - -,a3f3
4rbk1/1bqn1p2/1pppr1pp/p1n5/P1PB2P1/2N1P1NP/1PQR1PB1/3R2K1 b - -,e6e7
rn1qkb1r/1b1p1ppp/p4n2/1ppP4/P7/6P1/1P2PPBP/RNBQK1NR w KQkq -,g1h3
5rk1/4bpp1/2n1q2p/3pP3/2rP4/5N2/1Q1B1PPP/1R3RK1 b - -,e6f5
7k/4qpp1/4p2p/3pP2P/1pr2PP1/1nP1R2Q/rPb1NB2/4R1K1 w - -,f2h4
r2qk2r/pppbbppp/2np1n2/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 b kq -,e8g8
r4rk1/p1p1bp1p/2n1q1p1/2ppP2Q/5P2/2P5/PP4PP/RNB1R1K1 w - -,h5e2
r7/1n1bk2p/3p2p1/p1pP1pPP/1nP2P2/RPN2N2/8/1B1K4 w - -,d1d2
2r2rk1/pp3p1p/4p1p1/2p5/3q4/P2P2P1/1P2PP1P/1R1Q1RK1 w - -,d1b3
8/8/3R4/2Pp1k1r/3P1P2/4PK2/8/8 b - -,h5h3
r1bqk2r/pp2ppbp/2np1np1/8/4P3/2N3P1/PPP1NPBP/R1BQK2R b KQkq -,e8g8:a8b8:c8d7
rn2k1nr/pp2bppp/2p5/4p1B1/3q4/2N2Q1P/PPP2PP1/3RKB1R b Kkq -,d4b6
3r2k1/ppn1bp2/2n1b1p1/2p1pP1p/4P2N/2P1N1P1/PP3K1P/R1B2B2 b - -,e7h4
2kr4/ppp1q1p1/4pn1r/5p2/2PPpPp1/1P2P1P1/PBQ3RP/1K1R4 b - -,b7b6
r5k1/n3ppb1/1p2bnpp/1Bp5/4P3/2P2NPP/1PKN1P2/2B1R3 w - -,b5c4
1r1q1r1k/ppp1n1b1/3pb2p/1P2pppn/PNP5/BQNP2P1/4PPBP/1R3RK1 b - -,f5f4
r6r/pP3ppp/Q2k4/3Np1q1/1P1b2n1/8/1P3PPP/R4RK1 b - -,d6d5
2r1r1k1/6p1/6p1/Q7/2q5/7P/2N2PP1/2R3K1 b - -,e8e2
r2q1r2/1p2p1kp/1nbN1pp1/p2p4/P2P4/1P2P3/3QBPPP/R1R1N1K1 b - -,d8d6
r1bq1rk1/1pbn2pp/p1p1p3/2Pp1p2/1P1Pn3/P3PN2/1BQ1BPPP/RN3RK1 w - f6,e2d3
6Q1/4b2p/6pk/2qB1p2/2P5/4P1P1/5P1P/6K1 w - -,g8h8
r4rk1/p4p1p/2n1p1p1/2Pn4/q2bN3/1R4P1/P2QNP1P/2B2RK1 w - -,e2d4
4rr1k/1p4qp/3p1n2/P2Pp1p1/4Pp2/1NR2P2/4Q1PP/2R3K1 w - -,b3d2
r3kb1r/5ppp/p1qp4/4p3/2Bn4/2B5/PP3PPP/R2QR1K1 w kq -,d1d4
2r2rk1/2qBbpp1/1p2pn1p/p2p4/P3P3/4BP2/2PQ2PP/R1RN2K1 b - -,f6d7
1r2r1k1/5pp1/7p/8/1Pq1P2P/pR3P2/P1P3P1/1KR1Q3 b - -,f7f5
r1bq1rk1/pp3pbp/1n4p1/1Q1p4/2p2B2/2P1PB1P/PP3PP1/RN1R2K1 b - -,g6g5
r3k1nr/1bqnbppp/p2pp3/1pp5/4P3/3P1NP1/PPPBQPBP/R2N1RK1 b kq -,g8f6
3r4/2r1pk2/5pp1/p2P3p/2PR1P2/1P6/P4P1P/3R2K1 w - h6,h2h4
1k2r3/1p6/7R/1P6/P1N1n1pP/8/1P6/1K6 w - -,h6g6
5rk1/1p2pp2/p1bp1Bp1/7n/2P1P3/1P3P2/R5K1/4R3 b - -,h5f6
2kr2r1/ppp2pPp/2b5/2b3N1/2p5/2N5/PP2RPPP/R1B4K b - -,g8g7
2rr2k1/1bq1np1p/p5p1/1p1p4/2nR1P2/P1N3PB/1PP1N2P/2Q2RK1 b - -,c8b8
1rb2rk1/1p3ppp/4n3/p2N4/1P5b/P3P2P/4KPB1/R1B4R b - -,c8d7
rn1r4/5pk1/1pp2npp/4q3/1PNpP3/3P4/PQ2B1PP/3R1RK1 b - -,e5e6
2r2r1k/pp2b1pp/1q5n/3pPp2/6Pp/3B4/PPPBQ1K1/R4R2 w - -,g4f5
8/8/8/8/1p4r1/pK5R/5k2/8 w - -,h3h1
1k5r/2p2p2/p2q4/1p2p3/2P1P3/3P2p1/1PNKQ1P1/5R2 w - -,b2b3
8/4p3/prr1kpp1/R3p2p/R3P2P/1P2KP2/P5P1/8 b - -,e6f7
rn1q1rk1/p1pn1p1p/1p2p1pQ/3pP3/8/1P1PP3/PB1N1PPP/R4RK1 b - -,c7c5
6k1/pp4b1/2np2qp/8/6P1/2Bp1P2/PP2rQ1P/R3N1K1 w - -,f2f1
r1q1r1k1/pp1bpp1p/6p1/2nNQ3/2P5/1P4P1/P4PBP/3R1RK1 b - -,c5e6
8/8/2k5/p7/PpK1P3/8/8/8 b - -,c6d6
1k1r3r/ppbnqpp1/2p1pnp1/8/2BP4/2N1P2P/PPQ2PP1/1KBR3R b - -,d7b6
2r3k1/4bppp/p2pq3/6P1/1pr1PB2/P7/1PPRQ2P/2K1R3 w - -,a3b4
3r2k1/1pp2pp1/p1n1qn1p/2b1p3/4P2N/1PP2QNP/1P3PP1/R1B3K1 w - -,b3b4
1r3r1k/1R4bp/2Pp2p1/4pp2/8/3qP1P1/2bB1PBP/1Q3RK1 w - -,b1b4
3k4/3p4/4pK2/4Pp2/8/7r/3R3P/8 b - -,h3h6
1k1q4/ppp5/2brp3/2R1Qp1p/P2Pp1pP/1P4P1/1K2PP2/2R5 w - -,c1c4
r4rk1/1bq1bpp1/p1nppn1p/1p6/3NP1PP/P1N1BP2/1PPQ4/2KR1BR1 w - -,g4g5
r1bqr1k1/5pp1/pp1p2n1/2pP3p/P3PPn1/1P1BN3/1Q4PP/3NRR1K b - -,a8b8
1r5k/5npp/4N3/3pn3/2b3P1/2P4P/5RB1/3R3K w - -,g2d5
8/2p2kb1/p1p1b1pp/2N2p2/N1P1p3/1P4P1/r3PP1P/2R2K2 w - -,c5a6
3r2k1/1q2bp2/4p3/4n1p1/Np1NP2P/5P1P/1PQ2n2/5R1K w - -,c2f2
6k1/4Q3/6qp/3P1p2/1P4p1/2P5/6P1/6K1 b - -,g6b6
2rkr3/5pQ1/p2p1P2/1p1Pp2p/2q1B1bP/2P5/PPN5/1K2R3 b - -,c8c7
r2q1rk1/pp2npbp/2np2p1/2p1p3/4P3/1P1P2P1/PBPN1PBP/R2Q1RK1 b - -,f7f5
r4rk1/pp3ppp/1qn2n2/7b/1P1p1N2/P2B1P2/2P3PP/R1BQ1RK1 b - -,h5g6
rn3rk1/1b3ppp/pp2p3/3n4/3N4/PP3P2/2PB2PP/R3KB1R w KQ -,c2c4
r1bq1rk1/pp1pppbp/2n2np1/8/2PN4/4P3/PP2BPPP/RNBQ1RK1 w - -,b1c3
r5k1/1p3pbp/p5p1/4Pn2/8/7P/PPb3P1/R1BN1RK1 w - -,c1f4
8/2rpk3/4p3/5p2/1N2nr2/1P1R4/2P1R2K/8 w - -,d3h3
3Qb1k1/5p2/2p3p1/pp5p/3B1P2/P1P3PP/3n2BK/4q3 b - -,e1e2
2rq1rk1/1p1n2bp/p2p4/Pn1P1p2/NPp3B1/8/3B1PPP/2RQ1RK1 w - -,g4e2
r3kq1r/ppp2ppp/3b1n2/3p1N2/2P1P3/1P1BP3/PB1N1PPP/3RK2R b Kkq -,d5c4
8/2k5/1r2p3/8/5Pp1/3R1K2/8/8 w - -,f3g4
r2q1rk1/2pnnpbp/pp2p1p1/3pP3/P2P1P2/2NBBQ2/1PP3PP/R4RK1 w - -,c3e2
r1b1r1k1/pp2qpbp/2pp1np1/4n3/2P5/PPNBP3/1BQ1NPPP/R4RK1 b - -,e5d3
3r4/p3kP2/5n2/1P6/3b4/1B3RPp/P6P/5K2 b - -,f6g4
r5k1/1p1r2bp/1B1pqn2/PPpNp3/2P1P1p1/1Q4PP/R5BK/5R2 b - -,f6h5
4r1k1/1p1nrpp1/1pp4p/4P3/P4P1P/2N2K2/1P5P/3R2R1 b - -,g8h7
r2r2k1/pb1nqppp/1ppbp3/8/2PPQB2/5NP1/PP3PBP/R2R2K1 w - -,f4g5
8/4n3/7k/1RP1p1r1/5p2/3P4/4P3/4K3 b - -,h6g6
8/8/5p1p/pBk2K1P/P1P5/2n5/8/8 b - a3,c5b4
4kbr1/7R/2Kp1pP1/2pPpP2/1p2P3/1P1P4/8/8 w - -,h7a7
1r1bnk2/2q1n1p1/2p1pp1p/1rPp4/3P1PP1/2B1PN1P/2QN4/R5RK b - -,f6f5
2br3k/p7/1pn2N2/4p1rP/4P3/P1PP2p1/P3B3/3R1RK1 w - -,g1g2
r1b1kb1r/p2p1ppp/1qp1p3/4P3/1n2NP2/5Q2/PPP3PP/R1B1KB1R w KQkq -,f3e2
8/5p2/1pr3pk/pR6/4PK1P/8/P7/8 w - -,f4g4
8/7r/pp1k2p1/7p/2P3nP/5K1B/PP6/8 w - -,b2b4
4r3/pp3kbp/6p1/2p2p2/4n3/1P2P1P1/P3NPKP/B2R4 b - -,g7a1
N6r/1b1k1pbp/p1ppp1p1/8/P3nq2/3QBP2/1PP3PP/2KR1B1R b - -,f4e5
r1b1k2r/ppqnppbp/2p2np1/4P1B1/3P4/2NB1N2/PPP3PP/R2QK2R b KQkq -,f6d5
8/pp6/2nk1rpp/b2rp3/4R2P/4PNPB/P1R2PK1/8 w - -,e4c4
4r1k1/6r1/2nqpnPR/3p1pN1/2pP4/2P1P3/2QNK3/6R1 b - -,f6g4
8/8/p2K2k1/Pr5p/1P3R2/8/6PP/8 w - -,d6c6
r6k/4q2p/2p3rb/3pPp1R/P2P4/1P1NnB2/7R/4Q2K b - -,h6g5
r2qk2r/pp3p1p/2n1p1p1/2b1Pn2/2Bp1P2/5Q1P/PPP2BP1/RN2K2R w KQkq -,b1d2
r4rk1/1bp1qppp/1p1p1n2/p3p3/1nPPP3/1Q3NP1/PP3PBP/1N1RR1K1 b - -,b7e4
8/8/8/8/2K5/8/pr1k4/7R b - -,d2e3:d2c2
B7/4p1kp/bp2p1p1/1Np5/3P4/8/P5PP/5nK1 w - -,d4c5
rnbqkb1r/pp3ppp/3ppn2/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQkq -,b8c6:f8e7:e6e5:a7a6
r4rk1/1p2np1p/2pqbnp1/3p4/Np1P4/P2BPN1P/2Q2PP1/1R3RK1 w - -,a3b4
r1b3k1/1pqr2pp/p2Rppn1/4P3/N3QPP1/1N6/PPP4P/2KR4 b - -,a8b8
5r1k/p1N3bp/1p5q/2p5/4QnB1/2P3BP/Pr3P1K/3R4 b - -,f4h5
6b1/p5k1/1p6/6N1/2B2pP1/PP3P2/8/3r2K1 w - -,g1f2
3r1rk1/1pp1n1pp/1pn5/4p2q/4Q3/2P1NPP1/PP4BP/R4RK1 b - -,h5f7
2k5/2p1R2p/1p1r1p2/p7/b4P2/2P2N1P/5KP1/8 w - -,e7h7
2k1r3/Q1p3pp/p1pb4/P2r4/1P5q/2P2P2/5NPP/3R1RK1 w - -,f2g4
1B6/3bk1p1/2R2p1p/3P3n/p3Pp2/8/P5PP/6K1 w - -,b8d6
r1b1kb1r/ppp2ppp/2n5/3qP3/4n3/P1N2N2/1PQ1PPPP/R1B1KB1R b KQkq -,e4c3
5r2/4nbk1/N1p1p1pp/Pp1B4/1P5P/6P1/3K1P2/2R4R b - -,e6d5
r4bk1/5p2/p1r3pp/4p1n1/R3P1P1/2P1BP2/4NKP1/3R4 b - -,g5e6
r1bqrb1k/1p4np/p1p2ppB/2P1P3/P4QP1/3B1N2/5P1P/1R1R2K1 b - -,g7e6
8/3kp2p/pR4p1/P2p4/8/8/1PPr1PPP/5K2 w - -,c2c3
r1R3k1/q3ppb1/3p2p1/n2P3p/1B1n1P2/P2Q2PP/5PBK/1R1N4 b - -,a8c8
8/7p/6nk/3P2P1/8/6PK/2B5/8 b - -,h6h5
2r3k1/2r2p1p/4p1p1/4bb2/2P3Pq/4B2P/3R1PB1/3Q1RK1 b - -,f5e4
r1r3k1/q4ppp/bp2pn2/3pN3/1P1Q1P2/P1N1PK2/6PP/R1R5 b - -,c8c7
rnb2rk1/pp2ppbp/1q1p2p1/2pn4/3P4/4PNBP/PPP1BPP1/RNQ1K2R w KQ -,c2c3
rq3rk1/3n1ppp/p1Rb1n2/1p2pP2/5B2/1B6/PP1NQP1P/3R2K1 w - -,f4g3
3k4/2n4p/p5p1/P1BP1p2/2p5/7P/5PP1/5K2 w - -,d5d6
2r3k1/2q2pp1/7p/1p1p3n/1P1PP3/R1PpP1P1/5KP1/3Q1N2 b - -,h5f6
r5k1/7p/p1N1p3/4Pp2/PPpBnKP1/8/2b4P/R7 b - g3,f5g4
6k1/Q4pp1/P3bq1p/8/8/8/r4PBP/4R1K1 b - -,f6c3
6k1/r7/4p2p/pp1pPn1P/2pP1R2/P1P3pK/1P1B2P1/8 w - -,f4g4
1k4r1/1pp1n3/p1n2qp1/3p1pNr/3P1P1p/2PBQ3/PP4PP/R3R1K1 b - f3,e7c8
rnbqkb1r/1p3ppp/p2pp3/3nP3/3N4/2PB4/PP2QPPP/RNB1K2R b KQkq -,d6e5
r1b1r1k1/1p3p1p/1np3p1/p7/4N3/1P2P1P1/Pb1R1PBP/R5K1 w - -,d2b2
r3kr2/pp1n1ppp/1qb1p3/2b1N1P1/8/3B4/PPPBQ2P/2KR1R2 w q -,e5f7
8/p2r3k/1p4pp/3q1p2/8/1PQp2PP/P4P1K/3R4 w - -,d1d2
1r4k1/1r3ppp/p5q1/2bNPQ2/8/1P1R4/2P3PP/1K3R2 w - -,d5f6
8/6k1/5b2/2N5/1p5P/1P3RP1/KP6/4r3 b - -,e1e2
r2qk2r/pb1nbppp/1p2p3/2ppP1B1/8/2PBP3/PP1N1PPP/R2Q1RK1 w kq -,g5e7
3r1r2/4bkpp/3Bpq2/1p5P/2p5/2P2Q1P/5PB1/1R3RK1 b - -,d8d6
r3r1k1/pb1n1ppp/1p3n2/2pp4/P2P1B2/2P1P3/3NBPPP/2R2RK1 b - -,b7c6
1rb2rk1/1p1nqpp1/p2ppn1p/2b2P2/2P1P3/2N1B3/PPNQB1PP/R4R1K b - -,f8e8
r3k2r/ppq2ppp/2nbpn2/1B1p1b2/1B1P4/1Q2PN2/PP3PPP/RN3RK1 b kq -,e8g8
rn1qk2r/pp2bpp1/2p1pn1p/3p3b/2P5/1P1P1NPP/P2NPPB1/R1BQ1RK1 b kq -,e8g8
1r2b2k/p3r2p/2p1p1p1/1p1nRqQ1/1P1P2NP/P5P1/5PB1/4R1K1 b - -,f5g5
r1bq1rk1/pp2b1pp/4p3/n1ppPp2/3P3P/5PN1/PPP5/R1BQKBNR b KQ -,f5f4
6B1/8/6pp/5p2/1p1b1P2/pPk3P1/P3K2P/8 w - -,g8h7
4bk2/1p3rpp/p1p1B3/4R3/3p4/P2P1P2/1P2P2P/6K1 b - -,f7e7
5rk1/1Pb2pp1/3P2p1/2P3n1/8/5BP1/2Q3KP/4r3 b - -,c7b8
r1b1k1nr/ppqnppbp/2pp2p1/8/2PPP3/2N2N2/PP2BPPP/R1BQK2R w KQkq -,c1e3:e1g1
5k2/p4p1p/1p1b3P/2pP1pP1/2P1rP2/1P3R2/P2B4/3K4 b - -,a7a6
8/5pk1/p7/2b1P1p1/4Bn2/5PK1/3p1P2/7R w - -,h1d1
r3nrk1/1p1nqp1p/p2p2p1/P2Pp3/1pN1P3/2N1Q3/2P2PPP/RR4K1 w - -,b1b4
8/pp4kp/2p3p1/4P3/P4rq1/8/1P5P/4RQ1K w - -,f1d3
b2r2k1/b4p1p/6p1/1p6/1Nn2P2/1N5P/1P2R1PK/2B5 w - -,b4a6
q4b1k/P5pn/1p5p/4p3/4N3/5Q1P/5P1K/R7 b - -,h7f6
4r2k/4P1p1/5p1p/3q4/1Bpp1Q2/P2b4/3R2PP/6K1 b - -,h8h7
3q3k/p4pp1/Pp2bb1B/2p5/1nP1B3/5N2/5PPP/1Q4K1 w - -,h6f4
r1r2nk1/3q2p1/1Rp1bp1p/3p4/3P4/3BP1NP/2Q2PP1/5RK1 w - -,f1c1
rn2r1k1/p4p2/2p1nQPB/4Pb2/1p2pP2/2P3R1/P7/2KR4 b - -,f5g6
8/1N6/p4p2/3kn1pp/8/3K3P/5PP1/8 w - -,d3e3
1r6/2pBkpp1/p6p/P6R/1pb5/6PP/1PP3P1/4K3 w - -,d7a4
2r3k1/1qrnbppp/ppnpp3/8/N1P1PP2/1P2BNP1/P4QKP/2RR4 b - -,c8b8
1r4k1/2p2p2/6pp/2P1p3/1p6/6P1/4PPBP/1R4K1 b - -,b8b5
2r5/5pk1/p1nqp1pp/2N5/P3Q3/3BP1P1/1b3P1P/2R3K1 w - -,c1c2
1r1q1rk1/4bppp/ppp2n2/2n1pN2/P3P3/5Q1P/NPP2PP1/R1B1R1K1 b - -,c5e6
5k2/7R/2B3p1/5b2/5P2/8/n5P1/7K b - -,a2c3
1r5k/1r3pbp/q2pp3/p1pPn2P/P1P5/1P4P1/2BBQRK1/1R6 b - -,e6d5
r2r2k1/1pq1bpp1/2p1pn1p/p3n2P/2PP4/6N1/PP1BQPP1/1K1RR3 w - -,d4e5
1r2n3/4kppp/3pb3/1Bp1p3/P3P2P/4BPP1/r1P2R2/2KR4 b - -,e8c7
r1b1qr2/pp4kp/1np2p1b/4P3/6p1/1BN1P1P1/PP3PP1/2RQN1KR b - -,f6e5
r3kb1r/1pq1nppp/p3p1b1/2npP1B1/3P3N/2P5/PP2BPPP/R2Q1RK1 w kq -,d4c5
8/p4kp1/1p1p1n2/3Pp2p/3qP2P/PK3QP1/1PB5/8 b - -,d4c5
2rr2k1/1pq2pb1/1n1p1npp/p1pPp3/Q1P1P3/2N1B2P/P3BPP1/1R1R2K1 w - -,a4a5
3rr1k1/ppq1bppp/2np4/4pP2/6P1/2P2N1P/PP2QP2/R1B1R1K1 b - g3,d6d5
6k1/1pB3p1/r6p/1N6/1r6/8/p5PP/R5K1 w - -,b5c3
8/6pp/4kp2/2P5/pp6/1P3P1P/5KP1/8 b - -,a4a3
r1b2rk1/ppq2pbp/3p2pn/2pPp2n/2P1P3/1P1N2PP/PB1N1PB1/R2Q1RK1 w - -,g3g4
5rk1/pppb1qpp/8/3r1p2/5R2/2P1QN1P/P1P3P1/R5K1 b - -,b7b6
r1b1qr1k/1pp1b1pp/p1np4/P3pp1n/2B1P3/1QPPBN2/1P3PPP/RN2R1K1 w - f6,e4f5
r1b1q2k/1pp1b1pp/p1np4/P3pr1n/2B5/1QPPBN2/1P1N1PPP/R3R1K1 b - -,e8g6
2k5/p7/2p2p2/1p3P1R/2p1r3/P7/1PK4P/8 w - -,h5h6
2r3k1/pp3p1p/5bp1/B2r4/2p5/3PP1P1/PP3PKP/1R1R4 w - -,a5c3
6bk/7p/1Q2P1r1/3Pqp2/8/P1N5/2K1B2P/8 b - -,g6g2
8/8/3pk1pp/p1r5/1p2K1PP/1P3P2/P2R4/8 w - -,f3f4
5r2/2p2r1p/p2bR3/1ppR1p2/1kP5/1P3P2/P4KPP/2N5 b - -,b5c4
1r6/2P2p2/6k1/6pp/8/4B2P/1bR2PK1/8 b - -,b8c8
2q4k/4Q1p1/7p/p2n4/5P2/4P1PP/7K/8 w - -,e7e4
2r2k2/4bpp1/6p1/p3N3/2p5/7P/P1P2PP1/4R1K1 w - -,e5d7
2rq1rk1/pp4p1/2n1p2p/6B1/8/2P3P1/P4PBP/2RQ1RK1 b - -,d8g5
6k1/5np1/4p2p/7P/4Q1P1/1q3P2/6K1/8 w - -,e4a8
r4r1k/pp2q1b1/2ppBp1p/6pn/P2BP3/1Q3PP1/1PP4P/3R1RK1 b - -,f6f5
r7/1pp2kp1/2n1r2p/3pP3/p2P2q1/2Q1B3/P2N1P2/R1R2K2 b - -,e6g6
2r1kb1r/1p3ppp/pqnpbn2/4p1B1/4P3/2N1N3/PPP2PPP/R2QKB1R w KQk -,a1c1
3Rn3/2p2k1p/1pp1b3/4PpPN/1P3P1P/2P1K3/r2B4/8 b - -,a2a1
rnb1k2r/p1pp1ppp/1p2p3/8/1bPP3q/2N1PP2/PP4PP/R1BQKB1R w KQkq -,g2g3
8/5pk1/3p1pp1/3q4/3Q2Bp/3K1P2/2P5/8 b - -,d5b5
r1b2rk1/ppq1ppbp/6p1/2p1Pn2/5P2/3B1R1P/PPP1N1P1/R3Q1BK b - -,c8e6
r4rk1/pbbn1ppp/4p3/1pP1P3/6Nq/PP1B2P1/1B3P1P/R2QK2R b KQ -,h4h3
2r5/5pkp/1p6/4n3/R7/1B3pK1/PP3P1P/8 w - -,b3d5
1r1q1rk1/pp3p1p/2pp1bp1/4n2P/2P5/2N1PB2/PPQ2PP1/R3K2R b KQ -,e5c4
5rk1/1pp3b1/p2p2p1/3Pp2p/2P5/4B1P1/PP2K2P/7R w - h6,b2b4
8/8/2N2k1p/2pb4/3p4/5P2/6PP/2K5 w - -,c6a7
8/1pp2kp1/2q2p1p/p1P5/P3Q3/1P4P1/3r2PP/5RK1 w - -,e4c4
r2q1rk1/ppp2p1p/1n2P1p1/4b3/4PP2/4B3/PPQ3PP/R3K2R w KQ -,f4e5
rnbq1rk1/ppp1bppp/3p1n2/8/3N4/1P2P3/PBP2PPP/RN1QKB1R w KQ -,f1d3
3q2k1/3r1p1p/pp4p1/2p1r3/2Pp4/2PR1Q2/6PP/3R2K1 b - -,e5f5
r1bq1rk1/3nppbp/2pp1np1/p7/2P5/1P2PN2/PB2BPPP/RN1Q1RK1 b - -,d7c5
4rnk1/2q1r2p/p2p2pQ/np3pP1/3B1P2/2PP2R1/P3NK1P/4R3 b - -,f8e6
3r1rk1/1b3ppp/pq2pn2/1p6/1bpPP3/2N1BP2/1P2B1PP/R1Q3RK b - -,b6c7
r2qr1k1/p4np1/1p3n1p/3pbP2/3P1P2/P1N5/Q3P1BP/R3B1K1 w - -,f4e5
4b3/1p6/p2k2pp/P2pNp2/2PP1P2/1PK3P1/8/8 w - -,e5f3
8/1p2k3/p3p3/P3Pp1p/1P5P/1b2K1P1/4N3/8 w - -,e3d4
r3k3/P2b1p2/R1n4p/2N2Pp1/1BP1p1P1/4P3/7P/6K1 w - -,b4c3
1r1r4/p1qn1pk1/2pR1npp/4P3/p4P2/P4N1P/1PBQ1RP1/6K1 b - -,f6e8
4k2r/1p2bbpp/p1q2n2/5p2/2P1pP2/PP2Q3/1B4PP/2KN1B1R w k -,e3c3
r2r1k2/1p1nbpp1/4p2p/p7/P1PB3P/1P4P1/2N2P2/R3R1K1 w - -,a1d1
r1b1kb1r/pp4pp/2n1p1qn/2pp2B1/3P4/P1PB1N2/1P3PPP/RN1QK2R b KQkq -,g6h5
r1b1k2r/ppqnbppp/2pp1n2/4p3/2PPP3/2N2NP1/PP3PBP/R1BQ1RK1 b kq -,d7f8
3b4/pp4kp/2p1bpn1/4p1p1/4P1P1/P1N3BP/1PP2PK1/5N2 w - -,f1e3
r2q1rk1/1bpn1pp1/p2Bp2p/1p1n4/3P4/5NP1/PPQNPPBP/R1R3K1 b - -,c7d6
1R6/2r4p/1p2pk2/p5p1/P2K2P1/8/8/8 b - -,c7c1
2rq1rk1/1p1nbppp/p1n1p3/3p4/3P1B2/P1NQPN2/1P3PPP/2R2RK1 w - -,e3e4
r1bqnrk1/1p1n1pbp/p2p2p1/2pPp3/2P1P1PP/2N1BPN1/PP1Q4/R3KB1R b KQ h3,e8c7
