8/7k/7P/1r4PK/8/8/6R1/8 w - -,g2a2
r5k1/1p2b1pp/r1p3b1/1p1p1p2/3PP3/1P2BPP1/P1R3BP/R5K1 w - f6,e4f5
r4r1k/pp1b2pp/3qpb2/2R2p2/1PB5/3Q4/P1PB1PPP/4R1K1 b - -,f6d4
r2q1rk1/1p1nppbp/2pp1np1/8/1pPPP1b1/2N1BN2/P3BPPP/1R1Q1RK1 w - -,b1b4
r2qr1k1/pp2bppp/2p1nnb1/5N2/5Q2/P1NP4/1PP1BPPP/R3R1K1 w - -,f5e7
1r1r2k1/4qpb1/2n2npp/1pp1p3/2b1P3/2P1BNNP/1PB2PP1/R2RQ1K1 b - -,b5b4
8/8/8/1b1P1k2/2P1R3/5PK1/6N1/2r5 b - -,b5d7
4rrk1/5ppp/p2b4/1p1p1b2/3P3q/2P1R2P/PP1N1PP1/R1BQ2K1 w - -,d2f3
r1bq1rk1/ppp2pbp/3p1np1/3P4/2PpP3/2NB4/PP3PPP/R1BQ1RK1 w - -,c3b5
4Q3/1p4pk/2p2q2/2PpRP1p/rP1P3P/6P1/8/6K1 w - -,e8h5
8/3b1pkp/4p1p1/4p3/3rP3/P1R2P1P/4B1P1/6K1 w - -,c3d3
1R6/1b2Rk2/8/8/4P1pp/2N2prP/PPP1BKP1/8 b - -,f7e7
r1bqr1k1/1p3pb1/2p3p1/p2p1p1p/2PPn2P/1P2PNP1/P2QNPB1/R4RK1 w - -,d2d3
r1b2rk1/1p2bp1p/pq1p1np1/1N1P4/2P2B2/3B1Q1P/PP3RP1/R5K1 w - -,f4d6
4rn2/ppp2k2/3r3p/4bB2/2PpPpRP/1P6/PB3P2/3R3K w - -,b2c1
8/2p3k1/1p6/1P1P4/2n4R/5K2/2r3BP/8 w - -,f3g3
rn1q1rk1/pbp1bpp1/1p1pp2p/7n/2PPB3/2N1PNB1/PPQ2PPP/R3K2R b KQ -,c7c6
2rq1rk1/1p1bppbp/p2p1np1/4n3/3NP3/1BN1BP2/PPPQ2PP/1K1R3R w - -,h2h4:g2g4
8/5p1k/6p1/3qp3/1pRn4/1P2Q1P1/P4P2/6K1 w - -,f2f4
rn1qk1nr/pp3pp1/2p1p3/3pPb1p/1bPP3P/2N5/PP3PP1/R1BQKBNR w KQkq -,d1b3
r3r1k1/ppq2p2/6bp/2bN2p1/3Np3/4P3/PPQ2PPP/R3K2R b KQ -,c7a5
6k1/2Q4p/1p2q3/p2bp3/5p2/1P3P1P/P2N2P1/6K1 w - -,g1f2
7k/pp1B2pp/2p5/3p4/3n4/2P5/PP3bK1/8 w - -,g2f2
6k1/6r1/5P1p/3K3P/8/8/8/8 w - -,f6g7
n4rk1/4bppp/2Rp4/pr2p3/4P3/1P3NPB/2P2P1P/R5K1 b - -,d6d5
r1b2bnr/ppkn2pp/2p2p2/4p3/8/2N1B1P1/PPP1PP1P/2KR1BNR w - -,f1h3
8/3k4/KP6/8/8/2R5/6r1/8 w - -,a6b7
r5k1/1p5p/2p1b1pB/p2n1p2/P3B3/2P3P1/1P3P1P/R5K1 w - f6,e4f3
r1b1kb1r/1pqp1pp1/p3pn1p/8/3QP3/2N3P1/PPP2PBP/R1B1R1K1 b kq -,f8c5
r1b1rnk1/p1p1qpp1/1bpp3p/4p3/3PP3/2P1B1NP/PP2QPPN/R4RK1 b - -,f8g6
8/pr2k3/5p1p/P3pB2/1PK2p2/2P2P1P/3R2P1/6b1 b - -,g1e3
8/R4p2/4pkpp/8/P6P/4P1K1/r4PP1/8 w - -,g3f3
r2qkbnr/pp1b2pp/n4p2/2p1p3/1PPP4/P2P1N2/2Q2PPP/RNB1KB1R b KQkq -,c5d4
8/p2r2kr/bp2qp2/6p1/P1pPp1P1/2P1P1QP/5RKB/5R2 w - -,f2b2
6k1/p2q1pp1/bp5p/3Bp1n1/4N3/1P2P2P/P4PP1/3Q2K1 w - -,e4g5
r3q1k1/p4ppb/1p1P1n1p/2p5/5N2/PB4P1/1P4P1/3RQ1K1 w - -,e1c3
1r5r/3P2q1/pN5k/P1p2Qnp/4n3/2P5/6P1/R4RK1 b - -,h8g8
6B1/2k4p/1p4pP/p4pn1/P1KP2P1/8/1P6/8 w - -,g4f5
8/8/1pk4p/2P5/PK4P1/8/8/8 b - -,b6c5
8/8/3N1p2/1k4p1/3p2P1/5RKP/3r4/8 b - -,b5b4
8/8/5p2/1p1p1k2/2r2p2/P6R/1K5P/8 w - -,h3b3
8/2p1rpk1/3p2p1/1PpP2qp/4B3/2PQ3P/1P3PP1/R1b2K2 w - -,b2b3
r2qr1k1/1p2bp1p/1np1n1p1/p2p4/3P1B2/P1N1P2P/1PQN1PP1/3R1RK1 w - -,f4e5
5k2/5p2/1R4p1/1p5p/2b4P/6P1/3r1PK1/4R3 b - -,c4d5
8/5pk1/p1Nn4/1pbP2p1/6P1/1P6/P3KPB1/8 w - -,b3b4
1R6/5p1p/B5p1/4pk2/P7/1b6/1r1b1PPP/2R3K1 w - -,c1a1
r3k2r/pppn1ppp/2pbbq2/8/3NP3/1P6/PBPN1PPP/R2Q1RK1 b kq -,f6h6
r3k2r/3n2p1/1p2pn2/3p4/p2P3p/qP4P1/P2NQPBP/1KR4R w kq -,e2e6
4r2k/7p/p4q2/1p3pp1/4p3/P1P1Q3/1P3RKP/8 w - -,f2d2
r4rk1/2qn1p1p/pp1pp1p1/n7/PNP5/2bP1NP1/2Q1PPKP/1R3R2 w - -,c2c3
2bq1r1k/1pp1b1pp/1n3p2/r2PpP2/pn2P1P1/2N5/PP2N1BP/R1BQ1R1K b - -,c7c6
r7/P3Rp2/1k4p1/1p5p/3p3r/8/1KP5/5R2 b - -,d4d3
4r2k/pp4p1/2p3P1/1P1pP2p/4nB1P/4P3/P1K5/3R4 b - -,e8e6
5r1k/6p1/2p5/2P3q1/3Qp3/7n/1R2BP2/4K3 b - -,h3f2
r1bq1rk1/1ppn3p/3p1bp1/p1nPp3/2P1Pp2/2N2P1P/PPQNBBP1/R3R1K1 w - -,c3b5
8/5k1p/3b2p1/5p2/2Rp3q/3Q1P2/PB3P2/6K1 w - -,d3d4
r3kbnr/5ppp/p1n5/2pp4/Np6/3P2P1/PPP2P1P/R1B1K1NR w KQkq -,g1f3
8/7p/3n2p1/3k4/1p3P2/3B1P1P/PP3K2/8 b - -,d5d4
8/p7/4p3/1P1p1prp/Pkn5/4PKP1/7R/7R b - -,g5g4
r1bq1knr/ppp4p/1n1p3b/4pN2/4PpQB/2N5/PPP3PP/R3KB1R b KQ -,d8e8
1qrr2k1/3bb2p/p3p3/4Pp2/3NpP2/2PnB2P/1P1QB3/R4R1K w - -,f1g1
2r1r1k1/5qp1/p3p3/2R3Q1/8/P3R2P/5P2/6K1 b - -,e8f8
1q1r2k1/4ppbp/6p1/2p5/4PP2/1rP3PP/2R1Q1BK/5R2 w - -,e4e5
b3k2b/3n1p2/p2P1q2/1p2p1p1/2r5/1NP1B3/PP2Q1P1/1K1R1B2 w - -,e2d2
r3k3/1p2q1pr/p3bp2/3p4/3P4/2P3P1/P1QK1PP1/2R2B2 w q -,c2h7
rnb2b1r/1pq2k1p/p4P2/3QpP2/8/2N5/PPP2p1P/2KR3R b - -,f7f6
5k2/7p/1p6/p1p2q2/P4N2/4r3/1B1K1p1P/5R2 w - -,d2e3
3b4/q2r1pk1/3p2pp/p1pNp3/Q1P4P/3R2P1/PP2PPK1/8 w - -,g2g1
4Q2k/pbq4n/1p1R1r2/2p2N1p/P3Pn2/5P1P/1PP3PK/8 b - -,f6f8
3rk2b/pp5q/5pp1/2Q1pb2/2P5/1PB2NP1/P3PP2/R3K3 w Q -,f3h4
8/8/p7/n1PN1k1p/4p2P/1pK5/5P2/8 b - -,f5g4
8/8/4ppp1/p2p3p/3P1PP1/kP2P2P/2K5/8 w - -,g4h5
rr6/5pk1/p5p1/P1NPp2n/4P1bp/2N3P1/RP1K1P1P/6R1 w - -,g1b1
r1r3k1/p4ppp/1p2pn2/2p5/3P4/P3P3/1P1N1PPP/2R1KR2 w - c6,d4c5
7q/8/4Q3/5P1K/3k4/7P/8/8 w - -,h5g4
2kr2r1/pp1b1pp1/2n1pn1p/4q3/2Pp2P1/PP1P2NP/1B3PB1/R2KQR2 b - -,e5e1
r4rk1/pb1qppbp/5np1/3p4/8/1QN1B1P1/PP2PPBP/R4RK1 w - -,f1d1
rn2kbnr/ppp1qppp/3p4/4p3/2B1P1b1/5N2/PPPP1PPP/RNBQ1RK1 w kq -,c2c3
3r2k1/pnq1bp2/bpp1p1pp/4P3/P1PR1P2/2N1P3/1BQ3PP/1B4K1 w - -,c3e4
2rq1rk1/1b3ppp/p1n1pn2/1pbpN3/5P2/PP1BP3/1BPNQ1PP/R4RK1 w - -,b3b4
2N5/1p4b1/1Pp1k2p/2P1p3/8/2r3Pp/8/2B2R1K w - -,c8d6
2k2b1r/4p2p/pp2Pp2/3p1p2/8/B2KP3/P4PPP/7R b - -,c8b7
6k1/5pb1/3r1np1/1p6/7Q/1P1Bq3/6PP/3R2NK w - -,h4h3
8/p6p/1p1knbp1/1P2p3/2K1P3/4BN2/2P2P1P/8 w - -,e3d2
r1b2rk1/pp1nqpp1/2p4p/4P3/2p5/2RBPN2/PP3PPP/3Q1RK1 w - -,d3c4:c3c4
6k1/3r3p/p5p1/5p2/4bP2/2B1P1P1/P1pK3P/1rR5 w - -,c3d4
7k/6p1/p1R4p/2n2r2/8/7P/P1P3P1/7K w - -,h1h2
4r1k1/2q3bp/p2prnp1/1p2n3/1Pp1PB2/2P4P/P1BQ2P1/1N1RR1K1 b - -,f6h5
r1b2rk1/pp2qp1p/2p2np1/4p3/P1B1Pn2/Q5NP/1PP2PP1/R2NR1K1 b - -,c6c5
4r1k1/1p3pbp/p1b3p1/3p4/3B4/2PnNBPP/PP3P2/1R4K1 b - -,e8d8
2r1r1k1/1p3pbp/p5p1/1P1n4/3p4/1R2PN2/3BQPPP/2q3K1 w - -,d2c1
5k1r/7r/Pp3pP1/1K1Bp3/3bP3/2p3R1/7P/5R2 b - -,h7c7
8/ppp3k1/3p2p1/3P2p1/2P1p1P1/1P2P2P/Pb4K1/6B1 w - -,g2f2
r1q2rk1/pb1nbppp/1p1pp3/2p5/2PP4/2Q1PNP1/PP1B1PBP/R2R2K1 w - -,a1c1
8/3q4/2R2ppk/7p/3P4/4P2P/5PP1/2R3K1 b - -,f6f5
2b1kb1r/2pp1ppp/1np5/4P3/2P5/qP6/3NQPPP/B3KB1R w Kkq -,e2d1
r1r3k1/1ppbqpp1/p4n1p/n2pN3/P2P4/2PBP3/2Q2PPP/R1B2RK1 w - -,f1e1
rn2r1k1/p2b1pbp/1q3np1/1p1PB3/2p5/2N1PN2/PP3PPP/R2QKB1R w KQ -,f1e2
3rr1k1/1b1qbppp/p2p1n2/1p2p3/4PP2/P1NB1QB1/1PP3PP/4RR1K b - -,e7f8
7r/p1p1k3/P2p4/3PnRp1/1P2P3/6P1/4B1K1/8 b - -,h8g8
r2q1rk1/1pp1bppp/2np4/p4b2/7P/2P1BN2/PPPQ1PP1/2KR1B1R w - a6,h4h5
r3n1k1/3n1pbp/p2p2p1/1r1Pp3/1P2P3/3NBP2/4N1PP/R4RK1 w - -,f1c1
8/8/5rk1/1R4pp/4p3/4P1K1/8/8 w - -,g3g2
4rk2/5q2/8/1p6/7P/2P3Q1/1P4RK/8 b - -,e8e6
5r1k/1p4p1/4Q2p/7P/P5P1/P2p2B1/3q1PK1/8 w - -,e6d6
1b1rrnk1/pp2qpp1/2p2n2/2P4p/1P3P1P/P1N1p1P1/1BQ1P1B1/R4RK1 w - -,a1d1
8/8/pp2k3/4p1K1/P1P2rP1/1P1R4/8/8 b - -,f4f8
rn1qkb1r/1bp1pp1p/p2p1np1/1p6/3PP3/4BP2/PPPQ2PP/R2NKBNR b KQkq -,b8d7
2r2rk1/pp3pp1/2b1p2p/qB1p4/Pb1P4/1P2P2P/4QPPB/2R2RK1 b - -,f8d8
8/8/3bN3/3K4/1p4k1/1P6/8/8 b - -,d6e7
r1bq1rk1/ppp2ppp/2nbpn2/8/2PP4/P1N2N2/1P2BPPP/R1BQ1RK1 w - -,c1g5
8/4k1R1/4P3/pp1p1K2/3P1p2/8/P1r2P2/8 b - -,e7d6
1q2rrk1/6bp/6p1/1p5n/1Pn1P3/5NPP/2R2BBK/3RQ3 w - -,c2e2
r3kb1r/1bq2ppp/ppn2n2/2pN4/P1B5/4PN2/1P2QPPP/R1BR2K1 b kq -,f6d5
r1b1k2r/pp2bppp/2pp1n2/q3n3/3NP3/2N3QP/PPP1BPP1/R1B1K2R w KQkq -,d4b3
3r4/1pRPk1p1/1P1npp1p/p7/B5PP/P7/5PK1/8 w - -,f2f4
rn1qkbnr/pb1p1ppp/1p2p3/2p5/2B1PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,g8f6
r2q1rk1/ppp3pp/1nnb4/2B1p3/N4pb1/3P1NP1/PP2PPBP/2RQ1RK1 w - -,d1b3
5rk1/r3qp1p/5np1/p1PBp1N1/p1QP3P/4P3/6P1/5RK1 w - -,d5f7
1r1q1r2/1p2n1kp/p2p1pp1/4p3/2PpPPb1/3P2P1/PP1QN1BP/R4R1K w - -,e2g1
r1bq1rk1/p3ppbp/2pp1np1/8/4P3/2PB3P/PP3PP1/RNBQ1RK1 w - -,c1e3
rnbq1r1k/pp2b1pp/1np1p3/5p2/3PP3/1QN1N1PB/PP3P1P/R1B2RK1 w - -,d4d5
6k1/5bnp/p1r3p1/3RB3/3Pp3/1B6/PP3KPP/8 b - -,c6c2
R6R/2r2k2/4n1p1/3rp2p/2N1p2P/3P2P1/5PK1/8 w - -,d3e4
8/p4kp1/p6p/2rp3P/5KP1/5P2/P7/3R4 b - g3,f7f6
1rbr2k1/2q1bnpp/3pp3/p6P/1pn1P3/1N3P2/PPP1NQ2/1KBR1B1R w - -,e2f4
r7/p3pNk1/1pp1bbp1/2pq2Pp/4Nr2/2PP3Q/PP3P2/R3R1K1 w - -,g5f6
8/pp1k3p/3p2p1/3P1p1n/3R1P2/Pr2N2P/5KP1/8 b - -,b3a3
8/8/8/8/3n1p1R/5k1P/3r4/5K2 w - -,f1e1
1rbr4/1p2kppp/2pN4/p2n4/PnB1N1P1/4P2P/1P3P2/2RR2K1 w - -,g1g2
8/3r4/4p3/3k3p/p1N5/b7/P3K3/2R5 w - -,c4b6
r4rk1/pb3p1p/4pPp1/2n1P2P/q1pP1B2/2P5/3KQP2/1B1R3R b - -,c5b3
4r2k/7p/6p1/p4p2/3p4/1p1N1qPn/4R1NP/7K w - -,e2e8
8/r5k1/6P1/4r3/2P2N2/2KB3R/8/8 b - -,g7f6
8/2p1Rp2/1p1r1kp1/3P1b1p/1Nr4P/P5P1/1P3P2/4R1K1 w - -,e7e3
1r4k1/p2bppbp/2n2np1/2q5/2Pp4/P2P1NP1/4PPBP/1NB1QRK1 w - -,b1d2
8/5pp1/5k1p/8/8/7P/3K2P1/8 w - -,d2e2
8/7p/6k1/2p1Rp2/5p2/5K2/2r2PPP/8 w - f6,e5e8
8/1k6/2p3p1/5p1p/PBK5/5P1P/5bP1/8 w - -,b4c5
r1r5/2q1bp1k/p3p1p1/4p3/bp2P2P/3B1PQ1/PPP1N3/1K1R3R w - -,d1c1
8/p1p2kp1/1p6/4r3/8/P1r5/2P2PRP/R2K4 w - -,g2g3
8/4B2p/1R6/r1p3P1/1PP3k1/6r1/5K2/8 b - -,a5a2
r2qr1k1/1b2bppp/3pn3/p1n1p3/PpP1P2P/1P4P1/1BNNQPBK/R4R2 w - -,f1h1
r4rk1/1p1qppbp/1nn3p1/p3P3/P7/1BN2Q1P/1P3PP1/R1BR2K1 b - -,c6e5
8/7k/2p1b1p1/p1q1r1p1/3RPr1p/1PN1Q2P/P1P1B1P1/7K b - -,c5f8
r1b3k1/pp2r2p/2n1pnp1/q2p2N1/2pP4/P1P5/2PBBPPP/R2Q1RK1 w - -,f2f4
8/8/1bp1k3/2N2p1p/1PP2P2/p4KP1/P7/8 b - -,b6c5
r3kbnr/1pp2q2/p3bp2/2p4p/4P1p1/1NN1Q1BP/PPP2PP1/R4RK1 b kq -,g4h3
8/5k1p/3p2p1/1p1N4/3b4/1PB3P1/1Pr1p1KP/4R3 b - -,d4c3
rn2k2r/ppp2ppp/1n2b3/4N3/1bPq4/1PN5/PB2QPPP/2R1KB1R b Kkq -,b8d7
r2qk1nr/p3bpp1/8/2ppP2p/3p4/1N3Q1P/PP1B1PP1/R4RK1 b kq -,a8c8
4R3/1p3pkp/1P4p1/8/Pp6/1Pb3P1/5P1P/3rN1K1 w - -,a4a5
8/3k4/p1Np4/P2P4/7r/3K4/8/2B5 b - -,d7c7
8/5p2/1p1k4/p5b1/n3K1P1/1N6/2B5/8 w - -,b3a5
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/4P3/PBP2N2/1P1P1PPP/RNBQR1K1 w - -,d2d4
1b6/3q1kp1/2R1pp2/1Q1p2p1/3P4/3NPP1P/rP4P1/6K1 w - -,g1f2
r1bqk2r/pp2ppbp/2p2np1/3N4/3P4/1B2BP2/PPPQ2PP/R3K1NR b KQkq -,c6d5
r1bq1rk1/pp3ppp/8/2bn4/N7/6B1/PP2BPPP/R2Q1RK1 b - -,c5e7
3k4/1P6/2K2p1p/6p1/2N1P3/7P/5PP1/1r6 b - -,b1b3
2k5/1pb5/2n5/2pr2pp/P1N2p2/2Pp2P1/1P3P1P/2KRR3 w - -,d1d2
4r1k1/6p1/2p4p/p4p2/5P2/1P4NP/P2r1BB1/2Rb2K1 w - -,g2c6
r7/2p3bk/4p2p/3p1ppP/3P4/2PKP3/prN2PP1/R4R2 b - -,g7f8
8/p2r1k1p/R4np1/8/3N4/2P2P2/PP4P1/1K6 w - -,d4c6
1r3rk1/4ppbp/pqBp1np1/2pP4/P4P2/2PQ3P/1P4P1/1RB2RK1 w - -,c1e3
2kr3r/pbp3p1/1pn1p3/2p1P3/2PP3q/2P3N1/P1Q4P/1R3RKB w - -,d4c5
2k4r/1pq3p1/p4p2/4p2p/P2b2b1/1B3N2/1P2QK1P/R1B5 w - -,c1e3
6k1/1p3p2/p3b1PQ/3p3p/1P1P4/q5P1/5P1K/8 b - -,a3f3
r2q1rk1/1p3pb1/p1bppnp1/2p4p/1P2P2P/P2P1N2/1BP1QPP1/R2NK2R w KQ -,b4c5
rnbq1rk1/ppp2ppp/8/8/4np2/1BP2N2/P1PP2PP/R1BQ1RK1 b - -,b8c6
r2k1br1/3q1p2/b7/p2P2p1/8/1PP1Q3/P4PPP/R1B1K2R w KQ -,e3b6
8/3n1k2/1p1B3p/3p4/3N1K2/2PbPP2/8/8 w - -,d6c7
2rq1rk1/1b4pp/pn1p1pn1/2pP3N/1p2PPP1/1P3N1P/PBBQ4/5RK1 b - -,c8c7
6k1/3nQ1b1/r3b1pp/qp2P3/3rNP2/P7/1P4PP/1BR2RK1 b - -,e6c4
6k1/4bpp1/4n2p/n2pP2P/5BP1/1pP3K1/rP2bNB1/1R4N1 b - -,e2c4
5rk1/p3bppp/4p3/8/1P6/P3NKP1/3r1P1P/R2R4 b - -,f8d8
r5k1/pp2rpbp/2pN2p1/P1P5/1P1p1P2/6P1/4P1KP/4RR2 b - -,f7f5
3R4/p4p1k/5K1P/6P1/8/8/8/6r1 b - -,g1f1
5rk1/2p1qpb1/3p3p/2pP2p1/1rN5/3Q2P1/2B1NPP1/2R2K2 b - -,f7f5
r4rk1/pp3pbp/1qn1b1p1/2p1P3/3p1B2/2NP1RPP/PPP3B1/1R2Q1K1 w - -,c3e4
1q1r1rk1/pb2ppbp/1p4p1/3n4/P2PB3/2B2N1P/1P3PP1/2RQR1K1 b - -,f8e8
6k1/1R6/1p6/6PK/r7/8/8/8 w - -,h5g6
2k4r/p3r1p1/1p3P2/3q1P2/2bPp3/2P1Q3/P4RRB/6K1 b - -,g7f6
r1r3k1/pp1bppbp/2np1np1/q7/P1P1P3/1P4P1/1BN2PBP/RN1Q1RK1 b - a3,d7g4
3R4/ppp1r1pk/7P/4p3/4PrR1/2P5/PP3b2/2K2N2 w - -,g4g7
3Qr1k1/1p1b1p1p/4p1p1/3pP3/1P1N1P2/2P4P/1P4P1/R5K1 b - -,e8d8
r3k2r/pp2q2p/2pbQn2/6B1/P2Pp3/8/1P3PPP/R4RK1 w kq -,e6f6
r2qkb1r/pp1n1ppp/4p3/2ppP3/6b1/2P3P1/PP2PPBP/RNBQ1RK1 w kq -,f2f4
7k/4q2p/3p1p2/p1pP2rR/P2nP2Q/6N1/1P4PK/8 w - -,h5g5
r1b2rk1/1p2qp1p/2p3p1/4b3/n7/2N1P1P1/PB2QPBP/2R2RK1 w - -,c3a4
8/6pk/1P1B4/8/2q5/4P3/2KQ4/8 w - -,c2b2
2r1rbk1/1bq2p1p/3p1np1/1pp1n3/4P3/1P2B1PP/PNQRNPB1/3R2K1 w - -,e2c3
r2q1rk1/pR5p/3p2n1/2pP4/Q1P2p2/P1NBnb2/5RPP/6K1 w - -,f2f3
r2r2k1/1bnnqpp1/pp5p/2ppP3/Q4PP1/2N1P1BP/PP6/1B2RRK1 b - -,d7f8
8/5k2/3Bn2p/r1pbP3/p2p1pB1/P6P/1P1R1PP1/6K1 w - -,g2g3
4r1k1/p1p4p/3nb1p1/4Nr2/3P4/1PP1BP2/P5PK/4RR2 b - -,d6f7
3qkb1r/4n1p1/p1r1pp2/1p1p2pP/3P2P1/2NQ4/PPPB1P2/2KR3R w k b6,c3e2
1k2r3/n4N2/1pP1p1p1/1P1BPn1p/3p1P1P/3R2P1/5P2/1R4K1 b - -,e6d5
2n5/1p3k1p/pbp1q1p1/5p2/PP1p1P2/3P1BP1/2P3KP/Q3B3 w - -,e1f2
r1b1r1k1/p7/2p1n1pb/2p1pp1p/3pP1Pq/1P1P1P1P/PBP1N1K1/R2Q1N1R w - f6,b2c1
1nr3k1/4b1pp/pp1np3/3p1p2/3P4/4PPP1/PPNB3P/3R1BK1 w - -,c2e1
6k1/1p3pp1/1N1rbn1p/pP6/PrB1p3/4P1PP/2R2PK1/2R5 w - -,c4e6
4rnkb/pppbqrn1/4p2p/4Ppp1/2PP2P1/3B2NP/PPQN3B/2KR1R2 b - -,c7c5
r1br2k1/ppq2pbp/2np1np1/4pP2/4P3/1NN1BB2/PPP3PP/R2Q1RK1 b - -,g6f5
2r2rk1/pp2n2p/3p2p1/2pP1p2/3bPP2/3P4/qPQB2BP/2R2R1K w - -,c1a1
8/8/p4Pk1/P2K4/1PpB2p1/2P5/3r4/8 w - -,d5c4
8/ppr4p/3pkpr1/P1p1b2R/K1PpP3/3P2P1/2PB3P/5R2 w - -,d2f4:h5h4
1r3r2/p1p3kp/2ppbpp1/2n5/P1B1PP2/1P2R2P/2PN2P1/4R1K1 w - -,g1f2
8/p2r2pk/8/R7/P7/4B3/4bPK1/8 b - -,a7a6
8/4k3/B2p3b/1N1P1p2/P3p2P/2P2n2/1P3r1P/1K1R4 b - a3,e4e3
8/1P6/8/4b3/4k1p1/8/2pBK3/8 w - -,d2c3
2r1rbk1/2qn1p1p/p1p1p1p1/1pP5/3PB2P/PP3Q2/1B2RPP1/4R1K1 w - -,b2c1
8/R5k1/8/5K2/5B2/8/5r2/8 b - -,g7g8
1rbq4/4P1Q1/pkn1B3/1pN1Pp2/2p2P2/2P1B3/4K3/1R6 b - -,c6e7
r4rk1/pppbqppp/8/n3p3/2BP4/P1P1PQ2/4NPPP/R4RK1 w - -,f3d5
rn1qk2r/pb3ppp/2p1pn2/1p6/P1p5/5NP1/P1QPPPBP/R1B1K2R w KQkq -,c1a3
4Q3/2k5/2r5/5PK1/8/8/2r5/8 w - -,e8e4
R7/8/8/P3pk2/5npp/r3B3/5P2/6K1 w - -,a5a6
2qr1rk1/5p2/pp3bpp/3nN3/P1pP2P1/2P2QBP/1P6/R3R1K1 b - -,f6g7
8/p5pk/7p/4Q2P/2p5/P5P1/1Pq2PK1/8 w - -,g3g4
3r4/4k3/4p1p1/p1P5/4K3/8/P1R4P/8 w - -,c5c6
2rq1rk1/pb1nbppp/1pn1p3/2p5/4PP2/2P4P/PPBB2PN/R2QRNK1 b - -,c5c4
2r3k1/2r4p/pp1p2q1/2PPp1p1/1P2N1Pn/2RQ1p2/P4P1P/4R1K1 b - -,b6c5
r4rk1/5ppp/p3p1q1/3n4/3Q4/bP3N2/P2B1PPP/4RRK1 b - -,f8c8
r1b2rk1/p2nqpp1/1p5p/2pp4/3P4/3BPN2/PP3PPP/2RQK2R w K c6,d4c5
r1b2r2/5kp1/1pN1pnnp/p1b2p2/2P5/PP4NP/1BB2PP1/3RR1K1 b - -,c8b7
1r2bBkr/5p2/p3pPpp/3p4/N4P1Q/1p1P2RR/PPq4P/4K3 w - -,a2b3
2r2nk1/1p1bb1pp/1q2p3/pP1pP2P/P2P4/2NQ4/4B1P1/R1B2rK1 w - -,g1f1
r7/6k1/8/2pNp3/2N5/P3K3/r7/5R2 w - -,d5c3
r3k2r/1pp2pb1/3p2p1/p1nPp2p/2P1P1q1/2N1B3/PPBQN1K1/R4R2 w kq -,g2f2
