8/3RK3/2k1p3/5b2/8/1R6/2r5/8 w - -,b3b8
4k3/7p/4p1p1/P1b1Pp2/5P2/6KP/2p3P1/2B5 b - -,e8d7
r4rk1/p4ppp/Qp2pb2/2pq4/3PpP2/2P1P2N/PP4PP/R4RK1 w - -,h3f2
8/8/8/1p1kpBp1/5bPp/3K3P/2P5/8 b - -,b5b4
5k2/2q2p2/5p2/pp2r3/2PQ1R2/1P4P1/1P6/6K1 b - -,b5c4
8/4bk2/r7/6p1/4R3/4N1P1/5PKP/8 w - -,e3c4
2r1r3/p2k2pp/5p2/3P4/8/b1PKB3/P4PPP/1R5R b - -,c8c7
3rr1k1/pp3pb1/6p1/2pp1b1p/4n2q/1PPBP2P/PBQN1PP1/R4R1K w - -,d2f3
1r1qr2k/2N2pbn/R2P2p1/1pp1pbPp/5P2/4B2P/1P4B1/3QR2K b - -,e8g8
2q3k1/p1rn1p1p/Pp2p1p1/1P1p4/N2Pn3/4PP1P/1Q2B1P1/R5K1 w - -,f3e4
r1bq1rk1/1p1n1pb1/2p3pp/p2p4/3P1N2/2N1P3/PP1QBPPP/R4RK1 w - -,a1c1
6k1/4rrq1/p1p4p/4P3/2B2R2/2N3P1/PP4K1/5R2 b - -,g7e5
r1br4/5pk1/p4np1/1p1p2N1/4p3/BRP3P1/P1B1qPK1/1Q6 w - -,a3c5
8/1R6/Q1bk1p2/7P/4P3/P1p3P1/8/4nK1q w - -,f1f2
r4rk1/pbq1bp1p/1p2p1p1/2ppP3/3Pn1Q1/2PBP2R/PP1N2PP/R1B3K1 b - -,e4g5
1k5r/ppq1b1p1/2p1Q3/4P3/P6r/3N3p/1PP2PP1/R3R1K1 w - -,g2g3
r2q1rk1/pp3ppp/2n1bb2/3p4/8/2N1PN2/PP2BPPP/2RQ1RK1 b - -,d5d4
4br2/3qppbk/p4npp/4B3/1rP5/3B1N1P/RPQ2PP1/4R1K1 b - -,d7b7
r3k3/pp2p1b1/5Pp1/3Q3r/6K1/2BPq1Pp/PPP4P/R4B1R b q -,h5d5
8/p3rk2/P4p2/3Kb3/6P1/1Q6/8/8 w - -,d5e4
r1bqrbk1/5pp1/p2p1n1p/np1Pp3/1P2P3/5NNP/P1B2PP1/R1BQR1K1 b - -,a5c4
r3r1k1/1p1nppb1/p2p1n2/q4PNp/6pP/3B2B1/PPP1QPP1/R4RK1 b - -,d7c5
r5k1/1b1n1pp1/1qprp2p/p1R5/3PQ3/3B1N1P/PP3PP1/2R3K1 b - -,d7f6
8/2B4p/2b1p3/5k1B/pb2pp1P/2N5/2K5/8 b - -,e4e3
2r1k2r/pp1b1p2/4p2p/3pPn1P/6R1/P1BP1N2/3K1PP1/R7 b k -,d7c6
3r4/p4p2/1pn1pkp1/3r3p/P3RP2/1NP2KP1/1P5P/R7 w - -,a1e1
8/p4pk1/2Q1n1p1/1p1p2P1/1P1P1P2/2PB3q/P3K3/8 w - -,c6d6
r2r2k1/p2nbppp/1p2pn2/1Nq5/8/P3P1N1/1P2QPPP/R1B2RK1 b - -,d7e5
2r2rk1/1b2bppp/pq3n2/1p2N3/4P3/P1NB4/1PP1Q1PP/R4R1K b - -,f8e8
2rq1b1r/p3kppp/4p3/1Q1n4/8/2N2P2/PP3P1P/R1B1K2R w KQ -,e1g1
8/8/1Kp5/3q4/4kp2/8/8/6Q1 w - -,g1g6
r1bq1rk1/1p1n4/p1p1p2p/1PPp1pp1/P2PnP2/3B1N2/4NPPP/R1Q2RK1 b - -,g5f4
r1b2rk1/pp3ppp/2p5/7q/4B3/1P2P3/P1Q2PPP/1R2K2R w K -,b3b4
8/1p6/3p1nk1/P3p3/4PP1p/2qB1Q1P/8/6K1 b - -,c3a5
r1r3k1/1p3ppp/2nQb3/p1N1p3/4P3/8/PPP1BqPP/1K1R3R w - -,c5e6
rnbq1rk1/ppp1bppp/3p1n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQR1K1 w - -,c2c3
1k3K2/1r6/8/6p1/1r6/4RPP1/1PR5/8 w - -,e3e8
3r1r1k/p5p1/1q3n1p/2p5/1nQbNP2/R4BP1/1P1B3P/1R5K w - -,d2c3
1r6/1r2kpp1/4p3/3pP2p/1pnN3P/2P3P1/1PR1KP2/3R4 b - -,e7d7
R7/5p2/4p1kp/4r1p1/6P1/5PK1/4r3/2R5 b - -,e5d5
rnbq1rk1/1pp2pbp/3p1np1/p2Pp3/2P1P3/2NB4/PP2NPPP/R1BQ1RK1 b - -,b8a6
r1bqkb1r/p2n1ppp/1pp2n2/3p4/3P4/1PN1PN2/P1Q2PPP/R1B1KB1R b KQkq d3,c8b7
r1bq1rk1/pp1nppBp/3p2p1/3n4/4P3/2P3PP/PP1QNPB1/R4RK1 b - -,g8g7
8/4pp2/3p3b/2pP3P/1pP3B1/1k1K4/8/8 b - -,b3a2
5rk1/2rp2pp/pp1nN3/5p2/2P2P2/1P4P1/P4q1P/3RR1K1 w - -,g1f2
1r4k1/1pqb1pnp/p2p2p1/P2Pr3/2p1P1P1/2N4P/1P1Q1P2/R3RBK1 w - -,f2f4
5k2/p4p2/1p4pp/3p1b2/5P2/PPRr2P1/3N3P/4K3 w - -,c3d3
1r5k/3q3p/1pp2pp1/p2p1n2/2nP1N2/2P2N1P/PP2RPP1/3Q2K1 b - -,b8e8
r2q1rk1/1ppbbppp/p2p1n2/3Pp3/4P1P1/P1N1BN1P/1PP2P2/R2QK2R b KQ g3,c7c5
8/1R1b4/3kp3/p6p/P2b4/3P4/3K4/7B b - -,d7a4
r3r1k1/1p1b2pp/p7/5p2/3Np3/1PPn3P/P2N1PP1/R2R2K1 b - -,a8c8
6k1/pQ1r1pb1/4b2p/q3P1p1/2B2p2/5N1P/5PP1/4R1K1 w - -,b7b8
1n2r1nk/rq3pb1/1pp1p1pp/p2pP3/2PP1B2/2R1NN2/PP2QPPP/2R3K1 w - -,h2h4
r3qr1k/1pp1n1pp/p1pbNp2/8/2Q1P3/4B3/PPP2PPP/R4RK1 b - -,f8f7
rn1q1rk1/p1p1b1np/b3pp2/3pN1p1/1P1P4/5QP1/1PPBPPBP/RN3RK1 w - -,e5d3
rnbq1rk1/ppp1ppbp/3p1np1/6B1/3PP3/2N2N2/PPP2PPP/R2QKB1R w KQ -,d1d2
4r1k1/1p5p/1np3b1/r3PpP1/8/1nBN2P1/4PRBP/4R1K1 b - -,a5b5
r3rbk1/1pp1qpp1/p4n1p/n3pb2/4P3/1BP1BN1P/PPQ2PP1/R3R1K1 w - -,e4f5
r1b1kn1r/1pq1bpp1/2pp1n1p/p3p3/3PP3/P1PB1N1P/1PQN1PP1/R1B1R1K1 b kq -,g7g5
8/4k3/2bn4/p1N1p1p1/1p2Pp2/1P1B1P2/P2K4/8 w - -,d2e2
r4rk1/3bq1pp/p3pn2/1pp1p3/4P3/3B4/PPP1QPPP/R2N1RK1 w - b6,b2b3
r3r3/pp1b2kp/nq3np1/2pp1p2/2PN4/2N3P1/PP2PPBP/2QR1RK1 w - -,d4b5
r5k1/5pbp/1q1pp1p1/p7/R3PN2/1PrQ1P2/2P3PP/3R1K2 w - -,d3d6
r5k1/2n1q2p/B2p1pp1/p1pP4/P3P1Q1/2N5/1P2R1PP/6K1 b - -,c7a6
r2q1rk1/3bbppp/p1nppn2/1p6/4P3/PNN1BP2/1PPQB1PP/R4RK1 b - -,d8c7
r3r3/1p4k1/p1p2qp1/3p1p2/PPnP4/3QPN2/4R1PP/R5K1 w - -,h2h4
rnbqkb1r/p2p1pp1/1pp1p2p/4P3/3PN3/5Q2/PPP2PPP/R3KBNR b KQkq -,d7d5
8/2r2pkp/3qp1n1/3p4/1R1P1p2/2PQ1P1P/3B2PK/8 w - -,b4b5
r3qrk1/pp1bp2p/n2p2pb/2pP4/2PB2p1/2N3P1/PPQ1PPBN/R2R2K1 b - -,c5d4
5rk1/8/p6p/B1b1p1p1/1p4P1/5P1P/PPP5/2K2R2 w - -,c1d1
r1bq1rk1/p2nbppp/4pn2/1p6/2pPNB2/2P2N1P/PP3PP1/RB1QK2R b KQ -,c8b7
8/6pk/6p1/4KpP1/1R6/4P2P/7r/8 b - -,h2h3
4R3/7p/2B3p1/4k1n1/8/4P1P1/r7/5K2 b - -,e5f6
1r5k/4pq1p/4Np2/4bP2/P7/2p2Q1P/6P1/3R3K w - -,a4a5
r4rk1/3qppbp/p1np1np1/1p6/2P5/1PN1N1P1/P2QPPKP/1RB2R2 w - b6,c1b2
r3r1k1/p3ppbp/bqp2np1/3p4/8/Q1P3PP/PP1NPPB1/R1B2RK1 w - -,f1e1
r4rk1/p3ppbp/2pqn1pB/3nNb2/N2P4/1BP5/P2Q1PPP/R3R1K1 b - -,d5f6
r1bqk2r/1p2npbp/p1n1p1p1/3P4/B2P4/5N2/PP3PPP/RNBQR1K1 b kq -,e7d5
2r1rn1k/p2q1ppp/1pp1bp2/8/1P1P4/2PBR1N1/P1Q2PPP/R5K1 w - -,a2a4
5k1r/1p3p2/4p3/p3PnP1/P2PQPb1/2p5/5KR1/R1Bq4 b - -,f8g7
r3k3/7p/p1N1p3/4P3/PP1Bn3/1bp1K3/7P/5R2 w - -,f1g1
r3kb1r/1bqn1p2/p2pp2p/1p2n3/3NPBP1/7P/PPP1NQB1/1K1R3R b kq -,h8h7
rnbqkb1r/pp3ppp/2p1pn2/8/Q1p5/5NP1/PP1PPPBP/RNB1K2R w KQkq -,a4c4
8/pQ3ppk/4r3/2p4q/4n3/1P5P/P1P5/5BRK w - -,b7c7
8/4kp2/p2p1P2/2q1p3/2B1n1p1/PPp5/2P4r/1KQR4 b - -,e4f6
R7/8/8/7p/4n1k1/4r3/6K1/8 w - -,a8e8
r5r1/ppp2Qpk/3b3p/5P2/8/5P2/PP5P/1qB3RK b - -,b1c2
2rq1rk1/pp2ppbp/2np4/5P1P/4P3/2NPB3/1P3Q2/3RK2R w K -,d3d4
1n3b2/6kp/6p1/1P6/4BP2/6P1/6KP/8 b - -,b8d7
4r1k1/4q2p/p4pr1/2N1nQ2/1P2R3/7P/P5P1/3R2K1 b - -,g6g5
r3k2r/2q2p2/bnpbpp2/pp6/3P1P1N/2P3Pp/PPQBB2P/2KRR3 b kq f3,e8c8
r1b1k2r/pp1p1ppp/1q2pn2/8/1b1n1B2/2N2N2/PPP2PPP/R1QBK2R b KQkq -,d7d6
3r4/4kpp1/p3p3/1pn1P1P1/2p5/2P2BKP/PP1r2P1/1R2R3 w - -,e1e2
r3k2r/1pq1bppp/p2pbn2/2p1p3/P3P3/1PN2Q1P/2PP1PP1/R1B1RBK1 w kq -,f1c4
1r2k2r/1bqnbpp1/p1ppp3/7p/2P1PP2/2N1B2P/PP1R1QP1/1B3RK1 b k -,e8g8
r3qrk1/1ppbbppp/p1np2n1/4p3/B2PP3/2P2N2/PP3PPP/R1BQRNK1 w - -,a4b3
r6r/4kpp1/1b1p1n2/2pPp1Bp/Pq2P2P/2N3P1/1P2QP2/R4RK1 b - -,c5c4
3b2k1/5pp1/p6p/8/1Pp2P2/P7/2N1rRqP/7K w - -,h1g2
r3b1k1/7p/2p3p1/p4r2/3P4/P7/1B4RP/R6K b - -,c6c5
rnbqkb1r/pp3ppp/5n2/3pp3/2P5/6P1/PPN1PPBP/RNBQK2R b KQkq -,d5d4
1q5k/5np1/p1Q4p/Pp2pp2/8/P3P1PP/5PK1/B7 b - -,b8d8
r2q1rk1/1bp1bppp/p3pn2/np6/2pPPB2/P1N2NP1/1P2QPBP/3R1RK1 w - -,h2h4
6k1/4pp1p/6pb/4P3/2PBb3/8/1Pr2KPP/5BR1 w - -,f2g3
r1br2k1/ppq1bppp/3p1n2/4p1B1/2B1P3/3Q1N2/PPP2PPP/R4RK1 w - -,d3b3
2r2r1k/1pp2qb1/n2p3p/p2Pp3/2P5/P2QB1NP/1P3P2/2KR3R w - -,h1g1
3rnrk1/pp2qppp/8/3p4/3B4/1P4P1/P2RPPbP/Q4RK1 w - -,g1g2
6k1/3b2bp/pp2p1p1/2n2p2/2P1P3/P1N2P2/2K2NPP/5B2 w - f6,f2d3
rnbqkb1r/ppp1pppp/5n2/3p4/2P5/4PN2/PP1P1PPP/RNBQKB1R b KQkq c3,c7c6:c8g4:e7e6
8/pp5p/3pk1p1/7P/4p1P1/4K3/PPP1N2r/6R1 b - -,e6e5
2q2k2/7p/p2p1B2/8/1b1R1P2/6PP/4b1B1/3R3K b - -,e2d1
r4rk1/1b3p2/2n3pp/pp1q4/2pPN3/P1Q4B/1P3PPP/3RR1K1 b - -,g8g7
rn2k1nr/1pq2ppp/p3p3/3pP3/bP6/1PBP1N2/3Q1PPP/R3KB1R b KQkq -,a4b5
r1bqkb1r/pppn1ppp/3p1n2/3Pp3/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq -,g2g3:e2e4
1Q6/4ppbk/3p1np1/1p3q1p/3P3P/2P2bB1/1P3PP1/4N1K1 w - -,g2f3
k3r3/1b1r2pp/p6q/1p6/3Pp3/4N3/PP1Q2PP/2RR2K1 w - -,c1c5
8/p1k5/8/2P4p/2K2pbP/P2B4/8/8 w - -,c4d4
3r1r1k/2N3b1/1p1p3p/p1p1pqp1/2P4n/PP1PP2P/1B3PQ1/2RR2K1 w - -,g2g3
r3r1k1/p4q1p/Npp2Bp1/5p2/P1PQp3/7P/5PP1/R2b2K1 w - -,a1d1
6k1/1qb2p1p/4p2p/2P1P3/1pQ5/1N5P/5PP1/6K1 w - -,f2f4
r1b2r1k/pp1n2pq/4p2n/3pp2P/2pP1Q1N/P1P5/3BBP2/2K1R1R1 w - -,f4g5
2kr3r/pp4p1/2p1p3/3pqp2/4n3/1N1B2P1/PP2Q1PP/1KR4R w - -,b3c5
2rqr1k1/1p3pp1/2ppbnnp/p7/P2PP3/RP2RNPP/2QN1P1K/5B2 b - -,d8b6
8/1p2B2p/2k5/3pb3/P5p1/4K1P1/7P/8 b - -,c6d7
rnb1k2r/pp2pp1p/6p1/2P3B1/n7/2P2N2/P3PPPP/3RKB1R w Kkq -,g2g3
r5k1/pp2br1p/4p1p1/1Q1pP3/3P2P1/2q1B3/P2NK1R1/1B6 w - -,b5b7
8/pp2r3/3R2pk/2P2p1p/1P5P/P5P1/5K2/8 w - -,c5c6
2kr1b1r/pp1n1ppp/2p1p3/8/1P2B3/6PP/P1PP1P2/1RB2RK1 b - -,d7f6
8/p4b2/3k4/7r/1ppP4/4K1RP/PP3N2/8 b - -,a7a5
r5k1/pb3p1p/1q1p1p2/1P6/5P2/3BQ3/P5PP/5RK1 w - -,e3b6
3r2k1/1p3pp1/2p3p1/8/2PPQ3/1q6/6PP/1R4K1 b - -,b3c4
r3k3/pp3pb1/2pqp1p1/3n1r2/3P4/1B2BQ1P/PPP2P2/2KRR3 w q -,f3g4
2q2rk1/pp3ppp/4p3/1NbbP3/P7/1P6/4BPPP/3Q1RK1 w - -,e2f3
rnn2rk1/pp3ppp/4p3/1PPbP3/3R4/5N2/4N1PP/R1B3K1 b - -,c8e7
rn1qk2r/pb2bppp/1p1ppn2/2p5/4P3/3P1NP1/PPPN1PBP/R1BQR1K1 b kq -,e8g8
6k1/p2n1p1p/1pp1b1p1/2b1p3/2P1P3/1PN1B1PP/P3KPB1/8 w - -,e2d3
rnbq1rk1/1p2bppp/2p1pn2/p2p2B1/P1PP4/2NBPN2/1P3PPP/R2Q1RK1 b - -,b8a6
r1b2rk1/pp3pbp/3pp1p1/q7/4P1Q1/1BP1N3/PP3PPP/R4RK1 w - -,a1d1
r1b1rbk1/2pn1pp1/p7/1p2p1B1/4P3/1P3NNP/1PP2P2/3RK2R w K -,f3h4
5nkb/1Q5p/4p1pP/2p1P1P1/P1P2P2/1P2K1q1/3B1N2/8 w - -,e3e2
2r2k1Q/8/4b1p1/3pPq2/P7/1pr3B1/1PP2P2/1K5R b - -,e6g8
1r1r2k1/5pp1/7p/pp2PB2/1n1P4/6P1/1P3B1P/2R3K1 w - -,c1c5
8/2b1kp1R/p1p1b1p1/PpP3P1/1P1rPp2/2K2PP1/4B3/8 w - -,c3d4
3br3/p1nq1k1p/Pp3ppP/3p4/3P1B2/3Q2P1/1P3P1N/2R3K1 b - -,c7e6
5rk1/pp3pbp/3pp1p1/q7/2r1P2P/2N4R/PPPQ4/2KR2B1 w - -,d2d6
r5k1/ppP1brpp/4Q3/4P3/3Pp3/2N1q3/1P2N1PP/R3K3 b Q -,e7g5
r7/5p1k/1n2p3/1p3q1p/3PpP2/1PP1P3/3B1K1R/7Q b - -,h7h6
N4r1k/1p3pbp/3Q1Np1/pP3b2/2P2P2/3R4/q6P/2K4R b - -,f5d3
2r3k1/1P2b3/p3b3/2p2p2/B1P2Pp1/P2PB3/6P1/5RK1 b - -,c8b8
3qr1k1/pp3n1p/2p3p1/3p1p1P/3Pnb2/2P3P1/PPB2PQ1/3RR1K1 w - -,g3f4
5k2/bp2r3/p3p1Q1/2pnP1P1/3p3R/5P2/PP1q1P1K/R7 b - -,d2f2
1qr2rk1/nb2bppp/1p1ppn2/p1p5/2P5/PPBPPN2/3NBPPP/Q1R2RK1 b - -,e7d8
r4rk1/2qnppbp/p2p2p1/1ppP4/P1P1P3/R4N2/2PB1PPP/3Q1RK1 w - b6,a4b5
2rrb1k1/1pq1bpp1/p2ppnnp/8/2P1P3/1PN1Q1PP/PBNRBP2/3R2K1 b - -,e8c6
2r2rk1/pb2qpp1/1pn1p2p/4N3/1P1Pp3/P1N1P3/4QPPP/2R2RK1 w - -,e5c6
r1bq1rk1/1ppn1pbp/p2p1np1/P3p3/1PP5/1Q1PPN2/1B3PPP/RN2KB1R b KQ -,f8e8
2b2rk1/1p4b1/r2p2q1/2pP3p/P1Pp1P2/RQ2B1N1/4B1P1/5RK1 b - -,d4e3
r4rk1/b1p2pp1/p1Qp1q1p/8/3PP3/3nRNPb/PP1N1P1P/R1B3K1 b - -,d3f2
3n4/4k2p/4P3/ppPB1P2/1K6/P6P/6P1/8 w - a6,b4b5
8/1r2k1p1/p4p2/3R1P2/P7/1P1R1P2/1r6/5K2 w - -,d5a5
8/4bk2/3p4/2pP3p/2Pr4/3B2KP/5R2/8 b - -,f7g7
2r4r/1p1bkppp/p1nbpn2/8/8/2N1PN2/PP2BPPP/2RRB1K1 b - -,c6e5
8/6k1/2p1p1p1/1pP1Ppbp/1P1Pp3/4P3/r1qB1QPP/4R1K1 w - -,e1e2
8/bR3pkp/3Bp3/4P1p1/8/5P2/r1r3PP/3R3K b - -,c2d2
2kr1r2/pp3p1p/2nb2p1/3p1PPP/3P4/3BB3/PP6/1K1R2R1 b - -,d8e8
3r3k/1p4qp/3p3r/p3ppn1/2P5/1P1Q3P/P4PP1/R2R1BK1 w - -,g2g3
3r4/1p4kp/3R4/1Np1nP2/2P1P2P/1P2K1p1/1R4P1/4r3 w - -,b2e2
2q1r1k1/p5bp/1p2pp2/1Q1r1p2/3P1B2/2P2P1P/P5P1/2R1R1K1 w - -,b5b3
8/p5kp/2B3p1/1p6/1Pp4b/P3Q2P/1q2K1P1/8 w - -,e2d1
8/4kp2/p6b/Pp1p4/3p1P2/1P1N4/2P5/3K4 w - -,d3b4
r1r3k1/1p3pbp/3pb1p1/qP6/4P3/PpP1B2P/4QPP1/RN1R2K1 w - -,e3d4
r4rk1/pp1qnpbp/2np2pB/2pNp3/2P5/2NP2Pb/PP2PPBP/R2Q1RK1 b - -,h3g2
3r1k2/bp3Pp1/p1p2n1p/8/PP5P/1Bpr2P1/R3RPK1/4B3 w - -,b4b5
r2q2k1/5pp1/4p2p/p2nN3/1pRP3P/1P3BP1/PB3PK1/2R5 w - -,c4c5
r2qr1k1/1ppb1ppn/pb1p2n1/3P3p/3NNPP1/P6P/1P1Q1BB1/2R2RK1 w - -,g4g5
r2q1rk1/3bppbp/3p1nP1/3B4/pp1BP3/2N2P2/PPPQ2P1/R3K2R b KQ -,h7g6
5rk1/ppp1r1p1/7P/4p3/4P1R1/2P5/PP3b2/2KR1N2 b - -,f8f4
