8/8/3k4/p4p2/2PN2pn/P2K4/5P1P/8 w - -,d3c3
rr4k1/pq2bp2/2n1pnp1/Qp1p4/5B2/1NP1PP2/PPB2P2/2KR2R1 w - -,a5c7
r1bR2k1/pp2bppp/2n5/1N2p3/8/P3P1B1/1P3PPP/4KB1R b K -,e7d8
rn2kb1r/1p3ppp/p3pn2/1q1p2B1/3P4/1QP2N2/PP1N1PPP/1R2K2R w Kkq -,f3e5
7r/R4pk1/2B3p1/1Pb3P1/6KP/8/8/8 w - -,a7d7
8/3k4/1p2p3/8/pP1PK2p/P6R/5rP1/8 w - -,h3h4
1r1r2k1/p4ppp/2p4q/B1Qnp3/P1B5/1P2PP2/4KP2/2R5 b - -,e5e4
r1r3k1/1p3pp1/7p/1P1p1n2/Rq1P4/4PN2/5PPP/5RK1 w - -,a4b4
4r1k1/pp3p1p/5bp1/2pr4/5B2/3PPQPq/PP3P1P/1R3RK1 b - -,d5h5
1nb1rq1k/p4nbp/2p2p2/1pP3p1/1N1NPP2/P5PP/2QR1BBK/8 b - -,f7d8
8/5p1p/6p1/pB4P1/P2k1K1P/1b6/8/8 b - -,d4c5
r4rk1/p3ppb1/1npq3p/2Np1bp1/3P4/6P1/PP2PPBP/R1BQ1RK1 b - -,e7e5
3q1rk1/pb2npp1/1p2p2p/3pN3/3Pn3/P3P3/1P1N1PPP/1BQ2RK1 b - -,f7f6
r2q1rk1/p2b1pp1/2pb1n1p/3p4/8/1P1BP3/PBQN1PPP/R3R1K1 b - -,f8e8
2br2k1/2q4p/2Bp4/1QpP1p2/1bn4P/5N2/R4PP1/6K1 w - -,b5c4
1k1r3r/1p1bq3/pnn1p1p1/4P2p/PP1p3P/3PQNP1/2N3B1/R4RK1 w - -,c2d4
2r1r1k1/1pqnbppp/p2p4/2nPp3/1Q2P3/N3BP2/PP2B1PP/2RR2K1 w - -,b4d2
6b1/2R4p/3B1p1b/prN2P1k/3PK1p1/P7/6PP/8 b - -,b5b2
8/8/1N2B3/p3K3/Pk2p3/2nbP3/8/8 b - -,c3a4
1r4k1/4ppbp/r2p1np1/2pP2B1/q3P3/2N2P2/PP1Q2PP/1R3RK1 b - -,a4d4
1r1qr1k1/4bpp1/2bp2np/1pp1P3/6Q1/1PN5/1BP2PPP/3RRBK1 b - -,g6e5
rnbqr1k1/ppp2pbp/5np1/4p3/4P3/2P2N2/PPQNBPPP/R1B2RK1 b - -,b8d7
2k5/ppb2p2/5Pp1/2P1p1P1/2NpPnbq/3P2N1/P1PQ1KB1/8 b - -,f4h5
r5k1/4qppp/b2p4/3Pr3/pBp4b/P1P2Q2/1P2BRPP/5R1K b - -,h4f2
8/3bkppp/2R5/2n5/2N1PP2/r5P1/6BP/7K w - -,c4a3
r1bqk2r/pp2npbp/3pp1p1/2p5/3nP3/3PB1P1/PPPQNPBP/R3K1NR w KQkq -,c2c3
7k/2p5/1p1p1P2/p2Pp1rb/2P4R/6P1/PP6/5K2 b - -,h8g8
r2qnrk1/p3b1pp/2p1Q3/2p2p2/3P4/2PB2B1/PP4PP/R4RK1 b - -,g8h8
4rrk1/1p6/p4bp1/P2R1p1p/4pPP1/2P1B2P/1P2K3/3R4 b - -,f5g4
8/p5qk/Pp1R2p1/2n4p/8/4Q2P/6PK/8 w - -,e3f4
3rk2r/pp3pp1/q3p2p/2npP3/2P5/1PQ5/P2N1PPP/R4RK1 w k -,c4d5
r2qr1k1/1pbn1ppp/p1p1pn2/2Pp4/1P1P1P2/P1NBP2P/4Q1P1/R1BR2K1 w - -,c1d2
8/8/6p1/4Kb2/6k1/1R6/8/8 b - -,f5d7
8/4b3/3k2p1/1p2p3/4P1P1/1P3N2/2K5/8 w - -,c2c3
8/1N2kp2/6pp/1b1Pp3/7P/2R1KPP1/1r6/8 w - -,c3c7
8/p2b1B2/2pk1p2/4p1p1/1P2P1P1/P2K1P2/8/8 w - -,a3a4
r3qrk1/6pp/bp3b2/2npN3/p7/8/PPB1QPPP/R1B1R1K1 w - -,e2d1
8/4k1N1/6pn/1BpP1p1p/2P4P/4K3/n7/8 w - -,b5e8
r3r1k1/2p2ppp/1p1p2q1/p2P1b2/P4P2/2P5/1PB2QPP/3RR1K1 w - -,c2f5
1R6/ppr2k2/7p/2p3p1/6PP/1P4K1/P4P2/8 w - -,f2f3
3r1k2/p4ppp/3np3/2p5/2P2P2/2PP2P1/P5BP/1R4K1 b - f3,f8e7
1r1r4/6p1/2bppk2/p1p3RP/2P1pP2/P1R1P3/1PB5/2K5 b - -,d8h8
r2qk2r/pp1nbpp1/2p1p1p1/3p4/2PPn3/2N1P1P1/PP2BP1P/R1BQ1RK1 w kq -,c4d5
1nr2rk1/5p2/5RpQ/p3q2p/P2pPR1P/1p4P1/1P1b3N/6K1 w - -,h2f3
5rk1/3qppb1/p2p1np1/1p1P2Np/2r4P/2B2PP1/PPPQ4/1K1R2R1 b - -,f8c8
8/4Pk1p/p7/1p3p2/5P1B/3K4/P7/8 b - -,h7h5
r5k1/1p2rp1p/1qpp1p2/p1n5/P3P3/2N2Q1P/RPP2PP1/4R1K1 b - -,e7e6
rnbq1rk1/pp1p1ppp/4pn2/2b5/2P2B2/2N5/PPQ1PPPP/R3KBNR w KQ -,g1f3
6k1/8/p5p1/3p4/PP1br3/5K2/1P1B4/2R5 b - -,g8f7
r5k1/5pp1/4p2p/3nP3/2N1R3/3n2P1/2rB1P1P/3R2K1 b - -,d3f2
8/6kp/6p1/p4r2/8/4K1P1/1R2B3/8 w - -,b2b7
r2q1rk1/pppbnppp/3p1n2/1B6/4P3/2N5/PPP2PPP/R1BQR1K1 b - -,h7h6
8/5pkp/BrP3p1/8/3p4/3K4/6PP/8 w - -,c6c7
r4rk1/1p2ppbp/1pnpbnp1/2p5/3P1B2/2P1PN1P/PP1NBPP1/R3K2R w KQ -,a2a3
2kr2r1/pp3p1p/2p1b3/q2nppbQ/2B5/1PP2PP1/P2PN2P/R1B1K2R b KQ -,d5f6
2rq2k1/pp2p1bp/6p1/8/2nPP1P1/2Q1B3/P3N1PP/R5K1 b - -,e7e5
3qr2k/Q5b1/1p1p2p1/1PpPpp2/2Pn3p/3P1PP1/3B2BP/5RK1 b - -,h8h7
4rrk1/pppq2bp/3p2n1/1P2ppn1/2P5/P1NPP1P1/2Q1N1KP/2B1RR2 w - -,e2g1
r3kb1r/pp2pppp/1qn2n2/2pp4/3P1Bb1/1PPBP3/P4PPP/RN1QK1NR w KQkq -,g1e2
r2qkb1r/ppp3pp/2n1pn2/3pNb2/3P1B2/8/PPP1BPPP/RN1QK2R b KQkq -,c6e5
r1bqk2r/1p2bppp/p1nppn2/8/2P1P3/4QN1P/PP2BPP1/RNB1K2R w KQkq -,e1g1
rnbq1rk1/4ppbp/p2p1np1/1PpP4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQ -,b5a6:a2a4
8/R4k2/3rn1p1/3NnpPp/5N1P/8/4K3/8 b - -,d6d7
r1bq3r/pp1kb1pp/2nppn2/8/7Q/2P2N2/PPB2PPP/RNB1K2R b KQ -,h7h6
rnb1k2r/ppb3pp/4p3/P2n1p2/2N5/2P5/1PBN1PPP/R1B1K2R w KQ f6,d2f3
2r3k1/p5p1/1n2Q2p/2p5/2P5/P1P5/6PP/6K1 b - -,g8h8
r3qrk1/p1Bnppbp/bp3np1/1N1p4/3P4/3BPN2/PP3PPP/2RQ1RK1 w - -,d1a4
r1bqr1k1/p3bpp1/2p2n1p/1p6/1PpP3B/P1N1PN2/2Q2PPP/R4RK1 w - b6,e3e4
rnbqk1nr/pp1pppbp/6p1/2p5/2PPP3/5N2/PP3PPP/RNBQKB1R b KQkq c3,c5d4:d8b6
1r4k1/4b2p/2n1Np2/1q4p1/2p4P/2B5/1P2QPP1/3R2K1 b - h3,g5h4
6k1/2p3p1/3b3p/3n1P2/Pp6/3Nr3/1P3K2/2R1N3 b - a3,b4a3
4r1k1/pp3p2/2p1q2p/4P1r1/3P1Q2/2P1R2P/b1BR2P1/7K w - -,d2f2
6k1/4pp2/8/3QPPpp/6q1/1P2P1Pn/P1rB2KP/4R3 w - h6,f5f6
5r1k/1b5p/p1p2p2/4r3/4P3/qBN2Q2/P1P3PP/3R2K1 w - -,d1d7
r3nrk1/pp1q1pb1/2pp3p/5bp1/2P1NP2/1P1P2P1/PB1Q2BP/3R1RK1 b - f3,g5g4
r1r3k1/2q1bppp/1n2p3/p1p1P3/PpP1Q3/1N1RB1P1/4PPKP/R7 b - -,c7c6
8/pp1k2R1/3p1r1p/2pn2p1/8/2P4P/P2BK3/8 b - -,d7c6
5q2/6k1/3pQ3/p1p1n1pP/2B1P1P1/1P5K/P7/8 w - -,e6f5
8/1p3p2/4p1p1/R3Pk2/1r6/4K2P/6P1/8 b - -,b4e4
8/4kppp/4p3/pp2p3/4P3/P1P1bPP1/1P3N1P/5K2 w - -,f2d1
3r4/pp4k1/2n4p/3q2pQ/3Pp3/P5B1/1P3PPP/R5K1 w - -,h2h4
r4rk1/pppnqppp/4p3/3pbb2/3PnP2/1P1BP3/PBPN2PP/R2Q1RK1 w - -,d4e5
r3r1k1/p4ppp/1p6/5n2/2pP1PN1/4p3/PP2KBP1/R7 w - -,f2e3
8/5p2/p1B5/6p1/1Pb1Pk1p/3p1P1P/5KP1/8 w - -,c6a4
r4rk1/pp5p/3n1pp1/2qPp3/8/3B3Q/PPP3PP/R4R1K w - -,h3e6
1r3k2/1p2ppbp/p1rpn1p1/3N4/2P1P3/1P2BP2/P3K1PP/2R1R3 b - -,g7d4
2r5/1p1b2pp/p3pk2/3p1p2/PPnP2P1/3BPP1P/R3K3/4B3 b - -,g7g5
8/4k3/8/5R2/6P1/1B1r2P1/3p1PK1/2r5 w - -,b3a4
1r4k1/7n/4p3/2p1P2p/2P2p1P/5Pp1/1p4PB/1R3K2 w - -,h2g1
2q2rk1/1Qp2ppp/r1Pp1b2/3p4/3P4/5N2/PP3PPP/3RR1K1 b - -,a6a2
5rk1/1ppn1rp1/p2p3p/4p1p1/3PP3/1PP1RP1P/1P2N1P1/3R2K1 b - -,f7e7
r2r2k1/2q1bppp/p2p1n2/np6/3NP1b1/P7/1PBN1PPP/R1BQR1K1 w - -,d2f3
r4rk1/1p1qbppp/2p1n3/p2p4/6n1/PP1PBNPb/2Q1PP1P/R2NR1KB b - -,g4e3
2rqr2k/6b1/p2p3p/2p1n3/1pP1BN2/1P4PP/P1Q3K1/2BR4 b - -,c8c7
6k1/1p2pp1p/3p2p1/3Pn3/2P5/1P2P1PP/2R5/r4BK1 b - -,a1b1
r1bqkb1r/pp3ppp/2p1pn2/8/2PPQ3/5N2/PP3PPP/R1B1KB1R w KQkq -,e4c2
r1bq1rk1/pp4bp/2np2p1/2p1pn2/2P5/1P1PPN2/PBQ1B1PP/R3RNK1 b - -,d8f6
2r1q1rk/1p1b3p/1n1p1bp1/2nPp3/4PpPP/1PN2P2/1K1NBB2/R3Q1R1 w - -,a1a7
2r1r3/pp2ppkp/1n2q1p1/4P3/4Q3/2N5/PP3PPP/3RR1K1 b - -,e6c6
8/8/2PR1p2/3p3k/p2Pp2n/P1B1n3/5r2/1K6 b - -,f2f1
7k/1p6/p4p2/2r5/3p3p/P2P1P1N/1P3P2/1K6 w - -,b2b4
QR6/5kpp/3p2r1/3P4/2p5/P1P1n1Kb/6P1/5r2 w - -,g3h4
rn1q1rk1/ppp2ppp/3bpn2/3p4/5P2/1P4P1/PBPPQP1P/RN2KB1R w KQ -,f1g2
2b2rk1/p2p1pbp/2n1pnp1/1r2P3/8/P1B2N2/5PPP/3QR1K1 w - -,e5f6
1r1qk2r/1bp1bpp1/p3p2p/1p2P2P/2pP4/1nP1B1P1/4QPB1/3RNRK1 w k -,e2g4
r7/2P5/4K3/8/8/6k1/2R4p/8 w - -,c2h2
r4rn1/pbpnqpbk/1p1pp1pp/7P/3PP3/1BP2NN1/PP3PP1/R1BQR1K1 w - -,f3h2
r2q1rk1/p2nbppp/1pb1p3/2p5/P1P5/3PPNP1/1B2QPBP/R4RK1 b - a3,e7f6
2kr1b1r/ppp2ppp/2n5/4Pb2/2B1p3/2B5/PPP2PPP/RN3RK1 w - -,c4f7
8/3R2p1/p4pkp/r2p1n2/3B4/b3P1P1/P4P1P/5BK1 w - -,f1d3
1k1r3r/pp1qnp2/3bp3/8/1P1P1Ppp/PQ2B3/4N1PP/2R2RK1 w - -,e2c3
1rb1nrk1/2qn1ppp/4p3/p3P3/P1pNPP2/Q1P1B1P1/6BP/1R1R2K1 b - -,b8b1
r4rk1/p2n1p1p/1p1Ppn2/1Bp3B1/8/2P2bP1/PP3P1P/R4RK1 w - -,f1e1
8/1k3p2/1p1pn1p1/3NpP1p/1NPbP3/1n1PB1PP/4K3/8 b - -,g6f5
1r1b1k2/pp3ppp/4b3/4p3/3n4/3BN3/PPP2PPP/R2R2K1 b - -,b7b5
8/k3K3/5P2/7q/1P2Q3/8/8/8 b - -,h5g5
2r3k1/pnr2pp1/1ppqp2p/4N3/1P1PP3/2Q3P1/P2R1PKP/2R5 b - -,d6e7
rn1qkb1r/p3pppp/2p1b3/1p2P1N1/P1pP4/2P5/5PPP/R1BQKB1R b KQkq -,e6d5
r1b1rbk1/4npp1/p2p1q1p/1pp1p3/4P3/1BPPNN1P/PP3PP1/R2QR1K1 b - -,c8e6
5rk1/5ppp/3q1B2/2p5/2P2P2/6P1/7P/1Q2R1K1 b - -,d6f6
rn1q1rk1/p3ppbp/1p4p1/8/3PP3/5N2/PB2QPPP/1R3RK1 b - -,e7e6
r5k1/p2Qp1bp/1p4p1/n1pr4/3P1P2/2P1B1N1/P5PP/2R2RK1 b - -,d5d7
r1b2rk1/1pqn1pbp/p2p2p1/2p1p2n/3PP3/2PB1N1P/PP1N1PPB/2RQ1RK1 w - -,a2a4
1r1q1rk1/3nbppp/p2p2b1/2p5/Pn1PPB2/1B3NNP/5PP1/R2QR1K1 b - -,d8b6
8/pp1Q1pk1/5q1p/2bP2pP/1nBp4/1P6/5PP1/3R2K1 w - -,d7g4
r2qk2r/1p3ppp/p1p1pn2/4b2b/2PP4/P6P/1P2BPP1/R1BQ1RK1 w kq -,d4e5
r5k1/pbp1qpp1/1p6/3pr2p/8/2NBPQP1/PP1K3P/5R1R w - -,c3d1
r1bqk2r/pp3ppp/2nbp3/2pn4/Q7/2N2NP1/PP1PPPBP/R1B1K2R w KQkq -,e1g1
r5k1/pp3r2/nnp1p3/4q1pP/2pBP1Q1/P1N5/1P3P2/R2R2K1 b - -,f7f4
2r4k/5p1p/4b3/3p3P/3P1b2/5R2/R1P3P1/6K1 b - -,f4g5
4rrk1/8/3p2p1/1p1Pb1P1/p1n1B3/PN5Q/2P5/6K1 w - -,e4g6
7r/2p1qpk1/3p2p1/pNpPb3/P1P1P3/1P4pn/3Q2K1/4RR2 w - -,f1h1
rnbqkbnr/ppp1pp1p/3p2p1/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq -,g2g3:d2d4:g1e2:f2f4:d2d3
rr5k/5pp1/4p2p/7P/R2P4/8/1P1K1PP1/R7 b - -,b8b2
8/p1r2p2/1p4p1/3bk2p/1P3R1P/P1P5/1K2BPP1/8 w - -,g2g3
6k1/5p1p/2p1b1p1/pp6/3nPP2/1PN3PP/P4K2/5B2 b - -,d4b3
r2qkb2/pp1n1p2/2p1p1p1/3pPn1r/3P1P2/3B1QNP/PPP2B2/1K1R3R b q -,f5g3
r1b2rk1/1pp1qppp/2npp3/p7/2PP4/2R2NP1/PP2PPBP/3Q1RK1 w - -,d4d5
8/1b6/p3Bkpp/1p2n3/4p2P/P3K3/1P3PP1/3N4 w - -,e6b3
1r3rk1/p1qnppbp/3p2p1/2p5/2PPb3/2B1PNP1/P3QP1P/2RR1BK1 w - -,f3d2
r3kr2/1p4pp/p1p1p3/2bp4/3pPP1n/1B1P2N1/PPP3PP/R4RK1 b q f3,e8d7
5rk1/pp1b1ppp/4p3/1q1pP3/1b1P4/1N2QN2/PPR2PPP/6K1 b - -,d7c6
2rqr1k1/1p1b1pbp/pn1Pp1p1/n7/8/BPNQ2P1/P3NPBP/2R2RK1 w - -,c3e4
2k1r2r/1pbqnp1p/2p1b1p1/p2p2P1/3P1P2/2NNBQ1P/PPP3K1/4RR2 b - -,e6g4
1r4k1/3r2p1/4pnQ1/1pp2p2/2P5/3P1NPP/q3PPK1/1R2R3 w - -,c4b5
2kr1n1r/pp4pp/4p3/P1qp4/3b1P1P/Bp1b1NPB/7K/R2Q1R2 b - -,c5c2
r1b1n2k/1pp1r1b1/p1n1p1B1/3pP3/3P4/2P4P/PP1N1PP1/R4RK1 w - -,d2f3
r4k1r/p4pp1/1pp4p/2NpP1B1/6b1/8/PPP2PPP/1R3RK1 w - -,g5e3
8/8/p7/3kp1K1/8/8/P7/8 w - -,g5g4
r4q1k/pp4b1/2n1B1pp/2p3B1/6Q1/5N2/PP4PP/4R1K1 b - -,h6g5
r1bqkb1r/3n1p1p/p1p1p1p1/3nP3/1p1B1P2/8/PPPQ2PP/1NKR1BNR b kq -,c6c5
2r3k1/2q2p2/3bnn1p/p3p1p1/P1NpP3/3P2PP/B4P1K/1RBQ4 w - -,c1d2
r1bqr1k1/1p1n1ppp/2p2n2/p2p4/1b1P4/2NBP1N1/PPQB1PPP/R3K2R w KQ -,e1g1
3rk2r/4bp1p/2bp1p2/p1q1pP1B/1p2P3/3Q4/PPP3PP/1K1RRN2 b k -,d6d5
r2qkb1r/pbpn1p2/1p1pp2p/3P2pn/2P5/P1N2NB1/1PQ1PPPP/R3KB1R b KQkq -,d8e7
r1b1kb1r/1pqn1p1p/p2ppnp1/8/2PNPB2/3B4/PP2QPPP/RN3RK1 w kq -,d4b3
1r2r3/5p2/p6p/Pp1P1RpP/2p1k1P1/P1K5/5R2/8 b - -,e4e3
2krr3/1p2bB1p/5np1/n7/P7/1p2PP1P/N3KP2/2BR3R w - -,a2c3
2rqkb2/pp4p1/2n1pnp1/3p1p2/3P2Pr/3B4/PPP1NP2/R1BQK1R1 w Q -,c1g5
r1bqr1k1/1p2bppp/n1p2n2/p2p4/3P4/P1N1P1PP/1P2NPB1/R1BQ1RK1 w - -,g3g4
r2qk2r/pp1bb1pp/2n1p3/3p2Bn/3N4/2P5/PP2BPPP/RN1Q1RK1 b kq -,h5f6
3r2k1/1pq1n3/4prp1/p1Pp4/5P1n/1P1B3P/P5PK/2R1QR2 w - -,e1h4
r2r2k1/1p1qp1bp/p4pp1/2Pp2n1/PP1P4/2B2PP1/1Q4BP/2R1R1K1 w - -,b2b3
r1b2rk1/pp1nppbp/1q1p2p1/2pPn3/B3P3/2P2N1P/PP1N1PP1/R1BQR1K1 b - -,b6a6
8/4k3/3r1p1p/p1pn1Rp1/3p1P1P/PP1B1KP1/2P5/8 b - -,g5g4
r3kb1r/pp1q1ppp/3p1n2/2p1p3/2PnP1b1/2NP2P1/PP2NPBP/R1BQ1RK1 w kq -,f2f3
2k4r/2p3bp/pp2bp2/2p3p1/1P2P1P1/n1N2P1P/2P1NBK1/3R4 w - -,b4c5
8/4B2p/5pp1/1p1kb3/nP6/3K3P/P1N3P1/8 b - -,a4c3
r1b2rk1/p3ppbp/n1pq1np1/4N3/Q1p5/6P1/PP2PPBP/RNB2RK1 w - -,e5c4
r2q1rk1/ppp1bppp/2n1pn2/5b2/2NP4/1P3NP1/P3PPBP/R1BQ1RK1 b - -,f6e4
r1bq1rk1/1pp1bppp/p2p1nn1/6N1/1P2P3/1BPP3P/P5PB/RN1Q1RK1 b - -,h7h6
r6r/1p1nqpk1/p2p1np1/P2Pp1b1/1P2P1P1/2NQ1P2/4BBK1/R6R b - -,h8c8
r2q1rk1/pp2bppp/1n1pbn2/1Pp5/P1P1p3/1N2P3/1B1PBPPP/RN1QK2R w KQ -,d1c2
r2q1rk1/5p1p/4bnp1/p1pp3P/1pN1PP2/6N1/PPPQB1P1/R3K2R b KQ -,d5c4
5rk1/2r2pp1/3N3p/2P2Rb1/pP1p4/PQ4P1/7P/R5K1 b - -,a4b3
7r/1pp1kp2/p3qnp1/R3p1Q1/1P2P3/2P3NP/1P3PP1/6K1 b - -,b7b5
r1b2r2/4n1kp/p1nq1pp1/1pp1p3/2PpP2N/1P1P2P1/P2Q1PBP/R3RNK1 w - -,f2f4
4nk2/p1r2pp1/4p3/4P2P/4BR2/1P6/5PPK/8 w - -,e4d3
8/4k3/2K4p/p7/1pPp2B1/1P4bP/2P5/8 b - -,e7d8
r1bqr1k1/ppbn1ppp/4pn2/2p5/2NP4/1P3NP1/PBQ1PPBP/R4RK1 w - -,d4c5
5k2/p4p2/3p2p1/2PP1b1p/5P1P/1NK1r1P1/P3p3/4R3 w - -,c3d4
3q2k1/1b4p1/4Rn1p/1p6/8/4Q1RP/1P3PP1/3r2K1 w - -,g1h2
3r2k1/pp2bppp/2r1pn2/3p4/3P4/P1N1PP1P/1P2qRP1/3RB1K1 w - -,f2e2
r2r1k2/pp1n1ppp/2bNpn2/8/4P3/2N3P1/PP3PBP/R2R2K1 w - -,b2b4
1r1q1r1k/pppbnpb1/3p2pp/4n3/4PNP1/1P5P/P1P1NPB1/1RBQ1RK1 w - -,c1e3
8/1ppb2bk/3p2q1/2PBp2p/1P2P1p1/8/2QN1rPP/R6K w - -,c2c3
8/2p2p2/2p2P2/PbKp1k2/1P6/8/1B4P1/8 b - -,f5e4
rnr3k1/pp1qppbp/6p1/3n4/2PN4/1PN4P/P4PP1/R1BQ1RK1 w - -,c3d5
1r2B1k1/1pp2pbp/pn4p1/4P3/5P2/1n1R4/1P3BPP/5R1K b - -,b3a5
1rbq1rk1/2p2pp1/p1np3p/1pbBp3/4P3/2PPBN2/PP3PPP/R2Q1RK1 b - -,c6e7
r4rk1/1b3pbp/1q2pnp1/p1pp4/Q1P5/4B1P1/PP2PPBP/1R2NRK1 b - -,b7c6
r1r3k1/3p1pp1/p3p2p/1p2P3/3Q1P2/P4R1P/1PPR2PK/5q2 b - -,f1c1
r2qkb1r/2pn2pp/p1Q5/4p3/4Pp2/2N2b2/PPP2PPP/R1B2RK1 w kq -,c6e6
r2q1r2/1bp3bk/p2p2pp/1p1n4/1P1p4/P2P2N1/B1P2PPP/1RBQR1K1 w - -,a2d5
r3r3/p2q3k/1p1p3p/2pPbNp1/Pn2P1P1/1P6/3Q1BKP/2R1R3 b - -,e8g8
r1bqr1k1/1p3ppp/2pbnn2/p2p4/3P1N2/P1N1PQ1P/1PB2PP1/1RB2RK1 w - -,f4e6
8/7R/1k2r3/1P1bpR2/p7/6P1/1P1N3K/8 w - -,h7h5
r2r2k1/1p3pbp/3p2p1/2nP4/1pP2B2/1P1p4/P4PPP/1R1BR1K1 b - -,a8a2
r2r2k1/1p1bnppp/3R4/qNn3PP/1bP1P3/2N5/p1Q2P2/B1K2BR1 w - -,h5h6
