8/5k2/2R5/rr3p2/2p1p2P/6PK/8/R7 w - -,a1a5
2r2rk1/1bpqnppp/pp6/3pP3/3PnB2/P2B1NP1/1PQ2P1P/2RR2K1 b - -,e7g6
4r2r/4n3/1k3pp1/2b4p/2pNPB1P/5P2/1PP1N1P1/R4K2 w - -,a1a4
7r/8/p4k2/4p3/1Pbb3N/P1p3P1/2B2P2/3RK3 w - -,d1b1
r1bqkb1r/pp1ppppp/2n2n2/2p1P3/8/2N2N2/PPPP1PPP/R1BQKB1R b KQkq -,f6g4
rnbq1rk1/p2p1ppp/5P2/1pp5/1bPp4/2N2P2/PP4PP/R1BQKBNR w KQ -,a2a3
b7/5k2/5r2/pp1p4/2pN4/P1P5/1P1KR1P1/8 b - -,a8c6
2R5/p2r1q1p/4n1pk/1P1nBp2/5P2/6N1/Q6P/7K w - -,a2f2
r1qr2kb/pb2pp1p/1pnp1npB/6Q1/4P3/N1PB1N1P/PP3PP1/3RR1K1 w - -,g5h4
2b3k1/1pN2p1p/p5p1/3pb3/4B3/P3P2P/1P2KPP1/8 w - -,c7d5
r1r3k1/1b2q1np/1p2n1p1/2ppPp2/3P4/1P2PN2/1BR2QPP/1BR3K1 b - -,b7a6
8/8/8/5r2/7p/6k1/4K3/6R1 b - -,g3h2
1nb3k1/r3bppp/pNq1pn2/Qp2B3/8/1N3P2/PPP3PP/3K1B1R b - -,e7d8
r3r3/p1n3kp/2pp1qp1/1p3p2/3P4/P4N1P/1PPQRPP1/4R1K1 w - -,d2c3
rn1qk2r/3bppbp/p4np1/1pP5/4P3/1QN2N2/PP3PPP/R1B1KB1R b KQkq e3,e8g8:d7c6
r4rk1/1b1nqpp1/p1nRp2p/2p1P3/1PP5/1PB2NP1/1Q3PBP/5RK1 b - -,c5b4
1rq3k1/2rnpp1p/3p2p1/P1pP4/2NbPP2/1P4PP/2QBR2K/1R6 b - -,c8b7
1r3q1k/p6p/3P1p2/QrP2Pp1/8/8/6PP/3RR1K1 w - -,a5a7
rnq2r1k/pp3ppp/2p1n3/3p4/3PP2P/3Q1P2/PP1BN1RP/6RK b - -,f8g8
2k3r1/1p3p2/p3pBr1/Pb2PnN1/q2p2QP/P1pR4/2P2PP1/4R1K1 b - h3,a4c2
1r4k1/1p4bp/3p2p1/p1pP3r/P2PP3/2N2P1q/1P1QKR2/R1B5 b - -,g7d4
8/nRrr1kpp/P4p2/4p3/1B2P2P/2P2PP1/R7/6K1 w - -,b4c5
1rb1k2r/ppp4p/2n2pp1/3n4/3PN3/2PB1N2/PP3PPP/2R2RK1 b k -,e8g8
5n1k/5r2/7p/3P1q2/2p1pR1Q/6P1/7P/7K b - -,f5d5
8/8/8/4p3/4P3/1PpB1k2/P1Pr4/4K3 w - -,a2a4
2rr2k1/1p3pbp/p1npp1p1/8/2P1PP2/1P2N3/P3N1PP/3RR2K w - -,d1d2
r1bqk2r/pp2ppbp/2p2np1/8/3P4/3B1N1P/PPP2PP1/R1BQK2R w KQkq -,e1g1
6k1/1pp2qpp/p1p2p2/2b1pP2/3rR1Q1/1P1P4/P1PB1PPP/5K2 w - -,e4d4
rnb2rk1/pp2bppp/1q3n2/3p4/4p3/2NP2P1/PPN1PPBP/R1BQ1RK1 b - -,f8d8
2r2b1k/pp1n1r2/2p2Ppp/4p3/2P1PP1P/1P1NB3/P7/2KR3R b - f3,e5f4
8/5pK1/3k2p1/p1p5/1p4PP/1P3r2/1PR2P2/8 w - -,h4h5
r1b2r2/1p1nbqpk/7p/p1PNpN2/1P6/PQ4P1/5PBP/3RR1K1 b - -,d7c5
r3rbk1/1p3ppp/pqp5/3p1b2/1P1P4/PQR1P1B1/4BPPP/2R3K1 b - -,e8c8
b1r2rk1/5ppp/pp2p3/4Nq2/6P1/5P2/3RQ2P/3R3K b - -,f5f6
4k3/3nq1p1/1p4b1/p1pPp1Pp/2P1P3/1P1B1KQ1/PB6/8 w - -,f3e3
7r/p1kr4/2p2p2/4p2P/4P2K/3nPQN1/1q3PBP/3R4 b - -,a7a5
8/1p2R1k1/p1pr4/8/P6P/3P2P1/5P2/6K1 b - -,g7g6
r1r3k1/q4ppp/bp2pn2/3pN3/1P1Q1P2/P1N1P3/5KPP/R1R5 w - -,f2f3
8/1p2kp1p/1qr1pp2/8/1P6/4P3/1QbN1PPP/2R3K1 b - -,c2d3
2r2r1k/p3Q1p1/2p4p/1pP2pPP/5P2/3q4/8/1K2R1R1 w - -,b1a1
r4rk1/1Nqpn1pp/p3p3/1p1np3/5PP1/1N1B1R1P/PPP5/2KRQ3 b - -,c7b7
8/4k3/8/pR6/P2r4/1P3K2/7P/8 b - -,e7f6
3r3k/4q1bp/1nB3p1/1P2rp2/p7/3R4/1P2Q1PP/2B2R1K w - -,d3d8
r2q1rk1/ppnnppbp/3p2p1/2pP4/P3P3/N4B2/1PP2PPP/R1BQ1RK1 b - -,a7a6
6k1/1pp2pp1/3r4/2p1r3/2P1P2q/P3P3/1P2Q1BP/5RK1 b - -,e5h5
r2q1rk1/1pp1bppp/p1n1b3/4pn2/1P6/P1NP1NP1/1B2PPBP/2RQ1RK1 b - -,f7f6
r1b1qrk1/1ppnb1pp/3p1n2/pP2pp2/2P5/P1NP1NP1/1B2PPBP/1R1Q1RK1 w - -,e2e3
7k/6p1/2p4p/1bP2r2/1P6/8/6PP/4Q2K b - -,f5f1
8/4Bp2/4n2N/4Pkp1/3r4/6K1/8/8 b - -,f5g6
8/3k4/8/r2B4/7p/3R2b1/6K1/8 b - -,d7d6
1k2q2r/2p2rp1/1pn1p3/1N2P3/1P2QP2/4B3/R6p/2KR4 w - -,d1h1
8/5pk1/6p1/2r1p2p/2p4P/P1Q1PqP1/5P1K/2R5 w - -,h2g1
4R3/8/2P2k2/5n2/3K2p1/8/8/8 w - -,d4c5
r4rk1/pp1qp1bp/1n3pp1/2pPP3/5P1B/4Q1N1/PPP1R1PP/2KR4 b - -,f6e5
5k2/2K5/4Pn1p/3N4/8/8/8/8 w - -,d5f6
6k1/1pr1q2p/pN1p2p1/P2Pb3/4Pn2/3QBP2/KP3P2/7R w - -,d3d2
3r1rk1/p3q2p/1pn1bb2/2p1p1p1/P3Pp2/1PPN1P2/2QN1BPP/R2R2K1 w - -,d3b2
rn1qkb1r/pb3ppp/2p1pn2/3p4/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,f8e7
4r1k1/p4pp1/2pq2p1/8/3nB3/2Q4P/PP3PP1/4R1K1 w - -,e1e3
8/4k3/r1p3p1/1p1p1p1p/3P1P1P/6P1/P1R1KP2/8 b - -,e7d6
8/1r3qkp/ppR1bp2/3p4/1P1Q1P2/P4BP1/5P2/6K1 b - -,f7d7
8/4ppkp/Q1P3p1/2P5/3r1b2/3B2PP/1q3P2/3R2K1 b - -,f4e5
8/1p6/p2N2kp/P2P4/2p1PK1P/8/1P4b1/8 b - -,g6h5
1r1r1bk1/pq2Pp1p/b1np2p1/3N2P1/1p1PP2P/3n2NB/PP6/R1BQ1R1K b - -,c6e7
8/7p/1n3pp1/1pB1k3/1P6/P2K3P/1bN3P1/8 b - -,b6c4
rn1q1rk1/1bppbpp1/p3pn1p/1p6/2PP3B/3BPN2/PP1N1PPP/R2Q1RK1 b - c3,c7c6
1R6/p6p/8/1Prk4/4pp1p/2P4P/1P2KPP1/8 w - -,b5b6
1r1r2k1/4pp1p/4bnp1/p7/1q6/1PN2BP1/P3QP1P/2R1R1K1 w - a6,e1d1
7R/8/8/8/5p1p/5k2/7K/6r1 b - -,g1a1
8/5p2/p3rkp1/5p2/1PR2P2/P5P1/5K1P/8 w - -,a3a4
r5k1/1b2bppp/3q4/pp4P1/1P1p3P/P4P1B/1K1QN3/7R b - -,d4d3
1rb2rk1/1p4bp/p2p1qp1/2pPn2n/P4p2/2N2N1P/1P2BPPB/R2QR1K1 w - -,f3e5
2Q5/q1R2p1k/p5pp/P7/1B6/3b2PP/1P1Nrb2/7K b - -,e2e1
rn2k2r/pbp2ppp/1p1q1n2/3p4/3P4/P1N1PN2/1P3PPP/R2QKB1R b KQkq -,e8g8
7k/ppq3p1/1bp4p/3b4/5P2/P1Q1r1N1/1PB3PP/5R1K w - -,c3d2
r2qr1k1/1pp3b1/1pn1b1pp/4pp2/8/P2P2PP/1PP2PBN/1RBQR1K1 b - -,e6a2
3R4/1r4pp/3r1p2/p2p1k2/R7/1n2P2P/6PK/8 w - -,d8d6
2r4k/8/b5p1/3p1p1p/2P5/b3PP2/3N2PP/rBRR3K w - -,d2b3
r2r2k1/1p3pbp/pq1Nn3/8/5B2/8/PPP2PPP/R2QR1K1 w - -,f4g3
6k1/7p/R2p1n2/3n1p2/2pr1P2/5KP1/1P1B3P/5N2 b - -,f6e4
8/1prb3p/3Rr1k1/1p4p1/8/6P1/PP5P/1K3R2 w - -,d6d5
8/p5k1/1p6/1Pp2K1P/P1B5/8/3b1p2/8 w - -,c4d3
r4rk1/pb1q1nbp/1p4p1/3p1p2/PPpP1P2/2P1B2P/2BQ1NP1/R3R1K1 w - -,f2h1
r4rk1/pp3p1p/1qn1pb2/3p1p2/3P4/2NQPPP1/PP4BP/R4RK1 w - -,f3f4
r5rk/ppnq1p1p/2p1n1p1/3pP3/1P1P3P/P2Q1PN1/3B2RP/6RK w - -,h4h5
1r3r1k/3nNp1p/p3b3/6R1/1P1N4/4R3/P4KPP/8 w - -,a2a3
8/4r3/6pk/p1p2n1p/5P2/1P6/PQ6/2KR1Nq1 b - -,f5d4
r2q2k1/pbp1rppp/1pBn1n2/3Pp3/PP6/BQN1P3/5PPP/3RK2R b K -,a8b8
8/1p3pkp/1rp2r2/p2pN1p1/3Pn1q1/PP2P1P1/1R2QPP1/4R1K1 b - -,g4e2
1n1n1r1k/p1q3pp/8/2pB4/4Q3/1R6/P4PPP/5RK1 w - -,b3f3
r2bk2r/1p3ppp/p1n5/3N4/6b1/1P3N2/1P2BPPP/R2R2K1 w kq -,b3b4
4r1k1/6q1/pp2p3/2p2nPp/1nP1Q2P/PP6/4N3/R4RK1 b - -,b4c2
3r3r/1pk2ppp/p2b4/2pn4/P1Np4/1P1P2PP/1BP2P2/R2KR3 w - -,d1d2
3q2k1/5ppp/p2rpn2/2p5/8/1P3B2/P1P1QPPP/3R2K1 w - -,d1d6
6rk/1p2b1r1/p1b1p3/3pPqNp/P1p1pB1P/2P1P1P1/1P2Q2K/R3R3 b - -,e7g5
r4rk1/pbpnqppp/1p1ppn2/6B1/2PP4/2P1P3/P2NBPPP/R2Q1RK1 w - -,f2f3
2R5/4pp1k/6pp/3qb3/6P1/6nP/5QK1/5B2 w - -,f2f3
r1bqk2r/pp2bpp1/2pp1n1p/4p3/4P3/1PNPBN1P/1PP2PP1/R2QK2R b KQkq -,e8g8
6k1/3q1r2/2pn2pp/1p1pQ3/p2P2Pn/P1PB1P2/1P3K2/3NR3 w - -,e1e3
r4qk1/3n1ppp/2b1pn2/2pp4/2P5/2QPPN2/1B2BPPP/5RK1 w - -,h2h3
2r1k2r/4pp1p/p5p1/1p1P1bP1/2BP1q2/Q7/PP1N2P1/2KR3R w - -,b2b3
r4r2/1pq1p1bk/3p1np1/p4p1p/2P2P2/1P4P1/P2QPBBP/2R2RK1 w - -,h2h3
8/4k3/r1p5/pp2P2N/3r2b1/P1R5/1P1N4/4R1K1 b - -,d4d2
rnbq1rk1/pp1p1pp1/2p4p/4p3/1bP5/6P1/PP1PPPBP/R1BQK1NR w KQ -,e2e3
r1bqr1k1/pp1nppbp/5np1/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2Q1RK1 w - -,f1e1
r2b2k1/3b1ppp/3P1n2/6q1/p3p3/1r5P/2Q1N1PN/3RR2K b - -,a8c8
3r1r2/5pbk/3R2pp/2p5/2b1P1P1/2q2PBP/6B1/2Q1R1K1 b - -,d8d6
8/5p2/6p1/4pk1p/1p3P2/1B2K1P1/7P/8 w - -,f4e5
6k1/8/r7/5K1R/7P/8/8/8 b - -,a6a5
2b2rk1/1p2p1n1/1p6/3pP3/5P2/1R3NPP/rP5K/5R2 b - -,c8f5
6k1/8/p6p/P2Pb1p1/4N3/5p1P/1pK5/8 b - -,h6h5
8/P4p1k/3p2pp/8/7P/P1p2qP1/2Q2P1K/8 b - -,h6h5
3rkb1r/p1q1npp1/b3p2p/2P1P3/P1p1B3/2B2N2/4QPPP/1R3RK1 b k -,e7d5
r2q1rk1/1p1nbpp1/2p1pn1p/p4b2/2P1N3/1P1P1NP1/PBQ2PBP/R4RK1 b - -,d7c5
8/8/r7/3k4/4R3/8/5PK1/8 w - -,e4e8
2kr3r/1p2bppp/p1q1p1b1/2p4n/N1P5/1B2B3/PP2QPPP/R2R2K1 b - -,h5f6
8/n2rk3/6p1/1p2pp2/1P5p/2PB1P2/3R2PP/2K5 b - -,d7d5
4rnk1/1b1n1pb1/1q1p2pp/2pP4/2p1P3/1P1B1NNP/2Q3P1/B4R1K w - -,b3c4
r2q1rk1/pp3ppp/nb2p1n1/1N1p4/1P2PB2/P2Q1P2/2P1N1PP/3RK2R w K -,e4d5
rnb1qrk1/ppp3bp/5np1/5p2/1PP1p3/2N2NP1/P3PPBP/1RBQ1RK1 w - -,f3d4
8/8/2P1rpk1/2R4p/8/5P2/2K5/8 b - -,e6e8
6k1/5pb1/7p/p3r3/3p2QN/3P4/q1r3PP/1R1R2K1 w - -,b1b8
4r1k1/3R1p2/3B3p/3BP1p1/pp1N4/8/P4KPP/1b6 w - -,d5f7
8/8/3k1n2/6Bp/3b2P1/1B3P1P/4K3/8 w - h6,g5f4
r1b2rk1/1p3ppp/p1q2n2/3p1P2/1b1P4/2N5/PP1BB1PP/R2Q1R1K b - -,f8e8
1rbq1rk1/pp5p/2B1p1pQ/2p3p1/8/2PP2P1/4PP1P/1R3RK1 w - -,c6e4
r2q1rk1/pb1nbppp/1p2pn2/2pp4/2PP4/1QN1PN2/PP1BBPPP/2RR2K1 b - -,d8c7
7r/1R6/5k2/8/4PP2/5K1P/7P/3n4 w - -,e4e5
5r2/2pR4/1p4k1/p1p3p1/P3Pn2/2P1NP2/5KP1/8 b - -,f4e6
6r1/p4p1k/3P1Brp/2p1PQ2/3n3R/8/PR4P1/6K1 b - -,d4f5
r2qk2r/pp1nbp1p/2p2np1/3p2B1/3P4/2NQPN2/PP3PPP/R3K2R w KQkq -,e1g1:h2h3
r1bq1rk1/4ppbp/p1n2np1/1p6/3P4/2NB1N1P/PP2QPP1/R1B2RK1 w - -,f1d1
8/6k1/2B4p/4N1P1/1p1PKnP1/n7/5P2/8 b - -,h6g5
r1b1nrk1/pp1nbppp/2pp4/8/P2BP3/1BN2N1P/1PP2PP1/R3R1K1 b - -,e8c7
r1q2rk1/1p1bppbp/p1np2pn/8/P3PP2/1NN5/1PP1B1PP/R2Q1RBK w - -,c3d5
8/2R3Bp/4k3/p7/4P3/r7/6PP/6K1 b - -,a3e3
1q1rk2r/np2bp1p/pNbppp2/P7/4P3/1NQ5/1PP1BPPP/R4RK1 w k -,c3e3
r1b3k1/ppb2pn1/2q1p1pp/8/2P3PP/P1B2N2/1P1QBP2/1K5R w - -,d2h6
8/4pk2/5b2/2Bn1p2/5P2/7p/r3NR2/7K w - -,f2h2
r1bqkb1r/5p2/p1npp1n1/1p1N3p/4P1p1/1B4B1/PP1NQPPP/R4RK1 w kq -,d5f4
r2r2k1/ppqb1ppp/2n1pn2/2p5/3P4/P1P1PN2/5PPP/R1BQRBK1 b - -,e6e5
r3rnk1/ppqbbpp1/2pp1n1p/3Pp3/2P1P3/2N1BN1P/PP3PP1/1R1QRBK1 w - -,g2g3
8/5p2/8/nN3P1k/7P/5pK1/5P2/8 b - -,a5c4
r1bqk2r/p3bppp/2p1p1n1/2pp4/4P3/2NP1N2/PPP1QPPP/R1B2RK1 w kq -,b2b3
r2q1rk1/p2n1ppp/3b1n2/1pp1p3/7N/1PNP2P1/PB2PPKP/2RQ1R2 b - -,d8b6
1q1r1rk1/p3b1pp/Q1p1n3/2p1pp2/2N5/2NPBPPb/PP2P2P/2R1R1K1 b - -,b8c7
8/p1k1r3/1p1r3p/6p1/1P4P1/5B2/PKP3P1/7R b - -,e7e3
1K6/8/1P6/5p2/4kP1R/8/8/1r6 w - -,b6b7
5r1k/2qb2rn/3p4/2pPp1p1/2B1P1Np/1P3P1P/1PKQ4/5RR1 b - -,d7g4
r2q1rk1/ppp2pbp/2np1np1/3Pp3/2P1P3/2N1BB2/PP3PPP/R2Q1RK1 b - -,c6e7
r5k1/3b1npp/1qp1p3/3pBp2/p2P1PP1/bP2P2N/P1R3BP/3Q2K1 w - -,b3a4
r1bq1rk1/pp2bppp/2np4/P7/2N5/5N2/1PP2PPP/R1BQ1RK1 w - -,f3d4
r1bqr1k1/ppp3bp/1n4p1/3P1p2/2nNp3/P1N1P1P1/1PQ2PBP/R1BR2K1 w - -,a3a4
1q1rn1k1/p2n1ppp/1p2p3/1N1BP3/1P6/P3R1P1/1B3P1P/2Q3K1 b - -,e6d5
8/3r1k1p/6p1/1R3p2/1P2p3/2b1B1P1/5P1P/5K2 b - -,c3d4
5b2/2n2k2/4pP1p/3pP2p/2qN4/2P4B/3Q1P1K/8 w - -,d2c2
r1bq1rk1/4nppp/p2p4/1p1Np1b1/4P3/2P3P1/PPN2P1P/R2QKB1R w KQ -,f1g2
1kr4R/1p3p2/p3p3/qb2p1pP/4P1P1/2P1bQ2/PPB1N3/1K1R4 b - -,c8h8
r2qk2r/p1p1nppp/np2p3/3pP3/3P3P/P1PQ4/2P2PP1/R1B1K1NR b KQkq -,a6b8
8/6rk/5R2/1p3pp1/6P1/P2p3P/1PP2K2/8 w - -,c2d3
r4rk1/1pq2pbp/3pb1p1/p2p4/2PPn3/1Q1BB2P/PP3PPN/2R1R1K1 b - c3,a5a4
1rbn1b1r/ppN1kppp/4pn2/4N3/2B5/4B3/PP3PPP/R3K2R b KQ -,b7b6
7r/4nkpp/pN3p2/4p3/2prP3/P5P1/1PP2KP1/3R3R w - -,d1d4
5r2/8/8/p6k/8/P3R1R1/2r4P/6K1 b - -,f8f2
rnbq1rk1/pp2ppbp/5np1/2p5/2NP4/5NP1/PP2PPBP/R1BQ1RK1 b - -,c5d4
r3qrk1/pp1nnpp1/2p1p2p/b2pP3/2PP1N2/PP1Q1N2/R4PPP/2B2RK1 w - -,h2h4
r1b1k2r/p2qnppp/1p2p3/3pP2P/3R4/P1P5/2PB1PP1/R2QKB2 w Qkq -,d1g4
1n1qr2Q/1b2kpp1/p3p2p/1pPp4/3P1N2/P3P1P1/5PP1/1BR3K1 w - -,h8g7
r1b2k1r/pp3pp1/1n2p2p/q2pP3/2pP3P/2P2N1R/P1PQBPP1/R3K3 b Q -,c8d7
r4r2/1bp2pk1/pp1p1np1/3PpP1p/P3Pq2/6NP/1PP3P1/R2RQBK1 w - -,a1a3
8/5p1k/4p1p1/1p5p/7P/P2qPnP1/1P3P2/2Q2B1K b - -,d3f5
1r4k1/5pp1/B2qp1p1/3p4/1r1P1nPP/5P2/PP1Q4/1K1R3R w - -,h1h2
rn1q1rk1/pb1p1pbp/1p2pnp1/2p5/3P4/2PBPN1P/PP2QPP1/RNB2RK1 w - -,b1d2
r1bq1rk1/1p3pbp/2p1n1p1/1P2p3/8/2nPP1P1/2QN1PBP/1RB2RK1 w - -,c2c3
2b2r1k/1p5r/p1pq4/P1Np1np1/1PPPp2p/6PP/R4PBK/3Q1R2 w - -,a2a3
8/5p2/6k1/8/8/8/6K1/8 w - -,g2f2
r2qk2r/ppn1b1pp/2n2p2/2p1p3/2P1N1b1/1P3N2/PB1P1PPP/RB1Q1RK1 w kq -,h2h3
r1b1k2r/pp2bppp/2n2n2/2pqp3/8/2PP1N1P/PP2BPP1/RNBQK2R w KQkq -,c1e3
1k4r1/p1r2pp1/3bpn2/1p5P/3P4/4BB2/PP3PP1/1KR4R w - -,c1c7
2Bk4/p2r3p/5bp1/5p2/5P2/8/PPP3PP/1K2R3 b - -,d8c8
1rb2rk1/3nppbp/pq1p2pB/1npP4/4P3/2N2N1P/RPPQ1PP1/4RBK1 w - -,h6g7
8/6pp/N3pp2/PP6/2nk4/1K4PP/5P2/8 w - -,b3b4
r1q1r1k1/4p1bp/n1p1bpp1/pp1nN3/3PN3/PB3Q1P/1PP2PP1/R1B1R1K1 w - -,e5c6
8/6p1/2P3k1/2r2pP1/5P2/R7/4K3/8 w - -,a3a6
8/8/1k1r2p1/1p1P1p1p/2rR1P1P/3RK1P1/8/8 w - -,d3b3
r5k1/pp4q1/2p3rb/2P1p3/4NpP1/1PR3P1/P4PK1/3Q1R2 w - -,c3d3
rn3rk1/ppq1ppbp/2p3p1/8/2BP2b1/4PN1P/PP2QPP1/R1BR2K1 b - -,g4f3
6k1/8/8/2r1B2p/p4Rb1/4K3/8/8 w - -,f4f8
1k5r/5R2/pbb1N3/7p/1p6/1P6/1PP3PP/3R3K w - -,d1d6
8/1k6/4R3/3K4/1p3b2/8/P7/8 w - -,d5c5
r3r1k1/pb1pB1bp/1p1Pp2n/2p5/2P2P2/PqN3QP/1P2NK2/R5R1 b - -,h6f5
3rk2r/p2b1ppp/1ppQpn2/8/nPP1q3/2B2N2/P3BPPP/3RK2R w Kk -,d1d4
4r1k1/pp3r1p/2nR1pp1/8/5N2/P7/1PK2PPP/3R4 b - -,f6f5
8/4p2p/3pk3/1p2p3/5Q1n/P2P1PRP/1P4RK/2r5 b - -,e5f4
r1b2rk1/2q1bp1p/p1ppp1p1/8/4PP2/2NQ3R/PPPB2PP/R6K w - -,a1f1
1k6/1q5p/p1r1pp1Q/3n4/4P1R1/6PK/7P/8 b - e3,d5c7
2r3k1/1b2rp2/1p4p1/p1np3p/3Nn3/1P4P1/P1R1PPBP/1NR3K1 w - -,b1c3
4r1k1/pp3p1n/6pp/1PR4P/2P1p1n1/P1K1P1N1/5P2/3B4 b - -,g4f2
5rk1/2q1nppp/6r1/p1npP3/1p6/1P1N1N2/P1PQ2PP/R4R1K w - -,d3c5
r2rn1k1/p2q1pbp/2p1p1p1/3pP3/2P5/2N1BP2/PP1Q2PP/R2R2K1 w - -,f3f4
1r1q1rk1/ppp2pbp/2n3p1/4p3/2bP4/2P1P1P1/P2N1PBP/R1BQR1K1 b - -,c4d5
2brr1k1/1p3ppp/pq2pb2/3n4/3N4/2P3PP/PPQ2PB1/2BRR1K1 w - -,d4f3
4r1k1/5ppp/pp3b2/2rp4/P2N2q1/1P2P1P1/3R1P1P/1Q1R2K1 b - -,h7h5
2r2rk1/p1qp2pp/1p2pb2/8/2nP1P2/2PN1R2/P2BQ1PP/5RK1 w - -,d3f2
3q1r1k/5ppp/b3pN2/p2pP1P1/8/1n1P1NPB/1P2QP2/2rR2K1 w - -,d1c1
2rqk2r/1b2bp2/p2p2pp/1p1nn3/3NP1P1/7P/PPP1QBB1/R3K2R w KQk -,e4d5
r3r1k1/1pp1qpb1/p5pp/3bp2n/4P3/2P1BN1P/PPQ2PP1/3R1RK1 w - -,d1d5
8/8/8/6k1/6p1/1R6/r5p1/6K1 b - -,g5h4
8/5p2/3p1k1p/R2P2p1/6r1/1P6/P6K/8 w - -,a5b5
r1bqk2r/1p2bppp/p1n1pn2/2p5/2BP4/1P2PN2/PB3PPP/RN1Q1RK1 w kq -,b1d2
r7/1p3k2/p4n2/3p4/1P1K3p/2P2P2/8/7R b - -,a8c8
r1bqrnk1/p5bp/2p2p2/2pppP2/7N/1PNP2Q1/P1PB2PP/R4RK1 b - -,e8e7
r3rbk1/1pqn1b1p/2pp1pp1/p1n5/2P1PP2/1PN3P1/P1NQ1B1P/3RRBK1 b - -,c5a6
8/2R5/1k2pp1p/pp1p3P/5P2/5q2/2RKN3/8 b - -,d5d4
8/p3r2p/5k2/R5p1/5p2/3K4/1P4PP/8 w - -,b2b4
2bq1rk1/pr3pp1/2pb1n1p/3p4/5B2/1PNB1Q1P/P1P2PP1/R3R1K1 w - -,c3e2
r1bqkb1r/1p2pppp/p1np1n2/8/2PNP3/5P2/PP4PP/RNBQKB1R w KQkq -,b1c3
1r1q1rk1/pp1bppbp/2np1np1/2p5/P3P3/2PP1NP1/1P1N1PBP/R1BQR1K1 b - -,a7a6
r1b2rk1/5p1p/p1qp1Q2/1pnR4/4P2P/8/PPP2PP1/1K5R b - -,c5e4
1b4k1/r4pP1/pq3Rn1/1p2P3/2pPQ2p/1B6/PP4PP/3R2K1 b - -,b6d8
2k4r/ppp2p2/4p3/3r1p1p/3P4/2P1P3/PP4PP/R4RK1 w - -,e3e4
r4rk1/pp3pbp/1qn1b1p1/2p1P3/3pNB2/3P1RPP/PPP3B1/1R2Q1K1 b - -,c6e5
6k1/1R3p1p/1p4p1/8/P7/1r4PP/5P2/6K1 w - -,a4a5
5r2/2q1ppkp/5np1/2Pn2P1/2BQb3/4PN1P/5P2/R5K1 b - -,e4f3
1k4r1/pp3R2/4p3/1R5p/r7/7P/P4PP1/6K1 b - -,b7b6
6k1/p4p1p/1b4p1/3BR3/P4N2/1b1P2P1/2r4P/3K4 b - -,c2c5
1r4k1/5p2/p2p3p/1ppP2p1/P1N5/8/4rPPP/1R3R1K w - b6,a4b5
r4rk1/pbqn1ppp/1pp1p3/2P5/3P2Q1/3B4/PP1N1PPP/R4RK1 b - -,a8d8
r1bqk2r/pp2p1b1/3p2pp/2pPnp1n/5B1P/2N1PP2/PPPQ2P1/2KR1BNR w kq c6,g1h3
rnbqk2r/p3ppbp/3p1np1/2pP4/2p1P3/2N5/PP1N1PPP/R1BQKB1R w KQkq -,d2c4
