8/4r3/5k2/1R2N3/4K3/8/8/8 w - -,e4f4
8/kp6/3q3p/1b1pR3/3P1QP1/1PP5/3K1P2/8 w - -,f4f5
5rk1/pp1b1ppp/8/q2P4/1bQB1P2/3P4/1P3KPP/5B1R w - -,f1e2
r4rk1/pp1b1pb1/1np2qp1/3Pp2p/4P3/1BN2P2/PP1NQ1PP/R4R1K b - -,a8d8
r2bqrk1/np4p1/1n2p2p/1b1pPp2/pP1P1P1P/P2B1NKN/1BRQ2P1/7R b - -,b6c4
2B1k3/4b3/pN1p4/P2Pp1r1/4PpNn/8/1P4P1/4B1K1 b - -,g5g7
r3rnk1/pp3qp1/2pb1p1p/3p3N/3P2P1/2PB4/PP1QRPP1/4R1K1 b - -,e8e2
2r5/7p/1p1BP1k1/6b1/1K6/P6P/5R2/8 b - -,c8d8
6k1/4bppp/q3p3/3rP3/1ppP1PP1/4B3/1P3Q1P/5RK1 w - -,f4f5
R7/6kp/6r1/1p2p3/5r2/4K2P/2b1N1P1/2R5 b - -,f4e4
3r1rk1/pp3ppp/2p5/3n2N1/8/6P1/PPP2P1P/3R1RK1 w - -,c2c3
6k1/1p3ppp/p7/1b1B1QP1/3P1P2/4q2K/PP3R1P/6r1 w - -,f2f3
8/3r1kb1/1p1r4/2p1p3/2P3p1/3PP1P1/4KB2/1R1R4 b - -,f7e6
6k1/p3r3/3N2p1/1p2Kp2/8/1P1p4/PBn5/3R4 w - -,e5f6
rnbq1rk1/5ppp/p1p1p3/8/2NPPBP1/2P3Q1/P4P1P/R3K2R b KQ -,b8d7
r1bq1rk1/1p1nppbp/p2p2p1/3N4/3NP3/1P2BP2/1PPQ2PP/R4RK1 b - -,d7c5
6k1/5p1p/1R1P1Kp1/8/4r3/1B4rP/P7/8 b - -,g3f3
2kr3r/1bp2p2/p2bpnq1/1P4pp/8/P1N1BPN1/2P3PP/R3QRK1 b - -,g5g4
r2qr1k1/1b3ppp/1ppb4/4p3/PPBpP3/2P5/1B2QPPP/3R1RK1 w - -,c3d4
2r1r1k1/1b2qp1p/1p4p1/pPb1n3/Q2Np3/4P3/P3BPPP/B2R1RK1 w - -,a4b3
r1br2k1/pp1n2bp/6p1/2pP1p2/2P5/4B3/P2NBPPP/2R1K2R b K -,h7h6
1r1q1rk1/1B1nn1bp/3p2p1/2p2pPP/1p3P1N/3P4/1PP1N3/R1BQ1RK1 b - -,b8b7
r2qk1nr/ppp2ppp/2nbp3/3p3b/3P1B2/P3PN1P/1PP2PP1/RN1QKB1R w KQkq -,f4d6
r3kb1r/pp3ppp/2p5/2n5/4PPb1/2N3P1/PPPB2B1/2K1R2R b kq -,e8c8
6k1/2p2pp1/1p1n3p/rP1P4/8/b3N1P1/5P1P/R4BK1 w - -,e3c4
5rk1/4q1pp/p2Rr1n1/1pQ1p3/6P1/6B1/PPP4P/1K2R3 w - -,d6c6
3qr1k1/1b1n1pb1/pp1p1npp/8/QP1NP2B/3B4/P2N1PPP/2r1R1K1 w - -,e1c1
4r3/p2brk2/1p1n3p/3P1pp1/8/2bB3P/PP2RBP1/4R2K w - -,b2c3
7k/6bn/8/p2p4/1p1N1r1p/7P/PP2K3/2R1R3 b - -,g7d4
1r6/p7/1br4k/2nR2p1/2P1p3/P1K1Pp1P/3B4/3R1B2 b - -,b6d8
r2nk2r/pp1nbppp/4b3/1P2p3/4N3/2P2NB1/1P3PPP/R3KB1R b KQkq -,f7f5
2r3k1/1pp2q2/6pp/p1pP4/P1Pb4/2N4Q/1P4PP/R6K b - -,c8f8
4r3/5ppk/p7/5q1p/4p2P/4Q1P1/P4P2/4R1K1 w - -,e1c1
1k1r1q2/2pr1pp1/p1p2n2/bp3P2/6P1/P1NP2QP/1PPBR3/1K4R1 w - -,g4g5
2r1kb1r/5ppp/2qpb3/p1nN2P1/1p2P3/8/PPPQ1BBP/1K1RR3 b k -,c5a4
r1q1r1k1/p2nbppp/2p5/4P3/4NB2/5N2/PPQ2PPP/3R1K2 w - -,g2g3
r1b1r3/1p1nqpbk/4n1p1/p1p1p2p/2P1PP2/BPN1N1PP/P2Q2B1/3RR1K1 b - -,e5f4
r2r2k1/5p2/3p2pp/p1p5/2R5/1P3Q2/P3B1Pq/3R1K2 w - a6,f3f6
8/p1p1kB1p/4P1p1/Npp2b2/1n6/P4P2/3K3P/8 b - -,b4c2
8/7p/4Qn1k/5Pp1/1p1q4/7P/2R3K1/8 b - -,g5g4
rn1qkbnr/ppp1pppp/8/3p1b2/8/5NP1/PPPPPPBP/RNBQK2R b KQkq -,c7c6
r1bqkb1r/1p3p1p/p3p1p1/3n3n/3N4/2PB2Q1/PP3PPP/RNB1R1K1 w kq -,g3f3
1k1r3r/1pp3pp/1b2qp2/pP1N4/P7/5QP1/5P1P/2RR2K1 b - a3,d8d6
8/2q1kp2/pn1p2p1/Np2p1P1/4Pn2/P7/NPPQ1P1r/1K1R4 b - -,c7c5
r4rk1/pp2bpp1/2p1pn1p/4N2P/3Pq3/8/PPP2PP1/1KBR1Q1R b - -,c6c5
8/p5pk/1p3p1p/8/PP6/3R1P2/6KP/r7 w - -,a4a5
r4rk1/bp2nppp/p3p3/4P3/2PB2n1/P4bP1/2qNQPBP/1R3RK1 w - -,g2f3
2r2rk1/p5pp/4p3/PP6/2R1n1P1/1N6/3BPp1P/2R2K2 b - -,c8c4
8/3k3p/4p1b1/p2pP3/3P1P1K/B1P5/8/8 w - -,h4g5
r6k/pB2q1bp/5pp1/8/8/5Q2/PPP2PPP/3R2K1 b - -,a8b8
3n2B1/3k4/p2p2pp/Pp1Pp3/1P2P2P/5KP1/8/8 w - -,g8h7
4q1k1/RQ3p1p/4p1P1/5r1P/1p6/2b1BP2/P4PK1/8 b - -,g8g7
8/4bk2/3p4/3Pp1p1/4P1P1/4K3/5B2/8 b - -,f7e8
rnbq1rk1/ppp1p1b1/3p1Ppp/7n/3P4/2PB1N1P/PP3PP1/RNBQ1RK1 b - -,f8f6
3r2k1/2p1ppbp/6p1/5b2/8/1B2B1PP/P1p2P2/4R1K1 b - -,g7c3
2kr3r/1ppq2p1/p1n1pn1p/4p3/P2bP3/3PBN2/1PQ2PPP/R3RNK1 w - -,e3d4
rb1q1rk1/pp4pp/2n1b3/1N1npp2/8/PP2P3/1B1NBPPP/2RQK2R w K f6,e1g1
2b2rk1/r4p2/2nQ2p1/2p5/3bP3/P3qPP1/4B1KP/5RNR b - -,a7a3
r3r1k1/1p4p1/p2q3p/P1pPp1bP/2P1P3/2N1B1Rn/1P3P2/R2QK3 b Q -,g5e3
4Qb1k/1p5p/3Nn3/p2q4/P6N/6P1/5P1P/6K1 w - -,h4f5
r1bqk1nr/pp3pbp/2npp1p1/2p5/4P3/2NP2P1/PPP1NPBP/R1BQ1RK1 b kq -,a7a6:g8e7:a8b8
2qr2k1/R4pp1/7p/1p2Q3/1Pb3PP/2N2P2/4PK2/8 b - -,c8c6
3N2k1/2pb3p/2p3p1/5p2/rPP2P2/p2R4/P3PK1P/8 b - -,d7e8
2rq1rk1/pb2bppp/1p2pn2/3n4/3PN3/P2B1NB1/1P2QPPP/R4RK1 b - -,f6h5
8/p7/p4k2/4p3/3bP1p1/1P1N4/P5K1/8 b - -,f6g5
4r1k1/1p1b1pp1/pp1q3p/3P4/4n3/1B2N2P/PP1Q1PP1/3R2K1 w - -,d2d4
3r2k1/1p3pR1/3rb3/1p3p2/5Q2/2P5/6PP/2R3K1 b - -,g8g7
2b1kb2/7Q/p1P1r1p1/8/1p6/1P4P1/P3pB2/4K3 w - -,h7c7
3r4/p4qbk/1p4pp/2pNpp2/2P1P3/1P1R4/P3QPPP/6K1 w - -,a2a3
1r2n1k1/1rq2pp1/1p1p3p/pR1Pp3/2P1P3/4BPP1/3Q3P/1R3BK1 b - -,e8f6
2r3k1/b3qpp1/p2np2p/1p6/1P6/P2BP3/1B2QPPP/5RK1 b - -,a7b8
8/2p3bk/3p2pp/1p1PB3/8/2PQ2N1/q1B3PK/4r3 b - -,e1e5
1r4k1/p2nbppp/b3pn2/3p4/3P4/1P2P1P1/P2B1P1P/RN2R1K1 w - -,e1c1
rr3Qk1/5pp1/4b2p/pB1pN3/P1p5/1n2P3/1P3PPP/2R2RK1 b - -,g8f8
8/5b2/5p1k/3p4/3K2PP/5B2/8/8 b - -,f7e6
r5k1/1q3p2/p3pp2/4n1b1/Q3P2p/2B4P/1P3PP1/3R1BK1 b - -,g5f4
2r3k1/b1qb1pp1/5n1p/8/2p4Q/P1N2B1P/1P2RPP1/6K1 b - -,d7e6
2q1k2r/p4p2/1pr1pPp1/n2pP1Bp/1b1P4/1PN2R2/PQ4PP/3RK3 w k -,g5d2
2r2rk1/pb2q1pp/1p6/3p1nN1/2pP3P/4PP2/PPQ5/1K1R1B1R w - -,f1h3
5rk1/prpq1b2/3p4/1P2b1p1/2PNP2P/3QP3/6BP/1RR3K1 b - -,g5h4
r1bqk1nr/pppnbppp/4p3/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq -,f1g2
8/7p/pR4pk/P1nr1p2/8/5p2/1P1NK1PP/8 w - -,d2f3
rn1qk2r/1b2bppp/2p1pn2/1p2N3/2pP4/2N3P1/1P2PPBP/R1BQ1RK1 w kq -,a1a8
5b1k/5Q2/7p/5P2/p7/P4K2/2r4P/8 b - -,f8a3
1r5k/2R3p1/5p1p/4nP2/Q4N2/7P/5qP1/7K w - -,c7c1
r4rk1/1p1nqppp/p1n1p3/2ppP3/P2P2b1/N1P2N2/1P2BPPP/R2QR1K1 b - -,c5d4
5rk1/p2B2p1/8/3p3q/3Pn3/1P1Q2B1/P6K/8 w - -,h2g2
8/1p1r3k/p4R2/2P4p/1P6/P5p1/4K1P1/8 w - -,e2e3
3r2k1/2q2p1p/1n4p1/1p2p3/1P1bPP2/2pP2P1/2N1Q1KP/1R3R2 w - e6,f4f5
6k1/5r2/8/1p1PQ2p/p2B4/2P2P1p/P6K/1q6 b - -,b1c2
nR3bk1/3qpp1p/r2p2p1/2nP4/4P3/2N3PP/3N1PK1/1Q2B3 b - -,d7c7
8/1b2rk1p/P2K1pp1/2N5/4P3/8/6PP/8 w - -,a6b7
8/2n1kp2/7p/4PP2/4K1P1/2N5/8/8 b - -,e7f8
1q5k/3Qp1rp/3p2r1/2pPp2R/2N1P3/PP3RP1/5P2/2b2K2 b - -,c1g5
r4rk1/p4ppp/1p3n2/2b2N2/5B2/1BN2P2/PP5P/2KR1q2 w - -,d1f1
5rk1/p3bppp/4p3/8/1P6/P3N1P1/4rPKP/R4R2 w - -,g2f3
8/8/7p/7B/4k1P1/8/2K5/8 w - -,c2d2
r1b2rk1/p3b1pp/2pq4/3ppp2/4n3/2P1BN1P/PP1N1PP1/R2QR1K1 w - f6,d2e4
8/p7/1b6/2r1k3/8/1K3R1P/8/8 w - -,f3f1
r4rk1/1p1n1pbp/p1p1p1p1/7n/3PPP1q/2N1B3/PPQ1BP1P/3R1R1K w - -,f1g1
2r3k1/2q2pbp/1p2p1p1/1Pnb4/P2N4/4BP2/2BQ2PP/1R4K1 w - -,c2d1
r2q4/1p2kp1r/p2p2p1/4p2p/4P1n1/1NPR2PP/PP1Q1PB1/5K2 b - -,g4f6
1k3r2/1bn1b2Q/p1p1q1p1/1pn1p3/4P1PP/P1N2N2/1PP3B1/1K1R2B1 b - -,c5d7
1qr2rk1/1b1nbp1p/3p1np1/1p1Pp3/1P6/PBN1BN1P/4QPP1/2R2RK1 b - -,b8a8
r2q1rk1/b4ppp/p3pn2/1p6/1P1N4/P2Q2P1/1B2PPKP/R4R2 b - -,d8d5
r2q1rk1/4bppp/1B1p4/p2Pp3/Rn2P3/2N2N1P/1P3PP1/3QR1K1 b - -,d8b6
2k5/1p3R1p/p7/5p2/P1K2P2/6P1/7r/8 w - -,f7f5
r1bqr1k1/pp4bp/2p2np1/2n1pP2/2P5/P1N2NP1/1P2QPBP/R1B2RK1 b - -,c5b3
8/6Q1/1kp5/2b5/2P3K1/8/8/5r2 w - -,g7b2
6k1/p3b1pp/8/N1pbp3/P2r3P/5PP1/4R3/4NK2 w - -,e2e5
5rk1/3n1p1p/r2n2p1/1B1Pp1b1/4P1P1/5Q1P/2P2P2/7K w - -,b5a6
4rr1k/2b4p/p1q5/2n1ppB1/1pPp4/1P1P1P2/P3QNRP/2R4K b - -,e5e4
2krr3/1p3pp1/1np3p1/4q3/1p4P1/1Q1BPP1P/PP3K2/4R2R b - -,e5d6
r4rk1/ppqb1pp1/2pb1n1p/3PN3/8/2PB3P/PPN2PP1/R1BQR1K1 w - -,e5d7
8/7p/2bk2p1/pp2R1P1/3P1P2/nPK5/8/8 w - -,c3b2
7k/7r/p3p3/2pb4/q2bNP2/P1p2QP1/2N1R1KP/8 w - -,h2h4
2r1nk2/1pr1pp1p/p2p2p1/3P4/2R1RPP1/1BP4P/PP3K2/8 w - -,c4c7
8/8/3k4/7B/3bPPK1/8/8/8 b - -,d6e6
2q1r1k1/pp1nrpp1/3p1nbp/PPp5/2PPp1P1/2Q1N2P/1B2PPB1/3RR1K1 w - -,d4c5
8/2p2pp1/3kn2p/1p2p3/1P2P3/1N2P3/1PK3PP/8 b - -,h6h5
r1r3k1/3nbppp/3p4/p3p3/4P3/2NQBP2/1q4PP/R2R2K1 w - -,c3d5
8/p2qk2p/2p1n1p1/5p2/5P2/3NQ1P1/PPP4P/2K5 w - -,d3c5
8/p3b2p/1p2k3/1P1Npp2/P1n1P1p1/1N4P1/5PP1/6K1 w - f6,d5e7
r1r3k1/p5pp/2pb1p2/B7/8/6P1/P1q1RP1P/R3Q1K1 b - -,c2g6
r5k1/2p1nrb1/2Pp1Bp1/3Ppq1p/8/5PP1/3QN1BP/3R1RK1 b - -,g7f6
8/6k1/1p2pRp1/1r4P1/5P2/4PK2/8/8 w - -,f6e6
1rr3k1/4bpp1/nqp1p2p/p2nP3/Pp1P4/1N3N2/1PRBQPPP/R5K1 w - -,a1c1
rn1qk1nr/pp3pbp/2ppp1p1/8/P2PP1b1/2N2N2/1PP1BPPP/R1BQK2R w KQkq -,e1g1
3rr1k1/1p2q1bp/p1p1p1p1/Pn1n1p2/1P1P2P1/1Q1NP1BP/3R1PB1/3R3K w - f6,d1c1
3rr1k1/3q1pp1/1p3n1p/p1pnp3/2Q5/PP1PP1PP/1B3PB1/3RR1K1 b - -,e8e6
r4rk1/2R2p2/3pB1pQ/3Pp3/2P1q3/6P1/5PK1/7R w - -,g2h2
r2qnrk1/6pp/pp1p1bn1/2pP1b2/P1N3B1/2N3BP/1P3PP1/R2Q1RK1 b - -,g6h4
r4bk1/5pp1/p1qP3p/2rpB3/2p3Q1/2P4P/P4PP1/R3R1K1 b - -,a8d8
4r1k1/p1pr2p1/5n1p/5p2/2R5/1P1N2P1/P1P2PP1/R5K1 w - -,a1e1
8/7p/3Kp3/2P2p2/5P2/2r1k1P1/7P/3R4 b - -,e3e2
2r2rk1/pp2pp1p/2npb1p1/q1nN4/2P1P3/2P2P2/P2BB1PP/R2Q1RK1 w - -,d1e1
7r/pp6/2n1kp2/3p2p1/1b1P2P1/P4NB1/1P3P2/2KR4 b - -,b4a5
r2qkb1r/pp1n1ppp/2p1p3/3n4/2BP4/5b1P/PPP2PP1/RNBQR1K1 w kq -,d1f3
8/8/5K1k/7p/5N1P/6P1/8/3b4 b - -,d1g4
8/4bpkp/2p3p1/pp2p3/3nP3/P1P1B2P/1P3PP1/3N3K b - -,d4b3
r1b1k1r1/ppq1np1Q/2n1p3/3pP3/3p3P/P1P5/2P1NPP1/R1B1KB1R b KQq h3,c8d7
1k4r1/ppp2p2/3q1P2/3p1P2/3Q4/2P1R1P1/PP4K1/8 w - -,b2b4
3r1rk1/4bppp/1p3n2/2p5/3n4/P1N2PB1/BP3PKP/2R2R2 w - -,c3a4
3Q4/5ppk/2B1p2p/p1b5/P7/2qbB1PP/5P1K/8 b - -,c5e3
rn1qk1nr/2pb1pbp/p2p2p1/1p1Pp3/B1P1P3/5N2/PP3PPP/RNBQ1RK1 w kq b6,a4c2
5rnk/ppq1r2p/2p5/3p4/3P3R/2N1P1Nb/PP5Q/3R2K1 b - -,h3c8
r3r1k1/3nqpb1/2p3p1/pPn1p2p/3pP2P/1P1P2PB/P2BRPN1/1Q3RK1 b - -,c6b5
2b5/p3knpp/P3rp2/1N6/1P3P2/6P1/6BP/R5K1 b - -,e6a6
r2n3k/3qp1bp/p2pNrp1/2pP4/4QP2/7R/1PP3PP/2B2RK1 w - -,e6g5
8/1r5p/4k1b1/p2p4/4p3/1PP1K3/6P1/3Q4 b - -,g6f5
r2qr1k1/ppp2p1n/3p1n1b/1P1N1b2/P1PPp1pp/B3P3/2QNBPPP/2R2RK1 w - -,c2b3
r2qr1k1/pp2bpp1/2np1n1p/3Pp3/2P5/6PP/PP2NPB1/R1BQ1RK1 b - -,c6b8
6k1/5p2/1p3q2/p4p2/2b5/P1Q2B1P/1P3KP1/8 b - -,f6e6
2r2rk1/p4pp1/R1n2b1p/8/1p6/2N1P1B1/3P1PPP/3R2K1 w - -,c3d5
4R3/1p3r2/p1pP1k1p/2P3p1/PP2K1P1/8/7P/8 w - -,e8e5
1r5k/P4pp1/4b3/8/3p4/p7/R4PPP/2q2BK1 w - -,a7b8q
r4rk1/2bnnpp1/1pp1bq1p/3p4/3P4/2QB1N1P/PP1N1PP1/R1B1R1K1 w - -,f3e5
1k1r3r/pp3ppp/1b3n2/RB3q2/4p3/2B5/2PPQPPP/5RK1 w - -,a5a4
8/8/6p1/3K1p1p/2P4R/6P1/3r2kP/8 w - -,d5e5
8/p7/Pp4p1/1Pn3P1/1K2k3/6B1/6P1/8 b - -,c5d3
rnb2rk1/p4ppp/1p2pn2/2pq4/3P4/2B1PN2/PPQ2PPP/R3KB1R w KQ c6,d4c5
6k1/p4p2/4p2p/3B2p1/P4P2/6P1/3r3P/2R1n2K b - -,e1d3
1r3k2/R1n1pp1p/3p1np1/1prP4/3R1P2/2N2BP1/1P3PKP/8 b - -,b5b4
r3r1k1/1pp2p1p/4b1p1/p3P3/4P3/2N3PP/P4BB1/3R2K1 b - -,c7c6
r2B2k1/nrP2pbp/3R2p1/2p5/P7/5N1P/1P3PP1/R5K1 w - -,a1e1
r2q1rk1/4bppp/pn1pb3/1p2p1Pn/4P3/1NN1BP2/PPPQ3P/2KR1BR1 w - -,c3d5
rn1q1rk1/pp2bppp/2p1pnN1/3p4/2PP4/2N1PPP1/PP2B2P/R1BQK2R b KQ -,h7g6
8/p2n1pk1/4p3/4P3/1p4pp/q7/P1R2PPP/1B2R1K1 b - -,a3a5
r1bq1rk1/pppp2pp/2n1pn2/5p2/1bPP4/2N2NP1/PP2PPBP/R1BQK2R w KQ -,e1g1
8/5p2/2k3p1/1pr4p/3R3P/5PK1/P7/8 b - -,c5f5
1rbq1rk1/5ppp/2np4/pp1Np1b1/4P3/P1P5/1PN1BPPP/R2Q1RK1 b - -,g7g6
r1bqk2r/pp1nbpp1/2p1p2p/8/2pPP3/2NB1N2/PP3PPP/R2Q1RK1 w kq -,d3c4
r4rk1/pbq1bpp1/1pn1p2p/2pnN3/2N5/2PP2P1/PP2QPBP/R1B1R1K1 b - -,c6e5
r2q1rk1/1b2bppp/p3pn2/1p2R3/3N4/2NB4/PPP1QPPP/3R2K1 b - -,d8c7
2k5/8/4P3/p3P3/1p1B4/1Pn5/K7/8 w - -,d4c3
8/8/8/4kp2/8/3K4/8/8 w - -,d3e3
