8/8/3r4/5p1p/2k4P/3p4/3Q1PPK/8 b - -,d6d4
1r2r1kb/3n3p/b1pq1ppB/2p1pPP1/4P3/PpQP1N1P/1P2N3/1K1R1R2 w - -,f1g1
1r3q2/2pbnp1k/1b1p1prp/pp1PpN1Q/4P1NP/P1P3P1/1P3P2/R2BRK2 b - -,e7g8
r2qr1k1/3n1pb1/2pp1n1p/p3pbp1/2PP4/2N1P1B1/P2NBPPP/R2Q1RK1 w - -,e2f3
6k1/pp6/8/2Pr2p1/4P2p/1P1N3P/P3n1PK/3R4 b - -,d5d7
r3kb1r/pp1n1ppp/2p1pn2/3q1b2/3P1B2/5N2/PPP1BPPP/RN1QR1K1 b kq -,d5e4
2k5/2p5/p7/2R4P/4P3/4KP2/r1p2P2/8 b - -,a2a5
8/7p/4K1pk/1p2P3/3Q4/1q5P/8/8 w - -,e6d6
rq3rk1/2bb1pp1/3p1n1p/p2Pp3/PpN1Pn2/1N3P2/2PQ1BPP/R3RBK1 b - -,f6e8
rn1qk2r/pb2ppbp/3p2p1/1p1pP3/3P1PP1/4B2P/PPP3B1/R2QK1NR b KQkq f3,b8d7
6k1/R7/P5N1/5n1p/8/7P/r5P1/6K1 b - -,h5h4
8/5ppp/3kp3/1B6/1p1b4/1P6/5PPP/5K2 w - -,f1e2
rnb2rk1/ppp1qpp1/4p2p/3p4/2PP4/2n1PN2/PPQ2PPP/R3KB1R w KQ -,c2c3:b2c3
r1b2rk1/pp1n2p1/2n1pq1p/3p4/3P4/3B1NN1/PP1Q1PPP/R4RK1 b - -,e6e5
3r4/2p2pk1/8/2p3pp/1n6/1N1BP2P/5PP1/2R3K1 b - -,b4d3
8/2k5/2P5/1K6/8/8/2P5/8 w - -,b5c5
2kr3r/1p4b1/q1p1pp2/1P1n3p/1P1P3P/1Q2BN2/5PP1/R4RK1 b - -,a6b5
3B4/1b1n4/1p4k1/2p3p1/2P1p1P1/PK2P3/2B5/8 w - -,c2d1
2rr1bk1/pb2qpp1/1pn1p2p/2p5/6QP/P1BP1NP1/1P2PPB1/2R1R1K1 b - -,b6b5
8/8/p3k1p1/1P3p1p/1R2PP1P/1P2KP2/8/3r4 b - -,a6b5
rn1qk2r/ppp2ppp/1n2p3/4Pb2/2PP4/P1b5/1P2B1PP/R1BQK1NR w KQkq -,b2c3
8/p6k/2R4p/1P3N1P/2P2b2/8/2r5/6K1 w - -,g1f1
3r4/1pR1k1p1/4p3/1P1pP1KB/3n4/8/8/8 b - -,d8d7
1r2k2b/1p4n1/p4NpB/2p1rp2/P1B3P1/2P4P/5P2/3R2K1 b - -,e8e7
r2r2k1/p3bp2/1n5p/6p1/2p1p3/1P4PP/P2BPPK1/R2RN3 w - -,b3c4
2r2rk1/ppq2pbp/4p1p1/2n2n2/1NP5/P4b1P/1P2BPP1/1RBQ1RK1 w - -,e2f3
r1b1k1nr/pp2q1pp/2nb1p2/2p1pP2/3pP1P1/3P1N2/PPP1Q2P/R1BNKB1R b KQkq -,c8d7
2b3k1/1p2pp2/1P1p4/N2P2pp/4P3/p3KPP1/Pb1B4/8 w - -,e3f2
r1bq1rk1/ppp2ppp/1b1p1nn1/4p3/B1N1P3/2PP1N2/PP3PPP/R1BQ1RK1 w - -,h2h3
3qn1k1/1p2rpbp/p2p2p1/2pPnP2/P1P5/1P4QP/2BB1NP1/5R1K w - -,f2e4
r4rk1/pp2n1pp/2nqpp2/3pP2b/3P1P2/2NB1N2/PP1Q2PP/R4RK1 b - -,d6d8
r2q1rk1/2nbbpnp/p2p2pB/1ppPp3/2P1P1P1/PP1B1N1P/2Q1KP2/3N2RR b - -,a6a5
2rrn1k1/pq3ppp/1p6/2ppQ1P1/2P2B2/1P1R4/P4P1P/R5K1 w - -,d3d5
8/5K2/1Pk5/B7/8/7p/4p2P/8 w - -,f7f6
r4r1k/4p1bp/2Nn2p1/5p2/P2P1B2/7P/3R1PP1/4R1K1 b - -,a8a4
2r4r/p2k1p2/2n1q3/4B2p/8/1N3Q2/PP4PP/4RRK1 b - -,c6e5
8/2R5/2p2kp1/7p/2r4P/5KP1/8/8 w - -,c7c8
1R5B/8/7P/3p4/1kp3B1/2nb4/1pr2P2/6K1 b - -,c3b5
6k1/3q1p2/1b2pQp1/4P2p/5P2/8/6PK/1R6 b - -,b6a7
6k1/1pnrqpp1/2p1pnp1/r1P3N1/p2P4/P6Q/BP3PPP/3RR1K1 b - -,e7d8
2R5/8/2p5/2p2k2/1r1b2p1/6P1/P1R4P/4K3 w - -,c8c6
rnb2rk1/ppp1qpp1/4p2p/3p4/2PP4/2N1P3/PPQ2PPP/R3KB1R b KQ -,c7c6
2r3k1/rqpn1ppp/p2b1n2/1pN1p3/1P1P4/2N1P1P1/P2BQP1P/R1R3K1 b - -,b7a8
2r5/p2q1p1k/4b1p1/3pP2p/3N1Q1P/P7/1r3PP1/2R1R1K1 w - -,d4e6
6k1/R5p1/5p1p/1pr1p2b/4P3/1RP1K2P/2PB2P1/5r2 w - -,c3c4
r4bk1/2B1rp1p/1p1P2p1/pP6/2R5/4P3/5PPP/R5K1 b - -,e7d7
5rk1/pp1bq2p/4p3/1P1pp3/P2N4/2rP4/4QPPP/R3R2K w - -,e2e5
8/7p/p7/3P1k2/2PB1b2/4p2P/P5K1/8 w - -,g2f3
3Q4/6k1/1r3p2/4pK2/4P3/p7/P7/8 b - -,b6b2
rnbr2kb/ppq2p1p/5Pp1/2p3B1/P1B1p1PP/2P2P2/1P6/R1Q1K1NR w KQ -,g5f4
rnbqkb1r/pp1ppp1p/5np1/2pP4/4P3/2N5/PPP2PPP/R1BQKBNR b KQkq e3,d7d6
4R3/2kr1p2/1pp3p1/p1p4p/P6P/1P1P1KP1/2P2P2/8 w - -,f3f4
r1b1rbk1/pp3ppp/2p5/q3n3/2P1N3/6P1/PPQB1PBP/4RRK1 b - -,a5d8
8/pp1Rrk2/2rR2pp/2P2p2/1P6/8/P4KPP/8 w - -,a2a3
5rk1/1b2q1pp/7r/1pP1Np1Q/p1p1nP2/P3P3/1PN3PP/2R2RK1 w - -,h5e2
3r2k1/1bq2pp1/pp2p2p/3rN3/P4P2/2P3QP/1P4PK/4RB2 w - -,e5g4
6k1/5p1p/4b1p1/3B4/r7/2r4P/P2R1PP1/3R2K1 b - -,e6d5
8/1k3p2/pnq1r1p1/1p4Q1/4p3/P3R3/1PP5/1K1R4 w - -,e3c3
r1bq1rk1/p2pp1bp/2p3pn/4P3/3P1p2/2N2N2/PP3PPP/R1BQR1K1 b - -,d7d6
8/p4p2/4pk2/R4p1p/p4P1P/5KP1/Pr6/8 w - -,a5a4
2kn1b1r/3q1pp1/p4n2/1pp3Np/5P2/2PP2PP/P3QB1K/R4R2 b - -,f8e7
r1bqk1nr/pp2ppb1/2np2p1/2p4p/2P1P3/2N3PP/PP1PNPB1/R1BQK2R b KQkq -,g8f6
4rbk1/1pqb1ppp/p5n1/3p1N2/3B4/2PB3P/PP1Q1PP1/4R1K1 w - -,f5e3
2r1nr1k/3q2p1/1pp1RbQp/p6N/3P1B2/P1P4P/5P2/4R1K1 w - -,h5f6
r3kb1r/pp3ppp/n1p3b1/q2p4/3PnB2/P1NBP3/1PQ2PPP/1R2K1NR w Kkq -,g1e2
2r2rk1/pp1b1np1/4pq1p/3p3P/1n1P4/4BN2/PP3PP1/RB1Q1K1R w - -,a2a3
2rr2k1/3Rp2p/Q1p3pb/1p6/1P2N3/P4pP1/2P2P1P/6K1 w - -,h2h4
2rr2k1/ppq1bppp/2p1pn2/3n3b/1P1P4/1QB2NPP/P2NPPB1/R2R2K1 w - -,a2a3
1krr4/3q1p2/Q1p1p1p1/2P1P2p/3P1P2/P6P/5BP1/2R3K1 b - -,d7a7
r4rk1/p3bppp/b1p1p1n1/q3P3/2N2P2/1P3NP1/P1P1Q1KP/R1B2R2 b - -,a5c3
4r3/p4pk1/1p2p1p1/6Pp/2PR1P2/1P1Rr2P/P7/6K1 b - -,e3e2
r2r2k1/2pq1pp1/p3n3/1p1pPp2/8/1NP1Q3/PP3PPP/3RR1K1 w - -,e3h3
1rb1k1nr/p1p2ppp/2pb2q1/4p3/2P5/2BPP1P1/P4P1P/RN1QK1NR b KQk -,f7f6
rn1qkb1r/pp3ppp/2bp1n2/4p3/4P3/2N2N1P/PPP2PP1/R1BQKB1R w KQkq -,f1c4
r1bqr1k1/1p3pbp/p1p1nnp1/2Pp4/PP1N4/2N1P1P1/5PBP/1RBQ1RK1 w - -,c3e2
r1b3k1/p7/3n1bp1/1p1p1p2/1Pp5/R4NP1/P3PP2/1RB1K3 b - -,c8b7
8/4p3/3p1nkp/B1pP2p1/4P3/8/1P2K1P1/8 w - -,e2f3
3r1rk1/1b2bp2/pqp1p1p1/1p1nP2p/3PN2P/5N2/PPQ2PP1/1BRR2K1 w - -,c2b3
r1b2r1k/4q1pp/2pp1n1n/p4p2/2P1pP2/PPB1P3/QN2BP1R/2K4R b - -,c6c5
8/3k4/p1n2p2/1p2p3/4P3/1PKPB3/P7/8 b - -,d7e6
8/R7/1bp3kp/p7/P1B5/1P6/6PK/3r4 w - -,a7e7
5rk1/1p4pp/p1b2n2/q2pb1B1/8/P1NB3P/1P3PP1/2RQ2K1 w - -,d3f5
8/3nk1p1/2p2pp1/2P1p3/1P5P/5N2/4KPP1/8 w - -,e2d3
r5k1/p4pp1/q1p1rn1p/3p1b2/3B4/P3P1P1/1P3PBP/2RQ1RK1 w - -,f1e1
1rq2bk1/4p3/2n1Nn1r/ppBp1pNp/3P1P2/1QP5/6PP/R3R1K1 b - -,a5a4
r1bqk2r/1p2bppp/p1n1p3/2pp4/4PP2/2NP1N2/PPP3PP/R1BQ1R1K b kq -,e8g8
2kr1b1r/ppp2ppp/4pnq1/6P1/1n1P1P2/NP6/PBPPB2P/R2QK2R b KQ -,f6d5
3r1r2/1p3pp1/p1p1bnkp/8/N3P1P1/4P2P/PPP3B1/R2R2K1 w - -,d1d4
r2qk2r/pp2bppp/2n1b3/2P5/8/2P2N2/P3BPPP/R1BQ1RK1 b kq -,e7c5:d8d1
4r3/pb1R1pp1/4p1k1/2p2n2/2P5/PP2PP1P/5KP1/2R5 b - -,e8b8
8/7p/4k1p1/1p2p3/4R2B/2b2P2/r5PP/5K2 b - -,b5b4
r1bq1rk1/1pp1ppbp/5np1/p7/1n1P1B2/1QN1PN2/PP2BPPP/R4RK1 b - -,c8e6
r5k1/1pq2pbp/p2p2p1/PbpP4/4r3/2PBB2P/RP3PP1/3Q1RK1 b - -,b5d3
2k2q1r/1b1r3p/p3R1p1/1p1p1p2/5B2/1pNPQ1N1/1PP2PPP/6K1 w - -,e3e5
8/p3kp2/1p2p1pp/2p1P3/2P1KPPP/1P6/P7/8 w - -,e4d3
r3r1k1/p1p2ppp/2p1p1n1/8/Q2P2n1/2PB2N1/PP3PPq/R1B1RK2 b - -,f7f5
3br1k1/5qn1/p2p2p1/PnpP1b1P/2N2P2/3Q1BB1/1P2N1K1/7R w - -,d3d2
r7/2k4p/2B3p1/2nP4/8/6PP/5K2/8 w - -,c6a8
4r3/1pp3bk/p6p/2q1pr2/5p2/2NQ4/PP4PP/R1B2R1K b - -,e5e4
4b3/3q3p/1Q1p4/2pPp1kP/p1P1Pp2/2P2B2/K5P1/8 w - -,b6b8
3rr2k/1ppB1bp1/p7/3P2qp/P1P1R3/2Q4P/1B4P1/5RK1 b - -,e8e4
8/5kb1/1p3p1p/p2p1p1K/P2P1N2/1P2P1P1/8/2N2b2 b - -,g7f8
5r1k/7q/2p2P1N/6P1/p1P3Q1/4b3/3p2K1/5R2 b - -,c6c5
4r1k1/3nrpbp/2p2pp1/p4P2/1q1P2P1/1P1Q1N2/2P1NKP1/4R2R b - -,d7b6
r2q1rk1/1bppbppp/p1n2n2/1p2p3/4P3/PBNP1N2/1PP2PPP/R1BQ1RK1 b - -,d7d6
r2qkb1r/pp2pp1p/2bp1p2/8/3QP3/2N2N2/PPP2PPP/R3K2R b KQkq -,h8g8:e7e6
r1R5/4nkpp/pp2b3/3p1p2/3Pp3/PNR1P1P1/1P2BPP1/6K1 b - -,e6c8
1r1q2k1/5pbp/pp1p2p1/3N1P2/P1Ppr3/7P/1P4P1/2RQ1RK1 b - -,d8g5
r5k1/6b1/8/8/p1pN1P1p/1bP1B3/7P/R5K1 w - -,e3c1
r1b4r/1p1n1nkp/2p2pp1/p3p3/Pq2P1P1/R1Q1BNNP/1PP2K2/3R4 b - -,b4c3
r7/p2n1qp1/1k1b1r2/NppP4/4R1Q1/4B3/4PP1p/R6K b - -,f6g6
2rr1bk1/pb1n1p1p/1pn1p1p1/8/2PPP3/P1BB1NP1/3NK2P/R3R3 b - -,f8g7
2rr1k2/pp4bp/6p1/2N2p2/8/1PN1P3/4n1PP/3R1RK1 w - -,c3e2
r1bq2k1/pp2prbp/2p1n1p1/3pP3/P2P2P1/1BN3BP/1PP3Q1/2KR1R2 b - -,f7f1
8/7p/p3k3/1p2pp2/1P2P3/P1B2P1P/4K3/6b1 w - -,e2d3
2rq1rk1/p2nbppp/1pB1p3/2p5/2P5/2N1P1P1/PB1PQP1P/R4RK1 b - -,c8c6
r2q1rk1/1b1nbppp/p2p4/3Pp3/Pp6/1N2BP2/1PP1B1PP/R2Q1R1K w - -,c2c4
8/6k1/3R2p1/r2p3p/6P1/4KP2/8/8 w - -,g4h5
r1b2rk1/p3ppbp/1qp3p1/3pP3/3P2n1/5N2/PP1N1PPP/R1BQR1K1 b - -,f7f6
4r1k1/5ppp/1prbp1b1/p1p5/8/1PBP4/1PP1RPPP/4RNK1 w - -,f1e3
r3k2r/2q1bpp1/2bp1n1p/p3pPP1/1p5P/4B3/PPPQB3/1KNR2R1 b kq -,h6g5
8/2Pk4/3B4/3P3p/6p1/2bN2P1/p3KP1P/1r6 w - -,d3e5
8/5k2/5R2/5NP1/1p2K2P/4P3/3b4/6r1 b - -,f7e8
r1bq1rk1/1pp3bp/n2p2p1/p2Ppp1n/2P1P3/P1NBB3/1P2NPPP/R2Q1RK1 w - f6,e4f5
r1bqr1k1/1pp3pp/p2p1p2/2n5/2PQ4/4B1R1/PP3PPP/RN4K1 b - -,c5e4
2r5/2P2p1p/5kp1/p7/7P/1PR1K1P1/8/8 b - -,f6e7
r2q1rk1/pppn1pbp/2n1p1p1/4P3/3P4/2N1BB1P/PP3PP1/R2Q1RK1 w - -,c3e4
r1bq1rk1/p1p1bppp/1p6/3pP3/8/2PB4/P1P2PPP/1RBQ1RK1 w - -,d1h5
8/3Rbqpk/6p1/4p3/4Qn1N/3p1P2/7P/6K1 b - -,e7c5
2r1r1k1/1p1bqppp/5n2/p1bpn3/3N4/1P4PP/PB2PPB1/1QRR1NK1 w - -,f1e3
r2q1rk1/pb1nbppp/1p2pn2/2p3B1/3P4/2PB1NN1/PP2QPPP/R3R1K1 b - -,c5d4
8/2kp3p/PR4p1/1pK1R1P1/1Pb4P/3r4/8/8 w - -,b6b7
2k1br1r/ppq1b1p1/2n1pn1p/2ppP2P/3P2P1/P1PBBNK1/1PQN4/5R1R b - -,f6d7
4r1k1/6b1/2p1q3/3n1pp1/p1NP1p1p/P2R3P/1P3PPB/3Q3K b - -,e6e1
Qbk4r/5ppp/2p5/3qP3/8/5N1P/5PP1/R5K1 w - -,a1b1
5rk1/6pp/r1p1Pp2/2q1n3/1p3Q2/5N2/P4PPP/R4RK1 w - -,e6e7
R7/8/1p2k3/2p3BP/3p4/3b1K2/pr6/8 b - -,d3e2
r5k1/1b2qpp1/1p3n1p/p1bp1P2/3B4/2RPPNPP/5K2/Q4B2 w - -,a1c1
r3qrk1/1ppb1pbp/n2p1np1/p2Pp1B1/2P1P3/2N5/PP1NBPPP/R2Q1RK1 w - -,b2b3
8/8/3k4/4R1Kp/1r3P1P/8/8/8 w - -,e5e1
6r1/b2r1p2/2k1p3/p1p1PpPp/Np3P1P/1PpP4/P1P1K3/3R2R1 w - -,g1f1
r1b2rk1/pp3pbp/6p1/4n2q/7B/1Q2PN2/P3BPPP/R4RK1 w - -,h4g3
r4rk1/1p5p/p1n3p1/2pb2N1/P3pPB1/4B3/1bP3PP/R4R1K w - -,a1d1
3rr1k1/pp1nbpp1/1qp2n1p/4p3/4P1PP/1NP5/PP3PB1/R1BQ1RK1 w - -,c1e3
3b4/3k4/1p3p2/p4Pp1/n2K2P1/r1N1P3/8/1R2B3 w - -,e3e4
r1bqk2r/pp1n2pp/4p3/2Pn4/8/P1PBpP2/2Q1N1PP/R1B1K2R b KQkq -,d7c5
2r5/5pk1/p5p1/2BR3p/P7/2b3P1/5PKP/8 w - -,g2f3
1r6/3kb1pp/2R2p2/P7/P7/2B3P1/5P1P/6K1 w - -,c6b6
5r1k/4qn1p/1p2bp2/p3p3/Q6N/P5P1/1Pr1PPBP/2R3K1 w - -,a4c2
1r6/6k1/3p2p1/2qPp3/p1P1npNp/7P/P2Q2PK/2R5 w - -,d2c2
r1bq1rk1/p2n1ppp/5n2/2pp4/Nb6/4PN2/PP2BPPP/R1BQ1RK1 b - -,d8e7
2b1r1k1/2q1r2p/2p1p1p1/ppPnRp2/3P4/PP1B2P1/1B1Q1P1P/4R1K1 w - -,d2g5
r1b2rk1/pp3ppp/3ppn2/1q2n3/5B2/PN4P1/PQ2PPBP/R4RK1 w - -,a1c1
3q4/BP2bk2/n1Bp1n2/1N1PpQ1p/4P3/6P1/6K1/8 w - -,g2h3
1qrr1nk1/pb2b1pp/1p2pp2/2pP4/P3P1N1/1PQB4/1B3PPP/2R2RK1 w - -,d5e6
6k1/pp5p/3pp1p1/8/4P3/2Nn2P1/PP5P/7K w - -,b2b3
r3q2k/4r2p/ppnpP1p1/2pQ1pP1/2P2P2/P1N5/1P2B2P/2K3R1 w - -,e2f3
rn2r2k/pp2Npbp/2p3p1/8/4P3/2P5/RPBN2PP/4K2R w K -,e7g6
6k1/2b3p1/1p5p/p2P1p2/3Bp3/1P4P1/P3KP1P/8 w - -,e2e3
r1bq1r2/1pp2pkp/p1np1np1/4p3/3PP3/2N2P2/PPPQN1PP/R3KB1R w KQ -,e1c1
8/1pp5/1pp5/3nN1pk/8/2P3rP/PPK4R/8 b - -,d5f4
r5k1/pp3p1p/2p1bbpB/8/2PrB3/1P6/P4PPP/1R2R1K1 b - -,a8d8
r2q1rk1/1b1n1ppp/pp2pb2/3n4/1PN5/1Q4P1/PB2PPBP/RN1R2K1 b - -,f6b2
k1r5/pQ1n1pp1/3Bp2p/Prp1P2P/5P2/R7/1P4P1/1KR5 b - -,a8b7
8/1r2n1p1/p3k3/1PR1pp1P/P3p3/2B1P2P/4KP2/8 b - -,e7d5
3R4/1R4k1/p1r5/6p1/3p4/8/b4PK1/8 b - -,g7g6
k7/1p6/pR1rp2p/5n2/P4p2/5P1P/6K1/5N2 w - -,b6b4
2kr4/ppqn1pp1/2p1pb2/5Pp1/2PPQ3/4P2P/PP1B4/2KR1B2 b - -,e6e5
6k1/p6p/1p2p1p1/1P1pP3/P2P2P1/2n3N1/5K1P/8 b - -,c3a4
r1b2rk1/pq4bp/2p3p1/3p3n/4N3/4BB1P/1PP2PP1/R2Q1RK1 w - -,e4d6
2kr3r/1bpqbpp1/1p1p1n1p/p2N4/P3P3/1P1Q1N1P/1BP2PP1/2KR3R b - -,h8e8
r1bq2k1/1p2n1b1/pQ1p2r1/3Pp1pp/P3Pp2/5P2/1P2BBPP/R3NRK1 b - -,d8f8
r4rk1/pp2ppbp/n1p1q1p1/7n/2N1P3/6P1/PPP1QPBP/R1B2RK1 b - -,f8d8
r2r2k1/1pp2ppp/1pNqbn2/8/2P5/1P3PP1/PB4BP/R2Q1RK1 b - -,d6c6
1b3r2/pp1q2k1/2p3p1/3p1p1p/3P4/2PB1QP1/PP3P1P/3R1K2 w - -,h2h3
r2r2k1/p2n1p1p/1p4pP/2pPb3/2P3P1/1P1BBP2/P3R3/2K4R b - -,d8e8
1rb2rk1/2q3pp/3pp3/p1p2p2/2Pb1P2/P1N3P1/1PR1Q1BP/1K1R4 b - -,d4c3
8/4Q1pk/p1p1R1q1/Pp1r1p2/5Pp1/2PP4/6P1/5NK1 b - -,g6h5
5r2/8/8/R2bk3/8/6K1/8/8 w - -,a5a4
r2q1rk1/pp1n1ppp/2pb1n2/4p3/2P1P1b1/1P3NP1/PB1N1PBP/R2Q1RK1 w - -,h2h3
8/2p2n2/2p5/2Pk1P1p/1P5P/2B1K3/8/8 w - -,e3f4
rn1qk2r/ppp1ppbp/3p1np1/3P4/2P3b1/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,e8g8
2b5/5pk1/2N2q1r/3Pp2p/2pnP1pP/4P1Q1/1P4P1/R4BK1 b - -,d4c6
r2b1rk1/p7/3pb2p/PPpNp1pq/2P1Pp2/3Q4/3N1PPP/R4RK1 w - -,b5b6
1rbq1rk1/2p2pp1/2np1n1p/ppb1p3/4PP2/P1NP2PP/1PP1N1BK/R1BQ1R2 w - -,c3d5
r3r1k1/1ppbqpp1/2np3p/p1n5/2P1PP1P/P1BBR1P1/1PQ2K1N/4R3 w - -,e4e5
r4rk1/pp2nppp/2p1bn2/8/4q3/1BP1BN2/P1P3PP/R3QR1K w - -,f3g5
3k4/3b4/BP2p3/2p1Pp2/4pPp1/2K3P1/6P1/8 b - -,d7c6
7r/6k1/4p1p1/7p/8/2R5/r4PPP/4R1K1 w - -,h2h4
rn1qk1nr/1bp1ppbp/pp1p2p1/8/3PP3/2N1BN2/PPPQ1PPP/R3KB1R w KQkq -,h2h3
1r2rbk1/1p3p2/p1bp2pp/P1p2P2/4P1P1/2B2B1P/1PP5/3RR1K1 b - -,b8d8
8/8/1r3p2/2Nk2p1/7P/1P1KB3/7P/8 b - -,g5h4
r2qr1k1/p2b1pp1/1p5p/3P4/5n2/2N5/PP1RBP1P/3Q1KR1 w - -,e2g4
r1b1kb1r/1p3pp1/p1Npp2p/8/4n2q/2N5/PPPQ1PPP/2KR1B1R w kq -,c3e4
r1bq1rk1/ppp2p2/2n1pb1p/6p1/3P2P1/2PBBN2/PP1Q1P1P/2KR3R w - g6,h2h4
r6k/4rp1p/3N4/2B4p/1nP5/1Pb3P1/3R1PK1/7R w - -,c5d4
6k1/8/R5Kp/1p1pBp2/1P1P4/1Pr3P1/7P/5qn1 b - -,f1c1
8/5p2/pN3p1p/2k2P2/P1p1P1P1/4K3/7P/8 b - -,c5b6
rn1qkb1r/pb2pppp/1p1p1n2/8/2PN4/2N2P2/PP2P1PP/R1BQKB1R w KQkq -,e2e4
r4rk1/2q1bppp/pn1p1n2/4pP2/2b1P3/1NN1B3/1PP1B1PP/R2Q1RK1 w - -,g1h1
r4rk1/1p1nbppp/4p3/1p1pP2b/3P1P2/5NP1/PP4BP/R1B2RK1 b - -,f8c8
r3r1k1/pppqbppp/2n2n2/2Pp4/3P2b1/2N1BN2/PP2BPPP/R2Q1RK1 w - -,f1e1
r2qr1k1/pp3pb1/2p1pnpn/3p3p/PPPP4/4PBP1/1BQN1P1P/2R2RK1 b - a3,a7a6
r2qk2r/pp3p2/1bppbn1p/4p1p1/B3P2B/2PP4/PPQN1PPP/R4RK1 w kq g6,h4g3
4rr1k/3q2bp/2npb1p1/p1p1P3/1p3P2/P1P1B3/1P1Q2BP/3NRR1K b - -,b4c3
1rb3k1/ppb1rp1p/6p1/2P1p3/1P2B3/P4N1P/5PP1/2R2RK1 w - -,b4b5
8/2k5/1p6/2q1p3/2Pn1p2/1P3P2/PK1Q4/3B4 w - -,d2d3
r1b2rk1/1pq2ppp/p2bp3/3n2B1/8/1NP4P/PPB2PP1/R2QR1K1 b - -,f7f6
r1bqk2r/ppp1npbp/3p1np1/3Pp1B1/2P1P3/3B4/PP3PPP/RN1QK1NR w KQkq -,h2h3
r1b1k2r/pppq2pp/2N1p3/1BbpP1B1/8/1P6/1PP2PPP/R2QK2R b KQkq -,b7c6
5rk1/pp4pp/1b3n2/3pq3/PP6/3QPBPP/5PK1/2R4R w - -,h1d1
2r1kb1r/5ppp/p1b1p3/4N3/2PRP3/4B3/1P3PPP/2R3K1 w k -,c1d1
6k1/5p1p/3p1npB/q2Pp3/4PrPQ/2r1R2P/1p3PK1/1B1R4 b - -,c3c1
r1nq1r2/p1p3p1/1p2P1kp/4Pp2/1Q5N/8/PP3PPP/R4RK1 b - -,g6h5
8/p3qk1p/5r1b/3p1R2/1ppP3P/2P1PQ2/PP1N4/7K b - -,f6f5
r2qr1k1/p4p1p/1p2nbp1/4N3/2pPR3/P5P1/1PQ2PBP/3R2K1 b - -,a8c8
8/7K/2R1kb1P/8/8/8/8/6r1 b - -,e6f7
3rk3/1p3pp1/p1p5/P2p4/3PPnq1/BP2N1br/2P3Q1/R2R2K1 b - -,g4h5
r2q1rk1/p2bbppp/2pp1n2/2p5/2P2P2/1P1P1N2/P5PP/RNBQ1RK1 w - -,c1b2
r2q1rk1/pp3pbp/6p1/3R4/4Q3/4P2P/PP3PP1/R1B3K1 b - -,d8b6
5r2/7p/1R3pk1/8/1pr5/6P1/P4R1P/6K1 b - -,h7h5
3r2k1/5pp1/R2n2bp/3B4/1P6/P2P2P1/1BrN1P1P/6K1 w - -,d2c4
5k2/5ppp/pqn1b3/2pp4/8/3BPN1P/PP3PP1/2KR3R w - -,a2a3
r1bqkb1r/pp1pnppp/2n1p3/2p5/4P1P1/2NP4/PPP2PBP/R1BQK1NR b KQkq -,d7d5
1rr3k1/1q3ppp/3pb3/p2Np1b1/2B1P3/2P5/1PQ2PPP/1R2K2R w K -,c4a2
rb1q1r1k/p5pp/Qn2p2n/1N1p1p2/3P4/B3PN2/P4PPP/1R3RK1 b - -,f8e8
