8/8/8/7R/4k3/2p3BP/6P1/r6K w - -,h1h2
5rk1/p3np1p/2n1p1p1/3p4/3PP1P1/3qB1QP/Pr4B1/3R1RK1 b - -,d3a3
1rb1nk2/7p/p2p1bp1/2n5/8/BP4N1/P4PPP/3RR2K w - -,e1e2
1kb4r/1pb3q1/p1P5/P1N2p2/1P3np1/4Q1P1/4B3/1KR5 b - -,f4d5
2k5/1p3p2/p4P2/5p2/3N4/P1pK1P2/2P3br/6R1 w - -,d3c3
3b1r2/3P1pk1/1p4pp/1p3n2/P4Q2/2NR3P/2q3P1/5B1K w - -,a4b5
3rb1k1/p4q1p/3r4/3pRpQp/1P3N2/5P2/P5P1/2R3K1 b - -,g8h8
r1bq1rk1/p3n1bp/2pp1n2/1P3pN1/2P1p3/2N5/P3BPPP/R1BQR1K1 b - -,c6c5
8/4k3/3p4/3Pp3/1BK3n1/8/8/8 w - -,c4d3
r4rk1/pbp2pp1/1p5p/n3N3/3P4/P1n1B2P/2P1BPP1/R4RK1 w - -,e2d3
r1bqr1k1/pp3ppp/1bn2n2/1B1p2B1/8/1N1Q1N2/PPP2PPP/R4RK1 b - -,h7h6
r5k1/2q2ppp/p3pb2/1p6/2b5/P1P1BP2/1PN2QPP/3R2K1 b - -,a8d8
5rk1/7p/1p1p2p1/pPnP1p2/2Pq4/1P4R1/2B3PP/4Q2K b - -,f5f4
8/8/kp2R3/2bP4/r4pP1/3K1P2/PR6/8 w - -,e6e4
1b2Q3/1kq3p1/2N2p1p/3p4/3P4/P5P1/5PP1/5K2 w - -,e8b8
2k5/p1p1np2/1p2pNpb/4P3/1PP2P2/P4KP1/5B2/8 w - -,f6e4
r1b2rk1/1pq2n1p/p1p1p3/2PpPpp1/N4P2/4P1P1/PP1Q2BP/2R2RK1 w - -,a4b6
1r3rk1/3b2bp/p2p2p1/1pqPpp2/1BP5/P2P2PP/4QPBK/1R3R2 b - -,c5b6
8/8/2pbppkp/3p2P1/1P1P4/2PbB1P1/r2N1P2/2R3K1 b - -,h6g5
8/pp5p/3k2p1/2pn1p2/3K4/1PP2PP1/P1B4P/8 w - -,d4d3
2r2rk1/1p2b2p/pq1p1np1/3P1p2/3QpP2/1NN3P1/PPP4P/2R1R2K b - -,f6d7
r1b1r1k1/ppq3bp/1n1p2p1/2pPp3/2P1Pp2/1P4P1/PB1N1PBP/R2Q1RK1 w - -,g3f4
2rq1rk1/pp3pbp/2n3p1/1PP1P3/3p4/2N1B3/P4PPP/R2Q1RK1 b - -,d4e3
2rr2k1/5p1p/1q2b1p1/p5Q1/P4BP1/2R4P/5PB1/5RK1 b - -,c8c3
8/3nbkB1/8/5BP1/4K2P/8/8/8 w - -,g7d4
8/8/3k4/5p1R/8/5KP1/8/r7 w - -,h5f5
R7/5pk1/4p1p1/2K1P2p/1P2P3/8/8/1r6 b - -,h5h4
1rbqnrk1/1p4bp/p1np2p1/2p1p1B1/P1P1N3/1P3NP1/4PPBP/2RQ1RK1 b - -,d8c7
r2q1rk1/1bpp2p1/np2pn1p/p4p2/1bPP1B2/1QN2NP1/PP2PPBP/2RR2K1 b - -,b4c3
2r2q2/1pr1p1b1/p2p2kp/P2P2pn/1BBp3P/1P1P1Q2/2P1R3/4R1K1 w - -,e2e6
2rqk2r/pp2bpp1/2npbn1p/4p3/4P3/2N1BN1P/PPPQBPP1/2KR3R b k -,d8a5
r1r3k1/2qn1p1p/p2p1np1/1p2p1N1/1P2P3/P1N5/1P2QPPP/3R1RK1 b - -,h7h6
1r1r2k1/5pp1/4p2p/8/1pNP4/pPn1P2P/2R2PP1/2R2K2 b - -,d8c8
2rq1rk1/1p1np1bp/p1npb1p1/5p2/1PP1PN2/5P2/P1NBB1PP/1R1Q1R1K b - -,e6f7
2rqb1k1/r3bp1p/pn2p1pB/1p1nP3/4B1N1/PP3N1Q/5PPP/3RR1K1 w - -,g4f6
3q1rk1/1ppb1p2/p2p2p1/3PrP1p/P7/1PQ3PP/2B2RK1/4R3 w - -,e1e5
2r1k2r/pp1bbp2/3ppp2/2q2P1p/2N1P3/P1NQ4/1PP3PP/R4R1K w k -,c4d2
6k1/p4r2/1p4r1/2pNb1pR/2Pnp3/1PB2PP1/5PK1/R7 b - -,e4f3
1Qbb4/2q2pk1/2P1p1p1/4P2p/5P2/6PP/6BK/1R6 w - -,b8c7
3r4/p4pk1/3q2pp/2p5/P1BPR3/1P2nPPP/4QK2/8 b - -,c5d4
5r1k/2Q3bp/pp4p1/3Np1qn/1PPPbp2/PR4P1/4PP1P/2B2RK1 w - -,d4e5
5rk1/7p/2b3p1/p1p5/3P4/P7/1B1RK1rP/R7 w - -,e2d1
6k1/p4pb1/2p1r1p1/q4r2/2Qp4/B5PP/PP3P2/2RR2K1 b - -,a5e5
r5k1/p1pn2pp/1p1ppr1q/5p2/1PPP1P2/2Q1PR2/P2N2PP/R5K1 b - -,c7c5
rn1qr1k1/pp1n1p1p/3p2p1/2p1bb2/2PNP3/1PN4P/P3BPP1/R1BQ1RK1 w - c6,d4f5
3K4/r5k1/2R1P3/8/8/8/8/8 b - -,g7f8
3rk2r/1pp1bpp1/p1n1q2p/4p3/1P2P3/PbB1RN1P/2NP1PP1/RQ4K1 b k -,b3a4
r1bqkb1r/pp2pppp/1np2n2/8/2p5/5NP1/PPQPPPBP/RNB2RK1 w kq -,b1a3:a2a4
8/p4n2/Pp4p1/1P4P1/2K1k3/8/5BP1/8 b - -,f7e5
2r5/3n1rbk/p2n2pp/q7/1R1B4/3N1P2/5QPP/1R3B1K b - -,d7f6
3q4/6k1/3p4/p1pBnQpP/4P1P1/1P5K/P7/8 b - -,d8e7
3r1rk1/p1q2pb1/1pb1p1pp/2p1N3/P1PP3Q/1P2P2P/2B3P1/3R1R1K b - -,g7e5
r1bq1rk1/ppp2ppp/2np1N2/2b1p3/2P5/5NP1/PP1PPPBP/R1BQ1RK1 b - -,d8f6
r3r1k1/4qp1p/2bp2p1/p1p1b3/PpP1P3/1P3BP1/2NRRP1P/3Q2K1 w - -,f3g2
2k4r/pp2b1p1/2b1p2p/2p1q2P/3P2P1/P2BB2R/1PQ5/5NK1 b - -,c5d4
rn1qkb1r/pbp2ppp/1p2pn2/3P4/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,e6d5
3q4/pp1r2kp/2ppnpp1/6r1/2P1P1P1/1PN1QP2/P3R1P1/4R1K1 b - -,h7h5
4r1k1/5bbp/pqPp1np1/1p3p2/1P3P2/2N3PP/PB1Q2BK/2R5 b - -,f6e4
1r4k1/4bppp/p1B2n2/8/1Pb1p3/P5P1/2P2PP1/2BRR1K1 w - -,c6e4
6k1/1Bp2pp1/1p2p2p/4Pn1q/3P2P1/2P2P1N/4Q1KP/2r5 b - -,h5g6
5r2/3r2bk/p3p2p/5p1P/P1N5/1B6/KPPN4/5R2 w - -,d2f3
8/B7/p4bk1/P2p3p/3P3P/6P1/5Q1K/3q4 b - -,d1d3
1r1rk3/pq6/2p1pQ2/2P1N1P1/1P6/P3n2P/6P1/2R3K1 w - -,f6e6
8/7p/8/2k1B3/2p3P1/K7/P2bp2P/8 w - -,e5g3
rn1qkb1r/4pppp/p4n2/3p1b2/Pp1P4/1Q2PN2/NP3PPP/R1B1KB1R b KQkq -,a6a5
r2qr1k1/1p2nppp/1pbp2n1/1Np5/4PP2/2PBBQ2/PP4PP/R4RK1 w - -,d3c4
8/8/2p5/1p2k1K1/1P6/P7/5P2/8 b - -,e5e6
r4r1k/p3q2p/2p3p1/4p3/2BpPp2/4b3/PPP1K1QP/R4R1N w - -,b2b3
4rrk1/1qpn1pbp/p4n2/1p2pPB1/4N3/8/PPPNQ1PP/R4R1K b - -,f6e4
r1b2rk1/p1q1b1p1/2p4p/n3pp2/4Nn2/2NP4/PPP2PPP/R1BQRBK1 w - f6,e4g3
r2q4/r1n2pk1/2p1pbp1/2Pp3p/PR1P1P1P/4B1P1/2B1QPK1/1R6 b - -,d8c8
1k3b1r/rp2p3/p1npBp2/6qp/4P2P/1N1Q4/PPP2PP1/R3K2R b KQ h3,g5g2
6k1/p3pp2/1pn3pB/2p5/8/2P4P/1P4P1/6K1 w - -,h6d2
r4rk1/3bq2p/2p3p1/p1PpPp2/1p1P1n2/3BP3/PP3QRP/2K3R1 w - -,f2f4
r6r/4RR2/6p1/2p5/p1B2Pbk/1P5P/3P3K/8 w - -,h3g4
3r1rk1/p3bppp/1n6/2p3P1/1p2NP2/7P/PPP5/2KR1BR1 w - -,d1e1
r1bqkb1r/pp2pp1p/1n4p1/3Pp3/8/1QN2N2/PP3PPP/R1B2RK1 b kq -,f8g7
7R/7P/7r/p3p3/P3k3/3p4/6K1/8 w - -,g2g3
rn1qk2r/pp2Bppp/2ppp3/3nP3/3P4/2N2Q1P/PPP2PP1/R3KB1R b KQkq -,d8e7
rnbqkb1r/1p3ppp/p3pn2/2p5/2B5/4PN2/PP1PQPPP/RNBR2K1 b kq -,b7b5
3b4/B1p5/3p1k2/1P1Pp2K/4P3/8/8/8 b - -,f6f7
r2r2k1/p7/p1p3Np/5p2/1Pn4P/2P1pPb1/4P1B1/2RR2K1 b - -,g8f7
rnbqkb1r/pp2pp1p/5np1/2p5/2Pp4/1P3NP1/PB1PPP1P/RN1QKB1R w KQkq -,b3b4
5rk1/6r1/1p1p4/p2P2q1/2PQPpp1/PP6/7R/5RK1 w - -,d4b6
r1bqk2r/pp1pnpbp/4p1p1/2p5/3nP3/2PPB1P1/PP2NPBP/R2QK1NR b KQkq -,d4e2
4r1k1/p3rpb1/2p3p1/5b2/2p1PB1p/2P4P/PP2R1P1/4RNK1 b - -,e7e4
7R/8/4p3/2K2p2/2p1rk2/2P4p/8/8 b - -,f4g3
r1bq1rk1/2p3bp/pn1p2p1/3Ppp1n/2B1P3/2N1BP2/PP1Q2PP/1KNR3R w - -,c4b3
Q2R1nkb/8/p3b1p1/2P1pp1p/1p2N2P/5P2/1q4P1/4KB1R b - -,f5e4
5k2/5p2/4p1pp/P1r5/R7/8/5PPP/5K2 b - -,c5c7
2kR3r/pp2ppb1/1q2b2p/2p3pB/1nP5/1NN1P1P1/PP3PP1/1Q2K2R b K -,h8d8
4rr1k/ppqb2pp/3bpn2/2Np1nN1/1P1P1P2/P2B4/6PP/R1BQ1R1K w - -,c1d2
3rk2B/pp3p2/1np1p1bp/q7/2p3P1/2NnbN1P/PP2RPB1/R5K1 w - -,e2e3
r1bqk1nr/pp3ppp/2nb4/2Pp4/8/5N2/PPPNBPPP/R1BQK2R b KQkq -,d6c5
r2r2k1/pbq1bpp1/2n1p2p/1pp1P3/5N1P/1PpP1NP1/P1P1QPB1/R3R1K1 b - -,a7a6
r5k1/2p1q1pp/3p2n1/p1nPpr2/P1P5/4B1RP/1P3PPN/R2Q2K1 b - -,c5a6
6r1/3b4/8/ppPk1P2/4p1P1/1PbpB3/P7/2K2RR1 w - -,f5f6
r3k2r/ppq2pp1/2p1pbp1/3n4/3P2P1/1QP4P/PP1B1PB1/R4RK1 b kq -,g6g5
rn1q1rk1/pp2ppbp/3p1np1/2pP1b2/2P4N/2N3P1/PP2PPBP/R1BQK2R b KQ -,f5d7
3r4/1pk1n2r/p2p3p/3Pp1b1/5pP1/2P2N1B/PPK2P1P/3RR3 w - -,h3f1
r1r3k1/5pp1/2pB2q1/ppP2nnp/P7/1N1Q4/1P3PPP/2R1R1K1 b - -,b5a4
4r3/7p/1p1k2p1/p1nppp2/P3q3/1P3Q2/5PPP/2RR2K1 w - -,f3h3
7R/8/8/8/6n1/3kr3/8/5K2 w - -,f1g2
7R/8/8/p2r4/P1pNk1n1/2K1n3/6P1/8 w - -,h8e8
2r1r1k1/5pp1/pq5p/1p5b/2pN1P2/P1Q1P2P/1P3RP1/4R1K1 b - -,f7f6
r1b2rk1/pp2bp2/4pp1p/4n3/4B3/2N5/PPP1NPPP/3R1RK1 w - -,g2g3
8/7p/4bpk1/1N2p3/1P2P3/2r2P2/4r1PP/R3R2K b - -,e2e1
6k1/1nr4p/pp2p1pq/3nN3/P2P4/5Q2/5R1P/6RK w - -,e5g4
r4rk1/n2q1pb1/1p4n1/p1p1P1Pp/P1Pp2b1/N2P1NB1/1P1Q2B1/4RRK1 w - -,f3h4
6r1/p5rp/1p2nk2/5p1p/bPPN4/4Pp1P/PR1R2BK/8 w - -,g2f3
r7/8/2k1p2p/2P1Bp1P/pr1PbPp1/R7/6P1/R5K1 w - -,a1a2
7r/3kbp2/4p1n1/p2pPp2/P2N1P2/1PP1BR1P/2K5/8 w - -,e3d2
3rrnk1/1b3qb1/1p1p1p1p/pPpP4/P4PPN/4B3/3Q1N2/1B1RR1K1 w - -,h4f5
8/2r2p2/5kp1/8/2pKP2P/R7/8/8 w - -,a3f3
1nr1Qb2/5p1k/pB1p3p/P2PpNp1/1P2P1P1/5PP1/6K1/2R5 b - -,c8e8
1r3rk1/p2bbpp1/1qp1p2p/2Np4/3P1P2/3B4/PPQ2PPP/1RR3K1 b - -,f8d8
2b1r1k1/5pp1/8/8/3p4/3P3P/nR1B2NK/8 b - -,a2c3
r3k3/ppp1pp1p/2n2br1/8/3N1P2/4B1P1/PPP1b2P/2KRR3 w q -,e1e2
5b2/3R1p1k/4Pppp/p6n/3N4/2r2NP1/r6P/5RK1 b - -,c3e3
r2q3r/3kbpp1/p1p1p1b1/1pPp2Pp/P2P3P/1P2PP2/8/R1BQKB1R w KQ -,b3b4
r1b2rk1/1p4qp/p3pppQ/4N2n/5nP1/2P2N2/PP3P1P/3RRBK1 w - -,h6g7
3b2k1/5p1p/2n3p1/1N2p3/P7/6P1/3B1P1P/6K1 w - -,b5d6
2kr3r/ppp1b1pp/2n2pb1/2q1p3/P1B1Q3/2PP1N1P/2P2PP1/R1B1R1K1 w - -,e4g4
rn1qk2r/pp3ppp/2pb1p2/3p4/3P4/2NQP3/PPP2PPP/R3K1NR w KQkq -,e3e4
2b1r1k1/1p3pbp/n1pB1np1/8/8/2N2NP1/3PPPBP/R5K1 w - -,d2d4
r2q1rk1/pp2bppp/1np5/8/3P1Bb1/1B3N2/PP3PPP/R2QR1K1 b - -,e7b4
6k1/4R3/1r5p/5p1P/5P2/6PK/8/8 w - -,e7e5
8/8/2k5/p5R1/P1r5/5K2/8/4B3 b - -,c4a4
r1bqk2r/ppp3b1/2nppnpp/5p2/3P1B1P/2N1PN2/PPPQ1PP1/2KR1B1R b kq -,e8g8
1k6/pp6/4b1p1/2p1b3/2PpP2p/3P3P/PP6/3K1BN1 b - -,g6g5
rnbqk2r/4ppbp/2pp1np1/pp2P1B1/3P4/P1N2N2/1PP1QPPP/R3KB1R b KQkq -,f6g4
r1bq1rk1/1p2bppp/p1npp3/4n1P1/3NP2P/2N1B3/PPP2P2/R2QKBR1 w Q -,f1e2
2kr3r/p2p1Npp/b1p1p3/2b1Pp2/q1P2P2/P5K1/1Pn1Q1PP/1RB2B1R b - -,c2d4
rnbq1rk1/pp2ppbp/5np1/2pp4/8/2PP1NP1/PP1NPPBP/R1BQ1RK1 b - -,b8c6
3r1r1Q/pp2qkp1/5nR1/3ppP2/2P1P3/8/PP4K1/7R w - -,g6g7
2rr2k1/pp3pp1/4bn1p/2q1p3/4P3/P1N1b1PP/1P3PB1/1QR1R1K1 w - -,e1e3
bn1qkb1r/5p1p/3p1np1/1ppP4/8/6PN/1P2PPBP/1NBQ1RK1 w k -,b1a3
1n1b1rk1/3q2pp/1p2p3/1p1pPp2/3P1N2/1R1QPNP1/7P/7K b - -,b8c6
rnb1k2r/pp1pppbp/5np1/q7/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 w kq -,e4e5
2rq1rk1/1p3pb1/3n2pp/2pP4/P3p3/2N3P1/1B3PKP/1R2QN2 b - -,f7f5
8/2k4p/p3p1p1/2p1Pp2/2P2P2/P5PP/2K1B2b/8 w - -,c2d3
r1bq1rk1/pppn2b1/3ppn1p/5pp1/3P4/1QP1PN1P/PP1NBPPB/R4RK1 b - -,d8e7
2rq1rk1/p1p2pp1/bp2pn1p/n2p4/2PP4/PP1BPN2/2QB1PPP/R2R2K1 b - -,c7c5
rnb1kb1r/pp4pp/2pp1nq1/8/P1NPp3/2N1B2P/1PP2PP1/R2QKB1R b KQkq a3,c8e6
8/6kp/2p4r/2b5/P4P2/pR6/6K1/1B6 w - -,b3g3
8/8/8/1p2kP2/1PP5/1K6/8/8 b - -,e5f5
r1b1R3/1p5k/p1p1p2p/P3n3/1b2N3/8/1P4PP/5R1K w - -,e4f6
3r4/2p5/3r2k1/1P6/2p5/2P2KP1/p1PB3R/3R4 w - -,h2h6
6kr/1pbr2p1/p1pnq3/4pp1P/1P2P2N/2PPB1R1/1P2QK2/7R w - -,e4f5
r2q1rk1/pb2bppp/1pN1pn2/2pp4/4P3/2NP2P1/PPP1QPBP/R1B2RK1 b - -,b7c6
8/r2r2kp/5pp1/8/1p1bP3/1B1P1RP1/6KP/5R2 w - -,b3c4
2rq1r2/pp1b1kp1/4pB1p/bP1p4/3Q4/2PB4/5PPP/RN3RK1 b - -,g7f6
8/1Q6/p3rk2/8/P4K2/8/8/8 b - -,e6d6
6k1/5pp1/p3p2p/2brP1q1/4QR2/P1B5/1P4PP/3r1R1K w - -,f4f7
2rr2k1/pbq2pp1/1p2pn2/PBn5/3P4/2P2PP1/1B1N1Q2/R1R3K1 b - -,c5d7
8/3b4/4p2p/p1k1p1p1/2B1K3/PP3PP1/7P/8 b - -,c5d6
8/5p2/4bkpp/8/3R2P1/r5K1/5P2/3B4 w - -,f2f3
2q2r1k/pp4p1/3b2Pp/6r1/3p1P2/P3p1P1/QPP4K/R3NR2 b - -,g5h5
8/1kp3pp/1p3p2/8/P4R1P/4P1P1/3r1P2/1K6 w - -,h4h5
r1b4r/p3bk1p/2p2ppB/3p4/3P3P/5N2/PP3PP1/R3R1K1 w - -,a1c1
3rr1k1/1b1nqpp1/1ppbpn1p/p2p4/2PP4/1PNBPN1P/PB2QPP1/2RR2K1 w - a6,e3e4
8/2p2k2/2P1p1pp/1Brp1p2/R4PP1/1n5P/5PK1/8 w - -,a4a7
r3k2b/p1qb1p2/2n1p1p1/1p1pP3/2pP2p1/P1P1NN2/1PQ1BPP1/R3K3 w Qq -,e3g4
r7/P7/2K5/7p/6k1/R7/8/8 b - -,h5h4
6r1/6pR/2k2pP1/p1n1pP2/P2pP3/Q1pP1K2/1r6/4N3 w - -,a3a1
2b1k2r/2q2ppp/pr1bpn2/3p4/1P1Q4/P1N1PN2/2P2PPP/1R2KB1R b Kk -,e8g8
3rk2r/pp3ppp/2pq1n2/4nb2/P4B2/2N3P1/1P2PP1P/R1Q1KB1R w KQk -,f1g2
r2r2k1/ppp1qp1p/2n2np1/3p4/3P4/P1NBPP2/1PQ2P1P/R4R1K b - -,f6h5
8/6k1/4R3/p6p/5P2/2b3K1/5P2/8 w - -,g3h4
6n1/1bq1pk2/4r1pp/p2p4/Pp1P2P1/2P3N1/2PQ1PP1/R4RK1 b - -,b4c3
3r4/1kp1pp1p/2p5/8/2P3b1/BP6/P5rP/2K1R1R1 b - -,g2a2
8/5R2/2k3p1/1p2pbb1/pB6/P1KP1P2/8/8 b - -,g5d8
r5r1/2p4k/1p3p1p/pP1PpP1P/2P5/q7/3Q3K/4R1R1 w - -,g1g6
6rb/1b1pkp2/p3pn2/1p2n3/4P3/P1NB4/1PPR2PP/2K4R b - -,b7c6
r2qk2r/1b1nbppp/p3pn2/2P5/Pp2P3/3B1N2/1P2QPPP/RNBR2K1 b kq -,e8g8
6r1/8/p2Rpk2/1p2rp2/1P2p2P/P1P3P1/6K1/5R2 w - -,h4h5
5rk1/p3q1b1/2pp2rp/4pb2/2p1Np2/1NPP1Q1P/PP3PP1/R3RK2 w - -,d3c4
r2qk2r/ppp2ppp/2n2n2/3p4/1b4b1/4PN2/PBPP1PPP/RN1QKB1R w KQkq -,f1e2
r5k1/3np2p/1n1p2p1/2pP1P2/8/1PB2N1P/5PP1/2R3K1 b - -,g6f5
8/6p1/3pk3/4p1p1/4P1Pp/5r1P/R7/4K3 b - -,f3h3
8/1R1k1pb1/3p4/2pP2Bp/r5pP/6P1/4PP2/6K1 b - -,d7e8
r1bq3r/1pn2pbk/p2p1npp/2pPp3/P1P1P1P1/2NBBN1P/1P1Q1P2/R3K2R w KQ -,a4a5
rn1q1rk1/pbp2ppp/1p1ppn2/6B1/2PP4/P1Q5/1P1NPPPP/R3KB1R b KQ -,b8d7:c7c5:h7h6
2rqr3/p3p1kp/3p1pp1/1Q2n3/4P3/1P3P2/P1P1N1PP/1K1R3R b - -,e5c4
