8/1p1R3P/6R1/p3p1p1/1r2k3/K1n5/8/8 b - -,c3b5
1r4k1/nq2ppb1/3p1npp/2r5/1p1N4/1P1NP2b/PB1Q1PP1/1BRR2K1 w - -,f2f3
2k1r3/2p3p1/1p3p2/pPb5/3pP2p/6P1/P5KN/R1B5 w - -,g3h4
r1bq1rk1/1p2ppbp/p1np1np1/8/4P3/1NN5/PPP2PPP/R1BQRBK1 b - -,b7b5
6k1/4bppp/1q2p3/1N1p4/3P1B2/1n2P2P/4QPP1/2R3K1 b - -,b3c1
8/4k3/4p3/R3N3/6K1/8/5r2/8 b - -,f2f5
1r2r1k1/2bn2pp/2p1n3/p1P1p3/2BPp3/7P/1P4PB/R2RN1K1 w - -,d4d5
r1b3k1/pp4p1/3r4/5nN1/5P1p/2PQ4/q5PP/3R1RK1 w - -,d3e4
r1q1r1k1/ppp2ppp/5n2/3Pp1N1/2n5/B1P3P1/P1Q1PP1P/3R1RK1 w - -,a3c1
r1b2rk1/p1p2ppp/np5q/3Pp3/1PP1PP2/2N5/P2Q2BP/1R3RK1 w - -,f1f2
8/3b1k2/1p4R1/p1r2P2/1K1N4/8/8/8 w - -,b4b3
r3k2r/pq2b3/1pp5/2Nbp1Bp/6nP/P1N3Q1/1PP3P1/2KR1B1R b kq -,e7c5
r1b2r1k/1pp2pbp/p2q2p1/P2p3n/1P1P4/2PB1P2/2N3PP/R2QRN1K b - b3,h5f4
6k1/p4p2/1p4p1/1P1Q3p/4PP1P/6P1/1q3K2/8 w - -,f2f3
rqr3k1/1b1n1ppp/p3pn2/1p6/3NP3/P1N4P/1PB1QPP1/R1b1R2K w - -,a1c1
4Rbk1/6p1/2p4p/2p3r1/2N2n1K/1PP5/7P/2B5 b - -,f4g6
r5k1/1b3n1p/3q4/pP1Pn1p1/R2QPp2/5P2/4B1PP/3R2K1 b - -,g5g4
8/8/4R3/8/1P3k2/7p/1r6/7K b - -,b2b4
2r2k2/3R1p2/8/pp6/P1bP1P1P/3BP3/5r2/2RK4 b - -,c4b3
8/6kp/8/R2B4/4K2P/p1r2P2/8/8 b - -,c3c2
6k1/p4ppp/1p2p3/4P3/r3bNP1/2B4P/1P3K2/8 w - -,f4e2
rq3rk1/1p3ppp/2p1pnb1/p7/PbBPP3/1QN1BP2/1P4PP/R2R2K1 w - -,a1c1
5nk1/1q6/1p2r3/p2pPpp1/P2Pn3/1PPQ4/4N1K1/4B1R1 b - -,e6h6
r4rk1/pp1n2pp/8/3p4/1p1N3P/3P2P1/P4P1K/R4R2 b - -,d7e5
8/2pn4/p2r2pp/2kPpp2/1pP4P/1P1B1P2/1P2K1P1/3R4 b - -,d7f6
2b1rr1k/2q1b1pp/p2p4/1p6/2nBPNn1/P1N3Q1/1PP3BP/4R1RK b - -,c7d8
6k1/5ppp/2n2b2/p1Bp4/3P1P2/3NK3/6PP/8 b - -,g7g5
8/8/r3k3/p1R1pp2/P3p1p1/1PN5/3K1P2/8 b - -,a6d6
r1bqr1k1/pp1nbppp/2p2n2/3p2B1/3P4/2NBPP2/PPQ1N1PP/R3K2R b KQ -,c6c5
r1b1r1k1/pp2qp1p/2p3p1/3n4/P2Pp3/BP2P1P1/2QN1PP1/R3R1K1 b - -,e7e6
8/R7/8/5pk1/3p2rp/P2P4/1PP4K/8 b - -,g5f6
8/R4p2/1p1b1k2/1P3p1p/8/5P2/P6P/6K1 w - -,a2a4
4r1k1/p3q1np/6p1/1P1nBp2/5P2/6N1/7P/Q1R4K w - -,a1a2
r5k1/ppqb2p1/2p3pp/3n4/3B4/1QP3NP/PP3PP1/R3r1K1 w - -,a1e1
8/5p2/8/1p4p1/B3Pk1p/3p1P1P/b4KP1/8 w - -,a4b5
3q1r1k/3n2pp/3p4/1p1B1P2/1P1QP2P/2p1R3/2P5/2K5 w - -,e3c3
r3r1k1/1pqb1ppp/1p1b4/2p5/4PP2/P1B3P1/1PQ3BP/R4RK1 b - -,c5c4
1r4k1/2p2qpp/p1R2p2/3P4/4Q1P1/2B2P1b/PN5P/6K1 b - -,h7h5
3r2k1/7p/Q1P1ppn1/4p1p1/1q4P1/3N4/2R1B3/3K4 w - -,c6c7
r1b2rk1/2qp1p1p/p1n1pn2/6p1/Nb2P3/1N2BP2/1PP1B1PP/R2Q1RK1 w - g6,a4b6
r4bk1/2R2p1p/4p1p1/p4r2/8/3RN1BP/6PK/8 b - -,f5g5
3r1rk1/1pp4n/p1b4B/4bp2/8/2P3NP/PP3PP1/R3R1K1 b - -,e5g7
r4rk1/1p2qpp1/p1np1n1p/b3p3/4P3/PBN1BQ2/1PP2PPP/3RR1K1 w - -,c3d5
5rk1/3q1rp1/4p2p/3pPp2/b1pP2PP/1pQ4N/1RPK4/5R2 w - -,g4g5
8/4p3/4kR2/3p3p/7P/KQ3P2/P4q2/8 b - -,e7f6
r1b1k2r/pp1n2pp/2np2q1/8/3P4/2P2N2/PPQ2PPP/R1B2RK1 w kq -,f1e1
r1bq1rk1/pp2bppp/3pp3/n2nP3/2BP4/1P3N2/P3QPPP/RNBR2K1 b - -,c8d7
5r2/1pp1r2k/3p3p/1N1PpbnP/2P5/5P2/PP2B3/R3K1R1 b Q -,f5c8
r5rk/1b5p/1pp1pN2/3pPpq1/P2P2pn/1P2P3/3RBP1P/3Q2RK b - -,g8g6
r4rk1/1pp1nppp/p2pbqn1/8/3NP1PP/2N1QP2/PPP5/2KR1B1R w - -,h4h5
rq2r1k1/1p3pb1/2p1pnbp/p2p2p1/1nPP4/PPN1P1PP/1B2QP2/R2RNBK1 b - -,b4a6
2kr3r/ppq2p2/2pbpn1p/3pN1p1/1P1P1P2/2P1P3/P3Q1PP/R3BRK1 b - b3,f6e4
r2qk1nr/1ppb1pbp/p1np2p1/4P3/B3P3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,d6e5:c6e5
3q4/1bp1rpbk/1n1p2pp/1B1Pp2P/4P2N/4Q1N1/1P3PP1/R5K1 b - -,b7c8
R7/8/1kp2p1p/8/3pp3/1P3rP1/P3KP1P/8 w - -,a8h8
3r1rk1/1p2qppn/bN1p2np/3Pp3/P7/4B2P/1PB2PP1/2RQR1K1 b - -,e5e4
2r1r1k1/1bqn1ppp/p2b1n2/4p3/N1PB4/5NP1/2Q1PPBP/2RR2K1 w - -,d4e3
2r2rk1/1bpnq1bn/pp1p2p1/3Ppp1P/P1N1P1B1/2N1B3/1PPQ1P2/R3K2R b KQ -,h7f6
5b2/r4k1p/2p2Pp1/1QP1B3/8/7P/p1R3PK/8 b - -,c6b5
r2q2k1/p5bp/2p1prp1/2Np4/3P4/2Q4P/PP3PP1/R4RK1 b - -,d8d6
r1b1k2r/p2pb1p1/2p1p3/2p1Pp1p/1q5P/1PNP1N2/PBPQKPn1/R6R w kq -,a1g1
2rr4/p2qnk1p/3pppp1/Pp6/4PP2/B1P1Q1P1/R5KP/3R4 b - -,d7c6
2r3k1/3q1p1p/1b2p1p1/1pp1P3/p2pPP2/1P1Q2PP/P1R5/2R2K2 b - -,g8g7
4k3/5p2/5P2/p1p3n1/Pb4R1/8/1r6/3R3K b - -,b2d2
3r1rk1/pp2ppbp/n1pp1np1/6q1/2PPP3/PPNQ4/4NPPP/R1B2RK1 b - -,g5g4
r1b2rk1/pp2bppp/2n5/1N2p3/8/P3P1B1/1P3PPP/3RKB1R b K -,f8d8
1k2r1r1/1P2n1q1/p2p1pn1/P1p1p2p/4P3/2N1BP1P/2P2Q1K/RR6 b - -,g7f7
r1rq2k1/4ppbp/pp1pb1p1/7n/1NP5/1P1QB1P1/P3PPBP/2R2RK1 w - -,g2a8
7K/8/5k1P/8/8/8/8/6r1 b - -,f6g6
6k1/3R1p2/4p2p/8/4P2p/5PK1/2r3P1/8 w - -,g3h3
1q1rn1k1/pp1rbpp1/2p1p1np/8/2PP1P2/1P4PP/PBQ1N1B1/3R1RK1 w - -,f4f5
1r4k1/p3ppb1/3p3p/2p1n3/5B2/2N3Pq/PP2Q2P/4RNK1 w - -,b2b3
2r5/5k2/p2R2p1/3P1p1p/3r3P/P5P1/7K/5R2 w - -,f1e1
r4r1k/2q1bppp/p2p1n2/1p1Pn3/3N4/4B1Q1/PPP1B1PP/3R1RK1 b - -,f8e8
rn1q1rk1/p1p1bppp/1p2pn2/3p4/Q1BP1B2/2N1PN2/PP3PPP/2R1K2R b K -,d5c4
r2qk2r/pb1nbppp/1p1ppn2/2p5/2PP4/1P1BPN2/PB3PPP/RN1Q1RK1 w kq -,b1c3
r1b1k2r/p4pbp/2pq1np1/3pp3/8/2P2NP1/PP2PPBP/R1BQR1K1 b kq -,c8f5
3r2nr/3k2pp/pB3p2/4n3/4Bp2/2P4P/PP3KP1/3R4 b - -,d7e7
rn1qkb1r/1bpp1ppp/4pn2/pp6/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq a6,c2c3
r2r1bk1/5p2/p5pp/2qPpN2/2p3Q1/pP6/2P2PPP/2RR2K1 w - -,f5e3
r1bq1rk1/p3ppbp/1pn2np1/3p2B1/2PP4/2N2N1P/PP2BPP1/R2Q1RK1 b - -,d5c4
4r1k1/pp1b3p/2p1pR2/3p4/3P4/3BP3/PPP3PP/6K1 b - -,g8g7
r2qkb1r/1p2ppp1/p1n2n1p/3p1b2/3P1B1P/2N1PN2/PP3PP1/R2QKB1R w KQkq -,f1d3
r3kbnr/1pp4p/p4pp1/5N2/2b1PB2/2N5/PP3PPP/2KR3R w - -,f5e3
r1bqnrk1/1pp1bppp/3p4/p1nPp3/2P1P3/2N1B2P/PPB2PP1/R2QK1NR w KQ -,g1f3
6k1/1b3p1p/1p1pqbp1/1N6/P2NPBn1/3P3P/1Q4P1/2r4K w - -,f4c1
8/5p2/6k1/1R6/1pr4P/6P1/5PK1/8 w - -,g2h3
2kr3r/ppp1qp2/2n1pn2/3p4/3P2Pb/1P2PB1R/PBPNQ1K1/R7 w - -,a1h1
8/5R2/1k1K2p1/7p/7P/5P2/8/6r1 b - -,b6b5
r5k1/5bpp/4q3/p7/3Pp1p1/2Q5/6BP/R5K1 w - -,a1a5
r6r/1k1q1p2/p1pb1R1p/3p2p1/1P1N4/2PQ2P1/P6P/4R1K1 w - -,f6d6
1r6/5b1k/1P1p3p/2pP1p2/4p3/1Q6/3q1PPP/R4BK1 b - -,d2d5
2brr3/p1q1ppkp/2p2bp1/3nN3/B7/B1P3QP/PP2RPP1/4R1K1 b - -,c8d7
3r1rk1/4qppp/pp6/2b5/1nN5/PQ3PP1/1P2PBKP/2R2R2 b - -,b4c6
r2q1rk1/ppp1npp1/2npb2p/4p3/2P1P3/1PP2NP1/P4PBP/R1BQ1RK1 w - -,c1e3
r3rnk1/1bp2pp1/1p1p1q1p/p7/P1PP4/2P1PB2/2QN2PP/4RRK1 b - -,b7f3
r2qr1k1/1b3ppp/3p1bn1/p1pP4/Pp2PP2/4BN1P/1PBQ2P1/1R2R1K1 w - -,e3f2
r1bqkb1r/1p2pp1p/p1n2np1/3p4/3P1B2/2NBP2P/PP3PP1/R2QK1NR b KQkq -,f8g7
1r1q3k/3bprbp/3p4/pp3p2/2PB1P2/PP4PP/3Q2BK/1R3R2 w - -,d4a7
r4n1k/3p3p/2q5/1p5P/5NQ1/1N2b3/PPP5/1K3R2 b - -,a8c8
4kr1r/1pq2p1p/p3p1p1/1PPpP1Pn/b2P4/P2B1R2/3B1Q1P/5RK1 b - -,a6b5
8/kpp1bp2/p1n1q1pR/1P1p1r2/3P1P2/P2QP1P1/3B2K1/2R5 b - -,a6b5
r1bqnrk1/5pbp/1pnp2p1/P3p3/1BP1P3/2N2N2/4BPPP/R2Q1RK1 w - -,d1d5
5r2/7k/pqpp2pb/1p6/4P3/PQ1B1n1P/1PP1K1n1/R2N3R w - -,c2c3
4rrb1/p2q3k/1n1p2pp/1ppP1p2/4PP2/PPQPN2B/7P/4RR1K b - -,d7g7
8/3k4/np2p2p/p2pPpp1/3b4/PP1KPPP1/1B5P/8 w - -,e3d4
1r1r4/1q2kp2/p1bp1n1p/1p2pPp1/4P1PP/P1N2B2/1PPQ1b2/3RR1K1 w - -,g1f2
3qnrk1/4rpp1/2p4p/p1Np1P2/1p1P4/3P1Q2/PP2R1PP/R5K1 w - -,e2e5
r2qkb1r/pp2pppp/2n5/6B1/3Pb3/5N2/PP3PPP/R2QKB1R w KQkq -,f1c4
1b1rk3/5p2/4PQp1/8/qP1p4/P2P2PP/3N3K/2B5 b - -,f7e6
1rbq1rk1/2n1ppbp/1n1p2p1/1ppP4/4P3/N1N1BP2/PP1QB1PP/1R3RK1 w - -,a3b5
3q3r/4rpk1/3p1bp1/pBnP3p/1pN1PR1P/4Q3/PP4P1/5RK1 b - -,f6e5
2rrb1nk/pq2b1pp/1p3p2/2nNp3/P1B1P3/1PP2NQ1/3B2PP/4RR1K b - -,e8g6
1r1q3k/pr1bRpbp/2p2np1/2Pp1P2/Pp1P4/1P3P1B/N1NQ3P/3R3K w - -,d2e1
7N/pp4k1/4Rp2/8/2P2P1r/7P/6PK/8 b - -,h4h8
8/R2b1kp1/6p1/4P3/2r4P/4K1P1/8/8 b - -,f7e6
r1bqk2r/pp2bppp/2nppn2/2p5/4P3/5N2/PPPP1PPP/RNBQRBK1 w kq -,c2c3
8/5k1p/1p1n2p1/pP1PbpB1/P2p4/3B3P/6K1/8 b - -,e5f6
1qr2rk1/1b2bppp/p3p3/B2P2P1/N2Q3P/1P3P2/2P5/2KR3R b - -,b7d5
2r2k2/P4p2/1B4p1/2p5/K4P2/3R1bP1/8/8 b - -,f3e4
rq1r2k1/5pp1/p3p1np/1p6/4P3/1BQ3N1/PP3PPP/2R3K1 w - -,g3h5
r3r1k1/pp1q1pbp/3p2p1/2pP4/4nB2/PQ3PPP/1P2P1B1/2R1R1K1 b - -,e4f6
4R3/8/1p1p4/8/2k2P2/p3pK2/7P/8 w - -,e8e3
8/6p1/6kp/3R4/4p2P/6P1/5PK1/4r3 w - -,d5e5
1r4k1/5pp1/1N6/2pPp1Pq/3nP3/r4P2/1R1Q2P1/1R4K1 w - -,b6c4
3rrnk1/p1q1nppp/1p2p3/2p1P1N1/4B1Q1/2P5/PP3PPP/R3R1K1 w - -,e1e3
r1bqkb1r/pp1npppp/3p1n2/1Bp5/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq -,e1g1:b1c3:e4e5
r1bq1rk1/ppp3bp/3p2n1/2PPpnp1/4N3/2N3B1/PP2BPPP/R2Q1RK1 b - -,g6f4
2r2qk1/1b6/4n1pp/P2p1p2/2p1nP2/8/P1Q2PPP/BBR1R1K1 w - -,c2b2
1rbq1rk1/pp2bppp/2n1pn2/2p5/2PpP3/3P1NP1/PP1N1PBP/R1BQR1K1 b - -,e6e5
2r1k2r/1p1bn1p1/p1n1p2p/2BpP3/P7/3B1N2/2PK1PPP/R6R w k -,h1b1
r1b2r1k/p4ppB/2qbp3/1p5n/4N3/1PP5/P1Q2PPP/2KR3R w - -,d1d6
4r1k1/1p2pp1p/3p1np1/3P3P/2PR1Q2/2q2B2/5PP1/r4RK1 w - -,f1a1
3r1k2/pb1r1p2/2p1p1pp/1pP1P3/1P1P2PP/4K3/P2R2B1/3R4 b - -,f8g7
2r1rk2/1p6/6p1/pQ6/4Nb1q/P2PpP1B/4R3/4RK2 b - -,h4h3
3q3k/ppr1nQp1/5p1p/8/3P4/1B5P/PP3PP1/4R1K1 w - -,d4d5
r1b2rk1/1p4bp/p1n1p3/2Pp3q/1P1P1pp1/PN6/3QBPPP/1RB2RK1 w - -,h2h3
8/8/1Kp3Q1/3q4/3k1p2/8/8/8 w - -,g6g1
8/4k3/p3p2p/5p2/2P4P/3n2N1/P5P1/6K1 w - -,g3h5
8/1p2r1k1/2q2p1p/P2R2p1/3QP1P1/7P/5PK1/8 b - -,g7g6
2k1r3/3n4/1p3n2/p1p1p2p/P1P1P2P/2P2PB1/3NK3/3R4 b - -,d7f8
4rk1r/1p2qpp1/2pb1n2/p5p1/P2PpP2/2B1P1PP/1PQ3B1/3RR1K1 w - -,c3a5
5r2/1r3kp1/3p1p2/1ppNn1p1/p3P1P1/P2P3P/1PP2R2/R5K1 w - -,d5e3
6k1/p1n2rb1/1p4pp/1Pp2p2/4p1P1/B3P3/b2N1P1P/2R2BK1 b - -,a2e6
rn2r1k1/pb2b1pp/1p2pp2/5N2/2Q5/8/PP3PPP/R1BN2K1 b - -,e7f8
rnbq1rk1/1pp1ppbp/3p1np1/p2P4/2P1P3/2N2NP1/PP3PBP/R1BQ1RK1 b - e3,c8g4
r2qr1k1/1b1n2bp/pp2p1p1/2ppNp2/2P1nP2/1P2P2Q/P1BPN1PP/B2R1RK1 w - f6,d2d4
2rr2k1/5ppp/p1n1p3/1pP3b1/3Pb3/4NP2/PB1RBKPP/3R4 b - -,e4d5
r2rb1k1/pp3pp1/1bp1pq1p/8/2QP1P2/P1N1P1P1/1P4BP/R4RK1 w - -,f1d1
r7/p1n2pk1/2p1p1pp/8/4N3/PP6/2P2PPP/3R2K1 w - -,d1d7
8/3n1p1k/p7/1pp1b3/4P1K1/1P2P1Pp/P2B3P/8 b - -,c5c4
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP4/4PN2/PP1NBPPP/R1BQK2R w KQ -,e1g1
1r6/5pk1/pp6/4p3/1PP1q1n1/PN6/4B1Q1/2R4K b - -,b8h8
2rr2k1/1bq1bppp/p2ppn2/1p2n3/3NPB2/P1N2P2/1PP1B1PP/3RQRK1 b - -,c7c5
4r1k1/pppr1pbp/4Qnp1/4p3/4P3/2P1BP2/PP1N2PP/R4RK1 b - -,e8e6
4nr2/4R3/7k/n3p3/4PbKP/2N5/8/8 b - -,f8g8
r7/4Qpk1/p1q2np1/2p3N1/1p4p1/1P2B1P1/1PP1N3/R5K1 b - -,a8e8
r1bq1rk1/1pp1npp1/4p2p/p3P3/P4B2/1NPB1N2/1P3KPP/R2Q4 w - -,d1e2
8/6k1/4pbp1/8/8/4PKP1/3B1P2/8 w - -,f3e4
r1b1r1k1/3n1pq1/1p1p1npp/p1pPp1Q1/P1P1P3/5RNP/1PB2PPN/4R1K1 w - -,g5d2
6k1/p4p1p/B3p1p1/2b1B3/8/7P/1P3PP1/6K1 w - -,g1f1
r5k1/2q2pp1/2N2n1p/pQ1p4/P3r3/1P5P/5PP1/2R1R1K1 b - -,c7f4
3r1bk1/ppqbrpp1/2pp1nn1/2P4p/4PP2/1PN2QPP/P1N2BB1/2R2RK1 b - -,d6c5
8/8/8/8/4K3/Pr6/1P6/6k1 w - -,e4d5
6rk/p2b3p/3p2r1/1PpP1p1n/P2qpP2/2N1N1PP/1P3QRK/3R4 b - -,d4g7
r1b2rk1/2Q2p1p/p1N3p1/3R2qn/2B1P3/b4P2/4N1PP/5R1K b - -,g5e3
1R3b2/2r2pk1/2p1P1p1/3P2Pp/1p2pN1P/6K1/8/8 w - -,e6f7
2r2rk1/pB1q1pbp/3p2p1/8/8/5Q1P/PP3PP1/2R2RK1 b - -,c8c1
8/5k2/7K/7P/8/8/8/8 w - -,h6h7
6rk/7p/p3Q3/1p2b1r1/6P1/5R1P/Pq6/5R1K w - -,f1f2
8/6R1/7p/7P/3K4/5k2/6p1/8 w - -,d4e5
r1bq1rk1/pp3ppp/2n1pn2/2b5/2P5/2NB1N2/PP3PPP/R1BQ1RK1 w - -,c1g5
r1b1rbk1/1p3ppp/2p2n2/p1n1q3/2P5/BPN1PN1P/P1Q1B1P1/R2R2K1 b - -,e5e3
4r3/3bk3/p2p3R/1p3P2/2pN4/6K1/PPP4P/8 b - -,e8g8
1r2k2r/3pn1p1/2b1p2p/4Pp2/p1PR1P2/Pp4K1/1B2B1PP/3R4 w k -,e2f3
r3r1nk/pb1nq1pp/4pp2/1p1pP3/2pP1PP1/2P4P/PPBNQ1N1/R4RK1 b - -,g7g6
5rk1/p3pp1p/r1p3p1/7n/1B4b1/1Pb1PN2/P4PPP/2R1K2R w K -,c1c3
r2N1r2/n2bQ1bk/p3p2p/3pP3/p2N1P2/2Pn4/1P4PP/R1B1R2K w - -,d8e6
2r3k1/1p2ppb1/6pp/3r1b2/P2P4/4BB2/1P3PPP/R4RK1 b - -,d5d7
4r2k/1p1r3p/p2pqp2/5p2/bP1RP3/2Q2PP1/2P4P/1K1R4 w - -,e4f5
r1bqkb1r/ppp2ppp/2n1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,e2e3:c1g5:g2g3
1k3r2/1pp5/4Q3/p2n4/2qP4/4P1K1/7R/7R w - a6,h2h8
8/1R2nk2/1p1r1b2/7p/8/7P/8/1B2R2K b - -,f6h4
rnbqk2r/1p2p1bp/1np2pp1/p2pP3/P2P1P2/1B3N2/1PP3PP/RNBQ1RK1 b kq -,e8g8
5r2/2R4p/3N2pk/pp2K3/1p6/8/P6P/3B1b2 w - -,d6f7
4k3/7p/1bN2pp1/p2Pp3/P7/3K1P1P/6P1/8 b - a3,e8d7
r4rk1/1b1qbppp/p4n2/1p1ppP2/1P2P3/1NNP4/P2BQ1PP/2R2R1K w - -,d2g5
8/7p/5k2/8/R5P1/2r5/5PK1/8 b - -,f6g5
r3r1k1/6qp/1p4p1/2p1Pb2/1nP2P2/pP2BR1P/P3R1B1/4Q1K1 w - -,f3g3
rqr5/3bppkp/5np1/3p4/P1N1p3/1P4Q1/2N1PP1P/2RR2K1 w - -,g3b8
2r4r/2k1p2p/1q4p1/3R4/B7/2P5/P1P3PP/K4R2 w - -,d5d7
r2q1rk1/pbp1bppp/np3n2/3p4/3P1B2/5NP1/PPQ1PPBP/RN3RK1 w - -,b1c3
r3r1k1/3n1pbp/2pp1qp1/8/2PPpB2/6PB/4PP1P/1R1Q1RK1 b - -,a8a7
6r1/pr1k4/R2Pp3/1PR5/6p1/6P1/5K1P/8 w - -,f2e3
6k1/2pq2np/2p2pp1/2Pp4/3P3P/1P1Q2P1/4rPK1/4N3 w - -,d3e2
8/8/2Np2pb/3P2k1/6P1/8/3K4/8 b - -,g5g4
1R6/5ppk/7p/p3P3/2q5/3p1K1P/4rP2/1Q6 b - -,c4e4
1rq3k1/p2b1rbn/np1p2p1/2pPp1Pp/1PP1Pp1P/PQNN1P2/3BB3/1R2K2R w K -,d3f2
2r4k/8/b5p1/3p1p1p/2P5/q2QPP2/1b1N2PP/rBRR3K w - -,d3a3
7k/4bqpp/p2pp3/1pn5/4PB2/4Q2P/PPP1B1P1/7K b - -,e6e5
r1bqkb2/pp3p2/3p2p1/7r/2PpPB1p/3P4/PP4PP/R2Q1RKN w q -,b2b4
2nqr1k1/pr4b1/Rp2b1p1/1P1NPp1p/2P1P3/4B2P/3N1PP1/QR4K1 b - -,f5e4
8/1pp4p/p2p1kp1/3P4/1PP5/5PpP/P1R2K2/3r4 w - -,f2g3
1r1r2k1/2p2pp1/2n1bn1p/p1b1p3/1p2P2N/2P3PP/PP1NRP1K/R1B2B2 w - -,f2f4
rn1qkb1r/1b3ppp/p2ppn2/1p6/3NP3/2N3P1/PPP2PBP/R1BQR1K1 b kq -,b8d7:f8e7:d8c7
3q1rk1/5p1p/pp3p2/3p4/2nB1P2/P4Q2/1P4PP/1N4K1 b - -,f8e8
8/p2R1pkp/1p4p1/r7/r1b1PN2/5PK1/P1R3PP/8 b - -,b6b5
5r1k/6b1/3p2p1/2pPp1Pp/1p2P2P/pP2B1RK/P4P2/8 b - -,h8g8
r1r5/pRp2kp1/2P1p1n1/3p1p2/P2Pn2p/B2b1BP1/4PP1P/2R3K1 w - -,e2d3
r1b2kr1/1p2bp1Q/p3p3/q4pp1/8/1NNR4/PPP3PP/1K1R4 b - -,a5c7
rnbqk2r/1p1p1ppp/p4n2/4p3/4P3/1NbQ4/PPP2PPP/R1B1KB1R w KQkq -,d3c3
8/8/6p1/5bk1/7r/1P2R3/2P2NP1/2K5 w - -,f2h3
6k1/2q2p1p/1p1r2p1/pP1p4/P1pNn3/2P1bB1P/2Q3P1/3RR2K b - -,e4f2
rnbq1rk1/pp1pppbp/5np1/2p5/3P4/4PNP1/PPP2PBP/RNBQ1RK1 b - -,d7d6
3q1rk1/pp2r1pp/8/3p1p1n/PRpP4/2P1PP2/2Q3PP/R4NK1 w - f6,a1b1
3r1rk1/p4pp1/4p2p/q2nP3/1nBPNP2/b1p4P/P1R2BP1/4QRK1 w - -,c2c3
2r5/2P2p2/5k2/6Rp/r6P/5KP1/P1R5/8 w - -,g5h5
r4rk1/1ppqnpbp/2npb1p1/p2Np3/2P5/3PP1P1/PP2NPBP/1RBQ1RK1 w - a6,a2a3
r3bn1k/p3bnRp/4p3/1p1pPp1N/2pP4/P1N5/1PPQ3P/7K w - -,d2g2
3rkb1r/1p3ppp/p1q1b1n1/3p4/N2B4/1P1B4/P1P2PPP/R2QR1K1 w k -,d1f3
r1b2rk1/1p2nppp/1q3b2/pP1p4/3Nn3/P3P3/RB2BPPP/1N1Q1RK1 w - -,b1c3
1r4k1/r1q2pbp/4p1p1/p2pP1B1/3P3P/R1P2Q2/1P3RP1/6K1 b - h3,a5a4
r1b1k2r/1p2bpp1/pn1ppn2/7p/2qNPP2/2NQB1PP/PPP3B1/R3R1K1 b kq -,f6d7
3B4/7p/b7/3kp3/P4pPP/5P2/1bP3K1/8 w - -,g4g5
5rk1/pp3pp1/2p1pqp1/3rR3/3P1Q2/2P5/PP3PPP/R5K1 w - -,f4e3
r1b2rk1/ppp2ppp/1b4q1/3pPn2/3B1P2/2P5/PP2B1PP/RN1Q1RK1 w - -,d4f2
