8/pK4k1/1p6/6P1/2p1B3/P1P5/4b3/8 b - -,e2d3
r2rn3/1pqn1pkp/2p1p1p1/p1Pp4/3P4/PP3BP1/1Q1NPP1P/2RR2K1 w - -,b3b4
6k1/3bb2p/6p1/q2pPp2/2pP4/2P1P3/2Q1B1P1/1N4K1 b - -,a5a1
1k1r4/1qr2p2/p1p1p1p1/3nP2p/1PRP1P1P/P3B1P1/2Q2K2/2N5 w - -,c1b3
Q3R3/2kn2pp/2qp4/p7/1pP5/6P1/1P3K1P/8 b - -,c6c5
r1bqkb1r/1p2pp1p/p1np1np1/8/P2NP3/2N5/1PP1BPPP/R1BQK2R w KQkq -,e1g1
5rk1/7p/1p1q1ppP/p1p5/P1P1P3/3P1QP1/6K1/5R2 b - -,f8f7
r2qrbk1/1bp2pp1/1n3n1p/p2pP3/P2P4/2B2NN1/2B2PPP/R2QR1K1 b - -,f6h7
r4r1k/1p4bp/p2PQ1p1/6q1/8/2N2bB1/PP3P1P/R3R1K1 w - -,e1e3
r5k1/1p4p1/4p2p/1bPp1p2/3P1P2/4PK1P/6P1/1R6 w - -,b1b5
8/p1pp2k1/2p5/2Prr1Pp/R7/1PK3P1/P2R1P2/8 b - -,d5c5
r1bq1rk1/3nbppp/p2p1n2/1p2p3/4PP2/2NB1N2/PPP3PP/R1B1QR1K b - -,c8b7
8/6p1/4k3/P2p1PK1/6N1/8/8/r7 b - -,e6f7
8/b7/P7/5pk1/RP1r3p/7P/6K1/8 b - -,g5f4
5k2/8/1pB5/5r2/1P1P4/P7/2K5/8 b - -,f8e7
r4rk1/4qp1p/3p1bp1/pPnbp3/4P1P1/5N1P/PP1Q1P2/1BR2RK1 w - -,d2d5
r3kb1r/ppq2pp1/1np1pnp1/3p4/2PP2P1/1QN1P2P/PP1B1PB1/R3K2R w KQkq -,c4d5
5rk1/4bpp1/pq2p1p1/1p2P1N1/2p1PP1P/8/PP4P1/3Q1R1K b - -,f8d8
r1bqk2r/1p2nppp/p1n1p3/3pP3/3Q4/P1B2N2/1PP2PPP/R3KB1R w KQkq -,d4g4
r4rk1/1b2bppp/p1n1pn2/qp6/5B2/P1N1PN2/1PQ2PPP/1B1R1RK1 b - -,g7g6
6k1/p1qb3p/1p4p1/3p1r2/4p3/1N6/PKP1QP2/4R3 b - -,c7e5
2b2r1k/5p1p/p2Rp3/1p6/4PP2/PNb4B/P6P/1K6 w - -,b3c5
3rr1k1/3q1p1p/2bp1bp1/4p3/pPB1P3/P3RNPP/5P2/2RQ2K1 b - -,c6e4
3rk2r/ppn2ppp/4p3/8/P1NpP3/5B2/1P5P/3RK2R w Kk -,e4e5
R7/2k2p2/1p2npp1/p7/2P3Pr/1P2N3/P4PK1/8 b - -,e6f4
rnbqkb1r/pp3pp1/3p1n1p/2pP2B1/8/2N5/PP2PPPP/R2QKBNR w KQkq -,g5f4
5r2/1p1b4/1k2pPpp/1Prp4/1R5P/3B4/R1PK1PP1/8 b - -,e6e5
2q2rk1/2p3b1/1r3pp1/p3p2p/1pPP4/1Pn2QBP/P1R2PPN/4R1K1 w - -,d4e5
2b2rk1/p4pbp/1r1p4/2p1n2q/4p3/2PPB3/P2Q1NBP/2R2R1K w - -,f2e4
8/8/7k/7p/5P2/r3BK2/8/6R1 w - -,f4f5
r1bq1rk1/p1pnppbp/1p1p1np1/8/2PPP2P/2N3N1/PP2BPP1/R1BQK2R b KQ h3,c8b7
8/pp4pk/6rp/4Np2/2pP4/2P4P/PP4PK/8 b - -,g6a6
r1bqr1k1/1pp2p1p/1n4p1/p3b3/8/1PN1P1P1/PB3PBP/R2Q1RK1 w - a6,d1e2
bq1r2k1/r3bppp/ppnppn2/8/2P1P3/1PN1QNPP/PB3PB1/R2R2K1 w - -,e3e2
r3k2r/1b1q4/p2p1p1p/Pp2pPp1/nP2P1P1/3P3R/3Q2BP/BR5K b kq -,a8c8
r3r1k1/2q2pp1/2n1b2p/2p1p3/P3Q3/2P1PN2/6PP/R1B2RK1 w - -,e4c2
r4rk1/p1q1bppp/1p2p3/1Pnb4/P7/4PN2/1B2BPPP/R2Q1RK1 w - -,f3d4
6rk/1p1q1p1p/p4pn1/3p4/3P1p2/2P2N1P/PPQ1RPP1/5K2 w - -,c2b3
r2q1rk1/1p3ppp/p1n1pb2/3nN2b/3P4/2N3BP/PP1QBPP1/R4RK1 b - -,f6e5
7r/1p2kppp/p3p3/N1PP1n2/b7/8/4BPPP/4R1K1 b - -,f5d4
3r4/p4p1k/b1B1p1p1/q6p/3bPB1P/7Q/P5PK/1R6 w - -,f4g5
1rr3k1/3pbppp/p3p3/4P1Pn/b1P2PR1/1N2B3/P1P3BP/1K1R4 w - -,f4f5
rn1q1rk1/ppp1ppb1/3p1npp/5b2/2PP3B/2N1PN2/PP2BPPP/R2QK2R b KQ -,b8d7
r2q1rk1/pp2ppbp/2np1np1/8/4P3/2NBBb1P/PPP2PP1/R2Q1RK1 w - -,d1f3
2B4k/7p/2pp3p/4p3/6N1/2PPq1nP/PP3R2/5RK1 b - -,g3e2
8/rB6/P7/1p2kp1p/1K6/4P3/4b3/R7 w - -,a1c1
2rr4/1k3pp1/2p1p1p1/1p6/nb1PP3/3BBP1P/1PR1K1P1/2R5 b - -,a4b6
r1b1r3/pp4bk/3B2pp/1BP1p3/3pp3/1P2R2P/P4PP1/3R2K1 w - -,e3e4
rnbqk2r/ppp1ppbp/3p1np1/8/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq -,h2h3
5Nk1/5q1p/p4pp1/Pp6/4b3/4N1BP/1Q3PPK/3r4 b - -,d1d8
r2q1rk1/pp3pbp/2n3p1/3p4/3P4/1P2BB1P/P4PP1/R2Q1RK1 w - -,a1c1
r4rk1/1p1b2pp/1p2p3/3pP3/3Nn1P1/4K3/PP2P2P/R4B1R w - -,h1g1
4r3/bp3pk1/p1n2np1/3q4/PPNpr1b1/2PB1RP1/2N4P/R1B2Q1K w - -,d3e4
6k1/4q1p1/4bp2/1pp1p3/4P3/1PQN2P1/r1P4P/4R1K1 b - -,c5c4
r1b1k2r/p1p2ppp/2pp1n1q/8/4P3/2PB2Q1/PP3PPP/RN2K2R w KQkq -,e1g1
r3k2r/q2bbp1p/p1p1p1p1/4P3/1pP2P2/1N1BRQ2/PP4PP/2R4K w kq -,d3e4
4n3/3r2kp/2p2pp1/2N1q3/1p2P3/3PQR1P/1P1R2PK/r7 w - -,g2g3
r4rk1/1b1nbpp1/pq1p1n1p/1p2p3/4P2B/PNNB4/1PP1QPPP/3R1RK1 w - -,a3a4
r1b3nr/pp2kpb1/2p3pp/4q3/2N5/4B3/PPP2PPP/R2QKB1R b KQ -,e5d5
r3kb1r/ppqnnppp/2p1p3/3pPb2/3P4/1N2BN2/PPP2PPP/R2QKB1R w KQkq -,f1e2:a2a4
2r5/p3kp2/1p6/1Rr1p2n/P3P2p/2PR1P2/2K3P1/5B2 b - -,h5g3
r1bqk2r/ppp1p1bp/1nn2pp1/3pP3/3P1P2/1BP2N2/PP4PP/RNBQK2R b KQkq -,c8f5
r2q1rk1/1p4bp/2bpp3/p1n2p2/2P5/1PN2P2/P1BQ1BPP/1R3RK1 b - -,b7b6
rn1q1rk1/pbp1bppp/3ppn2/1B4B1/2PP4/2NQ1N2/PP3PPP/R3R1K1 b - -,b8d7
4R3/3n1ppk/1bN4p/2p1p3/2P2BP1/1r3P2/6KP/8 w - -,f4e5
r6k/1p1b2pp/p1q1pr2/3pR3/3P1P2/P1N5/1P1Q2PP/1R4K1 b - f3,a8f8
r2q1rk1/ppp1ppbp/1nn3p1/8/2bP4/P1N2NP1/1PQ1PPBP/R1B2RK1 b - -,c4a6
r2r2kb/pp2p2p/2p1b1pP/4Pp2/2PP1B2/5P2/P2RB1P1/1K5R b - -,b7b5
q3kb1r/pb2pp2/1pnp1p2/8/2P2B1p/6P1/PP1QPPBP/3R1RK1 b - c3,f6f5
rq2r1k1/1p1b1pbp/3p1np1/p1nPp1B1/4P3/PPN5/1Q1NBPPP/R4RK1 w - -,b3b4
8/2k3p1/8/p5N1/5P1P/1Rb2KP1/P1r5/8 b - -,c7c6
r2r2k1/1p2qp2/p1n1b2p/2bp2pn/8/P1N1PNB1/1PQ1BPPP/R4RK1 w - -,b2b4
2rn1qk1/p4pp1/4n2p/4N3/2PPQ1P1/4b3/Pr5P/1B2RRK1 w - -,e1e3
8/6k1/6p1/5p2/8/3B1q2/8/3R1K2 w - -,f1e1
3r2k1/1p1b2pp/1np1pb2/4Np1q/1P1P4/4Q1P1/4PPBP/B1R3K1 b - -,h5e8
2rqkb1r/pp1bnppp/2n1p3/2ppP3/3P4/PPP2N2/1B3PPP/RN1QKB1R b KQk -,d8b6
5rk1/p3q1bp/4p1p1/1b1pn1P1/2p4P/1PP1P2Q/P1BN2K1/R7 w - -,a1e1
rnbqk1nr/pp2ppbp/6p1/1B1p4/3P4/2N1B3/PPP2PPP/R2QK1NR b KQkq -,c8d7
8/2p2pk1/3p2p1/1PpP4/2Pb3p/1P3QqP/3rBPP1/5RK1 b - -,g3e5
8/p3k2p/4p2b/3p1p2/1P1P2p1/1K2P1P1/1n3P1P/2B5 w - -,c1b2
2k2b1r/5ppp/pRp1p3/4P3/5P2/8/P1r2BPP/5RK1 b - -,f8e7
r1bq1rk1/1p1pppbp/p1n2np1/2p5/2P5/P1N2NP1/1P1PPPBP/R1BQ1RK1 w - -,a1b1
3q1r1k/3n2bp/r3Rnp1/3p4/P1p5/R1N2NPP/1P2QPK1/2B5 b - -,a6e6
8/1p3pk1/p5p1/2P5/1P1R1P1p/5P2/8/2B2K1r w - -,f1g2
4r3/4P3/3k2N1/p2p1K2/2pP4/RnP5/1P6/8 b - -,e8g8
r1bqkb1r/pp3ppp/2n2n2/3p4/3N4/2N1P3/PP2BPPP/R1BQK2R b KQkq -,f8b4:f8d6
5K2/1Pk5/8/8/4B3/8/8/8 w - -,f8e7
2R5/r2qkpp1/4p2p/8/8/2Q4P/5PP1/6K1 w - -,f2f4
8/8/1kn1R1pp/p7/8/1p1R2P1/2r4P/3K4 b - -,a5a4
5rk1/p4ppp/qp2pn2/5r2/8/PQ1RB1P1/P3PP1P/2R3K1 w - -,f2f3
1k6/1pp3q1/p1n1Rp2/2P5/P4P1N/2P2Kp1/6P1/5R2 w - -,f1e1
r3k2r/pbqn1pp1/1p1bpn2/7p/2pP1P2/2PB2NP/PP2NRP1/R1BQ2K1 w kq -,d1c2
r4rk1/2q2p1p/ppn2bp1/2p1p3/2Q1P3/2P2NPP/PP3PB1/R2R2K1 w - -,h3h4
6k1/1R6/2r5/6PK/7P/8/8/8 b - -,c6a6
r3kb1r/pp3ppp/2n2n2/3qp1B1/N2p4/1N4P1/PPP1PP1P/R2Q1RK1 w kq -,g5f6
6k1/2q2p1p/1p1r2p1/pP1p4/P1pN4/2P2B1P/4Q1P1/3n2K1 w - -,e2e8
8/8/1R4p1/7p/5P2/p4KP1/k7/1r6 w - -,b6g6
2r2qk1/3rRp1p/p2P1P2/1b2B1p1/2p5/2Q5/1P4P1/5RK1 b - -,h7h5
6k1/pb2qp2/1p2p2p/4Pp2/1P2nP2/P4N2/5PBP/2Q3K1 b - -,e7d7
5rk1/prq2pbp/3np1p1/2p1N3/2N2P2/2PP2P1/P4Q1P/2R2RK1 w - -,f1d1
8/p4p2/1p2pk2/7P/3n4/2R5/Pr6/3BK3 w - -,c3h3
1k3r1r/ppp3p1/2nb4/3p4/1P1P2q1/P2Q2P1/1B3PB1/R3R1K1 b - -,g4h5
8/rr3kpp/3Rpp2/p2p1b2/N2P4/1P2P3/P4PPP/2R3K1 w - -,f2f3
8/8/2B5/2P5/P7/3K2k1/7p/4r3 b - -,e1g1
8/2pB1pk1/rrnp2pp/1p6/1P2PP2/2R1K2P/2P3P1/1R6 b - -,g7f6
r2qkb1r/1bp2pp1/p3p3/4P2p/3Np3/6Q1/PPP2PPP/R1B2RK1 w kq -,c1e3
4r1k1/1b4bp/p1qp2p1/1p6/1P2p3/2P1B2P/1P1Q1RP1/5NK1 b - -,e8f8
8/7N/8/5kP1/p7/1bK5/1P6/8 w - -,c3b4
8/p4k1p/1p4p1/1B1Prp2/P4P2/2P4b/1P5P/R5K1 b - f3,e5e4
r1bqr1k1/pp2bp1p/2p1nnpB/3p4/3P4/2NBPN1P/PPQ2PP1/2R2RK1 b - -,e6g7
rnbqk2r/ppp1bppp/5n2/3P4/2B5/2N5/PP1P1PPP/R1BQK1NR b KQkq -,e8g8
6k1/5rp1/1p2Q2p/p2PNP2/P1P5/7P/4q1K1/8 w - -,g2g3
r1b1Qbk1/pp4r1/1q2p3/3pP3/8/1N2R3/PP3PPP/2R3K1 b - -,d5d4
3r1rk1/pp5p/3p2p1/2nP3P/2P5/2q2B1P/P4P1K/1R1Q2R1 w - -,g1g3
5rk1/5p1p/p2bqp2/4p3/Pp3P2/1P2PQ1P/1B4P1/2R3K1 w - -,c1c4
2r1k2r/1b1n1p2/p3pq1p/1p6/3R3Q/8/PP3PPP/1B2NRK1 w k -,h4f6
r1r3k1/1n1b2p1/p1PqN2p/1p3p2/5P2/1P4P1/P5BP/2RQ1R1K b - -,d7c6
r1b2rk1/P3q1p1/1p1b3p/1BnP1p2/2QNp3/8/1B3PPP/R3R1K1 w - f6,c4c3
r3nrk1/3n1pp1/p1p1p1bp/N1Pp4/1P1b1BP1/2N4P/1P2PPB1/R1R3K1 b - -,a8c8
2r5/2N1k1pp/p3P3/1p6/1K1N4/8/1P5P/8 w - -,d4f5
3r1rk1/1ppq1ppp/2n2n2/p1b1p1B1/P3P3/1BP2QNP/1P3PP1/R3K2R b KQ -,d7d3
r2kb3/6R1/4p3/1q1pP3/1pnP2P1/1B6/P7/1KN1Q3 b - -,d8c8
r1b1qrk1/pp4pp/2n1pn2/3p4/3P4/1N3NP1/PP2BPP1/R2Q1RK1 b - -,a7a5
8/6k1/Rnp5/1p6/2p2P2/2N2K2/1r5P/8 w - -,a6b6
3q2k1/p2r1pbN/3pr3/3N1Q2/4PR1p/1P6/P1P3P1/6K1 b - -,g7d4
2rqr1k1/4bpnp/2p2np1/3pNb2/3P3B/2NBP3/2Q2PPP/1R3RK1 w - -,d3f5
r1bqr1k1/p1pn1ppp/1bpp4/4p3/4P3/2PP1N1P/PP1N1PP1/R1BQR1K1 w - -,d2c4
8/8/K5p1/8/6kP/4p1q1/8/6Q1 w - -,g1h1
8/8/p7/4pk2/1P6/4R1P1/r7/6K1 w - -,g1f1
3q2r1/p3k3/2Qb4/3PpB2/6P1/1P5P/P4P2/6RK w - -,c6b7
8/3k1p2/2n5/p7/3nP1K1/8/8/R7 w - -,g4f4
r2q1rk1/pp2bp1p/2p2np1/3pNb2/3PnB2/2NBPP2/PPQ3PP/R4RK1 b - -,e4d6
r3r1k1/pp3pbp/3p2p1/2pP4/6P1/2NRq3/PPP2Q1P/5RK1 b - -,e3f2
2r5/p3B1bk/4Rn1p/P7/2B4n/1P6/5PbP/4R1K1 w - -,e7f6
r1bq1rk1/pp1np1bp/2n1p1p1/2P5/8/2N2NP1/PP3PBP/R1BQ1RK1 b - -,d7c5
5rk1/4q3/p5n1/1p5Q/4N1p1/PP3b2/KBP1p3/3rR3 b - -,e7e4
3r1rk1/p2nppbp/2p5/qp3p2/2PPp3/1P4P1/PB2PPBP/R1QR2K1 w - b6,d4d5
2b2rk1/p1p2r1p/1b2p1p1/2NpP3/1P1B1P1P/2P1K1P1/8/R4R2 w - -,a1a2
8/8/p7/1b5k/1P2N1R1/5P2/4n1PK/3r4 b - -,h5h6
3rr1k1/p1Q2pp1/5q2/7p/8/P2B3P/5N2/1R4K1 w - -,c7a7
r1bq1rk1/pp3ppp/2nbpn2/2pp4/8/1P1PP1P1/PBP1NPBP/RN1Q1RK1 b - -,a7a5
r1b1k2r/1pN2ppp/p2p4/6B1/4PpP1/5n2/PPK4P/3R1B1R b kq -,e8d7
r2qk2r/1b1n1pp1/p4n1p/1pb1p1B1/4P3/2NB1N2/PP2QPPP/R4RK1 w kq -,g5h4
6k1/5p1p/p5p1/1p1rP3/3P4/P4N2/5KPP/8 b - -,g8f8
r2q1rk1/1p3pb1/p2p2p1/3N3p/4PPbP/8/PPPQN3/1K3R1R w - -,f4f5
r1bq1rk1/pp2bpp1/2ppnn1p/4p3/3PP3/2P2N2/PPBN1PPP/R1BQR1K1 b - -,d8c7
8/1pr1kp2/pR4p1/4P2p/P1pN1K2/2P5/1P6/8 b - -,c7d7
2r5/p2k2p1/Pp1b4/1P1p3p/3Pp3/4B3/5PK1/7R b - -,g7g6
r2q1rk1/p2n2bp/1pp1p1p1/3pPn2/5P1P/2N2B2/PPPQ1BP1/R3K2R w KQ -,e1c1
4rrk1/pp2n1bp/3q2p1/2pPppBP/2Pp4/3P2P1/PP2QPB1/R2R2K1 w - -,d1e1
rn1qr1k1/3b1pbp/p2p1np1/3P1PN1/N3P3/1p4Q1/1PB3PP/R1B2RK1 w - -,f5g6
3r4/1p6/1q4k1/4Bp1p/1P5b/8/Q4PP1/2R3K1 b - -,d8e8
3r4/3rk1p1/p3pp1p/Pp6/3P2PP/1B1RKPB1/8/8 b - -,e6e5
r1b5/1pb1k1pp/3n1p2/2BBp3/8/1NP5/PP3PPP/3R2K1 b - -,a8a2
4r1k1/rb1nqppp/4pn2/2p5/Pp6/3P1NP1/1BQ1PPBP/R1R3K1 b - -,a7a5
1rq2rk1/b1pb1pp1/p2p1nnp/1p2p2N/4P3/1BPP3P/PP1B1PPN/R2QR1K1 b - -,f6h7
r1bqkbnr/pp1p1ppp/2n1p3/2p5/3P1P2/2P1P3/PP4PP/RNBQKBNR b KQkq f3,f7f5
r4rk1/2qp3p/p3p1n1/1pNb1p2/5bPP/1N1BQ3/PPP5/1K1R1R2 w - -,e3e2
1r3rk1/q4ppp/b1nppb2/1pp1n3/4P3/1PNP1NPP/PB3PB1/2RRQ1K1 w - -,f3e5
r3k2r/2qbbp1p/3ppp2/p4P2/1p2P3/3BQ3/PPP1N1PP/1K1R3R b kq -,a5a4
2r2qk1/1p3pbp/6p1/p1nB1N2/4p3/8/PPQ2PPP/3R1RK1 b - -,g6f5
1rb4r/1p6/5k2/1P2Rp2/2Pp1Pqp/3P1Q1B/7K/5R2 b - -,g4f3
1rbq1rk1/3nbppp/p1p1pn2/P1N3B1/1p1P4/6P1/2QNPPBP/R2R2K1 b - -,d7c5
2r4k/p1q2pp1/3bp3/1pr5/5P2/P1BBP3/2Q2P1P/R1R3K1 b - -,c5c3
6k1/2n2pp1/1p6/p1rpPPp1/P5K1/3B3P/1P4P1/3R4 b - -,d5d4
r2qkbnr/ppp2ppp/2n1p3/3p4/2PP1B2/2N2b2/PP2PPPP/R2QKB1R w KQkq -,g2f3
4r1k1/5ppp/p3q3/1p1b4/8/2P2P2/P1PQB1PP/1K5R b - -,d5a2
2r1k2r/1b2qppp/p3p3/1pnn4/8/2N2NP1/PPQ1PPBP/R1R3K1 b k -,d5b6
6k1/1r4p1/3K3p/1p2N2P/p1p5/2B5/6b1/8 w - -,c3b4
2b3k1/5p1p/4p1p1/p7/3QB2P/P5P1/1P3P2/2q3K1 w - -,g1h2
8/7k/6n1/2q1p2p/1pB1Pp2/1n3PpP/1P2Q1P1/3NK3 b - -,b3d4
2b5/p5p1/2pkp2p/1rN5/2RK1P1P/1P6/P5P1/8 b - h3,h6h5
r5k1/2q1n1bp/2p1b1p1/1pB1p3/4P3/P1N3P1/1P2Q1BP/5RK1 b - -,e6c4
4k3/5p2/4p3/1p2PbP1/2p2P1r/2P1B3/4BK1n/6R1 w - -,g1a1
4b3/8/4pk2/2p5/ppP1Bp2/1P1K1P2/P5P1/8 b - -,a4b3
r2r2k1/1pqnbppp/4p3/2p1P3/p1P2P2/4B1P1/nP1NQ1BP/1R3RK1 w - -,d2e4
2r2rk1/5ppp/1p6/3P4/3p1P2/6P1/PP1RP1BP/6K1 b - -,f7f5
2kr3r/1ppb1ppp/p1n5/4P3/PP1P3q/8/4B1PP/RN1Q1RK1 w - -,b4b5
3r1rk1/pp2bppp/1qp1p3/4P2b/2P1n3/1N5P/PP1BBPP1/R2Q1RK1 w - -,e2h5
br1q1rk1/p2n1pnp/P3p1p1/1Pp1p3/2P1B3/5NP1/2QN1P1P/R4RK1 b - -,g7f5
8/R7/4ppp1/P2p1k1p/2nP1P2/7P/6P1/6K1 w - -,a5a6
r3k2r/pp1bnppp/1q2p3/3pP3/8/P2B1Q2/P4PPP/R1B2RK1 w kq -,a1b1
6R1/1pr3pp/1pk2p2/2p5/P1Kp4/1P3PP1/5P1P/8 b - -,c7d7
3r2k1/5p1b/1p5p/p1prP1p1/P2p1nPP/1P3PK1/1BPR4/1B2R3 w - -,d2h2
2kr2r1/1p2b3/p3qP2/P1pp2p1/6Qp/7P/1PP2PPB/R2R2K1 b - -,e6g4
8/7p/pB4p1/Pk6/6P1/3K3P/8/4b3 b - -,e1a5
2r1r1k1/pb4q1/1p2pn1B/3n4/3P4/P1N5/BP3PPP/3RR1K1 w - -,h6g7
r3k2r/p3bp2/bnn1p1p1/q1ppP3/1p1P1PB1/2P1BN2/PPQ1NR1P/R5K1 w kq -,f3d2
8/8/7P/4k3/1pp5/8/1P1K2P1/8 b - -,e5f6
3r4/1R6/3P4/1PP2k2/2KB1b2/5p2/8/8 b - -,f4g3
r1b2rk1/pp3pbp/2pp1np1/8/3P3B/2P1PN2/P3BPPP/R4RK1 w - -,f3d2
2bqkr2/2r1n3/p1pp1ppb/Pp5p/3PPN1P/1B3N2/1KPQ2PB/7R b - -,c8g4
rnbq1rk1/pp2ppbp/3p2p1/2pN4/3PP1n1/2P2N2/PP1B1PPP/R2QKB1R w KQ -,h2h3
4rk2/8/Bp1Rp2p/5pp1/3p2P1/4qP2/PP4QP/2r2R1K w - -,h2h3
1r3rk1/1bq2ppp/3b1n2/1p6/1P1P4/2P1QBP1/P3N2P/RN2K2R b KQ -,f8e8
3r2k1/pp3r2/4nq1p/3pb1p1/4p3/1N4P1/P1BQ1P1P/4RR1K b - -,f6f3
