8/4kb2/8/6Rr/5K2/P5P1/8/8 b - -,h5h6
r1bq1rk1/pp5p/n5p1/1p3p2/N1P3n1/P1QPp1P1/4P1BP/R2R1NK1 w - -,c4b5
rnbqk2r/pp1p1ppp/4pn2/2p5/1bPP4/4PN2/PP1B1PPP/RN1QKB1R b KQkq -,b4d2:b7b6:e8g8:b8c6
r4rk1/ppn1q1bp/2p3p1/2P1p3/PP2Ppb1/2Q2NP1/1B3PBP/1R3RK1 b - -,g4f3
4r3/2pn2kp/1p4p1/p1PPq3/P3p3/1B2Q2P/6P1/4R1K1 w - -,c5b6
8/5rp1/3k4/1B5n/PKPp4/8/4R3/8 w - -,e2e4
rnbq1rk1/1p3ppp/p4n2/2bp4/8/1PN1PN2/PBQ2PPP/3RKB1R b K -,c5d6
1r1qr1k1/2p2pbp/3pb1p1/p2Nn3/3B1P2/6PP/PPP3B1/1R1Q1RK1 b - f3,c7c6
3q1n2/1bp2nk1/1p3pp1/p1b1p2p/P1B1P2P/1P1NNQP1/1BP2P2/6K1 b - -,c5e3
8/1b3k1p/pp1N1p2/2b5/5n2/P1N1P2P/1P1r1BP1/2R2K2 b - -,c5d6
6k1/5pp1/7p/p3p1bq/1N2PP2/P1r3n1/2P3PP/R2Q1RK1 b - -,g3e2
r3k2r/p3bpp1/1p2p3/2pq4/3PR3/PP3QPp/1BP2P1P/R5K1 b kq -,f7f5
5rk1/5rp1/2p4p/1p1n3P/3PR3/1p2P1B1/1P2K1P1/R7 b - -,f7f5
8/8/8/1p5p/pp5P/1P2kP2/P5K1/8 w - -,g2g3
r6k/p4Q1p/4p3/1p1p3P/3P4/4B3/5PPK/1q6 b - -,b1f5
6k1/1R6/6pp/r4p2/8/6PP/8/5BK1 b - -,a5c5
r4rk1/p2q1pbp/4p1p1/1bp1P3/3pPPP1/1B3Q2/1PP4P/R1B2RK1 w - -,f1f2
r1b1k1nr/p2p1pbp/1qp3p1/2p1p3/4P3/2P2N2/PP1P1PPP/RNBQR1K1 w kq -,b1a3
r1r4k/p1pq1nbp/1p2b1p1/1P1npp2/8/Q1NP2P1/P2BPPBP/1RR1N1K1 b - -,c7c6
3rk2r/p1bq2p1/1pn1p1pp/3pP3/Q7/2P2N2/PP1B1PPP/R3R1K1 w k -,a4g4
8/5k2/4pN1p/8/5P1n/5b1K/8/1B6 b - -,f7f6
rn2k2r/pp2bppp/2p2nb1/4q3/8/2P3NN/PP2BPPP/R1BQ1RK1 w kq -,f1e1
4N3/5k2/8/7p/5K1P/3b2P1/8/8 w - -,e8c7
5r2/1Q2p1bk/P5pp/1N1P4/5P2/1P6/6KP/3r4 b - -,f8f4
8/8/3b4/4k3/P5Np/5P1P/6K1/8 b - -,e5d4
1n5r/p3qpk1/1p1Rp1p1/2p1P1P1/4BP2/1P6/PKP1Q3/8 w - -,e2f3
5rk1/2pq3p/3pR1p1/1p1P2P1/p1P4P/P4p2/1P6/4KQ2 w - -,c4b5
3r1k2/1p3p1p/p2rp1p1/2R5/2P2Pb1/1P1BR1P1/P1P4P/2K5 b - -,d8d7
5b2/1R2pbk1/3p1p2/2pP3P/4P2K/1P6/8/8 w - -,b7b8
5qk1/p4p2/1pr3p1/3p4/3Pn3/P6Q/4R1PP/5RK1 w - -,h3d7
6k1/p6p/6p1/2R5/4pp2/PP6/3K1r2/8 w - -,d2e1
1r4k1/5pp1/4pnp1/2qp4/3N4/4P2Q/2P3PP/5RK1 b - -,c5c4
r2b1k2/3P1p1p/2N3p1/1p1p4/8/2P3P1/1P3P1P/3R2K1 w - -,d1d5
4n3/3k1p2/7p/5N1P/3K1bP1/5P2/8/8 b - -,e8d6
8/2k5/5rp1/2r1p2p/P1B1R3/2P5/2P3PP/2K5 w - -,c4e2
6k1/pq3pbp/1p2p1p1/3bN3/1P1PBQ2/P6P/1B3PP1/6K1 b - -,d5e4
3rr1k1/1p1n1ppb/1qp1p2p/b2pP3/1NPP4/pP4P1/P3QPBP/BNRR2K1 b - -,a5b4
3r2k1/1b3ppp/p3p3/1p1rP3/2qN1Q2/P1P4P/1P1R2P1/4R1K1 b - -,d5d7
8/1p3pp1/P2k1n1p/P2p1p2/3P4/1P2KP2/6PP/2N5 b - -,b7a6
1r3qk1/1rn2p1p/p2p2p1/2pP2B1/P1nb1P2/1P2N3/2Q3PP/3RR2K w - -,c2c4
r3kb1r/pp1n1p1p/2p1p3/3q1p2/3P3N/2P3P1/PP3PbP/R1BQR1K1 w kq -,h4g2
3r1k2/3b1p2/7p/2n4P/3NP3/PP2KP2/2P5/7R w - -,h1h4
5R2/k7/p7/2p4p/Pp6/5b2/5K2/4R2r b - -,h1e1
r1bqkb1r/p4ppp/2p1p3/3n4/8/2P1BN2/PP3PPP/R2QKB1R w KQkq -,e3d4
8/1P3pk1/2B5/8/3R1bp1/8/1r1p4/3K4 b - -,b2b1
8/8/1k6/3K4/2PP4/pb6/8/2N5 b - -,b3c2
5R2/1p6/p1p3kp/2P2p2/3P1K2/2r4P/P7/8 w - -,f8g8
8/pbr4p/1p1pk1p1/1P6/2P1P2P/P2KNrP1/2R5/2R5 w - -,d3d4
3Rr1k1/p4pbp/2q2np1/1pp5/4p3/2P1P1BP/PP2QPP1/R4NK1 b - -,e8d8
5bk1/5pp1/1Q2p2p/4P3/3B4/1p5P/1Pq2PPK/8 w - -,d4c3
5r1k/p1N3bp/1p6/2p3q1/4Q3/2Pn1BBP/PP1r1PK1/5R2 b - -,d3f4
4r3/p2kr3/1bp2Q1p/5P2/5R2/7P/P4BPK/2q5 w - -,f4a4
8/p4k2/2pr4/2N1R1p1/1pPn2P1/8/PP3K2/8 b - -,f7f6
6k1/4bpp1/p1qp3p/2r1p3/Pp2P3/1P1Q2P1/2P2P1P/3RN1K1 b - -,c5c3
r4rk1/pp1b2pp/1qnbpn2/3p4/3P4/2BB1N2/PP3PPP/R2QRNK1 w - -,a1c1
8/2R2kp1/4p2p/pr6/8/5P2/4K1PP/8 b - -,f7f6
2rqrbk1/1p3p1p/p1bnpnp1/3pN3/P2P4/1PNBP2P/1B3PP1/R1RQ2K1 w - -,d1f3
r5k1/p4ppp/2p5/3p2B1/8/P1P3P1/2b2PP1/R5K1 w - -,a1a2
1rb1rbk1/4qp2/p2p2np/3PpNnQ/P3P1N1/1p6/1P3PP1/RBB1R1K1 b - -,c8f5
2r4k/3R3p/8/1p3p2/3p4/P6P/1Pr2RPK/8 w - -,f2c2
4rbk1/1Q3ppp/p7/q2p4/5B2/6PP/5PK1/2R5 w - -,c1c7
3r4/1p2kppp/p3p3/8/2P1nP2/5N2/PP2K1PP/R7 w - -,a1c1
r4rk1/6p1/p6p/3P4/4n3/1R5P/6PB/4N2K w - -,e1f3
3qk3/pp2bp2/2p2pp1/2P4r/1P2Q3/6P1/P4PBP/1R4K1 w - -,g2f3
r1bq1rk1/pp1nppbp/5np1/2p5/3P4/5NP1/PPPN1PBP/R1BQ1RK1 w - -,f1e1
2r5/6pp/p2kp3/Pp3p2/3Pn3/1Nr1PP2/RR4PP/5K2 b - -,c3b3
r1b1kb1r/2q2ppp/p1npp1n1/1pp5/4P3/1PN2N2/PBPP1PPP/R2QRBK1 w kq -,d2d4
2k5/1b6/1p6/2p5/8/4PrBr/2P4P/R2R2K1 b - -,f3e3
r4rk1/1b2q1p1/p2p3p/1pp1pp2/4Pn2/1NPP1N1P/PP3PP1/R2QR1K1 w - f6,d1d2
8/4r3/6pk/p1p4p/5P2/1P2n3/P3Q3/2KR1Nq1 b - -,e3f5
3rk2r/pp3ppp/2p1b3/8/3qP1B1/P7/1PQN1PPP/R3K2R b KQk -,e6g4
2r5/3npkb1/3p2p1/3P3p/qB1nB3/P3N1PP/3Q1PK1/1R6 b - -,g7f6
2b5/8/3K4/8/R7/2k5/8/8 w - -,d6c5
r1b3kb/q6p/p1pp2pB/Pp2nr1N/3Np3/1PP3QP/5PP1/3RR1K1 w - -,d4f5
8/k4n1P/6B1/PK6/8/5P2/8/8 b - -,f7h8
2r4k/4RR1p/6pb/3B4/8/2p1P1P1/P6P/7K b - -,h6f8
8/8/p1bBp1p1/1p2P1Pp/4k2P/P1P3K1/8/8 w - -,d6c7
8/3bk1R1/p4rP1/3pp3/2p2P2/P7/1PP5/K4R2 b - -,e7d8
1r2qrk1/ppn1p1b1/3p2p1/2pPnb2/2P1BN2/2N3P1/PP2QP2/R1B2RK1 b - -,b7b5
r1bq2k1/6pp/p7/1p1p3r/3Qp3/P5P1/1PP3BP/R4RK1 b - -,c8e6
2b5/pr3k1p/1p1pnN2/1PpN1pP1/2Pn3P/P7/5RK1/4R3 b - -,f7g6
r4rk1/pp3ppp/4pn2/8/4PP2/1Q4PP/PPR1q1BK/5R2 b - -,e2a6
r2q1rk1/pp2bppp/5n2/3p2B1/Q7/P7/1P2BPPP/2R2RK1 b - -,f6e4
rn1qk2r/1b2bppp/p2p4/3Pp3/1p1N2P1/7P/PPP2PB1/R1BQR1K1 w kq -,d4c6
r2q1knr/ppp2pbp/3p4/1B1PB3/4P1b1/2N2N2/PPP4P/R2QK2R b KQ -,g7e5
r4rk1/ppq1bpp1/2n1bn1p/2p1p3/4P3/P1P2N1P/1PB1QPP1/RNB1R1K1 w - -,f3h4
r2qkb1r/pp3p1p/1np1ppb1/8/3P1B1N/1B6/PPP2PPP/R2Q1RK1 b kq -,f8g7
r6k/pp2q1pp/1bn1bp2/4p3/1PB5/P1Q1PN1P/1B1r1PP1/3R2K1 w - -,d1d2
2qr2k1/pbr2ppp/1p2p3/3pNn2/3Pn2P/1PP3P1/P4PB1/1NRQR1K1 w - -,g2e4
rnbq1rk1/pp3pbp/2pp1np1/3Pp1B1/2P1P3/2N5/PP1QBPPP/R3K1NR b KQ -,c6d5
1rb2rk1/p1q2pbp/1p4p1/2nBp3/2N5/Q1P1B1P1/P3PP1P/R2R2K1 b - -,c8g4
1r3rk1/1b2ppbp/1qnp1np1/1p6/4P3/1PN3P1/1BPQNPBP/R4RK1 w - -,c3d5
r3k2r/1bq1bppp/pp1p1n2/2n1pP2/2P1P3/2NB4/PPN1Q1PP/R1B2R1K w kq -,c2b4
8/2q2rkp/3R4/5p2/3Qp2P/4PpP1/PPr2P2/3R2K1 b - -,g7f8
r1n1rqnk/1p3pbp/3p2pN/PppP2B1/4P1P1/5P2/1P1QN2P/R4RK1 w - -,h6g8
3r1r1k/1p1b2bp/2p3p1/p1q5/P1PpBP2/1P1Q2P1/3NR1KP/4R3 b - -,c5b4
rn1qkb1r/pp2ppp1/2p2np1/3p4/8/3P2P1/PPPNPPBP/R1BQK2R b KQkq -,b8d7
rn3rk1/pbq1bppp/1p1ppn2/8/2PNP3/2N3P1/PP3PBP/R1BQR1K1 w - -,c1e3
r2q2k1/1r1n1p1p/3p2p1/1b1Pp3/p1p1P3/2P4P/RP1NQPP1/R4NK1 w - -,f1e3
7r/pp2kp1p/4p2R/4P3/1P1R4/3P4/r4KPP/8 w - -,f2f3
8/5k1p/2p4K/1pP2P1P/p2R4/5b2/1P6/8 w - -,h6g5
2Rr2k1/3Q1n1p/1q3p2/5N2/4r3/8/p5PP/K1R5 w - -,c8d8
2rqrbk1/1p3ppp/1n3n2/pP1P4/4p3/PNN1P1P1/1B2QPKP/R2R4 b - -,b6c4
r5k1/3b1ppp/1p6/p2pPP2/1N6/1P6/1Pr3PP/R2R2K1 b - -,c2b2
5R2/2r2ppk/4pb1p/5n2/3P4/3BB2P/4KPP1/8 b - -,g7g6
r4r1k/p1qb3p/5pp1/1pnPpN2/2p1P1P1/P1P2P2/2BQ3P/R5RK w - -,f5e3
4r1k1/1p2rppp/pNpq2n1/3p1bN1/PP1Pn3/3BP2P/2Q2PP1/1R2R1K1 b - -,g6h4
8/1p5p/pN1Q2rk/P3n2P/8/2P1qn2/1P6/5R1K w - -,h5g6
r1b2rk1/1p2qppp/4p3/2pnP3/1pQ5/6P1/PP1NPPBP/R2R2K1 b - -,b7b6
1r2r3/2n3k1/3ppqpp/Q4p2/p1PP1P2/P4N2/R5PP/4R1K1 b - -,e8e7
r3kr2/1p1nq2p/2pb1np1/3p1p2/3Q1P2/1P2P2P/1B1PNN2/1K1R2R1 b q -,d7c5
5r2/2p1R3/1p1p1P2/p2P2k1/2P5/Pr6/3PK3/5R2 w - -,e7g7
r3r1k1/1p2qpp1/n1p1p2p/p3b3/P2PPP2/1Q4P1/NP4KP/2RR4 w - -,d4e5
8/R7/2p2kp1/p1r4p/P6P/5PK1/8/8 w - -,a7d7
r3kb1r/pp3ppp/2n1b3/8/8/2B5/PP2BPPP/RN3RK1 b kq -,e8c8
r2qk2r/1b2bppp/p1n1p2n/1pppP3/5P2/2NP1NP1/PPPBQ1BP/R4RK1 w kq -,c3d1
5rk1/p6p/8/2PpP3/5P2/2R4Q/P1qr2P1/5RK1 b - -,c2e4
6k1/p1r2ppp/8/8/3rBbPP/2NP1P2/R1K5/8 b - -,d4d8
rnb2rk1/pp4p1/2pq3p/3p1p2/3Pn2N/2NBP3/PPQ2PPP/R4RK1 b - -,d6f6
r1bqr1k1/pppn1pbp/3p1np1/3Pp3/4P3/2P3P1/PP2NPBP/RNBQ1RK1 w - -,b2b4
2Q2b1r/p2pkpp1/7p/3qP3/3p3P/P4NP1/1rP2PK1/R2R4 b - -,d5c6
2r5/r6k/P1p1p2p/2P1N1p1/3Ppp2/4PbPP/5P2/RR3K2 b - -,a7a8
r4n1k/p3q1pp/1p2pr2/1B6/Q2P1p2/6P1/PP3P1P/R3R1K1 w - -,e1e2
3r2k1/q2nbpp1/4p1bp/p2pP1P1/N2P4/1P5P/P1r3B1/R1BQ1R1K b - -,h6g5
1rbq1rk1/1pnnbppp/p2p4/2pPp3/P1P1P1P1/2NB1N1P/1PQB1P2/R3K2R b KQ a3,b7b6
2r2rk1/pp2ppbp/4b1p1/N2N4/1n6/6P1/PP1BPPBP/2R1K2R b K -,b4d5
8/8/1kbp4/pp1n2p1/3Pp1B1/PP2P3/2K3P1/4B3 w - -,e1d2
r4r1k/pp2Npbp/2n1b1p1/4B3/2Pp2B1/5Q2/P5PP/R4RK1 b - -,c6e5
3qrbk1/5p1p/6p1/p7/1ppP2n1/4PB2/PPQB1RPP/4N1K1 b - -,g4f2
3r1rk1/1p3pp1/6p1/pBb1q3/Pn2P2P/2Qp1P2/1P1B2K1/2R4R b - -,c5d4
r2r4/1b1nkppp/pp2pn2/2b5/2B5/P1N1PN2/1P1BKPPP/2RR4 w - -,d2e1
r6r/pp3kb1/4n1p1/2pqPp1p/7P/3PB1P1/PPPQN2K/R4R2 b - -,g7e5
7k/7p/6p1/5n2/2Qb1P2/r1n3BP/5PK1/8 w - -,c4f7
2R5/3r1k1p/1pb5/p2p1pB1/P2RpP2/6KP/2r5/8 b - -,c6a4
3r4/8/p3bk2/4p2P/2p5/P3R3/6P1/3BK3 b - -,d8d3
2R5/r1b5/P1B5/2kp1p2/P1p5/8/2K5/8 w - -,c6b7
3q4/5nk1/3p2p1/2pPp2p/1pP1P2P/1P2Q1P1/4B1K1/8 b - -,f7h6
r1b2qk1/ppp1n1bp/3p4/3P2BN/2Pnp3/2N3P1/PP5P/R2Q1B1K b - -,d4f3
8/p4kp1/3R3p/4P2K/r7/3r2P1/4R2P/8 b - -,d3f3
6k1/3qbpp1/4p3/1p5p/4Q2P/PP3PP1/1B4K1/8 w - -,e4c2
r2q1r2/pp2ppk1/1n4pp/3P4/2n1R3/2N2BP1/PP3P1P/R1Q3K1 w - -,e4h4
rnb2rk1/pp3ppp/3p1n2/q2Pp3/4P3/5P2/P2P1NPP/R1BQKB1R b KQ -,c8d7
4r1k1/pp2rp1p/1n3p2/1P3R2/P7/1N3PP1/6KP/R3bB2 b - -,g8g7
r1b2rk1/1pp2ppp/p2p4/3Pn3/2P1P2q/1QN3R1/PP2B1PP/R5K1 w - -,a1f1
r2qrbk1/p2b1pp1/1pnp1n1p/3Np3/2P1P3/1Q3N1P/PP3PP1/R1B1RBK1 w - -,c1d2
2R5/1r2r2p/6p1/5p2/1kp2R1P/6P1/5P2/3K4 b - -,e7c7
1r4k1/2p2pp1/4rn1p/p7/2P5/P1B3Pb/1P3P2/R3R1KB b - -,a5a4
r2r2k1/1p2bpp1/2pnp2p/4N2P/p1PP2P1/4BP2/PP6/1KR4R w - -,h1d1
8/R6p/8/P2nkpp1/2pr4/6P1/4BK1P/8 w - -,a7a8
4r1k1/1p3rp1/p4n1p/2Pp4/7P/4P3/PPQ3P1/4R1K1 w - -,c2d3
2rq2k1/3r2bp/p2P2p1/2p1pp1n/2N5/4BQ1P/1PP2PP1/3R1RK1 w - f6,f3d5
r3k2r/pp2ppbp/2p3p1/4N3/2BP3P/2P2Pn1/bP1B2P1/2KRR3 b kq -,a2c4
r3k2r/1np1bppp/p7/1p1pPq2/3P1PP1/8/PP1N3P/R1BQ1RK1 b kq g3,f5d3
r4rk1/1bqnbp1p/pp1ppnp1/8/4PP2/1NNB3Q/PPPB2PP/4RR1K b - -,f8e8
3r2k1/p2rnpbp/1pq1p1p1/2p1P3/4NPP1/2PP4/P3Q2P/2BR1RK1 b - -,b6b5
r1bqk2r/pp2bppp/2n1pn2/8/2Np4/5NP1/PP2PPBP/R1BQ1RK1 w kq -,d1d3
5r1k/pp4pp/8/3P4/1P6/P1Q2pPq/5P1P/4R1K1 w - -,c3f3
6k1/p5p1/2p4p/2Qp4/8/PP1P2PP/2P1q3/6K1 b - -,h6h5
r3r1k1/p4pb1/2np4/q4pPp/Pp1P3P/1PnQ2NN/7K/R4RB1 w - -,f1f5
r3r1k1/7p/bpp1Q1p1/p1b1p3/P1N1P3/2B3P1/1PP2P1P/R4BK1 b - -,e8e6
8/5kp1/4p3/5p1p/3Pn2P/1p2K1P1/1N3P2/8 w - -,b2d1
4k3/1R2b3/1B6/1Kp5/8/1PP5/6r1/8 b - -,g2g3
r2q1rk1/1pp1bppp/p1npbn2/6B1/4P3/2N2N1P/PPPQ1PP1/2KR1B1R w - -,g2g4
2kr3r/1pq2p1p/p1nbp3/2p3pB/3pPP2/3P2P1/PPPB3P/R1Q2RK1 b - f3,f7f5
2r3k1/pbq2pb1/1p1N2pp/3P4/8/1B4Q1/P4PPP/3R2K1 b - -,c8d8
r4rk1/pp3pp1/2b1p2q/8/8/P1B3Q1/1PP2PPP/R2R2K1 w - -,d1d4
2r1r1kn/1p2q1p1/pb2p2p/3pPp1P/PPPn1N2/3B2B1/Q4PP1/1R2R1K1 b - -,d5c4
7k/6bp/8/1P1p4/p7/2P2R2/1nB2K1P/8 b - -,a4a3
1r3rk1/2p1Qp2/3p1q2/1p1P1P1p/3P3n/5Pp1/1PBN4/R3R2K b - -,g3g2
2r1r1k1/RQ5p/4q1pb/2p5/4p3/4P1P1/P5BP/5R1K b - -,e8e7
3qkb1r/rp1n1pp1/p1p1p1p1/3p3n/2PP4/1QN1P2P/PP2BPPB/R3K2R b KQk -,f8e7
4b1k1/p1p3pp/3q4/2pp4/7P/5PP1/P5K1/2NQ4 w - -,d1e2
8/1p1k1P2/3P4/p1p4p/P3Pq2/1P3p1K/5Q2/6r1 w - -,f2g1
r3kb1r/1bqn1ppp/pp1ppn2/8/2P1P3/P1NB1N2/1P3PPP/R1BQ1RK1 w kq -,f1e1
r4rk1/2q2ppp/p1b5/3pPpP1/1p1N3P/1P2B3/1PP2Q2/1K1R4 w - -,d4f5
2r2rk1/1BP2pbp/3B1qp1/8/pQ1p4/3b3P/5PP1/1RR3K1 b - -,d3b1
