8/6p1/1q1kp3/5pp1/8/3r2PP/R5QK/8 b - -,d6e7
4R3/p1k3p1/1n1r1b2/2pp1Q2/2q5/2P4P/P1P2PP1/1R4K1 w - -,g2g4
4r2k/6b1/1q1p1n1p/p1pPr1p1/3nP3/1PNB2P1/1R4KP/3QBR2 b - -,e5e7
rnbqk2r/ppp2ppp/3p1n2/4p3/2P5/P1Q2N2/1P1PPPPP/R1B1KB1R w KQkq -,b2b4
5r2/pp5r/2ppkpRp/5R2/2P1P3/3PP2P/PP3KP1/8 b - c3,a7a6
2B1q3/pp2n1pk/1n4bp/4P3/5BP1/8/PP1Q1P1P/3R2K1 b - -,e8c8
2R2bk1/3npp1p/1p1p2p1/3P4/p3P3/2B2P2/PP2b1PP/6K1 b - -,f7f5
8/8/3pR1k1/n1pP1p2/4pr2/2P3N1/5PK1/8 b - -,g6g5
2r2rk1/1p1qnpbp/p2pb1p1/2p5/3nPp2/3PB1P1/PPPQ1RBP/2NN1RK1 w - -,e3f4
8/7k/3pp1qp/p3p1r1/1pPbP2R/1P1N2PK/P3QP2/8 w - -,e2f3
2r5/1p6/5p1p/P2P2p1/2PKPk2/2R5/5P1P/8 b - -,c8a8
r3rbk1/ppqb1pp1/2pp1nnp/8/3BP3/1BP2NNP/PP3PP1/R2QR1K1 b - -,g6e5
1r1q2k1/3rbppp/1p6/7R/Q7/2p3P1/PP3PBP/R5K1 w - -,b2c3
4r3/1p1b3p/1npk1pp1/p7/3NPP2/1PR3P1/P2K2BP/8 b - -,c6c5
1rq1r1k1/2pnn1b1/p2pb1pp/3N1p2/1PP1p3/4P1P1/P1QB1PBP/1R2NRK1 w - -,d5e7
8/p7/3k3p/1p6/1Pp1Bp1P/P1P1nP2/1K6/8 b - -,d6c7
r2qk2r/1p3ppp/1npbp1b1/p7/3P2PP/PB2BN2/1PPQ4/2KR3R b kq -,a5a4
r4rk1/1bq1bp1p/p2pp1p1/6P1/1n2PP2/1PN4R/1P4BP/R1BQ3K w - -,f4f5
1k1r4/1ppqbpp1/p1n4r/3Q4/1PPp4/PN3BPb/1B2PP2/R3R1K1 b - -,d7c8
R7/7p/5p2/5k2/8/1r3K2/7P/8 w - -,f3g2
r1r3k1/3R1pb1/n6p/1p2pPp1/qB2P3/P2B1Q2/2P3PP/2K4R w - -,f3h5
2rqr1k1/1b6/p2pp1p1/8/1PP1nP2/3B1R1Q/1N5P/5R1K w - -,h3h6
3q1rk1/pbrn1p1p/1pp2bp1/3p2B1/3P1Q2/2N3PB/PP2PP1P/2R2RK1 w - -,g5h6
8/1p2kpp1/p3p3/n5rp/3r4/3NN1P1/5P1P/4RBK1 b - -,a5c6
8/5pk1/4p1p1/pNbpP2r/P1p2P2/2P2K1P/1P5R/8 w - -,f3g4
rnb1k2r/p4ppp/2p1p3/1p1nN3/PbpP4/2N1PB2/1P3PPP/R1B1K2R w KQkq -,f3d5
2q2rk1/p2n1pbp/1p1Bp1p1/3b4/3p4/1P3NP1/P3PPBP/3Q1RK1 b - -,f8d8
r3kb1r/pp3ppp/2n1p3/qQ5b/3P4/2P2N1P/P3BPP1/R1B1K2R w KQkq -,b5a5
r1bq1rk1/1ppnbppp/p4n2/3p4/3P1B2/2N1PN2/PP2BPPP/2RQK2R b K -,d7b6
r1b2rk1/p2nbppp/1qpp1n2/1p2p3/P2PP3/1PNB1N2/2P2PPP/R1BQR1K1 b - a3,e5d4
r6k/1b6/pp2p1B1/2p5/P2p4/2P4P/1P5P/5R1K w - -,h1g1
8/7P/1p1b1kP1/1Pp1p3/2P1K3/5P2/7r/2R5 w - -,c1g1
1r6/5pkp/Q1Rb2p1/3q1p2/3Pn3/4P2P/P1R2PP1/6K1 w - -,a6f1
r3r1k1/pp3ppp/2p5/2Np1b2/1P1Pn2q/3BP2P/P1Q2PP1/1R3RK1 w - -,d3e4
r1bqkb1r/pp1npppp/2p2N2/8/2BP4/8/PPP2PPP/R1BQK1NR b KQkq -,d7f6
2r1b1k1/1p4p1/p4rn1/3R4/7p/1P2RP1N/6PP/5BK1 w - -,h3g5
8/4kpp1/2p4p/2Np4/r2P2P1/5PK1/3R2P1/8 b - -,a4b4
2r1r1k1/Qp1bpp1p/5np1/4B3/2q5/1B3P2/P5PP/R3R2K b - -,c4a6
r5k1/pp2p2p/4N1p1/2p1P3/2nP4/2P5/P5PP/2bR2K1 w - -,d1c1
8/3r1p2/6p1/4p1kp/2R1P3/1B5P/P3KbP1/8 b - -,f2a7
3Q4/kbR5/1p5p/4q3/1P6/P3N3/3KNrp1/8 w - -,d8d7
8/8/3Q3p/2Pp1ppk/q7/5n1P/2K1Q3/8 w - -,c2b1
4k3/p3n3/4PK1p/1pp4B/2n2B2/P1P5/8/8 b - -,e8d8
r1bq1rk1/pppnppbp/3p1np1/8/2PPP3/2N1B2P/PP3PP1/R2QKBNR w KQ -,g1f3:g2g4
r1bn1rk1/ppppqpp1/1b5p/3PP3/2B2B2/1NPQ4/P4PPP/R4RK1 w - -,f1e1
5bk1/1p3p2/p2n2p1/2qPp3/4P1P1/1P3BKp/P2BQ2P/8 b - -,c5c2
4rr1k/1b1q3p/pb2pn2/1p2n3/1P1pPN2/PQ1P2PB/3N1B2/3R1RK1 b - -,f6g4
5k2/6p1/1p5p/1PpB1P1n/2P3PQ/q3Bp2/6PK/8 b - -,a3e3
r2qr1k1/1pp2pp1/3pbn1p/p1n5/2P5/PPN3PP/4PPB1/R1BQ1RK1 b - -,d8c8
r3kb1r/1p1n1ppp/q1n1p3/2ppP3/p2P1P2/P1P5/1P2N1PP/RNBQ1R1K b kq f3,c6a5
r2r2k1/p4pbp/q1p2np1/4pP2/2P1P1P1/2pB1Q1P/P1P2B2/1R2K2R b K -,a8b8
5rk1/r4pbp/2R1p1p1/1p1nP3/4N3/1q1B1PP1/5P1P/1R4K1 w - -,b1b3
rnbq1rk1/1p2ppbp/2pp1np1/p7/P2PP3/2N1BP2/1PPQ2PP/R3KBNR w KQ a6,e3h6
2B5/8/8/4pk2/5p1K/4n2P/8/8 b - -,f5f6
8/pp4k1/3NRb1p/8/4KP2/8/P5rP/8 w - -,e4f5
3r1rk1/1pq2pbp/p1p2np1/2Pp1b2/NP1B4/P3PB2/5PPP/R2Q1RK1 b - -,f8e8
R7/4rnpk/5p2/2q1p2P/4P3/2P2P1b/PP5P/1K1RQ3 b - -,h3e6
r1q1k2r/pp2ppb1/2p2np1/3bN2p/3P1P2/B5P1/P1P1P1BP/1R1Q1RK1 w kq -,g2d5
6k1/6p1/5p1p/3b1P2/2r2PP1/1p1K3P/3B4/4R3 b - -,c4c2
r1bqk1nr/pppp1ppp/4n3/2b1N3/2B1P3/8/PPP2PPP/RNBQK2R w KQkq -,c4e6
r3k2r/1pqn1p1p/p1p1pp2/8/3P2b1/Q1P2NP1/PP3PP1/R3KB1R w KQkq -,e1c1
1rbqr1k1/p4p1p/2p3p1/8/1PQ1N3/4P1PP/P4PB1/b1B2RK1 w - -,e4c5
r2qr1k1/pp1n1ppp/2p2n2/3p4/1b1P2b1/2N2NP1/PPQBPPBP/R4RK1 w - -,f1e1
7r/Rr2kppp/3p1q2/nB2p3/4P3/2P5/1P3PPP/3QK2R w K -,a7b7
2r2nk1/5qp1/2p1p1p1/2P4n/pP1PQ2R/B4P2/2B5/6K1 b - -,h5f6
r3k2r/p3bppp/5q2/1PpPp3/Q2n4/2N2B1P/PP3PP1/R4RK1 b kq -,d4f3
1r5r/Q3kppp/1n1qpn2/6B1/4P3/1PN2P2/P1P3PP/2K4R b - -,b6d7
r2qr1k1/pbpnbp1p/1p1p1np1/3Pp3/2P1P3/1PN1BNPP/P4PB1/R2QR1K1 b - -,f6h5
1kbr4/4b2p/p3qp2/4p3/1p2P3/1P1NBP2/2P2Q1P/2R1K3 b - -,e6c6
1r2r1k1/p4pp1/2p5/8/1P1pP3/1P3nPp/3q1P1P/Q2NRR1K w - -,d1b2
8/1k5p/1p2p1p1/p3Pp2/5PP1/1P1PK2P/1P4R1/2r5 w - -,g4g5
3k4/bp3QP1/p1p1B2p/P6P/1P2q3/5P2/4p1K1/8 b - -,e2e1n
r5k1/p1p1p3/1p4q1/3P1npp/4Np2/B2R4/PP3PPP/2R3K1 w - -,e4d2
r2r2k1/2p1qppp/1p2b3/p1p1P3/2N5/1P5P/1PPRQPP1/R5K1 w - -,a1d1
r5k1/pb4pp/8/2Qq4/4pB2/4P3/P4PPP/5RK1 w - -,c5e7
2k4r/pp1r3p/2q3p1/3R4/2P4R/1P5Q/1P3PP1/1K6 b - -,c8c7
5r2/8/q2p1bk1/p1pPp2p/1pP1P1rP/3KQ3/PP4PR/7R b - -,f6g7
8/7p/5pp1/1pk5/4P3/5N2/P2K1PPP/8 w - -,d2c3
r1r3k1/5ppp/p3p3/2bn4/2N5/1P6/P2B1PPP/1R3RK1 b - -,d5b6
r4r2/1q2ppkp/p2p1np1/1ppP4/P1P5/1PQ3P1/3NPPbP/R2R2K1 w - -,g1g2
8/2Rb3p/1P2k1p1/5p2/r4P2/4N1P1/7P/6K1 b - -,a4b4
r1b2rk1/p1q1bp1p/2np2p1/1pp1p1P1/2B1P3/3P3P/PPP2PN1/R1BQK2R w KQ b6,c4d5
1kr5/ppprppbp/3n2p1/3P4/P4B2/1PN2KP1/2R2P1P/2R5 b - a3,a7a6
6k1/p4p1p/1r4p1/2QPq2n/4P3/5P2/6PP/3R1N1K w - -,f1e3
8/p2k1ppp/bp2p3/4P3/3pP3/6P1/PPPK2BP/8 b - -,f7f6
rnbq1rk1/ppp1p1bp/3p1np1/5p2/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 b - -,c7c6
1k3Q2/bp6/p1p2p1p/P3p2P/1P6/1BP3P1/3q1PK1/8 b - -,b8c7
rn2kb1r/pp2pppp/2pq1n2/4Nb2/3P4/2N4P/PPP2PP1/R1BQKB1R b KQkq -,b8d7
2r3rk/1q2bp1p/p2p2n1/B2Pp1pn/2P1N1P1/1P1Q1P2/4N2P/1RR3K1 b - g3,h5f4
1r6/2R5/1p2kbpp/p7/8/6PN/P3PP1P/5K2 w - a6,h3f4
r1b1rbk1/p1R2p1p/q3p1p1/npnp4/3P1B2/PP3NP1/4PP1P/3QRBK1 w - -,d4c5
8/7p/3b1k2/4P1pP/8/p1B5/P5K1/8 b - -,d6e5
1r2r3/R2b2kn/3p2p1/2pP1n2/4NP1p/2N4P/1q2BQPK/R7 b - -,b8b7
k4r2/p2R4/Pp6/4N3/5K2/R2p4/4bPP1/2r5 w - -,f4e3
8/8/8/2kn4/2p5/5rPP/3K1P2/5R2 b - -,c4c3
r3k2r/p3bpp1/b1p3np/2p1p3/4PP2/2P5/PP3NPP/RNBR2K1 w kq -,f4f5
1k6/1r4p1/P5Rp/1PK4P/8/8/6P1/8 b - -,b7e7
2b2rk1/p2pppbp/5np1/8/Nr6/6P1/PP2PPBP/R1B2RK1 w - -,b2b3
3r2k1/4p2p/2p3qP/pp2PQp1/2pP2P1/P1P5/5RK1/8 w - -,e5e6
rn1q1rk1/pb3ppp/1p1ppb2/2p5/2PP4/4BNP1/PP1QPPBP/R2R2K1 b - -,d8e7
4rbk1/p1p2b1p/1rp3p1/1p2p3/4P3/1PB4P/P1P1RPP1/3R1NK1 b - -,b6a6
2rqr3/1p2pR2/p2pRn1k/6pp/5Q2/1PP4P/1P3PP1/6K1 w - -,f4f5
2r5/ppr1k1pp/2nb1p2/3B4/R4P2/1PB1P2P/1P2KP2/3R4 b - -,d6c5
rnbqrbk1/2p2pp1/p2p1n1p/1p2p3/P3P3/2PP1N1P/1PB2PP1/R1BQRNK1 b - a3,c8b7
r2q1rk1/6pp/2nppb2/3Np3/ppP1P2P/6P1/PPN2P2/R2QK2R w KQ -,d5b4
r2qrbk1/1pp2bpp/1nn2p2/8/pP1NP3/P1Q3P1/1B1N1PBP/2R2RK1 b - -,c6d4
3rk1r1/pp1q1p2/2b1p3/4P3/3n1PP1/P1pB2R1/2P2Q1P/1RB1K3 b - -,d7d5
8/8/6p1/p3k3/8/2N1K1P1/8/8 b - -,e5f5
r2q1rk1/4bppp/p2p4/1ppB4/3pP3/P2P1Q1P/1PP2PP1/R4RK1 b - -,a8a7
2k3rr/ppp1n3/2n2p2/P1Np4/1P1P1qpp/2P2B2/5PPP/R2Q1RK1 w - -,f3e2
8/1p1r4/p1p3p1/5kPn/P4P1P/1P2R3/2KB4/8 w - -,a4a5
2rr2k1/pb3ppp/1p1bpn2/n7/2PP4/P2BPNP1/1B1N3P/2R1R1K1 w - -,g1f2
r3r1k1/ppq1npb1/2p1pnp1/3p3p/4PB1P/P2P2P1/1PP1QPB1/R2N1R1K b - -,c7d8
2rq1rk1/pb3p2/1pn1pbp1/6N1/3P2pP/2PB4/P3QP2/1RB1R1K1 w - -,e2g4
rnbqk2r/pp2b1pp/2p1p3/3pNp2/2PPn3/6P1/PPQ1PPBP/RNB2RK1 b kq -,b8d7
rn1q1rk1/6pp/p2P4/1p2p1b1/2p5/PB1QBb2/1P1R1P1P/2R3K1 b - -,g8h8
6k1/6B1/2qp1pp1/p3p3/P3KnPP/8/1PpQ1N2/6R1 w - -,e4e3
5rk1/1r2ppbp/p4np1/1q3PB1/2p3P1/2P3NP/PP1R4/3Q1RK1 b - -,b5b6
6k1/5p2/p5pp/4Q3/8/4P1PP/P5PK/3q4 b - -,h6h5
3br3/3R2pk/1p3pn1/1Bp1p2p/4P2P/P4PB1/6P1/5K2 b - -,d8e7
8/2K5/4p3/3rB2k/3P1Pp1/8/8/8 b - -,g4g3
r5k1/rpqb2bp/2p1ppp1/2Pp4/PQ1P4/4PN2/4BPPP/RR4K1 w - -,a4a5
r2q1rk1/pb2bppp/2n2n2/2pp4/8/1PN2NP1/PB2PPBP/2RQ1RK1 b - -,a8c8
3r1rk1/1pb2qp1/2p4p/2P5/Q3b3/6P1/PP3PBP/R3R1K1 w - -,a4e4
8/5pkp/6p1/8/pR6/3rP2P/2K2PP1/8 b - -,d3a3
rnbq1rk1/pp3ppp/5n2/3pp3/2P5/P4NP1/1PQBPP1P/R3KB1R b KQ -,b8c6
r5k1/q5Pp/6p1/1bR5/1PP1P3/5P2/1P6/1KQ5 b - c3,a7a2
1rr2k2/p4pp1/4b2p/1pbNp3/4P1P1/P4R1P/BPP5/1K1R4 b - -,f8e8
r4nk1/1p1nqbpp/p1p2p2/8/N3PP2/1P4PP/P1Q2BB1/3R2K1 w - -,a4b2
2kr3r/pp1bbn1p/2p5/5p2/2q1N3/2P2Q1N/PP3PBP/1K1R3R w - -,e4d2
1r4k1/r4p2/3pp1pp/q1b5/2Q1P3/2N2P2/4N1PP/3RBK2 w - -,e4e5
r2qrbk1/1p3pp1/p1n1b2p/2p5/3pnB2/P2P1N1P/BPPQRPP1/R5K1 w - -,e2e4
4rrk1/3q1ppp/p7/1ppnb1B1/4N1b1/1BPP4/PPQ2PPP/R3R1K1 w - -,c2d2
r3r1k1/2p2p2/1p2p3/p2n4/3P2p1/2P2RB1/P5PP/R5K1 w - -,f3d3
8/5pk1/4pQ2/1q2P3/6P1/8/5PBK/3b4 b - -,g7h7
2R5/p3rbkp/6p1/2N2p2/3p4/1P3BP1/3b1PPK/8 w - -,c8d8
r4rk1/1bq1bp1p/p4np1/1pn1pN2/4P3/P1NB1R2/1PP1Q1PP/5RBK b - -,g6f5
r1bqk2r/pp2bppp/2np1n2/2p1p3/4P3/2P2N1P/PPBP1PP1/RNBQR1K1 b kq -,d8a5
rn2k2r/pp2bppp/2p1pnb1/q7/2B2P2/2NPB1N1/PPP3PP/R2Q1RK1 b kq f3,b8d7
3r1rk1/pppqb1pp/2n1pn2/3pp1B1/4P3/1N1P2PP/PPP2PB1/R2Q1RK1 b - -,h7h6
8/8/6r1/2k5/3R4/2B5/2K5/8 w - -,d4h4
r1b1kb1r/1pqn1ppp/p2p1n2/4p3/4PP2/2NB1N2/PPP3PP/R1BQ1RK1 b kq -,f8e7
r3r1k1/1pq2ppp/p2b4/2pP1bB1/PnQ5/2N2N1P/1P3PP1/R2R2K1 w - -,a1c1
2Br1rk1/p3q1bp/1pP5/n3Npp1/5P2/8/PB2Q1PP/R2R3K b - -,d8c8
2r5/3n1pk1/p3p1p1/q2p1n1p/PNrP1P2/R4P2/1R1QNKPP/8 b - -,c8b8
r1b3k1/2q1bppp/4p3/1p4Pn/p3P3/4BP2/1PP1N2P/1K1Q1B1R w - -,e2c1
4kr2/1pp1b1p1/2p1p3/4P3/2P1NPP1/pP4K1/P7/3R4 w - -,d1e1
r2q4/1p2nkp1/2p1n1pr/p2pPp2/Pb1P1P2/1P1QBBP1/2R1N1KP/3R4 b - -,d8b6
4n1k1/pb6/2q3p1/2prpp2/4N3/1P1N1PQ1/P1P3PP/3R2K1 w - -,e4c3
8/p5R1/2k1p3/1B2p1P1/N2bP3/7r/P1K5/8 b - -,c6b5
1q3rk1/rbpnnpp1/4p2p/p7/Pp1PP3/4QNP1/1PRN1PBP/R5K1 b - -,f8c8
8/1R4p1/4k3/3p4/2pb4/1n6/1P5P/3K4 b - -,d4b2
r3k2r/p2bpn1p/2pp1p2/5Ppq/4P3/1B3R1P/PPP3P1/R1B1Q1K1 w kq -,g2g4
8/p4pk1/3R1np1/4Q3/8/1Pr2B1P/Pq3PK1/8 b - -,c3c2
r1bqk2r/pp1n1ppp/3bpn2/8/1pPP4/3BPN2/PB4PP/RN1Q1RK1 w kq -,b1d2
2n5/pp3b1p/2pk4/4p1p1/1P2Pp2/P1P2P1P/2KNB1P1/8 w - -,e2c4
8/6p1/1p1n1k1p/3P1p1P/6r1/P4N2/5P2/2R2K2 b - -,g4c4
2r1n1k1/4qpb1/p2p2p1/1b1P3p/1PpBP3/6P1/1Q3P1P/2R1RBK1 b - -,g7h6
8/6Q1/8/K7/4q1k1/6p1/8/8 b - -,g4f4
2rnr1k1/1q3bbp/p2p1np1/1p1P1p2/1P1N1P2/1QNR2PP/PB4BK/2R5 w - -,d4c6
6r1/1b1k4/8/R7/2P2B2/3K4/8/8 w - -,a5h5
r4r1k/1bp3pp/1p1p4/3n3q/1P2nP2/1Q3N2/1B2BPPP/3R1RK1 w - -,f3d4
rq2r1k1/5pp1/6p1/2pp4/p3n1QP/P1P2N2/1P2RPP1/4R1K1 b - -,b8c8
6k1/8/3K4/1p2P3/1P4r1/2R5/8/8 w - -,d6c5
8/5pk1/3p2p1/2p3Q1/5P2/P4K1r/7q/5R2 w - -,f3e4
2r2rk1/p2q1pbp/1pn3p1/2p1p3/8/2PP2PP/P1QBPPB1/3R1RK1 w - e6,d2c1
r1b2bk1/1pNn1p1p/4p1p1/pq2P3/3p2Q1/8/PP3PPP/R3R1K1 b - -,b5c6
3n2k1/rb2pp1p/6p1/1Qpnq1N1/2B5/4P2P/3N1PP1/1R4K1 w - -,d2f3
4rrk1/pbqn1pbp/5npB/1p2p3/4P3/1p3NNP/P1P2PP1/R1Q1RBK1 w - -,c2b3
rn1q1rk1/pb1p1ppp/1p2pn2/2p5/2PP4/4PNP1/PP1N1PBP/R2QK2R w KQ -,e1g1
1k6/1pp5/5p2/pP1P1N1B/2P5/2n3P1/1r4P1/5K2 w - -,d5d6
rnq1k1nr/pp2p1b1/2p2Pp1/3p1bPp/3P1N2/2N4P/PPP2PB1/R1BQK2R b KQkq -,e7f6
8/4ppk1/p2p2p1/qprb3Q/3NP2P/5P2/PPr5/1K1R2R1 w - -,d4f5
2kr4/pp3Q2/4p3/5p2/2qPp3/6P1/P4P2/4KR2 b - -,d8d4
8/p7/2p4P/1p1p1N2/1P6/6k1/7r/1K6 b - -,g3f4
8/1r3pkp/1PR1p1p1/1Q6/3q4/4p2P/6P1/7K w - -,h1h2
6k1/2nb1pp1/7p/8/3N2P1/BB2nPKP/8/8 b - -,c7b5
r6k/pb2r1p1/1p2N2p/2P5/2B3P1/P3R3/1b3P1P/1R4K1 b - -,b2f6
6k1/p1q1ppb1/1p4p1/6Bp/1P1nN2P/3P2P1/Q3PP2/6K1 b - -,a7a5
2brr2k/4q1bp/2p2pp1/p1B1n3/P3P3/2N4P/1P2BQP1/3R1R1K b - -,e7e6
r2qkbnr/6pp/p2pb3/2pNp3/Pp1nP2N/6P1/1PP2P1P/R1BQKB1R w KQkq -,c2c3
4r1k1/p3q1p1/3p1n1p/3P4/2PQ1P2/6NP/P5PK/1R6 w - -,b1c1
8/4k2K/6P1/8/5R2/8/8/2r5 w - -,f4h4
3R4/p1r3kp/6p1/3B4/5P2/6P1/3n2KP/8 b - -,d2b1
r4r1k/1pp1n1p1/p1nqpp2/3p4/3P1Pb1/2PB1NP1/PPQN1P1P/R3K2R w KQ -,e1g1
r1bqkbnr/ppp1pppp/2n5/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq d3,g8f6:c8g4:c8f5
r2q1rk1/1pp2ppp/p1npbn2/4p3/4P3/1BPPPN2/PP1N2PP/R2Q1RK1 w - -,d1e2
8/p1r2p2/1p2nP1k/4PQ1p/8/6r1/P5PK/8 w - -,h2g3
1r1q4/3np1kp/3pprp1/1p6/1P6/4Q1P1/P3PPBP/1R3RK1 b - -,d8b6
5k2/3R3p/1p2rBp1/p3P3/2p4P/2P1P3/1n6/6K1 w - -,d7d8
r2q1rk1/pp1nbppp/2p1p3/3pPP2/3P2P1/1N3Q2/PPPB3P/R4RK1 w - -,f3h3
rnbqr1k1/pp3pbp/3p1np1/2pP4/4PP2/2NB1N2/PP4PP/R1BQK2R w KQ -,e1g1
rnbqk2r/ppp1ppbp/3p1np1/3P4/2P1P3/2N2N1P/PP3PP1/R1BQKB1R b KQkq -,e8g8
r2qkn1r/pp2bpp1/2p2n1p/3p4/3P2bB/2NBP3/PPQ1NPPP/R3K2R w KQkq -,f2f3
r1n1k2r/1bq2p2/2pp1bpp/p1n1p3/4P2N/P1N3B1/BPPQ1PPP/R4RK1 b kq -,f6h4
r1b2rk1/ppp3b1/2np1qpp/4pp2/2P5/2NP1NP1/PP2PPBP/1R1Q1RK1 w - -,c3d5
6k1/r5p1/r1nR4/1p2P2P/2p2Pp1/p3N3/R5K1/8 b - -,c6b4
r4rk1/2pqbppp/p1pp4/8/4PP1n/2N1B3/PPP1QP2/2KR3R b - -,f7f5
r1bq1rk1/4bppp/p1np1n2/1pp1p3/4P3/2PP1N2/PPB2PPP/R1BQRNK1 b - -,c8e6:f6d7:f8e8:h7h6
4rrk1/2q1bp1p/p5p1/1p6/2p1P3/1BP1Q3/PP3PPP/R3R1K1 w - -,b3c2
5r2/p4r2/bp2p2k/5npP/4B3/2N4P/PP2P2K/3RR3 b - -,h6h5
r3k2r/1pq1bpp1/p1bppn1p/8/4PB2/2N2P2/PPP3PP/1K1RQB1R b kq -,b7b5
3q2k1/1p2np1p/5bp1/pP1p1b2/3P4/P2BB2P/4NPP1/2Q3K1 w - -,c1c2
8/1k6/3K4/3PP3/7r/R7/p7/8 b - -,h4h2
6k1/1Q2pp2/3pb1p1/8/P2qP2P/K7/P1PNn3/3R4 b - -,e2c3
r5k1/r2p2p1/4p2p/4Pq2/2P4P/p3QN2/R4PP1/6K1 w - -,e3b3
r2q1r2/pp1bpp1k/2np1bp1/2p4p/2P1PP2/2NPB1PP/PP4BK/R2Q1R2 w - -,d1d2
1r3rk1/3b1ppp/p3p3/qp1pPP2/2nQ2P1/P1P3N1/1P5P/1K1R1B1R w - -,f5f6
r2qk2r/ppp2ppp/1nn1p3/4P3/1bP2Pb1/5N2/PP2B1PP/RNBQ1K1R w kq -,b2b3
8/1Bk5/1p6/8/PP1P3r/3K4/8/8 w - -,b7a6
7k/6p1/7p/p7/1pR5/6KP/r5P1/8 w - -,c4c8
5k2/p2n1p2/4p3/4P3/1pq3pp/4R3/P4PPP/1B2R1K1 b - -,c4c5
r1bqk1nr/ppp2pbp/2np2p1/4p3/2PP4/2N1P1P1/PP3P1P/R1BQKBNR w KQkq e6,d4d5
4b3/4k1p1/4p2p/1p2P3/1pn1B2P/3N2P1/P7/4K3 b - -,e7d8
3r1rk1/pppqppbp/1nn3p1/8/8/2N3P1/PP1PPPBP/R1BQ1RK1 w - -,d2d3
