8/3r2k1/6P1/8/2P5/2KB1R2/2N5/6r1 w - -,c2e3
8/p7/1p4kp/1P1R4/8/8/2r4P/6K1 w - -,d5d6
8/2k5/K7/8/1P6/8/8/8 b - -,c7b8
rnbqk2r/pp2bppp/3ppn2/2p5/2B1P3/2N2N2/PPPP1PPP/R1BQR1K1 b kq -,e8g8
8/3qrpk1/3b2p1/3P3p/4R2P/3N1QP1/5PK1/8 b - -,e7e4
1R6/1br2pkp/pp6/2p1n3/P1P1P3/1P4P1/7P/3R2K1 w - -,d1d6
6k1/6pp/npp5/p4p2/1PP5/P1b3P1/4PPKP/R7 w - -,a1c1
2rq1rk1/pp2ppbp/3N2p1/8/2b5/4N3/PPQ2PPP/R1BR2K1 b - -,e7d6
r1bq1rk1/ppp3pp/2nppn2/5p2/2PP4/B1P2NP1/P3PPBP/R2Q1RK1 b - -,f6d7
1qr3k1/2rbbppp/pp1pp3/4n3/1PPNP3/P1R1QP2/5BPP/2R2BK1 w - -,d4b3
r6q/ppp2pk1/3p4/5Qb1/1PPP1N2/8/P7/1R5K w - -,f4h3
8/8/pp2k3/4p1K1/P1P2rP1/1P2R3/8/8 w - -,e3h3:e3d3
8/6N1/5pp1/1p6/1k3PPP/p7/8/1K3b2 b - -,b4c3
7k/1p3p2/p1p4p/4Pp2/8/P4P1P/1P4P1/6K1 b - -,f5f4
8/5kp1/4np2/7p/R7/4NKP1/R2r1P2/7r b - -,d2a2
r1bqk2r/pp2p1bp/2n2ppn/3pP3/3P1PP1/2N4P/PP6/R1BQKBNR b KQkq g3,f6e5
8/8/7R/3k1p2/3P1K2/7P/8/4r3 b - -,e1f1
8/8/7k/8/4BK2/8/1r6/6R1 b - -,b2b6
4r1k1/1p2qpbn/3p2p1/P1pP2Pp/1rNn4/3QB2B/RP2PP2/4R1K1 w - -,h3g2
3r3r/b5pp/2k2p2/2p1p3/5n2/P3N3/1B3PPP/R2R2K1 w - -,g1f1
8/8/3p4/2pP2k1/1n3pP1/p1NP3P/5K2/8 b - -,a3a2
2rqb3/1pb1rpk1/p3p1pn/P1PpN2p/1P1P4/2N3PP/3QRPB1/R5K1 w - -,a1e1
8/2p4p/1n3kp1/pB6/Pb1R1p2/1P3P2/2r2P2/3R2K1 b - -,g6g5
1r1q1rk1/4ppbp/1n3np1/N1p5/2BPb3/2B1PN2/P2Q1PPP/R3R1K1 b - -,b6c4
5k2/1R6/2p1P3/8/2PKPbp1/1P5b/7p/7B b - -,g4g3
2r3k1/5p1p/6p1/1ppP2r1/3bPQbq/7P/1P3PP1/2RNRB1K b - -,d4e5
r2qr1k1/1ppnbpp1/p1n4p/3pP3/3P2P1/P4N1P/1PbN1P2/R1BQR1K1 w - -,d1c2
4rbk1/p6p/P3qp2/1p1p1Q2/1p1P3P/1P2P3/6PN/4R1K1 w - -,f5f3
2kr4/pp3p1p/4pp2/3n4/6rN/1P4P1/P2R1PP1/4R1K1 b - -,d8d7
1n2b1k1/5pbp/1p1Np1p1/p7/4P3/1P3PP1/6BP/2B2K2 b - -,e8c6
4r1k1/1p3pp1/1ppq1n2/3n4/3P1P2/P4QKP/1PB5/2BR4 w - -,g3f2
2kr3r/p1p2npp/1p1q2n1/4P3/7P/P1BB1bP1/1PP1Q3/R3KR2 w Q -,d3a6
5bk1/6pp/8/1P2R3/P6P/1r4P1/5PK1/8 b - -,f8d6
2r1k2r/1ppq1pb1/p1n1p1pp/2Rb4/PP6/3PBNP1/3QPPBP/2R3K1 w k -,b4b5
rn2qrk1/1p1bb1np/p1Pp1ppB/4p3/2P1P3/2N5/PPBN1PPP/R2Q1RK1 b - -,b7c6
3n4/5k2/p2r2p1/5p1p/Pr1p1P1P/1p1P1K2/1R3B2/2R5 b - -,d8e6
6k1/5p2/6p1/2r5/PPN5/8/6PP/1b3K2 w - -,b4c5
5b1r/p1R2pkp/3n1pp1/3Q4/3n4/8/P2B2PP/1q1K3R w - -,c7c1
8/4Np1k/3r1Pp1/p2P3p/1p6/8/PP4PP/5R1K w - -,f1d1
5r1k/2q3pp/8/2pQp1r1/1pPp1pn1/P2P2P1/3BPPK1/4R2R w - -,a3b4
8/p6p/6p1/1P2kpn1/P7/3K1B1P/6P1/8 b - -,g5f3
8/4k3/R7/4p3/P7/4K3/2r5/8 w - -,e3d3
r1bqr3/ppp2pkp/6p1/4p3/2n5/2NPPBP1/PPQ2P1P/R4RK1 b - -,c4d6
4rrnk/1p3pb1/1q4pp/p2pp3/P2p1P1Q/1P1P3R/2PBN1PP/R6K w - -,f4e5
rnbqkbnr/1pp2ppp/p3p3/3p4/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq -,g8f6
5rk1/1p4pp/4pB2/1q1p1p2/3P1P2/P1Q1P2P/1P4P1/2R3K1 b - -,g7f6
8/2r2pk1/pRb2b1p/2QRp1pP/4P1P1/8/5qBK/8 b - -,f2f4
5r1k/1p4q1/p1P1Bb2/P2Pr2p/4p3/5pP1/2R2P1P/3Q1R1K b - -,b7c6
8/4bpkp/6p1/4P3/1p6/1Q3BqP/PP1r2P1/4R2K w - -,e1f1
rn1qkbnr/1b1p1ppp/p3p3/1pp5/4PP2/2NP1N2/PPP3PP/R1BQKB1R w KQkq -,d1e2:g2g3:g2g4:e4e5:f1e2:c3e2
6k1/5p2/3p2p1/2pPq2p/4P3/4QP1P/1r4P1/5RK1 b - -,e5g3
8/8/2k5/8/P1pR4/6P1/1R4K1/8 b - -,c6c5
2r2rk1/1bq1bp2/p2pp2p/6pN/2n3P1/1P2PN2/P1Q3PP/3R1R1K w - -,b3c4
5R2/pp4Pk/4q3/8/1P6/P1Q1r3/7P/7K w - -,f8h8
r3r1k1/pbqn2pp/1pp1p3/4Pp2/2P5/1P3B2/PB3PPP/R2QR1K1 b - -,a8d8
r3q1k1/pp3pbp/2npr1p1/2p5/2P5/3B1Q1P/PP1B1PP1/4RRK1 b - -,c6e5
2Q5/5pkp/4p1p1/p7/2P5/8/5PPP/q4BK1 b - c3,a5a4
2r2r2/1b4k1/pq1p2p1/1p1Pbp2/3N1RPp/PQP5/1P4BP/3R3K b - -,e5f4
r4rk1/1q1n1pp1/2pRb3/1p2p2p/p3PP2/2N1Q3/PPP1B1PP/1K5R b - -,e5f4
5r1k/1p5q/p7/3p3R/b1r5/4Q3/PPP3PP/6K1 w - -,h5h7
2r2r1k/5ppp/3R1b1B/1q2pP2/1N6/1b4Q1/1PP3PP/R6K b - -,g7h6
8/2k5/p1np1np1/2pN1p2/2P2P2/1P1K1B1P/1P1B1b2/8 b - -,f6d5
5k2/5pb1/3Pp3/2p5/2P2pPp/7P/6B1/6K1 b - -,g7e5
4r1k1/p4pnp/6bQ/1B4R1/3p4/P4P2/1PqB2PK/8 b - -,e8b8
rq6/2rnp1k1/B3bpp1/1P6/6P1/P3QP2/2P5/3RK2R b K -,d7f8
8/p3k2R/1p2p3/4P3/5Pp1/4K3/r6P/8 b - -,e7d8
r1br4/1p2k2p/2p2pp1/p3p3/P3P3/1BP1R3/1PK2PPP/3R4 b - -,d8d1
1kbrr3/8/1p2P3/2p4p/2P1Nb2/1P1pRB2/6PP/3R3K w - -,e3d3
8/ppp3kp/2n5/5p2/1Pnr1P2/P5PP/6BK/2RR4 b - -,d4d1
8/n2Br2p/P6k/4r1pP/3Q2P1/8/5PK1/8 b - -,h6g7
3b2k1/2r2ppp/p1n1pn2/8/N7/PP2B1PP/4PP2/2R3K1 w - -,e3b6
8/8/R4k2/8/p4PK1/r5P1/8/8 b - -,f6f7
r4rk1/p3ppbp/bnp2np1/8/3P4/q1NBBP2/P1PQN1PP/1R3RK1 w - -,b1b3
2r4k/5pp1/4n2p/2qpP3/ppR5/4R2Q/PPB3PP/1K6 b - -,c5c4
1r4k1/2q2p1p/p1p3p1/2P1r3/1Q6/7P/PP3PP1/2R2RK1 w - -,b4c3
2R5/8/4pk2/5p1p/2P2P2/6P1/2r3K1/8 w - -,g2f3
2R5/3n2p1/4k3/8/2PKP3/r5B1/7P/8 b - -,a3a6
rr4k1/3qppbp/n2p1np1/2pP4/4P3/2N3Pb/PP1B1PBP/1R1QNRK1 b - -,a6c7
8/8/pp2k3/2p1np1p/2P2B1P/PPK5/6P1/8 w - -,b3b4
8/7N/3nk1p1/3p4/5K1P/8/5P2/8 w - -,h7f8
r4rk1/pp1bnpp1/3p2qp/3Pp3/2Q5/4PN2/PP2BPPP/R4RK1 w - -,f1d1
4R3/3N4/5k2/3p4/3P4/8/1p1K4/r7 b - -,f6f7
1r1q1rk1/3n1pbp/3pp1p1/1p1N4/3pPP2/3P4/PP1QB1PP/1R3R1K w - -,d5b4
8/5p2/1pp3p1/p3rk1p/P6P/3K1PP1/1PP5/6R1 w - -,g1h1
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq d3,b8d7:f8e7:f8b4
1n3rk1/r3p2p/p2pP1p1/q1p4P/2pbB3/6P1/PP3P2/R1BQ1K1R w - -,h1h2
r1bqr1k1/p1pn1pp1/1P3n1p/3p4/8/2PPBNPP/P4PB1/R2Q1RK1 b - -,a7b6
r2qk2r/1bp2pb1/pn1pp1pn/1p2P2p/3PNP1P/3B1N2/PPPBQ1P1/R3K2R w KQkq -,d2a5
8/5p1k/4pP2/1p4P1/1Pp1R3/r1P5/5K2/8 w - -,e4e5
r1bq1rk1/ppp2pbp/2np1np1/4p3/2P5/1PNPP1P1/PB3PBP/R2QK1NR b KQ -,c8e6
7r/4kp2/pp1p4/3P1P2/3pN2p/P3b3/1P4PP/5R1K b - -,h8c8
r1br1bk1/2qn1pnp/2p3p1/ppP1p3/1P2P3/PNN1B1PP/2Q1BPK1/R6R b - -,a5a4
2qR1b2/7k/7p/4pp2/2P5/p5P1/2Q2P1P/B5K1 b - -,c8d8
8/5p2/4pk2/R1P2p2/P7/2r2P2/4KP2/8 b - -,f6e5
r7/1p2pk1p/2r1bpp1/8/3B4/2P3P1/P2RPP1P/2K4R w - -,d2b2
4r2r/1bp1kp2/pp1pp3/3Pbp2/2P4p/P1N2BPP/1PNR4/2K4R w - -,c3e2
2brr1k1/p3q2p/1pp1ppp1/2Pn4/1P1PN3/1B4Q1/P4PPP/3RR1K1 b - -,d5b4
r1b1r1k1/3n1pp1/p3p2p/qppn4/3P3B/2P1PN2/P1Q2PPP/1BRR2K1 b - -,f7f5
r2q1rk1/pb1nbppp/1p2pn2/2pP2B1/3P4/2N1PN2/PP2BPPP/2RQ1RK1 b - -,f6d5
6k1/5p2/6p1/2q4p/5P2/4Q2P/5KP1/8 b - -,c5c2
7r/4kp1p/p3pb2/1p4r1/4P3/5B2/PPP4P/1K1R3R b - -,f6e5
8/Pk6/7K/7P/2r1p2B/5p2/5P2/8 w - -,a7a8q
r3k2r/pp6/4pP1p/1b1p2pP/3P2P1/P3B3/2PK1P2/R6R b kq -,e8g8
8/5p2/7R/p2rpkpp/8/1P2K1PP/2P2P2/8 b - -,d5c5
2rr2k1/p4pbp/2p3p1/1Q1np3/8/1P1N2P1/P1RBPP1P/5RK1 b - -,c6b5
rnbq1rk1/1p1p3p/2pbpnp1/p7/1P6/P3P1PP/1BPPN1Q1/RN2KB1R w KQ a6,b4a5
r4rk1/pp1nqppp/2pbpnb1/3p4/2PP3N/1PN1PPP1/P3B2P/R1BQ1RK1 w - -,c1b2
6k1/1p3pnp/2p2n2/3pq3/1P4P1/5N1P/5Q2/5B1K b - -,e5f4
2kr3r/1p3pp1/p4n1p/3p2P1/7P/2PN1P2/PP3K2/R6R b - -,f6d7
rnbqkb1r/pp3ppp/8/2ppP1B1/8/2P2N2/PP3PPP/R2QKB1R b KQkq -,d8d7
r2q1rk1/3nppb1/1pp2npp/8/2NPb3/1P3NP1/4PPBP/R1BQ1RK1 w - -,c1b2
8/3r1k2/p3p3/2Bn1p2/1P3r2/P5R1/3R3K/8 b - -,f4h4
8/4kpK1/2b1p1p1/3nP3/5PP1/3B4/3B4/8 b - -,c6b7
8/8/6pB/5k1p/5p2/2r5/4BPK1/8 w - -,h6g7
q3r1k1/3n1pb1/rpp3p1/3p3p/P2PP3/1QN4P/1B3PP1/3RR1K1 b - -,a6a5
2r5/4kp2/3pp3/8/1Pp2R2/3r2P1/1PR2PK1/8 w - -,f4c4
4r1k1/4q1p1/1p2pBP1/p1p5/P2p3Q/1P1P3P/2P1R3/6K1 b - -,g7f6
r7/3nkp1p/1pR1p1p1/4B3/PPP2P2/3K3P/5P2/8 w - -,e5d6
2r1r1k1/4q3/3RPp1p/6pP/1Q4P1/pP6/P7/1K1R4 b - -,e7h7
rr4k1/3n1ppp/2p2n2/p3p3/1qP5/8/PPQ1NPPP/1RBR2K1 b - -,d7b6
2r4r/1q3pk1/p1N1pb2/2R4p/1P1PP1pP/P1Q3B1/5PP1/6K1 b - -,b7d7
6k1/5pb1/pBr3p1/P6p/2B2n2/1P3P1P/3R2P1/6K1 b - -,g8f8
4r1k1/1b3r1p/6p1/p2p1p2/1b1q4/1P3B1P/Q2B1PP1/2RR2K1 w - -,d2b4
8/5pk1/4p1p1/1R3nPp/1p1P3P/1Pr5/P2R1PK1/8 b - -,f5h4
8/8/p7/2p1r2p/1k1p3P/1P1K1R2/P7/8 w - -,f3g3
1q5r/r5k1/3p1p1p/2p1nPp1/1pPpP1PP/3P4/2PQB1K1/R6R w - -,h4g5
4r1k1/p4pbp/2q3p1/1P1P1r2/1B6/4P1P1/5PKP/1RR5 w - -,b5c6
8/6k1/1pbb3p/7R/1p1P1pPN/1P6/P3K3/8 b - -,d6f8
8/1p2k3/p4b2/3Pp3/4K2p/PP4pN/8/8 b - -,e7d6
5rk1/r1qbbppp/1p2p3/3pP3/1P1N1P2/2P1Q3/P5PP/RN3RK1 w - -,a2a3
4R3/pp3kpp/8/2p3p1/1PPb1q2/P6P/2Q2PP1/7K w - -,c2e2
r1bqnrnk/pp3pbp/3p2p1/1P1Pp3/4P3/1QN2N2/P2BBPPP/1R3RK1 b - -,b7b6
4r3/2p2k1p/pbp5/1p2Bn1N/P4K2/1P6/2P3PP/3R4 b - -,f5d6
5b2/p3p1kp/1p2B3/4q3/4nNQ1/P5PP/1P4K1/8 b - -,e5g5
8/5p1p/6p1/2k1PnN1/5P2/P4K2/8/8 w - -,g5h7
r3kbnr/pp1n1ppp/4p1b1/q2pP3/2pP3N/P1N1B3/1QP1BPPP/R4RK1 w kq -,e2g4
Q7/p3qpkp/1p3pn1/8/1P1R4/P3P1P1/5P1P/6K1 w - -,d4d8
r2r2k1/pb1nb1pp/1p3q2/2p5/3pPPQ1/1P3B2/PB1N2PP/R4RK1 b - -,f6f7
5k2/1pp1rp1r/p1bp4/P4PQp/4P3/2PP4/1PB4K/8 w - -,c3c4
r1b2rk1/1p1n1pp1/p3p2p/q2pP3/5P1B/2PBP3/P1Q3PP/R4RK1 b - f3,d7c5
6k1/1r3p1p/6p1/3R4/4P3/p4P2/5P1P/6K1 w - -,d5a5
r2q1rk1/pp2ppbp/5np1/3Pn3/Q7/2N2B2/PP3PPP/R1BR2K1 w - -,f3e2
2r2rk1/n1q2pp1/p1b1p2p/1pppP3/5P2/1PPBP1P1/P2Q3P/RNR3K1 b - -,c6b7
5r2/p6k/Pp2pR1p/2p5/4P3/1P1P2P1/2P3KR/8 b - -,f8f6
4rrk1/7p/Q1N1p1p1/2p5/1P1b1q2/5N1P/P5P1/5R1K b - -,f4g3
2r2rk1/1Nq2pbp/pp1p1np1/4p3/2P1P3/4BP2/1PB2NPP/2n1QRK1 w - -,b7d6
8/1p6/p4k2/3K3p/1P6/3B4/8/8 b - -,h5h4
8/8/8/5K2/5n1p/6k1/R5P1/8 b - -,f4g2
4r1k1/pn6/1p2rp2/2p3p1/3p2P1/1P1P2P1/P2B1R2/5RK1 b - -,g8g7
2r5/3r2p1/1p1Ppk2/p4p2/P1PRnPp1/BP4P1/6KP/3R4 w - -,d1d3
2r1r2k/1b1q3p/2p1N1pb/1p1pPp2/1B1P4/1Q2PB2/1P4PP/R4RK1 b - -,d7e6
rn1q1rk1/pbpp2pp/1p2pn2/5p2/1bPP4/2N2NP1/PP1BPPBP/R2Q1RK1 b - -,d8e7:d7d5
r1b1k2r/pp2q1bp/n1pp1np1/5p2/2PPpN2/1QN1P3/PP1BBPPP/R3K2R b KQkq -,a6c7
r1bqr1k1/1pp2pbp/3p1np1/p1n5/2PNP3/2N1BP2/PP1QB1PP/3R1RK1 b - -,f6d7
8/8/8/6p1/p1N2k2/P2n4/6KP/8 w - -,c4b6
1r2r1k1/4npbp/3p4/ppqP1p2/4p3/P1P5/1PNQBPPP/3R1RK1 w - -,g1h1
r1bqk1nr/pp3pbp/2npp1p1/2p5/5P2/3P1NP1/PPP1P1BP/RNBQ1RK1 w kq -,c2c4:e2e4
8/2pk4/1p1p2bB/8/1P6/8/5K1P/8 w - -,f2e3
b1rq1rk1/p5bp/1p2ppp1/n7/1RPP2N1/P2QB3/4BPPP/4R1K1 b - -,a5c6
6k1/1bq3p1/1bn1p2p/1pp5/5P2/PP4PP/1B1Q2BK/8 w - -,d2e2
3n1k2/4r1pp/r1p2p2/1p1p1b2/pP1P3P/2R1PPP1/1P4B1/2R1N1K1 b - -,a6b6
r2q1rk1/pbpn1ppp/1p1p1n2/3Pp3/2P5/1P1BP3/PB1N1PPP/R2Q1RK1 b - -,d7c5
4N3/4b2p/5p1P/5Kp1/6P1/5k2/8/8 w - -,e8f6
r4rk1/pp2np1p/2b2bp1/1P1p4/3P1N2/4BB2/1P3PPP/R1R3K1 b - -,c6b5
8/5Qp1/1p5p/2p2P2/q6k/8/P3KP1P/8 b - -,a4c2
2q2rk1/2p2ppp/p1Pp1b2/1r1P4/1PQp4/R2P1N2/5PPP/5RK1 w - -,h2h3
r4rk1/1p2qpp1/1npb1np1/3p4/3P3P/pPN1P3/P1QBBPP1/1R2K2R w K -,e2f3
4r3/2R2bk1/5pp1/2N4p/3p3P/1p4Q1/1P3PPK/4q3 w - -,g3b3
3r1k2/5p1p/3Pb3/8/B2R1pP1/7P/5K2/8 w - -,f2f3
2kr3r/1p2nppp/p1nqp1b1/3p4/3P1N2/2PB1P2/PPNQ2PP/R3R1K1 b - -,c8b8
3R4/5p1k/1p2qn1p/p5pP/P7/8/6P1/Q6K w - -,a1c3
3qk2r/rp1nbppp/2p2n2/p2p4/P2PbB1N/1QN1P3/1P2BPPP/R4RK1 w k -,f2f3
