Event,WhiteElo,BlackElo
25324,2415,2224
25325,2241,2258
25326,2373,2082
25327,2179,2213
25328,2169,2330
25329,2354,2257
25330,2107,2076
25331,2151,2216
25332,2173,2001
25333,2080,2101
25334,2144,2360
25335,2066,1974
25336,2334,2491
25337,2205,2137
25338,2404,2345
25339,2522,2531
25340,2412,2248
25341,2216,2371
25342,2362,2381
25343,2250,2084
25344,2326,2460
25345,2266,2344
25346,1933,2094
25347,2192,2326
25348,2246,2387
25349,2528,2536
25350,2393,2349
25351,2099,2218
25352,2080,1926
25353,2348,2340
25354,2271,2400
25355,2365,2347
25356,2257,2220
25357,2433,2221
25358,2155,2334
25359,2125,2304
25360,2286,2002
25361,2215,2317
25362,2276,2207
25363,2110,2235
25364,2008,2279
25365,2093,2315
25366,2269,2136
25367,2168,1757
25368,2467,2394
25369,1986,2416
25370,2041,2315
25371,2341,2144
25372,2199,2216
25373,2178,2009
25374,2101,2321
25375,2338,2379
25376,2090,2042
25377,2273,2476
25378,2327,2227
25379,2331,2309
25380,2067,2315
25381,2370,2198
25382,2204,2092
25383,2188,2434
25384,2215,2030
25385,2453,2171
25386,2319,2016
25387,2240,2540
25388,2327,2341
25389,2198,2344
25390,2128,2268
25391,2354,2397
25392,2212,2140
25393,2337,2175
25394,2289,2343
25395,2162,2346
25396,2443,2147
25397,2054,2439
25398,2058,2303
25399,2398,2297
25400,2287,2222
25401,2233,2144
25402,2236,1938
25403,2208,2311
25404,2339,2355
25405,2360,2323
25406,2456,2382
25407,2388,2150
25408,2007,2311
25409,2267,2218
25410,2322,2271
25411,2220,2282
25412,2362,2257
25413,2098,2351
25414,2287,2282
25415,2287,2453
25416,2464,2249
25417,2360,2270
25418,2430,2201
25419,2223,2331
25420,2193,2406
25421,2301,2297
25422,2085,1947
25423,2273,2321
25424,2261,2240
25425,2235,2117
25426,2267,2094
25427,2147,2433
25428,2066,2377
25429,2384,2218
25430,2293,2251
25431,2090,2251
25432,2318,2296
25433,2256,2432
25434,2139,2265
25435,2349,2174
25436,2417,2288
25437,2307,2424
25438,2293,2507
25439,2325,2225
25440,2115,2332
25441,2236,2311
25442,2422,2048
25443,2365,2406
25444,2075,2135
25445,2365,2337
25446,2270,2025
25447,2256,2336
25448,2212,2159
25449,2384,2465
25450,2276,2469
25451,2206,2077
25452,2118,2386
25453,2218,2237
25454,2438,2223
25455,2013,2226
25456,2210,2012
25457,2317,2316
25458,2062,2085
25459,2422,2563
25460,2133,2077
25461,2192,2073
25462,2330,2503
25463,2144,2283
25464,2334,2285
25465,2422,2407
25466,2367,2407
25467,2337,2233
25468,2331,2374
25469,2146,2121
25470,2288,2239
25471,2364,2377
25472,2082,2195
25473,2266,2355
25474,2413,2220
25475,2363,2259
25476,2282,2147
25477,2402,2369
25478,2143,2153
25479,2536,2454
25480,2315,2159
25481,2354,2522
25482,2170,2388
25483,2239,2205
25484,2421,2297
25485,2116,1998
25486,2290,2252
25487,2281,2189
25488,2540,2583
25489,2184,2369
25490,2262,2458
25491,2481,2193
25492,2371,2090
25493,2418,2210
25494,1926,2239
25495,2229,2343
25496,2124,2150
25497,2365,2233
25498,2431,2195
25499,2283,2162
25500,1782,1945
25501,2300,2377
25502,2308,2282
25503,2153,1843
25504,2164,2164
25505,2380,2321
25506,2156,2124
25507,2197,2180
25508,2403,2221
25509,2455,2208
25510,2322,2297
25511,2261,2045
25512,2337,2195
25513,2342,2383
25514,2365,2381
25515,2370,2405
25516,2158,2274
25517,2101,2154
25518,2452,2510
25519,2373,2400
25520,2439,2116
25521,2347,2352
25522,2379,2274
25523,2209,2108
25524,2341,2392
25525,2165,1968
25526,2419,2158
25527,2192,2197
25528,2113,2147
25529,2359,2019
25530,2122,2344
25531,2459,2319
25532,2114,2255
25533,2188,2048
25534,2149,1978
25535,2190,2426
25536,2062,2209
25537,2192,2315
25538,2343,2240
25539,2049,2317
25540,2315,2102
25541,2479,2352
25542,2185,2189
25543,2346,2445
25544,2227,2279
25545,2081,2156
25546,2438,2306
25547,2170,2374
25548,2143,1980
25549,1857,2108
25550,2264,2164
25551,2297,2245
25552,2463,2360
25553,2254,2271
25554,2237,2401
25555,2412,2409
25556,2358,2168
25557,2267,1945
25558,2259,2428
25559,2312,2300
25560,2218,2257
25561,2241,2027
25562,2208,2246
25563,2024,2492
25564,2250,2082
25565,2429,2275
25566,2320,2228
25567,2165,2134
25568,2131,2387
25569,2188,2244
25570,2407,2404
25571,2356,2282
25572,2509,2295
25573,2233,2293
25574,2393,2212
25575,2086,2140
25576,2306,2265
25577,2057,2066
25578,2516,2307
25579,2463,2356
25580,2512,2242
25581,2393,2379
25582,2326,2194
25583,2230,2355
25584,2057,2062
25585,2508,2309
25586,2037,2036
25587,2292,2340
25588,2280,2061
25589,2454,2365
25590,1991,2101
25591,2262,2148
25592,2117,2328
25593,2472,2430
25594,2234,2033
25595,2161,2430
25596,2108,2306
25597,2146,2328
25598,2357,2359
25599,2375,2087
25600,2170,2312
25601,2333,1981
25602,2037,2274
25603,2276,2344
25604,2092,2206
25605,2210,2076
25606,2385,2203
25607,2176,2351
25608,2348,2250
25609,2294,2365
25610,2313,2386
25611,2355,2433
25612,2292,2349
25613,2537,2212
25614,2046,2276
25615,1993,2253
25616,2438,2255
25617,2386,2255
25618,2251,1903
25619,2251,2224
25620,2148,2147
25621,2205,2174
25622,2321,2120
25623,2304,2254
25624,2064,1986
25625,2271,2223
25626,2299,2192
25627,2121,2031
25628,2173,2231
25629,2376,2241
25630,2427,2451
25631,2370,2204
25632,2105,2190
25633,2143,2207
25634,2225,2304
25635,2246,2297
25636,2168,2181
25637,2219,2245
25638,2255,2102
25639,1922,2090
25640,2386,2235
25641,2231,2209
25642,2205,2343
25643,2420,2343
25644,2444,2305
25645,1938,2300
25646,2349,2418
25647,2289,2057
25648,2485,2361
25649,2068,2176
25650,2178,2108
25651,2330,2159
25652,2202,2258
25653,2474,2452
25654,2245,2144
25655,2240,2246
25656,2063,2258
25657,2395,2437
25658,2116,2183
25659,2488,2495
25660,1912,1922
25661,2472,2548
25662,2253,1812
25663,2335,2169
25664,2272,2049
25665,2158,2317
25666,2459,2279
25667,2196,2223
25668,2355,2488
25669,1852,2060
25670,2034,2024
25671,2213,1919
25672,2322,2236
25673,2253,2276
25674,2302,2362
25675,2352,2383
25676,2235,2325
25677,2307,2194
25678,2487,2279
25679,2350,2373
25680,2344,1988
25681,2175,2343
25682,2137,2331
25683,2153,1969
25684,2316,2413
25685,2380,2402
25686,2183,2316
25687,2261,2339
25688,2177,2076
25689,2170,2284
25690,2226,2413
25691,2318,2016
25692,2165,2234
25693,2146,2291
25694,2219,2333
25695,2052,2218
25696,2253,2126
25697,2464,2505
25698,2338,2141
25699,2362,2225
25700,2116,2088
25701,2344,2354
25702,2166,2309
25703,2292,2241
25704,2188,2284
25705,1956,2169
25706,1826,2143
25707,2175,2259
25708,2043,2225
25709,2129,2190
25710,2042,2267
25711,2119,2157
25712,2394,2214
25713,2242,2294
25714,2385,2259
25715,2451,2547
25716,2306,2304
25717,2216,2184
25718,2123,2328
25719,2231,2284
25720,2309,2044
25721,2302,2280
25722,2195,2241
25723,2080,2145
25724,2446,2387
25725,2274,2318
25726,2040,2131
25727,2343,2474
25728,1933,2186
25729,2325,2254
25730,2429,1961
25731,1667,1879
25732,2399,2197
25733,2412,2527
25734,2164,2315
25735,2233,2043
25736,1920,2177
25737,2509,2237
25738,2356,2305
25739,2066,1975
25740,2185,2161
25741,2398,2264
25742,2319,2246
25743,2068,2446
25744,2422,2270
25745,2288,2267
25746,2313,2184
25747,2364,2286
25748,2292,2238
25749,2435,2371
25750,2385,2377
25751,2178,2073
25752,2048,2269
25753,2353,2115
25754,2232,2401
25755,2435,2314
25756,2230,2309
25757,2055,2192
25758,2492,2403
25759,2289,2241
25760,2429,2150
25761,2045,2336
25762,2394,2171
25763,2356,2291
25764,1880,2188
25765,2335,2140
25766,2169,2302
25767,2195,2414
25768,2342,2127
25769,2162,2293
25770,2290,2295
25771,2383,2401
25772,2359,2174
25773,1777,2095
25774,2193,2221
25775,2018,2234
25776,2033,2164
25777,2219,2287
25778,2377,2340
25779,2367,2260
25780,2329,2367
25781,2108,2086
25782,1958,2222
25783,2227,2274
25784,2461,2392
25785,2297,2269
25786,2234,2014
25787,2300,2229
25788,2135,2188
25789,2348,2185
25790,2342,2264
25791,2294,2412
25792,2113,2351
25793,2447,2259
25794,2374,2286
25795,2373,2073
25796,2433,2244
25797,2352,2391
25798,2236,2471
25799,2452,2157
25800,2195,2297
25801,2234,2057
25802,2495,2606
25803,2078,2338
25804,2534,2149
25805,1981,2218
25806,2320,2431
25807,2164,2160
25808,2203,2062
25809,2472,2422
25810,1955,2175
25811,2387,2456
25812,2118,2321
25813,2156,2384
25814,2145,2327
25815,2118,2273
25816,2005,1917
25817,2218,2221
25818,2174,1973
25819,2313,2181
25820,2258,2475
25821,2316,2477
25822,2191,2041
25823,2300,2343
25824,2037,2100
25825,2430,2358
25826,2365,2320
25827,2125,2010
25828,2223,2196
25829,2372,2398
25830,2439,2449
25831,2191,1782
25832,2028,2368
25833,2345,2143
25834,2405,2378
25835,2113,2153
25836,2255,2276
25837,2057,2224
25838,2291,2250
25839,2231,2182
25840,2271,1947
25841,2247,2322
25842,2169,2072
25843,2427,2071
25844,2247,2305
25845,2110,2301
25846,2317,2263
25847,2099,2334
25848,2126,2371
25849,2110,2347
25850,2417,2485
25851,2124,2335
25852,2385,2201
25853,2289,1988
25854,2291,2469
25855,2219,2174
25856,2306,2329
25857,2317,2188
25858,2221,1947
25859,2110,1933
25860,2065,2046
25861,2476,2429
25862,2081,2258
25863,2252,2127
25864,2380,2268
25865,2117,2327
25866,2297,2296
25867,2295,2288
25868,2452,2318
25869,2218,2361
25870,2382,2282
25871,2319,2373
25872,2282,2160
25873,2235,2094
25874,2055,2382
25875,2242,2423
25876,2356,2461
25877,2216,2196
25878,2373,2219
25879,2323,2334
25880,2255,2319
25881,2158,2158
25882,2017,2044
25883,1874,2152
25884,2089,2117
25885,2033,2318
25886,1927,2325
25887,2192,2320
25888,2162,1924
25889,2332,2432
25890,2260,2029
25891,2235,2179
25892,2172,2024
25893,2245,2361
25894,2266,2208
25895,2361,2197
25896,2154,2327
25897,2403,2146
25898,2472,2063
25899,2209,2229
25900,2172,2474
25901,2144,2211
25902,2043,2407
25903,2273,2390
25904,2007,2447
25905,2251,2441
25906,2475,2172
25907,2152,2141
25908,2338,2463
25909,2157,2177
25910,1993,2224
25911,2158,2302
25912,2303,2336
25913,2201,1944
25914,2218,2457
25915,2160,1900
25916,2344,2377
25917,2144,2135
25918,2374,2468
25919,2271,2342
25920,2147,2110
25921,2215,2361
25922,2343,2213
25923,2530,2471
25924,2331,2100
25925,2209,2181
25926,2135,2100
25927,2052,2215
25928,2346,2300
25929,2154,2138
25930,2320,2458
25931,2415,2116
25932,2265,2047
25933,2349,2390
25934,2331,2257
25935,2231,2152
25936,2461,2261
25937,1922,1815
25938,2219,2412
25939,2214,2450
25940,2236,2324
25941,2438,2134
25942,2453,2238
25943,2376,2362
25944,2445,2194
25945,2326,2172
25946,2107,2180
25947,2428,2322
25948,2101,2404
25949,2089,2469
25950,2309,2207
25951,2289,2322
25952,2273,1988
25953,2081,2099
25954,2072,2269
25955,2259,2461
25956,2439,2485
25957,2339,2393
25958,1909,2069
25959,2075,2369
25960,2186,2223
25961,2304,2249
25962,2299,2091
25963,2306,2178
25964,2358,2539
25965,2137,2249
25966,2502,2203
25967,2326,2195
25968,2353,2146
25969,2225,2061
25970,2395,2385
25971,2309,2340
25972,2177,2352
25973,2191,2257
25974,2148,2345
25975,2388,2089
25976,2026,2255
25977,2170,2254
25978,2254,1975
25979,2269,2174
25980,2310,2293
25981,2277,2227
25982,2337,2283
25983,2302,2296
25984,2300,2139
25985,1940,2134
25986,2222,2264
25987,2369,2146
25988,2040,2018
25989,1983,1921
25990,2029,2271
25991,2412,2256
25992,2306,2500
25993,2229,2406
25994,2120,2125
25995,2331,2221
25996,2305,2396
25997,2382,2282
25998,2110,2427
25999,2262,2194
26000,2079,1922
26001,2416,2549
26002,2265,1962
26003,2012,2187
26004,2063,2337
26005,2334,2329
26006,2284,2151
26007,2513,2393
26008,2054,2157
26009,2171,1993
26010,2280,2354
26011,2226,2360
26012,2303,2396
26013,2193,2263
26014,2260,2060
26015,2457,2466
26016,2305,2295
26017,2290,2364
26018,2377,2291
26019,2318,2311
26020,2438,2294
26021,2328,2283
26022,2161,2146
26023,2331,2452
26024,2020,2183
26025,2137,2078
26026,2311,2030
26027,2183,2367
26028,2188,2352
26029,2353,2259
26030,2508,2422
26031,2163,2052
26032,2330,2112
26033,2118,2130
26034,2112,2034
26035,2379,2173
26036,2358,2160
26037,2389,2243
26038,2046,2225
26039,2086,2221
26040,2243,2299
26041,2184,2134
26042,2404,2090
26043,2127,2269
26044,2236,2047
26045,2274,2184
26046,1965,2033
26047,2344,2335
26048,2409,2224
26049,2292,2029
26050,2474,2395
26051,2435,2384
26052,2327,2170
26053,2397,2385
26054,1915,2217
26055,2386,2154
26056,2182,2234
26057,2059,2309
26058,2242,2155
26059,2054,2360
26060,2431,2307
26061,2306,2265
26062,2281,2214
26063,2325,2317
26064,2410,2185
26065,2068,2170
26066,2354,2047
26067,2326,2473
26068,2469,2492
26069,2254,2363
26070,2359,2454
26071,2100,2074
26072,2290,2203
26073,2572,2223
26074,2338,2192
26075,2332,2208
26076,2353,2350
26077,2166,2221
26078,2088,2359
26079,2310,2226
26080,2070,2179
26081,2037,2020
26082,2404,2498
26083,2255,2115
26084,2359,2299
26085,2279,2091
26086,2282,2276
26087,2017,2134
26088,2289,2211
26089,2328,2337
26090,2307,2320
26091,2064,2167
26092,2151,2258
26093,2388,2169
26094,2323,2114
26095,2236,2312
26096,2168,2180
26097,2262,2329
26098,2221,2185
26099,2192,2361
26100,2187,1648
26101,2242,2100
26102,2218,1755
26103,2305,2262
26104,2399,2390
26105,2346,2472
26106,2058,2347
26107,2268,2268
26108,2175,2037
26109,2138,2032
26110,2138,2378
26111,2093,2172
26112,2266,2147
26113,2333,2099
26114,2398,2155
26115,2153,2197
26116,2099,2413
26117,2201,2273
26118,2113,2193
26119,2089,2381
26120,2385,2121
26121,2274,1954
26122,2185,2343
26123,2347,2222
26124,2216,2113
26125,2425,2265
26126,2402,2426
26127,2163,2239
26128,2203,2165
26129,2326,2341
26130,2240,2296
26131,2131,2185
26132,2294,2315
26133,2334,2102
26134,2128,2188
26135,2283,2151
26136,2203,2020
26137,2213,2243
26138,2111,2114
26139,2306,2310
26140,2390,2111
26141,1913,2106
26142,2233,2404
26143,2535,2372
26144,2063,2274
26145,2547,2417
26146,2182,1974
26147,2390,2379
26148,2139,2405
26149,2438,2294
26150,2537,2579
26151,2265,2218
26152,2436,2249
26153,2391,2185
26154,2295,2212
26155,2418,2330
26156,2176,2242
26157,2192,2116
26158,2256,2324
26159,2136,1972
26160,2411,2446
26161,2394,2275
26162,2399,2238
26163,2379,2224
26164,2072,2175
26165,2366,2136
26166,2492,2442
26167,2195,2373
26168,2218,2108
26169,2285,2285
26170,2365,2240
26171,2078,2257
26172,2160,2400
26173,2108,2190
26174,2388,2396
26175,2061,2231
26176,2311,2134
26177,2273,2430
26178,2346,2048
26179,2282,2195
26180,2253,2151
26181,1954,2260
26182,2383,2496
26183,2343,2325
26184,2213,1920
26185,2136,2061
26186,2295,2316
26187,2456,2333
26188,2098,2249
26189,1942,2105
26190,2358,2385
26191,2009,2392
26192,2362,2301
26193,2309,2240
26194,2237,2039
26195,2348,2402
26196,1890,2188
26197,2428,2358
26198,2377,2420
26199,2464,2326
26200,2246,2137
26201,2133,2242
26202,2265,2250
26203,2324,2126
26204,2340,2159
26205,2443,2260
26206,2249,2317
26207,2324,2261
26208,2353,2278
26209,2455,2238
26210,2337,2240
26211,2275,2337
26212,2223,2255
26213,2199,2322
26214,2207,2156
26215,2443,2274
26216,2198,2361
26217,2460,2258
26218,2391,2387
26219,2086,1814
26220,2248,2303
26221,2380,2447
26222,2289,2364
26223,2105,2034
26224,2429,2201
26225,2412,2485
26226,2316,2507
26227,2143,2213
26228,2509,2270
26229,2188,2202
26230,2349,2189
26231,2188,2136
26232,2047,1705
26233,2419,2337
26234,2219,2256
26235,2150,2372
26236,2252,2040
26237,2193,2315
26238,2124,2095
26239,2337,1986
26240,2082,2421
26241,2360,2372
26242,2404,2151
26243,2387,2288
26244,2497,2356
26245,2001,2200
26246,2223,2339
26247,1882,2293
26248,2177,2368
26249,2291,2034
26250,2314,2414
26251,2380,2167
26252,1873,2159
26253,2151,2293
26254,2234,2272
26255,2241,2013
26256,2408,2287
26257,2366,2230
26258,2328,2433
26259,2378,2386
26260,2307,2016
26261,2037,2257
26262,2289,2483
26263,2188,2405
26264,1912,2052
26265,2056,2049
26266,2273,2354
26267,2107,2363
26268,2298,2386
26269,2409,2189
26270,2232,2014
26271,2424,2461
26272,2193,2154
26273,2282,2288
26274,2492,2190
26275,2157,2284
26276,2386,2114
26277,2257,2143
26278,2127,2324
26279,2213,2393
26280,2390,2366
26281,2232,2151
26282,2276,2094
26283,2204,2280
26284,2098,2126
26285,2400,2252
26286,2351,2140
26287,2124,2439
26288,1851,2171
26289,2352,2256
26290,2075,2172
26291,2190,2390
26292,2331,2029
26293,2171,2007
26294,2301,1993
26295,1925,2036
26296,2277,2224
26297,2354,2387
26298,2168,2302
26299,2325,2239
26300,2200,2358
26301,2489,2478
26302,2245,2286
26303,2395,2241
26304,2286,2209
26305,1994,2266
26306,2303,2163
26307,2174,2238
26308,2279,2165
26309,2141,2062
26310,2208,2389
26311,2235,2151
26312,2504,2140
26313,2247,2274
26314,2326,2369
26315,2041,2407
26316,2173,2219
26317,2164,2112
26318,2297,2250
26319,2084,2247
26320,2292,2377
26321,2411,2394
26322,2144,2271
26323,2379,2206
26324,1957,1918
26325,2127,2364
26326,2339,2320
26327,2224,2380
26328,2368,2121
26329,2090,2071
26330,2056,2270
26331,2227,2229
26332,2076,2384
26333,2164,2157
26334,2413,2484
26335,2271,2163
26336,2036,2336
26337,2226,2469
26338,2312,2483
26339,2033,2242
26340,2319,2260
26341,2173,2206
26342,2116,2323
26343,2249,2148
26344,2369,2556
26345,2289,2207
26346,2105,2336
26347,2338,1964
26348,2424,2458
26349,2410,2274
26350,2404,2109
26351,2232,2009
26352,1956,2239
26353,2336,2160
26354,2183,2172
26355,2372,2314
26356,2297,2240
26357,2173,2322
26358,2307,2311
26359,2167,2224
26360,2363,2347
26361,2348,2126
26362,2459,2170
26363,2177,2159
26364,2433,2332
26365,2224,2208
26366,2141,2308
26367,2286,2107
26368,2093,2208
26369,2334,2288
26370,2310,2447
26371,2017,2132
26372,2233,2195
26373,2264,2295
26374,2262,2126
26375,2311,2225
26376,2227,1994
26377,2230,2316
26378,2344,2394
26379,2343,1955
26380,2390,1954
26381,2404,2332
26382,2328,2396
26383,2270,2263
26384,2436,2173
26385,2422,2302
26386,2294,2131
26387,2240,2071
26388,1796,1647
26389,2297,2383
26390,2283,2262
26391,2436,2167
26392,2263,2273
26393,2129,2296
26394,2432,2444
26395,2310,2180
26396,2072,1918
26397,2110,2225
26398,2255,1945
26399,2066,2215
26400,2013,1740
26401,2090,1880
26402,2167,2014
26403,2178,2276
26404,2310,2118
26405,2310,2401
26406,2137,2369
26407,2435,2397
26408,2342,2291
26409,2282,2176
26410,2230,2529
26411,2274,2349
26412,2302,2293
26413,2576,2485
26414,2250,2019
26415,2366,2015
26416,1743,2154
26417,2303,2242
26418,1982,2310
26419,2310,2093
26420,2301,2363
26421,2386,2137
26422,2093,2224
26423,2184,2185
26424,2427,2314
26425,2142,1936
26426,2139,2354
26427,2316,2461
26428,2180,1994
26429,2354,2375
26430,2343,2442
26431,2193,2481
26432,2102,2189
26433,2220,2422
26434,2503,2369
26435,2175,2495
26436,2205,2266
26437,2301,2176
26438,2043,2291
26439,2264,2207
26440,2196,2281
26441,2194,2502
26442,2109,2241
26443,2122,1955
26444,2110,2015
26445,2288,2137
26446,2116,2458
26447,2317,2512
26448,2342,2241
26449,2488,2111
26450,2266,2479
26451,2017,2214
26452,2142,2027
26453,2184,2300
26454,2122,2091
26455,2345,2288
26456,2272,2378
26457,2454,2195
26458,2251,2278
26459,2483,2431
26460,2299,2042
26461,2416,2303
26462,2412,2307
26463,2183,2386
26464,2401,2460
26465,2301,2391
26466,2275,2545
26467,2155,2435
26468,2126,2250
26469,2299,2275
26470,2357,2321
26471,2437,2349
26472,2300,2341
26473,2109,2420
26474,2388,2221
26475,2353,2350
26476,2471,2205
26477,2398,2253
26478,2377,2451
26479,2267,2121
26480,2334,2127
26481,2367,2270
26482,2462,2404
26483,2162,1998
26484,2050,1844
26485,1974,2274
26486,2244,2129
26487,2022,2257
26488,2478,2515
26489,2203,2444
26490,2359,2174
26491,2130,2193
26492,2344,2272
26493,1773,2276
26494,1968,2143
26495,2228,2099
26496,2392,2550
26497,2107,2219
26498,2320,2124
26499,2025,2147
26500,2389,2259
26501,2325,2233
26502,2286,2361
26503,2237,2160
26504,2112,2304
26505,2071,2151
26506,2255,2072
26507,2064,2106
26508,2257,2252
26509,2393,2161
26510,2082,2331
26511,2321,2278
26512,2360,2310
26513,2188,2158
26514,2215,2331
26515,2117,2339
26516,2318,2269
26517,2008,2021
26518,2391,2360
26519,2257,2269
26520,2207,2265
26521,1924,1888
26522,2165,2407
26523,2041,2033
26524,2102,2408
26525,2115,2373
26526,2340,2123
26527,2002,1987
26528,2049,2288
26529,2251,2024
26530,2477,2298
26531,2168,2254
26532,2237,2162
26533,2185,2113
26534,2437,2243
26535,2404,2410
26536,2139,2355
26537,2380,2399
26538,2204,2299
26539,2337,2339
26540,2437,2260
26541,2284,2180
26542,2403,2456
26543,1975,2073
26544,2293,2422
26545,2332,2140
26546,2260,2317
26547,2087,2384
26548,2397,2172
26549,2153,2363
26550,2384,2357
26551,2114,2100
26552,2056,2267
